589e5f548ed912c24e10d13165dbd576cb5bc786a830ae9abc4c94074483b8df,4d2da34a628243a53b11dfa3b6e2ed39e129cfe2c27d2724b572057a5a9245c0,5216fa3b7cc2a2c520672f0c714afeb6aa4ad3273728629254fa4bac44977a79,8cd3c74b5270accf9e6192972a8bae656f4b93342a73837106da9b6f5eeba7d3,b715e2fca8620ed9239481454797db343dfb3411f62db714a92a77cb325cfb8e,66f4674ac1e7e1e32c0dbc6f005195cb3453e12dffd31b70d97c5d7af8fd8417,5b1176a3d407d08db528f90a81bc87b06e997c777acb073a4a1b2f9a1aaef796,6f48867a5c1313d63f4cf173d0a4181a81eeaf958472544fd9ca51cc2859a26a,de3216e6600962eb8322b99b794d45d0567f4445659dba6081f5c9d7dc1d129e,cf70ff89a411658c76db36cc9efd683331e2bc0b30c800728b91680f9fc60aca,10a4ddd5d17318c3e550f358ade9c0478df57e21d8b1f333d24a4b66036d7b93,c7994acc2386fbdfd60f0312d5939e522d90a10b337f49945f095d9dcced40a6,d343e316b8c0acebe239fa3f98a957c8e6427eb21d39998c308ca0a113833442
"閃亮亮☆Happiness！","","1500","閃亮亮☆Happiness！","","46","","-1","","2019-01-18 15:00:00","","46","18"
"新的出航","","1000","新的出航","","47","","-1","","2019-01-18 15:00:00","","47","20"
"阿爾珈提","","1000","阿爾珈提","","48","","-1","","2019-01-18 15:00:00","","48","20"
"新春破曉之星大危機！","","1000","新春破曉之星大危機！","","49","","-1","","2019-01-18 15:00:00","","49","20"
"邪餅神鏡餅","","1000","邪餅神鏡餅","","50","","-1","","2019-01-18 15:00:00","","50","20"
"TwinkleStars","","1500","TwinkleStars","","51","","-1","","2019-01-18 15:00:00","","51","20"
"酷熱沙漠","","1000","酷熱沙漠","","52","","-1","","2019-02-15 15:00:00","","52","20"
"美杜莎","","1000","美杜莎","","53","","-1","","2019-02-15 15:00:00","","53","20"
"黑鐵的亡靈（Nightmare）","","1000","黑鐵的亡靈（Nightmare）","","54","","-1","","2019-02-15 15:00:00","","54","20"
"亡靈鎧甲","","1000","亡靈鎧甲","","55","","-1","","2019-02-15 15:00:00","","55","20"
"Aloofness Code","","1500","Aloofness Code","","56","","-1","","2019-02-15 15:00:00","","56","20"
"Absolute Secret","","1500","Absolute Secret","","57","","2008015","","2019-02-15 15:00:00","","57","20"
"水之里歐斯","","1000","水之里歐斯","","58","","-1","","2019-02-15 15:00:00","","58","20"
"情人節之戰！正中紅心的甜蜜戰鬥","","1000","情人節之戰！正中紅心的甜蜜戰鬥","","59","","-1","","2019-02-15 15:00:00","","59","20"
"醜陋可愛","","1000","醜陋可愛","","60","","-1","","2019-02-15 15:00:00","","60","20"
"SUPER CHOCOLATE","","1500","SUPER CHOCOLATE","","61","","-1","","2019-02-15 15:00:00","","61","20"
"砂海綠洲","","1000","砂海綠洲","","62","","-1","","2019-03-19 15:00:00","","62","20"
"不可思議的森林","","1000","不可思議的森林","","63","","-1","","2019-03-19 15:00:00","","63","20"
"托爾披頓","","1000","托爾披頓","","64","","-1","","2019-03-19 15:00:00","","64","20"
"王都的名偵探　嘆息的追緝者","","1000","王都的名偵探　嘆息的追緝者","","65","","-1","","2019-03-19 15:00:00","","65","20"
"哀嘆之女神","","1000","哀嘆之女神","","66","","-1","","2019-03-19 15:00:00","","66","20"
"未解明的心意","","1500","未解明的心意","","67","","-1","","2019-03-19 15:00:00","","67","20"
"機械莉瑪來襲！王都毀滅前的倒數","","1000","機械莉瑪來襲！王都毀滅前的倒數","","68","","-1","","2019-04-19 15:00:00","","68","20"
"機械莉瑪","","1000","機械莉瑪","","69","","-1","","2019-04-19 15:00:00","","69","20"
"機械莉瑪~終焉~","","1000","機械莉瑪~終焉~","","70","","-1","","2019-04-19 15:00:00","","70","20"
"在阿斯特朗盛開的雙輪之花","","1000","在阿斯特朗盛開的雙輪之花","","71","","-1","","2019-04-19 15:00:00","","71","20"
"元核‧巨靈","","1000","元核‧巨靈","","72","","-1","","2019-04-19 15:00:00","","72","20"
"Crossing Destiny","","1500","Crossing Destiny","","73","","-1","","2019-04-19 15:00:00","","73","20"
"潛入岩峰","","1000","潛入岩峰","","74","","-1","","2019-05-17 15:00:00","","74","20"
"將軍道中記　白翼的武士","","1000","將軍道中記　白翼的武士","","75","","-1","","2019-05-17 15:00:00","","75","20"
"惡代官","","1000","惡代官","","76","","-1","","2019-05-17 15:00:00","","76","20"
"白翼的榮耀","","1500","白翼的榮耀","","77","","-1","","2019-05-17 15:00:00","","77","20"
"火山山麓","","1000","火山山麓","","78","","-1","","2019-10-01 16:00:00","","78","20"
"險惡荒地","","1000","險惡荒地","","79","","-1","","2019-10-01 16:00:00","","79","20"
"怠惰的狂人","","1000","怠惰的狂人","","80","","-1","","2019-10-01 16:00:00","","80","20"
"鼓聲響動的森林","","1000","鼓聲響動的森林","","81","","-1","","2019-10-15 16:00:00","","81","20"
"鈴奈的彩虹舞臺！","","1000","鈴奈的彩虹舞臺！","","82","","-1","","2019-10-15 16:00:00","","82","20"
"雨神大人","","1000","雨神大人","","83","","-1","","2019-10-15 16:00:00","","83","20"
"踮腳尖的First Kiss","","1500","踮腳尖的First Kiss","","84","","-1","","2019-10-15 16:00:00","","84","20"
"哥哥爭奪戰！　幫忙靜流","","1000","哥哥爭奪戰！　幫忙靜流","","85","","-1","","2019-10-15 16:00:00","","85","20"
"哥哥爭奪戰！　幫忙惠理子","","1000","哥哥爭奪戰！　幫忙惠理子","","86","","-1","","2019-10-15 16:00:00","","86","20"
"盛夏的真步真步王國　浪花拍岸的靈魂之夏！","","1000","盛夏的真步真步王國　浪花拍岸的靈魂之夏！","","87","","-1","","2019-10-15 16:00:00","","87","20"
"奄美魔物","","1000","奄美魔物","","88","","-1","","2019-10-15 16:00:00","","88","20"
"We Are Golden","","1500","We Are Golden","","89","","-1","","2019-10-15 16:00:00","","89","20"
"空花大旋轉","","1000","空花大迴轉","","90","","-1","","2019-12-12 16:00:00","","90","20"
"森林的膽小鬼與神聖學院的問題兒童","","1000","森林的膽小鬼與神聖學院的問題兒童","","91","","-1","","2019-12-12 16:00:00","","91","20"
"劇毒曼德拉草","","1000","劇毒曼德拉草","","92","","-1","","2019-12-12 16:00:00","","92","20"
"好朋友新感覺","","1500","好朋友新感覺","","93","","-1","","2019-12-12 16:00:00","","93","20"
"跨越危險之根","","1000","跨越危險之根","","94","","-1","","2019-12-12 16:00:00","","94","20"
"香織的靈魂式空手道場","","1000","香織的靈魂式空手道場","","95","","-1","","2019-12-12 16:00:00","","95","20"
"小小勇敢的萬聖節之夜！","","1000","小小勇敢的萬聖節之夜！","","96","","-1","","2019-12-12 16:00:00","","96","20"
"幻影男爵","","1000","幻影男爵","","97","","-1","","2019-12-12 16:00:00","","97","20"
"惡作劇狂熱","","1500","惡作劇狂熱","","98","","-1","","2019-12-12 16:00:00","","98","20"
"泥濘森林的前方","","1000","泥濘森林的前方","","94","","-1","","2020-02-18 16:00:00","","99","20"
"大激戰！龍人們的接龍競賽","","1000","大激戰！龍人們的接龍競賽","","95","","-1","","2020-02-18 16:00:00","","100","20"
"龍的探索者們","","1000","龍的探索者們","","96","","-1","","2020-02-18 16:00:00","","101","20"
"似龍生物","","1000","似龍生物","","97","","-1","","2020-02-18 16:00:00","","102","20"
"in flames","","1500","in flames","","98","","-1","","2020-02-18 16:00:00","","103","20"
"獲得全新力量的試煉","","1000","獲得全新力量的試煉","","104","","-1","","2020-02-18 16:00:00","","104","20"
"禮物大恐慌！　蘭德索爾的聖誕老人們","","1000","禮物大恐慌！　蘭德索爾的聖誕老人們","","105","","-1","","2020-02-18 16:00:00","","105","20"
"復仇者馴鹿","","1000","復仇者馴鹿","","106","","-1","","2020-02-18 16:00:00","","106","20"
"Call Me Darling！","","1500","Call Me Darling！","","107","","-1","","2020-02-18 16:00:00","","107","20"
"王都終末決戰","","1000","王都終末決戰","","108","","2015007","","2020-04-20 16:00:00","","108","20"
"與侍奉皇帝之徒的戰鬥","","1000","與侍奉皇帝之徒的戰鬥","","109","","2015007","","2020-04-20 16:00:00","","109","20"
"與神的決戰","","1000","與神的決戰","","110","","2015007","","2020-04-20 16:00:00","","110","20"
"狂奔！　蘭德索爾的公會競速賽","","1000","狂奔！　蘭德索爾的公會競速賽","","111","","-1","","2020-04-20 16:00:00","","111","20"
"山神大人","","1000","山神大人","","112","","-1","","2020-04-20 16:00:00","","112","20"
"SAI＊KOU起跑衝刺","","1500","SAI＊KOU起跑衝刺","","113","","-1","","2020-04-20 16:00:00","","113","20"
"遙望著大海","","1000","遙望著大海","","114","","-1","","2020-04-20 16:00:00","","114","20"
"魔法少女　兩人是Misty&Purely","","1000","魔法少女　兩人是Misty&Purely","","115","","-1","","2020-04-20 16:00:00","","115","20"
"反逆獸","","1000","反逆獸","","116","","-1","","2020-04-20 16:00:00","","116","20"
"枝葉流光下的蒙太奇","","1500","枝葉流光下的蒙太奇","","117","","-1","","2020-04-20 16:00:00","","117","20"
"目標成為偶像！","","1000","目標成為偶像！","","118","","-1","","2020-09-30 16:00:00","","118","20"
"回憶的足跡","","1000","回憶的足跡","","119","","-1","","2020-09-30 16:00:00","","119","20"
"公主騎士","","1000","公主騎士","","120","","-1","","2020-06-18 10:00:00","","120","20"
"恩賜的財團與神聖學院的問題兒童","","1000","恩賜的財團與神聖學院的問題兒童","","121","","-1","","2020-06-18 10:00:00","","121","20"
"好朋友X","","1000","好朋友X","","122","","-1","","2020-06-18 10:00:00","","122","20"
"青春翻轉家","","1500","青春翻轉家","","123","","-1","","2020-06-18 10:00:00","","123","20"
"密林暗處潛伏者","","1000","密林暗處潛伏者","","124","","-1","","2020-06-18 10:00:00","","124","20"
"Mirage Game","","1500","Mirage Game","","125","","2101001","","2020-06-18 10:00:00","","125","20"
"Yes！ Precious Harmony！","","1500","Yes！ Precious Harmony！","","126","","2101014","","2020-06-18 10:00:00","","126","20"
"啾啾大恐慌！　保衛起司大作戰！","","1000","啾啾大恐慌！　保衛起司大作戰！","","127","","-1","","2020-05-15 15:00:00","","127","20"
"牧場的四農士　貧窮農場奮鬥記！","","1000","牧場的四農士　貧窮農場奮鬥記！","","128","","-1","","2020-05-15 15:00:00","","128","20"
"忍者首領半藏","","1000","忍者首領半藏","","129","","-1","","2020-05-15 15:00:00","","129","20"
"Heartful Place","","1500","Heartful Place","","130","","-1","","2020-05-15 15:00:00","","130","20"
"不可思議之國的璃乃 小小愛麗絲與希望的繪本","","1000","不可思議之國的璃乃 小小愛麗絲與希望的繪本","","131","","-1","","2020-06-17 15:00:00","","131","20"
"暗黑之王賈巴沃克","","1000","暗黑之王賈巴沃克","","132","","-1","","2020-06-17 15:00:00","","132","20"
"童話故事就在夢中","","1500","童話故事就在夢中","","133","","-1","","2020-06-17 15:00:00","","133","20"
"幽靜森林","","1000","幽靜森林","","134","","-1","","2020-06-17 15:00:00","","134","20"
"七夕劍客旅情譚 天際川流夏之戀","","1000","七夕劍客旅情譚 天際川流夏之戀","","135","","-1","","2020-07-15 15:00:00","","135","20"
"覺醒‧花心星","","1000","覺醒‧花心星","","136","","-1","","2020-07-15 15:00:00","","136","20"
"黃昏太平旅路之歌","","1500","黃昏太平旅路之歌","","137","","-1","","2020-07-15 15:00:00","","137","20"
"美里的夏日聲援！　追夢的盛夏棒球隊","","1000","美里的夏日聲援！　追夢的盛夏棒球隊","","138","","-1","","2020-11-12 12:00:00","","138","20"
"海岸暴君‧鮫吉","","1000","海岸暴君‧鮫吉","","139","","-1","","2020-11-12 12:00:00","","139","20"
"猛訓打擊道！　美里的全壘打訓練場","","1000","猛訓打擊道！　美里的全壘打訓練場","","140","","-1","","2020-11-12 12:00:00","","140","20"
"目標全壘打！","","1000","目標全壘打！","","141","","-1","","2020-11-12 12:00:00","","141","20"
"夏天的回憶","","1000","夏天的回憶","","142","","-1","","2020-11-12 12:00:00","","142","20"
"那個夏天的記憶","","1500","那個夏天的記憶","","143","","-1","","2020-11-12 12:00:00","","143","20"
"清澈的河水聲","","1000","清澈的河水聲","","144","","-1","","2020-11-12 12:00:00","","144","20"
"Happy‧Change‧Angels","","1000","Happy‧Change‧Angels","","145","","-1","","2020-11-12 12:00:00","","145","20"
"失控的純潔之弓","","1000","失控的純潔之弓","","146","","-1","","2020-11-12 12:00:00","","146","20"
"吶吶Please！","","1500","吶吶Please！","","147","","-1","","2020-11-12 12:00:00","","147","20"
"迴盪的尖叫！萬聖鬼怪狂歡節","","1000","迴盪的尖叫！萬聖鬼怪狂歡節","","148","","-1","","2021-01-12 12:00:00","","148","20"
"驚叫鬼魂教父","","1000","驚叫鬼魂教父","","149","","-1","","2021-01-12 12:00:00","","149","20"
"Paradox","","1500","Paradox","","150","","-1","","2021-01-12 12:00:00","","150","20"
"魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","","1000","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","","151","","-1","","2021-01-12 12:00:00","","151","20"
"反逆獸 de M","","1000","反逆獸 de M","","152","","-1","","2021-01-12 12:00:00","","152","20"
"閃耀吧！Lovely★Dreamy","","1500","閃耀吧！Lovely★Dreamy","","153","","-1","","2021-01-12 12:00:00","","153","20"
"跨越斷崖　前進山麓","","1000","跨越斷崖　前進山麓","","154","","-1","","2021-01-12 12:00:00","","154","20"
"名媛初登夢想秘境　聖誕夜的戀愛遊戲","","1000","名媛初登夢想秘境　聖誕夜的戀愛遊戲","","155","","-1","","2020-12-21 15:00:00","","155","20"
"被操控的雪人","","1000","被操控的雪人","","156","","-1","","2020-12-21 15:00:00","","156","20"
"Holy Passion Roses","","1500","Holy Passion Roses","","157","","-1","","2020-12-21 15:00:00","","157","20"
"新春美食家公主！　賭上關鍵一擲的少女們","","1000","新春美食家公主！　賭上關鍵一擲的少女們","","158","","-1","","2021-01-22 15:00:00","","158","20"
"究極金槍鮪","","1000","究極金槍鮪","","159","","-1","","2021-01-22 15:00:00","","159","20"
"Brand New Sunrise","","1500","Brand New Sunrise","","160","","-1","","2021-01-22 15:00:00","","160","20"
"無比珍貴的日常","","1000","無比珍貴的日常","","161","","-1","","2021-02-15 15:00:00","","161","20"
"離別與決意","","1000","離別與決意","","162","","-1","","2021-02-15 15:00:00","","162","20"
"黑風之精靈","","1000","黑風之精靈","","163","","-1","","2021-02-15 15:00:00","","163","20"
"心的思念 ～心的思念～","","1500","心的思念 ～心的思念～","","164","","-1","","2021-02-15 15:00:00","","164","20"
"灰姑娘課程　璀璨的日子有著蘋果的滋味","","1000","灰姑娘課程　璀璨的日子有著蘋果的滋味","","165","","-1","","2021-06-01 15:00:00","","165","20"
"魔物的公主","","1000","魔物的公主","","166","","-1","","2021-06-01 15:00:00","","166","20"
"戀愛閃亮魔法☆彡","","1500","戀愛閃亮魔法☆彡","","167","","-1","","2021-06-01 15:00:00","","167","18"
"鋼鐵聖女與神聖學院的問題兒童","","1000","鋼鐵聖女與神聖學院的問題兒童","","168","","-1","","2021-06-01 15:00:00","","168","20"
"無名的藝術","","1000","無名的藝術","","169","","-1","","2021-06-01 15:00:00","","169","20"
"無敵DREAMING","","1500","無敵DREAMING","","170","","-1","","2021-06-01 15:00:00","","170","20"
"祈梨ＳＯＳ！！　踏上時空旅行的龍人族","","1000","祈梨ＳＯＳ！！　踏上時空旅行的龍人族","","171","","-1","","2021-07-12 12:00:00","","171","20"
"爆裂‧時間儀","","1000","爆裂‧時間儀","","172","","-1","","2021-07-12 12:00:00","","172","20"
"Seize The Day！","","1500","Seize The Day！","","173","","-1","","2021-07-12 12:00:00","","173","20"
"心電感應！碧與玩具朋友們","","1000","心電感應！碧與玩具朋友們","","174","","-1","","2021-10-07 12:00:00","","174","20"
"究極機械玩具王","","1000","究極機械玩具王","","175","","-1","","2021-10-07 12:00:00","","175","20"
"邊緣人的朋友進行曲","","1500","邊緣人的朋友進行曲","","176","","-1","","2021-10-07 12:00:00","","176","20"
"於飛舞的沙塵之中","","1000","於飛舞的沙塵之中","","177","","-1","","2021-10-07 12:00:00","","177","20"
"永不完結的夏日計畫　盛夏的雙人獨佔樂園","","1000","永不完結的夏日計畫　盛夏的雙人獨佔樂園","","178","","-1","","2021-10-07 12:00:00","","178","20"
"暑假作業","","1000","暑假作業","","179","","-1","","2021-10-07 12:00:00","","179","20"
"Only Only You","","1500","Only Only You","","180","","-1","","2021-10-07 12:00:00","","180","20"
"慈樂之音的夏日演唱會　Just a moment！","","1000","慈樂之音的夏日演唱會　Just a moment！","","181","","-1","","2021-12-09 12:00:00","","181","20"
"女王歌唱水母","","1000","女王歌唱水母","","182","","-1","","2021-12-09 12:00:00","","182","20"
"Just a moment！","","1500","Just a Moment！","","183","","-1","","2021-12-09 12:00:00","","183","20"
"Shining Future 戰鬥編曲版本","","1500","Shining Future （Battle Arrange Ver.）","","184","","-1","","2021-12-09 12:00:00","","184","20"
"大江戶的非法病歷　Dr.深月的診療室","","1000","大江戶的非法病歷　Dr.深月的診療室","","185","","-1","","2021-12-09 12:00:00","","185","20"
"基古魯博士","","1000","基古魯博士","","186","","-1","","2021-12-09 12:00:00","","186","20"
"Narcistration♡","","1500","Narcistration♡","","187","","-1","","2021-12-09 12:00:00","","187","20"
"軍團之戰","","1000","軍團之戰","","188","","2109007","","2021-12-17 16:00:00","","188","20"
"VS憤怒軍團　與阿澤爾德的戰鬥","","1000","VS憤怒軍團　與阿澤爾德的戰鬥","","189","","2109007","","2021-12-17 16:00:00","","189","20"
"VS憤怒軍團　與卡里莎的戰鬥","","1000","VS憤怒軍團　與卡里莎的戰鬥","","190","","2109007","","2021-12-17 16:00:00","","190","20"
"VS憤怒軍團　與贊恩的戰鬥","","1000","VS憤怒軍團　與贊恩的戰鬥","","191","","2109007","","2021-12-17 16:00:00","","191","20"
"VS憤怒軍團　與美空的戰鬥","","1000","VS憤怒軍團　與美空的戰鬥","","192","","2109007","","2021-12-17 16:00:00","","192","20"
"VS憤怒軍團　與蘭法的戰鬥","","1000","VS憤怒軍團　與蘭法的戰鬥","","193","","2109007","","2021-12-17 16:00:00","","193","20"
"萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","","1000","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","","194","","-1","","2021-12-09 12:00:00","","194","20"
"哀暴小棉花糖","","1000","哀暴小棉花糖","","195","","-1","","2021-12-09 12:00:00","","195","20"
"Halloween Monster Jam ！！！","","1500","Halloween Monster Jam ！！！","","196","","-1","","2021-12-09 12:00:00","","196","20"
"魔法少女外傳　魔法的★黑色魅力！","","1000","魔法少女外傳　黑暗魔法★三人組！","","197","","-1","","2022-01-25 12:00:00","","197","20"
"反逆獸‧三重","","1000","反逆獸‧三重","","198","","-1","","2022-01-25 12:00:00","","198","20"
"GREEDY LOVE","","1500","GREEDY LOVE","","199","","-1","","2022-01-25 12:00:00","","199","20"
"聖誕布丁快樂！ 飛舞的少女與飽含真心的點心","","1000","聖誕布丁快樂！　飛舞的少女與飽含真心的點心","","200","","-1","","2021-12-15 15:00:00","","200","20"
"孤伶伶的聖誕夜妖精","","1000","孤伶伶的聖誕夜妖精","","201","","-1","","2021-12-15 15:00:00","","201","20"
"宮子廚房 通往究極之路","","1000","宮子廚房　通往究極之路","","202","","-1","","2021-12-15 15:00:00","","202","20"
"布丁聖代聖誕節來的","","1500","布丁‧聖‧代‧聖誕節來的！","","203","","-1","","2021-12-15 15:00:00","","203","20"
"新春美食回憶雪菲的跑腿大作戰","","1000","新春美食回憶　雪菲的跑腿大作戰！","","204","","-1","","2022-01-15 15:00:00","","204","20"
"邪牛神哞猛","","1000","邪牛神哞猛","","205","","-1","","2022-01-15 15:00:00","","205","20"
"Ice Wings","","1500","Ice Wings","","206","","-1","","2022-01-15 15:00:00","","206","20"
"尋找線索","","1000","尋找線索","","207","","-1","","2022-02-15 15:00:00","","207","20"
"到大家所度過的世界","","1000","到大家所度過的世界","","208","","-1","","2022-02-15 15:00:00","","208","20"
"超載力量","","1000","超載力量","","209","","-1","","2022-02-15 15:00:00","","209","20"
"Asymmetric World","","1500","Asymmetric World","","210","","-1","","2022-02-15 15:00:00","","210","20"
"大家的情感","","1000","大家的情感","","211","","-1","","2022-02-15 15:00:00","","211","20"
"Sweet Tiny Stage！ 新進女演員與小小淑女","","1000","Sweet Tiny Stage！ 新進女演員與小小淑女","","212","","-1","","2022-03-15 15:00:00","","212","20"
"仇鼠‧怒髮衝冠的啾二","","1000","仇鼠‧怒髮衝冠的啾二","","213","","-1","","2022-03-15 15:00:00","","213","20"
"Happy Anniv.特別版 蘭德索爾猜謎連結！","","1000","Happy Anniv.特別版 蘭德索爾猜謎連結！","","214","","-1","","2022-03-15 15:00:00","","214","20"
"Thinking Time！","","1000","Thinking Time！","","215","","-1","","2022-03-15 15:00:00","","215","20"
"聽得見音樂劇嗎？","","1500","聽得見音樂劇嗎？","","216","","-1","","2022-03-15 15:00:00","","216","20"
"Crossing Truth","","1500","Crossing Truth","","217","","2109012","","2022-03-15 15:00:00","","217","20"
"交出寶物！透明怪盜雙人組","","1000","交出寶物！透明怪盜雙人組","","218","","-1","","2022-04-15 15:00:00","","218","20"
"貪婪暴君‧賭場王","","1000","貪婪暴君‧賭場王","","219","","-1","","2022-04-15 15:00:00","","219","20"
"Secret Longing","","1500","Secret Longing","","220","","-1","","2022-04-15 15:00:00","","220","20"
"海盜篇章　海盜島受詛咒的遺寶","","1000"," Episode of Pirate　海盜島上被詛咒的遺寶","","221","","-1","","2022-05-15 15:00:00","","221","20"
"受解放的寶藏守護者","","1000","受解放的寶藏守護者","","222","","-1","","2022-05-15 15:00:00","","222","20"
"無敵海盜","","1500","無敵海盜","","223","","-1","","2022-05-15 15:00:00","","223","20"
"莊嚴的熱沙","","1000","莊嚴的熱沙","","224","","-1","","2022-05-15 15:00:00","","224","20"
"Enjoy＆Refresh！　天差地遠的女孩露營","","1000","Enjoy＆Refresh！　天差地遠的女孩露營","","225","","-1","","2022-06-15 15:00:00","","225","20"
"阿斯特賴亞牛肝菌","","1000","阿斯特賴亞牛肝菌","","226","","-1","","2022-06-15 15:00:00","","226","20"
