ab53f2cbc57aa59e08494f6a83632f3d068eff92e462027873ecb49c20d7a048,48f8ccf8766c0f8b7521151476025e391a452f4ae2386843de2965b139d77181,551e5334d7c56869d481e08a974e6bcca09668000dcc59304901fb8a13c2b59b,ae7a95b7ddbac64cbf519c7d3a5fc7fb76d2ada9cb48b1477dc361e261fa5deb,b8861d7d64a100162a286dddb6347dc2bfa53518b8c1c4e42dc8488f94096692,d0dec55679139e11f8b4be4ddc0583f77aa62531aecdb4393fc1685252f54405
"2146073","113","300523","202","1","803100266"
"2146074","114","300524","203","1","803100266"
"2146075","100","300525","104","0","803100266"
"2146076","112","300526","208","1","803100266"
"2146077","110","300527","212","1","803100266"
"2146078","113","300528","202","1","803100266"
"2146079","114","300529","203","1","803100266"
"2146080","100","300530","104","0","803100266"
"2146091","114","300601","203","1","803100268"
"2146092","113","300602","202","1","803100268"
"2146093","102","300603","105","0","803100268"
"2146094","114","300604","203","1","803100268"
"2146095","103","300605","106","0","803100268"
"2146096","114","300606","203","1","803100268"
"2146097","111","300607","204","1","803100268"
"2146098","114","300608","203","1","803100268"
"2146099","113","300609","202","1","803100268"
"2146100","102","300610","105","0","803100268"
"2147011","114","300611","203","1","803100269"
"2147012","103","300612","106","0","803100269"
"2147013","114","300613","203","1","803100269"
"2147014","111","300614","204","1","803100269"
"2147015","110","300615","212","1","803100269"
"2147016","114","300616","203","1","803100269"
"2147017","102","300617","105","0","803100269"
"2147018","103","300618","106","0","803100269"
"2147021","111","300701","204","1","803100270"
"2147022","100","300702","104","0","803100270"
"2147023","101","300703","107","0","803100270"
"2147024","113","300704","202","1","803100270"
"2147025","114","300705","203","1","803100270"
"2147026","102","300706","105","0","803100270"
"2147027","112","300707","205","1","803100270"
"2147028","111","300708","204","1","803100270"
"2147029","100","300709","104","0","803100270"
"2147030","101","300710","107","0","803100270"
"2147031","113","300711","202","1","803100271"
"2147032","114","300712","203","1","803100271"
"2147033","102","300713","105","0","803100271"
"2147034","112","300714","205","1","803100271"
"2147035","107","300715","110","0","803100271"
"2147036","111","300716","204","1","803100271"
"2147037","100","300717","104","0","803100271"
"2147038","101","300718","107","0","803100271"
