524e01c0e9322d8eb0ef1939444b44a481dd83b914210b5305f1ec7c1cb23e25,1967e68961505659085f6a7fa6d74b8c1ff8c5a711ddc1d7fae0ff9a5df80061,4a45bdb32674ccc458665a09d8c367ee2069e96af5128764621244bf6be85a6a,2ddfb6996797641c4839d6f72c709c08a94ee6275f4343a0ffb9ed2accc1e67b,bb8e29bcf995abc03d0a349f32e58d1c5935aedab0a418da63fd03cc3f09e14b,79d235ee1e1ce8182390fdc04e80fa2aa86848a863ab60010d3c05c3abeb23d1,7ab33f896a02c766bcddeb26bb21a03e3fa00595392346d40d9fb3f911a4cebd,3b087c96c5f0ab408ae6388c74b336188abba8322046c260bc82bc8d015c3027,3b38cd07646c3eb018cc49d08027eabf26b9a6dff65789c50ce6f00b41cc213c,21713c6933e32c5580c1aa93aff95db807784f78c6719e83c29a115bc682bec9,3739afe5ae943164534c82471c2790bbe9913b4505ad590697c0f83a0529b95b
"105911","10","0.5","112","1","0","0","1","11","這個計畫……還真是壯闊啊。\n花凜小姐。","112049"
"112049","","","112","","","","","91","","112050"
"105911","1","","112","","0.2","","","3","wac_215_coccoro_idle_wish","112051"
"105811","0","","112","1","0.2","0","wac_215_peko_talk_guts2_loop","3","wac_215_peko_talk_guts2","112052"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_010","112053"
"105811","10","0.5","112","1","0","0","1","11","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","112054"
"112054","","","112","","","","","91","","112055"
"105811","1","","112","","0.2","","","3","wac_215_peko_idle_guts2","112056"
"105811","","","112","","","","","4","0","112057"
"105911","","","112","","","","","4","0","112058"
"105811","1","","112","","0.2","","","3","wac_215_idle_joy1","112059"
"105911","1","","112","","0.2","","","3","wac_215_idle_normal","112060"
"106431","1","","112","","0.2","","","3","wac_215_idle_surprise1","112061"
"106011","1","","112","1","0.2","0.2","wac_215_talk_anger2","3","wac_215_kyaru_anger","112062"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_011","112063"
"106011","10","0.5","112","1","0","0","1","11","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！","112064"
"112064","","","112","","","","","91","","112065"
"106011","1","","112","","0.2","","","3","wac_215_idle_anger2","112066"
"106011","1","","112","","0.2","","","3","wac_215_talk_sad","112067"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_012","112068"
"106011","10","0.5","112","1","0","0","1","11","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……","112069"
"112069","","","112","","","","","91","","112070"
"106011","1","","112","","0.2","","","3","wac_215_idle_sad","112071"
"105911","1","","112","","0.2","","","3","wac_215_coccoro_talk_wish2","112072"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_013","112073"
"105911","10","0.5","112","1","0","0","1","11","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……","112074"
"112074","","","112","","","","","91","","112075"
"105911","1","","112","","0.2","","","3","wac_215_coccoro_idle_wish2","112076"
"106011","0","","112","1","0.2","0","wac_215_kyaru_talk_doya_loop","3","wac_215_kyaru_talk_doya","112077"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_014","112078"
"106011","10","0.5","112","1","0","0","1","11","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。","112079"
"112079","","","112","","","","","91","","112080"
"106011","1","","112","","0.2","","","3","wac_215_idle_arm_crossed","112081"
"105811","","","112","","","","","4","1","112082"
"105911","","","112","","","","","4","1","112083"
"105911","1","","112","","0.2","","","3","wac_215_idle_normal_joy","112084"
"106431","1","","112","","0.2","","","3","wac_215_idle_normal2_joy","112085"
"118511","1","","112","","0.2","","","3","wac_215_karin_talk_wish","112086"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_015","112087"
"118511","10","0.5","112","1","0","0","1","11","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！","112088"
"112088","","","112","","","","","91","","112089"
"118511","1","","112","","0.2","","","3","wac_215_karin_idle_normal","112090"
"118511","1","","112","","0.2","","","3","wac_215_karin_talk_normal","112091"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_016","112092"
"118511","10","0.5","112","1","0","0","1","11","那在大家畫畫時，\n我就去找其他的公會囉。\n讓牆壁上充滿美麗的圖畫，\n來打造出蘭德索爾的地標景點吧！","112093"
"112093","","","112","","","","","91","","112094"
"118511","1","","112","","0.2","","","3","wac_215_karin_idle_normal","112095"
"105811","0","","112","1","0.2","0.2","wac_215_peko_talk_wish_loop","3","wac_215_peko_talk_wish","112096"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_017","112097"
"105811","10","0.5","112","1","0","0","1","11","我明白了！\n那我就來畫魔物料理──","112098"
"112098","","","112","","","","","91","","112099"
"105811","1","","112","","0.2","","","3","wac_215_peko_idle_wish","112100"
"106011","0","","112","1","0.2","0.2","wac_215_talk_arm_crossed_loop","3","wac_215_kyaru_talk_anger","112101"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_018","112102"
"106011","10","0.5","112","1","0","0","1","11","妳別畫那種噁心的東西！\n但企劃本身算還不錯吧？\n感覺好像很開心……那麼，\n就來大展身手一番吧！","112103"
"112103","","","112","","","","","91","","112104"
"106011","1","","112","","0.2","","","3","wac_215_idle_arm_crossed","112105"
"105811","0","","112","1","0.2","0","wac_215_cmn_eieio_loop","3","wac_215_cmn_eieio","112106"
"106431","0","","112","1","0.2","0","wac_215_cmn_eieio_loop","3","wac_215_cmn_eieio","112107"
"0.1","","","112","","","","","93","","112108"
"105911","0","","112","1","0.2","0","wac_215_cmn_eieio_loop","3","wac_215_cmn_eieio","112109"
"106011","0","","112","1","0.2","0.2","wac_215_cmn_eieio_loop","3","wac_215_cmn_eieio","112110"
"0.9","","","112","","","","","93","","112111"
"118511","0","","112","1","0.2","0.2","wac_215_karin_idle_normal","3","wac_215_handclap","112112"
"2","","","112","","","","","93","0","112113"
"0","","","112","","","","","91","","112114"
"118511","1","","113","","0.2","","","3","wac_215_karin_idle_normal","113001"
"105811","1","","113","","0.2","","","3","wac_215_idle_joy1","113002"
"0.1","","","113","","","","","93","","113003"
"105911","1","","113","","0.2","","","3","wac_215_coccoro_idle_wish","113004"
"106011","1","","113","","0.2","","","3","wac_215_idle_arm_crossed","113005"
"0.1","","","113","","","","","93","","113006"
"106431","1","","113","","0.2","","","3","wac_215_idle_normal2_joy","113007"
"0","","","113","","","","","91","","113008"
"1","202","wac_default_11","211","-212.75","2","0","-108","1","105811","211001"
"1","201","wac_default_11","211","-212.75","2","0","-108","5","111","211002"
"1","0","","211","1","1","","0","31","1","211003"
"2","0","","211","1","0","","0","31","2","211004"
"11","0","","211","1","0","","0","31","11","211005"
"105811","0","","211","0","0.2","","","3","wac_paint_11","211006"
"111","0","","211","0","0.2","","","3","wac_paint_11","211007"
"0.3","","","211","","","","","93","0","211008"
"11","","wac_default_11","211","","","","","32","1","211009"
"se_10035700","0","","211","","","","","23","se_10035700_roller","211010"
"1","","","211","","","","","131","","211011"
"105811","0","","212","1","0.2","","wac_talk_kyapi_loop","3","wac_talk_kyapi_in","212001"
"111","1","","212","","0.2","","","3","wac_no_items","212002"
"105811","-340","","212","","","","0","2","200","212003"
"111","-340","","212","","","","0","2","200","212004"
"1","","","212","","","","","32","0","212005"
"2","","","212","","","","","32","1","212006"
"11","","","212","","","","","32","0","212007"
"vo_wac_220216","0","","212","","","","0","21","vo_wac_220216_000","212008"
"105811","10","0.5","212","1","0","0","1","11","嘿嘿～♪畫畫，畫畫～！\n這搞不好是我有生以來\n第一次畫這麼大一幅畫！","212009"
"0","","","212","","","","","91","","212010"
"vo_wac_220216","0","","212","","","","0","21","vo_wac_220216_001","212011"
"105811","10","0.5","212","1","0","0","1","11","大家一起圍繞在餐桌邊\n當然是很幸福，\n但跟大家一起打造出一件東西……\n也太讚了吧☆","212012"
"0","","","212","","","","","91","","212013"
"0","","","212","","","","","22","0","212014"
"105811","1","","213","","0.2","","","3","wac_idle_kyapi","213001"
"111","1","","213","","0.2","","","3","wac_no_items","213002"
"105811","-340","","213","","","","0","2","200","213003"
"111","-340","","213","","","","0","2","200","213004"
"1","","","213","","","","","32","0","213005"
"2","","","213","","","","","32","1","213006"
"11","","","213","","","","","32","0","213007"
"0","","","213","","","","","91","","213008"
"1","202","wac_default_01","311","-212.75","2","0","-108","1","105911","311001"
"1","201","wac_default_03","311","-212.75","2","0","-108","5","111","311002"
"1","0","","311","1","1","","0","31","1","311003"
"2","0","","311","1","0","","0","31","2","311004"
"11","0","","311","1","0","","0","31","11","311005"
"105911","0","","311","","0.2","","","3","wac_paint_01","311006"
"111","0","","311","","0.2","","","3","wac_paint_03","311007"
"11","","wac_default_11","311","","","","","32","1","311008"
"se_10035700","0","","311","","","","","23","se_10035700_brush","311009"
"1","","","311","","","","","131","","311010"
"105911","0","","312","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","312001"
"111","1","","312","","0.2","","","3","wac_no_items","312002"
"105911","-340","","312","","","","0","2","200","312003"
"111","-340","","312","","","","0","2","200","312004"
"1","","","312","","","","","32","0","312005"
"2","","","312","","","","","32","1","312006"
"11","","","312","","","","","32","0","312007"
"vo_wac_220217","0","","312","","","","0","21","vo_wac_220217_000","312008"
"105911","10","0.5","312","1","0","0","1","11","呼……\n在下認為自己很擅長照顧人，\n卻對畫技沒什麼自信。\n但是──","312009"
"0","","","312","","","","","91","","312010"
"vo_wac_220217","0","","312","","","","0","21","vo_wac_220217_001","312011"
"105911","10","0.5","312","1","0","0","1","11","在下希望有朝一日，能在蘭德索爾的\n這面牆畫上主人威風凜凜的模樣……\n在下會努力的。\n請你看著在下吧，主人……♪","312012"
"0","","","312","","","","","91","","312013"
"0","","","312","","","","","22","0","312014"
"105911","1","","313","","0.2","","","3","wac_idle_wish","313001"
"111","1","","313","","0.2","","","3","wac_no_items","313002"
"105911","-340","","313","","","","0","2","200","313003"
"111","-340","","313","","","","0","2","200","313004"
"1","","","313","","","","","32","0","313005"
"2","","","313","","","","","32","1","313006"
"11","","","313","","","","","32","0","313007"
"0","","","313","","","","","91","","313008"
"1","202","wac_default_01","411","-212.75","2","0","-108","1","106011","411001"
"1","201","wac_default_02","411","-212.75","2","0","-108","5","111","411002"
"1","0","","411","1","1","","0","31","1","411003"
"2","0","","411","1","0","","0","31","2","411004"
"11","0","","411","1","0","","0","31","11","411005"
"106011","0","","411","","0.2","","","3","wac_paint_01","411006"
"111","0","","411","","0.2","","","3","wac_paint_02","411007"
"11","","wac_default_11","411","","","","","32","1","411008"
"se_10035700","0","","411","0","0.2","","","23","se_10035700_brush","411009"
"1","","","411","","","","","131","","411010"
"106011","0","","412","1","0.2","","wac_talk_doya_loop","3","wac_talk_doya_in","412001"
"111","1","","412","","0.2","","","3","wac_no_items","412002"
"106011","-340","","412","","","","0","2","200","412003"
"111","-340","","412","","","","0","2","200","412004"
"1","","","412","","","","","32","0","412005"
"2","","","412","","","","","32","1","412006"
"11","","","412","","","","","32","0","412007"
"vo_wac_220218","0","","412","","","","0","21","vo_wac_220218_000","412008"
"106011","10","0.5","412","1","0","0","1","11","哼哼哼～♪\n好，感覺很不錯呢！\n今天的部分完成了！","412009"
"0","","","412","","","","","91","","412010"
"vo_wac_220218","0","","412","","","","0","21","vo_wac_220218_001","412011"
"106011","10","0.5","412","1","0","0","1","11","總覺得開始好玩起來了。\n……我啊，該不會是有\n繪畫的才能吧♪\n好～要來盡情地畫囉！","412012"
"0","","","412","","","","","91","","412013"
"0","","","412","","","","","22","0","412014"
"106011","1","","413","","0.2","","","3","wac_idle_doya","413001"
"111","1","","413","","0.2","","","3","wac_no_items","413002"
"106011","-340","","413","","","","0","2","200","413003"
"111","-340","","413","","","","0","2","200","413004"
"1","","","413","","","","","32","0","413005"
"2","","","413","","","","","32","1","413006"
"11","","","413","","","","","32","0","413007"
"0","","","413","","","","","91","","413008"
"1","202","wac_default_11","511","-212.75","2","0","-108","1","106431","511001"
"1","201","wac_default_12","511","-212.75","2","0","-108","5","111","511002"
"1","0","","511","1","1","","0","31","1","511003"
"2","0","","511","1","0","","0","31","2","511004"
"11","0","","511","1","0","","0","31","11","511005"
"106431","0","","511","","0.2","","","3","wac_paint_11","511006"
"111","0","","511","","0.2","","","3","wac_paint_12","511007"
"0.3","","","511","","","","","93","0","511008"
"11","","wac_default_11","511","","","","","32","1","511009"
"se_10035700","0","","511","0","0.2","","","23","se_10035700_roller","511010"
"1","","","511","","","","","131","","511011"
"106431","0","","512","1","0.2","","wac_talk_smile_loop","3","wac_talk_smile_in","512001"
"111","1","","512","","0.2","","","3","wac_no_items","512002"
"106431","-340","","512","","","","0","2","200","512003"
"111","-340","","512","","","","0","2","200","512004"
"1","","","512","","","","","32","0","512005"
"2","","","512","","","","","32","1","512006"
"11","","","512","","","","","32","0","512007"
"vo_wac_220219","0","","512","","","","0","21","vo_wac_220219_000","512008"
"106431","10","0.5","512","1","0","0","1","11","雖然我沒有學過畫畫……\n但盡情地動手畫畫非常新鮮，\n很有趣呢。","512009"
"0","","","512","","","","","91","","512010"
"vo_wac_220219","0","","512","","","","0","21","vo_wac_220219_001","512011"
"106431","10","0.5","512","1","0","0","1","11","我們畫的畫居然會變成\n蘭德索爾的一部分風景，\n總覺得這就像是在作夢……！","512012"
"0","","","512","","","","","91","","512013"
"0","","","512","","","","","22","0","512014"
"106431","1","","513","","0.2","","","3","wac_idle_smile","513001"
"111","1","","513","","0.2","","","3","wac_no_items","513002"
"106431","-340","","513","","","","0","2","200","513003"
"111","-340","","513","","","","0","2","200","513004"
"1","","","513","","","","","32","0","513005"
"2","","","513","","","","","32","1","513006"
"11","","","513","","","","","32","0","513007"
"0","","","513","","","","","91","","513008"
"1","202","wac_default_01","611","-212.75","2","0","-108","1","104411","611001"
"1","201","wac_default_01","611","-212.75","2","0","-108","5","111","611002"
"1","0","","611","1","1","","0","31","1","611003"
"2","0","","611","1","0","","0","31","2","611004"
"11","0","","611","1","0","","0","31","11","611005"
"104411","0","","611","","0.2","","","3","wac_paint_01","611006"
"111","0","","611","","0.2","","","3","wac_paint_01","611007"
"11","","wac_default_11","611","","","","","32","1","611008"
"se_10035700","0","","611","0","0.2","","","23","se_10035700_brush","611009"
"1","","","611","","","","","131","","611010"
"104411","0","","612","1","0.2","","wac_talk_doya_loop","3","wac_talk_doya_in","612001"
"111","1","","612","","0.2","","","3","wac_no_items","612002"
"104411","-340","","612","","","","0","2","200","612003"
"111","-340","","612","","","","0","2","200","612004"
"1","","","612","","","","","32","0","612005"
"2","","","612","","","","","32","1","612006"
"11","","","612","","","","","32","0","612007"
"vo_wac_220220","0","","612","","","","0","21","vo_wac_220220_000","612008"
"104411","10","0.5","612","1","0","0","1","11","將妾身的威嚴淋漓盡致地\n畫在蘭德索爾……\n這不是別有一番雅興嗎！","612009"
"0","","","612","","","","","91","","612010"
"vo_wac_220220","0","","612","","","","0","21","vo_wac_220220_001","612011"
"104411","10","0.5","612","1","0","0","1","11","嗯，話又說回來，真不愧是妾身。\n這美妙的筆觸無人能及。如此一來，\n征服世界的那天也不遠了！\n哼……哼哈哈哈哈，哈～哈哈哈！","612012"
"0","","","612","","","","","91","","612013"
"0","","","612","","","","","22","0","612014"
"104411","1","","613","","0.2","","","3","wac_idle_doya","613001"
"111","1","","613","","0.2","","","3","wac_no_items","613002"
"104411","-340","","613","","","","0","2","200","613003"
"111","-340","","613","","","","0","2","200","613004"
"1","","","613","","","","","32","0","613005"
"2","","","613","","","","","32","1","613006"
"11","","","613","","","","","32","0","613007"
"0","","","613","","","","","91","","613008"
"1","202","wac_default_bot_01","711","-325","2","0","-108","1","102211","711001"
"1","201","wac_default_02","711","-325","2","0","-108","5","111","711002"
"3","0","","711","1","1","","0","31","3","711003"
"2","0","","711","1","0","","0","31","2","711004"
"13","0","","711","1","0","","0","31","13","711005"
"102211","0","","711","","0.2","","","3","wac_paint_bot_01","711006"
"111","0","","711","","0.2","","","3","wac_paint_02","711007"
"13","","wac_default_11","711","","","","","32","1","711008"
"se_10035700","0","","711","0","0.2","","","23","se_10035700_brush","711009"
"1","","","711","","","","","131","","711010"
"102211","0","","712","1","0.2","","wac_talk_sad_loop","3","wac_talk_sad_in","712001"
"111","1","","712","","0.2","","","3","wac_no_items","712002"
"102211","-340","","712","","","","0","2","200","712003"
"111","-340","","712","","","","0","2","200","712004"
"3","","","712","","","","","32","0","712005"
"2","","","712","","","","","32","1","712006"
"13","","","712","","","","","32","0","712007"
"vo_wac_220221","0","","712","","","","0","21","vo_wac_220221_000","712008"
"102211","10","0.5","712","1","0","0","1","11","這、這種感覺可以嗎……？\n居然突然要人畫圖，\n還真是強人所難。","712009"
"0","","","712","","","","","91","","712010"
"vo_wac_220221","0","","712","","","","0","21","vo_wac_220221_001","712011"
"102211","10","0.5","712","1","0","0","1","11","雖然手因為緊張而抖了起來……\n連我都覺得畫得很不錯。\n不知道茜里畫了什麼樣的圖？\n就去看看吧。","712012"
"0","","","712","","","","","91","","712013"
"0","","","712","","","","","22","0","712014"
"102211","1","","713","","0.2","","","3","wac_idle_sad","713001"
"111","1","","713","","0.2","","","3","wac_no_items","713002"
"102211","-340","","713","","","","0","2","200","713003"
"111","-340","","713","","","","0","2","200","713004"
"3","","","713","","","","","32","0","713005"
"2","","","713","","","","","32","1","713006"
"13","","","713","","","","","32","0","713007"
"0","","","713","","","","","91","","713008"
"1","202","wac_default_bot_11","811","-325","2","0","-108","1","100611","811001"
"1","201","wac_default_12","811","-325","2","0","-108","5","111","811002"
"3","0","","811","1","1","","0","31","3","811003"
"2","0","","811","1","0","","0","31","2","811004"
"13","0","","811","1","0","","0","31","13","811005"
"100611","0","","811","","0.2","","","3","wac_paint_bot_11","811006"
"111","0","","811","","0.2","","","3","wac_paint_12","811007"
"0.3","","","811","","","","","93","0","811008"
"13","","wac_default_11","811","","","","","32","1","811009"
"se_10035700","0","","811","0","0.2","","","23","se_10035700_roller","811010"
"1","","","811","","","","","131","","811011"
"100611","0","","812","1","0.2","","wac_talk_smile_loop","3","wac_talk_smile_in","812001"
"111","1","","812","","0.2","","","3","wac_no_items","812002"
"100611","-340","","812","","","","0","2","200","812003"
"111","-340","","812","","","","0","2","200","812004"
"3","","","812","","","","","32","0","812005"
"2","","","812","","","","","32","1","812006"
"13","","","812","","","","","32","0","812007"
"vo_wac_220222","0","","812","","","","0","21","vo_wac_220222_000","812008"
"100611","10","0.5","812","1","0","0","1","11","嘻嘻♪\n茜里畫好了～♪\n好可愛喔～♪","812009"
"0","","","812","","","","","91","","812010"
"vo_wac_220222","0","","812","","","","0","21","vo_wac_220222_001","812011"
"100611","10","0.5","812","1","0","0","1","11","不過，是不是讓畫面\n灑滿更多愛心比較好？\n或是去姊姊那裡補畫──\n啊！姊姊♪","812012"
"0","","","812","","","","","91","","812013"
"0","","","812","","","","","22","0","812014"
"100611","1","","813","","0.2","","","3","wac_idle_smile","813001"
"111","1","","813","","0.2","","","3","wac_no_items","813002"
"100611","-340","","813","","","","0","2","200","813003"
"111","-340","","813","","","","0","2","200","813004"
"3","","","813","","","","","32","0","813005"
"2","","","813","","","","","32","1","813006"
"13","","","813","","","","","32","0","813007"
"0","","","813","","","","","91","","813008"
"1","202","wac_default_01","911","-212.75","2","0","-108","1","103111","911001"
"1","201","wac_default_03","911","-212.75","2","0","-108","5","111","911002"
"1","0","","911","1","1","","0","31","1","911003"
"2","0","","911","1","0","","0","31","2","911004"
"11","0","","911","1","0","","0","31","11","911005"
"103111","0","","911","","0.2","","","3","wac_paint_01","911006"
"111","0","","911","","0.2","","","3","wac_paint_03","911007"
"11","","wac_default_11","911","","","","","32","1","911008"
"se_10035700","0","","911","0","0.2","","","23","se_10035700_brush","911009"
"1","","","911","","","","","131","","911010"
"103111","0","","912","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","912001"
"111","1","","912","","0.2","","","3","wac_no_items","912002"
"103111","-340","","912","","","","0","2","200","912003"
"111","-340","","912","","","","0","2","200","912004"
"1","","","912","","","","","32","0","912005"
"2","","","912","","","","","32","1","912006"
"11","","","912","","","","","32","0","912007"
"vo_wac_220223","0","","912","","","","0","21","vo_wac_220223_000","912008"
"103111","10","0.5","912","1","0","0","1","11","在蘭德索爾的牆壁上畫畫……\n我原本很擔心自己能不能\n做到這件事，但進行得很順利，\n我放心了。","912009"
"0","","","912","","","","","91","","912010"
"vo_wac_220223","0","","912","","","","0","21","vo_wac_220223_001","912011"
"103111","10","0.5","912","1","0","0","1","11","雖然一想到別人會看到這個，\n就覺得有點不好意思……\n但如果能讓大家感到開心，\n我會很高興的。","912012"
"0","","","912","","","","","91","","912013"
"0","","","912","","","","","22","0","912014"
"103111","1","","913","","0.2","","","3","wac_idle_wish","913001"
"111","1","","913","","0.2","","","3","wac_no_items","913002"
"103111","-340","","913","","","","0","2","200","913003"
"111","-340","","913","","","","0","2","200","913004"
"1","","","913","","","","","32","0","913005"
"2","","","913","","","","","32","1","913006"
"11","","","913","","","","","32","0","913007"
"0","","","913","","","","","91","","913008"
"1","202","wac_default_01","1011","-212.75","2","0","-108","1","100711","1011001"
"1","201","wac_default_01","1011","-212.75","2","0","-108","5","111","1011002"
"1","0","","1011","1","1","","0","31","1","1011003"
"2","0","","1011","1","0","","0","31","2","1011004"
"11","0","","1011","1","0","","0","31","11","1011005"
"100711","0","","1011","","0.2","","","3","wac_paint_01","1011006"
"111","0","","1011","","0.2","","","3","wac_paint_01","1011007"
"11","","wac_default_11","1011","","","","","32","1","1011008"
"se_10035700","0","","1011","0","0.2","","","23","se_10035700_brush","1011009"
"1","","","1011","","","","","131","","1011010"
"100711","0","","1012","1","0.2","","wac_talk_smile_loop","3","wac_talk_smile_in","1012001"
"111","1","","1012","","0.2","","","3","wac_no_items","1012002"
"100711","-340","","1012","","","","0","2","200","1012003"
"111","-340","","1012","","","","0","2","200","1012004"
"1","","","1012","","","","","32","0","1012005"
"2","","","1012","","","","","32","1","1012006"
"11","","","1012","","","","","32","0","1012007"
"vo_wac_220224","0","","1012","","","","0","21","vo_wac_220224_000","1012008"
"100711","10","0.5","1012","1","0","0","1","11","是布丁來的，這裡也是布丁來的，\n這邊那邊也都是布丁來的。\n沒有啦，騙你的喲。\n人家有照著學到的好好畫喲。","1012009"
"0","","","1012","","","","","91","","1012010"
