38e7f66aba614199ce9ee583c42aa179ae015927a94b07aad81cffc5f213a31f,1525615c99409b9819d8b8fb31e64a680f6218b16bbfa985f2138ee0e3319d36,a3cf6b7d6f5daf8eba1b6a346f74417be8a1a8c143a5be2e1d1ce1af0f2cc794,3cfcdf4bf8a491f97d83da0eb4a0caa044ccc5256358e2d45384b4e6523281dc,460daa7821ac133e8a0360fdbc438d7521da3d07ba4e4b6edb9b9b6106fb3c29,7cba0a86b83cfb2b7859a85ae78e2b159a58ff35f11397eedce110ff6c2b30e0,64268186aabe88192c4bf4d3d001f1d6223595b76f664b9dcb1dabc617fe6d08,b4eba6fec94055a752cf47dca09b5b4dc372e8313a1eb2c2384abc24f30cfac3,5348a9c77acb2e9aca1b5cc94fb4301fd377c4cdfe40dd55bdc2774df13acb2f,ee68fa7fa03da61c47c7615120ec91f21bba09242f81d2198a7c9629447e08a5,bc4edd8f358b906580a2eee375197bcf666941e3bfcf2220facfb6e010b3d42c,db726fca756fad169fc147527f58866b7c774fc1ca274d21302a2eb6ef139501,6cd0dd5fde0c18466edd2dc660c82093986df3ca0f07b8b6e227ad6ea8268c52,c4e58e029c7295c23ffe60a16dec0d52bb723f5c4d9c81a95cbc168010d23d40,ecff4c85c2ffbb3a5d9d1a05e09902bd7f969762aa84c5bdbf1b2235dc68f609
"90","924112002","前哨冒險","25","924110200","92411","92411020","2","540","25","25","92411030","92411010","0","924113002"
"90","924112003","前哨冒險","25","924110300","92411","92411030","3","540","25","25","0","92411020","0","924113003"
"90","924122001","前哨冒險","25","924120100","92412","92412010","1","540","25","25","92412020","0","0","924123001"
"90","924122002","前哨冒險","25","924120200","92412","92412020","2","540","25","25","92412030","92412010","0","924123002"
"90","924122003","前哨冒險","25","924120300","92412","92412030","3","540","25","25","0","92412020","0","924123003"
"90","924142001","前哨冒險","25","924140100","92414","92414010","1","540","25","25","92414020","0","0","924143001"
"90","924142002","前哨冒險","25","924140200","92414","92414020","2","540","25","25","92414030","92414010","0","924143002"
"90","924142003","前哨冒險","25","924140300","92414","92414030","3","540","25","25","0","92414020","0","924143003"
"90","924152001","前哨冒險","25","924150100","92415","92415010","1","540","25","25","92415020","0","0","924153001"
"90","924152002","前哨冒險","25","924150200","92415","92415020","2","540","25","25","92415030","92415010","0","924153002"
"90","924152003","前哨冒險","25","924150300","92415","92415030","3","540","25","25","0","92415020","0","924153003"
"90","924162001","前哨冒險","25","924160100","92416","92416010","1","540","25","25","92416020","0","0","924163001"
"90","924162002","前哨冒險","25","924160200","92416","92416020","2","540","25","25","92416030","92416010","0","924163002"
"90","924162003","前哨冒險","25","924160300","92416","92416030","3","540","25","25","0","92416020","0","924163003"
"90","924172001","前哨冒險","25","924170100","92417","92417010","1","540","25","25","92417020","0","0","924173001"
"90","924172002","前哨冒險","25","924170200","92417","92417020","2","540","25","25","92417030","92417010","0","924173002"
"90","924172003","前哨冒險","25","924170300","92417","92417030","3","540","25","25","0","92417020","0","924173003"
"90","924182001","前哨冒險","25","924180100","92418","92418010","1","540","25","25","92418020","0","0","924183001"
"90","924182002","前哨冒險","25","924180200","92418","92418020","2","540","25","25","92418030","92418010","0","924183002"
"90","924182003","前哨冒險","25","924180300","92418","92418030","3","540","25","25","0","92418020","0","924183003"
"90","924192001","前哨冒險","25","924190100","92419","92419010","1","540","25","25","92419020","0","0","924193001"
"90","924192002","前哨冒險","25","924190200","92419","92419020","2","540","25","25","92419030","92419010","0","924193002"
"90","924192003","前哨冒險","25","924190300","92419","92419030","3","540","25","25","0","92419020","0","924193003"
"90","924202001","前哨冒險","25","924200100","92420","92420010","1","540","25","25","92420020","0","0","924203001"
"90","924202002","前哨冒險","25","924200200","92420","92420020","2","540","25","25","92420030","92420010","0","924203002"
"90","924202003","前哨冒險","25","924200300","92420","92420030","3","540","25","25","0","92420020","0","924203003"
"90","924212001","前哨冒險","25","924010100","92421","92421010","1","540","25","25","92421020","0","0","924213001"
"90","924212002","前哨冒險","25","924010200","92421","92421020","2","540","25","25","92421030","92421010","0","924213002"
"90","924212003","前哨冒險","25","924010300","92421","92421030","3","540","25","25","0","92421020","0","924213003"
"90","924222001","前哨冒險","25","924020100","92422","92422010","1","540","25","25","92422020","0","0","924223001"
"90","924222002","前哨冒險","25","924020200","92422","92422020","2","540","25","25","92422030","92422010","0","924223002"
"90","924222003","前哨冒險","25","924020300","92422","92422030","3","540","25","25","0","92422020","0","924223003"
"90","925012001","前哨冒險","25","925010100","92413","92501010","1","540","25","25","92501020","0","0","925013001"
"90","925012002","前哨冒險","25","925010200","92413","92501020","2","540","25","25","92501030","92501010","0","925013002"
"90","925012003","前哨冒險","25","925010300","92413","92501030","3","540","25","25","0","92501020","0","925013003"
