68028e73bc8369cb8c74f1a7612a4beb420ceceba1521d1984eacb97e62e25f8,b52f81db770fcac1bf98edc580c3c83a30c237ca8ab8abbd6827b644a5b81007,7d3cbf6aaf7f97c71db45d38314555942f583a0d41d8959287a51a88b6880ad8,797469b5056bfe07902d05c8fda2e6081a46d596e4d3607b2e79e30b64649525,d8eeeb80ce6ef931d0a03a8a3cba1aecec3cf53e43e9e6e5af59a17e5e9a4346,97a5e5ccecc92f5d52abc9cdc96b193765e73132d8383c2b120a58d3eb27fbff,ed0de375ad775755a0d5c360cc3d465c0d89bc9b59d4334e5bd17f5bf74ddb74,79ffc8902f87c637da927b7b0389b02b28bde411ad136e4ce90a9dc074b91cc5,3ceb0daed60ebefb5e3d6ed12a202181ec8494d871777583c71c3092acbca3cd,2d2c0ad4df4b3affce5b60e7bba1e5eebeb1d8b0c9cc17b2f3afeb129e26f2de,5f06f1c90eb480b2ea62485b887e29e8946b83358bf32fa4b3a33849361a1d15,02ea8db9ceb236cbd76aa1b36ada5b82c83c0e4c8ca3f2395e7c427e174bd41a
"0","100700606","1.734","336","6","1007006","0","0","2","1","0","0"
"1.665","100700607","0","0","7","1007006","0","0","0","4","1","0"
"0","100700608","1.035","201","8","1007006","0","0","3","1","0","0"
"1.893","100700609","0","0","9","1007006","0","0","0","4","1","0"
"0","100700610","0.821","354","10","1007006","0","0","3","1","0","201"
"0.664","100700611","0","0","11","1007006","0","0","0","4","1","0"
"0","100700612","1.361","367","12","1007006","0","0","4","1","0","0"
"1.108","100700613","0","0","13","1007006","0","0","0","4","1","0"
"0","100700614","1.269","259","14","1007006","0","0","5","1","0","0"
"3.112","100700615","0","0","15","1007006","0","0","0","4","1","0"
"0","100700616","0","0","16","1007006","vo_svd","vo_svd_0603","0","2","0","0"
"0","100700617","2.056","336","17","1007006","0","0","6","1","0","0"
"1.844","100700618","0","0","18","1007006","0","0","0","4","1","0"
"0","100700619","1.965","364","19","1007006","0","0","7","1","0","0"
"2.5","100700620","0","0","20","1007006","0","0","0","4","1","0"
"0.8","100700701","0","0","1","1007007","0","0","0","4","1","0"
"0","100700702","0","0","2","1007007","vo_svd","vo_svd_0701","0","2","0","0"
"0","100700703","0.926","147","3","1007007","0","0","1","1","0","0"
"1.549","100700704","0","0","4","1007007","0","0","0","4","1","0"
"0","100700705","1.457","345","5","1007007","0","0","1","1","0","147"
"1.228","100700706","0","0","6","1007007","0","0","0","4","1","0"
"0","100700707","0.762","0","7","1007007","0","0","2","1","0","0"
"2.221","100700708","0","0","8","1007007","0","0","0","4","1","0"
"0","100700709","0","0","9","1007007","vo_svd","vo_svd_0702","0","2","0","0"
"0","100700710","0.969","120","10","1007007","0","0","2","1","0","0"
"0.747","100700711","0","0","11","1007007","0","0","0","4","1","0"
"0","100700712","1.785","336","12","1007007","0","0","2","1","0","120"
"1.932","100700713","0","0","13","1007007","0","0","0","4","1","0"
"0","100700714","0.385","35","14","1007007","0","0","3","1","0","0"
"0.5","100700715","0","0","15","1007007","0","0","0","4","1","0"
"0","100700716","1.436","336","16","1007007","0","0","3","1","0","35"
"2.164","100700717","0","0","17","1007007","0","0","0","4","1","0"
"0","100700718","1.928","356","18","1007007","0","0","4","1","0","0"
"1.673","100700719","0","0","19","1007007","0","0","0","4","1","0"
"0","100700720","1.269","259","20","1007007","0","0","5","1","0","0"
"3.156","100700721","0","0","21","1007007","0","0","0","4","1","0"
"0","100700722","0","0","22","1007007","vo_svd","vo_svd_0703","0","2","0","0"
"0","100700723","2.077","336","23","1007007","0","0","6","1","0","0"
"1.841","100700724","0","0","24","1007007","0","0","0","4","1","0"
"0","100700725","1.965","364","25","1007007","0","0","7","1","0","0"
"2.5","100700726","0","0","26","1007007","0","0","0","4","0","0"
"0.8","100700801","0","0","1","1007008","0","0","0","4","1","0"
"0","100700802","0","0","2","1007008","vo_svd","vo_svd_0801","0","2","0","0"
"0","100700803","2.027","356","3","1007008","0","0","1","1","0","0"
"3.309","100700804","0","0","4","1007008","0","0","0","4","1","0"
"0","100700805","0","0","5","1007008","vo_svd","vo_svd_0802","0","2","0","0"
"0","100700806","1.879","336","6","1007008","0","0","2","1","0","0"
"3.041","100700807","0","0","7","1007008","0","0","0","4","1","0"
"0","100700808","0","0","8","1007008","vo_svd","vo_svd_0803","0","2","0","0"
"0","100700809","1.848","336","9","1007008","0","0","3","1","0","0"
"1.437","100700810","0","0","10","1007008","0","0","0","4","1","0"
"0","100700811","0.796","168","11","1007008","0","0","4","1","0","0"
"2.532","100700812","0","0","12","1007008","","","0","4","1","0"
"0","100700813","0","0","13","1007008","vo_svd","vo_svd_0804","0","2","0","0"
"0","100700814","1.002","299","14","1007008","0","0","5","1","0","0"
"2.164","100700815","0","0","15","1007008","0","0","0","4","1","0"
"0","100700816","1.574","115","16","1007008","0","0","6","1","0","0"
"2.164","100700817","0","0","17","1007008","0","0","0","4","1","0"
"0","100700818","1.269","280","18","1007008","0","0","6","1","0","115"
"2.5","100700819","0","0","19","1007008","0","0","0","4","1","0"
"0.8","100700901","0","0","1","1007009","0","0","0","4","1","0"
"0","100700902","0","0","2","1007009","vo_svd","vo_svd_0901","0","2","0","0"
"0","100700903","2.285","356","3","1007009","0","0","1","1","0","0"
"2.031","100700904","0","0","4","1007009","0","0","0","4","1","0"
"0","100700905","1.362","215","5","1007009","0","0","2","1","0","0"
"2.479","100700906","0","0","6","1007009","0","0","0","4","1","0"
"0","100700907","0","0","7","1007009","vo_svd","vo_svd_0902","0","2","0","0"
"0","100700908","2.004","356","8","1007009","0","0","3","1","0","0"
"1.804","100700909","0","0","9","1007009","0","0","0","4","1","0"
"0","100700910","2.026","185","10","1007009","0","0","4","1","0","0"
"2.473","100700911","0","0","11","1007009","0","0","0","4","1","0"
"0","100700912","0.518","338","12","1007009","0","0","4","1","0","185"
"0.556","100700913","0","0","13","1007009","0","0","0","4","1","0"
"0","100700914","2.021","336","14","1007009","0","0","5","1","0","0"
"1.713","100700915","0","0","15","1007009","0","0","0","4","1","0"
"0","100700916","1.513","250","16","1007009","0","0","6","1","0","0"
"1.981","100700917","0","0","17","1007009","0","0","0","4","1","0"
"0","100700918","0","0","18","1007009","vo_svd","vo_svd_0903","0","2","0","0"
"0","100700919","1.672","220","19","1007009","0","0","7","1","0","0"
"1.924","100700920","0","0","20","1007009","0","0","0","4","1","0"
"0","100700921","0.796","338","21","1007009","0","0","7","1","0","220"
"1.832","100700922","0","0","22","1007009","","","0","4","1","0"
"0","100700923","0","0","23","1007009","vo_svd","vo_svd_0904","0","2","0","0"
"0","100700924","0.703","77","24","1007009","0","0","8","1","0","0"
"1.523","100700925","0","0","25","1007009","0","0","0","4","1","0"
"0","100700926","0","0","26","1007009","vo_svd","vo_svd_0905","0","2","0","0"
"0","100700927","1.198","218","27","1007009","0","0","8","1","0","77"
"1.764","100700928","0","0","28","1007009","0","0","0","4","1","0"
"0","100700929","0","0","29","1007009","vo_svd","vo_svd_0906","0","2","0","0"
"0","100700930","2.335","336","30","1007009","0","0","9","1","0","0"
"3.423","100700931","0","0","31","1007009","0","0","0","4","1","0"
"0","100700932","0","0","32","1007009","vo_svd","vo_svd_0907","0","2","0","0"
"0","100700933","0.682","61","33","1007009","0","0","10","1","0","0"
"1.357","100700934","0","0","34","1007009","0","0","0","4","1","0"
"0","100700935","2.106","336","35","1007009","0","0","10","1","0","61"
"1.43","100700936","0","0","36","1007009","0","0","0","4","1","0"
"0","100700937","2.283","336","37","1007009","0","0","11","1","0","0"
"2.989","100700938","0","0","38","1007009","0","0","0","4","1","0"
"0","100700939","0","0","39","1007009","vo_svd","vo_svd_0908","0","2","0","0"
"0","100700940","1.978","322","40","1007009","0","0","12","1","0","0"
"1","100700941","0","0","41","1007009","0","0","0","4","1","0"
"0.8","100701001","0","0","1","1007010","0","0","0","4","1","0"
"0","100701002","0","0","2","1007010","vo_svd","vo_svd_1001","0","2","0","0"
"0","100701003","2.705","356","3","1007010","0","0","1","1","0","0"
"3.154","100701004","0","0","4","1007010","0","0","0","4","1","0"
"0","100701005","0.918","49","5","1007010","0","0","2","1","0","0"
"1.231","100701006","0","0","6","1007010","0","0","0","4","1","0"
"0","100701007","1.672","356","7","1007010","0","0","2","1","0","49"
"3.307","100701008","0","0","8","1007010","0","0","0","4","1","0"
"0","100701009","0","0","9","1007010","vo_svd","vo_svd_1002","0","2","0","0"
"0","100701010","0.835","336","10","1007010","0","0","3","1","0","0"
"1.164","100701011","0","0","11","1007010","0","0","0","4","1","0"
"0","100701012","1.623","336","12","1007010","0","0","3","1","0","336"
"1.712","100701013","0","0","13","1007010","0","0","0","4","1","0"
"0","100701014","2.294","356","14","1007010","0","0","4","1","0","0"
"2.186","100701015","0","0","15","1007010","0","0","0","4","1","0"
"0","100701016","2.184","0","16","1007010","0","0","5","1","0","0"
"3.034","100701017","0","0","17","1007010","0","0","0","4","1","0"
"0","100701018","0","0","18","1007010","vo_svd","vo_svd_1003","0","2","0","0"
"0","100701019","2.704","356","19","1007010","0","0","5","1","0","0"
"2.522","100701020","0","0","20","1007010","0","0","0","4","1","0"
"0","100701021","1.005","162","21","1007010","0","0","6","1","0","0"
"2.617","100701022","0","0","22","1007010","0","0","0","4","1","0"
"0","100701023","0","0","23","1007010","vo_svd","vo_svd_1004","0","2","0","0"
"0","100701024","0.975","223","24","1007010","0","0","7","1","0","0"
"1.202","100701025","0","0","25","1007010","0","0","0","4","1","0"
"0","100701026","1.214","340","26","1007010","0","0","7","1","0","223"
"1.187","100701027","0","0","27","1007010","0","0","0","4","1","0"
"0","100701028","2.043","345","28","1007010","0","0","8","1","0","0"
"3.356","100701029","0","0","29","1007010","0","0","0","4","1","0"
"0","100701030","0","0","30","1007010","vo_svd","vo_svd_1005","0","2","0","0"
"0","100701031","1.862","155","31","1007010","0","0","9","1","0","0"
"2.285","100701032","0","0","32","1007010","0","0","0","4","1","0"
"0","100701033","0","0","33","1007010","vo_svd","vo_svd_1006","0","2","0","0"
"0","100701034","0.682","128","34","1007010","0","0","10","1","0","0"
"1.529","100701035","0","0","35","1007010","0","0","0","4","1","0"
"0","100701036","1.042","240","36","1007010","0","0","10","1","0","128"
"2.384","100701037","0","0","37","1007010","0","0","0","4","1","0"
"0","100701038","0","0","38","1007010","vo_svd","vo_svd_1007","0","2","0","0"
"0","100701039","1.106","181","39","1007010","0","0","11","1","0","0"
"1.891","100701040","0","0","40","1007010","0","0","0","4","1","0"
"0","100701041","1.322","290","41","1007010","0","0","11","1","0","181"
"1","100701042","0","0","42","1007010","0","0","0","4","1","0"
