6905ef555a3d4a9dd50f2401ae008e32fb02658cf505fc6bfe1e708921508248,ab73162f00b8c818e53266287f9b2709ecec967588864cc2a58a0117bb118362,9827dae540d62e285471e963625b3ebeeab33a98348f22bbf08832830bcefdf3,fac7f69120acc9f6b191833dc4dc2aa79c192ab60e25d59b43f5ff87c4811975,5982662ec0ee4a08aaa7a034c5c320262b954cc39ea6b81ade980932bf1df1fe,c7bee54f4bb660da447393ec9957b8e3b6631972404a2d8f63a3a1deed2d70c5,2aeadf8748ca798ad11b947b51e9bae1f1894480d45541785e5cb53bea0d0561,fde1944fb8d56c3ea6a773814f02980feb6f2ec4b6a4f49068c06c0e7292d254,a89427dc6fe8247c88c5a2abf05bb7a9dfa539c75602b9725e1ae61232e07a13,95d46df1d273ddb9520c20cc6e5f9bbbc384766d281add3a6932e4a7c5a96069,6c3d6e8461669c7e494345b282cad5c9f5ffbc7972b5f5798299c2a1e9fc8ffe
"top_iroha_sit_in","0.2","2","","","3","","0","2","2040","0.2"
"0","","2","","","93","","","4","2041",""
"","","2","","","101","","","2005","2042",""
"3","1.38","3","-130","350","5","top_sono_readPaper","100","3","3001","1"
"10","1","3","1","-18","31","","475","10","3002",""
"0","","3","","","91","","","0","3003",""
"top_sono_readPaper","0.2","3","","","3","","1","3","3004",""
"0","","3","","","93","","","13.6","3005",""
"top_sono_sit_out","0.2","3","1","top_sono_stretch","3","","0","3","3006","0"
"0","","3","","","93","","","3.5","3007",""
"top_sono_drink","0.2","3","","","3","","1","3","3008",""
"","","3","","","93","","","10.5","3009",""
"top_sono_sit_in","0.2","3","","","3","","0","3","3010",""
"0","","3","","","93","","","2.6","3011",""
"","","3","","","101","","","3004","3012",""
"2","1.43","4","-130","400","5","top_iroha_read","101","2","4001","1"
"1","1.4","4","-103","-216","5","top_luis_thinking","100","1","4002","1"
"11","1.4","4","130","980","5","butterfly","102","11","4003","1"
"11","0","4","1","-130","31","","400","11","4004",""
"0","","4","","","91","","","0","4005",""
"top_luis_thinking","0.2","4","","","3","","1","1","4006",""
"top_iroha_read","0.2","4","","","3","","1","2","4007",""
"0","","4","","","93","","","9","4008",""
"1","","4","","","4","","","11","4009",""
"-980","","4","0","7","2","","130","11","4010",""
"0","","4","","","93","","","2.5","4011",""
"top_iroha_read_notice","0.2","4","","","3","","0","2","4012",""
"0","","4","","","93","","","0.6","4013",""
"top_iroha_notice_to_run","0","4","1","top_iroha_run","3","","0","2","4014","0"
"0","","4","","","93","","","0.4","4015",""
"1","","4","","","32","","","11","4016",""
"smokeR","","4","","","37","","","11","4017",""
"-980","","4","0","4.2","33","","-130","11","4018",""
"-980","","4","0","4.2","2","","-130","2","4019",""
"0","","4","","","93","","","1.9","4020",""
"top_luis_surprise_in","0.2","4","1","top_luis_surprise_idle","3","","0","1","4021","0"
"0","","4","","","93","","","2.3","4022",""
"0","","4","","","32","","","11","4023",""
"0","","4","","","93","","","1","4024",""
"0","","4","","","4","","","11","4025",""
"980","","4","0","7","2","","130","11","4026",""
"0","","4","","","93","","","1.5","4027",""
"1","","4","","","32","","","11","4028",""
"smokeL","","4","","","37","","","11","4029",""
"980","","4","0","5.964","33","","-130","11","4030",""
"top_iroha_run_joy","0","4","","","3","","1","2","4031",""
"0","","4","","","4","","","2","4032",""
"980","","4","0","5.964","2","","-130","2","4033",""
"0","","4","","","93","","","2.2","4034",""
"top_luis_surprise_look","0","4","","","3","","1","1","4035",""
"0","","4","","","93","","","3.764","4036",""
"top_luis_thinking","0.2","4","","","3","","1","1","4037",""
"0","","4","","","32","","","11","4038",""
"0","","4","","","93","","","2","4039",""
"top_iroha_walk","0","4","","","3","","1","2","4040",""
"1","","4","","","4","","","2","4041",""
"400","","4","0","3","2","","-130","2","4042",""
"400","","4","0","3","33","","-130","11","4043",""
"0","","4","","","93","","","3","4044",""
"top_iroha_walk_out","0.2","4","1","idle_normal","3","","0","2","4045","0"
"0","","4","","","93","","","0.4","4046",""
"top_iroha_sit_in","0.2","4","","","3","","0","2","4047","0.2"
"0","","4","","","93","","","4","4048",""
"","","4","","","101","","","4007","4049",""
"3","1.4","5","-130","350","5","top_sono_readPaper","100","3","5001","1"
"2","1.4","5","-130","452","5","top_iroha_read_loop","110","2","5002","1"
"0","","5","","","91","","","0","5003",""
"top_iroha_read_loop","0.2","5","","","3","","1","2","5004",""
"top_sono_readPaper","0.2","5","","","3","","1","3","5005",""
"0","","5","","","93","","","13.6","5006",""
"top_sono_sit_out","0.2","5","1","top_sono_stretch","3","","0","3","5007","0"
"287","","5","0","0.3","2","","-130","3","5008",""
"0","","5","","","93","","","3.5","5009",""
"top_sono_drink","0.2","5","","","3","","1","3","5010",""
"0","","5","","","93","","","2.6","5011",""
"top_iroha_read_look","0.4","5","","","3","","0","2","5012",""
"0","","5","","","93","","","7.9","5013",""
"top_sono_sit_in","0.2","5","","","3","","0","3","5014",""
"0","","5","","","93","","","0.1","5015",""
"top_iroha_read_loop","0.2","5","","","3","","1","2","5016",""
"350","","5","0","0.3","2","","-130","3","5017",""
"0","","5","","","93","","","2.5","5018",""
"","","5","","","101","","","5005","5019",""
"1","1.4","6","-103","-216","5","idle_normal","100","1","6001","1"
"3","1.38","6","-130","350","5","top_sono_readPaper_loop","101","3","6002","1"
"10","1","6","1","-18","31","","475","10","6003",""
"13","0","6","1","-140","31","","56","13","6004",""
"14","0","6","1","-140","31","","56","14","6005",""
"0","","6","","","91","","","0","6006",""
"top_sono_readPaper_loop","0.2","6","","","3","","1","3","6007",""
"top_luis_arm_crossed_in","0.2","6","1","top_luis_arm_crossed_idle","3","","0","1","6008","0"
"0","","6","","","93","","","4","6009",""
"top_luis_approach_in","0.2","6","1","top_luis_approach_idle","3","","0","1","6010","0"
"0","","6","","","93","","","3.5","6011",""
"top_luis_thinking","0.2","6","","","3","","1","1","6012",""
"0","","6","","","93","","","3.5","6013",""
"top_luis_walk_think","0.2","6","","","3","","1","1","6014",""
"-495","","6","0","2","2","","-103","1","6015",""
"0","","6","","","93","","","2","6016",""
"0","","6","","","4","","","1","6017",""
"-216","","6","0","2","2","","-103","1","6018",""
"0","","6","","","93","","","2","6019",""
"top_luis_notice","0","6","","","3","","1","1","6020",""
"0","","6","","","93","","","1","6021",""
"top_luis_walk_jog","0.2","6","","","3","","1","1","6022",""
"-100","","6","0","0.5","2","","-130","1","6023",""
"0","","6","","","93","","","0.5","6024",""
"1","","6","","","4","","","1","6025",""
"top_luis_sit_in","0.2","6","1","top_luis_sit_idle","3","","0","1","6026","0"
"0","","6","","","93","","","0.1","6027",""
"-57","","6","0","0.4","2","","-140","1","6028",""
"0","","6","","","93","","","0.4","6029",""
"-16","","6","0","0","2","","-140","1","6030",""
"0","","6","","","4","","","1","6031",""
"0","","6","","","93","","","0.6","6032",""
"top_luis_experiment_failer_in","0.2","6","","","3","","0","1","6033",""
"0","","6","","","93","","","2.3","6034",""
"top_luis_experiment_failer_mix","0.1","6","","","3","","0","1","6035",""
"0","","6","","","93","","","2.7","6036",""
"top_sono_notice_in_surprise","0.2","6","1","top_sono_notice_loop_surprise","3","","0","3","6037","0"
"1","","6","","","32","","","13","6038",""
"top_luis_experiment_failer_burst","0.1","6","","","3","","0","1","6039",""
"0","","6","","","93","","","2.7","6040",""
"top_sono_readPaper_loop","0.2","6","","","3","","1","3","6041",""
"top_luis_experiment_failer_out","0.1","6","","","3","","0","1","6042",""
"0","","6","","","93","","","1.1","6043",""
"top_luis_sit_out","0.2","6","1","idle_normal","3","","0","1","6044","0"
"1","","6","","","4","","","1","6045",""
"-57","","6","0","0","2","","-140","1","6046",""
"-100","","6","0","0.3","2","","-130","1","6047",""
"0","","6","","","93","","","1","6048",""
"walk_normal","0.2","6","","","3","","0","1","6049",""
"-216","","6","0","1","2","","-103","1","6050",""
"0","","6","","","93","","","1","6051",""
"idle_normal","0.1","6","","","3","","0","1","6052",""
"0","","6","","","93","","","0.8","6053",""
"0","","6","","","32","","","13","6054",""
"top_luis_arm_crossed_in","0.2","6","1","top_luis_arm_crossed_idle","3","","0","1","6055","0"
"0","","6","","","93","","","4","6056",""
"top_luis_approach_in","0.2","6","1","top_luis_approach_idle","3","","0","1","6057","0"
"0","","6","","","93","","","3.5","6058",""
"top_luis_thinking","0.2","6","","","3","","1","1","6059",""
"0","","6","","","93","","","3.5","6060",""
"top_luis_walk_think","0.2","6","","","3","","1","1","6061",""
"-495","","6","0","2","2","","-103","1","6062",""
"0","","6","","","93","","","2","6063",""
"0","","6","","","4","","","1","6064",""
"-216","","6","0","2","2","","-103","1","6065",""
"0","","6","","","93","","","2","6066",""
"top_luis_notice","0","6","","","3","","1","1","6067",""
"0","","6","","","93","","","1","6068",""
"top_luis_walk_jog","0.2","6","","","3","","1","1","6069",""
"-100","","6","0","0.5","2","","-130","1","6070",""
"0","","6","","","93","","","0.5","6071",""
"1","","6","","","4","","","1","6072",""
"top_luis_sit_in","0.2","6","1","top_luis_sit_idle","3","","0","1","6073","0"
"0","","6","","","93","","","0.1","6074",""
"-57","","6","0","0.4","2","","-140","1","6075",""
"0","","6","","","93","","","0.4","6076",""
"-16","","6","0","0","2","","-140","1","6077",""
"0","","6","","","4","","","1","6078",""
"0","","6","","","93","","","0.6","6079",""
"top_luis_experiment_success_in","0.2","6","","","3","","0","1","6080",""
"0","","6","","","93","","","2.3","6081",""
"top_luis_experiment_success_mix","0.1","6","","","3","","0","1","6082",""
"0","","6","","","93","","","2.7","6083",""
"top_sono_notice_in_dere","0.2","6","1","top_sono_notice_loop_dere","3","","0","3","6084","0"
"1","","6","","","32","","","14","6085",""
"top_luis_experiment_success_burst","0.1","6","","","3","","0","1","6086",""
"0","","6","","","93","","","2.7","6087",""
"top_sono_readPaper_loop","0.2","6","","","3","","1","3","6088",""
"top_luis_experiment_success_out","0.1","6","","","3","","0","1","6089",""
"0","","6","","","93","","","1.1","6090",""
"top_luis_sit_out","0.2","6","1","idle_normal","3","","0","1","6091","0"
"1","","6","","","4","","","1","6092",""
"-57","","6","0","0","2","","-140","1","6093",""
"-100","","6","0","0.3","2","","-130","1","6094",""
"0","","6","","","93","","","1","6095",""
"walk_normal","0.2","6","","","3","","0","1","6096",""
"-216","","6","0","1","2","","-103","1","6097",""
"0","","6","","","93","","","1","6098",""
"idle_normal","0.1","6","","","3","","0","1","6099",""
"0","","6","","","93","","","0.8","6100",""
"0","","6","","","32","","","14","6101",""
"","","6","","0","101","","0","6008","6102",""
"1","1.4","7","-103","-216","5","idle_normal","100","1","7001","1"
"2","1.43","7","-130","452","5","top_iroha_read_loop","110","2","7002","1"
"3","1.38","7","-130","350","5","top_sono_readPaper_loop","101","3","7003","1"
"11","1.4","7","130","980","5","butterfly","111","11","7004","1"
"11","0","7","1","-130","31","","452","11","7005",""
"14","0","7","1","-140","31","","56","14","7006",""
"0","","7","","","91","","","0","7007",""
"top_iroha_read_loop","0.2","7","","","3","","1","2","7008",""
"top_sono_readPaper_loop","0.2","7","","","3","","1","3","7009",""
"top_luis_arm_crossed_in","0.2","7","1","top_luis_arm_crossed_idle","3","","0","1","7010","0"
"0","","7","","","93","","","4","7011",""
"top_luis_approach_in","0.2","7","1","top_luis_approach_idle","3","","0","1","7012","0"
"0","","7","","","93","","","3.5","7013",""
"top_luis_thinking","0.2","7","","","3","","1","1","7014",""
"0","","7","","","93","","","3.5","7015",""
"top_luis_walk_think","0.2","7","","","3","","1","1","7016",""
"-495","","7","0","2","2","","-103","1","7017",""
"0","","7","","","93","","","2","7018",""
"0","","7","","","4","","","1","7019",""
"-216","","7","0","2","2","","-103","1","7020",""
"0","","7","","","93","","","2","7021",""
"top_luis_notice","0","7","","","3","","1","1","7022",""
"0","","7","","","93","","","1","7023",""
"top_luis_walk_jog","0.2","7","","","3","","1","1","7024",""
"-100","","7","0","0.5","2","","-130","1","7025",""
"0","","7","","","93","","","0.5","7026",""
"1","","7","","","4","","","1","7027",""
"top_luis_sit_in","0.2","7","1","top_luis_sit_idle","3","","0","1","7028","0"
"0","","7","","","93","","","0.1","7029",""
"-57","","7","0","0.4","2","","-140","1","7030",""
"0","","7","","","93","","","0.4","7031",""
"-16","","7","0","0","2","","-140","1","7032",""
"0","","7","","","4","","","1","7033",""
"0","","7","","","93","","","0.6","7034",""
"top_luis_experiment_success_in","0.2","7","","","3","","0","1","7035",""
"0","","7","","","93","","","2.3","7036",""
"top_luis_experiment_success_mix","0.1","7","","","3","","0","1","7037",""
"0","","7","","","93","","","2.7","7038",""
"top_sono_notice_in_dere","0.2","7","1","top_sono_notice_loop_dere","3","","0","3","7039","0"
"top_iroha_read_look_light","0.2","7","","","3","","1","2","7040",""
"1","","7","","","32","","","14","7041",""
"top_luis_experiment_success_burst","0.1","7","","","3","","0","1","7042",""
"0","","7","","","93","","","2.7","7043",""
"top_sono_readPaper_loop","0.2","7","","","3","","1","3","7044",""
"top_iroha_read","0.2","7","","","3","","1","2","7045",""
"top_luis_experiment_success_out","0.1","7","","","3","","0","1","7046",""
"0","","7","","","93","","","1.1","7047",""
"top_luis_sit_out","0.2","7","1","idle_normal","3","","0","1","7048","0"
"1","","7","","","4","","","1","7049",""
"-57","","7","0","0","2","","-140","1","7050",""
"-100","","7","0","0.3","2","","-130","1","7051",""
"0","","7","","","93","","","1","7052",""
"walk_normal","0.2","7","","","3","","0","1","7053",""
"-216","","7","0","1","2","","-103","1","7054",""
"0","","7","","","93","","","1","7055",""
"idle_normal","0.1","7","","","3","","0","1","7056",""
"0","","7","","","93","","","0.8","7057",""
"0","","7","","","32","","","14","7058",""
"top_luis_thinking","0.2","7","","","3","","1","1","7059",""
"0","","7","","","93","","","5.1","7060",""
"1","","7","","","4","","","11","7061",""
"-980","","7","0","7","2","","130","11","7062",""
"0","","7","","","93","","","2.5","7063",""
"top_iroha_read_notice","0.2","7","","","3","","0","2","7064",""
"0","","7","","","93","","","0.6","7065",""
"top_iroha_notice_to_run","0","7","1","top_iroha_run","3","","0","2","7066","0"
"0","","7","","","93","","","0.4","7067",""
"1","","7","","","32","","","11","7068",""
"smokeR","","7","","","37","","","11","7069",""
"-980","","7","0","4.2","33","","-130","11","7070",""
"-980","","7","0","4.2","2","","-130","2","7071",""
"0","","7","","","93","","","0.2","7072",""
"top_sono_notice_in_surprise","0.2","7","1","top_sono_notice_loop_surprise","3","","0","3","7073","0"
"0","","7","","","93","","","1.7","7074",""
"top_luis_surprise_in","0.2","7","1","top_luis_surprise_idle","3","","0","1","7075","0"
"0","","7","","","93","","","2.5","7076",""
"0","","7","","","32","","","11","7077",""
"0","","7","","","93","","","1","7078",""
"0","","7","","","4","","","11","7079",""
"980","","7","0","7","2","","130","11","7080",""
"0","","7","","","93","","","1.5","7081",""
"1","","7","","","32","","","11","7082",""
"smokeL","","7","","","37","","","11","7083",""
"980","","7","0","5.964","33","","-130","11","7084",""
"top_iroha_run_joy","0","7","","","3","","1","2","7085",""
"0","","7","","","4","","","2","7086",""
"980","","7","0","5.964","2","","-130","2","7087",""
"0","","7","","","93","","","2.2","7088",""
"top_luis_surprise_look","0","7","","","3","","1","1","7089",""
"0","","7","","","93","","","1.8","7090",""
"top_sono_notice_loop_look","0","7","","","3","","1","3","7091",""
"0","","7","","","93","","","1.964","7092",""
"0","","7","","","32","","","11","7093",""
"0","","7","","","93","","","0.5","7094",""
"top_luis_thinking","0.2","7","","","3","","1","1","7095",""
"0","","7","","","93","","","1.5","7096",""
"top_iroha_walk","0","7","","","3","","1","2","7097",""
"1","","7","","","4","","","2","7098",""
"1032","","7","0","0","2","","-130","2","7099",""
"1032","","7","0","0","33","","-130","11","7100",""
"452","","7","0","3","2","","-130","2","7101",""
"452","","7","0","3","33","","-130","11","7102",""
"0","","7","","","93","","","3","7103",""
"top_iroha_walk_out","0.2","7","1","idle_normal","3","","0","2","7104","0"
"0","","7","","","93","","","0.4","7105",""
"top_iroha_sit_in","0.2","7","1","top_iroha_read_loop","3","","0","2","7106","0.2"
"top_sono_readPaper","0.2","7","","","3","","1","3","7107",""
"0","","7","","","93","","","4","7108",""
"0","","7","","","93","","","9.6","7109",""
"top_sono_sit_out","0.2","7","1","top_sono_stretch","3","","0","3","7110","0"
"287","","7","0","0.3","2","","-130","3","7111",""
"0","","7","","","93","","","3.5","7112",""
"top_sono_drink","0.2","7","","","3","","1","3","7113",""
"0","","7","","","93","","","2.6","7114",""
"top_iroha_read_look","0.4","7","","","3","","0","2","7115",""
"0","","7","","","93","","","3.5","7116",""
"top_luis_thinking_look","0.2","7","","","3","","1","1","7117",""
"0","","7","","","93","","","2.9","7118",""
"top_luis_thinking","0.2","7","","","3","","1","1","7119",""
"0","","7","","","93","","","1.5","7120",""
"top_sono_sit_in","0.2","7","","","3","","0","3","7121",""
"0","","7","","","93","","","0.1","7122",""
"top_iroha_read_loop","0.2","7","","","3","","1","2","7123",""
"350","","7","0","0.3","2","","-130","3","7124",""
"0","","7","","","93","","","2.5","7125",""
"top_sono_readPaper_loop","0.2","7","","","3","","1","3","7126",""
"0","","7","","","93","","","1","7127",""
"","","7","","","101","","","7012","7128",""
"3","1.4","11","-130","350","5","sit_readPaper","100","3","11001","1"
"1","1.5","11","-150","950","5","empty","102","1","11002","0"
"10","1","11","1","-18","31","","475","10","11003",""
"11","0","11","1","-130","31","","350","11","11004",""
"0","","11","","","91","","","0","11005",""
"1","","11","","","93","","","0.5","11006",""
"vo_alces_1100","","11","","0","21","","0","vo_alces","11007",""
"…………\n…………","10","11","0","1","11","0.5","10","3","11008","0"
"","","11","","0","91","","0","0","11009",""
"sit_readPaperTurn","0.2","11","1","sit_readPaper","3","","0","3","11010","0"
"1","","11","","","93","","","1","11011",""
"0","","11","","","93","","","1","11012",""
"sit_readPaper_surprise","0.2","11","","","3","","1","3","11013",""
"vo_alces_1101","","11","","0","21","","0","vo_alces","11014",""
"…………\n…………","10","11","0","1","11","0.5","10","3","11015","0"
"","","11","","0","91","","0","0","11016",""
"0","","11","","","93","","","1","11017",""
"se_alces_emotion_exQuestion","","11","","","23","","","se_alces","11018",""
"3","10","11","0","0","12","","0.2","3","11019","0"
"sit_readPaper_notice_in","0.1","11","1","sit_readPaper_notice_loop","3","","0","3","11020","0"
"0","","11","","","93","","","1.2","11021",""
"sit_readPaper_kira_in","0.2","11","1","sit_readPaper_kira_talk","3","","0","3","11022","0"
"vo_alces_1102","","11","","0","21","","0","vo_alces","11023",""
"……！！\n番茄一包三顆只要150盧幣！？\n太神了吧！？","0","11","0","1","11","3.2","10","3","11024","0"
"","","11","","","91","","","0","11025",""
"0.5","","11","","","22","","","0","11026",""
"sit_out_readPaper_light","0.2","11","","","3","","1","3","11027",""
"0","","11","","","93","","","0.5","11028",""
"sono_walletPick_in","0.2","11","","","3","","1","3","11029",""
"0","","11","","","93","","","1.8","11030",""
"sono_walk_quick_R_in","0.2","11","1","sono_walk_quick_R","3","","0","3","11031","0"
"1","","11","","","32","","","11","11032",""
"1500","","11","0","3.3","2","","-130","3","11033",""
"1500","","11","0","3.3","33","","-130","11","11034",""
"0","","11","","","93","","","1","11035",""
"luis_walk_furimuki_in","0.2","11","1","luis_walk_furimuki","3","","0","1","11036","0"
"350","","11","0","4","2","","-150","1","11037",""
"0","","11","","","93","","","4","11038",""
"luis_walk_to_idle","0.2","11","1","luis_sad_idle","3","","0","1","11039","0"
"se_alces_emotion_question","","11","","","23","","","se_alces","11040",""
"5","0","11","0","0","12","","1.3","1","11041","0"
"0","","11","","","93","","","2.1","11042",""
"idle_normal","0.2","11","","","3","","1","1","11043",""
"0","","11","","","22","","","0","11044",""
"0","","11","","","93","","","3","11045",""
"","","11","","0","101","","0","11045","11046",""
"1","1.45","12","-190","400","5","luis_run_dash_pain","101","1","12001","0"
"1001","1.45","12","-190","-85","5","empty","102","10","12002","0"
"11","","12","1","-190","31","","400","11","12003",""
"130","","12","","","13","","","1","12004",""
"105111","1.45","12","-190","1050","1","empty","102","1","12005","1"
"1002","1.45","12","-190","1050","5","empty","103","10","12006","1"
"12","0","12","1","-190","31","","-85","12","12007",""
"0","","12","","","91","","","0","12008",""
"-85","","12","0","1.3","2","","-190","1","12009",""
"-85","","12","0","1.3","33","","-190","11","12010",""
"1","","12","","","32","","","11","12011",""
"sweatR_run","","12","","","37","","","11","12012",""
"0","","12","","","93","","","1.3","12013",""
"luis_run_turn","0.2","12","1","anger_talk_Ex0001","3","","0","1","12014","0"
"vo_alces_1200","","12","","0","21","","0","vo_alces","12015",""
"等等，為什麼\n那個人在追我啊！？","0","12","0","1","11","1","10","1","12016","0"
"","","12","","0","91","","0","0","12017",""
"sad_talk_normalR","0.2","12","","","3","","1","1","12018",""
