250c82d122a77d8975b91453ef79285e034b8563da9219154bc66e57bf37164c,49cb88a63543c3857610250b8100a1fb5338b5f600f49af9e76683f168783ea1,7ab982e7f925a9ce04c4adcdd0edfcb062ce35afb5598a0b213135c61c50cee0,485924eec81701ef33eb89b1b2f1337978dbb8c6f812e12cbe10bdb8d964ee9e,4d545acd36883f85dd608dfb8cf2a637bdc575b73387451a8b5fb68dfa251c2a,8a0573197a53aa4406e197456948ae915d277d417563a2cf3337eb6a1217a270,31a1bbb4cff130963681a222b4a27b20d44f141b07eef1fb9c51de3519d12914
"6","0","1","0","1","33","3"
"10","13","3","0","2","33","1"
"3","3","1","0","3","33","3"
"72","0","3","0","4","33","1"
"12","2","1","0","5","33","3"
"4","6","2","0","1","34","1"
"5","7","1","0","2","34","1"
"1","0","1","0","3","34","2"
"12","8","1","0","4","34","2"
"1","0","1","0","5","34","1"
"15","0","2","0","6","34","1"
"8","0","2","0","1","35","1"
"72","10","2","0","2","35","1"
"13","0","2","0","3","35","1"
"4","0","2","0","1","36","1"
"6","6","1","0","2","36","1"
"1","0","1","0","3","36","1"
"72","10","1","0","4","36","2"
"9","0","1","0","5","36","2"
"2","7","2","0","6","36","2"
"8","7","2","0","1","37","1"
"4","0","1","0","2","37","1"
"5","0","1","0","3","37","2"
"13","6","2","0","4","37","1"
"13","10","2","0","1","38","1"
"5","8","1","0","2","38","1"
"6","7","1","0","3","38","2"
"1","0","1","0","4","38","1"
"9","7","1","0","5","38","2"
"15","13","1","0","6","38","2"
"8","0","2","0","7","38","1"
"4","6","2","0","1","39","1"
"6","13","1","0","2","39","1"
"72","10","1","0","3","39","2"
"13","6","2","0","4","39","1"
