70a3b81667af5b17bbb942e707283584523ac31b469884fc320f3664583ae8a2,bde059512becc0d17267730e4161475a6d3d136f57868daea58e178f811cd2af,60aec3e880fdf52602c8936e86688d3527f9c6d7f7d06d1a308f0e0a5684294b,eda10feb619a044aee8875eeb08f70b574bfac5ebf4fde6f26aeae8c3ef4387e,b370544704b3cd2c323dc846eba26c0eaacaa937ef4b0defd209a11d7136d774
"10004047","50","91002","8","71004025"
"10004048","1","31076","2","71004026"
"10004049","1","31076","2","71004027"
"10004050","2","31076","2","71004028"
"10004051","2","31076","2","71004029"
"10004052","4","31076","2","71004030"
"10004053","10","31076","2","71004031"
"10005001","5","60042","2","61005001"
"10005002","5","60042","2","61005002"
"10005003","30","91002","8","71005001"
"10005004","1","22002","2","71005001"
"10005005","30","91002","8","71005002"
"10005006","1","22002","2","71005002"
"10005007","30","91002","8","71005003"
"10005008","1","22002","2","71005003"
"10005009","30","91002","8","71005004"
"10005010","1","22002","2","71005004"
"10005011","30","91002","8","71005005"
"10005012","1","22002","2","71005005"
"10005013","30","91002","8","71005006"
"10005014","1","22002","2","71005006"
"10005015","30","91002","8","71005007"
"10005016","1","22002","2","71005007"
"10005017","30","91002","8","71005008"
"10005018","1","22002","2","71005008"
"10005019","30","91002","8","71005009"
"10005020","1","22002","2","71005009"
"10005021","30","91002","8","71005010"
"10005022","1","22002","2","71005010"
"10005023","30","91002","8","71005011"
"10005024","1","22002","2","71005011"
"10005025","30","91002","8","71005012"
"10005026","1","22002","2","71005012"
"10005027","30","91002","8","71005013"
"10005028","1","22002","2","71005013"
"10005029","30","91002","8","71005014"
"10005030","1","22002","2","71005014"
"10005031","30","91002","8","71005015"
"10005032","1","22002","2","71005015"
"10005033","60","91002","8","71005016"
"10005034","2","22002","2","71005016"
"10005035","60","91002","8","71005017"
"10005036","2","22002","2","71005017"
"10005037","60","91002","8","71005018"
"10005038","2","22002","2","71005018"
"10005039","60","91002","8","71005019"
"10005040","2","22002","2","71005019"
"10005041","60","91002","8","71005020"
"10005042","2","22002","2","71005020"
"10005043","50000","94002","12","71005021"
"10005044","100000","94002","12","71005022"
"10005045","150000","94002","12","71005023"
"10005046","200000","94002","12","71005024"
"10005047","50","91002","8","71005025"
"10005048","1","31080","2","71005026"
"10005049","1","31080","2","71005027"
"10005050","2","31080","2","71005028"
"10005051","2","31080","2","71005029"
"10005052","4","31080","2","71005030"
"10005053","10","31080","2","71005031"
"10006001","5","60052","2","61006001"
"10006002","5","60052","2","61006002"
"10006003","30","91002","8","71006001"
"10006004","1","22002","2","71006001"
"10006005","30","91002","8","71006002"
"10006006","1","22002","2","71006002"
"10006007","30","91002","8","71006003"
"10006008","1","22002","2","71006003"
"10006009","30","91002","8","71006004"
"10006010","1","22002","2","71006004"
"10006011","30","91002","8","71006005"
"10006012","1","22002","2","71006005"
"10006013","30","91002","8","71006006"
"10006014","1","22002","2","71006006"
"10006015","30","91002","8","71006007"
"10006016","1","22002","2","71006007"
"10006017","30","91002","8","71006008"
"10006018","1","22002","2","71006008"
"10006019","30","91002","8","71006009"
"10006020","1","22002","2","71006009"
"10006021","30","91002","8","71006010"
"10006022","1","22002","2","71006010"
"10006023","30","91002","8","71006011"
"10006024","1","22002","2","71006011"
"10006025","30","91002","8","71006012"
"10006026","1","22002","2","71006012"
"10006027","30","91002","8","71006013"
"10006028","1","22002","2","71006013"
"10006029","30","91002","8","71006014"
"10006030","1","22002","2","71006014"
"10006031","30","91002","8","71006015"
"10006032","1","22002","2","71006015"
"10006033","60","91002","8","71006016"
"10006034","2","22002","2","71006016"
"10006035","60","91002","8","71006017"
"10006036","2","22002","2","71006017"
"10006037","60","91002","8","71006018"
"10006038","2","22002","2","71006018"
"10006039","60","91002","8","71006019"
"10006040","2","22002","2","71006019"
"10006041","60","91002","8","71006020"
"10006042","2","22002","2","71006020"
"10006043","50000","94002","12","71006021"
"10006044","100000","94002","12","71006022"
"10006045","150000","94002","12","71006023"
"10006046","200000","94002","12","71006024"
"10006047","50","91002","8","71006025"
"10006048","1","31047","2","71006026"
"10006049","1","31047","2","71006027"
"10006050","2","31047","2","71006028"
"10006051","2","31047","2","71006029"
"10006052","4","31047","2","71006030"
"10006053","10","31047","2","71006031"
"10007001","5","60062","2","61007001"
"10007002","5","60062","2","61007002"
"10007003","30","91002","8","71007001"
"10007004","1","22002","2","71007001"
"10007005","30","91002","8","71007002"
"10007006","1","22002","2","71007002"
"10007007","30","91002","8","71007003"
"10007008","1","22002","2","71007003"
"10007009","30","91002","8","71007004"
"10007010","1","22002","2","71007004"
"10007011","30","91002","8","71007005"
"10007012","1","22002","2","71007005"
"10007013","30","91002","8","71007006"
"10007014","1","22002","2","71007006"
"10007015","30","91002","8","71007007"
"10007016","1","22002","2","71007007"
"10007017","30","91002","8","71007008"
"10007018","1","22002","2","71007008"
"10007019","30","91002","8","71007009"
"10007020","1","22002","2","71007009"
"10007021","30","91002","8","71007010"
"10007022","1","22002","2","71007010"
"10007023","30","91002","8","71007011"
"10007024","1","22002","2","71007011"
"10007025","30","91002","8","71007012"
"10007026","1","22002","2","71007012"
"10007027","30","91002","8","71007013"
"10007028","1","22002","2","71007013"
"10007029","30","91002","8","71007014"
"10007030","1","22002","2","71007014"
"10007031","30","91002","8","71007015"
"10007032","1","22002","2","71007015"
"10007033","60","91002","8","71007016"
"10007034","2","22002","2","71007016"
"10007035","60","91002","8","71007017"
"10007036","2","22002","2","71007017"
"10007037","60","91002","8","71007018"
"10007038","2","22002","2","71007018"
"10007039","60","91002","8","71007019"
"10007040","2","22002","2","71007019"
"10007041","60","91002","8","71007020"
"10007042","2","22002","2","71007020"
"10007043","50000","94002","12","71007021"
"10007044","100000","94002","12","71007022"
"10007045","150000","94002","12","71007023"
"10007046","200000","94002","12","71007024"
"10007047","50","91002","8","71007025"
"10007048","1","31082","2","71007026"
"10007049","1","31082","2","71007027"
"10007050","2","31082","2","71007028"
"10007051","2","31082","2","71007029"
"10007052","4","31082","2","71007030"
"10007053","1","108201","1","71007031"
"10007054","10","31082","2","71007032"
"10008001","5","60072","2","61008001"
"10008002","5","60072","2","61008002"
"10008003","30","91002","8","71008001"
"10008004","1","22002","2","71008001"
"10008005","30","91002","8","71008002"
"10008006","1","22002","2","71008002"
"10008007","30","91002","8","71008003"
"10008008","1","22002","2","71008003"
"10008009","30","91002","8","71008004"
"10008010","1","22002","2","71008004"
"10008011","30","91002","8","71008005"
"10008012","1","22002","2","71008005"
"10008013","30","91002","8","71008006"
"10008014","1","22002","2","71008006"
"10008015","30","91002","8","71008007"
"10008016","1","22002","2","71008007"
"10008017","30","91002","8","71008008"
"10008018","1","22002","2","71008008"
"10008019","30","91002","8","71008009"
"10008020","1","22002","2","71008009"
"10008021","30","91002","8","71008010"
"10008022","1","22002","2","71008010"
"10008023","30","91002","8","71008011"
"10008024","1","22002","2","71008011"
"10008025","30","91002","8","71008012"
"10008026","1","22002","2","71008012"
"10008027","30","91002","8","71008013"
"10008028","1","22002","2","71008013"
"10008029","30","91002","8","71008014"
"10008030","1","22002","2","71008014"
"10008031","30","91002","8","71008015"
"10008032","1","22002","2","71008015"
"10008033","60","91002","8","71008016"
"10008034","2","22002","2","71008016"
"10008035","60","91002","8","71008017"
"10008036","2","22002","2","71008017"
"10008037","60","91002","8","71008018"
"10008038","2","22002","2","71008018"
"10008039","60","91002","8","71008019"
"10008040","2","22002","2","71008019"
"10008041","60","91002","8","71008020"
"10008042","2","22002","2","71008020"
"10008043","50000","94002","12","71008021"
"10008044","100000","94002","12","71008022"
"10008045","150000","94002","12","71008023"
"10008046","200000","94002","12","71008024"
"10008047","50","91002","8","71008025"
"10008048","1","31009","2","71008026"
"10008049","1","31009","2","71008027"
"10008050","2","31009","2","71008028"
"10008051","2","31009","2","71008029"
"10008052","4","31009","2","71008030"
"10008053","10","31009","2","71008031"
"10009001","5","60082","2","61009001"
"10009002","5","60082","2","61009002"
"10009003","30","91002","8","71009001"
"10009004","1","22002","2","71009001"
"10009005","30","91002","8","71009002"
"10009006","1","22002","2","71009002"
"10009007","30","91002","8","71009003"
"10009008","1","22002","2","71009003"
"10009009","30","91002","8","71009004"
"10009010","1","22002","2","71009004"
"10009011","30","91002","8","71009005"
"10009012","1","22002","2","71009005"
"10009013","30","91002","8","71009006"
"10009014","1","22002","2","71009006"
"10009015","30","91002","8","71009007"
"10009016","1","22002","2","71009007"
"10009017","30","91002","8","71009008"
"10009018","1","22002","2","71009008"
"10009019","30","91002","8","71009009"
"10009020","1","22002","2","71009009"
"10009021","30","91002","8","71009010"
"10009022","1","22002","2","71009010"
"10009023","30","91002","8","71009011"
"10009024","1","22002","2","71009011"
"10009025","30","91002","8","71009012"
"10009026","1","22002","2","71009012"
"10009027","30","91002","8","71009013"
"10009028","1","22002","2","71009013"
"10009029","30","91002","8","71009014"
"10009030","1","22002","2","71009014"
"10009031","30","91002","8","71009015"
"10009032","1","22002","2","71009015"
"10009033","60","91002","8","71009016"
"10009034","2","22002","2","71009016"
"10009035","60","91002","8","71009017"
"10009036","2","22002","2","71009017"
"10009037","60","91002","8","71009018"
"10009038","2","22002","2","71009018"
"10009039","60","91002","8","71009019"
"10009040","2","22002","2","71009019"
"10009041","60","91002","8","71009020"
"10009042","2","22002","2","71009020"
"10009043","50000","94002","12","71009021"
"10009044","100000","94002","12","71009022"
"10009045","150000","94002","12","71009023"
"10009046","200000","94002","12","71009024"
"10009047","50","91002","8","71009025"
"10009048","1","31085","2","71009026"
"10009049","1","31085","2","71009027"
"10009050","2","31085","2","71009028"
"10009051","2","31085","2","71009029"
"10009052","4","31085","2","71009030"
"10009053","1","108501","1","71009031"
"10009054","10","31085","2","71009032"
"10010001","5","60092","2","61010001"
"10010002","5","60092","2","61010002"
"10010003","30","91002","8","71010001"
"10010004","1","22002","2","71010001"
"10010005","30","91002","8","71010002"
"10010006","1","22002","2","71010002"
"10010007","30","91002","8","71010003"
"10010008","1","22002","2","71010003"
"10010009","30","91002","8","71010004"
"10010010","1","22002","2","71010004"
"10010011","30","91002","8","71010005"
"10010012","1","22002","2","71010005"
"10010013","30","91002","8","71010006"
"10010014","1","22002","2","71010006"
"10010015","30","91002","8","71010007"
"10010016","1","22002","2","71010007"
"10010017","30","91002","8","71010008"
"10010018","1","22002","2","71010008"
"10010019","30","91002","8","71010009"
"10010020","1","22002","2","71010009"
"10010021","30","91002","8","71010010"
"10010022","1","22002","2","71010010"
"10010023","30","91002","8","71010011"
"10010024","1","22002","2","71010011"
"10010025","30","91002","8","71010012"
"10010026","1","22002","2","71010012"
"10010027","30","91002","8","71010013"
"10010028","1","22002","2","71010013"
"10010029","30","91002","8","71010014"
"10010030","1","22002","2","71010014"
"10010031","30","91002","8","71010015"
"10010032","1","22002","2","71010015"
"10010033","60","91002","8","71010016"
"10010034","2","22002","2","71010016"
"10010035","60","91002","8","71010017"
"10010036","2","22002","2","71010017"
"10010037","60","91002","8","71010018"
"10010038","2","22002","2","71010018"
"10010039","60","91002","8","71010019"
"10010040","2","22002","2","71010019"
"10010041","60","91002","8","71010020"
"10010042","2","22002","2","71010020"
"10010043","50000","94002","12","71010021"
"10010044","100000","94002","12","71010022"
"10010045","150000","94002","12","71010023"
"10010046","200000","94002","12","71010024"
"10010047","50","91002","8","71010025"
"10010048","1","31089","2","71010026"
"10010049","1","31089","2","71010027"
"10010050","2","31089","2","71010028"
"10010051","2","31089","2","71010029"
"10010052","4","31089","2","71010030"
"10010053","1","108901","1","71010031"
"10010054","10","31089","2","71010032"
"10010055","2","31089","2","81010001"
"10010056","30","91002","8","81010001"
"10010057","100","60092","2","81010002"
"10010058","30000","94002","12","81010002"
"10010059","100","60092","2","81010003"
"10010060","30000","94002","12","81010003"
"10010061","2","31089","2","81010004"
"10010062","30","91002","8","81010004"
"10010063","100","60092","2","81010005"
"10010064","30000","94002","12","81010005"
"10010065","100","60092","2","81010006"
"10010066","30000","94002","12","81010006"
"10010067","2","31089","2","81010007"
"10010068","30","91002","8","81010007"
"10011001","5","60102","2","61011001"
"10011002","5","60102","2","61011002"
"10011003","4","60104","2","61011003"
"10011004","2","60105","2","61011003"
"10011005","30","91002","8","71011001"
"10011006","1","22002","2","71011001"
"10011007","30","91002","8","71011002"
"10011008","1","22002","2","71011002"
"10011009","30","91002","8","71011003"
"10011010","1","22002","2","71011003"
"10011011","30","91002","8","71011004"
"10011012","1","22002","2","71011004"
"10011013","30","91002","8","71011005"
"10011014","1","22002","2","71011005"
"10011015","30","91002","8","71011006"
"10011016","1","22002","2","71011006"
"10011017","30","91002","8","71011007"
"10011018","1","22002","2","71011007"
"10011019","30","91002","8","71011008"
"10011020","1","22002","2","71011008"
"10011021","30","91002","8","71011009"
"10011022","1","22002","2","71011009"
"10011023","30","91002","8","71011010"
"10011024","1","22002","2","71011010"
"10011025","30","91002","8","71011011"
"10011026","1","22002","2","71011011"
"10011027","30","91002","8","71011012"
"10011028","1","22002","2","71011012"
"10011029","30","91002","8","71011013"
"10011030","1","22002","2","71011013"
"10011031","30","91002","8","71011014"
"10011032","1","22002","2","71011014"
"10011033","30","91002","8","71011015"
"10011034","1","22002","2","71011015"
"10011035","60","91002","8","71011016"
"10011036","2","22002","2","71011016"
"10011037","60","91002","8","71011017"
"10011038","2","22002","2","71011017"
"10011039","60","91002","8","71011018"
"10011040","2","22002","2","71011018"
"10011041","60","91002","8","71011019"
"10011042","2","22002","2","71011019"
"10011043","60","91002","8","71011020"
"10011044","2","22002","2","71011020"
"10011045","50000","94002","12","71011021"
"10011046","100000","94002","12","71011022"
"10011047","150000","94002","12","71011023"
"10011048","200000","94002","12","71011024"
"10011049","50","91002","8","71011025"
"10011050","1","31090","2","71011026"
"10011051","1","31090","2","71011027"
"10011052","2","31090","2","71011028"
"10011053","2","31090","2","71011029"
"10011054","4","31090","2","71011030"
"10011055","1","109001","1","71011031"
"10011056","10","31090","2","71011032"
"10011057","2","31090","2","81011001"
"10011058","30","91002","8","81011001"
"10011059","100","60102","2","81011002"
"10011060","30000","94002","12","81011002"
"10011061","100","60102","2","81011003"
"10011062","30000","94002","12","81011003"
"10011063","2","31090","2","81011004"
"10011064","30","91002","8","81011004"
"10011065","100","60102","2","81011005"
"10011066","30000","94002","12","81011005"
"10011067","100","60102","2","81011006"
"10011068","30000","94002","12","81011006"
"10011069","2","31090","2","81011007"
"10011070","30","91002","8","81011007"
"10012001","5","60112","2","61012001"
"10012002","5","60112","2","61012002"
"10012003","30","91002","8","71012001"
"10012004","1","22002","2","71012001"
"10012005","30","91002","8","71012002"
"10012006","1","22002","2","71012002"
"10012007","30","91002","8","71012003"
"10012008","1","22002","2","71012003"
"10012009","30","91002","8","71012004"
"10012010","1","22002","2","71012004"
"10012011","30","91002","8","71012005"
"10012012","1","22002","2","71012005"
"10012013","30","91002","8","71012006"
"10012014","1","22002","2","71012006"
"10012015","30","91002","8","71012007"
"10012016","1","22002","2","71012007"
"10012017","30","91002","8","71012008"
"10012018","1","22002","2","71012008"
"10012019","30","91002","8","71012009"
"10012020","1","22002","2","71012009"
"10012021","30","91002","8","71012010"
"10012022","1","22002","2","71012010"
"10012023","30","91002","8","71012011"
"10012024","1","22002","2","71012011"
"10012025","30","91002","8","71012012"
"10012026","1","22002","2","71012012"
"10012027","30","91002","8","71012013"
"10012028","1","22002","2","71012013"
"10012029","30","91002","8","71012014"
"10012030","1","22002","2","71012014"
"10012031","30","91002","8","71012015"
"10012032","1","22002","2","71012015"
"10012033","60","91002","8","71012016"
"10012034","2","22002","2","71012016"
"10012035","60","91002","8","71012017"
"10012036","2","22002","2","71012017"
"10012037","60","91002","8","71012018"
"10012038","2","22002","2","71012018"
"10012039","60","91002","8","71012019"
"10012040","2","22002","2","71012019"
"10012041","60","91002","8","71012020"
"10012042","2","22002","2","71012020"
"10012043","50000","94002","12","71012021"
"10012044","100000","94002","12","71012022"
"10012045","150000","94002","12","71012023"
"10012046","200000","94002","12","71012024"
"10012047","50","91002","8","71012025"
"10012048","1","31043","2","71012026"
"10012049","1","31043","2","71012027"
"10012050","2","31043","2","71012028"
"10012051","2","31043","2","71012029"
"10012052","4","31043","2","71012030"
"10012053","10","31043","2","71012031"
"10012054","2","31043","2","81012001"
"10012055","30","91002","8","81012001"
"10012056","100","60112","2","81012002"
"10012057","30000","94002","12","81012002"
"10012058","100","60112","2","81012003"
"10012059","30000","94002","12","81012003"
"10012060","2","31043","2","81012004"
"10012061","30","91002","8","81012004"
"10012062","100","60112","2","81012005"
"10012063","30000","94002","12","81012005"
"10012064","100","60112","2","81012006"
"10012065","30000","94002","12","81012006"
"10012066","2","31043","2","81012007"
"10012067","30","91002","8","81012007"
"10012068","5","60122","2","61013001"
"10012069","5","60122","2","61013002"
"10013001","30","91002","8","71013001"
"10013002","1","22002","2","71013001"
"10013003","30","91002","8","71013002"
"10013004","1","22002","2","71013002"
"10013005","30","91002","8","71013003"
"10013006","1","22002","2","71013003"
"10013007","30","91002","8","71013004"
"10013008","1","22002","2","71013004"
"10013009","30","91002","8","71013005"
"10013010","1","22002","2","71013005"
"10013011","30","91002","8","71013006"
"10013012","1","22002","2","71013006"
"10013013","30","91002","8","71013007"
"10013014","1","22002","2","71013007"
"10013015","30","91002","8","71013008"
"10013016","1","22002","2","71013008"
"10013017","30","91002","8","71013009"
"10013018","1","22002","2","71013009"
"10013019","30","91002","8","71013010"
"10013020","1","22002","2","71013010"
"10013021","30","91002","8","71013011"
"10013022","1","22002","2","71013011"
"10013023","30","91002","8","71013012"
"10013024","1","22002","2","71013012"
"10013025","30","91002","8","71013013"
"10013026","1","22002","2","71013013"
"10013027","30","91002","8","71013014"
"10013028","1","22002","2","71013014"
"10013029","30","91002","8","71013015"
"10013030","1","22002","2","71013015"
"10013031","60","91002","8","71013016"
"10013032","2","22002","2","71013016"
"10013033","60","91002","8","71013017"
"10013034","2","22002","2","71013017"
"10013035","60","91002","8","71013018"
"10013036","2","22002","2","71013018"
"10013037","60","91002","8","71013019"
"10013038","2","22002","2","71013019"
"10013039","60","91002","8","71013020"
"10013040","2","22002","2","71013020"
"10013041","50000","94002","12","71013021"
"10013042","100000","94002","12","71013022"
"10013043","150000","94002","12","71013023"
"10013044","200000","94002","12","71013024"
"10013045","50","91002","8","71013025"
"10013046","1","31093","2","71013026"
"10013047","1","31093","2","71013027"
"10013048","2","31093","2","71013028"
"10013049","2","31093","2","71013029"
"10013050","4","31093","2","71013030"
"10013051","1","109301","1","71013031"
"10013052","10","31093","2","71013032"
"10013053","2","31093","2","81013001"
"10013054","30","91002","8","81013001"
"10013055","100","60122","2","81013002"
"10013056","30000","94002","12","81013002"
"10013057","100","60122","2","81013003"
"10013058","30000","94002","12","81013003"
"10013059","2","31093","2","81013004"
"10013060","30","91002","8","81013004"
"10013061","100","60122","2","81013005"
"10013062","30000","94002","12","81013005"
"10013063","100","60122","2","81013006"
"10013064","30000","94002","12","81013006"
"10013065","2","31093","2","81013007"
"10013066","30","91002","8","81013007"
"10014001","5","60132","2","61014001"
"10014002","5","60132","2","61014002"
"10014003","30","91002","8","71014001"
"10014004","1","22002","2","71014001"
"10014005","30","91002","8","71014002"
"10014006","1","22002","2","71014002"
"10014007","30","91002","8","71014003"
"10014008","1","22002","2","71014003"
"10014009","30","91002","8","71014004"
"10014010","1","22002","2","71014004"
"10014011","30","91002","8","71014005"
"10014012","1","22002","2","71014005"
"10014013","30","91002","8","71014006"
"10014014","1","22002","2","71014006"
"10014015","30","91002","8","71014007"
"10014016","1","22002","2","71014007"
"10014017","30","91002","8","71014008"
"10014018","1","22002","2","71014008"
"10014019","30","91002","8","71014009"
"10014020","1","22002","2","71014009"
"10014021","30","91002","8","71014010"
"10014022","1","22002","2","71014010"
"10014023","30","91002","8","71014011"
"10014024","1","22002","2","71014011"
"10014025","30","91002","8","71014012"
"10014026","1","22002","2","71014012"
"10014027","30","91002","8","71014013"
"10014028","1","22002","2","71014013"
"10014029","30","91002","8","71014014"
"10014030","1","22002","2","71014014"
"10014031","30","91002","8","71014015"
"10014032","1","22002","2","71014015"
"10014033","60","91002","8","71014016"
"10014034","2","22002","2","71014016"
"10014035","60","91002","8","71014017"
"10014036","2","22002","2","71014017"
"10014037","60","91002","8","71014018"
"10014038","2","22002","2","71014018"
"10014039","60","91002","8","71014019"
"10014040","2","22002","2","71014019"
"10014041","60","91002","8","71014020"
"10014042","2","22002","2","71014020"
"10014043","50000","94002","12","71014021"
"10014044","100000","94002","12","71014022"
"10014045","150000","94002","12","71014023"
"10014046","200000","94002","12","71014024"
