54ad6be5ca5f7ef55f7771fbd08bfec18c03ff91b1bc8209dafbdc98018b8268,deb78914b4de473884c45ffcd2a7bac15dee7a2d93a2dbabd76858aa389182a2,3705949a2bedd6fb5f919c87e6e475f693d30770f0bbbe8bb1a0c65a56fcb2d3,56492004e07b6c9aefc0ea5f62f0d3e41d14a1a943cb9fb96a30671af1540c51,01fa5333c181a39f5ac1bb22beeeb24831fbe9ba0df9af7b5dc145a5c55ee23c,bcdcf09d292818834f1e0d3f1b12db7bcd29bb9d4355782e283b3e86bfe98c79,d1b62e151f778b0557aa141394447d9d9f3d65ca1c978b1fab44db046d18ef03,f38d86fd4b413e0eadb66a0fbfd200d596345905452da05c625d0101510d64b9,e8c9dcaa4113afaf9690208a334508cb7c6840eedbab1f8972f3b73978b92f82
"0","1","100206","1","1001","105000","全難易度合計取得105000分","1002","100206"
"0","1","100207","1","1001","120000","全難易度合計取得120000分","1002","100207"
"0","1","100208","1","1001","135000","全難易度合計取得135000分","1002","100208"
"1","1","100209","2","1002","0","在NORMAL1難易度戰鬥1次","1002","100209"
"1","1","100210","2","1003","0","在NORMAL2難易度戰鬥1次","1002","100210"
"1","1","100211","2","1004","0","在NORMAL3難易度戰鬥1次","1002","100211"
"1","1","100212","3","1001","10000","在NORMAL難易度取得10000分","1002","100212"
"1","1","100213","3","1001","20000","在NORMAL難易度取得20000分","1002","100213"
"1","1","100214","3","1001","30000","在NORMAL難易度取得30000分","1002","100214"
"2","1","100215","4","1002","0","在HARD1難易度戰鬥1次","1002","100215"
"2","1","100216","4","1003","0","在HARD2難易度戰鬥1次","1002","100216"
"2","1","100217","4","1004","0","在HARD3難易度戰鬥1次","1002","100217"
"2","1","100218","5","1001","15000","在HARD難易度取得15000分","1002","100218"
"2","1","100219","5","1001","30000","在HARD難易度取得30000分","1002","100219"
"2","1","100220","5","1001","45000","在HARD難易度取得45000分","1002","100220"
"3","1","100221","6","1002","0","在EXTRA1難易度戰鬥1次","1002","100221"
"3","1","100222","6","1003","0","在EXTRA2難易度戰鬥1次","1002","100222"
"3","1","100223","6","1004","0","在EXTRA3難易度戰鬥1次","1002","100223"
"3","1","100224","7","1001","20000","在EXTRA難易度取得20000分","1002","100224"
"3","1","100225","7","1001","40000","在EXTRA難易度取得40000分","1002","100225"
"3","1","100226","7","1001","60000","在EXTRA難易度取得60000分","1002","100226"
"0","1","100301","0","1001","10000","全難易度合計取得10000分","1003","100301"
"0","1","100302","0","1001","30000","全難易度合計取得30000分","1003","100302"
"0","1","100303","0","1001","50000","全難易度合計取得50000分","1003","100303"
"0","1","100304","0","1001","70000","全難易度合計取得70000分","1003","100304"
"0","1","100305","1","1001","90000","全難易度合計取得90000分","1003","100305"
"0","1","100306","1","1001","105000","全難易度合計取得105000分","1003","100306"
"0","1","100307","1","1001","120000","全難易度合計取得120000分","1003","100307"
"0","1","100308","1","1001","135000","全難易度合計取得135000分","1003","100308"
"1","1","100309","2","1002","0","在NORMAL1難易度戰鬥1次","1003","100309"
"1","1","100310","2","1003","0","在NORMAL2難易度戰鬥1次","1003","100310"
"1","1","100311","2","1004","0","在NORMAL3難易度戰鬥1次","1003","100311"
"1","1","100312","3","1001","10000","在NORMAL難易度取得10000分","1003","100312"
"1","1","100313","3","1001","20000","在NORMAL難易度取得20000分","1003","100313"
"1","1","100314","3","1001","30000","在NORMAL難易度取得30000分","1003","100314"
"2","1","100315","4","1002","0","在HARD1難易度戰鬥1次","1003","100315"
"2","1","100316","4","1003","0","在HARD2難易度戰鬥1次","1003","100316"
"2","1","100317","4","1004","0","在HARD3難易度戰鬥1次","1003","100317"
"2","1","100318","5","1001","15000","在HARD難易度取得15000分","1003","100318"
"2","1","100319","5","1001","30000","在HARD難易度取得30000分","1003","100319"
"2","1","100320","5","1001","45000","在HARD難易度取得45000分","1003","100320"
"3","1","100321","6","1002","0","在EXTRA1難易度戰鬥1次","1003","100321"
"3","1","100322","6","1003","0","在EXTRA2難易度戰鬥1次","1003","100322"
"3","1","100323","6","1004","0","在EXTRA3難易度戰鬥1次","1003","100323"
"3","1","100324","7","1001","20000","在EXTRA難易度取得20000分","1003","100324"
"3","1","100325","7","1001","40000","在EXTRA難易度取得40000分","1003","100325"
"3","1","100326","7","1001","60000","在EXTRA難易度取得60000分","1003","100326"
"0","1","100401","0","1001","10000","全難易度合計取得10000分","1004","100401"
"0","1","100402","0","1001","30000","全難易度合計取得30000分","1004","100402"
"0","1","100403","0","1001","50000","全難易度合計取得50000分","1004","100403"
"0","1","100404","0","1001","70000","全難易度合計取得70000分","1004","100404"
"0","1","100405","1","1001","90000","全難易度合計取得90000分","1004","100405"
"0","1","100406","1","1001","105000","全難易度合計取得105000分","1004","100406"
"0","1","100407","1","1001","120000","全難易度合計取得120000分","1004","100407"
"0","1","100408","1","1001","135000","全難易度合計取得135000分","1004","100408"
"1","1","100409","2","1002","0","在NORMAL1難易度戰鬥1次","1004","100409"
"1","1","100410","2","1003","0","在NORMAL2難易度戰鬥1次","1004","100410"
"1","1","100411","2","1004","0","在NORMAL3難易度戰鬥1次","1004","100411"
"1","1","100412","3","1001","10000","在NORMAL難易度取得10000分","1004","100412"
"1","1","100413","3","1001","20000","在NORMAL難易度取得20000分","1004","100413"
"1","1","100414","3","1001","30000","在NORMAL難易度取得30000分","1004","100414"
"2","1","100415","4","1002","0","在HARD1難易度戰鬥1次","1004","100415"
"2","1","100416","4","1003","0","在HARD2難易度戰鬥1次","1004","100416"
"2","1","100417","4","1004","0","在HARD3難易度戰鬥1次","1004","100417"
"2","1","100418","5","1001","15000","在HARD難易度取得15000分","1004","100418"
"2","1","100419","5","1001","30000","在HARD難易度取得30000分","1004","100419"
"2","1","100420","5","1001","45000","在HARD難易度取得45000分","1004","100420"
"3","1","100421","6","1002","0","在EXTRA1難易度戰鬥1次","1004","100421"
"3","1","100422","6","1003","0","在EXTRA2難易度戰鬥1次","1004","100422"
"3","1","100423","6","1004","0","在EXTRA3難易度戰鬥1次","1004","100423"
"3","1","100424","7","1001","20000","在EXTRA難易度取得20000分","1004","100424"
"3","1","100425","7","1001","40000","在EXTRA難易度取得40000分","1004","100425"
"3","1","100426","7","1001","60000","在EXTRA難易度取得60000分","1004","100426"
"0","1","100501","0","1001","10000","全難易度合計取得10000分","1005","100501"
"0","1","100502","0","1001","30000","全難易度合計取得30000分","1005","100502"
"0","1","100503","0","1001","50000","全難易度合計取得50000分","1005","100503"
"0","1","100504","0","1001","70000","全難易度合計取得70000分","1005","100504"
"0","1","100505","1","1001","90000","全難易度合計取得90000分","1005","100505"
"0","1","100506","1","1001","105000","全難易度合計取得105000分","1005","100506"
"0","1","100507","1","1001","120000","全難易度合計取得120000分","1005","100507"
"0","1","100508","1","1001","135000","全難易度合計取得135000分","1005","100508"
"1","1","100509","2","1002","0","在NORMAL1難易度戰鬥1次","1005","100509"
"1","1","100510","2","1003","0","在NORMAL2難易度戰鬥1次","1005","100510"
"1","1","100511","2","1004","0","在NORMAL3難易度戰鬥1次","1005","100511"
"1","1","100512","3","1001","10000","在NORMAL難易度取得10000分","1005","100512"
"1","1","100513","3","1001","20000","在NORMAL難易度取得20000分","1005","100513"
"1","1","100514","3","1001","30000","在NORMAL難易度取得30000分","1005","100514"
"2","1","100515","4","1002","0","在HARD1難易度戰鬥1次","1005","100515"
"2","1","100516","4","1003","0","在HARD2難易度戰鬥1次","1005","100516"
"2","1","100517","4","1004","0","在HARD3難易度戰鬥1次","1005","100517"
"2","1","100518","5","1001","15000","在HARD難易度取得15000分","1005","100518"
"2","1","100519","5","1001","30000","在HARD難易度取得30000分","1005","100519"
"2","1","100520","5","1001","45000","在HARD難易度取得45000分","1005","100520"
"3","1","100521","6","1002","0","在EXTRA1難易度戰鬥1次","1005","100521"
"3","1","100522","6","1003","0","在EXTRA2難易度戰鬥1次","1005","100522"
"3","1","100523","6","1004","0","在EXTRA3難易度戰鬥1次","1005","100523"
"3","1","100524","7","1001","20000","在EXTRA難易度取得20000分","1005","100524"
"3","1","100525","7","1001","40000","在EXTRA難易度取得40000分","1005","100525"
"3","1","100526","7","1001","60000","在EXTRA難易度取得60000分","1005","100526"
"0","1","100601","0","1001","10000","全難易度合計取得10000分","1006","100601"
"0","1","100602","0","1001","30000","全難易度合計取得30000分","1006","100602"
"0","1","100603","0","1001","50000","全難易度合計取得50000分","1006","100603"
"0","1","100604","0","1001","70000","全難易度合計取得70000分","1006","100604"
"0","1","100605","1","1001","90000","全難易度合計取得90000分","1006","100605"
"0","1","100606","1","1001","105000","全難易度合計取得105000分","1006","100606"
"0","1","100607","1","1001","120000","全難易度合計取得120000分","1006","100607"
"0","1","100608","1","1001","135000","全難易度合計取得135000分","1006","100608"
"1","1","100609","2","1002","0","在NORMAL1難易度戰鬥1次","1006","100609"
"1","1","100610","2","1003","0","在NORMAL2難易度戰鬥1次","1006","100610"
"1","1","100611","2","1004","0","在NORMAL3難易度戰鬥1次","1006","100611"
"1","1","100612","3","1001","10000","在NORMAL難易度取得10000分","1006","100612"
"1","1","100613","3","1001","20000","在NORMAL難易度取得20000分","1006","100613"
"1","1","100614","3","1001","30000","在NORMAL難易度取得30000分","1006","100614"
"2","1","100615","4","1002","0","在HARD1難易度戰鬥1次","1006","100615"
"2","1","100616","4","1003","0","在HARD2難易度戰鬥1次","1006","100616"
"2","1","100617","4","1004","0","在HARD3難易度戰鬥1次","1006","100617"
"2","1","100618","5","1001","15000","在HARD難易度取得15000分","1006","100618"
"2","1","100619","5","1001","30000","在HARD難易度取得30000分","1006","100619"
"2","1","100620","5","1001","45000","在HARD難易度取得45000分","1006","100620"
"3","1","100621","6","1002","0","在EXTRA1難易度戰鬥1次","1006","100621"
"3","1","100622","6","1003","0","在EXTRA2難易度戰鬥1次","1006","100622"
"3","1","100623","6","1004","0","在EXTRA3難易度戰鬥1次","1006","100623"
"3","1","100624","7","1001","20000","在EXTRA難易度取得20000分","1006","100624"
"3","1","100625","7","1001","40000","在EXTRA難易度取得40000分","1006","100625"
"3","1","100626","7","1001","60000","在EXTRA難易度取得60000分","1006","100626"
"0","1","100701","0","1001","10000","全難易度合計取得10000分","1007","100701"
"0","1","100702","0","1001","30000","全難易度合計取得30000分","1007","100702"
"0","1","100703","0","1001","50000","全難易度合計取得50000分","1007","100703"
"0","1","100704","0","1001","70000","全難易度合計取得70000分","1007","100704"
"0","1","100705","1","1001","90000","全難易度合計取得90000分","1007","100705"
"0","1","100706","1","1001","105000","全難易度合計取得105000分","1007","100706"
"0","1","100707","1","1001","120000","全難易度合計取得120000分","1007","100707"
"0","1","100708","1","1001","135000","全難易度合計取得135000分","1007","100708"
"1","1","100709","2","1002","0","在NORMAL1難易度戰鬥1次","1007","100709"
"1","1","100710","2","1003","0","在NORMAL2難易度戰鬥1次","1007","100710"
"1","1","100711","2","1004","0","在NORMAL3難易度戰鬥1次","1007","100711"
"1","1","100712","3","1001","10000","在NORMAL難易度取得10000分","1007","100712"
"1","1","100713","3","1001","20000","在NORMAL難易度取得20000分","1007","100713"
"1","1","100714","3","1001","30000","在NORMAL難易度取得30000分","1007","100714"
"2","1","100715","4","1002","0","在HARD1難易度戰鬥1次","1007","100715"
"2","1","100716","4","1003","0","在HARD2難易度戰鬥1次","1007","100716"
"2","1","100717","4","1004","0","在HARD3難易度戰鬥1次","1007","100717"
"2","1","100718","5","1001","15000","在HARD難易度取得15000分","1007","100718"
"2","1","100719","5","1001","30000","在HARD難易度取得30000分","1007","100719"
"2","1","100720","5","1001","45000","在HARD難易度取得45000分","1007","100720"
"3","1","100721","6","1002","0","在EXTRA1難易度戰鬥1次","1007","100721"
"3","1","100722","6","1003","0","在EXTRA2難易度戰鬥1次","1007","100722"
"3","1","100723","6","1004","0","在EXTRA3難易度戰鬥1次","1007","100723"
"3","1","100724","7","1001","20000","在EXTRA難易度取得20000分","1007","100724"
"3","1","100725","7","1001","40000","在EXTRA難易度取得40000分","1007","100725"
"3","1","100726","7","1001","60000","在EXTRA難易度取得60000分","1007","100726"
"0","1","100801","0","1001","10000","全難易度合計取得10000分","1008","100801"
"0","1","100802","0","1001","30000","全難易度合計取得30000分","1008","100802"
"0","1","100803","0","1001","50000","全難易度合計取得50000分","1008","100803"
"0","1","100804","0","1001","70000","全難易度合計取得70000分","1008","100804"
"0","1","100805","1","1001","90000","全難易度合計取得90000分","1008","100805"
"0","1","100806","1","1001","105000","全難易度合計取得105000分","1008","100806"
"0","1","100807","1","1001","120000","全難易度合計取得120000分","1008","100807"
"0","1","100808","1","1001","135000","全難易度合計取得135000分","1008","100808"
"1","1","100809","2","1002","0","在NORMAL1難易度戰鬥1次","1008","100809"
"1","1","100810","2","1003","0","在NORMAL2難易度戰鬥1次","1008","100810"
"1","1","100811","2","1004","0","在NORMAL3難易度戰鬥1次","1008","100811"
"1","1","100812","3","1001","10000","在NORMAL難易度取得10000分","1008","100812"
"1","1","100813","3","1001","20000","在NORMAL難易度取得20000分","1008","100813"
"1","1","100814","3","1001","30000","在NORMAL難易度取得30000分","1008","100814"
"2","1","100815","4","1002","0","在HARD1難易度戰鬥1次","1008","100815"
"2","1","100816","4","1003","0","在HARD2難易度戰鬥1次","1008","100816"
"2","1","100817","4","1004","0","在HARD3難易度戰鬥1次","1008","100817"
"2","1","100818","5","1001","15000","在HARD難易度取得15000分","1008","100818"
"2","1","100819","5","1001","30000","在HARD難易度取得30000分","1008","100819"
"2","1","100820","5","1001","45000","在HARD難易度取得45000分","1008","100820"
"3","1","100821","6","1002","0","在EXTRA1難易度戰鬥1次","1008","100821"
"3","1","100822","6","1003","0","在EXTRA2難易度戰鬥1次","1008","100822"
"3","1","100823","6","1004","0","在EXTRA3難易度戰鬥1次","1008","100823"
"3","1","100824","7","1001","20000","在EXTRA難易度取得20000分","1008","100824"
"3","1","100825","7","1001","40000","在EXTRA難易度取得40000分","1008","100825"
"3","1","100826","7","1001","60000","在EXTRA難易度取得60000分","1008","100826"
"0","1","100901","0","1001","10000","全難易度合計取得10000分","1009","100901"
"0","1","100902","0","1001","30000","全難易度合計取得30000分","1009","100902"
"0","1","100903","0","1001","50000","全難易度合計取得50000分","1009","100903"
"0","1","100904","0","1001","70000","全難易度合計取得70000分","1009","100904"
"0","1","100905","1","1001","90000","全難易度合計取得90000分","1009","100905"
"0","1","100906","1","1001","105000","全難易度合計取得105000分","1009","100906"
"0","1","100907","1","1001","120000","全難易度合計取得120000分","1009","100907"
"0","1","100908","1","1001","135000","全難易度合計取得135000分","1009","100908"
"1","1","100909","2","1002","0","在NORMAL1難易度戰鬥1次","1009","100909"
"1","1","100910","2","1003","0","在NORMAL2難易度戰鬥1次","1009","100910"
"1","1","100911","2","1004","0","在NORMAL3難易度戰鬥1次","1009","100911"
"1","1","100912","3","1001","10000","在NORMAL難易度取得10000分","1009","100912"
"1","1","100913","3","1001","20000","在NORMAL難易度取得20000分","1009","100913"
"1","1","100914","3","1001","30000","在NORMAL難易度取得30000分","1009","100914"
"2","1","100915","4","1002","0","在HARD1難易度戰鬥1次","1009","100915"
"2","1","100916","4","1003","0","在HARD2難易度戰鬥1次","1009","100916"
"2","1","100917","4","1004","0","在HARD3難易度戰鬥1次","1009","100917"
"2","1","100918","5","1001","15000","在HARD難易度取得15000分","1009","100918"
"2","1","100919","5","1001","30000","在HARD難易度取得30000分","1009","100919"
"2","1","100920","5","1001","45000","在HARD難易度取得45000分","1009","100920"
"3","1","100921","6","1002","0","在EXTRA1難易度戰鬥1次","1009","100921"
"3","1","100922","6","1003","0","在EXTRA2難易度戰鬥1次","1009","100922"
"3","1","100923","6","1004","0","在EXTRA3難易度戰鬥1次","1009","100923"
"3","1","100924","7","1001","20000","在EXTRA難易度取得20000分","1009","100924"
"3","1","100925","7","1001","40000","在EXTRA難易度取得40000分","1009","100925"
"3","1","100926","7","1001","60000","在EXTRA難易度取得60000分","1009","100926"
