0fd35d398abc1d93db9c6598dd97b83f8fa3b1529958fbfe67322e14905b4371,a150ea28ba6fb70c3bf13ee6f45163e07f29d9b1cc8f00bf06126d72511e1247,e4c4d30ffb720425cf6d8a306810c3f9e8dfcd0fe8eedbedeb77a59c94f2b05c,dfae0fe44c8e578c31413e38c1e48d1fb1a6c13d32ffe151f2225b064b16802d,f0dd018465132d2dbd0f2703bd5ccc2cc88ecd9ace191954ebc32250c6dbd230
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10402","4"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10403","4"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10404","4"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10405","4"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","10406","4"
"life_steal_down","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","10407","4"
"add_monster","強敵出現","EXTREME戰鬥時，有一定的機率會出現強敵。","10501","5"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10502","5"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10503","5"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10504","5"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10505","5"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10506","5"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","10507","5"
"life_steal_down","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","10508","5"
"tp_down_cut","減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","10509","5"
"hp_recovery_down","降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","10510","5"
"add_monster","強敵出現","EXTREME戰鬥時，有一定的機率會出現強敵。","10601","6"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10602","6"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10603","6"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10604","6"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10605","6"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10606","6"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","10607","6"
"life_steal_down","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","10608","6"
"tp_down_cut","減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","10609","6"
"hp_recovery_down","降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","10610","6"
"add_monster","強敵出現","EXTREME戰鬥時，有一定的機率會出現強敵。","10701","7"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10702","7"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10703","7"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10704","7"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10705","7"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10706","7"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","10707","7"
"life_steal_down","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","10708","7"
"tp_down_cut","減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","10709","7"
"hp_recovery_down","降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","10710","7"
"decrease_income","始源盧幣獲得量下降","戰鬥勝利時的始源盧幣獲得量下降。","10711","7"
"add_monster","強敵出現","EXTREME戰鬥時，有一定的機率會出現強敵。","10801","8"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10802","8"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10803","8"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10804","8"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10805","8"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10806","8"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","10807","8"
"life_steal_down","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","10808","8"
"tp_down_cut","減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","10809","8"
"hp_recovery_down","降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","10810","8"
"decrease_income","始源盧幣獲得量下降","戰鬥勝利時的始源盧幣獲得量下降。","10811","8"
"increase_dot_interval","延長持續傷害發生間隔/效果時間","延長所有怪物受到的持續傷害的發生間隔與效果時間。","10812","8"
"add_monster","強敵出現","EXTREME戰鬥時，有一定的機率會出現強敵。","10901","9"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10902","9"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10903","9"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10904","9"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10905","9"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10906","9"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","10907","9"
"life_steal_down","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","10908","9"
"tp_down_cut","減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","10909","9"
"hp_recovery_down","降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","10910","9"
"decrease_income","始源盧幣獲得量下降","戰鬥勝利時的始源盧幣獲得量下降。","10911","9"
"increase_dot_interval","延長持續傷害發生間隔/效果時間","延長所有怪物受到的持續傷害的發生間隔與效果時間。","10912","9"
"add_monster","強敵出現","EXTREME戰鬥時，有一定的機率會出現強敵。","11001","10"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11002","10"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","11003","10"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","11004","10"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","11005","10"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","11006","10"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","11007","10"
"life_steal_down","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","11008","10"
"tp_down_cut","減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","11009","10"
"hp_recovery_down","降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","11010","10"
"decrease_income","始源盧幣獲得量下降","戰鬥勝利時的始源盧幣獲得量下降。","11011","10"
"increase_dot_interval","延長持續傷害發生間隔/效果時間","延長所有怪物受到的持續傷害的發生間隔與效果時間。","11012","10"
"limit_time","戰鬥時間限制","戰鬥時間變成85秒。","11013","10"
