9dfd9dea4d4ad2bf64ebba09bbec98fa4cd0612e9783d40775861665574c58c3,0735380062d7862f0c5e0b5728cab9a2b14a28569e3f64a75f4d51f409017d43,5bf62781720b2b2e5d5b16a3332c5c2fd1a205f06c470c0ebb8fd5e9ffec2d2c,d05e5bf3399f5c779db0386b344b4259b027f4886eb50e577776935e61fd5ee6,6962b1a3d1dd7e7bb0d6f174488860d7780df6382c4f3d58a728a56b5e8a3bb1,45373c3921d6e33fc18657ce9a824dbcf1dff4d1778a2c36c011d945193282e7,fa5bd6903dbc1a87b596d54032aee197cbe50b5fdeae22e4a6da36d1c0e68e9b,d33a1491ecf6f948f2937fcc5cecb686bb215dd78907d246594af15a6f14126d,b56130036d673d0cf934371876f0923b1f714006300b8499d598f4a4a7ca6635,f9eba10d41101504085816b944353b7d2ab75afa2e20067d175c0b448227088e,92eedf7f2726ecca076747749a936513e64319fe47dc9cb5ea888acff07a43f0
"","1001","0","3","0","0","","travel_exdrama_r_100_idle","1000005","1010010017","1"
"-100","1001","-160","5","0","1.46","travel_exdrama_r_100_raiseup","1","1","1010010018","11"
"","1001","","93","","","","0","1","1010010019",""
"","1001","0","6","","0.12","","","1000001","1010010020",""
"","1001","0","6","","0.12","","","1000002","1010010021",""
"","1001","0","6","","0.12","","","1000003","1010010022",""
"","1001","0","6","","0.12","","","1000004","1010010023",""
"","1001","0","6","","0.12","","","1000005","1010010024",""
"","1001","0","6","","0.12","","","1","1010010025",""
"","1001","","93","","","","0","0.12","1010010026",""
"","1001","","91","","","","","0","1010010027",""
"","1002","","23","","","","se_travel_finish_assemble","se_travel","1010020001","0"
"-275","1002","-160","1","0","1.46","travel_exdrama_r_100_run","1000001","1","1010020002","1"
"-575","1002","-200","1","0","1.46","travel_exdrama_r_100_run","1000002","1","1010020003","2"
"-750","1002","-250","1","0","1.46","travel_exdrama_r_100_run","1000003","1","1010020004","3"
"575","1002","-175","1","1","1.46","travel_exdrama_r_100_run","1000004","1","1010020005","4"
"750","1002","-250","1","1","1.46","travel_exdrama_r_100_run","1000005","1","1010020006","5"
"20","1002","1","31","","0","","10000","10000","1010020007","-40"
"1","1002","0","2","","","","-100","1000001","1010020008","-160"
"1","1002","0","2","","","","-275","1000002","1010020009","-200"
"1","1002","0","2","","","","-450","1000003","1010020010","-250"
"1","1002","0","2","","","","275","1000004","1010020011","-175"
"1","1002","0","2","","","","450","1000005","1010020012","-250"
"0","1002","0","93","","","","0","1","1010020013","0"
"","1002","0","3","0","0.2","","travel_exdrama_r_100_raiseup","1000001","1010020014","0"
"","1002","0","3","0","0","","travel_exdrama_r_100_idle","1000002","1010020015","1"
"","1002","0","3","0","0","","travel_exdrama_r_100_idle","1000003","1010020016","1"
"","1002","0","3","0","0","","travel_exdrama_r_100_idle","1000004","1010020017","1"
"","1002","0","3","0","0","","travel_exdrama_r_100_idle","1000005","1010020018","1"
"-100","1002","-160","5","0","1.46","travel_exdrama_r_100_raiseup","1","1","1010020019","11"
"0","1002","0","93","","0","","0","0.4","1010020020","0"
"","1002","0","32","","","","1","10000","1010020021",""
"","1002","","93","","","","0","0.6","1010020022",""
"","1002","0","6","","0.12","","","1000001","1010020023",""
"","1002","0","6","","0.12","","","1000002","1010020024",""
"","1002","0","6","","0.12","","","1000003","1010020025",""
"","1002","0","6","","0.12","","","1000004","1010020026",""
"","1002","0","6","","0.12","","","1000005","1010020027",""
"","1002","0","6","","0.12","","","1","1010020028",""
"","1002","","93","","","","0","0.12","1010020029",""
"","1002","","91","","","","","0","1010020030",""
"5","1011","1","31","","1","","10100","10100","1010110001","-350"
"50","1011","1","31","","0","","10002","10002","1010110002","-525"
"-121","1011","1","31","","1","","10101","10101","1010110003","-184"
"5","1011","1","31","","0","","10102","10102","1010110004","-350"
"5","1011","1","31","","0","","10103","10103","1010110005","-350"
"5","1011","1","31","","0","","10104","10104","1010110006","-350"
"-470","1011","-200","1","0","1.46","travel_exdrama_r_101_walk","1000001","1","1010110007","11"
"-320","1011","-150","1","0","1.46","travel_exdrama_r_101_walk","1000002","1","1010110008","1"
"-470","1011","-200","5","0","1.46","travel_exdrama_r_101_walk","1","1","1010110009","12"
"-320","1011","-150","5","0","1.46","travel_exdrama_r_101_walk","2","1","1010110010","2"
"","1012","","23","","","","se_travel_finish_cave_rare","se_travel","1010120001","0"
"0.1","1012","0","2","","","","-500","1000001","1010120002","-200"
"0.1","1012","0","2","","","","-350","1000002","1010120003","-150"
"0.1","1012","0","2","","","","-500","1","1010120004","-200"
"0.1","1012","0","2","","","","-350","2","1010120005","-150"
"travel_exdrama_r_101_walk","1012","1","3","0.2","0.2","","travel_exdrama_r_101_joy","1000001","1010120006","0"
"travel_exdrama_r_101_walk","1012","1","3","0.2","0.2","","travel_exdrama_r_101_joy","1000002","1010120007","0"
"travel_exdrama_r_101_walk","1012","1","3","0.2","0.2","","travel_exdrama_r_101_joy","1","1010120008","0"
"travel_exdrama_r_101_walk","1012","1","3","0.2","0.2","","travel_exdrama_r_101_joy","2","1010120009","0"
"","1012","","32","","","","0","10101","1010120010","0"
"","1012","","32","","","","1","10102","1010120011","0"
"","1012","","93","","","","0","1.66","1010120012",""
"","1012","","32","","","","1","10101","1010120013","0"
"","1012","","32","","","","0","10102","1010120014","0"
"0.2","1012","0","2","","","","-470","1000001","1010120015","-200"
"0.2","1012","0","2","","","","-320","1000002","1010120016","-150"
"0.2","1012","0","2","","","","-470","1","1010120017","-200"
"0.2","1012","0","2","","","","-320","2","1010120018","-150"
"","1013","","23","","","","se_travel_finish_cave_event","se_travel","1010130001","0"
"travel_exdrama_r_101_walk","1013","1","3","0","0.2","","travel_exdrama_r_101_panic_A","1000001","1010130002","0"
"travel_exdrama_r_101_walk","1013","1","3","0","0.2","","travel_exdrama_r_101_panic_B","1000002","1010130003","0"
"travel_exdrama_r_101_walk","1013","1","3","0","0.2","","travel_exdrama_r_101_panic_A","1","1010130004","0"
"travel_exdrama_r_101_walk","1013","1","3","0","0.2","","travel_exdrama_r_101_panic_B","2","1010130005","0"
"","1013","","32","","","","1","10002","1010130006",""
"","1013","","32","","","","1","10103","1010130007",""
"","1013","","93","","","","0","3","1010130008",""
"","1013","","32","","","","0","10002","1010130009",""
"","1013","","32","","","","0","10103","1010130010",""
"0.1","1014","0","2","0","0","","-500","1000001","1010140001","-200"
"0.1","1014","0","2","0","0","","-350","1000002","1010140002","-150"
"0.1","1014","0","2","0","0","","-500","1","1010140003","-200"
"0.1","1014","0","2","0","0","","-350","2","1010140004","-150"
"","1014","0","3","0","0","","travel_exdrama_r_finish_B_hand","1000001","1010140005","0"
"","1014","0","3","0","0","","travel_exdrama_r_finish_B_hand","1000002","1010140006","0"
"","1014","0","3","0","0","","travel_exdrama_r_101_finish","1","1010140007","0"
"","1014","0","3","0","0","","travel_exdrama_r_101_finish","2","1010140008","0"
"","1014","","32","","","","0","10101","1010140009","0"
"","1014","","32","","","","1","10104","1010140010","0"
"5","1021","1","31","","1","","10200","10200","1010210001","-350"
"5","1021","1","31","","0","","10201","10201","1010210002","-350"
"5","1021","1","31","","0","","10202","10202","1010210003","-350"
"86","1021","1","31","","0","","10203","10203","1010210004","-490"
"105","1021","1","31","","0","","10204","10204","1010210005","-200"
"50","1021","1","31","","0","","10001","10001","1010210006","-525"
"-490","1021","-180","1","0","1.46","travel_exdrama_r_102_book","1000001","1","1010210007","1"
"-200","1021","-180","1","0","1.46","travel_exdrama_r_102_loupe","1000002","1","1010210008","2"
"-490","1021","-180","5","0","1.46","travel_exdrama_r_102_book","1","1","1010210009","11"
"-200","1021","-180","5","0","1.46","travel_exdrama_r_102_loupe","2","1","1010210010","12"
"-339","1021","-136","5","0","2","reliclight_none","5","5","1010210011","13"
"","1022","","23","","","","se_travel_finish_ruins_rare","se_travel","1010220001","0"
"travel_exdrama_r_102_book","1022","1","3","0.2","0.2","","travel_exdrama_r_102_bookFind_A","1000001","1010220002","0"
"travel_exdrama_r_102_loupe","1022","1","3","0.2","0.2","","travel_exdrama_r_102_loupeFind_A","1000002","1010220003","0"
"travel_exdrama_r_102_book","1022","1","3","0.2","0.2","","travel_exdrama_r_102_bookFind_A","1","1010220004","0"
"travel_exdrama_r_102_loupe","1022","1","3","0.2","0.2","","travel_exdrama_r_102_loupeFind_A","2","1010220005","0"
"","1022","","32","","","","1","10202","1010220006",""
"","1022","","32","","","","1","10203","1010220007",""
"","1022","","32","","","","1","10204","1010220008",""
"","1022","","93","","","","0","1.66","1010220009",""
"","1022","","32","","","","0","10202","1010220010",""
"","1022","","32","","","","0","10203","1010220011",""
"","1022","","32","","","","0","10204","1010220012",""
"","1023","","23","","","","se_travel_finish_ruins_event","se_travel","1010230001","0"
"travel_exdrama_r_102_book","1023","1","3","0","0.2","","travel_exdrama_r_102_bookFind_B","1000001","1010230002","0"
"travel_exdrama_r_102_loupe","1023","1","3","0","0.2","","travel_exdrama_r_102_loupeFind_B","1000002","1010230003","0"
"travel_exdrama_r_102_book","1023","1","3","0","0.2","","travel_exdrama_r_102_bookFind_B","1","1010230004","0"
"travel_exdrama_r_102_loupe","1023","1","3","0","0.2","","travel_exdrama_r_102_loupeFind_B","2","1010230005","0"
"","1023","","3","","","","reliclight_on","5","1010230006","0"
"","1023","","32","","","","1","10201","1010230007",""
"","1023","","32","","","","1","10001","1010230008",""
"","1023","","93","","","","0","3","1010230009",""
"","1023","","32","","","","0","10201","1010230010",""
"","1023","","32","","","","0","10001","1010230011",""
"","1023","","3","","","","reliclight_none","5","1010230012","0"
"","1024","0","4","0","0","","1","1000002","1010240001","0"
"","1024","0","4","0","0","","1","2","1010240002","0"
"","1024","0","3","0","0","","travel_exdrama_r_finish_A","1000001","1010240003","0"
"","1024","0","3","0","0","","travel_exdrama_r_finish_A_front","1000002","1010240004","0"
"","1024","0","3","0","0","","travel_exdrama_r_102_book_finish","1","1010240005","0"
"","1024","0","3","0","0","","travel_exdrama_r_102_loupe_finish","2","1010240006","0"
"","1024","","3","","","","reliclight_none","5","1010240007","0"
"5","1031","1","31","","1","","10300","10300","1010310001","-350"
"5","1031","1","31","","0","","10301","10301","1010310002","-350"
"5","1031","1","31","","0","","10302","10302","1010310003","-350"
"50","1031","1","31","","0","","10002","10002","1010310004","-525"
"-510","1031","-200","1","0","1.46","travel_exdrama_r_103_dig_A","1000001","1","1010310005","5"
"-400","1031","-175","1","0","1.46","travel_exdrama_r_103_dig_B","1000002","1","1010310006","3"
"-190","1031","-140","1","0","1.46","travel_exdrama_r_103_map","1000003","1","1010310007","1"
"-510","1031","-200","5","0","1.46","travel_exdrama_r_103_dig_A","1","1","1010310008","6"
"-400","1031","-175","5","0","1.46","travel_exdrama_r_103_dig_B","2","1","1010310009","4"
"-190","1031","-140","5","0","1.46","travel_exdrama_r_103_map","3","1","1010310010","2"
"","1032","","23","","","","se_travel_finish_dig_rare","se_travel","1010320001","0"
"travel_exdrama_r_103_dig_A","1032","1","3","0.2","0.2","","travel_exdrama_r_103_surprise_A","1000001","1010320002","0"
"travel_exdrama_r_103_dig_B","1032","1","3","0.2","0.2","","travel_exdrama_r_103_surprise_A","1000002","1010320003","0"
"travel_exdrama_r_103_map","1032","1","3","0.2","0.2","","travel_exdrama_r_103_mapSurprise_A","1000003","1010320004","0"
"travel_exdrama_r_103_dig_A","1032","1","3","0.2","0.2","","travel_exdrama_r_103_surprise_A","1","1010320005","0"
"travel_exdrama_r_103_dig_B","1032","1","3","0.2","0.2","","travel_exdrama_r_103_surprise_A","2","1010320006","0"
"travel_exdrama_r_103_map","1032","1","3","0.2","0.2","","travel_exdrama_r_103_mapSurprise_A","3","1010320007","0"
"","1032","","32","","","","1","10302","1010320008",""
"","1032","","93","","","","0","1.25","1010320009",""
"","1032","","32","","","","0","10302","1010320010",""
"","1033","","23","","","","se_travel_finish_dig_event","se_travel","1010330001","0"
"travel_exdrama_r_103_dig_A","1033","1","3","0","0.2","","travel_exdrama_r_103_surprise_B","1000001","1010330002","0"
"travel_exdrama_r_103_dig_B","1033","1","3","0","0.2","","travel_exdrama_r_103_surprise_B","1000002","1010330003","0"
"travel_exdrama_r_103_map","1033","1","3","0","0.2","","travel_exdrama_r_103_mapSurprise_B","1000003","1010330004","0"
"travel_exdrama_r_103_dig_A","1033","1","3","0","0.2","","travel_exdrama_r_103_surprise_B","1","1010330005","0"
"travel_exdrama_r_103_dig_B","1033","1","3","0","0.2","","travel_exdrama_r_103_surprise_B","2","1010330006","0"
"travel_exdrama_r_103_map","1033","1","3","0","0.2","","travel_exdrama_r_103_mapSurprise_B","3","1010330007","0"
"","1033","","32","","","","1","10301","1010330008",""
"","1033","","32","","","","1","10002","1010330009",""
"","1033","","93","","","","0","3","1010330010",""
"","1033","","32","","","","0","10301","1010330011",""
"","1033","","32","","","","0","10002","1010330012",""
"","1034","","4","","","","1","1000003","1010340001",""
"","1034","","4","","","","1","3","1010340002",""
"","1034","0","3","0","0","","travel_exdrama_r_finish_B","1000001","1010340003","0"
"","1034","0","3","0","0","","travel_exdrama_r_finish_B","1000002","1010340004","0"
"","1034","0","3","0","0","","travel_exdrama_r_finish_A_front","1000003","1010340005","0"
"","1034","0","3","0","0","","travel_exdrama_r_103_shovel","1","1010340006","0"
"","1034","0","3","0","0","","travel_exdrama_r_103_shovel","2","1010340007","0"
"","1034","0","3","0","0","","travel_exdrama_r_103_map_finish","3","1010340008","0"
"5","1041","1","31","","1","","10400","10400","1010410001","-350"
"5","1041","1","31","","1","","10401","10401","1010410002","-350"
"5","1041","1","31","","0","","10402","10402","1010410003","-350"
"5","1041","1","31","","0","","10403","10403","1010410004","-350"
"50","1041","1","31","","0","","10001","10001","1010410005","-525"
"-450","1041","-150","1","0","1.46","travel_exdrama_r_104_fishingIdle","1000001","1","1010410006","12"
"-200","1041","-125","1","0","1.46","travel_exdrama_r_104_idle_B","1000002","1","1010410007","10"
"-450","1041","-150","5","0","1.46","travel_exdrama_r_104_fishingIdle","1","2","1010410008","11"
"-350","1041","-150","5","0","1","none","10","4","1010410009","20"
"","1042","","23","","","","se_travel_finish_bridge_rare","se_travel","1010420001","0"
"travel_exdrama_r_104_fishingIdle","1042","1","3","0.2","0.2","","travel_exdrama_r_104_fishingCatch","1000001","1010420002","0"
"travel_exdrama_r_104_idle_B","1042","1","3","0.2","0.2","","travel_exdrama_r_104_glad_B","1000002","1010420003","0"
"travel_exdrama_r_104_fishingIdle","1042","1","3","0.2","0.2","","travel_exdrama_r_104_fishingCatch","1","1010420004","0"
"none","1042","1","3","0","0","","fish","10","1010420005","0"
"","1042","","32","","","","1","10402","1010420006",""
"","1042","","93","","","","0","1.25","1010420007",""
"","1042","","32","","","","0","10402","1010420008",""
"","1043","","23","","","","se_travel_finish_bridge_event","se_travel","1010430001","0"
"travel_exdrama_r_104_fishingIdle","1043","1","3","0","0","","travel_exdrama_r_104_fishingBig","1000001","1010430002","0"
"travel_exdrama_r_104_idle_B","1043","1","3","0","0","","travel_exdrama_r_104_surprise_B","1000002","1010430003","0"
"travel_exdrama_r_104_fishingIdle","1043","1","3","0","0","","travel_exdrama_r_104_fishingBig","1","1010430004","0"
"","1043","","32","","","","1","10403","1010430005",""
"","1043","","32","","","","1","10001","1010430006",""
"","1043","","93","","","","0","3","1010430007",""
"","1043","","32","","","","0","10403","1010430008",""
"","1043","","32","","","","0","10001","1010430009",""
"","1044","","4","","","","1","1000002","1010440001",""
"","1044","0","3","0","0","","travel_exdrama_r_104_fishing_finish","1000001","1010440002","0"
"","1044","0","3","0","0","","travel_exdrama_r_finish_A_front","1000002","1010440003","0"
"","1044","0","3","0","0.2","","travel_exdrama_r_104_fishing_finish","1","1010440004","0"
"5","1051","1","31","","1","","10500","10500","1010510001","-350"
"-200","1051","1","31","","0","","10501","10501","1010510002","-350"
"50","1051","1","31","","0","","10001","10001","1010510003","-525"
"-470","1051","-200","1","0","1.46","travel_exdrama_r_105_netSearch","1000001","1","1010510004","1"
"-200","1051","-220","1","0","1.46","travel_exdrama_r_105_binoculars","1000002","1","1010510005","2"
"-470","1051","-200","5","0","1.46","travel_exdrama_r_105_netSearch","1","1","1010510006","5"
"-200","1051","-220","5","0","1.46","travel_exdrama_r_105_binoculars","2","1","1010510007","3"
"-350","1051","-230","5","0","1.46","idle","10","3","1010510008","4"
"travel_exdrama_r_105_netSearch","1052","1","3","0.1","0.2","","travel_exdrama_r_105_netFind_A","1000001","1010520001","0"
"travel_exdrama_r_105_binoculars","1052","1","3","0.2","0.2","","travel_exdrama_r_105_binocularsFind_A","1000002","1010520002","0"
"travel_exdrama_r_105_netSearch","1052","1","3","0.1","0.2","","travel_exdrama_r_105_netFind_A","1","1010520003","0"
"travel_exdrama_r_105_binoculars","1052","1","3","0.2","0.2","","travel_exdrama_r_105_binocularsFind_A","2","1010520004","0"
"idle","1052","1","3","0.2","0.2","","beetle","10","1010520005","0"
"","1052","","32","","","","1","10501","1010520006",""
"","1052","","93","","","","0","1.2","1010520007",""
"","1052","","32","","","","0","10501","1010520008",""
"","1053","","23","","","","se_travel_finish_insects_event","se_travel","1010530001","0"
"travel_exdrama_r_105_netSearch","1053","1","3","0","0.2","","travel_exdrama_r_105_netFind_B","1000001","1010530002","0"
"travel_exdrama_r_105_binoculars","1053","1","3","0","0.2","","travel_exdrama_r_105_binocularsFind_B","1000002","1010530003","0"
"travel_exdrama_r_105_netSearch","1053","1","3","0","0.2","","travel_exdrama_r_105_netFind_B","1","1010530004","0"
"travel_exdrama_r_105_binoculars","1053","1","3","0","0.2","","travel_exdrama_r_105_binocularsFind_B","2","1010530005","0"
"idle","1053","1","3","0","0.2","","butterfly","10","1010530006","0"
"","1053","","32","","","","1","10501","1010530007",""
"","1053","","32","","","","1","10001","1010530008",""
"","1053","","93","","","","0","2.6","1010530009",""
"","1053","","32","","","","0","10501","1010530010",""
"","1053","","32","","","","1","10501","1010530011",""
"","1053","","93","","","","0","0.4","1010530012",""
"","1053","","32","","","","0","10501","1010530013",""
"","1053","","32","","","","0","10001","1010530014",""
"","1054","","4","","","","1","1000002","1010540001",""
"","1054","","4","","","","1","2","1010540002",""
"","1054","0","3","0","0","","travel_exdrama_r_finish_B_hand","1000001","1010540003","0"
"","1054","0","3","0","0","","travel_exdrama_r_finish_B","1000002","1010540004","0"
"","1054","0","3","0","0","","travel_exdrama_r_105_net_finish","1","1010540005","0"
"","1054","0","3","0","0","","travel_exdrama_r_105_binoculars_finish","2","1010540006","0"
"","1054","0","3","0","0","","stop","10","1010540007","0"
"5","1061","1","31","","1","","10600","10600","1010610001","-350"
"5","1061","1","31","","0","","10601","10601","1010610002","-350"
"5","1061","1","31","","0","","10602","10602","1010610003","-350"
"5","1061","1","31","","0","","10603","10603","1010610004","-350"
"5","1061","1","31","","1","","10604","10604","1010610005","-350"
"5","1061","1","31","","1","","10605","10605","1010610006","-350"
"50","1061","1","31","","0","","10001","10001","1010610007","-525"
"-497","1061","-224","1","0","1.46","travel_exdrama_r_106_idle_A","1000001","1","1010610008","18"
"-208","1061","-116","1","0","1.46","travel_exdrama_r_106_idle_B","1000002","1","1010610009","2"
"-497","1061","-224","5","0","1.46","travel_exdrama_r_106_idle_A","1","1","1010610010","30"
"-208","1061","-116","5","0","1.46","travel_exdrama_r_000_none","2","1","1010610011","3"
"","1062","","23","","","","se_travel_finish_beach_rare","se_travel","1010620001","0"
"travel_exdrama_r_106_idle_A","1062","1","3","0.2","0","","travel_exdrama_r_106_rare_A","1000001","1010620002","0"
"travel_exdrama_r_106_idle_B","1062","1","3","0.2","0","","travel_exdrama_r_106_rare_B","1000002","1010620003","0"
"travel_exdrama_r_106_idle_A","1062","1","3","0.2","0","","travel_exdrama_r_106_rare_A","1","1010620004","0"
"travel_exdrama_r_000_none","1062","0","3","0.2","0","","travel_exdrama_r_106_rare_B","2","1010620005","0"
"","1062","","32","","","","1","10603","1010620006",""
"","1062","","93","","","","0","1.2","1010620007",""
"","1062","","32","","","","0","10603","1010620008",""
"","1063","","23","","","","se_travel_finish_beach_event","se_travel","1010630001","0"
"travel_exdrama_r_106_idle_A","1063","1","3","0","0","","travel_exdrama_r_106_memory_A","1000001","1010630002","0"
"travel_exdrama_r_106_idle_B","1063","1","3","0","0","","travel_exdrama_r_106_memory_B","1000002","1010630003","0"
"travel_exdrama_r_106_idle_A","1063","1","3","0","0","","travel_exdrama_r_106_memory_A","1","1010630004","0"
"","1063","","32","","","","1","10601","1010630005",""
"","1063","","32","","","","1","10602","1010630006",""
"","1063","","32","","","","1","10001","1010630007",""
"","1063","","93","","","","0","3","1010630008",""
"","1063","","32","","","","0","10601","1010630009",""
"","1063","","32","","","","0","10602","1010630010",""
"","1063","","32","","","","0","10001","1010630011",""
"","1064","","4","","","","1","1000002","1010640001",""
"","1064","","4","","","","1","1000001","1010640002",""
"","1064","","4","","","","1","2","1010640003",""
"","1064","","3","0","0","","travel_exdrama_r_106_finish_A","1000001","1010640004","0"
"","1064","","3","0","0","","travel_exdrama_r_106_finish_B","1000002","1010640005","0"
"","1064","","3","0","0","","travel_exdrama_r_106_rare_A","1","1010640006","0"
"","1064","","3","0","0","","travel_exdrama_r_000_none","2","1010640007","0"
"5","1071","1","31","","1","","10700","10700","1010710001","-350"
"5","1071","1","31","","1","","10701","10701","1010710002","-350"
"5","1071","1","31","","0","","10702","10702","1010710003","-350"
"5","1071","1","31","","0","","10703","10703","1010710004","-350"
"50","1071","1","31","","0","","10001","10001","1010710005","-525"
"-470","1071","-170","1","0","1.46","travel_exdrama_r_107_dig_A","1000001","1","1010710006","32"
"-215","1071","-170","1","1","1.46","travel_exdrama_r_107_dig_B","1000002","1","1010710007","30"
"-470","1071","-170","5","0","1.46","travel_exdrama_r_107_dig_A","1","1","1010710008","33"
"-215","1071","-170","5","1","1.46","travel_exdrama_r_107_dig_B","10","1","1010710009","31"
"","1072","","23","","","","se_travel_finish_raredrop","se_travel","1010720001","0"
"travel_exdrama_r_107_dig_A","1072","1","3","0.2","0.2","","travel_exdrama_r_107_joy","1000001","1010720002","0"
"travel_exdrama_r_107_dig_B","1072","1","3","0.2","0.2","","travel_exdrama_r_107_joy","1000002","1010720003","0"
"travel_exdrama_r_107_dig_A","1072","1","3","0.2","0.2","","travel_exdrama_r_107_joy","1","1010720004","0"
"travel_exdrama_r_107_dig_B","1072","1","3","0.2","0.2","","travel_exdrama_r_107_joy","10","1010720005","0"
"","1072","","32","","","","0","10701","1010720006",""
"","1072","","32","","","","1","10702","1010720007",""
"","1072","","93","","","","0","1.4","1010720008",""
"","1072","","32","","","","1","10701","1010720009",""
"","1072","","32","","","","0","10702","1010720010",""
"","1073","","23","","","","se_travel_finish_memory_event","se_travel","1010730001","0"
"travel_exdrama_r_107_dig_A","1073","1","3","0","0.2","","travel_exdrama_r_107_surprise_A","1000001","1010730002","0"
"travel_exdrama_r_107_dig_B","1073","1","3","0","0.2","","travel_exdrama_r_107_surprise_B","1000002","1010730003","0"
"travel_exdrama_r_107_dig_A","1073","1","3","0","0.2","","travel_exdrama_r_107_surprise_A","1","1010730004","0"
"travel_exdrama_r_107_dig_B","1073","1","3","0","0.2","","travel_exdrama_r_107_surprise_B","10","1010730005","0"
"","1073","","32","","","","1","10703","1010730006",""
"","1073","","32","","","","1","10001","1010730007",""
"","1073","","32","","","","0","10701","1010730008",""
"","1073","","93","","","","0","3","1010730009",""
"","1073","","32","","","","0","10703","1010730010",""
"","1073","","32","","","","0","10001","1010730011",""
"","1073","","32","","","","1","10701","1010730012",""
"","1074","","4","","","","1","1000002","1010740001",""
"","1074","","4","","","","1","10","1010740002",""
"","1074","0","3","0","0","","travel_exdrama_r_finish_B_hand","1000001","1010740003","0"
"","1074","0","3","0","0","","travel_exdrama_r_finish_B_hand","1000002","1010740004","0"
"","1074","0","3","0","0","","travel_exdrama_r_107_finish_A","1","1010740005","0"
"","1074","0","3","0","0","","travel_exdrama_r_107_finish_A","10","1010740006","0"
"","1074","","32","","","","0","10701","1010740007",""
"5","1081","1","31","","1","","10800","10800","1010810001","-350"
"5","1081","1","31","","1","","10401","10401","1010810002","-350"
"5","1081","1","31","","0","","10402","10402","1010810003","-350"
"5","1081","1","31","","0","","10403","10403","1010810004","-350"
"50","1081","1","31","","0","","10001","10001","1010810005","-525"
"-450","1081","-150","1","0","1.46","travel_exdrama_r_104_fishingIdle","1000001","1","1010810006","12"
"-200","1081","-125","1","0","1.46","travel_exdrama_r_104_idle_B","1000002","1","1010810007","10"
"-450","1081","-150","5","0","1.46","travel_exdrama_r_104_fishingIdle","1","2","1010810008","11"
"-350","1081","-150","5","0","1","none","10","4","1010810009","20"
"","1082","","23","","","","se_travel_finish_bridge_rare","se_travel","1010820001","0"
"travel_exdrama_r_104_fishingIdle","1082","1","3","0.2","0.2","","travel_exdrama_r_104_fishingCatch","1000001","1010820002","0"
"travel_exdrama_r_104_idle_B","1082","1","3","0.2","0.2","","travel_exdrama_r_104_glad_B","1000002","1010820003","0"
"travel_exdrama_r_104_fishingIdle","1082","1","3","0.2","0.2","","travel_exdrama_r_104_fishingCatch","1","1010820004","0"
"none","1082","1","3","0","0","","fish","10","1010820005","0"
"","1082","","32","","","","1","10402","1010820006",""
"","1082","","93","","","","0","1.25","1010820007",""
"","1082","","32","","","","0","10402","1010820008",""
"","1083","","23","","","","se_travel_finish_bridge_event","se_travel","1010830001","0"
"travel_exdrama_r_104_fishingIdle","1083","1","3","0","0","","travel_exdrama_r_104_fishingBig","1000001","1010830002","0"
"travel_exdrama_r_104_idle_B","1083","1","3","0","0","","travel_exdrama_r_104_surprise_B","1000002","1010830003","0"
