a44b94d056e5edfe1bd344db9b0a6c16bed589d6e57ceed91b0cce12c43f941c,7c01eb9bac946fa68ade7fc463c5b62a9bda48e7d1b7684a283a73bb5799f879,38d6d2d6bbc5fd99fdc1b1995d1f0d685b9f7d148e210a507d683dc2104234dc,9d860e2b4ed14e008292587cdca547217f39b46a2d4f80896d3cbf7c83b1b005,4306caccdff5ca5c921f29daa9660b741ac2b1877363278c4a8f9dba03c07971,c289cd4b04db4c41aa6893d6ff339bbdd41b2b2e52c2e525d48ee136f2b60aae,2ee75edd686f41b21fe8aa86f8d71f6fd72da6dc6b7723d136a67d7c3bd55f9c,cda26dd6408632df96ee79209e7f7117a3c717a1a331504f596835ef4e0ac596
"11071","2000","50％★2迷宮遺物×1\n50％★3迷宮遺物×1","102501","小心接近吧","71_suzume_sad","11071","1"
"11072","2000","50％隨機職階的\n自選印記×1\n50％全自選印記×1","102301","噗吉\n全力揮～擊☆","72_ayane_handsup","11072","1"
"11073","0","50％始源盧幣×1500\n50％始源盧幣×2000","102101","摸也\n沒關係吧……？","73_kurumi_wish","11073","0"
"11081","0","50％★1迷宮遺物×1\n50％隨機職階的\n隨機印記×2","103201","一定是右吧！","82_akino_pointing","11081","0"
"11082","0","始源盧幣×1000","102801","不是左嗎？","81_saren_pointing","11082","0"
"11091","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300","100501","試試身手吧！","41_matsuri_guts","11091","0"
"11092","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450","107101","與強敵間的戰鬥令人興奮！","42_chris_cool","11092","0"
"11101","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000","100101","石頭──！！！","31_hiyori_gu","11101","0"
"11102","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000","100301","出剪刀吧","32_rei_choki","11102","0"
"11103","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000","100201","出布好了","33_yui_pa","11103","0"
"11111","0","始源盧幣×2000","193001","弟弟，\n這邊這邊♪","101_chest_shizuru","11111","0"
"11112","0","★1～3迷宮遺物×１","193001","哥哥，\n這邊喔♪","102_chest_rino","11112","0"
"11121","0","始源盧幣×2000","103701","賭上\n御久間流的劍技！","111_tomo_run","11121","0"
"11122","0","純成為夥伴\n＋全隨機印記×2～4","104701","這裡就交給\n我們吧！","112_jun_run","11122","0"
"11131","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400","100501","試試身手吧！","41_matsuri_guts","11131","0"
"11132","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600","107101","與強敵間的戰鬥令人興奮！","42_chris_cool","11132","0"
"11171","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500","100501","試試身手吧！","41_matsuri_guts","11171","0"
"11172","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750","107101","與強敵間的戰鬥令人興奮！","42_chris_cool","11172","0"
"13141","0","50％★1迷宮遺物×1\n接著前往下一個活動","105601","來放鬆\n釣個魚吧","51_ruka_fishing","13141","0"
"13151","0","50％前往下一個活動","105801","大家\n一起來做菜吧♪","91_peko_guts","13151","0"
"13161","0","50％始源盧幣×2000\n接著前往下一個活動","106601","那我也上吧！","61_inori_guts","13161","0"
"23141","0","25％★2迷宮遺物×1\n接著前往下一個活動","105601","再挑戰一次！","52_ruka_fishing","23141","0"
"23151","0","50％前往下一個活動","105801","還遠遠\n沒吃夠☆","92_peko_guts","23151","1"
"23152","0","隨機職階的\n隨機印記×2","106001","差不多那樣\n就行了吧？","92_kyaru_sad","23152","0"
"23161","2000","50％始源盧幣×4000\n接著前往下一個活動","106601","今天真走運！","62_inori_guts","23161","1"
"23162","0","挑戰結束","105501","差不多就到這裡吧……","62_ayumi_sad","23162","0"
"33141","0","10％★3迷宮遺物×1","105601","最後再來一場！","53_ruka_fishing","33141","0"
"33151","0","50％全自選印記×２","105801","嘿嘿～\n再一下就好……","93_peko_guts","33151","1"
"33152","0","隨機職階的\n自選印記×2","106001","不可能\n吃得下這麼多吧！","93_kyaru_anger","33152","0"
"33161","4000","50％始源盧幣×8000","106601","今天的我\n百戰百勝！","63_inori_guts","33161","1"
"33162","0","挑戰結束","105501","差不多住手了比較好……","63_ayumi_worry","33162","0"
