118938e947957b3367868d6689117d54d5adc59d785c99c0aef48fbbe8a48d2d,2c71f015b95d56704298aac20c7b927a5183f4a294747cc30fe7f442e6cfd956,d98df469d77a2ae4bb295f13e2579dbbc4a51a691788bf39ba6e5455883d22a7,dcfbb93211a888f100d2549be64640efaa88ac03a10cfdad7f4f7b304e4ba0af,ce8676148d31d309870baa096a4a1121f16b9ea0b0731a7a0f574c6db6b1bc17,c8a2bbe30ec718bcef570c1e0c7cf454b4754e95e31a921b7906e8ae638e7fb3,3898e90078ce8037b09dced558691f4b891ca76ee032c916eae3a6b5c2f26380,17c327117043b4df26a8bd7c8aff48fb518274a3351e44fcfe5459d71401cb55,5e2ade782bf6d1bff8975be48f9cc72eca97d7e3de0608a96c15938652a5ba54,8399f2fb0fa6e0cfb87e2e5af5381387753f82df35fff1d77ae705d502498722,a0d76e6f37ec5255d11a2a57ef0be3183b576fcfdd510bdcd85bc1ad2b460c11,bd9c8acf152193e7b8a27a15ed499c350a7324d53188d31975b84264b100592e,c9084b9459f5e23c60154603232cad1647e7ec4749d7a1cb008916eb8ae48ec4,ba54e9ec150fe85580cc1a20c46b4c21bd5fbad56c8f1fc2eb23cbc7665dba10,c883bee899b2874a950ee6c56fe5f4258d68cdcc25306aef983c1cb9df7f466b,4d8c8ff92d2ba4271d3f839ae77cc01e322b9b4c7703d9ae00bef9c2b39667a9,7e47a94b8ff739eae73b06ce627b5bdfd330f6468c693ad147a4addd8b25c476,3982931f659928e652dc036a2622bb7b1a5d258c2efc2513bbe39e0980879b2b,36ed123888bf7291ca3653c783d6eb8791111b8b0e4920170c18c669013a7103,eb2a1c857f6d1931b791ef692a2add07bb7f947d5c3ef211f4d456e17f7e6cf4,2fbb9bc14c84ac44a688ca28b6326b307a92449641e03ef04d99578f835f6d21
"1","100300302","1","1.8","0","4320","","1","0","0","3","1","0","0.5","0","1","18","0","0","100300305",""
"1","100300303","1","1.8","0","4320","","1","0","0","3","1","0","1","0","1","18","0","0","100300306",""
"677","100300304","1","0","0","0","","1","0","0","7","2","0","0","100300305","1","28","0","0","100300306",""
"1","100300305","1","1.6","0","-1","對敵方單體造成{0}的物理傷害","1","20","0","3","1","0","20","0","1","1","0","0","0","物理傷害+{0}"
"1","100300306","1","3.2","0","-1","","1","40","0","3","1","0","40","0","1","1","0","0","0",""
"1","100301101","1","9.6","0","-1","對敵方單體造成{0}的物理傷害","1","120","0","3","1","0","120","0","1","1","0","0","0","物理傷害+{0}"
"0","100301102","1","18","0","0","將風之刃暫時纏繞於身","1","77","0","7","2","0","1","0","1","35","1","0","0",""
"677","100301201","1","1","0","0","","1","2","0","7","2","0","1","100301202","1","28","0","0","100301203",""
"1","100301202","1","1.6","0","-1","對敵方單體造成{0}的物理傷害","1","20","0","3","1","0","20","0","1","1","0","0","0","物理傷害+{0}"
"1","100301203","1","3.2","0","-1","","1","40","0","3","1","0","40","0","1","1","0","0","0",""
"21","100301204","1","0.6","0","-1","降低敵方單體{0}的物理防禦力","1","0.6","0","3","1","1","1","0","1","10","12","0","1","物理防禦力降低+{0}"
"21","100301205","1","1.2","0","-1","","1","1.2","0","3","1","1","1","0","1","10","24","0","1",""
"677","100301301","1","0","0","0","","1","0","0","7","2","0","0","100301302","1","28","0","0","100301303",""
"1","100301302","1","3.2","0","-1","對敵方單體造成{0}的物理傷害","1","40","0","3","1","0","40","0","1","1","0","0","0","物理傷害+{0}"
"1","100301303","1","6.4","0","-1","","1","80","0","3","1","0","80","0","1","1","0","0","0",""
"677","100301304","1","0","0","0","","1","0","0","7","2","0","0","100301305","1","28","0","0","100301306",""
"1","100301305","1","3.2","0","-1","對敵方單體造成{0}的物理傷害","1","40","0","3","1","0","40","0","1","1","0","0","0","物理傷害+{0}"
"1","100301306","1","6.4","0","-1","","1","80","0","3","1","0","80","0","1","1","0","0","0",""
"677","100301307","1","0","0","0","","1","0","0","7","2","0","0","100301308","1","28","0","0","100301309",""
"1","100301308","1","12","0","-1","使自身受到的無法行動狀態無效１次","1","0","0","7","2","0","1","0","1","100","0","0","0",""
"1","100301309","1","24","0","-1","","1","0","0","7","2","0","2","0","1","100","0","0","0",""
"1","100301310","1","0","0","-1","","1","0","0","7","2","0","-1","0","1","22","0","0","10030102",""
"2","100350101","0","15","0","0","提升自身{0}的物理攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","物理攻擊力提升+{0}"
"2","100351101","0","15","0","0","提升自身{0}的物理攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","物理攻擊力提升+{0}"
"1","100351102","0","0","0","0","提升自身{0}的最大HP","0","1125","0","0","0","0","1","0","1","90","1","0","0",""
"1","100400101","1","0","0","2160","","2","0","1","3","1","0","0","0","1","7","0","0","0",""
"1","100400102","99","1.62","0","300","對範圍內的敵人造成{0}的物理傷害","2","20.4","0","1","1","0","20.4","0","1","1","0","0","0","物理傷害+{0}"
"1","100400201","1","0.6","0","2160","對敵方單體造成{0}的物理傷害","3","8","1","3","1","0","8","0","1","1","0","0","0","物理傷害+{0}"
"70","100400202","1","100","0","2160","使一名敵人陷入黑暗狀態","3","0","1","3","1","0","8","0","1","12","0","0","0","造成黑暗的成功Lv+1"
"1","100400301","1","0.8","0","2160","對敵方單體造成{0}的物理傷害","2","10","0","14","1","0","10","0","1","1","0","0","0","物理傷害+{0}"
"11","100400302","1","3.75","0","2160","降低敵方單體{0}的物理攻擊力","2","3.75","0","1","1","1","1","0","1","10","99","0","1","物理攻擊力降低+{0}"
"10","100400303","1","5.5","0","0","提升自身{0}的物理攻擊力","1","5.5","0","7","2","1","1","0","1","10","99","0","1","物理攻擊力提升+{0}"
"1","100401101","99","2.16","0","2160","對敵方全體造成{0}的物理傷害","3","27","0","3","1","0","27","0","1","1","0","0","0","物理傷害+{0}"
"11","100401102","99","30","0","2160","降低全體敵人{0}物理攻擊力","3","30","0","3","1","0","1","0","1","10","18","0","1","物理攻擊力降低+{0}"
"61","100401103","99","1.25","0","2160","降低敵方全體的物理暴擊{0}","3","100","0","3","1","0","1","0","1","10","18","0","0","降低物理暴擊+{0}"
"111","100401104","99","0","0","2160","降低敵方全體物理攻擊暴擊時的傷害{0}%","3","25","0","3","1","0","2","0","1","10","18","0","0",""
"1","100401201","1","1.6","0","2160","對敵方單體造成{0}的物理傷害","3","20","1","3","1","0","20","0","1","1","0","0","0","物理傷害+{0}"
"80","100401202","1","100","0","2160","使一名敵人陷入黑暗狀態","3","0","1","3","1","0","10","0","1","12","0","0","0","造成黑暗的成功Lv+1"
"1","100401203","1","0","0","2160","","3","0","1","3","1","0","0","0","1","7","0","0","0",""
"11","100401204","99","5","0","200","使範圍內敵人的物理攻擊力降低{0}","2","5","0","1","1","0","1","0","1","10","180","0","1","物理攻擊力降低+{0}"
"3","100450101","0","2","0","0","提升自身{0}的物理防禦力","0","2","0","0","0","0","1","0","1","90","1","0","0","物理防禦力提升+{0}"
"3","100451101","0","2","0","0","提升自身{0}的物理防禦力","0","2","0","0","0","0","1","0","1","90","1","0","0","物理防禦力提升+{0}"
"2","100451102","0","0","0","0","提升自身{0}的物理攻擊力","0","225","0","0","0","0","1","0","1","90","1","0","0",""
"3","100500101","1","0","0","2160","","1","0","2","3","1","0","100","0","1","2","0","0","0",""
"1","100500102","1","0","0","2160","","1","0","2","3","1","0","100","0","1","7","0","0","0",""
"1","100500103","99","2.4","0","300","對範圍內的敵人造成{0}的物理傷害","2","30","0","3","1","0","30","0","1","1","0","0","0","物理傷害+{0}"
"1","100500201","99","0.27","0","300","對範圍內的敵人造成{0}的物理傷害","2","3.4","0","3","1","0","3.4","0","1","1","0","0","0","物理傷害+{0}"
"7","100500202","99","2","0","300","使範圍內的敵人一段時間內無法行動","2","0","0","3","1","0","0","0","1","8","0","0","0","造成暈眩的成功Lv+1"
"1","100500301","99","0.8","0","300","對範圍內的敵人造成{0}的物理傷害","2","10","0","3","1","0","10","0","1","1","0","0","0","物理傷害+{0}"
"3","100501101","1","0","0","2160","","1","0","2","3","1","0","100","0","1","2","0","0","0",""
"1","100501102","1","0","0","2160","","1","0","2","3","1","0","100","0","1","7","0","0","0",""
"1","100501103","99","2.4","0","450","對範圍內的敵人造成{0}的物理傷害","2","30","0","3","1","0","30","0","1","1","0","0","0","物理傷害+{0}"
"100501103","100501104","1","0","0","0","","1","0.00005","0","7","2","0","1","0","1","26","0","0","3",""
"100501106","100501105","1","0","0","0","","1","1","0","7","2","0","1","0","1","26","0","0","1",""
"5","100501106","1","18","0","0","展開{0}傷害比例的物理魔法無效屏障","1","45","0","7","2","0","45","0","1","6","0","0","0","無效傷害量+{0}"
"1","100501201","99","0.54","0","300","對範圍內的敵人造成{0}的物理傷害","2","3.4","0","3","1","0","3.4","0","1","1","0","0","0","物理傷害+{0}"
"7","100501202","99","2","0","300","使範圍內的敵人一段時間內無法行動","2","0","0","3","1","0","0","0","1","8","0","0","0","造成暈眩的成功Lv+1"
"20","100501203","1","2.24","0","0","提升自身{0}的物理防禦力","1","2.24","0","7","2","0","1","0","1","10","12","0","1","物理防禦力提升+{0}"
"40","100501204","1","2.24","0","0","提升自身{0}的魔法防禦力","1","2.24","0","7","2","0","1","0","1","10","12","0","1","魔法防禦力提升+{0}"
"2","100550101","0","15","0","0","提升自身{0}的物理攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","物理攻擊力提升+{0}"
"2","100551101","0","15","0","0","提升自身{0}的物理攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","物理攻擊力提升+{0}"
"3","100551102","0","0","0","0","提升自身{0}的物理防禦力","0","30","0","0","0","0","1","0","1","90","1","0","0",""
"0","100600101","99","1","0","2160","","3","4","0","3","2","0","4","0","1","32","0","0","0",""
"30","100600102","99","4.5","0","2160","提升我方全體{0}的魔法攻擊力","3","4.5","0","3","2","0","1","0","1","10","18","0","1","魔法攻擊力提升+{0}"
"2","100600201","1","1.6","0","-1","對敵方單體造成{0}的魔法傷害","1","20","0","3","1","0","20","0","1","1","0","0","0","魔法傷害+{0}"
"41","100600301","1","1","0","-1","降低敵方單體{0}的魔法防禦力","1","1","0","3","1","1","1","0","1","10","12","0","1","魔法防禦力降低+{0}"
"0","100601101","99","1","0","2160","","3","4","0","3","2","0","4","0","1","32","0","0","0",""
"30","100601102","99","24","0","2160","提升我方全體{0}的魔法攻擊力","3","24","0","3","2","0","1","0","1","10","18","0","1","魔法攻擊力提升+{0}"
"70","100601103","99","0","0","2160","使全體夥伴的魔法暴擊提升{0}","3","100","0","3","2","0","1","0","1","10","18","0","1",""
"41","100601104","99","0.66","0","2160","使全體敵人的魔法防禦力下降{0}","3","0.66","0","3","1","0","1","0","1","10","18","0","1","魔法防禦力降低+{0}"
"2","100601201","1","2","0","-1","對敵方單體造成{0}的魔法傷害","1","25","0","3","1","0","25","0","1","1","0","0","0","魔法傷害+{0}"
"41","100601202","1","0.2","0","-1","降低敵方單體{0}的魔法防禦力","1","0.2","0","3","1","1","1","0","1","10","12","0","1","魔法防禦力降低+{0}"
"2","100610101","1","2","0","-1","對敵方單體造成{0}的魔法傷害","1","25","0","3","1","0","25","0","1","1","0","0","0","魔法傷害+{0}"
"2","100610201","99","1.25","0","550","對敵方單體造成{0}的魔法傷害","1","15","0","3","1","0","15","0","1","1","0","0","0","魔法傷害+{0}"
"0","100620101","99","1","0","2160","","3","0","0","3","2","0","1204","0","1","32","0","0","0",""
"30","100620102","99","8.5","0","2160","提升我方全體{0}的魔法攻擊力","3","-1195.5","0","3","2","0","1","0","1","10","18","0","1","魔法攻擊力提升+{0}"
"0","100621101","99","1","0","2160","","3","0","0","3","2","0","1204","0","1","32","0","0","0",""
"30","100621102","99","28","0","2160","提升我方全體{0}的魔法攻擊力","3","-1172","0","3","2","0","1","0","1","10","18","0","1","魔法攻擊力提升+{0}"
"70","100621103","99","0","0","2160","使全體夥伴的魔法暴擊提升{0}","3","100","0","3","2","0","1","0","1","10","18","0","1",""
"41","100621104","99","0.66","0","2160","使全體敵人的魔法防禦力下降{0}","3","0.66","0","3","1","0","1","0","1","10","18","0","1","魔法防禦力降低+{0}"
"4","100650101","0","15","0","0","提升自身{0}的魔法攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","魔法攻擊力提升+{0}"
"4","100651101","0","15","0","0","提升自身{0}的魔法攻擊力","0","240","0","0","0","0","1","0","1","90","1","0","0","魔法攻擊力提升+{0}"
"1","100700101","1","3.6","0","-1","對敵方單體造成{0}的物理傷害","1","45","0","3","1","0","45","0","1","1","0","0","0","物理傷害+{0}"
"1","100700102","1","12","0","0","回復自身{0}的HP","3","12","0","7","2","0","1","0","1","4","1","0","0","HP回復量+{0}"
"1","100700201","1","0","0","0","一段時間內成為無敵狀態","1","0.01","0","7","2","0","3","0","1","21","0","0","0","無敵時間+0.01秒"
"1","100700202","1","2.4","0","0","","0","0","0","7","0","0","0","0","1","18","0","0","100700203",""
"1","100700203","1","0","0","0","","1","0","0","7","2","0","0","0","1","21","0","0","0",""
"1","100700301","1","7.5","0","0","回復自身{0}的HP","1","7.5","0","7","2","0","1","0","1","4","1","0","0","HP回復量+{0}"
"1","100701101","1","4.8","0","-1","對敵方單體造成{0}的物理傷害","1","60","0","3","1","0","60","0","1","1","0","0","0","物理傷害+{0}"
"1","100701102","1","12","0","0","回復自身{0}的HP","3","12","0","7","2","0","1","0","1","4","1","0","0","HP回復量+{0}"
"50","100701103","1","0.1","0","0","使自己的迴避提高{0}  ","2","0.1","0","7","2","1","1","0","1","10","180","0","1","迴避上升+{0}"
"1","100701201","1","0","0","0","一段時間內成為無敵狀態","1","0.01","0","7","2","0","3","0","1","21","0","0","0","無敵時間+0.01秒"
"1","100701202","1","2.4","0","0","","0","0","0","7","0","0","0","0","1","18","0","0","100701203",""
"1","100701203","1","0","0","0","","1","0","0","7","2","0","0","0","1","21","0","0","0",""
"50","100701204","1","0.1","0","0","使自己的迴避提高{0}  ","2","0.1","0","7","2","1","1","0","1","10","12","0","1","迴避上升+{0}"
"20","100701205","1","1.2","0","0","提升自身{0}的物理防禦力","2","1.2","0","7","2","1","1","0","1","10","12","0","1","物理防禦力提升+{0}"
"1","100720201","1","0","0","0","一段時間內成為無敵狀態","1","0","0","7","2","0","6","0","1","21","0","0","0",""
"1","100720202","1","2.4","0","0","","0","0","0","7","0","0","0","0","1","18","0","0","100720203",""
"1","100720203","1","0","0","0","","1","0","0","7","2","0","0","0","1","21","0","0","0",""
"20","100720204","1","0.2","0","0","提升自身{0}的物理防禦力","2","-60","0","7","2","1","1","0","1","10","12","0","1","物理防禦力提升+{0}"
"1","100721101","1","5.2","0","-1","對敵方單體造成{0}的物理傷害","1","60","0","3","1","0","60","0","1","1","0","0","0","物理傷害+{0}"
"1","100721102","1","12","0","0","回復自身{0}的HP","3","12","0","7","2","0","1","0","1","4","1","0","0","HP回復量+{0}"
"50","100721103","1","0","0","0","使自己的迴避提高{0}  ","2","30.1","0","7","2","1","1","0","1","10","180","0","1",""
"1","100721201","1","0","0","0","一段時間內成為無敵狀態","1","0","0","7","2","0","6","0","1","21","0","0","0",""
"1","100721202","1","2.4","0","0","","0","0","0","7","0","0","0","0","1","18","0","0","100721203",""
"1","100721203","1","0","0","0","","1","0","0","7","2","0","0","0","1","21","0","0","0",""
"50","100721204","1","0","0","0","使自己的迴避提高{0}  ","2","30.1","0","7","2","1","1","0","1","10","12","0","1",""
"20","100721205","1","1.4","0","0","提升自身{0}的物理防禦力","2","-58.8","0","7","2","1","1","0","1","10","12","0","1","物理防禦力提升+{0}"
"3","100750101","0","2","0","0","提升自身{0}的物理防禦力","0","2","0","0","0","0","1","0","1","90","1","0","0","物理防禦力提升+{0}"
"3","100751101","0","2","0","0","提升自身{0}的物理防禦力","0","32","0","0","0","0","1","0","1","90","1","0","0","物理防禦力提升+{0}"
"2","100800101","99","0.405","0","2160","對敵方全體造成{0}的魔法傷害","3","4.5","0","3","1","0","4.5","0","1","1","0","0","0","魔法傷害+{0}"
"21","100800102","99","0.345","0","2160","降低敵方全體{0}的物理防禦力","3","0.345","0","3","1","1","1","0","1","10","18","0","1","物理防禦力降低+{0}"
"2","100800201","1","1.2","0","2160","對敵方單體造成{0}的魔法傷害","3","15","1","3","1","0","15","0","1","1","0","0","0","魔法傷害+{0}"
"40","100800202","1","100","0","2160","使一名敵人陷入黑暗狀態","3","0","0","1","1","0","8","0","1","12","0","0","0","造成黑暗的成功Lv+1"
"1","100800301","1","0","0","2160","回復我方單體{0}的TP","3","2.5","0","12","2","0","75","0","1","16","0","0","0","TP回復量+{0}"
"2","100801101","99","1.62","0","2160","對敵方全體造成{0}防禦力較低者可防禦的魔法傷害","3","20.25","0","3","1","0","20.25","0","1","1","0","0","1","魔法傷害+{0}"
"21","100801102","99","0.7","0","2160","降低敵方全體{0}的物理防禦力","3","0.7","0","3","1","1","1","0","1","10","18","0","1","物理防禦力降低+{0}"
"0","100801103","99","100","0","2160","魅惑全體敵人","3","0","0","3","1","0","4","0","1","11","0","0","0","造成魅惑的成功Lv+1"
"2","100801201","1","1.2","0","2160","對敵方單體造成{0}的魔法傷害","3","15","1","3","1","0","15","0","1","1","0","0","0","魔法傷害+{0}"
"40","100801202","1","100","0","2160","使一名敵人陷入黑暗狀態","3","0","1","3","1","0","8","0","1","12","0","0","0","造成黑暗的成功Lv+1"
"0","100801203","1","100","0","2160","誘惑敵單體","3","0","1","3","1","0","8","0","1","11","0","0","0","造成魅惑的成功Lv+1"
"1","100820301","1","0","0","2160","回復我方單體{0}的TP","3","0","0","12","2","0","725","0","1","16","0","0","0",""
"10","100820302","0","8","0","2160","讓一名同伴的物理攻擊力提升{0}","3","-2080","0","1","2","0","1","0","1","10","12","0","1","物理攻擊力提升+{0}"
"4","100850101","0","15","0","0","提升自身{0}的魔法攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","魔法攻擊力提升+{0}"
"4","100851101","0","15","0","0","提升自身{0}的魔法攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","魔法攻擊力提升+{0}"
"3","100851102","0","0","0","0","提升自身{0}的物理防禦力","0","30","0","0","0","0","1","0","1","90","1","0","0",""
"2","100900101","99","1.44","0","2160","對敵方全體造成{0}的魔法傷害","3","18","0","3","1","0","18","0","1","1","0","0","0","魔法傷害+{0}"
"21","100900102","1","0","0","0","將自身的物理防禦力降為0","1","100","0","7","2","2","2","0","1","10","99","0","1",""
"41","100900103","1","0","0","0","將自身的魔法防禦力降為0","1","100","0","7","2","2","2","0","1","10","99","0","1",""
"2","100900201","1","1.2","0","-1","對敵方單體造成{0}的魔法傷害","1","20","0","3","1","0","20","0","1","1","0","0","0","魔法傷害+{0}"
"3","100900301","1","10","1","0","","3","0","0","7","2","0","100","0","1","17","0","0","0",""
"2","100900302","99","2","0","600","對範圍內的敵人造成{0}的魔法傷害","2","25","0","3","1","0","25","0","1","1","0","0","0","魔法傷害+{0}"
"0","100900303","1","0","0","0","","3","0","0","7","2","0","0","0","1","30","0","0","0",""
"1","100900304","1","0","0","0","","3","0","0","7","2","0","1.9","0","1","21","0","0","0",""
"30","100901101","1","50","0","0","提升自身{0}的魔法攻擊力","1","50","0","7","2","1","1","0","1","10","8","0","1","魔法攻擊力提升+{0}"
"2","100901102","99","6.5","0","2160","對敵方全體造成{0}的魔法傷害","3","81.25","0","3","1","0","81.25","0","1","1","0","0","0","魔法傷害+{0}"
"21","100901103","1","0","0","0","降低自身初期數值100％的物理防禦力","1","100","0","7","2","2","2","0","1","10","99","0","1",""
"41","100901104","1","0","0","0","降低自身初期數值100％的魔法防禦力","1","100","0","7","2","2","2","0","1","10","99","0","1",""
"2","100901201","1","1.6","0","-1","對敵方單體造成{0}的魔法傷害","1","20","0","3","1","0","20","0","1","1","0","0","0","魔法傷害+{0}"
"41","100901202","99","0.6","0","2160","降低敵方單體{0}的魔法防禦力","3","0.6","0","3","2","1","1","0","1","10","12","0","1","魔法防禦力降低+{0}"
"4","100950101","1","15","0","0","提升自身{0}的魔法攻擊力","0","15","0","0","0","0","1","0","1","90","1","0","0","魔法攻擊力提升+{0}"
"4","100951101","0","15","0","0","提升自身{0}的魔法攻擊力","0","240","0","0","0","0","1","0","1","90","1","0","0","魔法攻擊力提升+{0}"
"30","101000101","99","15","0","2160","提升我方全體{0}的魔法攻擊力","3","15","0","3","2","0","1","0","1","10","18","0","1","魔法攻擊力提升+{0}"
"20","101000102","99","0.6","0","2160","提升我方全體{0}的物理防禦力","3","0.6","0","3","2","0","1","0","1","10","18","0","1","物理防禦力提升+{0}"
"4","101000103","99","0","0","2160","使我方全體固定恢復{0}TP","3","0","0","3","2","0","50","0","1","16","18","0","1",""
"2","101000201","1","7.5","0","2160","回復我方單體{0}的HP","2","7.5","0","5","2","0","1","0","1","4","1","0","0","HP回復量+{0}"
"40","101000301","1","100","0","2160","使一名敵人陷入黑暗狀態","1","0","1","3","1","0","8","0","1","12","0","0","0","造成黑暗的成功Lv+1"
"30","101001101","99","30","0","2160","提升我方全體{0}的魔法攻擊力","3","30","0","3","2","0","1","0","1","10","18","0","1","魔法攻擊力提升+{0}"
"70","101001102","99","0","0","2160","使全體夥伴的魔法暴擊提升{0}","3","100","0","3","2","0","1","0","1","10","18","0","1",""
"120","101001103","99","0","0","2160","提升我方全體魔法攻擊暴擊時5％的傷害","3","5","0","3","2","0","1","0","1","10","18","0","1",""
"20","101001104","99","1.1","0","2160","提升我方全體{0}的物理防禦力","3","1.1","0","3","2","0","1","0","1","10","18","0","1","物理防禦力提升+{0}"
"4","101001105","99","0","0","2160","使我方全體固定恢復{0}TP","3","0","0","3","2","0","120","0","1","16","0","0","1",""
"1","101001106","99","0","10","2160","每秒恢復 10 TP","3","0","0","3","2","0","10","0","1","48","0","0","2",""
"2","101001201","1","8.5","0","2160","回復我方單體{0}的HP","3","8.5","0","5","2","0","1","0","1","4","1.2","0","0","HP回復量+{0}"
"20","101001202","1","1","0","2160","讓一名夥伴的物理防禦力提升{0}","3","1","0","5","2","1","1","0","1","10","12","0","1","物理防禦力提升+{0}"
"2","101001203","1","0.08","8.5","2160","每秒回復{0}的HP","2","0.5","0","5","2","0","0.5","0","1","48","0","0","1","回復量+{0}"
