b2d6b5d58084f75d47bc4062290eb6e003a174da2152073e9ad983a3b07499fc,a1b3728534c0343496716420936c38a8332bce2c0e2c1fded042697449b68c63,e159d5faca26629d6eabe330173fa136f7bcce6e19fcf5ff10444056ab2de831,36dee771f17b4d93c560e6101ba91ed19b066688ba7fa44f3c631213e038f554,f701443513e519baefb5cfa35acd1acf002d7b0391318058f38e5bec168e7d5d,d97c2ab90cf351b0e97c62601ce83ce544b8ef30dc67b5108dd50847ba25e3d9,df1ba7de71ef981256de6d9539a64d798c2bcfedd2a2a82c5922aad47da309af,32bf04d6e4b4399b2e27e568c3a60842b7b2b4537e45bb2799573292c346b1c5,6d0d5ffbab5df17b1c4aad3da0a170aa9c0ebf47468bde4e136d576df823281a,daa7ed83725948b809d2d47221f0c48a74b34ff698eb87daebdbdfd910ae1467,22fda9262b9b05fcf5673ace1559b953f156f1a3610218d60164fbacd90d863c,ba50e6020164e742b2e6bffcb3b11195ecccc15acf37cd4df6e1ed41afc389db
"vo_svd_0501","vo_svd","100700502","0","1007005","0","0","2","0","0","2","0"
"0","0","100700503","1","1007005","0","1.741","1","329","0","3","0"
"0","0","100700504","0","1007005","1","0","4","0","2.972","4","0"
"vo_svd_0502","vo_svd","100700505","0","1007005","0","0","2","0","0","5","0"
"0","0","100700506","2","1007005","0","1.539","1","320","0","6","0"
"0","0","100700507","0","1007005","1","0","4","0","1.258","7","0"
"0","0","100700508","2","1007005","0","0.762","1","320","0","8","320"
"0","0","100700509","0","1007005","1","0","4","0","2.583","9","0"
"vo_svd_0503","vo_svd","100700510","0","1007005","0","0","2","0","0","10","0"
"0","0","100700511","3","1007005","0","1.131","1","336","0","11","0"
"0","0","100700512","0","1007005","1","0","4","0","1.924","12","0"
"0","0","100700513","4","1007005","0","1.131","1","336","0","13","0"
"0","0","100700514","0","1007005","1","0","4","0","1.924","14","0"
"0","0","100700515","5","1007005","0","1.868","1","329","0","15","0"
"0","0","100700516","0","1007005","1","0","4","0","3.266","16","0"
"vo_svd_0504","vo_svd","100700517","0","1007005","0","0","2","0","0","17","0"
"0","0","100700518","6","1007005","0","1.269","1","275","0","18","0"
"0","0","100700519","0","1007005","1","0","4","0","2.653","19","0"
"vo_svd_0505","vo_svd","100700520","0","1007005","0","0","2","0","0","20","0"
"0","0","100700521","7","1007005","0","2.056","1","336","0","21","0"
"0","0","100700522","0","1007005","1","0","4","0","1.844","22","0"
"0","0","100700523","8","1007005","0","1.965","1","364","0","23","0"
"0","0","100700524","0","1007005","1","0","4","0","2.5","24","0"
"0","0","100700601","0","1007006","1","0","4","0","0.8","1","0"
"vo_svd_0601","vo_svd","100700602","0","1007006","0","0","2","0","0","2","0"
"0","0","100700603","1","1007006","0","1.875","1","336","0","3","0"
"0","0","100700604","0","1007006","1","0","4","0","3.353","4","0"
"vo_svd_0602","vo_svd","100700605","0","1007006","0","0","2","0","0","5","0"
"0","0","100700606","2","1007006","0","1.734","1","336","0","6","0"
"0","0","100700607","0","1007006","1","0","4","0","1.665","7","0"
"0","0","100700608","3","1007006","0","1.035","1","201","0","8","0"
"0","0","100700609","0","1007006","1","0","4","0","1.893","9","0"
"0","0","100700610","3","1007006","0","0.821","1","354","0","10","201"
"0","0","100700611","0","1007006","1","0","4","0","0.664","11","0"
"0","0","100700612","4","1007006","0","1.361","1","367","0","12","0"
"0","0","100700613","0","1007006","1","0","4","0","1.108","13","0"
"0","0","100700614","5","1007006","0","1.269","1","259","0","14","0"
"0","0","100700615","0","1007006","1","0","4","0","3.112","15","0"
"vo_svd_0603","vo_svd","100700616","0","1007006","0","0","2","0","0","16","0"
"0","0","100700617","6","1007006","0","2.056","1","336","0","17","0"
"0","0","100700618","0","1007006","1","0","4","0","1.844","18","0"
"0","0","100700619","7","1007006","0","1.965","1","364","0","19","0"
"0","0","100700620","0","1007006","1","0","4","0","2.5","20","0"
"0","0","100700701","0","1007007","1","0","4","0","0.8","1","0"
"vo_svd_0701","vo_svd","100700702","0","1007007","0","0","2","0","0","2","0"
"0","0","100700703","1","1007007","0","0.926","1","147","0","3","0"
"0","0","100700704","0","1007007","1","0","4","0","1.549","4","0"
"0","0","100700705","1","1007007","0","1.457","1","345","0","5","147"
"0","0","100700706","0","1007007","1","0","4","0","1.228","6","0"
"0","0","100700707","2","1007007","0","0.762","1","0","0","7","0"
"0","0","100700708","0","1007007","1","0","4","0","2.221","8","0"
"vo_svd_0702","vo_svd","100700709","0","1007007","0","0","2","0","0","9","0"
"0","0","100700710","2","1007007","0","0.969","1","120","0","10","0"
"0","0","100700711","0","1007007","1","0","4","0","0.747","11","0"
"0","0","100700712","2","1007007","0","1.785","1","336","0","12","120"
"0","0","100700713","0","1007007","1","0","4","0","1.932","13","0"
"0","0","100700714","3","1007007","0","0.385","1","35","0","14","0"
"0","0","100700715","0","1007007","1","0","4","0","0.5","15","0"
"0","0","100700716","3","1007007","0","1.436","1","336","0","16","35"
"0","0","100700717","0","1007007","1","0","4","0","2.164","17","0"
"0","0","100700718","4","1007007","0","1.928","1","356","0","18","0"
"0","0","100700719","0","1007007","1","0","4","0","1.673","19","0"
"0","0","100700720","5","1007007","0","1.269","1","259","0","20","0"
"0","0","100700721","0","1007007","1","0","4","0","3.156","21","0"
"vo_svd_0703","vo_svd","100700722","0","1007007","0","0","2","0","0","22","0"
"0","0","100700723","6","1007007","0","2.077","1","336","0","23","0"
"0","0","100700724","0","1007007","1","0","4","0","1.841","24","0"
"0","0","100700725","7","1007007","0","1.965","1","364","0","25","0"
"0","0","100700726","0","1007007","0","0","4","0","2.5","26","0"
"0","0","100700801","0","1007008","1","0","4","0","0.8","1","0"
"vo_svd_0801","vo_svd","100700802","0","1007008","0","0","2","0","0","2","0"
"0","0","100700803","1","1007008","0","2.027","1","356","0","3","0"
"0","0","100700804","0","1007008","1","0","4","0","3.309","4","0"
"vo_svd_0802","vo_svd","100700805","0","1007008","0","0","2","0","0","5","0"
"0","0","100700806","2","1007008","0","1.879","1","336","0","6","0"
"0","0","100700807","0","1007008","1","0","4","0","3.041","7","0"
"vo_svd_0803","vo_svd","100700808","0","1007008","0","0","2","0","0","8","0"
"0","0","100700809","3","1007008","0","1.848","1","336","0","9","0"
"0","0","100700810","0","1007008","1","0","4","0","1.437","10","0"
"0","0","100700811","4","1007008","0","0.796","1","168","0","11","0"
"","","100700812","0","1007008","1","0","4","0","2.532","12","0"
"vo_svd_0804","vo_svd","100700813","0","1007008","0","0","2","0","0","13","0"
"0","0","100700814","5","1007008","0","1.002","1","299","0","14","0"
"0","0","100700815","0","1007008","1","0","4","0","2.164","15","0"
"0","0","100700816","6","1007008","0","1.574","1","115","0","16","0"
"0","0","100700817","0","1007008","1","0","4","0","2.164","17","0"
"0","0","100700818","6","1007008","0","1.269","1","280","0","18","115"
"0","0","100700819","0","1007008","1","0","4","0","2.5","19","0"
"0","0","100700901","0","1007009","1","0","4","0","0.8","1","0"
"vo_svd_0901","vo_svd","100700902","0","1007009","0","0","2","0","0","2","0"
"0","0","100700903","1","1007009","0","2.285","1","356","0","3","0"
"0","0","100700904","0","1007009","1","0","4","0","2.031","4","0"
"0","0","100700905","2","1007009","0","1.362","1","215","0","5","0"
"0","0","100700906","0","1007009","1","0","4","0","2.479","6","0"
"vo_svd_0902","vo_svd","100700907","0","1007009","0","0","2","0","0","7","0"
"0","0","100700908","3","1007009","0","2.004","1","356","0","8","0"
"0","0","100700909","0","1007009","1","0","4","0","1.804","9","0"
"0","0","100700910","4","1007009","0","2.026","1","185","0","10","0"
"0","0","100700911","0","1007009","1","0","4","0","2.473","11","0"
"0","0","100700912","4","1007009","0","0.518","1","338","0","12","185"
"0","0","100700913","0","1007009","1","0","4","0","0.556","13","0"
"0","0","100700914","5","1007009","0","2.021","1","336","0","14","0"
"0","0","100700915","0","1007009","1","0","4","0","1.713","15","0"
"0","0","100700916","6","1007009","0","1.513","1","250","0","16","0"
"0","0","100700917","0","1007009","1","0","4","0","1.981","17","0"
"vo_svd_0903","vo_svd","100700918","0","1007009","0","0","2","0","0","18","0"
"0","0","100700919","7","1007009","0","1.672","1","220","0","19","0"
"0","0","100700920","0","1007009","1","0","4","0","1.924","20","0"
"0","0","100700921","7","1007009","0","0.796","1","338","0","21","220"
"","","100700922","0","1007009","1","0","4","0","1.832","22","0"
"vo_svd_0904","vo_svd","100700923","0","1007009","0","0","2","0","0","23","0"
"0","0","100700924","8","1007009","0","0.703","1","77","0","24","0"
"0","0","100700925","0","1007009","1","0","4","0","1.523","25","0"
"vo_svd_0905","vo_svd","100700926","0","1007009","0","0","2","0","0","26","0"
"0","0","100700927","8","1007009","0","1.198","1","218","0","27","77"
"0","0","100700928","0","1007009","1","0","4","0","1.764","28","0"
"vo_svd_0906","vo_svd","100700929","0","1007009","0","0","2","0","0","29","0"
"0","0","100700930","9","1007009","0","2.335","1","336","0","30","0"
"0","0","100700931","0","1007009","1","0","4","0","3.423","31","0"
"vo_svd_0907","vo_svd","100700932","0","1007009","0","0","2","0","0","32","0"
"0","0","100700933","10","1007009","0","0.682","1","61","0","33","0"
"0","0","100700934","0","1007009","1","0","4","0","1.357","34","0"
"0","0","100700935","10","1007009","0","2.106","1","336","0","35","61"
"0","0","100700936","0","1007009","1","0","4","0","1.43","36","0"
"0","0","100700937","11","1007009","0","2.283","1","336","0","37","0"
"0","0","100700938","0","1007009","1","0","4","0","2.989","38","0"
"vo_svd_0908","vo_svd","100700939","0","1007009","0","0","2","0","0","39","0"
"0","0","100700940","12","1007009","0","1.978","1","322","0","40","0"
"0","0","100700941","0","1007009","1","0","4","0","1","41","0"
"0","0","100701001","0","1007010","1","0","4","0","0.8","1","0"
"vo_svd_1001","vo_svd","100701002","0","1007010","0","0","2","0","0","2","0"
"0","0","100701003","1","1007010","0","2.705","1","356","0","3","0"
"0","0","100701004","0","1007010","1","0","4","0","3.154","4","0"
"0","0","100701005","2","1007010","0","0.918","1","49","0","5","0"
"0","0","100701006","0","1007010","1","0","4","0","1.231","6","0"
"0","0","100701007","2","1007010","0","1.672","1","356","0","7","49"
"0","0","100701008","0","1007010","1","0","4","0","3.307","8","0"
"vo_svd_1002","vo_svd","100701009","0","1007010","0","0","2","0","0","9","0"
"0","0","100701010","3","1007010","0","0.835","1","336","0","10","0"
"0","0","100701011","0","1007010","1","0","4","0","1.164","11","0"
"0","0","100701012","3","1007010","0","1.623","1","336","0","12","336"
"0","0","100701013","0","1007010","1","0","4","0","1.712","13","0"
"0","0","100701014","4","1007010","0","2.294","1","356","0","14","0"
"0","0","100701015","0","1007010","1","0","4","0","2.186","15","0"
"0","0","100701016","5","1007010","0","2.184","1","0","0","16","0"
"0","0","100701017","0","1007010","1","0","4","0","3.034","17","0"
"vo_svd_1003","vo_svd","100701018","0","1007010","0","0","2","0","0","18","0"
"0","0","100701019","5","1007010","0","2.704","1","356","0","19","0"
"0","0","100701020","0","1007010","1","0","4","0","2.522","20","0"
"0","0","100701021","6","1007010","0","1.005","1","162","0","21","0"
"0","0","100701022","0","1007010","1","0","4","0","2.617","22","0"
"vo_svd_1004","vo_svd","100701023","0","1007010","0","0","2","0","0","23","0"
"0","0","100701024","7","1007010","0","0.975","1","223","0","24","0"
"0","0","100701025","0","1007010","1","0","4","0","1.202","25","0"
"0","0","100701026","7","1007010","0","1.214","1","340","0","26","223"
"0","0","100701027","0","1007010","1","0","4","0","1.187","27","0"
"0","0","100701028","8","1007010","0","2.043","1","345","0","28","0"
"0","0","100701029","0","1007010","1","0","4","0","3.356","29","0"
"vo_svd_1005","vo_svd","100701030","0","1007010","0","0","2","0","0","30","0"
"0","0","100701031","9","1007010","0","1.862","1","155","0","31","0"
"0","0","100701032","0","1007010","1","0","4","0","2.285","32","0"
"vo_svd_1006","vo_svd","100701033","0","1007010","0","0","2","0","0","33","0"
"0","0","100701034","10","1007010","0","0.682","1","128","0","34","0"
"0","0","100701035","0","1007010","1","0","4","0","1.529","35","0"
"0","0","100701036","10","1007010","0","1.042","1","240","0","36","128"
"0","0","100701037","0","1007010","1","0","4","0","2.384","37","0"
"vo_svd_1007","vo_svd","100701038","0","1007010","0","0","2","0","0","38","0"
"0","0","100701039","11","1007010","0","1.106","1","181","0","39","0"
"0","0","100701040","0","1007010","1","0","4","0","1.891","40","0"
"0","0","100701041","11","1007010","0","1.322","1","290","0","41","181"
"0","0","100701042","0","1007010","1","0","4","0","1","42","0"
