26e975be049021f249df9ce6c98b68d7fb846a33a4d47fe176db828d1af928c0,61944e86aafa01eae106749344fcf108acd9c2a59ab5397c1b11c940fd22d75d,e7636b7b55755971bdb9891b715a8610920fb82276a281c5e2ef4b989fffc50a,b715597a67293ce58b09bc14d9a937a65b7890772ffcde67da4b9321ed890b37,433549dc28156201e9a37428f1ddb511f1aa56c6e4e25801cace426df4915b9e,0f1e117429d98b7fbeb17a1bd23e866b6a2e75c92dc95b9d603972f8078a0749,2080b5959c6a343a78fda5b334aa42f9c4444757ee4f783fa116070ca65f4570,693097c25575a3d0a160efcedae3b43f8d122c3b8991784e535c8e78f5be086d,a4d12acdb120488cd141ec60d4aaaab2531e15cf641dc0c4c564843f96063a7e,a980c7ef4d8fb6eaec7de51e3ba521fb8d5fee88265775edc61a52667bb22cdc,5ea2767b57a32f283fde5a7a086892ab9e7630491408be58e8f9accd2d28e998
"16","","0","21","16004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_001"
"16","0","1","11","16005","0","0","122611","1","4","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。"
"16","","","91","16006","","","0","","",""
"16","","","3","16007","0.2","","122611","","1","sjr_talk_idle"
"16","1","sjr_talk_arm_crossed_joy_loop","3","16008","0.2","0","122511","","0","sjr_talk_arm_crossed_normal_joy"
"16","","0","21","16009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_002"
"16","0","1","11","16010","0","0","122511","0.5","5","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！"
"16","","","91","16011","","","0","","",""
"16","","","3","16012","0.2","","122511","","1","sjr_talk_idle"
"17","-194","72","1","17001","1.65","1","1","sjr_talk_idle","100","122611"
"17","-194","-72","1","17002","1.65","0","1","sjr_talk_idle","100","122511"
"17","","","3","17003","0.2","","122511","","1","sjr_talk_worry_shy"
"17","","0","21","17004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_003"
"17","0","1","11","17005","0","0","122511","0.5","7","我說優衣，\n要穿著泳裝跑步\n是不是有點……"
"17","","","91","17006","","","0","","",""
"17","","","3","17007","0.2","","122511","","1","sjr_talk_idle"
"17","","","3","17008","0.2","","122611","","1","sjr_talk_wish_shy"
"17","","0","21","17009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_004"
"17","0","1","11","17010","0","0","122611","0.5","5","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！"
"17","","","91","17011","","","0","","",""
"17","","","3","17012","0.2","","122611","","1","sjr_talk_idle"
"17","1","sjr_talk_thinking_light","3","17013","0.2","0","122511","","0","sjr_talk_thinking_blink_light"
"17","","0","21","17014","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_005"
"17","0","1","11","17015","0","0","122511","0.5","6","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！"
"17","","","91","17016","","","0","","",""
"17","","","3","17017","0.2","","122511","","1","sjr_talk_idle"
"18","-194","72","1","18001","1.65","1","1","sjr_talk_idle","100","122611"
"18","-194","-72","1","18002","1.65","0","1","sjr_talk_idle","100","122511"
"18","","","3","18003","0.2","","122611","","1","sjr_talk_wish_surprise"
"18","","0","21","18004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_006"
"18","0","1","11","18005","0","0","122611","0.5","6","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……"
"18","","","91","18006","","","0","","",""
"18","","","3","18007","0.2","","122611","","1","sjr_talk_idle"
"18","1","sjr_talk_arm_crossed_normal2_loop","3","18008","0.2","0","122511","","0","sjr_talk_arm_crossed_normal2"
"18","","0","21","18009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_007"
"18","0","1","11","18010","0","0","122511","0.5","6","不能在意喔！\n這種時候坦率地\n享受是最好的！"
"18","","","91","18011","","","0","","",""
"18","","","3","18012","0.2","","122511","","1","sjr_talk_idle"
"19","-194","72","1","19001","1.65","1","1","sjr_talk_idle","100","122611"
"19","-194","-72","1","19002","1.65","0","1","sjr_talk_idle","100","122411"
"19","1","sjr_talk_idle_joy","3","19003","0.2","0","122611","","0","sjr_talk_wave_hand"
"19","","0","21","19004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_008"
"19","0","1","11","19005","0","0","122611","0.5","8","日和\n覺得享受嗎？"
"19","","","91","19006","","","0","","",""
"19","","","3","19007","0.2","","122611","","1","sjr_talk_idle"
"19","1","sjr_talk_swing_joy2","3","19008","0.2","0","122411","","0","sjr_talk_fun"
"19","","0","21","19009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_009"
"19","0","1","11","19010","0","0","122411","0.5","7","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！"
"19","","","91","19011","","","0","","",""
"19","","","3","19012","0.2","","122411","","1","sjr_talk_idle"
"19","","","3","19013","0.2","","122611","","1","sjr_talk_laugh"
"19","","0","21","19014","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_010"
"19","0","1","11","19015","0","0","122611","0.5","7","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！"
"19","","","91","19016","","","0","","",""
"19","","","3","19017","0.2","","122611","","1","sjr_talk_idle"
"20","-194","72","1","20001","1.65","1","1","sjr_talk_idle","100","122611"
"20","-194","-72","1","20002","1.65","0","1","sjr_talk_idle","100","122411"
"20","1","sjr_talk_guts2_loop","3","20003","0.2","0","122411","","0","sjr_talk_guts2"
"20","","0","21","20004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_011"
"20","0","1","11","20005","0","0","122411","0.5","6","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──"
"20","","","91","20006","","","0","","",""
"20","","","3","20007","0.2","","122411","","1","sjr_talk_idle"
"20","1","sjr_talk_mouth_hidden_guru","3","20008","0.2","0","122611","","0","sjr_talk_mouth_hidden_dere_guru"
"20","","0","21","20009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_012"
"20","0","1","11","20010","0","0","122611","0.5","5","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……"
"20","","","91","20011","","","0","","",""
"20","1","sjr_talk_shock_loop","3","20012","0.2","0","122411","","0","sjr_talk_shock"
"20","","0","21","20013","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_013"
"20","0","1","11","20014","0","0","122411","0.5","15","哇──！？\n優衣！？\n妳眼睛在轉喔──！？"
"20","","","91","20015","","","0","","",""
"20","","","3","20016","0.2","","122611","","1","sjr_talk_idle"
"20","","","3","20017","0.2","","122411","","1","sjr_talk_idle"
"21","-194","72","1","21001","1.65","1","1","sjr_talk_idle","100","122611"
"21","-194","-72","1","21002","1.65","0","1","sjr_talk_idle","100","122411"
"21","","","3","21003","0.2","","122611","","1","sjr_talk_worry_sad"
"21","","0","21","21004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_014"
"21","0","1","11","21005","0","0","122611","0.5","6","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？"
"21","","","91","21006","","","0","","",""
"21","","","3","21007","0.2","","122611","","1","sjr_talk_idle"
"21","0","sjr_talk_guts2_joy_loop","3","21008","0.2","0","122411","","0","sjr_talk_laugh_guts"
"21","","0","21","21009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_015"
"21","0","1","11","21010","0","0","122411","0.5","5","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪"
"21","","","91","21011","","","0","","",""
"21","","","3","21012","0.2","","122411","","1","sjr_talk_idle"
"22","-194","72","1","22001","1.65","1","1","sjr_talk_idle","100","122511"
"22","-194","-72","1","22002","1.65","0","1","sjr_talk_idle","100","122411"
"22","1","sjr_talk_arm_crossed_normal_loop","3","22003","0.2","0","122511","","0","sjr_talk_arm_crossed_normal"
"22","","0","21","22004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_016"
"22","0","1","11","22005","0","0","122511","0.5","5","就算對手是日和，\n我也沒打算輸喔。"
"22","","","91","22006","","","0","","",""
"22","","","3","22007","0.2","","122511","","1","sjr_talk_idle"
"22","1","sjr_talk_guts_loop","3","22008","0.2","0","122411","","0","sjr_talk_guts"
"22","","0","21","22009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_017"
"22","0","1","11","22010","0","0","122411","0.5","6","對手是怜的話，\n我也會\n火力全開喔！"
"22","","","91","22011","","","0","","",""
"22","","","3","22012","0.2","","122411","","1","sjr_talk_idle"
"23","-194","72","1","23001","1.65","1","1","sjr_talk_idle","100","122511"
"23","-194","-72","1","23002","1.65","0","1","sjr_talk_idle","100","122411"
"23","1","sjr_talk_eieio_loop","3","23003","0.2","0","122411","","0","sjr_talk_fun_eieio"
"23","","0","21","23004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_018"
"23","0","1","11","23005","0","0","122411","0.5","5","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！"
"23","","","91","23006","","","0","","",""
"23","","","3","23007","0.2","","122411","","1","sjr_talk_idle"
"23","","","3","23008","0.2","","122511","","1","sjr_talk_mouth_hidden_sad"
"23","","0","21","23009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_019"
"23","0","1","11","23010","0","0","122511","0.5","6","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？"
"23","","","91","23011","","","0","","",""
"23","","","3","23012","0.2","","122511","","1","sjr_talk_idle"
"23","1","sjr_talk_arm_opened_guru","3","23013","0.2","0","122411","","0","sjr_talk_arm_opened_joy_guru"
"23","","0","21","23014","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_020"
"23","0","1","11","23015","0","0","122411","0.5","4","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？"
"23","","","91","23016","","","0","","",""
"23","","","3","23017","0.2","","122411","","1","sjr_talk_idle"
"24","-194","72","1","24001","1.65","1","1","sjr_talk_idle","100","122511"
"24","-194","-72","1","24002","1.65","0","1","sjr_talk_idle","100","122411"
"24","","","3","24003","0.2","","122411","","1","sjr_talk_mouth_hidden_sad"
"24","","0","21","24004","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_021"
"24","0","1","11","24005","0","0","122411","1","5","優衣不要緊吧～？\n希望她別跌倒\n就好了……"
"24","","","91","24006","","","0","","",""
"24","","","3","24007","0.2","","122411","","1","sjr_talk_idle"
"24","0","sjr_talk_arm_crossed_joy_loop","3","24008","0.2","0","122511","","0","sjr_talk_arm_crossed_normal_joy"
"24","","0","21","24009","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_022"
"24","0","1","11","24010","0","0","122511","0.5","4","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。"
"24","","","91","24011","","","0","","",""
"24","","","3","24012","0.2","","122511","","1","sjr_talk_idle"
"24","","","3","24013","0.2","","122411","","1","sjr_talk_laugh"
"24","","0","21","24014","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_2_023"
"24","0","1","11","24015","0","0","122411","0.5","6","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪"
"24","","","91","24016","","","0","","",""
"24","","","3","24017","0.2","","122411","","1","sjr_talk_idle"
