ab504e830f5afb94768fc2e31fc2e985bf503a77867386c5901fbc18f861c361,ea1344180d95548d133691fc0b730470298e30769cd4fccef45496fc9f55ee07,5634153e76f8b7334f12a8847a858fcaeb380402ef533911f164dd5b32636d58,4813428564b68d48f3a342a2289a39b402ddfefa74cf21c6c7a6fecf89cdda86,d8f86e05d8d6ab7d39a223662915b18dc7479803968998e735b599daf9606201,ece501e058d21fc9aceb99ddfd606bb96856328c48f1899a785d0ea94a5e9117,103a5e5663f1b306ea811a6032008c06a0b1d37cae7f3e4d0836ab6b7f220314,20bd9170c50445831a6927c7e26c8d82be2af5104a8815a783d7ff35a22ea1b5,8996e7b975b1188f578792629b54f685800862411df52b50ead45fa941e13d87,52b270734a526cdccd29b5fba424eca12008fd61b61dfe5d6564749ae0e36fdf,020ef58710cd3e354c9b70275f915c0f07f4cd6aaf2babd8db8128bc45b51057,d982c3cf11cc3e36a06f3cde8a4ee84cd28f2d88c29b0c1c056fa3256c2687af,18a645cb1468c28d6d92d03bb1bf15b524a31806fb53db241c261759f8333f21,5715acb4be4f0ad895cb0cd229f1e8e298af0dfde0fee294a39ab47c8aa204ba
"240","3","211","1","31","5","1208","1","1","-1","1","1","1","-1"
"270","3","241","1","31","5","1209","1","1","-1","1","1","1","-1"
"300","3","271","1","31","5","1210","1","1","-1","1","1","1","-1"
"-1","3","301","1","31","5","1211","1","1","-1","1","1","1","-1"
"30","4","4","1","7","5","1301","1","1","-1","1","1","1","30"
"60","4","31","1","10","5","1302","1","1","-1","1","1","1","60"
"90","4","61","1","13","5","1303","1","1","-1","1","1","1","90"
"120","4","91","1","16","5","1304","1","1","-1","1","1","1","120"
"150","4","121","1","19","5","1305","1","1","-1","1","1","1","150"
"180","4","151","1","22","5","1306","1","1","-1","1","1","1","180"
"210","4","181","1","25","5","1307","1","1","-1","1","1","1","210"
"240","4","211","1","28","5","1308","1","1","-1","1","1","1","240"
"270","4","241","1","28","5","1309","1","1","-1","1","1","1","270"
"300","4","271","1","28","5","1310","1","1","-1","1","1","1","300"
"-1","4","301","1","28","5","1311","1","1","-1","1","1","1","310"
"30","5","4","1","7","5","1401","1","1","-1","1","1","1","-1"
"60","5","31","1","10","5","1402","1","1","-1","1","1","1","-1"
"90","5","61","1","13","5","1403","1","1","-1","1","1","1","-1"
"120","5","91","1","16","5","1404","1","1","-1","1","1","1","-1"
"150","5","121","1","19","5","1405","1","1","-1","1","1","1","-1"
"180","5","151","1","22","5","1406","1","1","-1","1","1","1","-1"
"210","5","181","1","25","5","1407","1","1","-1","1","1","1","-1"
"240","5","211","1","28","5","1408","1","1","-1","1","1","1","-1"
"270","5","241","1","28","5","1409","1","1","-1","1","1","1","-1"
"300","5","271","1","28","5","1410","1","1","-1","1","1","1","-1"
"-1","5","301","1","28","5","1411","1","1","-1","1","1","1","-1"
"30","6","4","1","7","3","1501","1","1","-1","1","1","1","-1"
"60","6","31","1","10","3","1502","1","1","-1","1","1","1","-1"
"90","6","61","1","13","3","1503","1","1","-1","1","1","1","-1"
"120","6","91","1","16","3","1504","1","1","-1","1","1","1","-1"
"150","6","121","1","19","3","1505","1","1","-1","1","1","1","-1"
"180","6","151","1","22","3","1506","1","1","-1","1","1","1","-1"
"210","6","181","1","22","3","1507","1","1","-1","1","1","1","-1"
"240","6","211","1","22","3","1508","1","1","-1","1","1","1","-1"
"270","6","241","1","22","3","1509","1","1","-1","1","1","1","-1"
"-1","6","271","1","22","3","1510","1","1","-1","1","1","1","-1"
"30","7","4","1","7","6","1601","1","1","5","1","1","1","30"
"60","7","31","1","11","6","1602","1","1","5","1","1","1","60"
"90","7","61","1","15","6","1603","1","1","5","1","1","1","90"
"120","7","91","1","19","6","1604","1","1","5","1","1","1","120"
"150","7","121","1","23","6","1605","1","1","5","1","1","1","150"
"180","7","151","1","27","6","1606","1","1","5","1","1","1","180"
"210","7","181","1","29","6","1607","1","1","5","1","1","1","210"
"240","7","211","1","31","6","1608","1","1","5","1","1","1","240"
"270","7","241","1","31","6","1609","1","1","5","1","1","1","270"
"300","7","271","1","31","6","1610","1","1","5","1","1","1","300"
"-1","7","301","1","31","6","1611","1","1","5","1","1","1","310"
"30","8","4","1","7","5","1701","1","1","5","1","1","1","30"
"60","8","31","1","11","5","1702","1","1","5","1","1","1","60"
"90","8","61","1","15","5","1703","1","1","5","1","1","1","90"
"120","8","91","1","19","5","1704","1","1","5","1","1","1","120"
"150","8","121","1","23","5","1705","1","1","5","1","1","1","150"
"180","8","151","1","27","5","1706","1","1","5","1","1","1","180"
"210","8","181","1","29","5","1707","1","1","5","1","1","1","210"
"240","8","211","1","31","5","1708","1","1","5","1","1","1","240"
"270","8","241","1","31","5","1709","1","1","5","1","1","1","270"
"300","8","271","1","31","5","1710","1","1","5","1","1","1","300"
"-1","8","301","1","31","5","1711","1","1","5","1","1","1","310"
