a6c60702e3b1197b31861754f77478893c145a0ff8e1dd463a5d7ec51103f3c9,6dd56f8d737a60ccc3e326c5a4bc76727b56f33165d8975a1af261c1a0e77c32,69d1f5a5cf1818e9a04c2da4206194eae28f259c22625b92f4d9c810abb344db,91b8be4d301d9b6d03f8fd44efec36830256c616eab024597b4f4a678c978d9e,fe7ed13293b8c9b5305f4df0f109c44f9ebf4684bdb062452f690d3facc0feb2,61ef1cea9c6595edbef0d534c22eb557450ff1e1144df6c1145eada1319477c0,d9eca8fe3bc7a0977910e6c20ddc9347b0f9e6ce0aeb24f1095be970ab4b1a87,43093af8ec3a1105181e936af85193fec0ec622bc51d7fab4081fd0200c0f8bc,a1b8dcf9329fa7ee3120d4a5f065e963b9377163a32cdbe9deb2044ae62aa599,04b245686f43e53819b5f33f312f568947c0255253c8186ba3fa0878f10c240f,296892e3b16c08cb40c4c66c87895cf52ec20eb694f4bb92b8642c68d3c5666b
"11010035","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_02","","110931","0.2","101"
"11010036","","","","93","","","","0.4","","101"
"11010037","","","","32","","0","","3","","101"
"11010038","","","","32","","1","","4","","101"
"11010039","","","","91","","","","11010026","","101"
"11010040","","1","","3","","nyx_idle_bitter","","103431","0.2","101"
"11010041","","1","","3","","nyx_talk_sad","","104831","0.2","101"
"11010042","","10","","11","","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","","104831","","101"
"11010043","","","","91","","","","0","","101"
"11010044","","","","4","","1","","110931","","101"
"11010045","","","","4","","1","","2","","101"
"11010046","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_02","","2","0.2","101"
"11010047","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_02","","110931","0.2","101"
"11010048","","1","","3","","nyx_idle_sad","","104831","0.2","101"
"11010049","","1","","3","","nyx_talk_sad","","104631","0.2","101"
"11010050","","10","","11","","聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……","","104631","","101"
"11010051","","","","91","","","","0","","101"
"11010052","","1","","3","","nyx_idle_sad","","104631","0.2","101"
"11010053","","1","","3","","nyx_talk_sad","","103431","0.2","101"
"11010054","","10","","11","","該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……","","103431","","101"
"11010055","","","","91","","","","0","","101"
"11010056","","1","","3","","nyx_idle_sad","","103431","0.2","101"
"11010057","","1","","3","","nyx_talk_joy2","","103231","0.2","101"
"11010058","","10","","11","","還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！","","103231","","101"
"11010059","","","","91","","","","0","","101"
"11010060","","","","93","","","","0.4","","101"
"11010061","","","","4","","0","","110931","","101"
"11010062","","","","4","","0","","2","","101"
"11010063","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_01","","110931","0.2","101"
"11010064","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_01","","2","0.2","101"
"11010065","","1","","12","","1","","104831","","101"
"11010066","","0","nyx_idle_sad","3","1","nyx_talk_sad","0.2","104831","0.2","101"
"11010067","","","","93","","","","0.4","","101"
"11010068","","","","32","","0","","3","","101"
"11010069","","","","32","","1","","3","","101"
"11010070","","","","93","","","","1.6","","101"
"11010071","","1","","12","","15","","104631","","101"
"11010072","","0","nyx_idle_sad","3","1","nyx_talk_sad","0.2","104631","0.2","101"
"11010073","","","","93","","","","3","","101"
"11010074","","","","4","","1","","110931","","101"
"11010075","","","","4","","1","","2","","101"
"11010076","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_02","","110931","0.2","101"
"11010077","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_02","","2","0.2","101"
"11010078","","1","","12","","10","","103231","","101"
"11010079","","0","nyx_idle_joy1","3","1","nyx_talk_joy1","0.2","103231","0.2","101"
"11010080","","","","93","","","","2","","101"
"11010081","","1","","12","","2","","103431","","101"
"11010082","","0","nyx_idle_sad","3","1","nyx_talk_sad","0.2","103431","0.2","101"
"11010083","","","","93","","","","2.5","","101"
"11010084","","","","101","","","","11010060","","101"
"11020001","nyx_102_chloe_01","110","-362","1","-209.3","110831","1","1","1.35","102"
"11020002","nyx_102_mifuyu_01","110","90","1","-182.5","104831","0","1","1.35","102"
"11020003","nyx_idle_normal","110","220","1","-182.5","104631","0","1","1.35","102"
"11020004","nyx_talk_normal","110","336","1","-182.5","103231","1","1","1.35","102"
"11020005","nyx_idle_normal","110","457","1","-182.5","103431","1","1","1.35","102"
"11020006","","0","0","31","1","1","","1","1","102"
"11020007","NoItem","120","-362","5","-209.3","2","0","2","1.35","102"
"11020008","","","","25","","bgm_M347","","bgm_M347","","102"
"11020009","","","","93","","","","2","","102"
"11020010","","1","","3","","nyx_102_chloe_02","","110831","0.2","102"
"11020011","","10","","11","","再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？","","110831","","102"
"11020012","","","","91","","1","","0","","102"
"11020013","","1","","3","","nyx_idle_sad","","110831","0.2","102"
"11020014","","10","","11","","那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……","","110831","","102"
"11020015","","","","91","","1","","0","","102"
"11020016","","0","nyx_102_chloe_02","3","1","cmn_pose02_def_N","0.2","110831","0.2","102"
"11020017","","10","","11","","不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？","","110831","","102"
"11020018","","","","93","","","","3","","102"
"11020019","","1","","3","","nyx_idle_normal","","103231","0.2","102"
"11020020","","1","","3","","nyx_talk_sad","","104631","0.2","102"
"11020021","","","","4","","0","","110831","","102"
"11020022","","","","91","","","","11020016","","102"
"11020023","","","","93","","","","1","","102"
"11020024","","1","","3","","nyx_102_chloe_01","","110831","0.2","102"
"11020025","","10","","11","","像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧","","110831","","102"
"11020026","","","","93","","","","2.5","","102"
"11020027","","0","nyx_102_chloe_03_loop","3","1","nyx_102_chloe_03","","110831","0.2","102"
"11020028","","0","nyx_102_chloe_03_loop","3","1","nyx_102_chloe_03","","2","0.2","102"
"11020029","","","","91","","","","11020025","","102"
"11020030","","","","93","","","","1","","102"
"11020031","","10","","11","","切嚕……切嚕……","","104831","","102"
"11020032","","","","93","","","","1.5","","102"
"11020033","","0","","4","","1","","104631","","102"
"11020034","","0","nyx_idle_surprise2","3","1","cmn_shock_def_N","0.2","104631","0.2","102"
"11020035","","0","nyx_idle_surprise2","3","1","cmn_shock_def_N","0.2","103431","0.2","102"
"11020036","","0","nyx_idle_surprise1","3","1","nyx_surprise","0.2","103231","0.2","102"
"11020037","","","","93","","","","1.5","","102"
"11020038","","1","","3","1","nyx_talk_surprise2","0.2","104631","0.2","102"
"11020039","","1","","3","","nyx_102_yukari_01","","103431","0.2","102"
"11020040","","10","","11","","美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！","","103431","","102"
"11020041","","","","91","","1","","0","","102"
"11020042","","0","nyx_102_tamaki_01_loop","3","1","cmn_shock_def_N","0.2","103431","0.2","102"
"11020043","","0","","4","","0","","103231","","102"
"11020044","","0","","4","","0","","104631","","102"
"11020045","","","","91","","","","0","","102"
"11020046","","10","","11","","不行了喵……\n美冬和優花梨都\n為時已晚切……喵！","","104631","","102"
"11020047","","","","93","","","","2.6","","102"
"11020048","","0","nyx_102_tamaki_01_loop","3","1","nyx_102_tamaki_01","0.2","104631","0.2","102"
"11020049","","","","93","","","","0.1","","102"
"11020050","","0","","4","","1","","103231","","102"
"11020051","","","","93","","","","1.5","","102"
"11020052","","10","","11","","實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……","","103231","","102"
"11020053","","","","91","","","","0","","102"
"11020054","","","","93","","","","1","","102"
"11020055","","0","nyx_102_chloe_03_loop","3","1","nyx_102_chloe_04","","110831","0.2","102"
"11020056","","0","nyx_102_chloe_03_loop","3","1","nyx_102_chloe_04","","2","0.2","102"
"11020057","","","","93","","","","1.5","","102"
"11020058","","1","","12","","12","","110831","","102"
"11020059","","","","93","","","","1","","102"
"11020060","","1","","12","","1","","103431","","102"
"11020061","","0","nyx_cmn_03","3","1","nyx_cmn_01","0.2","103431","0.2","102"
"11020062","","1","","3","1","nyx_idle_worry","0.2","104631","0.2","102"
"11020063","","","","93","","","","2","","102"
"11020064","","1","","12","","12","","104831","","102"
"11020065","","","","93","","","","2","","102"
"11020066","","1","","12","","10","","103231","","102"
"11020067","","0","nyx_idle_normal","3","1","nyx_talk_normal","0.2","103231","0.2","102"
"11020068","","","","93","","","","2","","102"
"11020069","","1","","12","","2","","104631","","102"
"11020070","","0","nyx_idle_worry","3","1","nyx_talk_sad","0.2","104631","0.2","102"
"11020071","","","","93","","","","4","","102"
"11020072","","","","101","","1","","11020055","","102"
"11030001","nyx_103_yuni_01","110","-421","1","-209.3","111031","0","1","1.35","103"
"11030002","nyx_idle_normal","110","121.8","1","-182.5","104831","0","1","1.35","103"
"11030003","NoItem","120","121.8","5","-182.5","2","0","2","1.35","103"
"11030004","nyx_idle_normal","110","227.7","1","-182.5","104631","0","1","1.35","103"
"11030005","NoItem","120","227.7","5","-182.5","2","0","2","1.35","103"
"11030006","nyx_idle_normal","110","340.3","1","-182.5","103231","1","1","1.35","103"
"11030007","nyx_cmn_03","110","449.6","1","-182.5","103431","1","1","1.35","103"
"11030008","NoItem","120","449.6","5","-182.5","2","1","2","1.35","103"
"11030009","","0","0","31","1","1","","1","1","103"
"11030010","","","","25","","bgm_M347","","bgm_M347","","103"
"11030011","","","","93","","","","2","","103"
"11030012","","1","","3","","nyx_talk_sad","","103431","0.2","103"
"11030013","","10","","11","","簡報是\n一件這麼\n累人的事情嗎…？","","103431","","103"
"11030014","","","","91","","","","0","","103"
"11030015","","1","","3","","nyx_cmn_03","","103431","0.2","103"
"11030016","","1","","3","","nyx_cmn_05","","104831","0.2","103"
"11030017","","10","","11","","接下來一定沒問題的\n一定會是認真的學生\n……我說的沒錯吧？","","104831","","103"
"11030018","","","","91","","","","0","","103"
"11030019","","1","","3","","nyx_cmn_04","","104831","0.2","103"
"11030020","","1","","3","","nyx_talk_normal","","103231","0.2","103"
"11030021","","10","","11","","哎呀？\n下一位好像也是\n好朋友社的成員呢？","","103231","","103"
"11030022","","","","91","","","","0","","103"
"11030023","","1","","3","","nyx_idle_normal","","103231","0.2","103"
"11030024","","1","","3","","nyx_talk_sad","","104631","0.2","103"
"11030025","","10","","11","","……要是鬆懈下來\n就會被幹掉喵\n做好覺悟吧喵","","104631","","103"
"11030026","","","","93","","","","2.6","","103"
"11030027","","1","","3","","nyx_102_chloe_01","","111031","0.2","103"
"11030028","","","","91","","","","11030025","","103"
"11030029","","0","nyx_idle_sad","3","1","nyx_cmn_02","0.3","104631","0.2","103"
"11030030","","0","","3","","nyx_cmn_02","","2","0.2","103"
"11030031","","0","nyx_cmn_03","3","1","nyx_cmn_02","0.3","103431","0.2","103"
"11030032","","0","","3","","nyx_cmn_02","","2","0.2","103"
"11030033","","0","nyx_idle_normal","3","1","nyx_cmn_02","0.2","104831","0.2","103"
"11030034","","0","","3","","nyx_cmn_02","","2","0.2","103"
"11030035","","","","93","","","","1.5","","103"
"11030036","","1","","3","","nyx_303_yuni_01","","111031","0.2","103"
"11030037","","10","","11","","嗯，接下來是我呢\n這就是所謂的\n壓軸登場吧","","111031","","103"
"11030038","","","","93","","","","2.8","","103"
"11030039","","1","","12","","13","","104831","","103"
"11030040","","1","","3","","nyx_talk_normal","","104831","0.2","103"
"11030041","","","","91","","","","11030037","","103"
"11030042","","10","","11","","琪愛兒、克蘿依\n妳們的遺憾就由我來\n替妳們雪恥吧","","111031","","103"
"11030043","","","","91","","","","0","","103"
"11030044","","1","","3","","nyx_103_yuni_02","","111031","0.2","103"
"11030045","","10","","11","","是時候完成我身為\n高年級生的職責了","","111031","","103"
"11030046","","","","93","","","","1.5","","103"
"11030047","","1","","12","","17","","103231","","103"
"11030048","","1","","3","","nyx_idle_normal","","104831","0.2","103"
"11030049","","1","","3","","nyx_cmn_05","","103231","0.2","103"
"11030050","","","","91","","","","11030045","","103"
"11030051","","0","nyx_103_yuni_04","3","0","nyx_103_yuni_03","0.6","111031","0.3","103"
"11030052","","10","","11","","賭上優妮們\n之名……！","","111031","","103"
"11030053","","","","91","","","","0","","103"
"11030054","","1","","3","","nyx_idle_normal","","103231","0.2","103"
"11030055","","","","93","","","","0.6","","103"
"11030056","","1","","12","","12","","111031","0.2","103"
"11030057","","0","nyx_idle_normal","3","1","cmn_pose02_def_N","0.2","111031","0.2","103"
"11030058","","","","93","","","","1.5","","103"
"11030059","","1","","12","","15","","104631","","103"
"11030060","","0","nyx_idle_worry","3","1","nyx_talk_sad","0.2","104631","0.2","103"
"11030061","","","","93","","","","2","","103"
"11030062","","1","","12","","10","","103231","","103"
"11030063","","0","nyx_idle_normal","3","1","nyx_talk_joy1","0.2","103231","0.2","103"
"11030064","","0","nyx_idle_normal","3","1","nyx_103_yuni_01","0.2","111031","0.2","103"
"11030065","","","","93","","","","2.5","","103"
"11030066","","1","","12","","1","","103431","","103"
"11030067","","0","nyx_cmn_03","3","1","nyx_cmn_01","0.3","103431","0.2","103"
"11030068","","","","93","","","","2","","103"
"11030069","","1","","12","","12","","104831","","103"
"11030070","","1","","3","","nyx_talk_bitter","","104831","0.2","103"
"11030071","","","","93","","","","2","","103"
"11030072","","1","","3","","nyx_idle_bitter","","104831","0.2","103"
"11030073","","","","93","","","","1","","103"
"11030074","","","","101","","","","11030056","","103"
"12010001","nyx_201_akino_01","110","-235.4","1","-294.7","103231","1","1","1.2","201"
"12010002","nyx_201_akino_01","120","-235.4","5","-294.7","2","1","2","1.2","201"
"12010003","nyx_idle_normal","110","-357","1","-281.6","104631","0","1","1.2","201"
"12010004","nyx_idle_normal","110","310.5","1","-281.6","103431","1","1","1.2","201"
"12010005","nyx_idle_normal","110","-453.3","1","-281.6","104831","0","1","1.2","201"
"12010006","","0","0","31","1","1","","2","1","201"
"12010007","","0","0","31","1","2","","11","1","201"
"12010008","","","","25","","bgm_M347","","bgm_M347","","201"
"12010009","","","","93","","","","2","","201"
"12010010","","10","","11","","珠希，\n這零件就麻煩妳\n進行組裝囉！","","103231","","201"
"12010011","","","","91","","","","0","","201"
"12010012","","0","nyx_idle_surprise1","3","1","nyx_surprise","0.3","104631","0.3","201"
"12010013","","10","","11","","我、我知道了喵！\n……設計圖上有\n這東西嗎喵……？","","104631","","201"
"12010014","","","","91","","","","0","","201"
"12010015","","0","","4","","0","","103231","","201"
"12010016","","","","4","","0","","2","","201"
"12010017","","1","","3","","nyx_idle_bitter2","0.3","104631","0.3","201"
"12010018","","1","","3","","nyx_201_akino_02","0.3","103231","0.3","201"
"12010019","","1","","3","","nyx_201_akino_02","0.3","2","0.3","201"
"12010020","","-294.7","2.2","2","","199","","103231","","201"
"12010021","","-294.7","2.2","2","","199","","2","","201"
"12010022","","","","93","","","","2.2","","201"
"12010023","","1","","3","","nyx_201_akino_01","0.3","103231","0.3","201"
"12010024","","1","","3","","nyx_201_akino_01","0.3","2","0.3","201"
"12010025","","10","","11","","優花梨！\n麻煩妳立刻去\n訂購這款迴路！","","103231","","201"
"12010026","","","","91","","","","0","","201"
"12010027","","1","","3","","nyx_cmn_01","0.3","103431","0.3","201"
"12010028","","10","","11","","咦？　咦？\n等等啊秋乃\n這要拿來做什麼！？","","103431","","201"
"12010029","","","","91","","","","0","","201"
"12010030","","1","","3","","nyx_idle_bitter2","0.3","103431","0.3","201"
"12010031","","","","4","","1","","103231","","201"
"12010032","","","","4","","1","","2","","201"
"12010033","","1","","3","","nyx_201_akino_02","0.3","103231","0.3","201"
"12010034","","1","","3","","nyx_201_akino_02","0.3","2","0.3","201"
"12010035","","-294.7","2.2","2","","-235.4","","103231","","201"
"12010036","","-294.7","2.2","2","","-235.4","","2","","201"
"12010037","","","","93","","","","2.2","","201"
"12010038","","1","","3","","nyx_201_akino_01","0.3","103231","0.3","201"
"12010039","","1","","3","","nyx_201_akino_01","0.3","2","0.3","201"
"12010040","","10","","11","","美冬，\n麻煩妳仔細地\n檢查動作囉！","","103231","","201"
"12010041","","","","91","","","","0","","201"
"12010042","","0","nyx_idle_surprise1","3","1","nyx_surprise","0.3","104831","0.3","201"
"12010043","","10","","11","","好、好的！\n……秋乃整個人都\n熱血起來了呢…","","104831","0","201"
"12010044","","","","91","","","","0","","201"
"12010045","","1","","3","","nyx_talk_sad","0.3","104831","0.3","201"
"12010046","","10","","11","","但不知道為什麼\n我好不安啊……\n只有滿滿的不安……","","104831","0","201"
"12010047","","","","91","","","","0","","201"
"12010048","","1","","3","","nyx_idle_bitter2","0.3","104831","0.3","201"
"12010049","","","","91","","","","0","","201"
"12010050","","","","93","","","","0.4","","201"
"12010051","","0","","4","","0","","103231","","201"
"12010052","","","","4","","0","","2","","201"
"12010053","","1","","3","","nyx_201_akino_02","0.2","103231","0.2","201"
"12010054","","1","","3","","nyx_201_akino_02","0.2","2","0.2","201"
"12010055","","-294.7","2.2","2","","199","","103231","","201"
"12010056","","-294.7","2.2","2","","199","","2","","201"
"12010057","","1","","3","","nyx_cmn_03","0.2","103431","0.2","201"
"12010058","","","","93","","","","2.2","","201"
"12010059","","1","","12","","10","","103231","","201"
"12010060","","1","","3","","nyx_201_akino_01","0.2","103231","0.2","201"
"12010061","","1","","3","","nyx_201_akino_01","0.2","2","0.2","201"
"12010062","","","","91","","","","0","","201"
"12010063","","1","","3","","nyx_idle_surprise1","0.2","103431","0.2","201"
"12010064","","","","91","","","","0","","201"
"12010065","","1","","3","","nyx_102_chloe_02","0.2","103431","0.2","201"
"12010066","","","","4","","1","","103231","","201"
"12010067","","","","4","","1","","2","","201"
"12010068","","1","","3","","nyx_201_akino_02","0.2","103231","0.2","201"
"12010069","","1","","3","","nyx_201_akino_02","0.2","2","0.2","201"
"12010070","","-294.7","2.2","2","","-235.4","","103231","","201"
"12010071","","-294.7","2.2","2","","-235.4","","2","","201"
"12010072","","","","93","","","","2.2","","201"
"12010073","","1","","12","","10","","103231","","201"
"12010074","","1","","3","","nyx_201_akino_01","0.2","103231","0.2","201"
"12010075","","1","","3","","nyx_201_akino_01","0.2","2","","201"
"12010076","","","","93","","","","3","","201"
"12010077","","0","nyx_idle_normal","3","1","cmn_nod_def_N","0.2","104631","0.2","201"
"12010078","","","","93","","","","0.8","","201"
"12010079","","1","","12","","3","","104831","","201"
"12010080","","0","nyx_idle_sad","3","1","nyx_talk_worry","0.2","104831","0.2","201"
"12010081","","","","93","","","","1","","201"
"12010082","","","","101","","","","12010051","","201"
"12020001","nyx_202_tamaki_03_loop","100","-136","5","-255","3","0","1","1.2","202"
"12020002","nyx_idle_joy1","110","183.7","1","-286.1","103231","1","1","1.2","202"
"12020003","nyx_202_yukari_01","120","312.6","5","-286.1","5","1","2","1.2","202"
"12020004","nyx_202_yukari_01","110","312.6","1","-286.1","103431","1","1","1.2","202"
"12020005","nyx_idle_normal","120","-269.8","1","-286.1","104831","0","1","1.2","202"
"12020006","","0","0","31","1","1","","2","1","202"
"12020007","","0","34","31","1","2","","12","1","202"
"12020008","","-74","130","31","1","7","","16","0","202"
"12020009","nyx_yagura_idle","110","-208","5","-255","4","0","3","1","202"
"12020010","NoItem","120","-269.8","5","-286.1","6","0","2","1.2","202"
"12020011","","","","25","","bgm_M347","","bgm_M347","","202"
"12020012","","","","93","","","","2","","202"
"12020013","","10","","11","","總覺得開發作業\n好像也變得開心\n起來了喵～！","","3","","202"
"12020014","","","","91","","","","0","","202"
"12020015","","10","","11","","事到如今我一定要\n讓它成為世界第一\n的鯛魚燒機喵！","","3","","202"
"12020016","","","","91","","","","0","","202"
"12020017","","10","","11","","看我把我的一切\n全部灌注進去\n喵～～！","","3","","202"
"12020018","","","","93","","","","0.4","","202"
"12020019","","0","nyx_202_tamaki_loop","3","1","nyx_202_tamaki_03_puton","","3","0.2","202"
"12020020","","","","91","","","","12020017","","202"
"12020021","","0","nyx_202_tamaki_01","3","1","nyx_202_tamaki_up","","3","0.2","202"
"12020022","","0","nyx_yagura_up_idle","3","1","nyx_yagura_up","","4","","202"
"12020023","","","","93","","","","2.4","","202"
"12020024","","","","32","","1","","7","","202"
"12020025","","1","","3","","nyx_202_akino_01_loop","","103231","0.2","202"
"12020026","","10","","11","","喔～呵呵呵！\n真是美妙的\n抱負呢，珠希","","103231","","202"
"12020027","","","","91","","","","0","","202"
"12020028","","1","","3","","nyx_talk_anger2","","104831","0.2","202"
"12020029","","10","","11","","設計圖上可是\n沒有寫到什麼\n鯛魚燒哦！？","","104831","","202"
"12020030","","","","91","","","","0","","202"
"12020031","","1","","3","","nyx_idle_anger2","","103431","0.2","202"
"12020032","","1","","3","","nyx_202_yukari_01","","103431","0.2","202"
"12020033","","10","","11","","美冬……\n交給珠希去做就\n不會有問題啦……嗝","","103431","","202"
"12020034","","","","91","","","","0","","202"
"12020035","","0","nyx_cmn_04","3","","nyx_cmn_05","0.2","104831","0.2","202"
"12020036","","10","","11","","優花梨？\n妳在喝什麼？\n……妳被收買了對吧？","","104831","0","202"
"12020037","","","","91","","","","0","","202"
"12020038","","1","","3","","nyx_202_yukari_01","","103431","0.2","202"
"12020039","","10","","11","","咦～？\n尼在說什麼～？\n……嗯呵呵～♪","","103431","","202"
"12020040","","","","91","","","","0","","202"
"12020041","","","","93","","","","2","","202"
"12020042","","1","","12","","13","","103231","","202"
"12020043","","0","nyx_202_akino_01_loop","3","1","nyx_talk_joy2","0.2","103231","0.2","202"
"12020044","","","","93","","","","2.5","","202"
"12020045","","1","","12","","3","","104831","","202"
"12020046","","1","","3","","nyx_talk_anger2","","104831","0.2","202"
"12020047","","","","93","","","","2","","202"
"12020048","","0","","3","","nyx_cmn_02","","104831","0.2","202"
"12020049","","0","NoItem","3","1","nyx_cmn_02","","6","0.2","202"
"12020050","","","","93","","","","1","","202"
"12020051","","0","nyx_cmn_04","3","1","nyx_cmn_05","0.2","104831","0.2","202"
"12020052","","","","93","","","","2","","202"
"12020053","","1","","12","","5","","103431","","202"
"12020054","","0","nyx_202_yukari_01","3","1","nyx_203_yukari_01","0.2","5","0.2","202"
"12020055","","0","nyx_202_yukari_01","3","1","nyx_203_yukari_01","0.2","103431","0.2","202"
"12020056","","","","93","","","","1.2","","202"
"12020057","","1","","12","","11","","3","","202"
"12020058","","","","93","","","","0.8","","202"
"12020059","","","","101","","","","12020041","","202"
"12030001","nyx_idle_normal","130","-300","1","-286","104831","0","1","1.2","203"
"12030002","nyx_idle_normal","100","316","1","-286","104631","1","1","1.2","203"
"12030003","nyx_idle_normal","100","110","1","-286","103231","1","1","1.2","203"
"12030004","nyx_203_yukari_01","100","-200","1","-10","103431","0","1","1.2","203"
"12030005","","0","0","31","1","1","","2","1","203"
"12030006","","-80","34","31","1","2","","13","1","203"
"12030007","nyx_203_yukari_01","110","-200","5","-10","3","0","2","1.2","203"
"12030008","nyx_yagura_up_harf","120","-250","5","-255","4","0","3","1","203"
"12030009","","","","25","","bgm_M347","","bgm_M347","","203"
"12030010","","","","93","","","","2","","203"
"12030011","","10","","11","","奇怪～？\n這裡是哪裡～？\n我又是誰～？","","103431","","203"
"12030012","","","","93","","","","0.6","","203"
"12030013","","0","nyx_lookup_loop2","3","1","nyx_lookup","0.2","103231","0.2","203"
"12030014","","","","91","","","","12030011","","203"
"12030015","","10","","11","","嗯～？\n這勾大大的\n東西是什麼～","","103431","","203"
"12030016","","","","93","","","","0.6","","203"
"12030017","","0","nyx_lookup_loop2","3","1","nyx_lookup","0.2","104631","0.2","203"
"12030018","","","","91","","","","12030015","","203"
"12030019","","0","nyx_203_yukari_05","3","1","nyx_203_yukari_02","","3","0.2","203"
"12030020","","0","nyx_203_yukari_05","3","1","nyx_203_yukari_02","","103431","0.2","203"
"12030021","","10","","11","","你要不要也來一起\n喝麥酒～？\n很～好喝的哦～？","","103431","","203"
"12030022","","","","93","","","","0.4","","203"
"12030023","","0","nyx_lookup_loop2","3","1","nyx_lookup","0.2","104831","0.2","203"
"12030024","","","","91","","","","12030021","","203"
"12030025","","","","93","","","","0.2","","203"
"12030026","","0","nyx_idle_sad","3","1","nyx_cmn_02","0.2","104831","0.2","203"
"12030027","","10","","11","","優花梨\n在做什麼啊…","","104831","0","203"
"12030028","","","","93","","","","0.1","","203"
"12030029","","0","nyx_cmn_04","3","1","nyx_cmn_02","0.2","103231","0.2","203"
"12030030","","10","","11","","優花梨\n在做什麼呢…","","103231","","203"
"12030031","","","","93","","","","0.1","","203"
"12030032","","0","nyx_idle_sad","3","1","nyx_cmn_02","0.2","104631","0.2","203"
"12030033","","10","","11","","優花梨\n在做什麼喵…","","104631","","203"
