4f27c84b3710528a2506267d0a9ca83edb4f3bd5bbb036c0b0da77f57ba3d9e7,3b9f32270103866fd6417d75864ae85dac4f816b81f561908ef8b3f15f518347,2f6a51eab7e1f4f3391ed856f09a4a4b91e5533d4c1a994f8d49074f730b5462,0097af1278b3a17c35960d69219914353b79bbbd6a5a52d5099262a6cab2da19,9fff765dbc1c713e09216bac05ec313d76fe07185fb5fee59fd52921c625bf11,343d796fc6d5a95786d9173839dac5209ee345f01f0605f094e56dba86105c11,d29e23150b97f10f3875eab197d7f6f2512c2b3d74e1a8e03ec5432f8e02ec28,08a3fe75fd02b1a7b9e4b9e7a05113af1d4ebbfc38fb7bfcbb0a8579aa3f5fba,87901e7d05092a07a9dbe72b496e1e997d3c069e1b4ea50e8ed31b6814bae614,f28d19adfe6398727120956fd5f6a63b444ef45f08232a059ad9fd91f67d0e66,84177d6427ee027b55782503534086bb9b29d2a6af0c23409ccd8ff44484388d
"","","","","2237","思","","游","","莉","艾"
"","","a","","2244","","","","","",""
"","","誕","","2278","","","","聖","",""
"美","美","","","2279","華","","","契","鏡",""
"栞","智","","","2280","","","","","",""
"伊","緒","","","2281","花","","","","空",""
"嘉","夜","","","2282","梨","","","希","祈",""
"音","","","","2284","綾","","","","桃","胡"
"","","","","2294","","A","","E","",""
"","","A","","2297","","B","","","",""
"","","W","A","2301","","Y","S","","",""
"","","M","O","2302","","S","T","","",""
"","","A","","2305","","","","","",""
"","","P","","2309","","I","L","A","",""
"","","二","","3003","","","","","",""
"","","一三","","3005","","","","","",""
"","","一二","","3006","","","","","參",""
"","","","","3008","","","","三十","",""
"","","得","","3012","衣","","","","",""
"","","夜","","3093","","","","冬","",""
"","","","","3106","","","","亞","",""
"","","h","i","3180","","","","","",""
"夫","","公","多","3187","","婆","","","妻",""
"","","","","3195","","","","b","",""
"","","再","","3274","","","","座","",""
"","","","","3302","","","","二三","",""
"","","鈉鉀","鋰鉀銣","4003","","鋰鈉銣","鋰鈉鉀","氧氰","",""
"","","鍶鐳","鋇鐳","4004","","鍶鐳","鍶鋇","鍶鋇","",""
"","","","","4010","","","","","","愛衣"
"","","","","4013","","","","","","愛衣"
"","","氬氪氙","氦氖","4034","","氖氬氙","氦氖氬氪","氧氬氪","",""
"","","","","4035","","","","裴","","加"
"","","","","4040","","","","熱寒","",""
"","","","","4041","","","","熱溫","",""
"","","","N","4042","","E","","","",""
"","","O","","4062","","","","","",""
"","","銷","","4069","","乙","","乙四","",""
"","","版","","4072","","","","網","",""
"","","西","","4110","","大","西","大","",""
"","","","二","4143","","","","","",""
"","","","一三","4144","","","","","",""
"","","","一二","4145","","","","","",""
"","","氧","","4153","","","","氫","",""
"","帶","","","4154","","","","","",""
"","","","異","4157","","","","","",""
"","","","","4158","","","","","昇",""
"","","","","4159","","","二三","","",""
"","","","","4161","","","一三","","",""
"","","","同","4167","","","","","",""
"","","小","","4194","","倍","","","",""
"","","大","","4195","","約","","","",""
"","","","","4196","底","","","","","高"
"","","","","4197","","","","半","",""
"","","o","","5010","","a","","","",""
"","","比","","5013","","","","伊","",""
"司","","","","5027","","鹽","","印","","愛"
"","","e","","5031","","e","","","",""
"","","a","","5056","","e","","","",""
"","","","s","5070","","e","","","",""
"","","餅","","5076","","","餅","","",""
"","","","","5079","","","","上前","",""
"","","","","5082","","","","肩","",""
"","","","","5098","","","","微","",""
"","","","AB","5102","","BC","AC","大喊","",""
"","","布","","5103","","","","","",""
"","","","","5162","醜","","","西","",""
"","","定","","5164","","","","固","",""
"","","左","","5183","","","","","",""
"","","右","","5185","","","","","",""
"","","戌酉卯","戌卯辰","5193","虎","戌酉子","卯戌子","卯辰戌","牛",""
"","","","","6008","","藍","雀","","底",""
"","","u","u","6010","e","","","","e",""
"","","","","6012","","線","","","",""
"","","面","","6013","","","","","",""
"","","o","m","6015","","k","","G","",""
"","","o","m","6022","","","","","",""
"","","","","6049","","","","單二","",""
"","","","","6073","","","火","","",""
"","","","巨","6075","","","","","",""
"","","","","6076","","a","","","",""
"","","","","6082","","e","","","",""
"","","","a","6084","","","","C","",""
"","","","u","6097","","n","w","","",""
"","","","出","6098","","","","","","湖"
"依","","莉","","6135","與或","","莉","","","茜"
"","","","","6136","","","喵","","",""
"","","嚕","呼","6139","","霖","","鈴","",""
"","","","","6179","得","","","","",""
