df86be0a590e42717acc09a0c864e4f8772a19e34d9fe45c6daa61e5527bd1e3,d4c00b0e82b64faee392740588505ef42e519216cac4847200c91c07c64ddba9,38952dc73e3c2f2d6ff50abfe6fd8c9a670a398721fc125f9b5162fdd220c4af,2dff53f7da7f76522db21cb5ebd1598a8f7d15feeba7e8f3430705bb27b9e5f7,f979c909ed2bfcc7b7bdba22ecb9b96b96f3837cf14c33329b137eaa0fee173a,b383b38fb70238fc9553badc9589f47f909c0e076343387914917c1277029a0b,2f27d214a3e9d0dcef4010c230df21c005cec0b657d825e54cc8fc2a95bafa34,ebcc3ac163f8b8e5281d6cd4e17f96391384482f8f7ab689f14a25a7ca7e1162,6084d4dd50c89ff11ab09c6c7c8d929a0ee1936d7faa029c3f365ed4d5cca2d3,3a79b2562ada2bf5526a1b877c312003e3489760f6a23e80099803bc3fb9e794,3a70fda0602b9680e870f83200587e2363cd57ea3551d00c9010a282d0887267
"4","0","1周年倒數登入獎勵","2019/08/01 04:59:00","500160","0","10","2019/07/17 05:00:00","0","49003","0"
"4","0","真步真步王國開服一周年紀念","2019/12/31 04:59:00","500160","0","8","2019/12/16 05:00:00","0","49004","0"
"4","0","迎接1.5周年紀念","2020/01/21 15:59:00","500160","0","10","2020/01/10 05:00:00","0","49005","0"
"4","0","春節小禮物","2020/04/06 04:59:59","500160","0","5","2020/04/01 05:00:00","0","49006","0"
"4","0","動畫播放紀念禮物","2020/04/16 04:59:59","40006","0","10","2020/04/06 05:00:00","0","49007","0"
"4","4","2周年紀念登入獎勵（前半）","2020/08/18 04:59:59","80002","0","10","2020/08/03 05:00:00","0","49008","0"
"4","4","2周年紀念登入獎勵（後半）","2020/08/31 04:59:59","80002","0","10","2020/08/18 05:00:00","0","49009","0"
"4","0","感謝的禮物-每日登入獎勵寶石","2020/11/15 04:59:00","500160","0","10","2020/11/02 05:00:00","0","49010","0"
"4","0","歡慶聖誕","2021/01/06 04:59:00","500160","0","10","2020/12/24 05:00:00","0","49011","0"
"4","0","2.5周年預熱","2021/01/25 04:59:00","500160","0","10","2021/01/13 05:00:00","0","49012","0"
"4","2","歡慶IP合作","2021/04/28 04:59:00","40007","0","10","2021/04/16 05:00:00","0","49013","0"
"4","2","歡慶中秋","2021/10/01 04:59:00","500160","0","10","2021/09/17 05:00:00","0","49014","0"
"4","2","秋季贈禮","2021/11/01 04:59:00","500160","0","10","2021/10/18 05:00:00","0","49015","0"
"4","2","歡慶聖誕&迎接新年到來","2022/01/06 04:59:00","500160","0","10","2021/12/24 05:00:00","0","49016","0"
"4","2","秋季贈禮","2022/11/01 04:59:00","500160","0","10","2022/10/17 05:00:00","0","49017","0"
"4","2","歡慶聖誕&迎接新年到來","2023/01/06 04:59:59","500160","0","10","2022/12/24 05:00:00","0","49018","0"
"4","2","迎接春節來到","2023/02/06 04:59:59","500160","0","10","2023/01/21 05:00:00","0","49019","0"
"4","2","每日登入獎勵","2023/06/05 04:59:59","501470","0","10","2023/05/06 05:00:00","0","49020","0"
"4","2","迎接2024特別禮物","2024/01/02 04:59:59","500160","0","1","2023/12/31 05:00:00","0","49021","0"
"6","0","公主祭典紀念登入抽籤","2019/05/17 04:59:59","500160","0","7","2019/05/07 05:00:00","1","60000","0"
"6","0","謹賀新年 新年登入獎勵","2020/05/15 04:59:59","500553","0","7","2020/05/05 05:00:00","1","60001","0"
"6","0","謹賀新年 新年登入獎勵","2021/05/14 04:59:59","500553","0","7","2021/05/04 05:00:00","1","60002","0"
"6","0","謹賀新年 新年登入獎勵","2022/05/13 04:59:59","500553","0","7","2022/05/03 05:00:00","1","60003","0"
"6","0","謹賀新年 新年登入獎勵","2023/05/14 04:59:59","500553","0","7","2023/05/02 05:00:00","1","60004","0"
"6","0","謹賀新年 新年登入獎勵","2024/05/11 04:59:59","500553","0","7","2024/05/01 05:00:00","1","60005","0"
"7","0","聖誕節登入獎勵","2021/04/25 04:59:59","500160","0","2","2021/04/23 05:00:00","0","70004","1"
"7","0","元旦紀念特別登入獎勵","2021/05/07 04:59:59","500160","0","3","2021/05/04 05:00:00","0","70005","2"
"7","0","聖誕節登入獎勵","2022/04/26 04:59:59","500160","0","2","2022/04/24 05:00:00","0","70006","1"
"7","0","元旦紀念特別登入獎勵","2022/05/06 04:59:59","500160","0","3","2022/05/03 05:00:00","0","70007","2"
"7","0","聖誕節登入獎勵","2023/04/26 04:59:59","500160","0","2","2023/04/24 05:00:00","0","70008","1"
"7","0","元旦紀念特別登入獎勵","2023/05/05 04:59:59","500160","0","1","2023/05/02 05:00:00","0","70009","2"
"4","2","連假快樂特別禮物1","2024/04/06 04:59:59","500160","0","1","2024/04/04 05:00:00","0","70010","0"
"4","2","勞動節限定特別登入獎勵","2024/05/04 04:59:59","500160","0","1","2024/05/01 05:00:00","0","70011","0"
"4","2","連假快樂特別禮物2","2024/04/08 04:59:59","500160","0","1","2024/04/06 05:00:00","0","70012","0"
"8","0","2.5周年倒數登入獎勵","2021/02/09 04:59:59","0","1","15","2021/01/25 05:00:00","0","80003","0"
"10","0","3周年倒數登入獎勵","2021/08/03 04:59:59","0","1","17","2021/07/17 05:00:00","0","80004","1"
"8","0","三周年半倒數登入獎勵","2022/02/02 04:59:59","0","1","15","2022/01/18 05:00:00","0","80005","0"
"10","0","4th Year Anniversary倒數登入獎勵","2022/08/02 04:59:59","0","1","17","2022/07/16 05:00:00","0","80006","1"
"10","0","四周年半倒數登入獎勵","2023/01/21 04:59:59","0","1","15","2023/01/06 05:00:00","0","80007","1"
"10","0","5周年倒數登入獎勵","2023/08/02 04:59:59","0","1","16","2023/07/17 05:00:00","0","80008","1"
"10","0","5.5 Year Anniversary 倒數登入獎勵","2024/02/08 04:59:59","0","1","15","2024/01/24 05:00:00","0","80009","1"
"10","0","6周年倒數登入獎勵","2024/08/02 04:59:59","0","1","16","2024/07/17 05:00:00","0","80010","1"
"10","0","6.5 Year Anniversary 倒數登入獎勵","2025/02/02 04:59:59","0","1","15","2025/01/18 05:00:00","0","80011","1"
