df1753b666af1752f6ce5341db2088d0ab9e0292619d02ac5edbdb87da82b608,595bdfbee39be65a136149cc8d3201e02b90676181ead2ec24fc3e042630af66,2bdaebc86ea5ff1f75864bf30c2c5b729e537c3b7ed2e89fc5587f910ad2f588,c7c9a4379620df48cd7ed68bb4c41521d2880f3fd60e7c416884cab425b5823e,a4fb23803662fa5550bf5a3e10b8492d13b4bd8e48bd35c7a6276b30f99a752c,8ef86f99014c82017c895bce88fe36d7f9c01b262e6826021fe0b5da18b92fa2,7edff343ef52da7ac0d9d936daaf7e1d6d7fd26944ccacf33ea015bdc61d3762,4518e1c2034e882f4cb0b6c80102a0935cd1c877906b89a256fa5c21505ac158,1636245d54427d837cbeba0cbca550b2341f7eef476927272baef1bb3042cb75,08efe10d18941add714fbba9cd4a9fd8fe69448384909493464303fb5cb3e5f0,8bb9ce37fca57dfe70d6a09da3c898bafab894a355e09e52520c4165da3bf68a,4a1dbd8c4699a05cdda81ab429550c013e02a1a34dd99e015389896125d39074,7b5f46208e416f781330328cda0a7c24d3ed06e5a388db188112c60b2eb8ddb9,abe01df8ff2c78525f5a8e83b28e9154b5f1105f74b21600530d90629882b277,62cc791759eb7c32fcf24441b977c2c499fd92d429b00eb8eaec74dade698898,ed69ff6dfda77ca92e14af844fe01546a5cd9e7126cb60f36bea040052ca3bf9,358ba9c8abaa1a94479d216b742d70fbb15b8dd4c13444ddaa8dd87cde94ddff,3ed06e1c0b31f4c68098a5bf6533aebeb7fdb1575a75d6f81560611146ff5a96,0f5181c6dda593787565a79d2eb93466cabd5eb4f68184aaf1bd646a80a777d9,fc499eb6a8b22807e099f2f26a24e42d4a58d8b67e4c8bc43dbf05cbc62b157f,aa32006fb8ab553b7965d964754986a97c4e94233212fb7c7703316d784c1060,39026f38876419cb88a11493795a83b91e2c811a10c2c66a548b702fa2efe36b,e74c8540edbf39c5c648f649134427dc8e6a32d83ff59a5e5b13e70d9c00dc9c,0a4bbed13b82390a8fb19af0ab498e38162ba03a635510709bd26c51638eb93c,51463b084aefee86fc32fb9b084b109ce2de122e323c88b2503684dbaab001ee,2a2fbe74b65e25f4f94cafac332b763239d095ece8e2f99995af1393881f3a0a,1b4239e8d4bc163ec76a08daa0c0a20abc1a7e7d2d97d3f245896e4d63c25f29,928f826234cfcbea7bd26855a530eba3ad66d2a1a6058335e9f8facc22e360e8,ef37dcc3cd9e3144e4f92bc9b9f45c0659b55479ec212b0a022ed3ebfc0170da,7fea1fd226f6282ab9c721c67247d76c09cc6406623ac231468c9b99232658ad,65f2723fa6663cfbae2131826fa538448b08f28ce60433398f0014895c4a837e,23eae564bff2a279b101ae4009a7354590c14e294341cbb7d8d56caa7653836f,4ec316003f9d2033199f25776dd9ef48125298b885c2a5a46b0be183116a77e6,f87258bd3b7ec2a6bca475ec06795bc06334d9c94b13e97d989679ff13953dd8,9a16584ef9445fe9f92a0350c200c3cf86f8422cd1fead82a2362d0d78916158,8ef59b66d95f5eb8f8dae9f13653b74aa2a3c92c1ea7c20ff169106c76b54a1c,73e964dd43fe97e833b2fadf9febe0b2807cb68bc8a8476246c63c83d5b321bb,460b7c6774aaa8758839058f2947f2ad95bcb62ffdd550ba624284086bb0f43a,b4e8b0876ffd7abc8fcb64fd01a6f45a468368ab7cfa6a0b3eef03b8f7231285
"57","1004206","1004109","1004110","401042241","1004210","1000000","401042231","401042251","1004106","2","10190105","2","0","1004207","1.8","10190103","5","0.06","0","10190101","710071","1.4","10190104","2","10","401042211","1004209","1019","401042221","10190102","1","4","1.4","1004108","1.8","1004208","1004107","1001303"
"58","1004206","1004109","1004110","401042291","1004210","1000000","401042281","401042301","1004106","2","10190105","3","0","1004207","2.5","10190103","12","0.06","0","10190101","710071","2","10190104","3","-1","401042261","1004209","1019","401042271","10190102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"59","1004201","1004104","1004105","401042491","1004205","1000000","401042481","401042501","1004101","1","10200105","1.5","0","1004202","1.3","10200103","2","0.03","0","10200101","710081","1","10200104","1","1","401042461","1004204","1020","401042471","10200102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"60","1004206","1004109","1004110","401042491","1004210","1000000","401042481","401042501","1004106","1","10200105","1.5","0","1004207","1.3","10200103","2","0.03","0","10200101","710081","1","10200104","1","3","401042461","1004209","1020","401042471","10200102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"61","1004206","1004109","1004110","401042541","1004210","1000000","401042531","401042551","1004106","2","10200105","2","0","1004207","1.8","10200103","5","0.06","0","10200101","710081","1.4","10200104","2","10","401042511","1004209","1020","401042521","10200102","1","4","1.4","1004108","1.8","1004208","1004107","1001303"
"62","1004206","1004109","1004110","401042591","1004210","1000000","401042581","401042601","1004106","2","10200105","3","0","1004207","2.5","10200103","12","0.06","0","10200101","710081","2","10200104","3","-1","401042561","1004209","1020","401042571","10200102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"63","1004201","1004104","1004105","401042791","1004205","1000000","401042781","401042801","1004101","1","10210105","1.5","0","1004202","1.4","10210103","2","0.03","0","10210101","710091","1.2","10210104","1","1","401042761","1004204","1021","401042771","10210102","1","1","1.2","1004103","1.3","1004203","1004102","1001301"
"64","1004206","1004109","1004110","401042791","1004210","1000000","401042781","401042801","1004106","1","10210105","1.5","0","1004207","1.4","10210103","2","0.03","0","10210101","710091","1.2","10210104","1","3","401042761","1004209","1021","401042771","10210102","1","2","1.2","1004108","1.3","1004208","1004107","1001303"
"65","1004206","1004109","1004110","401042841","1004210","1000000","401042831","401042851","1004106","2","10210105","2","0","1004207","1.9","10210103","5","0.06","0","10210101","710091","1.6","10210104","2","10","401042811","1004209","1021","401042821","10210102","1","4","1.6","1004108","1.8","1004208","1004107","1001303"
"66","1004206","1004109","1004110","401042891","1004210","1000000","401042881","401042901","1004106","2","10210105","2.6","0","1004207","2.4","10210103","12","0.06","0","10210101","710091","2","10210104","3","-1","401042861","1004209","1021","401042871","10210102","1","11","2","1004108","2.4","1004208","1004107","1001303"
"67","1004201","1004104","1004105","401043141","1004205","1000000","401043131","401043151","1004101","1","10220105","1.5","0","1004202","1.4","10220103","2","0.03","0","10220101","710101","1.2","10220104","1","1","401043111","1004204","1022","401043121","10220102","1","1","1.2","1004103","1.3","1004203","1004102","1001301"
"68","1004206","1004109","1004110","401043141","1004210","1000000","401043131","401043151","1004106","1","10220105","1.5","0","1004207","1.4","10220103","2","0.03","0","10220101","710101","1.2","10220104","1","3","401043111","1004209","1022","401043121","10220102","1","2","1.2","1004108","1.3","1004208","1004107","1001303"
"69","1004206","1004109","1004110","401043191","1004210","1000000","401043181","401043201","1004106","2","10220105","2","0","1004207","1.9","10220103","5","0.06","0","10220101","710101","1.6","10220104","2","10","401043161","1004209","1022","401043171","10220102","1","4","1.6","1004108","1.8","1004208","1004107","1001303"
"70","1004206","1004109","1004110","401043241","1004210","1000000","401043231","401043251","1004106","2","10220105","2.6","0","1004207","2.4","10220103","12","0.06","0","10220101","710101","2","10220104","3","-1","401043211","1004209","1022","401043221","10220102","1","11","2","1004108","2.4","1004208","1004107","1001303"
"71","1004201","1004104","1004105","401043491","1004205","1000000","401043481","401043501","1004101","1","10230105","1.5","0","1004202","1.4","10230103","2","0.03","0","10230101","710111","1.2","10230104","1","1","401043461","1004204","1023","401043471","10230102","1","1","1.2","1004103","1.3","1004203","1004102","1001301"
"72","1004206","1004109","1004110","401043491","1004210","1000000","401043481","401043501","1004106","1","10230105","1.5","0","1004207","1.4","10230103","2","0.03","0","10230101","710111","1.2","10230104","1","3","401043461","1004209","1023","401043471","10230102","1","2","1.2","1004108","1.3","1004208","1004107","1001303"
"73","1004206","1004109","1004110","401043541","1004210","1000000","401043531","401043551","1004106","2","10230105","2","0","1004207","1.9","10230103","5","0.06","0","10230101","710111","1.6","10230104","2","10","401043511","1004209","1023","401043521","10230102","1","4","1.6","1004108","1.8","1004208","1004107","1001303"
"74","1004206","1004109","1004110","401043591","1004210","1000000","401043581","401043601","1004106","2","10230105","2.6","0","1004207","2.4","10230103","12","0.06","0","10230101","710111","2","10230104","3","-1","401043561","1004209","1023","401043571","10230102","1","11","2","1004108","2.4","1004208","1004107","1001303"
"75","1004201","1004104","1004105","401043791","1004205","1000000","401043781","401043801","1004101","1","10240105","1.5","0","1004202","1.4","10240103","1","0.03","0","10240101","710121","1.2","10240104","1","1","401043761","1004204","1024","401043771","10240102","1","1","1.2","1004103","1.3","1004203","1004102","1001301"
"76","1004206","1004109","1004110","401043791","1004210","1000000","401043781","401043801","1004106","1","10240105","1.5","0","1004207","1.4","10240103","1","0.03","0","10240101","710121","1.2","10240104","1","3","401043761","1004209","1024","401043771","10240102","1","2","1.2","1004108","1.3","1004208","1004107","1001303"
"77","1004206","1004109","1004110","401043841","1004210","1000000","401043831","401043851","1004106","2","10240105","2","0","1004207","1.9","10240103","4","0.06","0","10240101","710121","1.6","10240104","2","10","401043811","1004209","1024","401043821","10240102","1","4","1.6","1004108","1.8","1004208","1004107","1001303"
"78","1004206","1004109","1004110","401043891","1004210","1000000","401043881","401043901","1004106","2","10240105","2.6","0","1004207","2.4","10240103","11","0.06","0","10240101","710121","2","10240104","3","34","401043861","1004209","1024","401043871","10240102","1","11","2","1004108","2.4","1004208","1004107","1001303"
"79","1004206","1004109","1004110","401043941","1004210","1000000","401043931","401043951","1004106","2","10240105","4","0","1004207","3.8","10240103","35","0.06","0","10240101","710121","3.5","10240104","4","-1","401043911","1004209","1024","401043921","10240102","1","35","3.5","1004108","3.7","1004208","1004107","1001303"
