e27d45209d98c13252b4dc0de0d3116dfca9bf3a03eba9049d22289c2ee6af54,5c829d16cec84e1440e19f03aefce2ef1baf787628102f532b0d51d0bf6ac1a8,e5556a7dc7127ca5c22efbdddfc2c192a9b21099c9bfaa5fe63cd4ab4a5fa940,235794151f7c26a4ae2dbe44b34bd7b086b02085e184535033a5c88958379735,656db71b3f740c06c8445eb904d00001a87950ab6d6a76e244a8b1b7fac5ad2d,bbaa6e47009cfa66d37571e8bc9f42efb81e8e81eddb1009bb9e4a824617126b,c605491e073841cad7b7d54c93f44ad7fdb8eb607624542d1db893dbcd13b5c7,da1075a770cb9be35fc7f9ceef1b409b23cee3f2d45cbbfd1b819a37740a7512,f9ca22687eb95e3a442914a9ec254066cb7a2048f9958f65b4e58ef47b1ecfe1,e30d751b709077b406705df40e19f358d74db96eb83ef0000b15ea4e29413695,415a7b71753e5d75590071a10692429264b8865f10a35808a5148020c6be1273
"1","2","0","0","1","11","但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","10","13","0","13082"
"","0","","","0","91","","0","13","","13083"
"","2","0.2","","","3","clear_wish_talk_joy_look","1","13","","13084"
"","vo_asb","","","0","21","vo_asb_1533","0","13","","13085"
"1","2","0","0","1","11","哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","10","13","0","13086"
"","0","","","0","91","","0","13","","13087"
"","2","0.2","","","3","clear_wish_idle_look","1","13","","13088"
"1","3","0.1","","joy_idle_look_shy_precia2","3","agree","0","13","0.2","13089"
"","vo_asb","","","0","21","vo_asb_1534","0","13","","13090"
"1","3","0","0","1","11","請多指教。","10","13","0","13091"
"","0","","","0","91","","0","13","","13092"
"1","1","0.2","","idle_look_shy_riri","3","bow_riri","0","13","0.2","13093"
"","vo_asb","","","0","21","vo_asb_1535","0","13","","13094"
"1","1","0","0","1","11","請多多指教……！","10","13","0","13095"
"","0","","","0","91","","0","13","","13096"
"","13098","","","","101","","","13","","13097"
"0","1","0.3","","1","6","1","1","13","0","13098"
"0","2","0.3","","1","6","1","1","13","0","13099"
"0","3","0.3","","1","6","1","1","13","0","13100"
"0","0","0.3","","1","6","1","1","13","0","13101"
"1","1","","","0.3","2","-130","-230","13","","13102"
"1","2","","","0.3","2","-290","-255","13","","13103"
"1","3","","","0.3","2","120","-245","13","","13104"
"1","0","","","0.3","2","-100","0","13","","13105"
"","0","","","","22","0","","13","","13106"
"","100","","","","35","1","","13","","13107"
"1","100","","","0.3","33","-100","0","13","","13108"
"","0.4","","","","93","0","","13","","13109"
"","100","","","","32","0","","13","","13110"
"-250","3","2.2","surprise_idle_normal2_precia","30","5","1","52","22","0","22001"
"0","1","0","","1","6","1","1","22","0","22002"
"0","0","1","black","50","5","0","29","22","0","22003"
"0","0","0","","1","6","1","1","22","0","22004"
"","0","","","","91","","","22","","22005"
"1","1","0.2","","1","6","1","1","22","0","22006"
"1","0","0.2","","1","6","1","1","22","0","22007"
"2","1","","","0.3","2","-20","-250","22","","22008"
"2","0","","","0.3","2","0","0","22","","22009"
"","0.6","","","","93","0","","22","","22010"
"","vo_asb","","","0","21","vo_asb_0221","0","22","","22011"
"1","1","0","0","1","11","坐墊。\n餅乾。\n吃了好多。","10","22","0","22012"
"","0","","","0","91","","0","22","","22013"
"","1","0.3","","","3","talk_surprise_precia","1","22","","22014"
"","vo_asb","","","0","21","vo_asb_0222","0","22","","22015"
"1","1","0","0","1","11","鈴莓。\n好像，\n會做各式各樣。","10","22","0","22016"
"","0","","","0","91","","0","22","","22017"
"","1","0.3","","","3","think_idle_precia","1","22","","22018"
"","vo_asb","","","0","21","vo_asb_0223","0","22","","22019"
"1","1","0","0","1","11","像是，坐墊鬆餅。\n之類的？","10","22","0","22020"
"","0","","","0","91","","0","22","","22021"
"","1","0.3","","","3","think_idle_dere_precia","1","22","","22022"
"","vo_asb","","","0","21","vo_asb_0224","0","22","","22023"
"1","1","0","0","1","11","像是，坐墊馬芬蛋糕。\n之類的？","10","22","0","22024"
"","0","","","0","91","","0","22","","22025"
"","1","0.3","","","3","think_idle_angerR","1","22","","22026"
"","vo_asb","","","0","21","vo_asb_0225","0","22","","22027"
"1","1","0","0","1","11","像是，坐墊肉包子……\n之類的……（吞口水)","10","22","0","22028"
"","0","","","0","91","","0","22","","22029"
"1","1","0.1","","speak1_light_precia","3","thinkToSpeak_precia","0","22","0","22030"
"","vo_asb","","","0","21","vo_asb_0226","0","22","","22031"
"1","1","0","0","1","11","鈴莓。\n我要挖角她。\n來幻變少女。","10","22","0","22032"
"","0","","","0","91","","0","22","","22033"
"","22035","","","","101","","","22","","22034"
"0","1","0.3","","1","6","1","1","22","0","22035"
"0","0","0.3","","1","6","1","1","22","0","22036"
"1","1","","","0.3","2","-120","-250","22","","22037"
"1","0","","","0.3","2","-100","0","22","","22038"
"","0","","","","22","0","","22","","22039"
"","0.4","","","","93","0","","22","","22040"
"-230","1","2.2","riri_idle_look","20","5","1","52","32","0","32001"
"-255","2","2.2","clear_book_read","-140","5","2","58","32","0","32002"
"-245","3","2.2","joy_idle_precia","270","5","3","55","32","1","32003"
"0","1","0","","1","6","1","1","32","0","32004"
"0","2","0","","1","6","1","1","32","0","32005"
"0","3","0","","1","6","1","1","32","0","32006"
"0","0","1","black","50","5","0","29","32","0","32007"
"0","0","0","","1","6","1","1","32","0","32008"
"","0","","","","91","","","32","","32009"
"1","1","0.2","","1","6","1","1","32","0","32010"
"1","2","0.2","","1","6","1","1","32","0","32011"
"1","3","0.2","","1","6","1","1","32","0","32012"
"1","0","0.2","","1","6","1","1","32","0","32013"
"2","1","","","0.3","2","-30","-230","32","","32014"
"2","2","","","0.3","2","-190","-255","32","","32015"
"2","3","","","0.3","2","220","-245","32","","32016"
"2","0","","","0.3","2","0","0","32","","32017"
"","0.6","","","","93","0","","32","","32018"
"","2","0.2","","","3","clear_book_talk","1","32","","32019"
"","vo_asb","","","0","21","vo_asb_0321","0","32","","32020"
"1","2","0","0","1","11","這幅牛的畫，\n未免畫得太好了吧！？","10","32","0","32021"
"","0","","","0","91","","0","32","","32022"
"","2","0.4","","","3","clear_book_idle","1","32","","32023"
"","1","0.2","","","3","riri_talk_look","1","32","","32024"
"","vo_asb","","","0","21","vo_asb_0322","0","32","","32025"
"1","1","0","0","1","11","這是普蕾西亞畫的。\n因為她是天才呢。","10","32","0","32026"
"","0","","","0","91","","0","32","","32027"
"","1","0.2","","","3","riri_idle_look","1","32","","32028"
"1","2","0.1","","clear_talk2_noShy","3","clear_bookToTalk2","0","32","0","32029"
"","vo_asb","","","0","21","vo_asb_0323","0","32","","32030"
"1","2","0","0","1","11","話說回來，我和莉莉兩人，\n一直做不好「手插腰」，\n真陽小姐為了教我們，\n苦戰一番的時候也……","10","32","0","32031"
"","0","","","0","91","","0","32","","32032"
"1","2","0.1","","idle_talkjoy2","3","talk2ToIdle_talkjoy2","0","32","0","32033"
"","1","0.2","","","3","sad_talk_joy2R","1","32","","32034"
"","vo_asb","","","0","21","vo_asb_0324","0","32","","32035"
"1","1","0","0","1","11","是，只有普蕾西亞\n一次就合格了吧。\n從我們這些外行人的眼中看來，\n也是非常完美的「手插腰」。","10","32","0","32036"
"","0","","","0","91","","0","32","","32037"
"","1","0.2","","","3","sad_idle_normal_riri","1","32","","32038"
"","2","0.2","","","3","idle","1","32","","32039"
"","3","0.3","","","3","talk_precia","1","32","","32040"
"","vo_asb","","","0","21","vo_asb_0325","0","32","","32041"
"1","3","0","0","1","11","想看嗎？","10","32","0","32042"
"","0","","","0","91","","0","32","","32043"
"","3","0.3","","","3","joy_idle_precia","1","32","","32044"
"","1","0.2","","","3","guts2_talk_riri","1","32","","32045"
"","2","0.2","","","3","clear_hope_talk","1","32","","32046"
"","vo_asb","","","0","21","vo_asb_0326","0","32","","32047"
"1","1","0","0","1","11","當然的。","10","32","0","32048"
"","0","","","0","91","","0","32","","32049"
"","1","0.2","","","3","guts2_idle_riri","1","32","","32050"
"","2","0.2","","","3","clear_hope_idle","1","32","","32051"
"1","3","0.2","","cool_idle","3","cool_in","0","32","0","32052"
"","vo_asb","","","0","21","vo_asb_0327","0","32","","32053"
"1","3","0","0","1","11","插腰。","10","32","0","32054"
"","0","","","0","91","","0","32","","32055"
"1","3","0.2","","cool_idle_doya","3","cool_idle_doya_in","0","32","0.1","32056"
"","1","0.2","","","3","guts2_idle_joy_riri","1","32","","32057"
"","2","0.2","","","3","clear_hope_joy","1","32","","32058"
"","vo_asb","","","0","21","vo_asb_0328","0","32","","32059"
"1","1","-85","0","1","11","哇～♪","10","32","-22","32060"
"","0","","","0","91","","0","32","","32061"
"","32063","","","","101","","","32","","32062"
"0","1","0.3","","1","6","1","1","32","0","32063"
"0","2","0.3","","1","6","1","1","32","0","32064"
"0","3","0.3","","1","6","1","1","32","0","32065"
"0","0","0.3","","1","6","1","1","32","0","32066"
"1","1","","","0.3","2","-130","-230","32","","32067"
"1","2","","","0.3","2","-290","-255","32","","32068"
"1","3","","","0.3","2","120","-245","32","","32069"
"1","0","","","0.3","2","-100","0","32","","32070"
"","0","","","","22","0","","32","","32071"
"","0.4","","","","93","0","","32","","32072"
"-250","2","2.2","clear_wish_talk_joy_noShy","30","5","1","52","42","0","42001"
"0","1","0","","1","6","1","1","42","0","42002"
"0","0","1","black","50","5","0","29","42","0","42003"
"0","0","0","","1","6","1","1","42","0","42004"
"","0","","","","91","","","42","","42005"
"1","1","0.2","","1","6","1","1","42","0","42006"
"1","0","0.2","","1","6","1","1","42","0","42007"
"2","1","","","0.3","2","-20","-250","42","","42008"
"2","0","","","0.3","2","0","0","42","","42009"
"","0.6","","","","93","0","","42","","42010"
"","vo_asb","","","0","21","vo_asb_0421","0","42","","42011"
"1","1","0","0","1","11","鈴小姐模仿真陽小姐，\n模仿得非常到位。","10","42","0","42012"
"","0","","","0","91","","0","42","","42013"
"","1","0.1","","","3","clear_talk_normal","1","42","","42014"
"","vo_asb","","","0","21","vo_asb_0422","0","42","","42015"
"1","1","0","0","1","11","在公會久待，\n關係深厚的成員之間，\n要像那樣子互相模仿，\n似乎也會變得容易呢……","10","42","0","42016"
"","0","","","0","91","","0","42","","42017"
"1","1","0.2","","clear_kohon_loop","3","clear_kohon_in","0","42","0","42018"
"","vo_asb","","","0","21","vo_asb_0423","0","42","","42019"
"1","1","0","0","1","11","…………\n……咳咳。","10","42","0","42020"
"","0","","","0","91","","0","42","","42021"
"1","1","0.2","","clear_speak2_talk","3","clear_imitation_in","0","42","0","42022"
"","vo_asb","","","0","21","vo_asb_0424","0","42","","42023"
"1","1","0","0","1","11","兄、兄長大人。兄長大人……？\n哥、哥，哥……哥。\n…………","10","42","0","42024"
"","0","","","0","91","","0","42","","42025"
"1","1","0.3","","clear_surprise_talk_red","3","clear_surprise_in_red","0","42","0","42026"
"","vo_asb","","","0","21","vo_asb_0425","0","42","","42027"
"1","1","0","0","1","11","……啊！\n只是要模仿公會成員而已，\n我真是的，為什麼會臉紅……！","10","42","0","42028"
"","0","","","0","91","","0","42","","42029"
"","1","0.2","","","3","clear_wish_talk_pain_red","1","42","","42030"
"","vo_asb","","","0","21","vo_asb_0426","0","42","","42031"
"1","1","0","0","1","11","從各方面來說，我都還差得遠呢……！","10","42","0","42032"
"","0","","","0","91","","0","42","","42033"
"","42035","","","","101","","","42","","42034"
"0","1","0.3","","1","6","1","1","42","0","42035"
"0","0","0.3","","1","6","1","1","42","0","42036"
"1","1","","","0.3","2","-120","-250","42","","42037"
"1","0","","","0.3","2","-100","0","42","","42038"
"","0","","","","22","0","","42","","42039"
"","0.4","","","","93","0","","42","","42040"
"-243","1","2.2","dance_riri","70","5","1","55","52","0","52001"
"-245","2","2.2","dance_clear","320","5","2","52","52","1","52002"
"-255","3","2.2","dance_precia","-90","5","3","58","52","0","52003"
"0","1","0","","1","6","1","1","52","0","52004"
"0","2","0","","1","6","1","1","52","0","52005"
"0","3","0","","1","6","1","1","52","0","52006"
"0","0","1","black","50","5","0","29","52","0","52007"
"0","0","0","","1","6","1","1","52","0","52008"
"","0","","","","91","","","52","","52009"
"","1","0.1","","","3","dance_riri","0","52","","52010"
"1","2","0.1","","idle","3","dance_clear","0","52","0","52011"
"1","3","0.1","","idle_precia","3","dance_precia","0","52","0","52012"
"1","1","0.2","","1","6","1","1","52","0","52013"
"1","2","0.2","","1","6","1","1","52","0","52014"
"1","3","0.2","","1","6","1","1","52","0","52015"
"1","0","0.2","","1","6","1","1","52","0","52016"
"2","1","","","0.3","2","-30","-243","52","","52017"
"2","2","","","0.3","2","220","-245","52","","52018"
"2","3","","","0.3","2","-190","-255","52","","52019"
"2","0","","","0.3","2","0","0","52","","52020"
"","0.6","","","","93","0","","52","","52021"
"","vo_asb","","","0","21","vo_asb_0521","0","52","","52022"
"0","3","0","0.15","0","11","快、快、慢。","11","52","0","52023"
"","0","","","0","91","","0","52","","52024"
"","vo_asb","","","0","21","vo_asb_0522","0","52","","52025"
"0","1","0","0.75","0","11","旋轉、停，旋轉、停，\n快、快、慢！","10","52","0","52026"
"","52010","","","","91","","","52","","52027"
"","1","0.1","","","3","idle","1","52","","52028"
"","0.2","","","","93","0","","52","","52029"
"1","1","0.1","","talk_joy","3","smile_riri","0","52","0.2","52030"
"","vo_asb","","","0","21","vo_asb_0523","0","52","","52031"
"1","1","0","0","1","11","……呵呵呵，有了這個口號，\n我們三人的步調，\n就很不可思議地同步了呢。","10","52","0","52032"
"","0","","","","91","","","52","","52033"
"","1","0.2","","","3","riri_idle","1","52","","52034"
"","2","0.2","","","3","clear_talk2_noShy","1","52","","52035"
"","vo_asb","","","0","21","vo_asb_0524","0","52","","52036"
"1","2","0","0","1","11","是啊。所以在那之後，\n我們也很常用這個口號呢。\n像是要合力搬起重物時，\n或是三人要一起做體操時。","10","52","0","52037"
"","0","","","0","91","","0","52","","52038"
"1","2","0.2","","idle","3","talk2ToIdle","0","52","0","52039"
"","1","0.2","","","3","riri_talk","1","52","","52040"
"","vo_asb","","","0","21","vo_asb_0525","0","52","","52041"
"1","1","0","0","1","11","其他還有，戰鬥訓練中要配合步調時，\n還有走夜路要避開魔物的時候！","10","52","0","52042"
"","0","","","0","91","","0","52","","52043"
"","1","0.2","","","3","riri_idle_look","1","52","","52044"
"","2","0.2","","","3","idle_talkjoy2","1","52","","52045"
"","3","0.3","","","3","talk_precia","1","52","","52046"
"","vo_asb","","","0","21","vo_asb_0526","0","52","","52047"
"1","3","0","0","1","11","實用性，\n太高了。","10","52","0","52048"
"","0","","","0","91","","0","52","","52049"
"","52051","","","","101","","","52","","52050"
"0","1","0.3","","1","6","1","1","52","0","52051"
"0","2","0.3","","1","6","1","1","52","0","52052"
"0","3","0.3","","1","6","1","1","52","0","52053"
"0","0","0.3","","1","6","1","1","52","0","52054"
"1","1","","","0.3","2","-130","-230","52","","52055"
"1","2","","","0.3","2","120","-245","52","","52056"
"1","3","","","0.3","2","-290","-255","52","","52057"
"1","0","","","0.3","2","-100","0","52","","52058"
"","0","","","","22","0","","52","","52059"
"","0.4","","","","93","0","","52","","52060"
"-250","1","2.2","talk_joy","30","5","1","52","62","0","62001"
"0","1","0","","1","6","1","1","62","0","62002"
"0","0","1","black","50","5","0","29","62","0","62003"
"0","0","0","","1","6","1","1","62","0","62004"
"","0","","","","91","","","62","","62005"
"1","1","0.2","","1","6","1","1","62","0","62006"
"1","0","0.2","","1","6","1","1","62","0","62007"
"2","1","","","0.3","2","-20","-250","62","","62008"
"2","0","","","0.3","2","0","0","62","","62009"
"","0.6","","","","93","0","","62","","62010"
"","vo_asb","","","0","21","vo_asb_0621","0","62","","62011"
"1","1","0","0","1","11","演唱會結束後，\n慈樂之音的成員們來拜訪了。","10","62","0","62012"
"","0","","","0","91","","0","62","","62013"
"","1","0.2","","","3","wish_talk_joyR_riri","1","62","","62014"
"","vo_asb","","","0","21","vo_asb_0622","0","62","","62015"
"1","1","0","0","1","11","她們說「絕對要再一起跳舞」，\n還把手疊在我們的手上……","10","62","0","62016"
"","0","","","0","91","","0","62","","62017"
"","1","0.3","","","3","memoly_talk_joy","1","62","","62018"
"","vo_asb","","","0","21","vo_asb_0623","0","62","","62019"
"1","1","0","0","1","11","她們三位實在是又可愛又耀眼，\n我已經是，\n頭暈目眩了……","10","62","0","62020"
"","0","","","0","91","","0","62","","62021"
"","1","0.2","","","3","sad_talk2_dere","1","62","","62022"
"","vo_asb","","","0","21","vo_asb_0624","0","62","","62023"
"1","1","0","0","1","11","其實，與她們相疊的這隻手，\n我從那天以來一次都沒有洗過。","10","62","0","62024"
"","0","","","0","91","","0","62","","62025"
"","1","0.3","","","3","wish_talk_nervous_riri","1","62","","62026"
"","vo_asb","","","0","21","vo_asb_0625","0","62","","62027"
"1","1","0","0","1","11","雖然也不是沒感覺到\n璃亞用有點傻眼的視線\n看著我……\n但至少讓我再等半天……！","10","62","0","62028"
"","0","","","0","91","","0","62","","62029"
"","62031","","","","101","","","62","","62030"
"0","1","0.3","","1","6","1","1","62","0","62031"
"0","0","0.3","","1","6","1","1","62","0","62032"
"1","1","","","0.3","2","-120","-250","62","","62033"
"1","0","","","0.3","2","-100","0","62","","62034"
"","0","","","","22","0","","62","","62035"
"","0.4","","","","93","0","","62","","62036"
"-250","2","2.2","idle","30","5","1","52","72","0","72001"
"0","1","0","","1","6","1","1","72","0","72002"
"0","0","1","black","50","5","0","29","72","0","72003"
"0","0","0","","1","6","1","1","72","0","72004"
"","0","","","","91","","","72","","72005"
"1","1","0.2","","1","6","1","1","72","0","72006"
"1","0","0.2","","1","6","1","1","72","0","72007"
"2","1","","","0.3","2","-20","-250","72","","72008"
"2","0","","","0.3","2","0","0","72","","72009"
"","0.6","","","","93","0","","72","","72010"
"","1","0.2","","","3","clear_talk_normal","1","72","","72011"
"","vo_asb","","","0","21","vo_asb_0721","0","72","","72012"
"1","1","0","0","1","11","碧小姐好像很害羞。\n但不是有這樣的說法嗎？\n有共同話題的人，\n彼此更容易敞開心扉。","10","72","0","72013"
"","0","","","0","91","","0","72","","72014"
"","1","0.2","","","3","clear_kohon_talk_surprise","1","72","","72015"
"","vo_asb","","","0","21","vo_asb_0722","0","72","","72016"
"1","1","0","0","1","11","我的直覺是對的呢。\n雖然不像碧小姐那麼了解，\n但我也喜歡花草。\n我有種感覺，能跟這個人變得很要好。","10","72","0","72017"
"","0","","","0","91","","0","72","","72018"
"","1","0.2","","","3","clear_talk2_noShy","1","72","","72019"
"","vo_asb","","","0","21","vo_asb_0723","0","72","","72020"
"1","1","0","0","1","11","所以我啊，\n鼓起勇氣說出口了！\n「能跟妳當朋友嗎？」這句話。","10","72","0","72021"
"","0","","","0","91","","0","72","","72022"
"1","1","0.2","","clear_wish_talk_joy","3","talk2ToWish","0","72","0","72023"
"","vo_asb","","","0","21","vo_asb_0724","0","72","","72024"
"1","1","0","0","1","11","然後碧小姐她，\n臉就變得紅通通的，\n「嗯嗯！」地點頭如搗蒜。\n我當時心想，成功了！","10","72","0","72025"
"","0","","","0","91","","0","72","","72026"
"","1","0.2","","","3","clear_talk2_nervous","1","72","","72027"
"","vo_asb","","","0","21","vo_asb_0725","0","72","","72028"
"1","1","0","0","1","11","……但接下來，\n她說需要一點時間心理準備。\n而她的心理準備，\n可能會花上300年左右……","10","72","0","72029"
"","0","","","0","91","","0","72","","72030"
"1","1","0.2","","clear_kohon_loop_shy","3","talk2ToKohon","0","72","0","72031"
"","vo_asb","","","0","21","vo_asb_0726","0","72","","72032"
