226c015408ae5b15dbcb32083e96d8152a5bddd4f5c3379aa438aeb00a9b448e,9d0a71109f43f85eb881037090940077ddf171110635b7c79e65eea85a70176e,a08b91304b86a9c1788038195aaf519052a5ec594e9eeb9fed0a95aa5fcddd4e,f9a7b81975a41c25591c10bc948408f23ff4fc01d935d07403e5171b8b18eae2,3486f47ab55f203025b315fc1916c02e8dc59cded6cc3b8459599a77f7f7a9f8,31bfa15dc81fec773efb3c37b734ad91713032cb395925bccc0a61d0c31a85a0,f420731edc18cd571b8a64517a37ce5d4f562ee36517a3967506d0bcd0d3c3b9,3e9c4dafd01c80160e79dabe1fcd89478657ce5b1f833606ea8bb8dfbf74a4d2,ed2f1583beddacb704adef028eaf3e493097977c7737e6879119e5c45ed2962d,3aa4413997173891ec8351d8313f77de0d0912195968ab12430c4cdc2a4f710c,0987cc500e5d86bac8b4b16a0e6553b038447186c8dafb8571eb972d83e51809
"-850","31","","-180","3","1","3","11030004","1","","103"
"","91","","","0","","0","11030005","","","103"
"-180","2","","10","850","","<unit_id>","11030006","","","103"
"-180","2","","10","850","","1","11030007","","","103"
"-180","33","","10","850","","3","11030008","","","103"
"","23","","","se_fpc_water_random","","se_10053800","11510001","","","151"
"22","1","cmn_swm_flutterKick","-850","<unit_id>","1.75","1","11510002","-180","0","151"
"-850","31","","-180","1","1","1","11510003","1","","151"
"","91","","","0","","0","11510004","","","151"
"-180","2","","10","1050","","<unit_id>","11510005","","","151"
"-180","33","","10","1050","","1","11510006","","","151"
"","23","","","se_fpc_water_random","","se_10053800","12010001","","","201"
"22","1","cmn_swm_breastStroke","-850","<unit_id>","1.75","1","12010002","-180","0","201"
"-850","31","","-180","2","1","2","12010003","1","","201"
"","91","","","0","","0","12010004","","","201"
"-180","2","","10","850","","<unit_id>","12010005","","","201"
"-180","33","","10","850","","2","12010006","","","201"
"","23","","","se_fpc_water_random","","se_10053800","12510001","","","251"
"22","1","cmn_swm_diving","-850","<unit_id>","1.75","1","12510002","-180","0","251"
"-850","31","","-180","9","1","9","12510003","1","","251"
"","91","","","0","","0","12510004","","","251"
"-180","2","","10","850","","<unit_id>","12510005","","","251"
"-180","33","","10","850","","9","12510006","","","251"
"","23","","","se_fpc_water_random","","se_10053800","13010001","","","301"
"23","1","cmn_swm_flutterKick_floatRing","-850","<unit_id>","1.75","1","13010002","-180","0","301"
"22","5","cmn_swm_flutterKick_floatRing_pink","-850","1","1.75","1","13010003","-180","0","301"
"-850","31","","-180","1","1","1","13010004","1","","301"
"","91","","","0","","0","13010005","","","301"
"-180","2","","10","1050","","<unit_id>","13010006","","","301"
"-180","2","","10","1050","","1","13010007","","","301"
"-180","33","","10","1050","","1","13010008","","","301"
"","23","","","se_fpc_water_random","","se_10053800","13020001","","","302"
"23","1","cmn_swm_flutterKick_floatRing","-850","<unit_id>","1.75","1","13020002","-180","0","302"
"22","5","cmn_swm_flutterKick_floatRing_blue","-850","1","1.75","1","13020003","-180","0","302"
"-850","31","","-180","1","1","1","13020004","1","","302"
"","91","","","0","","0","13020005","","","302"
"-180","2","","10","1050","","<unit_id>","13020006","","","302"
"-180","2","","10","1050","","1","13020007","","","302"
"-180","33","","10","1050","","1","13020008","","","302"
"","23","","","se_fpc_water_random","","se_10053800","13030001","","","303"
"23","1","cmn_swm_flutterKick_floatRing","-850","<unit_id>","1.75","1","13030002","-180","0","303"
"22","5","cmn_swm_flutterKick_floatRing","-850","1","1.75","1","13030003","-180","0","303"
"-850","31","","-180","1","1","1","13030004","1","","303"
"","91","","","0","","0","13030005","","","303"
"-180","2","","10","1050","","<unit_id>","13030006","","","303"
"-180","2","","10","1050","","1","13030007","","","303"
"-180","33","","10","1050","","1","13030008","","","303"
"","23","","","se_fpc_water_random","","se_10053800","13510001","","","351"
"23","1","cmn_swm_flutterKick_floatRing","-850","<unit_id>","1.75","1","13510002","-180","0","351"
"22","5","cmn_swm_flutterKick_floatBoad","-850","1","1.75","1","13510003","-180","0","351"
"-850","31","","-180","1","1","1","13510004","1","","351"
"","91","","","0","","0","13510005","","","351"
"-180","2","","10","1050","","<unit_id>","13510006","","","351"
"-180","2","","10","1050","","1","13510007","","","351"
"-180","33","","10","1050","","1","13510008","","","351"
"","23","","","se_fpc_water_random","","se_10053800","13520001","","","352"
"23","1","cmn_swm_flutterKick_floatRing","-850","<unit_id>","1.75","1","13520002","-180","0","352"
"22","5","cmn_swm_flutterKick_floatBoad_blue","-850","1","1.75","1","13520003","-180","0","352"
"-850","31","","-180","1","1","1","13520004","1","","352"
"","91","","","0","","0","13520005","","","352"
"-180","2","","10","1050","","<unit_id>","13520006","","","352"
"-180","2","","10","1050","","1","13520007","","","352"
"-180","33","","10","1050","","1","13520008","","","352"
"","23","","","se_fpc_water_random","","se_10053800","14010001","","","401"
"22","1","cmn_float","-850","<unit_id>","1.75","1","14010002","-180","0","401"
"-850","31","","-180","6","1","6","14010003","1","","401"
"","91","","","0","","0","14010004","","","401"
"-180","2","","10","1050","","<unit_id>","14010005","","","401"
"-180","33","","10","1050","","6","14010006","","","401"
"","23","","","se_fpc_water_random","","se_10053800","14020001","","","402"
"22","1","cmn_float_4","-850","<unit_id>","1.75","1","14020002","-180","0","402"
"-850","31","","-180","6","1","6","14020003","1","","402"
"","91","","","0","","0","14020004","","","402"
"-180","2","","10","1050","","<unit_id>","14020005","","","402"
"-180","33","","10","1050","","6","14020006","","","402"
"","23","","","se_fpc_water_random","","se_10053800","14510001","","","451"
"22","1","cmn_crawl","-850","<unit_id>","1.75","1","14510002","-180","0","451"
"-850","31","","-180","1","1","1","14510003","1","","451"
"","91","","","0","","0","14510004","","","451"
"-180","2","","10","1050","","<unit_id>","14510005","","","451"
"-180","33","","10","1050","","1","14510006","","","451"
"","23","","","se_fpc_water_random","","se_10053800","15010001","","","501"
"45","1","cmn_surfing","-850","<unit_id>","1.75","1","15010002","-250","0","501"
"44","5","cmn_surfing","-850","6","1.75","6","15010003","-250","0","501"
"-850","31","","-250","11","1","11","15010004","1","","501"
"","91","","","0","","0","15010005","","","501"
"-250","2","","6","1800","","<unit_id>","15010006","","","501"
"-250","2","","6","1800","","6","15010007","","","501"
"-250","33","","6","1800","","11","15010008","","","501"
"","23","","","se_10053800_surfing_wave","","se_10053800","15010009","","","501"
"","23","","","se_fpc_water_random","","se_10053800","18510001","","","851"
"45","1","cmn_surfing","-850","107511","1.75","1","18510002","-125","0","851"
"45","1","cmn_surfing","-1100","107611","1.75","1","18510003","-250","0","851"
"45","1","cmn_surfing","-1350","107811","1.75","1","18510004","-125","0","851"
"44","5","cmn_surfing","-850","1","1.75","6","18510005","-125","0","851"
"44","5","cmn_surfing","-1100","2","1.75","6","18510006","-250","0","851"
"44","5","cmn_surfing","-1350","3","1.75","6","18510007","-125","0","851"
"-850","31","","-125","1","1","11","18510008","1","","851"
"-1100","31","","-250","2","1","11","18510009","1","","851"
"-1350","31","","-125","3","1","11","18510010","1","","851"
"-125","2","","6","2350","","107511","18510011","","","851"
"-250","2","","6","2100","","107611","18510012","","","851"
"-125","2","","6","1850","","107811","18510013","","","851"
"-125","2","","6","2350","","1","18510014","","","851"
"-250","2","","6","2100","","2","18510015","","","851"
"-125","2","","6","1850","","3","18510016","","","851"
"-125","33","","6","2350","","1","18510017","","","851"
"-250","33","","6","2100","","2","18510018","","","851"
"-125","33","","6","1850","","3","18510019","","","851"
"","23","","","se_10053800_surfing_wave","","se_10053800","18510020","","","851"
"","93","","","","","0.3","18510021","","","851"
"","21","","0","vo_fpc_85101","","vo_fpc","18510022","","","851"
"","23","","","se_fpc_water_random","","se_10053800","18520001","","","852"
"13","1","cmn_swm_flutterKick_floatRing","-850","122411","1.75","1","18520002","-125","0","852"
"33","1","cmn_swm_flutterKick_floatRing","-1100","122511","1.75","1","18520003","-250","0","852"
"13","1","cmn_swm_flutterKick_floatRing","-1350","122611","1.75","1","18520004","-125","0","852"
"12","5","cmn_swm_flutterKick_floatRing","-850","1","1.75","1","18520005","-125","0","852"
"32","5","cmn_swm_flutterKick_floatRing_blue","-1100","2","1.75","1","18520006","-250","0","852"
"12","5","cmn_swm_flutterKick_floatRing_pink","-1350","3","1.75","1","18520007","-125","0","852"
"-850","31","","-125","1","1","7","18520008","1","","852"
"-1100","31","","-250","2","1","1","18520009","1","","852"
"-1350","31","","-125","3","1","7","18520010","1","","852"
"-125","2","","10","1750","","122411","18520011","","","852"
"-250","2","","10","1500","","122511","18520012","","","852"
"-125","2","","10","1250","","122611","18520013","","","852"
"-125","2","","10","1750","","1","18520014","","","852"
"-250","2","","10","1500","","2","18520015","","","852"
"-125","2","","10","1250","","3","18520016","","","852"
"-125","33","","10","1750","","1","18520017","","","852"
"-250","33","","10","1500","","2","18520018","","","852"
"-125","33","","10","1250","","3","18520019","","","852"
"","23","","","se_fpc_water_random","","se_10053800","18530001","","","853"
"12","1","cmn_swm_breastStroke","-850","117211","1.75","1","18530002","-125","0","853"
"32","1","cmn_swm_breastStroke","-1100","117311","1.75","1","18530003","-250","0","853"
"12","1","cmn_swm_breastStroke","-1350","117411","1.75","1","18530004","-125","0","853"
"-850","31","","-125","1","1","2","18530005","1","","853"
"-1100","31","","-250","2","1","2","18530006","1","","853"
"-1350","31","","-125","3","1","2","18530007","1","","853"
"-125","2","","10","1750","","117211","18530008","","","853"
"-250","2","","10","1500","","117311","18530009","","","853"
"-125","2","","10","1250","","117411","18530010","","","853"
"-125","33","","10","1750","","1","18530011","","","853"
"-250","33","","10","1500","","2","18530012","","","853"
"-125","33","","10","1250","","3","18530013","","","853"
"","23","","","se_fpc_water_random","","se_10053800","18540001","","","854"
"13","1","cmn_swm_flutterKick_floatRing","-850","122711","1.75","1","18540002","-125","0","854"
"33","1","cmn_swm_flutterKick_floatRing","-1100","122811","1.75","1","18540003","-250","0","854"
"13","1","cmn_swm_flutterKick_floatRing","-1350","122911","1.75","1","18540004","-125","0","854"
"12","5","cmn_swm_flutterKick_floatBoad","-850","1","1.75","1","18540005","-125","0","854"
"32","5","cmn_swm_flutterKick_floatBoad_blue","-1100","2","1.75","1","18540006","-250","0","854"
"12","5","cmn_swm_flutterKick_floatBoad","-1350","3","1.75","1","18540007","-125","0","854"
"-850","31","","-125","1","1","7","18540008","1","","854"
"-1100","31","","-250","2","1","1","18540009","1","","854"
"-1350","31","","-125","3","1","7","18540010","1","","854"
"-125","2","","10","1750","","122711","18540011","","","854"
"-250","2","","10","1500","","122811","18540012","","","854"
"-125","2","","10","1250","","122911","18540013","","","854"
"-125","2","","10","1750","","1","18540014","","","854"
"-250","2","","10","1500","","2","18540015","","","854"
"-125","2","","10","1250","","3","18540016","","","854"
"-125","33","","10","1750","","1","18540017","","","854"
"-250","33","","10","1500","","2","18540018","","","854"
"-125","33","","10","1250","","3","18540019","","","854"
"","23","","","se_fpc_water_random","","se_10053800","18550001","","","855"
"13","1","cmn_swm_flutterKick_floatRing","-850","113411","1.75","1","18550002","-125","0","855"
"33","1","cmn_swm_flutterKick_floatRing","-1100","113511","1.75","1","18550003","-250","0","855"
"12","5","cmn_swm_flutterKick_floatBoad","-850","1","1.75","1","18550004","-125","0","855"
"32","5","cmn_swm_flutterKick_floatBoad_blue","-1100","2","1.75","1","18550005","-250","0","855"
"-850","31","","-125","1","1","7","18550006","1","","855"
"-1100","31","","-250","2","1","1","18550007","1","","855"
"-125","2","","10","1750","","113411","18550008","","","855"
"-250","2","","10","1500","","113511","18550009","","","855"
"-125","2","","10","1750","","1","18550010","","","855"
"-250","2","","10","1500","","2","18550011","","","855"
"-125","33","","10","1750","","1","18550012","","","855"
"-250","33","","10","1500","","2","18550013","","","855"
"","23","","","se_fpc_water_random","","se_10053800","18560001","","","856"
"13","1","cmn_swm_tread","-850","110311","1.75","1","18560002","-125","0","856"
"33","1","cmn_swm_tread","-1100","107711","1.75","1","18560003","-250","0","856"
"12","5","cmn_swm_tread_pink","-850","1","1.75","1","18560004","-125","0","856"
"32","5","cmn_swm_tread","-1100","2","1.75","1","18560005","-250","0","856"
"-850","31","","-125","1","1","13","18560006","1","","856"
"-1100","31","","-250","2","1","3","18560007","1","","856"
"-125","2","","13.5","1750","","110311","18560008","","","856"
"-250","2","","13.5","1500","","107711","18560009","","","856"
"-125","2","","13.5","1750","","1","18560010","","","856"
"-250","2","","13.5","1500","","2","18560011","","","856"
"-125","33","","13.5","1750","","1","18560012","","","856"
"-250","33","","13.5","1500","","2","18560013","","","856"
"","23","","","se_fpc_water_random","","se_10053800","18570001","","","857"
"13","1","cmn_swm_tread","-850","110411","1.75","1","18570002","-125","0","857"
"33","1","cmn_swm_tread","-1100","110511","1.75","1","18570003","-250","0","857"
"13","1","cmn_swm_tread","-1350","115711","1.75","1","18570004","-125","0","857"
"33","1","cmn_boat_relax","-1600","110611","1.75","1","18570005","-250","0","857"
"12","5","cmn_swm_tread_blue","-850","1","1.75","1","18570006","-125","0","857"
"32","5","cmn_swm_tread","-1100","2","1.75","1","18570007","-250","0","857"
"12","5","cmn_swm_tread_pink","-1350","3","1.75","1","18570008","-125","0","857"
"32","5","cmn_boat_idle_l","-1600","4","1.75","2","18570009","-250","0","857"
"-850","31","","-125","1","1","13","18570010","1","","857"
"-1100","31","","-250","2","1","3","18570011","1","","857"
"-1350","31","","-125","3","1","13","18570012","1","","857"
"-1600","31","","-250","4","1","116","18570013","1","","857"
"-125","2","","13.5","1750","","110411","18570014","","","857"
"-250","2","","13.5","1500","","110511","18570015","","","857"
"-125","2","","13.5","1250","","115711","18570016","","","857"
"-250","2","","13.5","1000","","110611","18570017","","","857"
"-125","2","","13.5","1750","","1","18570018","","","857"
"-250","2","","13.5","1500","","2","18570019","","","857"
"-125","2","","13.5","1250","","3","18570020","","","857"
"-250","2","","13.5","1000","","4","18570021","","","857"
"-125","33","","13.5","1750","","1","18570022","","","857"
"-250","33","","13.5","1500","","2","18570023","","","857"
"-125","33","","13.5","1250","","3","18570024","","","857"
"-250","33","","13.5","1000","","4","18570025","","","857"
"","23","","","se_fpc_water_random","","se_10053800","18580001","","","858"
"13","1","cmn_swm_tread","-850","126711","1.75","1","18580002","-125","0","858"
"13","1","cmn_swm_tread","-850","126711","1.75","1","18580003","-125","0","858"
"33","1","cmn_swm_tread","-1100","126811","1.75","1","18580004","-250","0","858"
"13","1","cmn_swm_tread","-1350","108011","1.75","1","18580005","-125","0","858"
"33","1","cmn_boat_cat","-1600","107911","1.75","1","18580006","-250","0","858"
"12","5","cmn_swm_tread_pink","-850","1","1.75","1","18580007","-125","0","858"
"32","5","cmn_swm_tread","-1100","2","1.75","1","18580008","-250","0","858"
"12","5","cmn_swm_tread_blue","-1350","3","1.75","1","18580009","-125","0","858"
"32","5","cmn_boat_idle_l","-1600","4","1.75","2","18580010","-250","0","858"
"-850","31","","-125","1","1","13","18580011","1","","858"
"-1100","31","","-250","2","1","3","18580012","1","","858"
"-1350","31","","-125","3","1","13","18580013","1","","858"
"-1600","31","","-250","4","1","116","18580014","1","","858"
"-125","2","","13.5","1750","","126711","18580015","","","858"
"-250","2","","13.5","1500","","126811","18580016","","","858"
"-125","2","","13.5","1250","","108011","18580017","","","858"
"-250","2","","13.5","1000","","107911","18580018","","","858"
"-125","2","","13.5","1750","","1","18580019","","","858"
"-250","2","","13.5","1500","","2","18580020","","","858"
"-125","2","","13.5","1250","","3","18580021","","","858"
"-250","2","","13.5","1000","","4","18580022","","","858"
"-125","33","","13.5","1750","","1","18580023","","","858"
"-250","33","","13.5","1500","","2","18580024","","","858"
"-125","33","","13.5","1250","","3","18580025","","","858"
"-250","33","","13.5","1000","","4","18580026","","","858"
"","23","","","se_fpc_water_random","","se_10053800","18590001","","","859"
"45","1","cmn_surfing","-850","113111","1.75","1","18590002","-125","0","859"
"45","1","cmn_surfing","-1100","113211","1.75","1","18590003","-250","0","859"
"45","1","cmn_surfing","-1350","113311","1.75","1","18590004","-125","0","859"
"45","1","cmn_surfing","-1600","117011","1.75","1","18590005","-250","0","859"
"44","5","cmn_surfing","-850","1","1.75","6","18590006","-125","0","859"
"44","5","cmn_surfing","-1100","2","1.75","6","18590007","-250","0","859"
"44","5","cmn_surfing","-1350","3","1.75","6","18590008","-125","0","859"
"44","5","cmn_surfing","-1600","4","1.75","6","18590009","-250","0","859"
"-850","31","","-125","1","1","11","18590010","1","","859"
"-1100","31","","-250","2","1","11","18590011","1","","859"
"-1350","31","","-125","3","1","11","18590012","1","","859"
"-1600","31","","-250","4","1","11","18590013","1","","859"
"-125","2","","6","2350","","113111","18590014","","","859"
"-250","2","","6","2100","","113211","18590015","","","859"
"-125","2","","6","1850","","113311","18590016","","","859"
"-250","2","","6","1600","","117011","18590017","","","859"
"-125","2","","6","2350","","1","18590018","","","859"
"-250","2","","6","2100","","2","18590019","","","859"
"-125","2","","6","1850","","3","18590020","","","859"
"-250","2","","6","1600","","4","18590021","","","859"
"-125","33","","6","2350","","1","18590022","","","859"
"-250","33","","6","2100","","2","18590023","","","859"
"-125","33","","6","1850","","3","18590024","","","859"
"-250","33","","6","1600","","4","18590025","","","859"
"","23","","","se_10053800_surfing_wave","","se_10053800","18590026","","","859"
"","93","","","","","0.3","18590027","","","859"
"","21","","0","vo_fpc_85901","","vo_fpc","18590028","","","859"
"","23","","","se_fpc_water_random","","se_10053800","18600001","","","860"
"23","1","cmn_boat_relax_l","-850","110011","1.75","1","18600002","-180","0","860"
"23","1","cmn_boat_relax","-1200","110111","1.75","1","18600003","-180","0","860"
"22","5","cmn_boat_idle_blue","-850","1","1.75","2","18600004","-180","0","860"
"22","5","cmn_boat_idle_l","-1200","2","1.75","2","18600005","-180","0","860"
"-850","31","","-180","1","1","116","18600006","1","","860"
"-1200","31","","-180","2","1","116","18600007","1","","860"
"-180","2","","13.5","1750","","110011","18600008","","","860"
"-180","2","","13.5","1400","","110111","18600009","","","860"
"-180","2","","13.5","1750","","1","18600010","","","860"
"-180","2","","13.5","1400","","2","18600011","","","860"
"-180","33","","13.5","1750","","1","18600012","","","860"
"-180","33","","13.5","1400","","2","18600013","","","860"
"","93","","","","","2.7","18600014","","","860"
"","21","","0","vo_fpc_86001","","vo_fpc","18600015","","","860"
"","23","","","se_fpc_water_random","","se_10053800","18610001","","","861"
"13","1","cmn_swm_tread","-850","129511","1.75","1","18610002","-125","0","861"
"33","1","cmn_swm_tread","-1100","129411","1.75","1","18610003","-250","0","861"
"13","1","cmn_swm_tread","-1350","129311","1.75","1","18610004","-125","0","861"
"12","5","cmn_swm_tread_pink","-850","1","1.75","1","18610005","-125","0","861"
"32","5","cmn_swm_tread_blue","-1100","2","1.75","1","18610006","-250","0","861"
"12","5","cmn_swm_tread","-1350","3","1.75","1","18610007","-125","0","861"
"-850","31","","-125","1","1","13","18610008","1","","861"
"-1100","31","","-250","2","1","3","18610009","1","","861"
"-1350","31","","-125","3","1","13","18610010","1","","861"
"-125","2","","13.5","1750","","129511","18610011","","","861"
"-250","2","","13.5","1500","","129411","18610012","","","861"
"-125","2","","13.5","1250","","129311","18610013","","","861"
"-125","2","","13.5","1750","","1","18610014","","","861"
"-250","2","","13.5","1500","","2","18610015","","","861"
"-125","2","","13.5","1250","","3","18610016","","","861"
"-125","33","","13.5","1750","","1","18610017","","","861"
"-250","33","","13.5","1500","","2","18610018","","","861"
"-125","33","","13.5","1250","","3","18610019","","","861"
"","23","","","se_fpc_water_random","","se_10053800","18620001","","","862"
"13","1","cmn_swm_tread","-850","126711","1.75","1","18620002","-125","0","862"
"33","1","cmn_swm_tread","-1100","126811","1.75","1","18620003","-250","0","862"
"22","5","02_neneka_floatRing","-1350","21","1.66","21","18620004","-180","0","862"
"12","5","cmn_swm_tread","-850","1","1.75","1","18620005","-125","0","862"
"32","5","cmn_swm_tread_blue","-1100","2","1.75","1","18620006","-250","0","862"
"-850","31","","-125","1","1","13","18620007","1","","862"
"-1100","31","","-250","2","1","3","18620008","1","","862"
"-1350","31","","-180","3","1","102","18620009","1","","862"
"-125","2","","13.5","1750","","126711","18620010","","","862"
"-250","2","","13.5","1500","","126811","18620011","","","862"
"-180","2","","13.5","1250","","21","18620012","","","862"
"-125","2","","13.5","1750","","1","18620013","","","862"
"-250","2","","13.5","1500","","2","18620014","","","862"
"-125","33","","13.5","1750","","1","18620015","","","862"
"-250","33","","13.5","1500","","2","18620016","","","862"
"-180","33","","13.5","1250","","3","18620017","","","862"
"","23","","","se_fpc_water_random","","se_10053800","18630001","","","863"
"22","1","cmn_float","-1100","126911","1.75","1","18630002","-180","1","863"
"12","1","cmn_float","-1350","127011","1.75","1","18630003","-125","0","863"
"22","1","cmn_float","-1600","127111","1.75","1","18630004","-180","0","863"
"-1070","31","","-180","2","1","6","18630005","1","","863"
"-1350","31","","-125","3","1","6","18630006","1","","863"
"-1600","31","","-180","4","1","6","18630007","1","","863"
"-180","2","","13.5","1500","","126911","18630008","","","863"
"-125","2","","13.5","1250","","127011","18630009","","","863"
"-180","2","","13.5","1000","","127111","18630010","","","863"
"-180","33","","13.5","1530","","2","18630011","","","863"
"-125","33","","13.5","1250","","3","18630012","","","863"
"-180","33","","13.5","1000","","4","18630013","","","863"
"","93","","","","","2.3","18630014","","","863"
"","21","","0","vo_fpc_86301","","vo_fpc","18630015","","","863"
"","23","","","se_fpc_water_random","","se_10053800","18640001","","","864"
"45","1","cmn_surfing","-850","107811","1.75","1","18640002","-125","0","864"
"45","1","cmn_surfing","-1100","110011","1.75","1","18640003","-250","0","864"
"44","5","cmn_surfing","-850","1","1.75","6","18640004","-125","0","864"
"44","5","cmn_surfing","-1100","2","1.75","6","18640005","-250","0","864"
"-850","31","","-125","1","1","11","18640006","1","","864"
"-1100","31","","-250","2","1","11","18640007","1","","864"
"-125","2","","6","2350","","107811","18640008","","","864"
"-250","2","","6","2100","","110011","18640009","","","864"
"-125","2","","6","2350","","1","18640010","","","864"
"-250","2","","6","2100","","2","18640011","","","864"
"-125","33","","6","2350","","1","18640012","","","864"
"-250","33","","6","2100","","2","18640013","","","864"
"","23","","","se_10053800_surfing_wave","","se_10053800","18640014","","","864"
"","93","","","","","0.2","18640015","","","864"
"","21","","0","vo_fpc_86401","","vo_fpc","18640016","","","864"
"","23","","","se_fpc_water_random","","se_10053800","18650001","","","865"
"13","1","cmn_swm_flutterKick_floatRing","-850","110311","1.75","1","18650002","-125","0","865"
"33","1","cmn_swm_flutterKick_floatRing","-1100","113111","1.75","1","18650003","-250","0","865"
"12","5","cmn_swm_flutterKick_floatRing_pink","-850","1","1.75","1","18650004","-125","0","865"
"32","5","cmn_swm_flutterKick_floatRing_blue","-1100","2","1.75","1","18650005","-250","0","865"
"-850","31","","-125","1","1","7","18650006","1","","865"
"-1100","31","","-250","2","1","1","18650007","1","","865"
"-125","2","","10","1750","","110311","18650008","","","865"
"-250","2","","10","1500","","113111","18650009","","","865"
"-125","2","","10","1750","","1","18650010","","","865"
"-250","2","","10","1500","","2","18650011","","","865"
"-125","33","","10","1750","","1","18650012","","","865"
"-250","33","","10","1500","","2","18650013","","","865"
"","23","","","se_fpc_water_random","","se_10053800","18660001","","","866"
"13","1","cmn_swm_flutterKick_floatRing","-850","113411","1.75","1","18660002","-125","0","866"
"33","1","cmn_swm_flutterKick_floatRing","-1100","115711","1.75","1","18660003","-250","0","866"
"12","5","cmn_swm_flutterKick_floatRing_pink","-850","1","1.75","1","18660004","-125","0","866"
"32","5","cmn_swm_flutterKick_floatRing_blue","-1100","2","1.75","1","18660005","-250","0","866"
"-850","31","","-125","1","1","7","18660006","1","","866"
"-1100","31","","-250","2","1","1","18660007","1","","866"
"-125","2","","10","1750","","113411","18660008","","","866"
"-250","2","","10","1500","","115711","18660009","","","866"
"-125","2","","10","1750","","1","18660010","","","866"
"-250","2","","10","1500","","2","18660011","","","866"
"-125","33","","10","1750","","1","18660012","","","866"
"-250","33","","10","1500","","2","18660013","","","866"
"","23","","","se_fpc_water_random","","se_10053800","18670001","","","867"
"13","1","cmn_swm_tread","-850","113211","1.75","1","18670002","-125","0","867"
"33","1","cmn_swm_tread","-1100","127111","1.75","1","18670003","-250","0","867"
"12","5","cmn_swm_tread_pink","-850","1","1.75","1","18670004","-125","0","867"
"32","5","cmn_swm_tread_blue","-1100","2","1.75","1","18670005","-250","0","867"
"-850","31","","-125","1","1","13","18670006","1","","867"
"-1100","31","","-250","2","1","3","18670007","1","","867"
"-125","2","","13.5","1750","","113211","18670008","","","867"
"-250","2","","13.5","1500","","127111","18670009","","","867"
"-125","2","","13.5","1750","","1","18670010","","","867"
"-250","2","","13.5","1500","","2","18670011","","","867"
"-125","33","","13.5","1750","","1","18670012","","","867"
"-250","33","","13.5","1500","","2","18670013","","","867"
"","23","","","se_fpc_water_random","","se_10053800","18680001","","","868"
"12","1","cmn_swm_diving","-850","117011","1.75","1","18680002","-125","0","868"
"22","1","cmn_swm_diving","-1100","117111","1.75","1","18680003","-180","0","868"
"-850","31","","-125","1","1","9","18680004","1","","868"
"-1100","31","","-180","2","1","9","18680005","1","","868"
"-125","2","","13.5","1750","","117011","18680006","","","868"
"-180","2","","13.5","1500","","117111","18680007","","","868"
"-125","33","","13.5","1750","","1","18680008","","","868"
"-180","33","","13.5","1500","","2","18680009","","","868"
"","23","","","se_fpc_water_random","","se_10053800","18690001","","","869"
"13","1","cmn_swm_flutterKick_floatRing","-850","110511","1.75","1","18690002","-125","0","869"
"33","1","cmn_swm_flutterKick_floatRing","-1100","110011","1.75","1","18690003","-250","0","869"
"12","5","cmn_swm_flutterKick_floatBoad","-850","1","1.75","1","18690004","-125","0","869"
"32","5","cmn_swm_flutterKick_floatBoad_blue","-1100","2","1.75","1","18690005","-250","0","869"
"-850","31","","-125","1","1","7","18690006","1","","869"
