67179e11f4ae4c3844cc0e78d1475197ec43b4ab5c962f0f1a0f588afc5f3fe4,f52e3261abdebd0493e043f362d6118fdaf3a86c785e58dc7fdf8f99630ea42d,f905bece1f8185ba7349a05b0c0ef2cfa7ebb97e6f4a3645d8c88f45d2c97ba3,606d472965fcf1ca29a2320f00f4d0fb6079c9a2e907e063267e89eaff093266,e72dd3e5306e3d32a615e6898e3c7ba93cee4164237fdcbe0aee0ecee713314b,fd113dd2a93c4de286a508b1947301b2082c079c647ffcd393197dbc60281b0e,4bb8f612fe3b778ed3fdd3ff413f32f548aed684ef95a4c38781fd1da763ca29,c2d56f3f48c49d510a65eae20280b4f79d68b388d3fe3a68e52a16fd3b2b8ea9,9a160b0c98dbc4536b408980805c1904837ae8645cb00f6863b275954c36a2d3,a042aaceb38a9fea7449974a67b0b8bf0d3621f48717eb33036e5c304fbc1d99,133227d84e8c1389e80180d914a0bfcb806aeb1b362be43b58e9402441968715
"","","112511","1010037","1","","1","","0","omp_idle_normal","3"
"","0","vo_omp_7001","1010038","1","","0","","","vo_omp_7001_006","21"
"","1","112511","1010039","1","1","10","","","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……","11"
"","","0","1010040","1","","","","","","91"
"","","0.4","1010041","1","","","","","","93"
"omp_idle_normal","-180","1","1020001","2","-195","1600","0","1.8","112511","1"
"omp_talk_normal","20","1","1020002","2","-190","1500","1","1.8","112411","1"
"omp_idle_normal","220","1","1020003","2","-205","1600","1","1.8","112611","1"
"","0","1","1020004","2","1","0","","1","1","31"
"","","1","1020005","2","","","","","","93"
"","0","vo_omp_7002","1020006","2","","0","","","vo_omp_7002_000","21"
"","1","112411","1020007","2","1","10","","","貪吃佩可的魔物料理，\n真的很美味呢♪","11"
"","","0","1020008","2","","","","","","91"
"","","112411","1020009","2","","","","","0","4"
"","","112411","1020010","2","","1","","0","omp_idle_normal","3"
"","","112611","1020011","2","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7002","1020012","2","","0","","","vo_omp_7002_001","21"
"","1","112611","1020013","2","1","10","","","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！","11"
"","","0","1020014","2","","","","","","91"
"","","112611","1020015","2","","1","","0","omp_idle_joy1","3"
"","","112411","1020016","2","","1","","0","omp_talk_surprise1","3"
"","0","vo_omp_7002","1020017","2","","0","","","vo_omp_7002_002","21"
"","1","112411","1020018","2","1","10","","","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！","11"
"","","0","1020019","2","","","","","","91"
"","","112411","1020020","2","","","","","1","4"
"","","112411","1020021","2","","1","","0","omp_idle_surprise1","3"
"","","112511","1020022","2","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7002","1020023","2","","0","","","vo_omp_7002_003","21"
"","1","112511","1020024","2","1","10","","","味道超乎想像呢，\n我是指好的方面。","11"
"","","0","1020025","2","","","","","","91"
"","","112511","1020026","2","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7002","1020027","2","","0","","","vo_omp_7002_004","21"
"","1","112511","1020028","2","1","10","","","可是在料理魔物的時候，\n嗯，該怎麼說……","11"
"","","0","1020029","2","","","","","","91"
"","","112511","1020030","2","","1","","0","omp_idle_sad","3"
"","","112411","1020031","2","","1","","0","omp_talk_bitter","3"
"","0","vo_omp_7002","1020032","2","","0","","","vo_omp_7002_005","21"
"","1","112411","1020033","2","1","10","","","……很、很不得了呢！","11"
"","","0","1020034","2","","","","","","91"
"","","112411","1020035","2","","1","","0","omp_idle_bitter","3"
"","","112611","1020036","2","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7002","1020037","2","","0","","","vo_omp_7002_006","21"
"","1","112611","1020038","2","1","10","","","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～","11"
"","","0","1020039","2","","","","","","91"
"","","112611","1020040","2","","1","","0","omp_idle_joy1","3"
"","","112511","1020041","2","","1","","0","omp_talk_bitter","3"
"","0","vo_omp_7002","1020042","2","","0","","","vo_omp_7002_007","21"
"","1","112511","1020043","2","1","10","","","冒險真是深奧呢……","11"
"","","0","1020044","2","","","","","","91"
"","","0.4","1020045","2","","","","","","93"
"omp_talk_joy1","-140","1","1030001","3","-190","1500","0","1.8","112411","1"
"omp_idle_normal","140","1","1030002","3","-190","1500","1","1.8","112611","1"
"","0","1","1030003","3","1","0","","1","1","31"
"","","1","1030004","3","","","","","","93"
"","0","vo_omp_7003","1030005","3","","0","","","vo_omp_7003_000","21"
"","1","112411","1030006","3","1","10","","","未央！\n這附近有各式各樣的魔物，\n好有趣呢！","11"
"","","0","1030007","3","","","","","","91"
"","","112411","1030008","3","","1","","0","omp_psn_20","3"
"","","112611","1030009","3","","1","","0","omp_psn_19","3"
"","0","vo_omp_7003","1030010","3","","0","","","vo_omp_7003_001","21"
"","1","112611","1030011","3","1","10","","","有、有趣嗎～？","11"
"","","0","1030012","3","","","","","","91"
"","","112611","1030013","3","","1","","0","omp_psn_18","3"
"","","112411","1030014","3","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7003","1030015","3","","0","","","vo_omp_7003_002","21"
"","1","112411","1030016","3","1","10","","","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！","11"
"","","0","1030017","3","","","","","","91"
"","","112411","1030018","3","","1","","0","omp_psn_20","3"
"","","112611","1030019","3","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7003","1030020","3","","0","","","vo_omp_7003_003","21"
"","1","112611","1030021","3","1","10","","","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？","11"
"","","1.5","1030022","3","","","","","1","93"
"","","112611","1030023","3","","1","","0.2","omp_psn_19","3"
"","","1030021","1030024","3","","","","","","91"
"","","112611","1030025","3","","1","","0","omp_psn_18","3"
"","","112411","1030026","3","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7003","1030027","3","","0","","","vo_omp_7003_004","21"
"","1","112411","1030028","3","1","10","","","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？","11"
"","","0","1030029","3","","","","","","91"
"","","112411","1030030","3","","1","","0","omp_psn_20","3"
"","","112611","1030031","3","","1","","0","omp_psn_19","3"
"","0","vo_omp_7003","1030032","3","","0","","","vo_omp_7003_005","21"
"","1","112611","1030033","3","1","10","","","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……","11"
"","","0","1030034","3","","","","","","91"
"","","112611","1030035","3","","1","","0","omp_psn_18","3"
"","","112411","1030036","3","","1","","0","omp_talk_joy2","3"
"","0","vo_omp_7003","1030037","3","","0","","","vo_omp_7003_006","21"
"","1","112411","1030038","3","1","10","","","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪","11"
"","","0","1030039","3","","","","","","91"
"","","112411","1030040","3","","1","","0","omp_psn_20","3"
"","","112611","1030041","3","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7003","1030042","3","","0","","","vo_omp_7003_007","21"
"","1","112611","1030043","3","1","10","","","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！","11"
"","","6","1030044","3","","","","","1","93"
"","","112611","1030045","3","","1","","0.2","omp_talk_joy2","3"
"","","1030043","1030046","3","","","","","","91"
"","","112611","1030047","3","","1","","0","omp_idle_joy2","3"
"","","112411","1030048","3","","1","","0","omp_talk_joy2","3"
"","0","vo_omp_7003","1030049","3","","0","","","vo_omp_7003_008","21"
"","1","112411","1030050","3","1","10","","","好的！\n一起加油吧！","11"
"","","0","1030051","3","","","","","","91"
"","","0.4","1030052","3","","","","","","93"
"omp_talk_normal","-180","1","1040001","4","-195","1600","0","1.8","105831","1"
"omp_idle_normal","20","1","1040002","4","-190","1500","1","1.8","105931","1"
"omp_idle_normal","220","1","1040003","4","-205","1600","1","1.8","106031","1"
"","0","1","1040004","4","1","0","","1","1","31"
"","","1","1040005","4","","","","","","93"
"","0","vo_omp_7004","1040006","4","","0","","","vo_omp_7004_000","21"
"","1","105831","1040007","4","1","10","","","機會難得，\n我們要不要也來\n當當看偶像啊？","11"
"","","0","1040008","4","","","","","","91"
"","","105831","1040009","4","","1","","0","omp_idle_normal","3"
"","","105931","1040010","4","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7004","1040011","4","","0","","","vo_omp_7004_001","21"
"","1","105931","1040012","4","1","10","","","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。","11"
"","","0","1040013","4","","","","","","91"
"","","105931","1040014","4","","","","","0","4"
"","","105931","1040015","4","","1","","0","omp_idle_normal","3"
"","omp_idle_surprise1","106031","1040016","4","1","0","","0","omp_surprise","3"
"","0","vo_omp_7004","1040017","4","","0","","","vo_omp_7004_002","21"
"","1","106031","1040018","4","1","10","","","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？","11"
"","","2","1040019","4","","","","","1","93"
"","","106031","1040020","4","","1","","0.1","omp_talk_tsun","3"
"","","1040018","1040021","4","","","","","","91"
"","","106031","1040022","4","","1","","0","omp_talk_tsun","3"
"","0","vo_omp_7004","1040023","4","","0","","","vo_omp_7004_003","21"
"","1","106031","1040024","4","1","10","","","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？","11"
"","","0","1040025","4","","","","","","91"
"","","106031","1040026","4","","1","","0","omp_idle_tsun","3"
"","","105931","1040027","4","","1","","0","omp_talk_worry","3"
"","0","vo_omp_7004","1040028","4","","0","","","vo_omp_7004_004","21"
"","1","105931","1040029","4","1","10","","","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。","11"
"","","0","1040030","4","","","","","","91"
"","","105931","1040031","4","","","","","1","4"
"","","105931","1040032","4","","1","","0","omp_idle_worry","3"
"","","105831","1040033","4","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7004","1040034","4","","0","","","vo_omp_7004_005","21"
"","1","105831","1040035","4","1","10","","","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！","11"
"","","5.5","1040036","4","","","","","1","93"
"","","105831","1040037","4","","0","","0.2","omp_psn_11","3"
"","","1040035","1040038","4","","","","","","91"
"","","105931","1040039","4","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7004","1040040","4","","0","","","vo_omp_7004_006","21"
"","1","105931","1040041","4","1","10","","","好的♪\n如此這般，耶……！","11"
"","","1.5","1040042","4","","","","","1","93"
"","","105931","1040043","4","1","0","","0.2","omp_psn_11","3"
"","","1040041","1040044","4","","","","","","91"
"","","105931","1040045","4","","","","","0","4"
"","","105931","1040046","4","","1","","0","omp_idle_normal","3"
"","","105831","1040047","4","","1","","0.2","omp_idle_joy1","3"
"","","106031","1040048","4","","1","","0","omp_idle_tsun","3"
"","0","vo_omp_7004","1040049","4","","0","","","vo_omp_7004_007","21"
"","1","106031","1040050","4","1","10","","","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪","11"
"","","7","1040051","4","","","","","1","93"
"","","106031","1040052","4","","0","","0.1","omp_psn_12","3"
"","","1.5","1040053","4","","","","","","93"
"","","1040050","1040054","4","","","","","","91"
"","","106031","1040055","4","","1","","0.2","omp_idle_normal","3"
"","","105831","1040056","4","","1","","0","omp_idle_surprise1","3"
"","0","vo_omp_7004","1040057","4","","0","","","vo_omp_7004_008","21"
"","1","105831","1040058","4","1","10","","","小、小凱留……","11"
"","","0","1040059","4","","","","","","91"
"","","105831","1040060","4","","1","","0","omp_idle_surprise1","3"
"","","105931","1040061","4","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7004","1040062","4","","0","","","vo_omp_7004_009","21"
"","1","105931","1040063","4","1","10","","","您做得非常專業呢。","11"
"","","0","1040064","4","","","","","","91"
"","","105931","1040065","4","","1","","0","omp_idle_sad","3"
"","omp_talk_surprise2","106031","1040066","4","1","0","0.1","0","omp_surprise","3"
"","0","vo_omp_7004","1040067","4","","0","","","vo_omp_7004_010","21"
"","1","106031","1040068","4","1","10","","","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！","11"
"","","6.5","1040069","4","","","","","1","93"
"","","106031","1040070","4","","1","","0.2","omp_talk_tsun","3"
"","","1040068","1040071","4","","","","","","91"
"","","0.4","1040072","4","","","","","","93"
"omp_talk_joy1","-140","1","1050001","5","-190","1500","0","1.8","112611","1"
"omp_idle_normal","140","1","1050002","5","-190","1500","1","1.8","112511","1"
"","0","1","1050003","5","1","0","","1","1","31"
"","","1","1050004","5","","","","","","93"
"","0","vo_omp_7005","1050005","5","","0","","","vo_omp_7005_000","21"
"","1","112611","1050006","5","1","10","","","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！","11"
"","","0","1050007","5","","","","","","91"
"","","112611","1050008","5","","1","","0","omp_idle_joy1","3"
"","","112511","1050009","5","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7005","1050010","5","","0","","","vo_omp_7005_001","21"
"","1","112511","1050011","5","1","10","","","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。","11"
"","","0","1050012","5","","","","","","91"
"","","112511","1050013","5","","1","","0","omp_idle_normal","3"
"","","112611","1050014","5","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7005","1050015","5","","0","","","vo_omp_7005_002","21"
"","1","112611","1050016","5","1","10","","","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……","11"
"","","6.2","1050017","5","","","","","1","93"
"","","112611","1050018","5","","1","","0.2","omp_talk_thinking","3"
"","","1050016","1050019","5","","","","","","91"
"","","112611","1050020","5","","1","","0","omp_idle_thinking","3"
"","","112511","1050021","5","","1","","0","omp_talk_normal2","3"
"","0","vo_omp_7005","1050022","5","","0","","","vo_omp_7005_003","21"
"","1","112511","1050023","5","1","10","","","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！","11"
"","","0","1050024","5","","","","","","91"
"","","112511","1050025","5","","1","","0","omp_idle_calm","3"
"","","112611","1050026","5","","1","","0.1","omp_talk_sad","3"
"","0","vo_omp_7005","1050027","5","","0","","","vo_omp_7005_004","21"
"","1","112611","1050028","5","1","10","","","澀…澀…","11"
"","","0","1050029","5","","","","","","91"
"","","112611","1050030","5","","1","","0","omp_idle_sad","3"
"","","112511","1050031","5","","1","","0","omp_psn_19","3"
"","0","vo_omp_7005","1050032","5","","0","","","vo_omp_7005_005","21"
"","1","112511","1050033","5","1","10","","","澀…？","11"
"","","0","1050034","5","","","","","","91"
"","","112511","1050035","5","","1","","0","omp_psn_18","3"
"","","112611","1050036","5","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7005","1050037","5","","0","","","vo_omp_7005_006","21"
"","1","112611","1050038","5","1","10","","","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？","11"
"","","4.5","1050039","5","","","","","1","93"
"","","112611","1050040","5","","1","","0.2","omp_talk_surprise2","3"
"","","1050038","1050041","5","","","","","","91"
"","","112611","1050042","5","","1","","0","omp_idle_surprise2","3"
"","","112511","1050043","5","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7005","1050044","5","","0","","","vo_omp_7005_007","21"
"","1","112511","1050045","5","1","10","","","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……","11"
"","","3.5","1050046","5","","","","","1","93"
"","","112511","1050047","5","","1","","0.2","omp_talk_anger","3"
"","","1050045","1050048","5","","","","","","91"
"","","112511","1050049","5","","1","","0","omp_idle_anger","3"
"","","112611","1050050","5","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7005","1050051","5","","0","","","vo_omp_7005_008","21"
"","1","112611","1050052","5","1","10","","","欸嘿嘿，抱歉抱歉☆","11"
"","","0","1050053","5","","","","","","91"
"","","112611","1050054","5","","1","","0","omp_idle_joy1","3"
"","","112511","1050055","5","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7005","1050056","5","","0","","","vo_omp_7005_009","21"
"","1","112511","1050057","5","1","10","","","真是的。\n……不過，我剛才說的\n都是真心話哦。","11"
"","","2","1050058","5","","","","","1","93"
"","","112511","1050059","5","","1","","0.2","omp_talk_normal","3"
"","","1050057","1050060","5","","","","","","91"
"","","112511","1050061","5","","1","","0","omp_idle_normal","3"
"","","112611","1050062","5","","1","","0","omp_talk_joy2","3"
"","0","vo_omp_7005","1050063","5","","0","","","vo_omp_7005_010","21"
"","1","112611","1050064","5","1","10","","","嗯！\n謝謝妳，澀凜凜！！","11"
"","","0","1050065","5","","","","","","91"
"","","0.4","1050066","5","","","","","","93"
"omp_talk_normal","-180","1","1060001","6","-195","1600","0","1.8","112511","1"
"omp_idle_normal","20","1","1060002","6","-190","1500","1","1.8","112411","1"
"omp_idle_normal","220","1","1060003","6","-205","1600","1","1.8","112611","1"
"","0","1","1060004","6","1","0","","1","1","31"
"","","1","1060005","6","","","","","","93"
"","0","vo_omp_7006","1060006","6","","0","","","vo_omp_7006_000","21"
"","1","112511","1060007","6","1","10","","","卯月……\n今天的練習，\n妳很有幹勁呢。","11"
"","","0","1060008","6","","","","","","91"
"","","112511","1060009","6","","1","","0","omp_idle_normal","3"
"","","112611","1060010","6","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7006","1060011","6","","0","","","vo_omp_7006_001","21"
"","1","112611","1060012","6","1","10","","","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？","11"
"","","0","1060013","6","","","","","","91"
"","","112411","1060014","6","","","","","0","4"
"","","112611","1060015","6","","1","","0","omp_idle_joy1","3"
"","","112411","1060016","6","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7006","1060017","6","","0","","","vo_omp_7006_002","21"
"","1","112411","1060018","6","1","10","","","欸嘿嘿，謝謝妳們！\n嗯……","11"
"","","0","1060019","6","","","","","","91"
"","","112411","1060020","6","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7006","1060021","6","","0","","","vo_omp_7006_003","21"
"","1","112411","1060022","6","1","10","","","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。","11"
"","","0","1060023","6","","","","","","91"
"","","112411","1060024","6","","1","","0","omp_talk_thinking","3"
"","0","vo_omp_7006","1060025","6","","0","","","vo_omp_7006_004","21"
"","1","112411","1060026","6","1","10","","","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。","11"
"","","0","1060027","6","","","","","","91"
"","","112411","1060028","6","","1","","0","omp_talk_normal2","3"
"","0","vo_omp_7006","1060029","6","","0","","","vo_omp_7006_005","21"
"","1","112411","1060030","6","1","10","","","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……","11"
"","","0","1060031","6","","","","","","91"
"","","112411","1060032","6","","1","","0","omp_idle_calm","3"
"","","112611","1060033","6","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7006","1060034","6","","0","","","vo_omp_7006_006","21"
"","1","112611","1060035","6","1","10","","","島村村……！","11"
"","","0","1060036","6","","","","","","91"
"","","112411","1060037","6","","","","","1","4"
"","","112611","1060038","6","","1","","0","omp_idle_sad","3"
"","","112511","1060039","6","","1","","0","omp_talk_thinking","3"
"","0","vo_omp_7006","1060040","6","","0","","","vo_omp_7006_007","21"
"","1","112511","1060041","6","1","10","","","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？","11"
"","","0","1060042","6","","","","","","91"
"","","112411","1060043","6","","","","","0","4"
"","","112511","1060044","6","","1","","0","omp_idle_thinking","3"
"","","112611","1060045","6","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7006","1060046","6","","0","","","vo_omp_7006_008","21"
"","1","112611","1060047","6","1","10","","","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！","11"
"","","0","1060048","6","","","","","","91"
"","","112411","1060049","6","","","","","1","4"
"","","112611","1060050","6","","1","","0","omp_idle_joy1","3"
"","","112411","1060051","6","","1","","0","omp_talk_joy2","3"
"","0","vo_omp_7006","1060052","6","","0","","","vo_omp_7006_009","21"
"","1","112411","1060053","6","1","10","","","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！","11"
"","","1.2","1060054","6","","","","","1","93"
"","","112411","1060055","6","","","","","0","4"
"","","1060053","1060056","6","","","","","","91"
"","0","112511","1060057","6","1","-195","","","-180","2"
"","0","112411","1060058","6","1","-190","","","0","2"
"","0","112611","1060059","6","1","-195","","","180","2"
"","","112511","1060060","6","","0","","0.1","omp_psn_dicision_rin","3"
"","","112411","1060061","6","","0","","0.1","omp_psn_dicision_uduki","3"
"","","112611","1060062","6","","0","","0.1","omp_psn_dicision_mio","3"
"","0","2","1060063","6","1","0","","1","2","31"
"","","1060062","1060064","6","","","","","","91"
"","","0.6","1060065","6","","","","","","93"
"omp_idle_normal","-100","1","1070001","7","-205","1600","0","1.8","105831","1"
"omp_idle_normal","-390","1","1070002","7","-225","1600","0","1.8","105931","1"
"omp_idle_normal","-260","1","1070003","7","-190","1500","0","1.8","106031","1"
"omp_idle_normal","250","1","1070004","7","-185","1500","1","1.8","112511","1"
"omp_idle_normal","385","1","1070005","7","-220","1600","1","1.8","112411","1"
"omp_idle_normal","100","1","1070006","7","-195","1600","1","1.8","112611","1"
"","0","1","1070007","7","1","0","","1","1","31"
"","","0.2","1070008","7","","","","","","93"
"","","112611","1070009","7","","1","","0.1","omp_idle_normal","3"
"","","112411","1070010","7","","1","","0","omp_talk_normal","3"
"","","112511","1070011","7","","1","","0.1","omp_idle_normal","3"
"","","105831","1070012","7","","1","","0.1","omp_idle_normal","3"
"","","0.1","1070013","7","","","","","","93"
"","","1","1070014","7","","","","","","93"
"","0","vo_omp_7007","1070015","7","","0","","","vo_omp_7007_000","21"
"","1","112411","1070016","7","1","10","","","現在想想……一開始的\n快閃演唱會實在是很緊張呢。","11"
"","","0","1070017","7","","","","","","91"
"","","112411","1070018","7","","1","","0.1","omp_idle_normal","3"
"","","105831","1070019","7","","1","","0.1","omp_talk_normal","3"
"","0","vo_omp_7007","1070020","7","","0","","","vo_omp_7007_001","21"
"","1","105831","1070021","7","1","10","","","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～","11"
"","","0","1070022","7","","","","","","91"
"","","105831","1070023","7","","1","","0","omp_idle_normal","3"
"","","105931","1070024","7","","1","","0","omp_talk_worry","3"
"","0","vo_omp_7007","1070025","7","","0","","","vo_omp_7007_002","21"
"","1","105931","1070026","7","1","10","","","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……","11"
"","","0","1070027","7","","","","","","91"
"","","105931","1070028","7","","1","","0","omp_idle_worry","3"
"","","106031","1070029","7","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7007","1070030","7","","0","","","vo_omp_7007_003","21"
"","1","106031","1070031","7","1","10","","","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！","11"
"","","0","1070032","7","","","","","","91"
"","","106031","1070033","7","","1","","0","omp_idle_normal","3"
"","","112611","1070034","7","","1","","0","omp_talk_worry","3"
"","0","vo_omp_7007","1070035","7","","0","","","vo_omp_7007_004","21"
"","1","112611","1070036","7","1","10","","","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～","11"
"","","0","1070037","7","","","","","","91"
"","","112611","1070038","7","","1","","0","omp_idle_worry","3"
"","","105931","1070039","7","","1","","0","omp_talk_normal2","3"
"","0","vo_omp_7007","1070040","7","","0","","","vo_omp_7007_005","21"
"","1","105931","1070041","7","1","10","","","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。","11"
"","","0","1070042","7","","","","","","91"
"","","105931","1070043","7","","1","","0","omp_idle_calm","3"
"","","112511","1070044","7","","1","","0","omp_talk_normal2","3"
"","0","vo_omp_7007","1070045","7","","0","","","vo_omp_7007_006","21"
"","1","112511","1070046","7","1","10","","","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。","11"
"","","0","1070047","7","","","","","","91"
"","","112511","1070048","7","","1","","0","omp_idle_calm","3"
