cc250e0da35066cc7b08ecc1959d27062a13a9ca7b0d422255321868f691f8d8,025fb1355e057ad1dc2ded5be4ef3c66f02ee88e4d4af730fca96df85c9d84b3,18891c137aa15f91049e49d1787e8fdbe5653be333d0f5c3559d929aadab7c44,1ff9c62a8eef73a4b655a5bf0b21063951a5f2dd378d166b7a12d3f6d544335f,062340aabdf2e5313bc8f9d69a12cdd633fab283f8144421c902529e3ee797e2,5173fde829572e8879f0229f7202220090fca5b4ef823ebe326b0945123eacef,960f944659c44a1bb5b61df65153fb10d3758d64105a4c80873361978cf8bccb,08f0c08c9599dfd8c0385af70cfaad920b3416f31de6bc75f690ac8b6eca3c2c,56819b35e459b146d59f39843efe1f1751517dc465401accfa0f72afc8e452b3,9d89ae605ffbd53375460c7999e6a4c43f30a1dd4f6fd55a2285c93cc1a2db61,049cecec41a573192f111bb2d9739221450913773911df1d4b20dc3340aa6d04,b933d0a55ecfcf1404159d7608084373e5a69e0ffa0b101cfe6399ded6fd9bcc
"0","0","1120052","vo_nyx","52","12","vo_nyx_0110","0","0","2","0","0"
"11","0","1120053","0","53","12","0","127","133","1","0.353","0"
"0","1.137","1120054","0","54","12","0","0","0","4","0","1"
"0","0","1120055","vo_nyx","55","12","vo_nyx_0111","0","0","2","0","0"
"12","0","1120056","0","56","12","0","0","406","1","2.51","0"
"0","3.164","1120057","0","57","12","0","0","0","4","0","1"
"0","0","1120058","vo_nyx","58","12","vo_nyx_0112","0","0","2","0","0"
"13","0","1120059","0","59","12","0","0","155","1","1.532","0"
"0","1.62","1120060","0","60","12","0","0","0","4","0","1"
"13","0","1120061","0","61","12","0","155","374","1","1.367","0"
"0","2.245","1120062","0","62","12","0","0","0","4","0","1"
"0","0","1120063","vo_nyx","63","12","vo_nyx_0113","0","0","2","0","0"
"14","0","1120064","0","64","12","0","0","124","1","1.116","0"
"0","1.735","1120065","0","65","12","0","0","0","4","0","1"
"14","0","1120066","0","66","12","0","124","238","1","1.048","0"
"0","2.848","1120067","0","67","12","0","0","0","4","0","1"
"0","1","1130001","0","1","13","0","0","0","4","0","3"
"0","0","1130002","vo_nyx","2","13","vo_nyx_0201","0","0","2","0","0"
"1","0","1130003","0","3","13","0","0","36","1","0.382","0"
"0","0.672","1130004","0","4","13","0","0","0","4","0","1"
"1","0","1130005","0","5","13","0","36","67","1","0.65","0"
"0","1.115","1130006","0","6","13","0","0","0","4","0","1"
"1","0","1130007","0","7","13","0","67","192","1","2.158","0"
"0","2.541","1130008","0","8","13","0","0","0","4","0","1"
"1","0","1130009","0","9","13","0","192","365","1","0.914","0"
"0","0.914","1130010","0","10","13","0","0","0","4","0","1"
"2","0","1130011","0","11","13","0","0","220","1","1.72","0"
"0","1.5","1130012","0","12","13","0","0","0","4","0","1"
"0","2","1130013","0","13","13","0","0","0","4","0","3"
"0","1.726","1130014","0","14","13","0","0","0","4","0","1"
"0","0","1130015","vo_nyx","15","13","vo_nyx_0202","0","0","2","0","0"
"3","0","1130016","0","16","13","0","0","335","1","2.838","0"
"0","3.334","1130017","0","17","13","0","0","0","4","0","1"
"4","0","1130018","0","18","13","0","0","300","1","2.491","0"
"0","3.427","1130019","0","19","13","0","0","0","4","0","1"
"0","3","1130020","0","20","13","0","0","0","4","0","3"
"0","0","1130021","vo_nyx","21","13","vo_nyx_0203","0","0","2","0","0"
"5","0","1130022","0","22","13","0","0","28","1","0.475","0"
"0","0.872","1130023","0","23","13","0","0","0","4","0","1"
"5","0","1130024","0","24","13","0","28","103","1","1.001","0"
"0","1.492","1130025","0","25","13","0","0","0","4","0","1"
"5","0","1130026","0","26","13","0","103","310","1","1.73","0"
"0","2.045","1130027","0","27","13","0","0","0","4","0","1"
"5","0","1130028","0","28","13","0","310","395","1","0.87","0"
"0","1.949","1130029","0","29","13","0","0","0","4","0","1"
"0","0","1130030","vo_nyx","30","13","vo_nyx_0204","0","0","2","0","0"
"6","0","1130031","0","31","13","0","0","165","1","1.885","0"
"0","2.37","1130032","0","32","13","0","0","0","4","0","1"
"6","0","1130033","0","33","13","0","165","311","1","0.939","0"
"0","1.12","1130034","0","34","13","0","0","0","4","0","1"
"6","0","1130035","0","35","13","0","311","388","1","0.5","0"
"0","1.435","1130036","0","36","13","0","0","0","4","0","1"
"0","0","1130037","vo_nyx","37","13","vo_nyx_0205","0","0","2","0","0"
"7","0","1130038","0","38","13","0","0","45","1","0.58","0"
"0","0.976","1130039","0","39","13","0","0","0","4","0","1"
"7","0","1130040","0","40","13","0","45","292","1","1.425","0"
"0","1.683","1130041","0","41","13","0","0","0","4","0","1"
"7","0","1130042","0","42","13","0","292","292","1","0.85","0"
"0","1.9","1130043","0","43","13","0","0","0","4","0","1"
"0","4","1130044","0","44","13","0","0","0","4","0","3"
"0","0","1130045","vo_nyx","45","13","vo_nyx_0206","0","0","2","0","0"
"7","0","1130046","0","46","13","0","292","322","1","0.43","0"
"0","1.105","1130047","0","47","13","0","0","0","4","0","1"
"7","0","1130048","0","48","13","0","322","396","1","0.759","0"
"0","0.759","1130049","0","49","13","0","0","0","4","0","1"
"8","0","1130050","0","50","13","0","0","134","1","1.136","0"
"0","1.533","1130051","0","51","13","0","0","0","4","0","1"
"8","0","1130052","0","52","13","0","134","360","1","1.347","0"
"0","1.518","1130053","0","53","13","0","0","0","4","0","1"
"8","0","1130054","0","54","13","0","360","360","1","0.981","0"
"0","1.862","1130055","0","55","13","0","0","0","4","0","1"
"0","5","1130056","0","56","13","0","0","0","4","0","3"
"0","0","1130057","vo_nyx","57","13","vo_nyx_0207","0","0","2","0","0"
"9","0","1130058","0","58","13","0","0","36","1","0.44","0"
"0","0.9","1130059","0","59","13","0","0","0","4","0","1"
"9","0","1130060","0","60","13","0","36","276","1","1.404","0"
"0","1.74","1130061","0","61","13","0","0","0","4","0","1"
"9","0","1130062","0","62","13","0","276","325","1","0.986","0"
"0","0","1130063","0","63","13","0","0","0","4","0","1"
"9","0","1130064","0","64","13","0","325","377","1","0.437","0"
"0","0","1130065","0","65","13","0","0","0","4","0","1"
"10","0","1130066","0","66","13","0","0","376","1","1.317","0"
"0","1.317","1130067","0","67","13","0","0","0","4","0","1"
"10","0","1130068","0","68","13","0","376","376","1","2.659","0"
"0","0","1130069","0","69","13","0","0","0","4","0","1"
"11","0","1130070","0","70","13","0","0","190","1","1.834","0"
"0","6.509","1130071","0","71","13","0","0","0","4","0","1"
"0","0","1130072","vo_nyx","72","13","vo_nyx_0208","0","0","2","0","0"
"12","0","1130073","0","73","13","0","0","110","1","1.574","0"
"0","2.083","1130074","0","74","13","0","0","0","4","0","1"
"12","0","1130075","0","75","13","0","110","270","1","1.236","0"
"0","1.443","1130076","0","76","13","0","0","0","4","0","1"
"12","0","1130077","0","77","13","0","270","345","1","0.869","0"
"0","1.288","1130078","0","78","13","0","0","0","4","0","1"
"13","0","1130079","0","79","13","0","0","141","1","0.48","0"
"0","0.81","1130080","0","80","13","0","0","0","4","0","1"
"13","0","1130081","0","81","13","0","141","141","1","0.789","0"
"0","1.627","1130082","0","82","13","0","0","0","4","0","1"
"0","0","1130083","vo_nyx","83","13","vo_nyx_0209","0","0","2","0","0"
"13","0","1130084","0","84","13","0","141","250","1","0.707","0"
"0","2.507","1130085","0","85","13","0","0","0","4","0","1"
"0","1","1140001","0","1","14","0","0","0","4","0","3"
"0","0","1140002","vo_nyx","2","14","vo_nyx_0301","0","0","2","0","0"
"1","0","1140003","0","3","14","0","0","105","1","1.075","0"
"0","1.692","1140004","0","4","14","0","0","0","4","0","1"
"1","0","1140005","0","5","14","0","105","360","1","2.843","0"
"0","4","1140006","0","6","14","0","0","0","4","0","1"
"0","0","1140007","vo_nyx","7","14","vo_nyx_0302","0","0","2","0","0"
"2","0","1140008","0","8","14","0","0","74","1","1.567","0"
"0","1.964","1140009","0","9","14","0","0","0","4","0","1"
"2","0","1140010","0","10","14","0","74","230","1","0.78","0"
"0","2.076","1140011","0","11","14","0","0","0","4","0","1"
"0","0","1140012","vo_nyx","12","14","vo_nyx_0303","0","0","2","0","0"
"3","0","1140013","0","13","14","0","0","88","1","1.037","0"
"0","1.629","1140014","0","14","14","0","0","0","4","0","1"
"3","0","1140015","0","15","14","0","88","266","1","2.027","0"
"0","3.568","1140016","0","16","14","0","0","0","4","0","1"
"0","2","1140017","0","17","14","0","0","0","4","0","3"
"0","0","1140018","vo_nyx","18","14","vo_nyx_0304","0","0","2","0","0"
"3","0","1140019","0","19","14","0","266","380","1","1.38","0"
"0","1.419","1140020","0","20","14","0","0","0","4","0","1"
"4","0","1140021","0","21","14","0","0","150","1","0.491","0"
"0","0.545","1140022","0","22","14","0","0","0","4","0","1"
"4","0","1140023","0","23","14","0","150","345","1","2.409","0"
"0","3.711","1140024","0","24","14","0","0","0","4","0","1"
"0","0","1140025","vo_nyx","25","14","vo_nyx_0305","0","0","2","0","0"
"5","0","1140026","0","26","14","0","0","74","1","0.892","0"
"0","1.458","1140027","0","27","14","0","0","0","4","0","1"
"5","0","1140028","0","28","14","0","74","325","1","2.495","0"
"0","3.134","1140029","0","29","14","0","0","0","4","0","1"
"6","0","1140030","0","30","14","0","0","46","1","0.599","0"
"0","0.599","1140031","0","31","14","0","0","0","4","0","1"
"6","0","1140032","0","32","14","0","46","245","1","1.855","0"
"0","3.373","1140033","0","33","14","0","0","0","4","0","1"
"0","0","1140034","vo_nyx","34","14","vo_nyx_0306","0","0","2","0","0"
"7","0","1140035","0","35","14","0","0","175","1","1.629","0"
"0","3.34","1140036","0","36","14","0","0","0","4","0","1"
"0","0","1140037","vo_nyx","37","14","vo_nyx_0307","0","0","2","0","0"
"8","0","1140038","0","38","14","0","0","135","1","1.079","0"
"0","1.6","1140039","0","39","14","0","0","0","4","0","1"
"8","0","1140040","0","40","14","0","135","280","1","2.353","0"
"0","3.511","1140041","0","41","14","0","0","0","4","0","1"
"0","0","1140042","vo_nyx","42","14","vo_nyx_0308","0","0","2","0","0"
"8","0","1140043","0","43","14","0","280","400","1","0.511","0"
"0","0.511","1140044","0","44","14","0","0","0","4","0","1"
"9","0","1140045","0","45","14","0","0","148","1","1.154","0"
"0","1.511","1140046","0","46","14","0","0","0","4","0","1"
"9","0","1140047","0","47","14","0","148","405","1","3.186","0"
"0","4.034","1140048","0","48","14","0","0","0","4","0","1"
"0","0","1140049","vo_nyx","49","14","vo_nyx_0309","0","0","2","0","0"
"10","0","1140050","0","50","14","0","0","405","1","3.486","0"
"0","4.563","1140051","0","51","14","0","0","0","4","0","1"
"0","0","1140052","vo_nyx","52","14","vo_nyx_0310","0","0","2","0","0"
"11","0","1140053","0","53","14","0","0","150","1","0.815","0"
"0","2.384","1140054","0","54","14","0","0","0","4","0","1"
"0","0","1140055","vo_nyx","55","14","vo_nyx_0311","0","0","2","0","0"
"12","0","1140056","0","56","14","0","0","191","1","1.726","0"
"0","2.212","1140057","0","57","14","0","0","0","4","0","1"
"12","0","1140058","0","58","14","0","191","360","1","2.239","0"
"0","2.898","1140059","0","59","14","0","0","0","4","0","1"
"12","0","1140060","0","60","14","0","360","398","1","0.691","0"
"0","0","1140061","0","61","14","0","0","0","4","0","3"
"0","0.691","1140062","0","62","14","0","0","0","4","0","1"
"13","0","1140063","0","63","14","0","0","134","1","0.499","0"
"0","1.799","1140064","0","64","14","0","0","0","4","0","1"
"0","4","1140065","0","65","14","0","0","0","4","0","3"
"0","0","1140066","vo_nyx","66","14","vo_nyx_0312","0","0","2","0","0"
"13","0","1140067","0","67","14","0","134","375","1","0.674","0"
"0","1.251","1140068","0","68","14","0","0","0","4","0","1"
"13","0","1140069","0","69","14","0","375","375","1","0.959","0"
"0","1.676","1140070","0","70","14","0","0","0","4","0","1"
"13","0","1140071","0","71","14","0","375","375","1","1.894","0"
"0","1.894","1140072","0","72","14","0","0","0","4","0","1"
"14","0","1140073","0","73","14","0","0","120","1","0.844","0"
"0","2.644","1140074","0","74","14","0","0","0","4","0","1"
"0","1","1220001","0","1","22","0","0","0","4","0","3"
"0","0","1220002","vo_nyx","2","22","vo_nyx_0401","0","0","2","0","0"
"1","0","1220003","0","3","22","0","0","272","1","1.578","0"
"0","2.06","1220004","0","4","22","0","0","0","4","0","1"
"1","0","1220005","0","5","22","0","272","325","1","1.339","0"
"0","1.417","1220006","0","6","22","0","0","0","4","0","1"
"2","0","1220007","0","7","22","0","0","229","1","1.412","0"
"0","2.549","1220008","0","8","22","0","0","0","4","0","1"
"0","0","1220009","vo_nyx","9","22","vo_nyx_0402","0","0","2","0","0"
"2","0","1220010","0","10","22","0","229","360","1","1.74","0"
"0","2.249","1220011","0","11","22","0","0","0","4","0","1"
"2","0","1220012","0","12","22","0","360","390","1","0.455","0"
"0","0.455","1220013","0","13","22","0","0","0","4","0","1"
"3","0","1220014","0","14","22","0","0","188","1","1.361","0"
"0","2.433","1220015","0","15","22","0","0","0","4","0","1"
"0","0","1220016","vo_nyx","16","22","vo_nyx_0403","0","0","2","0","0"
"4","0","1220017","0","17","22","0","0","40","1","0.438","0"
"0","0.976","1220018","0","18","22","0","0","0","4","0","1"
"4","0","1220019","0","19","22","0","40","256","1","1.414","0"
"0","2.433","1220020","0","20","22","0","0","0","4","0","1"
"0","0","1220021","vo_nyx","21","22","vo_nyx_0404","0","0","2","0","0"
"5","0","1220022","0","22","22","0","0","119","1","1.829","0"
"0","2.237","1220023","0","23","22","0","0","0","4","0","1"
"5","0","1220024","0","24","22","0","119","340","1","1.018","0"
"0","1.965","1220025","0","25","22","0","0","0","4","0","1"
"0","2","1220026","0","26","22","0","0","0","4","0","3"
"0","0","1220027","vo_nyx","27","22","vo_nyx_0405","0","0","2","0","0"
"5","0","1220028","0","28","22","0","340","392","1","0.455","0"
"0","0.455","1220029","0","29","22","0","0","0","4","0","1"
"6","0","1220030","0","30","22","0","0","52","1","0.586","0"
"0","1.124","1220031","0","31","22","0","0","0","4","0","1"
"6","0","1220032","0","32","22","0","52","221","1","1.953","0"
"0","2.356","1220033","0","33","22","0","0","0","4","0","1"
"6","0","1220034","0","34","22","0","221","375","1","1.083","0"
"0","1.083","1220035","0","35","22","0","0","0","4","0","1"
"7","0","1220036","0","36","22","0","0","74","1","0.71","0"
"0","1.533","1220037","0","37","22","0","0","0","4","0","1"
"7","0","1220038","0","38","22","0","74","210","1","0.947","0"
"0","2","1220039","0","39","22","0","0","0","4","0","3"
"0","1.349","1220040","0","40","22","0","0","0","4","0","1"
"7","0","1220041","0","41","22","0","210","329","1","0.87","0"
"0","0.87","1220042","0","42","22","0","0","0","4","0","1"
"8","0","1220043","0","43","22","0","0","203","1","1.758","0"
"0","2.198","1220044","0","44","22","0","0","0","4","0","1"
"8","0","1220045","0","45","22","0","203","342","1","1.601","0"
"0","2.097","1220046","0","46","22","0","0","0","4","0","1"
"8","0","1220047","0","47","22","0","342","393","1","0.546","0"
"0","0.546","1220048","0","48","22","0","0","0","4","0","1"
"9","0","1220049","0","49","22","0","0","390","1","1.277","0"
"0","1.656","1220050","0","50","22","0","0","0","4","0","1"
"9","0","1220051","0","51","22","0","390","390","1","2.113","0"
"0","3.362","1220052","0","52","22","0","0","0","4","0","1"
"0","3","1220053","0","53","22","0","0","0","4","0","3"
"0","0","1220054","vo_nyx","54","22","vo_nyx_0406","0","0","2","0","0"
"10","0","1220055","0","55","22","0","0","259","1","2.628","0"
"0","3.131","1220056","0","56","22","0","0","0","4","0","1"
"10","0","1220057","0","57","22","0","259","345","1","0.846","0"
"0","1.249","1220058","0","58","22","0","0","0","4","0","1"
"10","0","1220059","0","59","22","0","345","396","1","0.516","0"
"0","0.593","1220060","0","60","22","0","0","0","4","0","1"
"11","0","1220061","0","61","22","0","0","318","1","2.285","0"
"0","3.475","1220062","0","62","22","0","0","0","4","0","1"
"0","4","1220063","0","63","22","0","0","0","4","0","3"
"0","0","1220064","vo_nyx","64","22","vo_nyx_0407","0","0","2","0","0"
"12","0","1220065","0","65","22","0","0","258","1","2.326","0"
"0","2.872","1220066","0","66","22","0","0","0","4","0","1"
"12","0","1220067","0","67","22","0","258","395","1","1.488","0"
"0","1.488","1220068","0","68","22","0","0","0","4","0","1"
"13","0","1220069","0","69","22","0","0","220","1","1.728","0"
"0","2.711","1220070","0","70","22","0","0","0","4","0","1"
"0","0","1220071","vo_nyx","71","22","vo_nyx_0408","0","0","2","0","0"
"15","0","1220072","0","72","22","0","0","22","1","0.408","0"
"0","0.929","1220073","0","73","22","0","0","0","4","0","1"
"15","0","1220074","0","74","22","0","22","184","1","1.122","0"
"0","2.922","1220075","0","75","22","0","0","0","4","0","1"
"0","1","1230001","0","1","23","0","0","0","4","0","3"
"0","0","1230002","vo_nyx","2","23","vo_nyx_0501","0","0","2","0","0"
"1","0","1230003","0","3","23","0","0","390","1","3.048","0"
"0","3.048","1230004","0","4","23","0","0","0","4","0","1"
"2","0","1230005","0","5","23","0","0","67","1","0.731","0"
"0","1.507","1230006","0","6","23","0","0","0","4","0","1"
"0","0","1230007","vo_nyx","7","23","vo_nyx_0502","0","0","2","0","0"
"2","0","1230008","0","8","23","0","67","323","1","2.093","0"
"0","2.341","1230009","0","9","23","0","0","0","4","0","1"
"2","0","1230010","0","10","23","0","323","378","1","0.644","0"
"0","0.993","1230011","0","11","23","0","0","0","4","0","1"
"3","0","1230012","0","12","23","0","0","202","1","1.737","0"
"0","2.616","1230013","0","13","23","0","0","0","4","0","1"
"0","0","1230014","vo_nyx","14","23","vo_nyx_0503","0","0","2","0","0"
"3","0","1230015","0","15","23","0","202","395","1","1.866","0"
"0","1.866","1230016","0","16","23","0","0","0","4","0","1"
"4","0","1230017","0","17","23","0","0","135","1","1.039","0"
"0","1.496","1230018","0","18","23","0","0","0","4","0","1"
"4","0","1230019","0","19","23","0","135","305","1","1.355","0"
"0","2.334","1230020","0","20","23","0","0","0","4","0","1"
"0","0","1230021","vo_nyx","21","23","vo_nyx_0504","0","0","2","0","0"
"6","0","1230022","0","22","23","0","0","35","1","0.422","0"
"0","0.845","1230023","0","23","23","0","0","0","4","0","1"
"6","0","1230024","0","24","23","0","35","360","1","2.026","0"
"0","2.563","1230025","0","25","23","0","0","0","4","0","1"
"0","0","1230026","vo_nyx","26","23","vo_nyx_0505","0","0","2","0","0"
"8","0","1230027","0","27","23","0","0","68","1","0.865","0"
"0","1.207","1230028","0","28","23","0","0","0","4","0","1"
"8","0","1230029","0","29","23","0","68","360","1","1.873","0"
"0","2.166","1230030","0","30","23","0","0","0","4","0","1"
"9","0","1230031","0","31","23","0","0","360","1","2.558","0"
"0","2","1230032","0","32","23","0","0","0","4","0","3"
"0","3.202","1230033","0","33","23","0","0","0","4","0","1"
"10","0","1230034","0","34","23","0","0","221","1","2.381","0"
"0","2.938","1230035","0","35","23","0","0","0","4","0","1"
"0","0","1230036","vo_nyx","36","23","vo_nyx_0506","0","0","2","0","0"
"10","0","1230037","0","37","23","0","221","410","1","1.241","0"
"0","1.657","1230038","0","38","23","0","0","0","4","0","1"
"11","0","1230039","0","39","23","0","0","375","1","2.871","0"
"0","3","1230040","0","40","23","0","0","0","4","0","3"
"0","3.435","1230041","0","41","23","0","0","0","4","0","1"
"0","0","1230042","vo_nyx","42","23","vo_nyx_0507","0","0","2","0","0"
"12","0","1230043","0","43","23","0","0","103","1","0.717","0"
"0","1.026","1230044","0","44","23","0","0","0","4","0","1"
"12","0","1230045","0","45","23","0","103","395","1","2.843","0"
"0","3.603","1230046","0","46","23","0","0","0","4","0","1"
"0","0","1230047","vo_nyx","47","23","vo_nyx_0508","0","0","2","0","0"
"13","0","1230048","0","48","23","0","0","138","1","1.417","0"
"0","2.029","1230049","0","49","23","0","0","0","4","0","1"
"13","0","1230050","0","50","23","0","138","355","1","1.78","0"
"0","3.58","1230051","0","51","23","0","0","0","4","0","1"
"0","1","1240001","0","1","24","0","0","0","4","0","3"
"0","0","1240002","vo_nyx","2","24","vo_nyx_0601","0","0","2","0","0"
"1","0","1240003","0","3","24","0","0","92","1","0.945","0"
"0","1.808","1240004","0","4","24","0","0","0","4","0","1"
"0","0","1240005","vo_nyx","5","24","vo_nyx_0602","0","0","2","0","0"
"2","0","1240006","0","6","24","0","0","395","1","3.225","0"
"0","4.362","1240007","0","7","24","0","0","0","4","0","1"
"0","0","1240008","vo_nyx","8","24","vo_nyx_0603","0","0","2","0","0"
"3","0","1240009","0","9","24","0","0","392","1","2.828","0"
"0","4.36","1240010","0","10","24","0","0","0","4","0","1"
"0","0","1240011","vo_nyx","11","24","vo_nyx_0604","0","0","2","0","0"
"4","0","1240012","0","12","24","0","0","87","1","1.212","0"
"0","2.171","1240013","0","13","24","0","0","0","4","0","1"
"4","0","1240014","0","14","24","0","87","350","1","1.656","0"
"0","2.769","1240015","0","15","24","0","0","0","4","0","1"
"0","0","1240016","vo_nyx","16","24","vo_nyx_0605","0","0","2","0","0"
"5","0","1240017","0","17","24","0","0","24","1","0.168","0"
"0","1.256","1240018","0","18","24","0","0","0","4","0","1"
"5","0","1240019","0","19","24","0","24","98","1","0.478","0"
"0","0.535","1240020","0","20","24","0","0","0","4","0","1"
"5","0","1240021","0","21","24","0","98","150","1","0.735","0"
"0","2.444","1240022","0","22","24","0","0","0","4","0","1"
"0","0","1240023","vo_nyx","23","24","vo_nyx_0606","0","0","2","0","0"
"7","0","1240024","0","24","24","0","0","112","1","1.607","0"
"0","2.16","1240025","0","25","24","0","0","0","4","0","1"
"7","0","1240026","0","26","24","0","112","400","1","2.119","0"
"0","2.647","1240027","0","27","24","0","0","0","4","0","1"
"8","0","1240028","0","28","24","0","0","182","1","1.802","0"
"0","2","1240029","0","29","24","0","0","0","4","0","3"
"0","2.817","1240030","0","30","24","0","0","0","4","0","1"
"0","0","1240031","vo_nyx","31","24","vo_nyx_0607","0","0","2","0","0"
"8","0","1240032","0","32","24","0","182","395","1","1.981","0"
"0","2.842","1240033","0","33","24","0","0","0","4","0","1"
"9","0","1240034","0","34","24","0","0","172","1","1.894","0"
"0","3.737","1240035","0","35","24","0","0","0","4","0","1"
"0","0","1240036","vo_nyx","36","24","vo_nyx_0608","0","0","2","0","0"
"9","0","1240037","0","37","24","0","172","209","1","0.82","0"
"0","1.754","1240038","0","38","24","0","0","0","4","0","1"
"9","0","1240039","0","39","24","0","209","400","1","2.752","0"
"0","3.272","1240040","0","40","24","0","0","0","4","0","1"
"0","3","1240041","0","41","24","0","0","0","4","0","3"
"0","0","1240042","vo_nyx","42","24","vo_nyx_0609","0","0","2","0","0"
"11","0","1240043","0","43","24","0","0","100","1","1.283","0"
"0","2.322","1240044","0","44","24","0","0","0","4","0","1"
"0","4","1240045","0","45","24","0","0","0","4","0","3"
"0","0","1240046","vo_nyx","46","24","vo_nyx_0610","0","0","2","0","0"
"12","0","1240047","0","47","24","0","0","75","1","0.86","0"
"0","0.86","1240048","0","48","24","0","0","0","4","0","1"
"12","0","1240049","0","49","24","0","75","75","1","1.242","0"
"0","2.086","1240050","0","50","24","0","0","0","4","0","1"
"0","5","1240051","0","51","24","0","0","0","4","0","3"
"0","0","1240052","vo_nyx","52","24","vo_nyx_0611","0","0","2","0","0"
"12","0","1240053","0","53","24","0","75","242","1","0.735","0"
"0","1.789","1240054","0","54","24","0","0","0","4","0","1"
"0","0","1240055","vo_nyx","55","24","vo_nyx_0612","0","0","2","0","0"
"13","0","1240056","0","56","24","0","0","80","1","1","0"
"0","2.104","1240057","0","57","24","0","0","0","4","0","1"
"0","6","1240058","0","58","24","0","0","0","4","0","3"
"0","0","1240059","vo_nyx","59","24","vo_nyx_0613","0","0","2","0","0"
