ff2a77eb4bbcc5d9a8472dd0f68019b010a92e2dd102cc77d673fa63917850e0,f70fa2556b68b37cb58632532c37a2f75fbd5a21394cf8b7e953b3e412261f7f,0e1aec08b9d4b75ea72cd8b6f2c18089a9e79caa4cda0cc950de6afadf62e753,41a0b0fd338462bca8c4939f12c44a2a5e20bbc7a65f871e5b60dbffbe77baed,5dca69e7d0bdc7a4b3f2ff196ac587b59abdfabe780466149f211012fac6092c,ce9c70dbc02dfa048890c8aa31f430b41a67413d404ee2ccf9f7e19baf6022b9
"0","20025","2002502","20025115","20025201","2002501"
"2002501","20025","2002503","0","0","2002502"
"2002502","20025","0","0","0","2002503"
"0","20026","2002602","20026115","20026201","2002601"
"2002601","20026","2002603","0","0","2002602"
"2002602","20026","0","0","0","2002603"
"0","20027","2002702","20027115","20027201","2002701"
"2002701","20027","2002703","0","0","2002702"
"2002702","20027","0","0","0","2002703"
"0","20028","2002802","20028115","20028201","2002801"
"2002801","20028","2002803","0","0","2002802"
"2002802","20028","0","0","0","2002803"
"0","20029","2002902","20029115","20029201","2002901"
"2002901","20029","2002903","0","0","2002902"
"2002902","20029","0","0","0","2002903"
"0","20030","2003002","20030115","20030201","2003001"
"2003001","20030","2003003","0","0","2003002"
"2003002","20030","0","0","0","2003003"
"0","20031","2003102","20031115","20031201","2003101"
"2003101","20031","2003103","0","0","2003102"
"2003102","20031","0","0","0","2003103"
"0","20032","2003202","20032115","20032201","2003201"
"2003201","20032","2003203","0","0","2003202"
"2003202","20032","0","0","0","2003203"
"0","20033","2003302","20033115","20033201","2003301"
"2003301","20033","2003303","0","0","2003302"
"2003302","20033","0","0","0","2003303"
"0","20034","2003402","20034115","20034201","2003401"
"2003401","20034","2003403","0","0","2003402"
"2003402","20034","0","0","0","2003403"
"0","20035","2003502","20035115","20035201","2003501"
"2003501","20035","2003503","0","0","2003502"
"2003502","20035","0","0","0","2003503"
"0","20036","2003602","20036115","20036201","2003601"
"2003601","20036","2003603","0","0","2003602"
"2003602","20036","0","0","0","2003603"
"0","20037","2003702","20037115","20037201","2003701"
"2003701","20037","2003703","0","0","2003702"
"2003702","20037","0","0","0","2003703"
"0","20038","2003802","20038115","20038201","2003801"
"2003801","20038","2003803","0","0","2003802"
"2003802","20038","0","0","0","2003803"
"0","20039","2003902","20039115","20039201","2003901"
"2003901","20039","2003903","0","0","2003902"
"2003902","20039","0","0","0","2003903"
"0","20040","2004002","20040115","20040201","2004001"
"2004001","20040","2004003","0","0","2004002"
"2004002","20040","0","0","0","2004003"
"0","20041","2004102","20041115","20041201","2004101"
"2004101","20041","2004103","0","0","2004102"
"2004102","20041","0","0","0","2004103"
"0","20042","2004202","20042115","20042201","2004201"
"2004201","20042","2004203","0","0","2004202"
"2004202","20042","0","0","0","2004203"
"0","20043","2004302","20043115","20043201","2004301"
"2004301","20043","2004303","0","0","2004302"
"2004302","20043","0","0","0","2004303"
"0","20044","2004402","20044115","20044201","2004401"
"2004401","20044","2004403","0","0","2004402"
"2004402","20044","0","0","0","2004403"
"0","20045","2004502","20045115","20045201","2004501"
"2004501","20045","2004503","0","0","2004502"
"2004502","20045","0","0","0","2004503"
"0","20046","2004602","20046115","20046201","2004601"
"2004601","20046","2004603","0","0","2004602"
"2004602","20046","0","0","0","2004603"
"0","20047","2004702","20047115","20047201","2004701"
"2004701","20047","2004703","0","0","2004702"
"2004702","20047","0","0","0","2004703"
"0","20048","2004802","20048115","20048201","2004801"
"2004801","20048","2004803","0","0","2004802"
"2004802","20048","0","0","0","2004803"
"0","20049","2004902","20049115","20049201","2004901"
"2004901","20049","2004903","0","0","2004902"
"2004902","20049","2004904","0","0","2004903"
"0","20050","2005002","20050115","20050201","2005001"
"2005001","20050","2005003","0","0","2005002"
"2005002","20050","0","0","0","2005003"
"0","20051","2005102","20051115","20051201","2005101"
"2005101","20051","2005103","0","0","2005102"
"2005102","20051","0","0","0","2005103"
"0","20052","2005202","20052115","20052201","2005201"
"2005201","20052","2005203","0","0","2005202"
"2005202","20052","0","0","0","2005203"
"0","20053","2005302","20053115","20053201","2005301"
"2005301","20053","2005303","0","0","2005302"
"2005302","20053","0","0","0","2005303"
"0","20054","2005402","20054115","20054201","2005401"
"2005401","20054","2005403","0","0","2005402"
"2005402","20054","0","0","0","2005403"
"0","20055","2005502","20055115","20055201","2005501"
"2005501","20055","2005503","0","0","2005502"
"2005502","20055","0","0","0","2005503"
"0","20056","2005602","20056115","20056201","2005601"
"2005601","20056","2005603","0","0","2005602"
"2005602","20056","0","0","0","2005603"
"0","20057","2005702","20057115","20057201","2005701"
"2005701","20057","2005703","0","0","2005702"
"2005702","20057","0","0","0","2005703"
"0","20058","2005802","20058115","20058201","2005801"
"2005801","20058","2005803","0","0","2005802"
"2005802","20058","0","0","0","2005803"
"0","20059","2005902","20059115","20059201","2005901"
"2005901","20059","2005903","0","0","2005902"
"2005902","20059","0","0","0","2005903"
"0","20060","2006002","20060115","20060201","2006001"
"2006001","20060","2006003","0","0","2006002"
"2006002","20060","0","0","0","2006003"
"0","20061","2006102","20061115","20061201","2006101"
"2006101","20061","2006103","0","0","2006102"
"2006102","20061","0","0","0","2006103"
