12a82f15c7674305a89954e95c452420e9faf6d00d10bf94a199009056f177c4,9ab0deb23895a9f10bf5fb0757c711cf3ae62973bb65c25465c1dff8bf471e48,aee8ae30b42414f26e87639a5b3708681b4a27568fc0b868be49f090df1e1731,17c9ad5b9e667215f4cea8e326d65713b2acdde9d8232ea8ec1242d2552e6706,c04bb44f5ae47ab54f50bb30b660a3601249396d99db1040e537c96b0a949ba9,960559cf6e6d70b88c988ee06d24655f3d95b75edd520dc5ebf79c46c4d41aa6,56d05251c485011f7d288cf21b8f0e4927d4edf020a5d58f16e6cbeb227252eb,d67028eafc23bea364ae6a6e777ed83f4a825595fd1b6350d4ea9bf7bcf374fe,865f4e96d8ac03fc2368419c7aa9038224ff660523926ba236aaa342acbd26a8,659d25d189f6ac8ec1593f1da03fa6c74066fbed8da56c89b847e1fb02e47206,089102589afd2272997bbbf6ae48b18e4af929a3bc2fed94f39aeadf6eb4ba3b
"0.2","1","","6","1060002","0.2","3","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","6","1060003","","vo_minigame_1006","0","vo_minigame_1006_top_603","21","0"
"","0","0","6","1060004","0","3","0","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","11","8"
"","","","6","1060005","","3","","","93",""
"","1","","6","1060006","0.2","3","pkb_idle_guts_l","pkb_talk_guts_l","3","0"
"","","","6","1060007","","1060004","","","91",""
"","","","6","1060008","0.2","3","","pkb_idle_normal_l","3","1"
"1","-175","pkb_idle_normal","7","1070001","1.65","1","64","113411","1","100"
"0.2","1","","7","1070002","0.2","113411","pkb_talk_joy1","pkb_talk_fun","3","0"
"","","","7","1070003","","vo_minigame_1006","0","vo_minigame_1006_top_201","21","0"
"0","0","0","7","1070004","0","113411","0","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","11","8"
"","","","7","1070005","","3.4","","","93",""
"0.2","1","","7","1070006","0.2","113411","pkb_idle_normal","pkb_talk_handsup","3","0"
"","","","7","1070007","","1070004","","","91",""
"","","","7","1070008","0.2","113411","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","8","1080001","1.65","1","64","113411","1","100"
"","","","8","1080002","0.2","113411","","pkb_talk_joy2","3","1"
"","","","8","1080003","","vo_minigame_1006","0","vo_minigame_1006_top_202","21","0"
"0","0","-1","8","1080004","0","113411","0","初音也要一起\n幫忙練習～！\n閃亮亮～☆","11","8"
"","","","8","1080005","","3.6","","","93",""
"","","","8","1080006","0.2","113411","","pkb_hatsune_kiran","3","0"
"","","","8","1080007","","1080004","","","91",""
"","","","8","1080008","0.2","113411","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","9","1090001","1.65","1","64","113411","1","100"
"","","","9","1090002","0.2","113411","","pkb_talk_joy2","3","1"
"","","","9","1090003","","vo_minigame_1006","0","vo_minigame_1006_top_203","21","0"
"0","0","0","9","1090004","0","113411","0","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","11","6"
"","","","9","1090005","","3","","","93",""
"0.2","1","","9","1090006","0.2","113411","pkb_idle_surprise1","pkb_surprise","3","0"
"","","","9","1090007","","1","","","93",""
"","","","9","1090008","0.2","113411","","pkb_talk_joy3","3","1"
"","","","9","1090009","","1090004","","","91",""
"","","","9","1090010","0.2","113411","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","10","1100001","1.65","1","64","106531","1","100"
"","1","","10","1100002","0.2","106531","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","10","1100003","","vo_minigame_1006","0","vo_minigame_1006_top_301","21","0"
"0","0","0","10","1100004","0","106531","0","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！","11","8"
"","","","10","1100005","","2.8","","","93",""
"","","","10","1100006","0.2","106531","","pkb_talk_joy1","3","1"
"","","","10","1100007","","1100004","","","91",""
"","","","10","1100008","0.2","106531","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","11","1110001","1.65","1","64","106531","1","100"
"","","","11","1110002","0.2","106531","","pkb_talk_normal","3","1"
"","","","11","1110003","","vo_minigame_1006","0","vo_minigame_1006_top_302","21","0"
"0","0","0","11","1110004","0","106531","0","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？","11","8"
"","","","11","1110005","","3.2","","","93",""
"0.2","1","","11","1110006","0.2","106531","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","11","1110007","","1110004","","","91",""
"","","","11","1110008","0.2","106531","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","12","1120001","1.65","1","64","106531","1","100"
"0.2","1","","12","1120002","0.2","106531","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","12","1120003","","vo_minigame_1006","0","vo_minigame_1006_top_303","21","0"
"0","0","0.5","12","1120004","0","106531","0","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！","11","8"
"","","","12","1120005","","3.2","","","93",""
"","1","","12","1120006","0.2","106531","pkb_idle_doya","pkb_talk_doya","3","0"
"","","","12","1120007","","1120004","","","91",""
"","","","12","1120008","0.2","106531","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","13","1130001","1.65","1","64","102311","1","100"
"0.4","1","","13","1130002","0.2","102311","pkb_talk_joy1","pkb_talk_fun","3","0"
"","","","13","1130003","","vo_minigame_1006","0","vo_minigame_1006_top_401","21","0"
"0","0","0","13","1130004","0","102311","0","今天也要打很多球！\n一起加油吧，\n噗吉！","11","8"
"","","","13","1130005","","1130004","","","91",""
"","","","13","1130006","0.2","102311","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","14","1140001","1.65","1","64","102311","1","100"
"","","","14","1140002","0.2","102311","","pkb_talk_joy1","3","1"
"","","","14","1140003","","vo_minigame_1006","0","vo_minigame_1006_top_402","21","0"
"0","0","0","14","1140004","0","102311","0","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！","11","8"
"","","","14","1140005","","3","","","93",""
"","1","","14","1140006","0.2","102311","pkb_idle_doya","pkb_talk_doya","3","0"
"","","","14","1140007","","1140004","","","91",""
"","","","14","1140008","0.2","102311","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","15","1150001","1.65","1","64","102311","1","100"
"","","","15","1150002","0.2","102311","","pkb_talk_wish","3","1"
"","","","15","1150003","","vo_minigame_1006","0","vo_minigame_1006_top_403","21","0"
"0","0","-0.5","15","1150004","0","102311","0","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！","11","8"
"","","","15","1150005","","2.4","","","93",""
"0.4","1","","15","1150006","0.2","102311","pkb_talk_joy1","pkb_talk_fun","3","0"
"","","","15","1150007","","1150004","","","91",""
"","","","15","1150008","0.2","102311","","pkb_idle_normal","3","1"
"1","-155","pkb_idle_normal_l","16","1160001","57","1","64","1","5","100"
"0.2","1","","16","1160002","0.2","1","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","16","1160003","","vo_minigame_1006","0","vo_minigame_1006_top_701","21","0"
"0","0","0","16","1160004","0","1","0","以全國大賽為目標，\n今天也來努力練習吧！","11","8"
"","","","16","1160005","","2.6","","","93",""
"0.2","1","","16","1160006","0.2","1","pkb_idle_doya_l","pkb_talk_doya_l","3","0"
"","","","16","1160007","","1160004","","","91",""
"","","","16","1160008","0.2","1","","pkb_idle_normal_l","3","1"
"1","-155","pkb_idle_normal_l","17","1170001","57","1","64","1","5","100"
"","1","","17","1170002","0.2","1","pkb_idle_guts_l","pkb_talk_guts_l","3","0"
"","","","17","1170003","","vo_minigame_1006","0","vo_minigame_1006_top_702","21","0"
"0","0","0","17","1170004","0","1","0","為了實現夢想，\n大家來盡全力\n練習吧！","11","8"
"","","","17","1170005","","0","","","91",""
"","","","17","1170006","0.2","1","","pkb_idle_normal_l","3","1"
"1","-155","pkb_idle_normal_l","18","1180001","57","1","64","1","5","100"
"0.2","1","","18","1180002","0.2","1","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","18","1180003","","vo_minigame_1006","0","vo_minigame_1006_top_703","21","0"
"0","0","0","18","1180004","0","1","0","社員們也都\n進步了好多……\n我可不能落後了！","11","8"
"","","","18","1180005","","2.9","","","93",""
"","1","","18","1180006","0.2","1","pkb_idle_guts_l","pkb_talk_guts_l","3","0"
"","","","18","1180007","","1180004","","","91",""
"","","","18","1180008","0.2","1","","pkb_idle_normal_l","3","1"
"1","-155","pkb_idle_normal_l","19","1190001","57","2","64","2","5","100"
"0.2","1","","19","1190002","0.2","2","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","19","1190003","","vo_minigame_1006","0","vo_minigame_1006_top_801","21","0"
"0","0","0","19","1190004","0","2","0","我會把我的進步\n展現出來，畢竟\n我也是選手啊。","11","8"
"","","","19","1190005","","3.8","","","93",""
"","1","","19","1190006","0.2","2","pkb_idle_guts_l","pkb_talk_guts_l","3","0"
"","","","19","1190007","","1190004","","","91",""
"","","","19","1190008","0.2","2","","pkb_idle_normal_l","3","1"
"1","-155","pkb_idle_normal_l","20","1200001","57","2","64","2","5","100"
"","1","","20","1200002","0.2","2","pkb_idle_guts_l","pkb_talk_guts_l","3","0"
"","","","20","1200003","","vo_minigame_1006","0","vo_minigame_1006_top_802","21","0"
"0","0","0","20","1200004","0","2","0","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。","11","8"
"","","","20","1200005","","3.2","","","93",""
"","1","","20","1200006","0.2","2","pkb_idle_doya_l","pkb_talk_doya_l","3","0"
"","","","20","1200007","","1200004","","","91",""
"","","","20","1200008","0.2","2","","pkb_idle_normal_l","3","1"
"1","-155","pkb_idle_normal_l","21","1210001","57","2","64","2","5","100"
"0.2","1","","21","1210002","0.2","2","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","21","1210003","","vo_minigame_1006","0","vo_minigame_1006_top_803","21","0"
"0","0","0","21","1210004","0","2","0","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。","11","8"
"","","","21","1210005","","0","","","91",""
"","","","21","1210006","0.2","2","","pkb_idle_normal_l","3","1"
"0","-150","pkb_idle_normal","22","1220001","1.6","1","-20","113511","1","100"
"1","-150","pkb_idle_normal","22","1220002","1.6","1","170","113411","1","100"
"","","","22","1220003","0.2","113511","","pkb_talk_joy1","3","1"
"","","","22","1220004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_1_101","21","0"
"0","0","-0.5","22","1220005","0","113511","0","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪","11","6"
"","","","22","1220006","","0","","","91",""
"","","","22","1220007","0.2","113511","","pkb_idle_normal","3","1"
"","","","22","1220008","0.2","113411","","pkb_talk_joy1","3","1"
"","","","22","1220009","","vo_minigame_1006","0","vo_minigame_1006_top_talk_1_202","21","0"
"0","0","-0.5","22","1220010","0","113411","0","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！","11","6"
"","","","22","1220011","","4","","","93",""
"0","1","","22","1220012","0.2","113411","pkb_idle_normal","pkb_talk_handsup","3","0"
"","","","22","1220013","","1220010","","","91",""
"","","","22","1220014","0.2","113411","","pkb_idle_normal","3","1"
"1","-150","pkb_idle_normal","23","1230001","1.6","1","170","113411","1","100"
"0","-150","pkb_idle_normal","23","1230002","1.6","1","-20","113511","1","100"
"","","","23","1230003","0.2","113411","","pkb_talk_normal","3","1"
"","","","23","1230004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_2_201","21","0"
"0","0","-1.5","23","1230005","0","113411","0","美里老師也來一起\n幫忙加油嘛！","11","8"
"","","","23","1230006","","0","","","91",""
"","","","23","1230007","0.2","113411","","pkb_idle_normal","3","1"
"","","","23","1230008","0.2","113511","","pkb_talk_normal","3","1"
"","","","23","1230009","","vo_minigame_1006","0","vo_minigame_1006_top_talk_2_102","21","0"
"0","0","3","23","1230010","0","113511","0","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！","11","5"
"","","","23","1230011","","4","","","93",""
"0.2","0","","23","1230012","0.2","113511","pkb_talk_fun","pkb_talk_fun","3","0"
"","","","23","1230013","","2.7","","","93",""
"0.2","1","","23","1230014","0.2","113511","pkb_talk_joy1","pkb_idle_normal","3","0"
"","","","23","1230015","","1230010","","","91",""
"","","","23","1230016","0.2","113511","","pkb_idle_normal","3","1"
"1","-150","pkb_idle_normal","24","1240001","1.6","1","170","113511","1","100"
"0","-130","pkb_idle_normal","24","1240002","55","3","-20","3","5","100"
"","","","24","1240003","0.2","113511","","pkb_talk_joy3","3","1"
"","","","24","1240004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_3_101","21","0"
"0","0","-1","24","1240005","0","113511","0","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～","11","6"
"","","","24","1240006","","4","","","93",""
"","","","24","1240007","0.2","113511","","pkb_talk_wish","3","1"
"","","","24","1240008","","1240005","","","91",""
"","","","24","1240009","0.2","113511","","pkb_idle_normal","3","1"
"","","","24","1240010","0.2","3","","pkb_talk_normal","3","1"
"","","","24","1240011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_3_602","21","0"
"0","0","-1","24","1240012","0","3","0","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！","11","6"
"","","","24","1240013","","2","","","93",""
"","1","","24","1240014","0.2","3","pkb_idle_doya","pkb_talk_doya","3","0"
"","","","24","1240015","","1240012","","","91",""
"","","","24","1240016","0.2","3","","pkb_idle_normal","3","1"
"0","-130","pkb_idle_normal","25","1250001","55","3","-20","3","5","100"
"1","-150","pkb_idle_normal","25","1250002","1.6","1","170","113511","1","100"
"0.2","1","","25","1250003","0.2","3","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","25","1250004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_4_601","21","0"
"0","0","-0.5","25","1250005","0","3","0","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！","11","8"
"","","","25","1250006","","3","","","93",""
"","1","","25","1250007","0.2","3","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","25","1250008","","1250005","","","91",""
"","","","25","1250009","0.2","3","","pkb_idle_normal","3","1"
"","","","25","1250010","0.2","113511","","pkb_talk_wish","3","1"
"","","","25","1250011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_4_102","21","0"
"0","0","1","25","1250012","0","113511","0","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪","11","6"
"","","","25","1250013","","5.6","","","93",""
"0.2","1","","25","1250014","0.2","113511","pkb_idle_normal","pkb_talk_handsup","3","0"
"","","","25","1250015","","0","","","91",""
"","","","25","1250016","0.2","113511","","pkb_idle_normal","3","1"
"1","-150","pkb_idle_normal","26","1260001","1.6","1","170","113511","1","100"
"0","-130","pkb_idle_normal","26","1260002","55","1","-20","1","5","100"
"","","","26","1260003","0.2","113511","","pkb_talk_joy3","3","1"
"","","","26","1260004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_5_101","21","0"
"0","0","0","26","1260005","0","113511","0","呵呵，老師也會\n一起協助你們練習的～","11","6"
"","","","26","1260006","","0","","","91",""
"","","","26","1260007","0.2","113511","","pkb_idle_normal","3","1"
"0.2","1","","26","1260008","0.2","1","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","26","1260009","","vo_minigame_1006","0","vo_minigame_1006_top_talk_5_702","21","0"
"0","0","-1","26","1260010","0","1","0","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！","11","8"
"","","","26","1260011","","0","","","91",""
"","","","26","1260012","0.2","1","","pkb_idle_normal","3","1"
"0","-130","pkb_idle_normal","27","1270001","55","1","-20","1","5","100"
"1","-150","pkb_idle_normal","27","1270002","1.6","1","170","113511","1","100"
"0.2","1","","27","1270003","0.2","1","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","27","1270004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_6_701","21","0"
"0","0","-0.5","27","1270005","0","1","0","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！","11","8"
"","","","27","1270006","","2.6","","","93",""
"0.2","1","","27","1270007","0.2","1","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","27","1270008","","1270005","","","91",""
"","","","27","1270009","0.2","1","","pkb_idle_normal","3","1"
"","","","27","1270010","0.2","113511","","pkb_talk_joy3","3","1"
"","","","27","1270011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_6_102","21","0"
"0","0","0.5","27","1270012","0","113511","0","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪","11","6"
"","","","27","1270013","","4","","","93",""
"","","","27","1270014","0.2","113511","","pkb_talk_wish","3","1"
"","","","27","1270015","","1270012","","","91",""
"","","","27","1270016","0.2","113511","","pkb_idle_normal","3","1"
"1","-150","pkb_idle_normal","28","1280001","1.6","1","170","113411","1","100"
"0","-130","pkb_idle_normal","28","1280002","55","3","-20","3","5","100"
"0.2","1","","28","1280003","0.2","113411","pkb_talk_joy1","pkb_talk_yell","3","0"
"","","","28","1280004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_7_201","21","0"
"0","0","-0.5","28","1280005","0","113411","0","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！","11","8"
"","","","28","1280006","","4.6","","","93",""
"0.2","1","","28","1280007","0.2","113411","pkb_idle_normal","pkb_talk_fun","3","0"
"","","","28","1280008","","1280005","","","91",""
"","","","28","1280009","0.2","113411","","pkb_idle_normal","3","1"
"","1","","28","1280010","0.2","3","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","28","1280011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_7_602","21","0"
"0","0","0","28","1280012","0","3","0","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！","11","8"
"","","","28","1280013","","5","","","93",""
"","1","","28","1280014","0.2","3","pkb_idle_normal","pkb_talk_handsup","3","0"
"","","","28","1280015","","1280012","","","91",""
"","","","28","1280016","0.2","3","","pkb_idle_normal","3","1"
"0","-130","pkb_idle_normal","29","1290001","55","3","-20","3","5","100"
"1","-150","pkb_idle_normal","29","1290002","1.6","1","170","113411","1","100"
"0.2","1","","29","1290003","0.2","3","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","29","1290004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_8_601","21","0"
"0","0","-1","29","1290005","0","3","0","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！","11","8"
"","","","29","1290006","","2.8","","","93",""
"","1","","29","1290007","0.2","3","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","29","1290008","","1290005","","","91",""
"","","","29","1290009","0.2","3","","pkb_idle_normal","3","1"
"","","","29","1290010","0.2","113411","","pkb_talk_joy1","3","1"
"","","","29","1290011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_8_202","21","0"
"0","0","-0.5","29","1290012","0","113411","0","包在我身上！\n我會比平常還要\n更努力加油打氣的～！","11","8"
"","","","29","1290013","","2.2","","","93",""
"0.4","0","","29","1290014","0.2","113411","pkb_smile","pkb_talk_fun","3","0"
"","","","29","1290015","","2.2","","","93",""
"","","","29","1290016","0.2","113411","","pkb_idle_normal","3","1"
"","","","29","1290017","","1290012","","","91",""
"","","","29","1290018","0.2","113411","","pkb_idle_normal","3","1"
"1","-150","pkb_idle_normal","30","1300001","1.6","1","170","113411","1","100"
"0","-130","pkb_idle_normal","30","1300002","55","1","-20","1","5","100"
"","","","30","1300003","0.2","113411","","pkb_talk_joy1","3","1"
"","","","30","1300004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_9_201","21","0"
"0","0","1","30","1300005","0","113411","0","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！","11","8"
"","","","30","1300006","","5","","","93",""
"","1","","30","1300007","0.2","113411","pkb_idle_normal","pkb_talk_handsup","3","0"
"","","","30","1300008","","1300005","","","91",""
"","","","30","1300009","0.2","113411","","pkb_idle_normal","3","1"
"","","","30","1300010","0.2","1","","pkb_talk_normal","3","1"
"","","","30","1300011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_9_702","21","0"
"0","0","-1","30","1300012","0","1","0","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！","11","8"
"","","","30","1300013","","3.3","","","93",""
"","1","","30","1300014","0.2","1","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","30","1300015","","1300012","","","91",""
"","","","30","1300016","0.2","1","","pkb_idle_normal","3","1"
"0","-130","pkb_idle_normal","31","1310001","55","1","-20","1","5","100"
"1","-150","pkb_idle_normal","31","1310002","1.6","1","170","113411","1","100"
"0.2","1","","31","1310003","0.2","1","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","31","1310004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_10_701","21","0"
"0","0","-1.5","31","1310005","0","1","0","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！","11","8"
"","","","31","1310006","","3.6","","","93",""
"","1","","31","1310007","0.2","1","pkb_idle_doya","pkb_talk_doya","3","0"
"","","","31","1310008","","1310005","","","91",""
"","","","31","1310009","0.2","1","","pkb_idle_normal","3","1"
"","","","31","1310010","0.2","113411","","pkb_talk_joy1","3","1"
"","","","31","1310011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_10_202","21","0"
"0","0","-0.5","31","1310012","0","113411","0","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆","11","8"
"","","","31","1310013","","3.6","","","93",""
"","0","","31","1310014","0.2","113411","pkb_talk_fun","pkb_talk_fun","3","0"
"","","","31","1310015","","3","","","93",""
"","","","31","1310016","0.2","113411","","pkb_idle_normal","3","1"
"","","","31","1310017","","1310012","","","91",""
"0","-130","pkb_idle_normal","32","1320001","55","2","-20","2","5","100"
"1","-150","pkb_idle_normal","32","1320002","1.6","1","170","113411","1","100"
"","1","","32","1320003","0.2","2","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","32","1320004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_11_801","21","0"
"0","0","0","32","1320005","0","2","0","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。","11","8"
"","","","32","1320006","","5","","","93",""
"","1","","32","1320007","0.2","2","pkb_idle_doya","pkb_talk_doya","3","0"
"","","","32","1320008","","1320005","","","91",""
"","","","32","1320009","0.2","2","","pkb_idle_normal","3","1"
"","","","32","1320010","0.2","113411","","pkb_talk_joy2","3","1"
"","","","32","1320011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_11_202","21","0"
"0","0","0","32","1320012","0","113411","0","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！","11","8"
"","","","32","1320013","","4.6","","","93",""
"0.2","1","","32","1320014","0.2","113411","pkb_idle_normal","pkb_hatsune_kiran","3","0"
"","","","32","1320015","","1320012","","","91",""
"","","","32","1320016","0.2","113411","","pkb_idle_normal","3","1"
"1","-150","pkb_idle_normal","33","1330001","1.6","1","170","102311","1","100"
"0","-130","pkb_idle_normal","33","1330002","55","2","-20","2","5","100"
"","","","33","1330003","0.2","102311","","pkb_talk_normal","3","1"
"","","","33","1330004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_12_401","21","0"
"0","0","-0.5","33","1330005","0","102311","0","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！","11","8"
"","","","33","1330006","","1.6","","","93",""
"0.2","1","","33","1330007","0.2","102311","pkb_talk_joy1","pkb_talk_yell","3","0"
"","","","33","1330008","","1330005","","","91",""
"","","","33","1330009","0.2","102311","","pkb_idle_normal","3","1"
"","","","33","1330010","","vo_minigame_1006","0","vo_minigame_1006_top_talk_12_802","21","0"
"0","0","0","33","1330011","0","2","0","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。","11","8"
"","","","33","1330012","","0.5","","","93",""
"","","","33","1330013","0.2","2","","pkb_talk_yell","3","0"
"","","","33","1330014","","3","","","93",""
