529dcea136df26f52b44936b4385cd0d534067ed31073141036143df47d4736f,8677b7cdce9f2e17117ac6f18255aa14c2f8753cb380f655fd932bdf5ac6e5ef,b0b560c63b643f6721efcde5e0f51a73bcb7d87dbae50cee73e36c1ceb948e3c,51a2be39289325a1c5b61c7d55c1c7b19a995cb45c7745f740a6fc4945932d9b,b0adbbd624ec5371b166575e193b970521f743b6a582aa62c31840136fd1fb29,0326e178ab5af1c03bbb4648d67eb3e37f67059a69f236372696f2fc386dd5fa,9508b7c215d018ae1b040d1f86dff33219d9cacd05338f36a5a12264748fcd54
"810102501","810102504","810010251","810102505","81001025","810102502","810102503"
"810102601","810102604","810010261","810102605","81001026","810102602","810102603"
"810102701","810102704","810010271","810102705","81001027","810102702","810102703"
"810102801","810102804","810010281","810102805","81001028","810102802","810102803"
"810102901","810102904","810010291","810102905","81001029","810102902","810102903"
"810103001","0","810010301","0","81001030","0","0"
"810103101","810103104","810010311","810103105","81001031","810103102","810103103"
"810103201","810103204","810010321","810103205","81001032","810103202","810103203"
"810103301","810103304","810010331","810103305","81001033","810103302","810103303"
"810103401","810103404","810010341","810103405","81001034","810103402","810103403"
"810103501","810103504","810010351","810103505","81001035","810103502","810103503"
"810103601","810103604","810010361","810103605","81001036","810103602","810103603"
"810103701","810103704","810010371","810103705","81001037","810103702","810103703"
"810103801","810103804","810010381","810103805","81001038","810103802","810103803"
"810103901","810103904","810010391","810103905","81001039","810103902","810103903"
"810104001","0","810010401","0","81001040","0","0"
"810104101","810104104","810010411","810104105","81001041","810104102","810104103"
"810104201","810104204","810010421","810104205","81001042","810104202","810104203"
"810104301","810104304","810010431","810104305","81001043","810104302","810104303"
"810104401","810104404","810010441","810104405","81001044","810104402","810104403"
"810104501","810104504","810010451","810104505","81001045","810104502","810104503"
"810104601","810104604","810010461","810104605","81001046","810104602","810104603"
"810104701","810104704","810010471","810104705","81001047","810104702","810104703"
"810104801","810104804","810010481","810104805","81001048","810104802","810104803"
"810104901","810104904","810010491","810104905","81001049","810104902","810104903"
"810105001","0","810010501","0","81001050","0","0"
"810105101","810105104","810010511","810105105","81001051","810105102","810105103"
"810105201","810105204","810010521","810105205","81001052","810105202","810105203"
"810105301","810105304","810010531","810105305","81001053","810105302","810105303"
"810105401","810105404","810010541","810105405","81001054","810105402","810105403"
"810105501","810105504","810010551","810105505","81001055","810105502","810105503"
"810105601","810105604","810010561","810105605","81001056","810105602","810105603"
"810105701","810105704","810010571","810105705","81001057","810105702","810105703"
"810105801","810105804","810010581","810105805","81001058","810105802","810105803"
"810105901","810105904","810010591","810105905","81001059","810105902","810105903"
"810106001","0","810010601","0","81001060","0","0"
"810106101","810106104","810010611","810106105","81001061","810106102","810106103"
"810106201","810106204","810010621","810106205","81001062","810106202","810106203"
"810106301","810106304","810010631","810106305","81001063","810106302","810106303"
"810106401","810106404","810010641","810106405","81001064","810106402","810106403"
"810106501","810106504","810010651","810106505","81001065","810106502","810106503"
"810106601","810106604","810010661","810106605","81001066","810106602","810106603"
"810106701","810106704","810010671","810106705","81001067","810106702","810106703"
"810106801","810106804","810010681","810106805","81001068","810106802","810106803"
"810106901","810106904","810010691","810106905","81001069","810106902","810106903"
"810107001","0","810010701","0","81001070","0","0"
"820100101","820100104","820010011","820100105","82001001","820100102","820100103"
"820100201","820100204","820010021","820100205","82001002","820100202","820100203"
"820100301","820100304","820010031","820100305","82001003","820100302","820100303"
"820100401","820100404","820010041","820100405","82001004","820100402","820100403"
"820100501","820100504","820010051","820100505","82001005","820100502","820100503"
"820100601","820100604","820010061","820100605","82001006","820100602","820100603"
"820100701","820100704","820010071","820100705","82001007","820100702","820100703"
"820100801","820100804","820010081","820100805","82001008","820100802","820100803"
"820100901","820100904","820010091","820100905","82001009","820100902","820100903"
"820101001","0","820010101","0","82001010","0","0"
"820101101","820101104","820010111","820101105","82001011","820101102","820101103"
"820101201","820101204","820010121","820101205","82001012","820101202","820101203"
"820101301","820101304","820010131","820101305","82001013","820101302","820101303"
"820101401","820101404","820010141","820101405","82001014","820101402","820101403"
"820101501","820101504","820010151","820101505","82001015","820101502","820101503"
"820101601","820101604","820010161","820101605","82001016","820101602","820101603"
"820101701","820101704","820010171","820101705","82001017","820101702","820101703"
"820101801","820101804","820010181","820101805","82001018","820101802","820101803"
"820101901","820101904","820010191","820101905","82001019","820101902","820101903"
"820102001","0","820010201","0","82001020","0","0"
"820102101","820102104","820010211","820102105","82001021","820102102","820102103"
"820102201","820102204","820010221","820102205","82001022","820102202","820102203"
"820102301","820102304","820010231","820102305","82001023","820102302","820102303"
"820102401","820102404","820010241","820102405","82001024","820102402","820102403"
"820102501","820102504","820010251","820102505","82001025","820102502","820102503"
"820102601","820102604","820010261","820102605","82001026","820102602","820102603"
"820102701","820102704","820010271","820102705","82001027","820102702","820102703"
"820102801","820102804","820010281","820102805","82001028","820102802","820102803"
"820102901","820102904","820010291","820102905","82001029","820102902","820102903"
"820103001","0","820010301","0","82001030","0","0"
"820103101","820103104","820010311","820103105","82001031","820103102","820103103"
"820103201","820103204","820010321","820103205","82001032","820103202","820103203"
"820103301","820103304","820010331","820103305","82001033","820103302","820103303"
"820103401","820103404","820010341","820103405","82001034","820103402","820103403"
"820103501","820103504","820010351","820103505","82001035","820103502","820103503"
"820103601","820103604","820010361","820103605","82001036","820103602","820103603"
"820103701","820103704","820010371","820103705","82001037","820103702","820103703"
"820103801","820103804","820010381","820103805","82001038","820103802","820103803"
"820103901","820103904","820010391","820103905","82001039","820103902","820103903"
"820104001","0","820010401","0","82001040","0","0"
"820104101","820104104","820010411","820104105","82001041","820104102","820104103"
"820104201","820104204","820010421","820104205","82001042","820104202","820104203"
"820104301","820104304","820010431","820104305","82001043","820104302","820104303"
"820104401","820104404","820010441","820104405","82001044","820104402","820104403"
"820104501","820104504","820010451","820104505","82001045","820104502","820104503"
"820104601","820104604","820010461","820104605","82001046","820104602","820104603"
"820104701","820104704","820010471","820104705","82001047","820104702","820104703"
"820104801","820104804","820010481","820104805","82001048","820104802","820104803"
"820104901","820104904","820010491","820104905","82001049","820104902","820104903"
"820105001","0","820010501","0","82001050","0","0"
"820105101","820105104","820010511","820105105","82001051","820105102","820105103"
"820105201","820105204","820010521","820105205","82001052","820105202","820105203"
"820105301","820105304","820010531","820105305","82001053","820105302","820105303"
"820105401","820105404","820010541","820105405","82001054","820105402","820105403"
"820105501","820105504","820010551","820105505","82001055","820105502","820105503"
"820105601","820105604","820010561","820105605","82001056","820105602","820105603"
"820105701","820105704","820010571","820105705","82001057","820105702","820105703"
"820105801","820105804","820010581","820105805","82001058","820105802","820105803"
"820105901","820105904","820010591","820105905","82001059","820105902","820105903"
"820106001","0","820010601","0","82001060","0","0"
"820106101","820106104","820010611","820106105","82001061","820106102","820106103"
"820106201","820106204","820010621","820106205","82001062","820106202","820106203"
"820106301","820106304","820010631","820106305","82001063","820106302","820106303"
"820106401","820106404","820010641","820106405","82001064","820106402","820106403"
"820106501","820106504","820010651","820106505","82001065","820106502","820106503"
"820106601","820106604","820010661","820106605","82001066","820106602","820106603"
"820106701","820106704","820010671","820106705","82001067","820106702","820106703"
"820106801","820106804","820010681","820106805","82001068","820106802","820106803"
"820106901","820106904","820010691","820106905","82001069","820106902","820106903"
"820107001","0","820010701","0","82001070","0","0"
"830100101","830100104","830010011","830100105","83001001","830100102","830100103"
"830100201","830100204","830010021","830100205","83001002","830100202","830100203"
"830100301","830100304","830010031","830100305","83001003","830100302","830100303"
"830100401","830100404","830010041","830100405","83001004","830100402","830100403"
"830100501","830100504","830010051","830100505","83001005","830100502","830100503"
"830100601","830100604","830010061","830100605","83001006","830100602","830100603"
"830100701","830100704","830010071","830100705","83001007","830100702","830100703"
"830100801","830100804","830010081","830100805","83001008","830100802","830100803"
"830100901","830100904","830010091","830100905","83001009","830100902","830100903"
"830101001","0","830010101","0","83001010","0","0"
"830101101","830101104","830010111","830101105","83001011","830101102","830101103"
"830101201","830101204","830010121","830101205","83001012","830101202","830101203"
"830101301","830101304","830010131","830101305","83001013","830101302","830101303"
"830101401","830101404","830010141","830101405","83001014","830101402","830101403"
"830101501","830101504","830010151","830101505","83001015","830101502","830101503"
"830101601","830101604","830010161","830101605","83001016","830101602","830101603"
"830101701","830101704","830010171","830101705","83001017","830101702","830101703"
"830101801","830101804","830010181","830101805","83001018","830101802","830101803"
"830101901","830101904","830010191","830101905","83001019","830101902","830101903"
"830102001","0","830010201","0","83001020","0","0"
"830102101","830102104","830010211","830102105","83001021","830102102","830102103"
"830102201","830102204","830010221","830102205","83001022","830102202","830102203"
"830102301","830102304","830010231","830102305","83001023","830102302","830102303"
"830102401","830102404","830010241","830102405","83001024","830102402","830102403"
"830102501","830102504","830010251","830102505","83001025","830102502","830102503"
"830102601","830102604","830010261","830102605","83001026","830102602","830102603"
"830102701","830102704","830010271","830102705","83001027","830102702","830102703"
"830102801","830102804","830010281","830102805","83001028","830102802","830102803"
"830102901","830102904","830010291","830102905","83001029","830102902","830102903"
"830103001","0","830010301","0","83001030","0","0"
"830103101","830103104","830010311","830103105","83001031","830103102","830103103"
"830103201","830103204","830010321","830103205","83001032","830103202","830103203"
"830103301","830103304","830010331","830103305","83001033","830103302","830103303"
"830103401","830103404","830010341","830103405","83001034","830103402","830103403"
"830103501","830103504","830010351","830103505","83001035","830103502","830103503"
"830103601","830103604","830010361","830103605","83001036","830103602","830103603"
"830103701","830103704","830010371","830103705","83001037","830103702","830103703"
"830103801","830103804","830010381","830103805","83001038","830103802","830103803"
"830103901","830103904","830010391","830103905","83001039","830103902","830103903"
"830104001","0","830010401","0","83001040","0","0"
"830104101","830104104","830010411","830104105","83001041","830104102","830104103"
"830104201","830104204","830010421","830104205","83001042","830104202","830104203"
"830104301","830104304","830010431","830104305","83001043","830104302","830104303"
"830104401","830104404","830010441","830104405","83001044","830104402","830104403"
"830104501","830104504","830010451","830104505","83001045","830104502","830104503"
"830104601","830104604","830010461","830104605","83001046","830104602","830104603"
"830104701","830104704","830010471","830104705","83001047","830104702","830104703"
"830104801","830104804","830010481","830104805","83001048","830104802","830104803"
"830104901","830104904","830010491","830104905","83001049","830104902","830104903"
"830105001","0","830010501","0","83001050","0","0"
"830105101","830105104","830010511","830105105","83001051","830105102","830105103"
"830105201","830105204","830010521","830105205","83001052","830105202","830105203"
"830105301","830105304","830010531","830105305","83001053","830105302","830105303"
"830105401","830105404","830010541","830105405","83001054","830105402","830105403"
"830105501","830105504","830010551","830105505","83001055","830105502","830105503"
"830105601","830105604","830010561","830105605","83001056","830105602","830105603"
"830105701","830105704","830010571","830105705","83001057","830105702","830105703"
"830105801","830105804","830010581","830105805","83001058","830105802","830105803"
"830105901","830105904","830010591","830105905","83001059","830105902","830105903"
"830106001","0","830010601","0","83001060","0","0"
"830106101","830106104","830010611","830106105","83001061","830106102","830106103"
"830106201","830106204","830010621","830106205","83001062","830106202","830106203"
"830106301","830106304","830010631","830106305","83001063","830106302","830106303"
"830106401","830106404","830010641","830106405","83001064","830106402","830106403"
"830106501","830106504","830010651","830106505","83001065","830106502","830106503"
"830106601","830106604","830010661","830106605","83001066","830106602","830106603"
"830106701","830106704","830010671","830106705","83001067","830106702","830106703"
"830106801","830106804","830010681","830106805","83001068","830106802","830106803"
"830106901","830106904","830010691","830106905","83001069","830106902","830106903"
"830107001","0","830010701","0","83001070","0","0"
"840100101","840100104","840010011","840100105","84001001","840100102","840100103"
"840100201","840100204","840010021","840100205","84001002","840100202","840100203"
"840100301","840100304","840010031","840100305","84001003","840100302","840100303"
"840100401","840100404","840010041","840100405","84001004","840100402","840100403"
"840100501","840100504","840010051","840100505","84001005","840100502","840100503"
"840100601","840100604","840010061","840100605","84001006","840100602","840100603"
"840100701","840100704","840010071","840100705","84001007","840100702","840100703"
"840100801","840100804","840010081","840100805","84001008","840100802","840100803"
"840100901","840100904","840010091","840100905","84001009","840100902","840100903"
"840101001","0","840010101","0","84001010","0","0"
"840101101","840101104","840010111","840101105","84001011","840101102","840101103"
"840101201","840101204","840010121","840101205","84001012","840101202","840101203"
"840101301","840101304","840010131","840101305","84001013","840101302","840101303"
"840101401","840101404","840010141","840101405","84001014","840101402","840101403"
"840101501","840101504","840010151","840101505","84001015","840101502","840101503"
"840101601","840101604","840010161","840101605","84001016","840101602","840101603"
"840101701","840101704","840010171","840101705","84001017","840101702","840101703"
"840101801","840101804","840010181","840101805","84001018","840101802","840101803"
"840101901","840101904","840010191","840101905","84001019","840101902","840101903"
"840102001","0","840010201","0","84001020","0","0"
"840102101","840102104","840010211","840102105","84001021","840102102","840102103"
"840102201","840102204","840010221","840102205","84001022","840102202","840102203"
"840102301","840102304","840010231","840102305","84001023","840102302","840102303"
"840102401","840102404","840010241","840102405","84001024","840102402","840102403"
"840102501","840102504","840010251","840102505","84001025","840102502","840102503"
"840102601","840102604","840010261","840102605","84001026","840102602","840102603"
"840102701","840102704","840010271","840102705","84001027","840102702","840102703"
"840102801","840102804","840010281","840102805","84001028","840102802","840102803"
"840102901","840102904","840010291","840102905","84001029","840102902","840102903"
"840103001","0","840010301","0","84001030","0","0"
"840103101","840103104","840010311","840103105","84001031","840103102","840103103"
"840103201","840103204","840010321","840103205","84001032","840103202","840103203"
"840103301","840103304","840010331","840103305","84001033","840103302","840103303"
"840103401","840103404","840010341","840103405","84001034","840103402","840103403"
"840103501","840103504","840010351","840103505","84001035","840103502","840103503"
"840103601","840103604","840010361","840103605","84001036","840103602","840103603"
"840103701","840103704","840010371","840103705","84001037","840103702","840103703"
"840103801","840103804","840010381","840103805","84001038","840103802","840103803"
"840103901","840103904","840010391","840103905","84001039","840103902","840103903"
"840104001","0","840010401","0","84001040","0","0"
"840104101","840104104","840010411","840104105","84001041","840104102","840104103"
"840104201","840104204","840010421","840104205","84001042","840104202","840104203"
"840104301","840104304","840010431","840104305","84001043","840104302","840104303"
"840104401","840104404","840010441","840104405","84001044","840104402","840104403"
"840104501","840104504","840010451","840104505","84001045","840104502","840104503"
"840104601","840104604","840010461","840104605","84001046","840104602","840104603"
"840104701","840104704","840010471","840104705","84001047","840104702","840104703"
"840104801","840104804","840010481","840104805","84001048","840104802","840104803"
"840104901","840104904","840010491","840104905","84001049","840104902","840104903"
"840105001","0","840010501","0","84001050","0","0"
"840105101","840105104","840010511","840105105","84001051","840105102","840105103"
"840105201","840105204","840010521","840105205","84001052","840105202","840105203"
"840105301","840105304","840010531","840105305","84001053","840105302","840105303"
"840105401","840105404","840010541","840105405","84001054","840105402","840105403"
"840105501","840105504","840010551","840105505","84001055","840105502","840105503"
"840105601","840105604","840010561","840105605","84001056","840105602","840105603"
"840105701","840105704","840010571","840105705","84001057","840105702","840105703"
"840105801","840105804","840010581","840105805","84001058","840105802","840105803"
"840105901","840105904","840010591","840105905","84001059","840105902","840105903"
"840106001","0","840010601","0","84001060","0","0"
"840106101","840106104","840010611","840106105","84001061","840106102","840106103"
"840106201","840106204","840010621","840106205","84001062","840106202","840106203"
"840106301","840106304","840010631","840106305","84001063","840106302","840106303"
"840106401","840106404","840010641","840106405","84001064","840106402","840106403"
"840106501","840106504","840010651","840106505","84001065","840106502","840106503"
"840106601","840106604","840010661","840106605","84001066","840106602","840106603"
"840106701","840106704","840010671","840106705","84001067","840106702","840106703"
"840106801","840106804","840010681","840106805","84001068","840106802","840106803"
"840106901","840106904","840010691","840106905","84001069","840106902","840106903"
"840107001","0","840010701","0","84001070","0","0"
"850100101","850100104","850010011","850100105","85001001","850100102","850100103"
"850100201","850100204","850010021","850100205","85001002","850100202","850100203"
"850100301","850100304","850010031","850100305","85001003","850100302","850100303"
"850100401","850100404","850010041","850100405","85001004","850100402","850100403"
"850100501","850100504","850010051","850100505","85001005","850100502","850100503"
"850100601","850100604","850010061","850100605","85001006","850100602","850100603"
"850100701","850100704","850010071","850100705","85001007","850100702","850100703"
"850100801","850100804","850010081","850100805","85001008","850100802","850100803"
"850100901","850100904","850010091","850100905","85001009","850100902","850100903"
"850101001","0","850010101","0","85001010","0","0"
"850101101","850101104","850010111","850101105","85001011","850101102","850101103"
"850101201","850101204","850010121","850101205","85001012","850101202","850101203"
"850101301","850101304","850010131","850101305","85001013","850101302","850101303"
"850101401","850101404","850010141","850101405","85001014","850101402","850101403"
"850101501","850101504","850010151","850101505","85001015","850101502","850101503"
"850101601","850101604","850010161","850101605","85001016","850101602","850101603"
"850101701","850101704","850010171","850101705","85001017","850101702","850101703"
"850101801","850101804","850010181","850101805","85001018","850101802","850101803"
"850101901","850101904","850010191","850101905","85001019","850101902","850101903"
"850102001","0","850010201","0","85001020","0","0"
"850102101","850102104","850010211","850102105","85001021","850102102","850102103"
"850102201","850102204","850010221","850102205","85001022","850102202","850102203"
"850102301","850102304","850010231","850102305","85001023","850102302","850102303"
"850102401","850102404","850010241","850102405","85001024","850102402","850102403"
"850102501","850102504","850010251","850102505","85001025","850102502","850102503"
"850102601","850102604","850010261","850102605","85001026","850102602","850102603"
"850102701","850102704","850010271","850102705","85001027","850102702","850102703"
"850102801","850102804","850010281","850102805","85001028","850102802","850102803"
"850102901","850102904","850010291","850102905","85001029","850102902","850102903"
"850103001","0","850010301","0","85001030","0","0"
"850103101","850103104","850010311","850103105","85001031","850103102","850103103"
"850103201","850103204","850010321","850103205","85001032","850103202","850103203"
"850103301","850103304","850010331","850103305","85001033","850103302","850103303"
"850103401","850103404","850010341","850103405","85001034","850103402","850103403"
"850103501","850103504","850010351","850103505","85001035","850103502","850103503"
"850103601","850103604","850010361","850103605","85001036","850103602","850103603"
"850103701","850103704","850010371","850103705","85001037","850103702","850103703"
"850103801","850103804","850010381","850103805","85001038","850103802","850103803"
"850103901","850103904","850010391","850103905","85001039","850103902","850103903"
"850104001","0","850010401","0","85001040","0","0"
"850104101","850104104","850010411","850104105","85001041","850104102","850104103"
"850104201","850104204","850010421","850104205","85001042","850104202","850104203"
"850104301","850104304","850010431","850104305","85001043","850104302","850104303"
"850104401","850104404","850010441","850104405","85001044","850104402","850104403"
"850104501","850104504","850010451","850104505","85001045","850104502","850104503"
"850104601","850104604","850010461","850104605","85001046","850104602","850104603"
"850104701","850104704","850010471","850104705","85001047","850104702","850104703"
"850104801","850104804","850010481","850104805","85001048","850104802","850104803"
"850104901","850104904","850010491","850104905","85001049","850104902","850104903"
"850105001","0","850010501","0","85001050","0","0"
"850105101","850105104","850010511","850105105","85001051","850105102","850105103"
"850105201","850105204","850010521","850105205","85001052","850105202","850105203"
"850105301","850105304","850010531","850105305","85001053","850105302","850105303"
"850105401","850105404","850010541","850105405","85001054","850105402","850105403"
"850105501","850105504","850010551","850105505","85001055","850105502","850105503"
"850105601","850105604","850010561","850105605","85001056","850105602","850105603"
"850105701","850105704","850010571","850105705","85001057","850105702","850105703"
"850105801","850105804","850010581","850105805","85001058","850105802","850105803"
"850105901","850105904","850010591","850105905","85001059","850105902","850105903"
"850106001","0","850010601","0","85001060","0","0"
"850106101","850106104","850010611","850106105","85001061","850106102","850106103"
"850106201","850106204","850010621","850106205","85001062","850106202","850106203"
"850106301","850106304","850010631","850106305","85001063","850106302","850106303"
"850106401","850106404","850010641","850106405","85001064","850106402","850106403"
"850106501","850106504","850010651","850106505","85001065","850106502","850106503"
"850106601","850106604","850010661","850106605","85001066","850106602","850106603"
"850106701","850106704","850010671","850106705","85001067","850106702","850106703"
"850106801","850106804","850010681","850106805","85001068","850106802","850106803"
"850106901","850106904","850010691","850106905","85001069","850106902","850106903"
"850107001","0","850010701","0","85001070","0","0"
