ea66dabb15f8f01e184142d99025f10c8c11d4ce155afc6adb26b41bcff94876,b45283d29e341a8ffa9f8abcac81fb51f642eb5f7467fa2697702cb7a89969be,da0f8f3746b591a70928b9b654348d2b9bd07770fa45cbc201ce92253a1c642d,32712e6e2093a64cfc8082e0cab8bb0b886f99dd89512530235a6d43fc9ded1e,ae96f37c658a73b9eee4e572ad9451a1ce3ec98721871327ad48b3b243b7923c,7004ab3c16474ecffd278e1d68b2bbb6ab5d764f01c8a7a42cdf5473e3dffb85,ac89f57e2174d046750491548c1587fe8d2cd0fb507a39564142b8b0ca89953d,ba3b0cf68cffffa28085cea95bbe997ba2685b9a88704173f35f6562be069fa1,caad105426800a347c9ebb981dbd92784ef3e8669fa36ab3b52ca02fa2fa2073,e8a065540d4ed5136106b8d9ea50f09f03dc3dc8de744894f1e7c997c895dfae,39ff94796678953e45af76e38d9c0a2c26fd788e87d880906dd266cd456ffd56,6eff9f23a32b79db5a82ba6a36435dc3082d3a7883f5b8ec9f6a0447f8a3da8a,bed7bb8f949ce4ebbf8c54899c3a61e4139226219ad21dcc32efe6f27e6eba89,8ea224f63ae38c3ca84e53c53fcd27df9f9c7ccdcad559e6584c4438f7b01ea7,0050529ad55da46f8b9c9d2fb53d093772adf3b81e925709e9268d6cf99f5e2c,483de4cb423f8c4a41a41a7dcbe67c58e32f7818df8dcdc6143b22445f84d6c9,65d12aad6f2ffd0947c2208a332df01e436e6661bfa49ed5315c640268de14ca,ea1d47c67d42a2534834dd9b2ba916e39558e50f09e66d8c15913dfd84c9c648,e35725631c6fe6aa4cef64bef2723b9a5c9dfe07a6c89742a152cbe94b3f43ca
"102601","1002","1","123001","3","104801","2","1","100003","2","104801","90","2","112201","113401","3","100232","-100","0"
"114701","1002","1","106001","3","100701","3","2","100003","1","106001","90","2","110301","100501","7","100233","-100","0"
"122801","1003","6","125101","1","102901","1","6","100003","6","102901","90","6","123001","103401","6","100311","-100","0"
"106601","1003","6","111001","1","105401","2","6","100003","6","180301","90","6","110301","180301","6","100312","-100","0"
"121401","1003","6","118501","1","101401","3","6","100003","6","121401","90","6","118001","123001","6","100313","-100","0"
"106601","1003","4","123001","2","114701","1","4","100003","4","114701","90","4","110301","103401","5","100321","-100","0"
"117301","1003","4","180201","2","100701","2","4","100003","4","106901","90","5","106901","110301","4","100322","-100","0"
"117501","1003","4","124501","2","103401","3","4","100003","4","124501","90","4","113401","105101","5","100323","-100","0"
"108101","1003","1","123001","3","103401","1","8","100003","2","108101","90","1","102601","117301","3","100331","-100","0"
"103401","1003","1","108201","3","100701","2","1","100003","2","108201","90","2","123501","112701","8","100332","-100","0"
"123001","1003","1","108301","3","101401","3","3","100003","1","108301","90","1","100801","101001","8","100333","-100","0"
"106601","1004","6","110301","1","114701","1","6","100003","6","106601","90","6","100901","103401","6","100411","-100","0"
"100501","1004","6","106901","1","180401","2","6","100003","6","180401","90","6","103401","105401","6","100412","-100","0"
"105501","1004","6","100801","1","103401","3","6","100003","6","100801","90","6","123001","101401","6","100413","-100","0"
"106601","1004","4","118001","2","105401","1","4","100003","4","105401","90","4","110301","180301","4","100421","-100","0"
"113401","1004","4","101801","2","105301","2","4","100003","4","101801","90","5","124501","110301","4","100422","-100","0"
"123301","1004","4","123001","2","105201","3","4","100003","4","123301","90","4","105501","103401","5","100423","-100","0"
"125801","1004","3","108301","3","126001","1","3","100003","3","126101","90","2","110301","126101","8","100431","-100","0"
"103401","1004","7","108301","3","103301","2","1","100003","2","103301","90","3","123001","121101","8","100432","-100","0"
"117301","1004","7","106001","3","105801","3","2","100003","2","105801","90","3","123001","180501","7","100433","-100","0"
"103401","1005","6","123001","1","100701","1","6","100003","6","105501","90","6","112201","105501","6","100511","-100","0"
"103401","1005","6","123001","1","106601","2","6","100003","6","100901","90","6","105101","100901","6","100512","-100","0"
"113401","1005","6","101801","1","112701","3","6","100003","6","112701","90","6","106901","110301","6","100513","-100","0"
"106601","1005","4","110301","2","114701","1","4","100003","4","100101","90","4","123801","100101","4","100521","-100","0"
"103401","1005","4","112201","2","105201","2","4","100003","4","102601","90","4","102601","105501","4","100522","-100","0"
"119201","1005","4","121401","2","105401","3","4","100003","4","119201","90","4","110301","105501","4","100523","-100","0"
"106601","1005","1","108301","3","105201","1","1","100003","1","106601","90","8","107701","103401","8","100531","-100","0"
"103401","1005","3","108301","3","127901","2","1","100003","3","127901","90","3","123001","126101","8","100532","-100","0"
"123301","1005","7","108401","3","105801","3","2","100003","1","108401","90","3","123001","102601","8","100533","-100","0"
"103401","1006","6","111401","1","106601","1","6","100003","6","111401","90","6","105001","117301","6","100611","-100","0"
"105401","1006","6","100801","1","105201","2","6","100003","6","113401","90","6","123001","113401","6","100612","-100","0"
"103401","1006","6","107701","1","100501","3","6","100003","6","107701","90","6","123001","105501","6","100613","-100","0"
"103401","1006","4","111401","2","106601","1","4","100003","4","112201","90","4","105001","112201","4","100621","-100","0"
"105401","1006","4","123001","2","102901","2","4","100003","4","123001","90","4","105501","105301","5","100622","-100","0"
"117301","1006","4","123001","2","100701","3","4","100003","4","117301","90","4","112201","101401","5","100623","-100","0"
"103401","1006","3","108301","3","128301","1","1","100003","1","128301","90","7","106001","105501","8","100631","-100","0"
"106601","1006","1","108301","3","106501","2","1","100003","2","106501","90","3","123001","123301","8","100632","-100","0"
"102601","1006","8","107701","3","109001","3","1","100003","2","109001","90","3","123001","110301","8","100633","-100","0"
"122801","1007","6","125101","1","102901","1","6","100003","6","125101","90","6","123001","103401","6","100711","-100","1001"
"106601","1007","6","111001","1","105401","2","6","100003","6","111001","90","6","110301","180301","6","100712","-100","1001"
"121401","1007","6","118501","1","101401","3","6","100003","6","118001","90","6","118001","123001","6","100713","-100","1001"
"103401","1007","4","100201","2","102901","1","4","100003","4","100201","90","5","123001","117301","4","100721","-100","1001"
"117301","1007","4","104001","2","104801","2","4","100003","4","105101","90","4","110301","105101","4","100722","-100","1001"
"118001","1007","4","111001","2","101401","3","4","100003","4","100801","90","4","100801","118501","4","100723","-100","1001"
"123301","1007","3","118501","3","128801","1","2","100003","1","128801","90","3","123001","102601","3","100731","-100","1001"
"103401","1007","1","108301","3","104501","2","1","100003","1","128901","90","3","128901","105501","8","100732","-100","1001"
"128701","1007","3","108301","3","128301","3","3","100003","2","128701","90","3","123001","117301","8","100733","-100","1001"
"103401","1008","6","123001","1","100701","1","6","100003","6","100701","90","6","112201","105501","6","100811","-100","1002"
"103401","1008","6","111401","1","106601","2","6","100003","6","111401","90","6","105001","117301","6","100812","-100","1002"
"122801","1008","6","125101","1","102901","3","6","100003","6","102901","90","6","123001","103401","6","100813","-100","1002"
"103401","1008","4","111401","2","104601","1","4","100003","4","110301","90","4","101201","110301","4","100821","-100","1002"
"106601","1008","4","123001","2","105201","2","4","100003","4","106601","90","5","106901","113401","5","100822","-100","1002"
"105501","1008","4","100801","2","103401","3","4","100003","4","123001","90","5","123001","101401","4","100823","-100","1002"
"103401","1008","1","108301","3","108901","1","1","100003","2","108801","90","1","108801","112201","8","100831","-100","1002"
"108901","1008","1","129001","3","100701","2","1","100003","3","129001","90","8","107701","126101","3","100832","-100","1002"
"126101","1008","1","100201","3","103401","3","3","100003","1","100201","90","3","123001","101401","1","100833","-100","1002"
"106601","1009","6","110301","1","114701","1","6","100003","6","100901","90","6","100901","103401","6","100911","-100","1003"
"100501","1009","6","106901","1","180401","2","6","100003","6","106901","90","6","103401","105401","6","100912","-100","1003"
"105501","1009","6","100801","1","103401","3","6","100003","6","101401","90","6","123001","101401","6","100913","-100","1003"
"103401","1009","4","119001","2","122801","1","4","100003","4","122801","90","4","100901","124101","4","100921","-100","1003"
"100501","1009","4","123001","2","105201","2","4","100003","4","100501","90","4","121101","103401","5","100922","-100","1003"
"103401","1009","4","118501","2","100701","3","4","100003","4","103401","90","5","123001","105501","5","100923","-100","1003"
"104901","1009","2","108301","3","120001","1","7","100003","1","120001","90","7","101601","103401","8","100931","-100","1003"
"100501","1009","1","129001","3","108901","2","1","100003","1","112201","90","2","112201","101801","3","100932","-100","1003"
"128801","1009","1","129001","3","100701","3","3","100003","3","123001","90","3","123001","126101","3","100933","-100","1003"
