78cdf4fbb9b741c5d2516886017f78beae27cd2b59a96e2936d0276a27df3845,459a03c096f4993b7e38585b4fb5cd2426e050414712e9a84e9caa5b3c0b74c8,4b6411dbe81097a27d65059172ab71de3008335c635da8dde94f9a6c81ae3435,47137a8d54ef825958d091c7694f5cf9eab55fa6cb31b823729937faa279f716,083b657c1d4f3695a445755acb2bf45640fd205ecc3a7f491063a7fd006b3b83,13cf9606d14b3450586fd5cc9eacda58820aad7962d5a8c66f831a8a92b57e0b,a15f7a02e6bd47ec38bef23d0ba03025b2b7cfefdbcc8661b166ba2e4b013920,abaa51b8679669354d7b7f20fcefd7223541ba4c7e001379c0332766f896d1cf,1ede4603061ae1428aef10b8b56ab955e467014218b140f7234d7fed82b60b41,8e475ca11bf18926ab3a89590a3ede74b7df9354ba11eb356194bf8815ec852a,f69a309bd477e2c13f26ca071ecaf55431f240560996d93fdcbbfbc386c1458a
"23","0","","","se_adv_emote_sweat_02","1010801105","","1010801","","","se_adv_emote_sweat_02"
"12","1.4","0","0","2","1010801106","0","1010801","0","0","2"
"12","1.4","0","0","1","1010801107","0","1010801","0","0","10"
"93","","","","2.5","1010801108","","1010801","","","0"
"5","70","dsb_idle_normal","-345","12","1010802001","2","1010802","0","-165","1"
"5","70","dsb_idle_normal","-345","6","1010802002","2","1010802","1","165","2"
"31","0","","1","1","1010802003","1","1010802","","0","1"
"31","0","","1","3","1010802004","1","1010802","","0","3"
"31","0","","1","4","1010802005","1","1010802","","0","4"
"31","0","","1","16","1010802006","1","1010802","","0","10"
"31","0","","1","26","1010802007","1","1010802","","0","20"
"31","155","","1","36","1010802008","1","1010802","","-168","30"
"31","-155","","1","36","1010802009","1","1010802","","-168","31"
"13","","","","1","1010802010","","1010802","","","170"
"13","","","","2","1010802011","","1010802","","","170"
"91","","","","0","1010802012","","1010802","","",""
"23","1","","","se_10044200","1010802013","","1010802","","","se_10044200_cmn_amb"
"23","0","","","se_10044200","1010802014","","1010802","","","se_10044200_cmn_steam"
"93","","","","6","1010802015","","1010802","","","0"
"23","1","","","se_10044200","1010802016","","1010802","","","se_10044200_hotspring_06"
"93","","","","1.5","1010802017","","1010802","","","0"
"3","0","","1","2","1010802018","0.5","1010802","0.5","dsb_talk_joy1","dsb_smile3_joy"
"21","0","","","vo_dsb_1010802","1010802019","","1010802","","0","vo_dsb_2001"
"11","10","0.2","1","2","1010802020","0","1010802","0","1","太讚了──！浴池好寬敞～☆\n「泡溫泉感」真誇張！\n而且還能見到美里妳們，超好玩！\n好嗨喔～♪"
"91","","","","0","1010802021","","1010802","","",""
"3","1","","","2","1010802022","0.5","1010802","","","dsb_idle_joy1"
"3","1","","","1","1010802023","0.5","1010802","","","dsb_talk_normal_joy"
"21","0","","","vo_dsb_1010802","1010802024","","1010802","","0","vo_dsb_2002"
"11","10","0.2","1","1","1010802025","0","1010802","0","1","好久不見～鈴奈♪\n今天我準備的溫泉\n是鮮花的香芬浴池。\n味道很香，對皮膚也很好喔～"
"91","","","","0","1010802026","","1010802","","",""
"3","1","","","1","1010802027","0.5","1010802","","","dsb_idle_normal"
"3","0","","1","2","1010802028","0.5","1010802","0.5","dsb_talk_surprise1_2","dsb_surprise2"
"21","0","","","vo_dsb_1010802","1010802029","","1010802","","0","vo_dsb_2003"
"11","10","0.2","1","2","1010802030","0","1010802","0","1","超讚，妳真是溫泉天才！\n泡了還有助於美容，嚇死了！\n要感謝小伊緒\n告訴我這個地方♪"
"93","","","","6.5","1010802031","","1010802","","","1"
"3","1","","","2","1010802032","0.5","1010802","","","dsb_talk_joy3"
"91","","","","1010802030","1010802033","","1010802","","",""
"3","0","","1","2","1010802034","0.3","1010802","0.5","dsb_talk_guts2_doya_loop","dsb_talk_guts2_doya"
"21","0","","","vo_dsb_1010802","1010802035","","1010802","","0","vo_dsb_2004"
"11","10","0.2","1","2","1010802036","0","1010802","0","1","好──！\n那我要盡～情泡──\n讓肌膚變得很光滑──\n叫秀才大吃一驚☆"
"91","","","","0","1010802037","","1010802","","",""
"3","1","","","2","1010802038","0.5","1010802","","","dsb_talk_worry_normal2"
"21","0","","","vo_dsb_1010802","1010802039","","1010802","","0","vo_dsb_2005"
"11","10","0.2","1","2","1010802040","0","1010802","0","1","啊，對了！\n說到大吃一驚──\n讓這裡再多一些\n厲害感怎麼樣？"
"91","","","","0","1010802041","","1010802","","",""
"3","1","","","2","1010802042","0.5","1010802","","","dsb_idle_normal"
"3","1","","","1","1010802043","0.5","1010802","","","dsb_talk_surprise1"
"21","0","","","vo_dsb_1010802","1010802044","","1010802","","0","vo_dsb_2006"
"11","10","0.2","1","1","1010802045","0","1010802","0","1","厲害感？"
"91","","","","0","1010802046","","1010802","","",""
"3","1","","","1","1010802047","0.2","1010802","","","dsb_idle_wish_normal"
"3","1","","","2","1010802048","0.5","1010802","","","dsb_talk_surprise1_normal2"
"21","0","","","vo_dsb_1010802","1010802049","","1010802","","0","vo_dsb_2007"
"11","10","0.2","1","2","1010802050","0","1010802","0","1","對哇！\n要一眼就讓大家明白！\n這裡超讚！"
"91","","","","0","1010802051","","1010802","","",""
"3","1","","","2","1010802052","0.5","1010802","","","dsb_talk_surprise1_talkjoy2"
"21","0","","","vo_dsb_1010802","1010802053","","1010802","","0","vo_dsb_2008"
"11","10","0.2","1","2","1010802054","0","1010802","0","1","只要氣氛調整一下搞不好就會爆紅！\n弄成超可愛的浴池，\n就會有一大堆客人唷！"
"91","","","","0","1010802055","","1010802","","",""
"3","1","","","2","1010802056","0.5","1010802","","","dsb_idle_joy1"
"3","1","","","1","1010802057","0.5","1010802","","","dsb_talk_joy3"
"21","0","","","vo_dsb_1010802","1010802058","","1010802","","0","vo_dsb_2009"
"11","10","0.2","1","1","1010802059","0","1010802","0","1","可愛的浴池……\n真好奇～♪\n會是什麼樣的呢～？"
"91","","","","0","1010802060","","1010802","","",""
"3","1","","","1","1010802061","0.5","1010802","","","dsb_idle_sad_talkjoy2"
"3","1","","","2","1010802062","0.5","1010802","","","dsb_talk_worry_normal2"
"21","0","","","vo_dsb_1010802","1010802063","","1010802","","0","vo_dsb_2010"
"11","10","0.2","1","2","1010802064","0","1010802","0","1","我想想──\n少不了要有更多花在水上漂漂吧！\n當然要有各式各樣的！\n如果變成彩色的看起來就超有feel♪"
"91","","","","0","1010802065","","1010802","","",""
"3","1","","","2","1010802066","0.5","1010802","","","dsb_idle_normal"
"3","1","","","1","1010802067","0.5","1010802","","","dsb_talk_memory"
"21","0","","","vo_dsb_1010802","1010802068","","1010802","","0","vo_dsb_2011"
"11","10","0.2","1","1","1010802069","0","1010802","0","1","就像一片溫泉裡的花海呢～♪\n在五顏六色的花圍繞下\n泡溫泉……嗯呵呵♪\n光用想像的心情就很雀躍～"
"91","","","","0","1010802070","","1010802","","",""
"3","1","","","1","1010802071","0.5","1010802","","","dsb_talk_normal"
"21","0","","","vo_dsb_1010802","1010802072","","1010802","","0","vo_dsb_2012"
"11","10","0.2","1","1","1010802073","0","1010802","0","1","對了，既然如此……\n花香的搭配也要講究一下。\n還有花語的意思。"
"91","","","","0","1010802074","","1010802","","",""
"3","1","","","1","1010802075","0.5","1010802","","","dsb_idle_normal"
"3","0","","1","2","1010802076","0.5","1010802","0.5","dsb_talk_surprise1","dsb_surprise"
"21","0","","","vo_dsb_1010802","1010802077","","1010802","","0","vo_dsb_2013"
"11","10","0.2","1","2","1010802078","0","1010802","0","1","咦？\n花語？"
"91","","","","0","1010802079","","1010802","","",""
"3","1","","","2","1010802080","0.5","1010802","","","dsb_idle_surprise1"
"3","1","","","1","1010802081","0.5","1010802","","","dsb_talk_worry_normal2"
"21","0","","","vo_dsb_1010802","1010802082","","1010802","","0","vo_dsb_2014"
"11","10","0.2","1","1","1010802083","0","1010802","0","1","每種花都有\n它各自的含義。\n送花給別人時\n也能當作訊息傳遞給對方喔～"
"91","","","","0","1010802084","","1010802","","",""
"3","1","","","1","1010802085","0.3","1010802","","","dsb_talk_wish_dere"
"21","0","","","vo_dsb_1010802","1010802086","","1010802","","0","vo_dsb_2015"
"11","10","0.2","1","1","1010802087","0","1010802","0","1","順便一提，今天的花的意義是……\n「為了我愛的你」，\n呵呵呵，很棒吧♪"
"91","","","","0","1010802088","","1010802","","",""
"3","1","","","1","1010802089","0.5","1010802","","","dsb_idle_wish_normal"
"3","1","","","2","1010802090","0.5","1010802","","","dsb_talk_anger_shy2"
"21","0","","","vo_dsb_1010802","1010802091","","1010802","","0","vo_dsb_2016"
"11","10","0.2","1","2","1010802092","0","1010802","0","1","啊，愛……！\n等等，認真嗎……？\n這麼直接……\n好像有點…………太犯規了。"
"91","","","","0","1010802093","","1010802","","",""
"3","1","","","2","1010802094","0.5","1010802","","","dsb_talk_sad2_dead"
"21","0","","","vo_dsb_1010802","1010802095","","1010802","","0","vo_dsb_2017"
"11","10","0.2","1","2","1010802096","0","1010802","0","1","呃……\n爆紅計畫，當我沒說。\n……啊──好熱。"
"91","","","","0","1010802097","","1010802","","",""
"3","1","","","2","1010802098","0.2","1010802","","","dsb_hot_dead_loop"
"3","0","","1","1","1010802099","0.5","1010802","0.5","dsb_talk_normal_dere2","dsb_smile2_dere2"
"21","0","","","vo_dsb_1010802","1010802100","","1010802","","0","vo_dsb_2018"
"11","10","0.2","1","1","1010802101","0","1010802","0","1","嗯呵呵♪\n小心別泡過頭囉。"
"91","","","","0","1010802102","","1010802","","",""
"93","","","","0.3","1010802103","","1010802","","","0"
"5","70","dsb_idle_normal","-345","11","1010803001","2","1010803","0","-165","1"
"5","70","dsb_idle_normal","-345","2","1010803002","2","1010803","1","165","2"
"31","0","","1","1","1010803003","1","1010803","","0","1"
"31","0","","1","3","1010803004","1","1010803","","0","3"
"31","0","","1","4","1010803005","1","1010803","","0","4"
"31","0","","1","12","1010803006","1","1010803","","0","10"
"31","0","","1","22","1010803007","1","1010803","","0","20"
"31","155","","1","32","1010803008","1","1010803","","-168","30"
"31","-155","","1","32","1010803009","1","1010803","","-168","31"
"13","","","","1","1010803010","","1010803","","","170"
"13","","","","2","1010803011","","1010803","","","170"
"91","","","","0","1010803012","","1010803","","",""
"23","1","","","se_10044200","1010803013","","1010803","","","se_10044200_cmn_amb"
"23","0","","","se_10044200","1010803014","","1010803","","","se_10044200_cmn_steam"
"93","","","","6.2","1010803015","","1010803","","","0"
"23","1","","","se_10044200","1010803016","","1010803","","","se_10044200_hotspring_02"
"93","","","","1.3","1010803017","","1010803","","","0"
"3","0","","1","2","1010803018","0.5","1010803","0.5","dsb_talk_anger_dere2","dsb_smile3_kyouka"
"21","0","","","vo_dsb_1010803","1010803019","","1010803","","0","vo_dsb_3001"
"11","10","0.2","1","2","1010803020","0","1010803","0","1","哇哇……\n好厲害，水在冒泡泡……！\n好像真的在泡\n哈蜜瓜汽水……♪"
"91","","","","0","1010803021","","1010803","","",""
"3","1","","","2","1010803022","0.5","1010803","","","dsb_idle_joy1_Ex2"
"3","1","","","1","1010803023","0.5","1010803","","","dsb_talk_normal_dere"
"21","0","","","vo_dsb_1010803","1010803024","","1010803","","0","vo_dsb_3002"
"11","10","0.2","1","1","1010803025","0","1010803","0","1","呵呵呵，很棒吧？\n我想要做出小孩們會喜歡的溫泉，\n所以特地打造的。"
"91","","","","0","1010803026","","1010803","","",""
"3","1","","","1","1010803027","0.5","1010803","","","dsb_idle_normal"
"3","1","","","2","1010803028","0.5","1010803","","","dsb_talk_surprise1"
"21","0","","","vo_dsb_1010803","1010803029","","1010803","","0","vo_dsb_3003"
"11","10","0.2","1","2","1010803030","0","1010803","0","1","這樣啊……"
"91","","","","0","1010803031","","1010803","","",""
"3","1","","","2","1010803032","0.5","1010803","","","dsb_idle_surprise1_look"
"21","0","","","vo_dsb_1010803","1010803033","","1010803","","0","vo_dsb_3004"
"11","10","0.2","1","2","1010803034","0","1010803","0","1","（本來以為她是個可疑的人，\n其實人很好嗎……）"
"91","","","","0","1010803035","","1010803","","",""
"3","1","","","2","1010803036","0.3","1010803","","","dsb_talk_thinking"
"21","0","","","vo_dsb_1010803","1010803037","","1010803","","0","vo_dsb_3005"
"11","10","0.2","1","2","1010803038","0","1010803","0","1","小孩的確會很高興。\n……我、我也不禁\n重返童心了。"
"91","","","","0","1010803039","","1010803","","",""
"3","1","","","2","1010803040","0.5","1010803","","","dsb_idle_arm_crossed"
"3","1","","","1","1010803041","0.5","1010803","","","dsb_talk_thinking_normal2"
"21","0","","","vo_dsb_1010803","1010803042","","1010803","","0","vo_dsb_3006"
"11","10","0.2","1","1","1010803043","0","1010803","0","1","童心……？\n啊，原來如此。\n那就好♪"
"91","","","","0","1010803044","","1010803","","",""
"3","1","","","1","1010803045","0.5","1010803","","","dsb_idle_arm_crossed"
"3","1","","","2","1010803046","0.5","1010803","","","dsb_talk_sad2_Ex5"
"22","","","","0","1010803047","","1010803","","","0"
"21","0","","","vo_dsb_1010803","1010803048","","1010803","","0.9","vo_dsb_3007"
"11","10","0.2","1","2","1010803049","0","1010803","0","1","……有什麼奇怪的嗎？"
"91","","","","0","1010803050","","1010803","","",""
"3","1","","","2","1010803051","0.5","1010803","","","dsb_idle_sad_blink"
"3","1","","","1","1010803052","0.5","1010803","","","dsb_talk_sad_dere"
"21","0","","","vo_dsb_1010803","1010803053","","1010803","","0","vo_dsb_3008"
"11","10","0.2","1","1","1010803054","0","1010803","0","1","不，沒什麼♪"
"91","","","","0","1010803055","","1010803","","",""
"3","1","","","2","1010803056","0.5","1010803","","","dsb_idle_normal"
"3","1","","","1","1010803057","0.5","1010803","","","dsb_talk_normal_joy"
"21","0","","","vo_dsb_1010803","1010803058","","1010803","","0","vo_dsb_3009"
"11","10","0.2","1","1","1010803059","0","1010803","0","1","對了……\n要是重返童心的話，\n應該會想在大浴池裡游泳吧？\n鏡華覺得如何？"
"91","","","","0","1010803060","","1010803","","",""
"3","1","","","1","1010803061","0.5","1010803","","","dsb_idle_normal"
"3","1","","","2","1010803062","0.5","1010803","","","dsb_talk_tsun_shy"
"21","0","","","vo_dsb_1010803","1010803063","","1010803","","0","vo_dsb_3010"
"11","10","0.2","1","2","1010803064","0","1010803","0","1","游泳……！\n我才不做那種事！\n太不像話了……"
"91","","","","0","1010803065","","1010803","","",""
"3","1","","","2","1010803066","0.5","1010803","","","dsb_idle_anger"
"3","1","","","1","1010803067","0.5","1010803","","","dsb_talk_normal"
"21","0","","","vo_dsb_1010803","1010803068","","1010803","","0","vo_dsb_3011"
"11","10","0.2","1","1","1010803069","0","1010803","0","1","怎麼會不像話……\n現在只有我們兩個人呀。\n我覺得在哈蜜瓜汽水裡游泳\n一定會很好玩的……"
"91","","","","0","1010803070","","1010803","","",""
"3","1","","","1","1010803071","0.5","1010803","","","dsb_idle_normal"
"3","1","","","2","1010803072","0.5","1010803","","","dsb_talk_surprise1_shy"
"21","0","","","vo_dsb_1010803","1010803073","","1010803","","0","vo_dsb_3012"
"11","10","0.2","1","2","1010803074","0","1010803","0","1","這、這個……\n雖然感覺很好玩……\n而且我現在也稍微會游了……\n可是就禮儀來說……唔……"
"91","","","","0","1010803075","","1010803","","",""
"3","1","","","2","1010803076","0.5","1010803","","","dsb_idle_surprise1_normal"
"3","1","","","1","1010803077","0.5","1010803","","","dsb_talk_thinking_joy"
"22","","","","0","1010803078","","1010803","","","0"
"21","0","","","vo_dsb_1010803","1010803079","","1010803","","0.9","vo_dsb_3013"
"11","10","0.2","1","1","1010803080","0","1010803","0","1","……呵呵呵。\n那我來游好了～？"
"91","","","","0","1010803081","","1010803","","",""
"3","1","","","1","1010803082","0.5","1010803","","","dsb_idle_joy1"
"3","0","","1","2","1010803083","0.5","1010803","0.5","dsb_talk_surprise1_2","dsb_surprise2"
"21","0","","","vo_dsb_1010803","1010803084","","1010803","","0","vo_dsb_3014"
"11","10","0.2","1","2","1010803085","0","1010803","0","1","咦咦！？\n說這種話太狡猾了。\n那……我、我也要游！"
"93","","","","3.5","1010803086","","1010803","","","1"
"3","1","","","2","1010803087","0.5","1010803","","","dsb_talk_anger_shy2"
"91","","","","1010803085","1010803088","","1010803","","",""
"22","","","","0","1010803089","","1010803","","","0"
"3","1","","","2","1010803090","0.2","1010803","","","dsb_surprise_kyouka"
"3","1","","","1","1010803091","0.2","1010803","","","dsb_surprise_mitsuki"
"93","","","","0.7","1010803092","","1010803","","","0"
"3","0","","1","2","1010803093","0.3","1010803","0.2","dsb_idle_normal_Ex1","dsb_smile2_kyouka"
"3","0","","1","1","1010803094","0.3","1010803","0.2","dsb_idle_normal","dsb_smile2_mitsuki2"
"93","","","","0.3","1010803095","","1010803","","","0"
"23","0","","","se_adv_emote_common_01","1010803096","","1010803","","","se_adv_emote_common_01"
"12","1.4","0","0","2","1010803097","0","1010803","0","0","10"
"12","1.4","0","0","1","1010803098","0","1010803","0","0","10"
"93","","","","2","1010803099","","1010803","","","0"
"1","70","dsb_idle_normal","-219","1","1010804001","2","1010804","0","-475","124531"
"5","70","dsb_idle_relax_Ex2","-360","7","1010804002","2","1010804","1","0","2"
"5","71","dsb_empty","-219","10","1010804003","2","1010804","0","-345","99"
"31","0","","1","1","1010804004","1","1010804","","0","1"
"31","0","","1","3","1010804005","1","1010804","","0","3"
"31","0","","1","4","1010804006","1","1010804","","0","4"
"31","0","","1","17","1010804007","1","1010804","","0","10"
"31","0","","1","27","1010804008","1","1010804","","0","20"
"31","-10","","1","37","1010804009","1","1010804","","-183","30"
"31","0","","1","43","1010804010","1","1010804","","0","43"
"31","130","","1","44","1010804011","0","1010804","","0","44"
"31","133","","1","45","1010804012","0","1010804","","-141","45"
"31","130","","1","46","1010804013","0","1010804","","0","46"
"31","142","","1","47","1010804014","0","1010804","","-212","47"
"31","142","","1","48","1010804015","0","1010804","","-212","48"
"13","","","","124531","1010804016","","1010804","","","170"
"13","","","","2","1010804017","","1010804","","","170"
"91","","","","0","1010804018","","1010804","","",""
"23","1","","","se_10044200","1010804019","","1010804","","","se_10044200_cmn_amb"
"23","0","","","se_10044200","1010804020","","1010804","","","se_10044200_cmn_steam"
"93","","","","6","1010804021","","1010804","","","0"
"23","1","","","se_10044200","1010804022","","1010804","","","se_10044200_hotspring_07"
"93","","","","1.5","1010804023","","1010804","","","0"
"3","1","","","2","1010804024","0.5","1010804","","","dsb_idle_relax_blink"
"21","0","","","vo_dsb_1010804","1010804025","","1010804","","0","vo_dsb_4001"
"11","10","0.2","1","2","1010804026","0","1010804","0","1","…………"
"91","","","","0","1010804027","","1010804","","",""
"3","1","","","2","1010804028","0.5","1010804","","","dsb_idle_relax_Ex2"
"33","0","","12","3","1010804029","","1010804","","2","130"
"33","0","","12","4","1010804030","","1010804","","2","130"
"33","0","","12","20","1010804031","","1010804","","2","130"
"33","-183","","12","30","1010804032","","1010804","","2","120"
"33","0","","12","43","1010804033","","1010804","","2","130"
