985d02061ed13a6c6ed25dd8052e4e6d5bbc66fcd0117e1303a365a12494f3a9,5f72d79bde265673669d0123d0e56d089903161aad659e0d7c742e7c45612a9a,765149d6a83931c3fd4cef526c3f1711b1c179980e7a145f94d3a39a05bd0614,15dc8df5336fa0adf57a06ff44780d0f45a5d4d3d0165d5cc6f57a75b9940a1a,d8d8b6fdc7347aad73b6cd418210674f592a6e96a9e29a77655821115c55e991,58a7a061ff9379b55cab5537eae705648769f90ba16f0da459b39539ead4b278,12b0cea1021095ddb890061823cda6d4971f9ff4dfdeb51d34b35816e40a358a,0f328d1caa81447f989935b3b5086ae562a2b6dd3ba057c870a50e1828cc2601,0e7b524ee92983da4b6e7b7c9c3fccb4cc80638363ab931756ec78d604b40ef8,d50319ad5b4d5766a8eb88d996f23fd08d82cba18c611ca24c28c271992afb26,724dd9a659bb22dc0659ed4d549261e80c6086453cf7072b47767ac91be2ed86
"11","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？","1110004","0","106531","0","8","0","0","11","0"
"11","","1110005","","3.2","","","","","93",""
"11","pkb_talk_arm_crossed","1110006","0.2","106531","0.2","0","","1","3","pkb_idle_arm_crossed"
"11","","1110007","","1110004","","","","","91",""
"11","pkb_idle_normal","1110008","","106531","0.2","1","","","3",""
"12","106531","1120001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"12","pkb_talk_arm_crossed","1120002","0.2","106531","0.2","0","","1","3","pkb_idle_arm_crossed"
"12","vo_minigame_1006_top_303","1120003","","vo_minigame_1006","","0","","","21","0"
"12","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！","1120004","0","106531","0","8","0.5","0","11","0"
"12","","1120005","","3.2","","","","","93",""
"12","pkb_talk_doya","1120006","","106531","0.2","0","","1","3","pkb_idle_doya"
"12","","1120007","","1120004","","","","","91",""
"12","pkb_idle_normal","1120008","","106531","0.2","1","","","3",""
"13","102311","1130001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"13","pkb_talk_fun","1130002","0.4","102311","0.2","0","","1","3","pkb_talk_joy1"
"13","vo_minigame_1006_top_401","1130003","","vo_minigame_1006","","0","","","21","0"
"13","今天也要打很多球！\n一起加油吧，\n噗吉！","1130004","0","102311","0","8","0","0","11","0"
"13","","1130005","","1130004","","","","","91",""
"13","pkb_idle_normal","1130006","","102311","0.2","1","","","3",""
"14","102311","1140001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"14","pkb_talk_joy1","1140002","","102311","0.2","1","","","3",""
"14","vo_minigame_1006_top_402","1140003","","vo_minigame_1006","","0","","","21","0"
"14","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！","1140004","0","102311","0","8","0","0","11","0"
"14","","1140005","","3","","","","","93",""
"14","pkb_talk_doya","1140006","","102311","0.2","0","","1","3","pkb_idle_doya"
"14","","1140007","","1140004","","","","","91",""
"14","pkb_idle_normal","1140008","","102311","0.2","1","","","3",""
"15","102311","1150001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"15","pkb_talk_wish","1150002","","102311","0.2","1","","","3",""
"15","vo_minigame_1006_top_403","1150003","","vo_minigame_1006","","0","","","21","0"
"15","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！","1150004","0","102311","0","8","-0.5","0","11","0"
"15","","1150005","","2.4","","","","","93",""
"15","pkb_talk_fun","1150006","0.4","102311","0.2","0","","1","3","pkb_talk_joy1"
"15","","1150007","","1150004","","","","","91",""
"15","pkb_idle_normal","1150008","","102311","0.2","1","","","3",""
"16","1","1160001","1","1","57","100","pkb_idle_normal_l","-155","5","64"
"16","pkb_talk_arm_crossed_l","1160002","0.2","1","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"16","vo_minigame_1006_top_701","1160003","","vo_minigame_1006","","0","","","21","0"
"16","以全國大賽為目標，\n今天也來努力練習吧！","1160004","0","1","0","8","0","0","11","0"
"16","","1160005","","2.6","","","","","93",""
"16","pkb_talk_doya_l","1160006","0.2","1","0.2","0","","1","3","pkb_idle_doya_l"
"16","","1160007","","1160004","","","","","91",""
"16","pkb_idle_normal_l","1160008","","1","0.2","1","","","3",""
"17","1","1170001","1","1","57","100","pkb_idle_normal_l","-155","5","64"
"17","pkb_talk_guts_l","1170002","","1","0.2","0","","1","3","pkb_idle_guts_l"
"17","vo_minigame_1006_top_702","1170003","","vo_minigame_1006","","0","","","21","0"
"17","為了實現夢想，\n大家來盡全力\n練習吧！","1170004","0","1","0","8","0","0","11","0"
"17","","1170005","","0","","","","","91",""
"17","pkb_idle_normal_l","1170006","","1","0.2","1","","","3",""
"18","1","1180001","1","1","57","100","pkb_idle_normal_l","-155","5","64"
"18","pkb_talk_arm_crossed_l","1180002","0.2","1","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"18","vo_minigame_1006_top_703","1180003","","vo_minigame_1006","","0","","","21","0"
"18","社員們也都\n進步了好多……\n我可不能落後了！","1180004","0","1","0","8","0","0","11","0"
"18","","1180005","","2.9","","","","","93",""
"18","pkb_talk_guts_l","1180006","","1","0.2","0","","1","3","pkb_idle_guts_l"
"18","","1180007","","1180004","","","","","91",""
"18","pkb_idle_normal_l","1180008","","1","0.2","1","","","3",""
"19","2","1190001","1","2","57","100","pkb_idle_normal_l","-155","5","64"
"19","pkb_talk_arm_crossed_l","1190002","0.2","2","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"19","vo_minigame_1006_top_801","1190003","","vo_minigame_1006","","0","","","21","0"
"19","我會把我的進步\n展現出來，畢竟\n我也是選手啊。","1190004","0","2","0","8","0","0","11","0"
"19","","1190005","","3.8","","","","","93",""
"19","pkb_talk_guts_l","1190006","","2","0.2","0","","1","3","pkb_idle_guts_l"
"19","","1190007","","1190004","","","","","91",""
"19","pkb_idle_normal_l","1190008","","2","0.2","1","","","3",""
"20","2","1200001","1","2","57","100","pkb_idle_normal_l","-155","5","64"
"20","pkb_talk_guts_l","1200002","","2","0.2","0","","1","3","pkb_idle_guts_l"
"20","vo_minigame_1006_top_802","1200003","","vo_minigame_1006","","0","","","21","0"
"20","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。","1200004","0","2","0","8","0","0","11","0"
"20","","1200005","","3.2","","","","","93",""
"20","pkb_talk_doya_l","1200006","","2","0.2","0","","1","3","pkb_idle_doya_l"
"20","","1200007","","1200004","","","","","91",""
"20","pkb_idle_normal_l","1200008","","2","0.2","1","","","3",""
"21","2","1210001","1","2","57","100","pkb_idle_normal_l","-155","5","64"
"21","pkb_talk_arm_crossed_l","1210002","0.2","2","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"21","vo_minigame_1006_top_803","1210003","","vo_minigame_1006","","0","","","21","0"
"21","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。","1210004","0","2","0","8","0","0","11","0"
"21","","1210005","","0","","","","","91",""
"21","pkb_idle_normal_l","1210006","","2","0.2","1","","","3",""
"22","113511","1220001","0","1","1.6","100","pkb_idle_normal","-150","1","-20"
"22","113411","1220002","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"22","pkb_talk_joy1","1220003","","113511","0.2","1","","","3",""
"22","vo_minigame_1006_top_talk_1_101","1220004","","vo_minigame_1006","","0","","","21","0"
"22","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪","1220005","0","113511","0","6","-0.5","0","11","0"
"22","","1220006","","0","","","","","91",""
"22","pkb_idle_normal","1220007","","113511","0.2","1","","","3",""
"22","pkb_talk_joy1","1220008","","113411","0.2","1","","","3",""
"22","vo_minigame_1006_top_talk_1_202","1220009","","vo_minigame_1006","","0","","","21","0"
"22","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！","1220010","0","113411","0","6","-0.5","0","11","0"
"22","","1220011","","4","","","","","93",""
"22","pkb_talk_handsup","1220012","0","113411","0.2","0","","1","3","pkb_idle_normal"
"22","","1220013","","1220010","","","","","91",""
"22","pkb_idle_normal","1220014","","113411","0.2","1","","","3",""
"23","113411","1230001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"23","113511","1230002","0","1","1.6","100","pkb_idle_normal","-150","1","-20"
"23","pkb_talk_normal","1230003","","113411","0.2","1","","","3",""
"23","vo_minigame_1006_top_talk_2_201","1230004","","vo_minigame_1006","","0","","","21","0"
"23","美里老師也來一起\n幫忙加油嘛！","1230005","0","113411","0","8","-1.5","0","11","0"
"23","","1230006","","0","","","","","91",""
"23","pkb_idle_normal","1230007","","113411","0.2","1","","","3",""
"23","pkb_talk_normal","1230008","","113511","0.2","1","","","3",""
"23","vo_minigame_1006_top_talk_2_102","1230009","","vo_minigame_1006","","0","","","21","0"
"23","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！","1230010","0","113511","0","5","3","0","11","0"
"23","","1230011","","4","","","","","93",""
"23","pkb_talk_fun","1230012","0.2","113511","0.2","0","","0","3","pkb_talk_fun"
"23","","1230013","","2.7","","","","","93",""
"23","pkb_idle_normal","1230014","0.2","113511","0.2","0","","1","3","pkb_talk_joy1"
"23","","1230015","","1230010","","","","","91",""
"23","pkb_idle_normal","1230016","","113511","0.2","1","","","3",""
"24","113511","1240001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"24","3","1240002","0","3","55","100","pkb_idle_normal","-130","5","-20"
"24","pkb_talk_joy3","1240003","","113511","0.2","1","","","3",""
"24","vo_minigame_1006_top_talk_3_101","1240004","","vo_minigame_1006","","0","","","21","0"
"24","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～","1240005","0","113511","0","6","-1","0","11","0"
"24","","1240006","","4","","","","","93",""
"24","pkb_talk_wish","1240007","","113511","0.2","1","","","3",""
"24","","1240008","","1240005","","","","","91",""
"24","pkb_idle_normal","1240009","","113511","0.2","1","","","3",""
"24","pkb_talk_normal","1240010","","3","0.2","1","","","3",""
"24","vo_minigame_1006_top_talk_3_602","1240011","","vo_minigame_1006","","0","","","21","0"
"24","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！","1240012","0","3","0","6","-1","0","11","0"
"24","","1240013","","2","","","","","93",""
"24","pkb_talk_doya","1240014","","3","0.2","0","","1","3","pkb_idle_doya"
"24","","1240015","","1240012","","","","","91",""
"24","pkb_idle_normal","1240016","","3","0.2","1","","","3",""
"25","3","1250001","0","3","55","100","pkb_idle_normal","-130","5","-20"
"25","113511","1250002","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"25","pkb_talk_arm_crossed","1250003","0.2","3","0.2","0","","1","3","pkb_idle_arm_crossed"
"25","vo_minigame_1006_top_talk_4_601","1250004","","vo_minigame_1006","","0","","","21","0"
"25","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！","1250005","0","3","0","8","-0.5","0","11","0"
"25","","1250006","","3","","","","","93",""
"25","pkb_talk_guts","1250007","","3","0.2","0","","1","3","pkb_idle_guts"
"25","","1250008","","1250005","","","","","91",""
"25","pkb_idle_normal","1250009","","3","0.2","1","","","3",""
"25","pkb_talk_wish","1250010","","113511","0.2","1","","","3",""
"25","vo_minigame_1006_top_talk_4_102","1250011","","vo_minigame_1006","","0","","","21","0"
"25","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪","1250012","0","113511","0","6","1","0","11","0"
"25","","1250013","","5.6","","","","","93",""
"25","pkb_talk_handsup","1250014","0.2","113511","0.2","0","","1","3","pkb_idle_normal"
"25","","1250015","","0","","","","","91",""
"25","pkb_idle_normal","1250016","","113511","0.2","1","","","3",""
"26","113511","1260001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"26","1","1260002","0","1","55","100","pkb_idle_normal","-130","5","-20"
"26","pkb_talk_joy3","1260003","","113511","0.2","1","","","3",""
"26","vo_minigame_1006_top_talk_5_101","1260004","","vo_minigame_1006","","0","","","21","0"
"26","呵呵，老師也會\n一起協助你們練習的～","1260005","0","113511","0","6","0","0","11","0"
"26","","1260006","","0","","","","","91",""
"26","pkb_idle_normal","1260007","","113511","0.2","1","","","3",""
"26","pkb_talk_guts","1260008","0.2","1","0.2","0","","1","3","pkb_idle_guts"
"26","vo_minigame_1006_top_talk_5_702","1260009","","vo_minigame_1006","","0","","","21","0"
"26","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！","1260010","0","1","0","8","-1","0","11","0"
"26","","1260011","","0","","","","","91",""
"26","pkb_idle_normal","1260012","","1","0.2","1","","","3",""
"27","1","1270001","0","1","55","100","pkb_idle_normal","-130","5","-20"
"27","113511","1270002","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"27","pkb_talk_arm_crossed","1270003","0.2","1","0.2","0","","1","3","pkb_idle_arm_crossed"
"27","vo_minigame_1006_top_talk_6_701","1270004","","vo_minigame_1006","","0","","","21","0"
"27","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！","1270005","0","1","0","8","-0.5","0","11","0"
"27","","1270006","","2.6","","","","","93",""
"27","pkb_talk_guts","1270007","0.2","1","0.2","0","","1","3","pkb_idle_guts"
"27","","1270008","","1270005","","","","","91",""
"27","pkb_idle_normal","1270009","","1","0.2","1","","","3",""
"27","pkb_talk_joy3","1270010","","113511","0.2","1","","","3",""
"27","vo_minigame_1006_top_talk_6_102","1270011","","vo_minigame_1006","","0","","","21","0"
"27","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪","1270012","0","113511","0","6","0.5","0","11","0"
"27","","1270013","","4","","","","","93",""
"27","pkb_talk_wish","1270014","","113511","0.2","1","","","3",""
"27","","1270015","","1270012","","","","","91",""
"27","pkb_idle_normal","1270016","","113511","0.2","1","","","3",""
"28","113411","1280001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"28","3","1280002","0","3","55","100","pkb_idle_normal","-130","5","-20"
"28","pkb_talk_yell","1280003","0.2","113411","0.2","0","","1","3","pkb_talk_joy1"
"28","vo_minigame_1006_top_talk_7_201","1280004","","vo_minigame_1006","","0","","","21","0"
"28","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！","1280005","0","113411","0","8","-0.5","0","11","0"
"28","","1280006","","4.6","","","","","93",""
"28","pkb_talk_fun","1280007","0.2","113411","0.2","0","","1","3","pkb_idle_normal"
"28","","1280008","","1280005","","","","","91",""
"28","pkb_idle_normal","1280009","","113411","0.2","1","","","3",""
"28","pkb_talk_guts","1280010","","3","0.2","0","","1","3","pkb_idle_guts"
"28","vo_minigame_1006_top_talk_7_602","1280011","","vo_minigame_1006","","0","","","21","0"
"28","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！","1280012","0","3","0","8","0","0","11","0"
"28","","1280013","","5","","","","","93",""
"28","pkb_talk_handsup","1280014","","3","0.2","0","","1","3","pkb_idle_normal"
"28","","1280015","","1280012","","","","","91",""
"28","pkb_idle_normal","1280016","","3","0.2","1","","","3",""
"29","3","1290001","0","3","55","100","pkb_idle_normal","-130","5","-20"
"29","113411","1290002","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"29","pkb_talk_arm_crossed","1290003","0.2","3","0.2","0","","1","3","pkb_idle_arm_crossed"
"29","vo_minigame_1006_top_talk_8_601","1290004","","vo_minigame_1006","","0","","","21","0"
"29","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！","1290005","0","3","0","8","-1","0","11","0"
"29","","1290006","","2.8","","","","","93",""
"29","pkb_talk_guts","1290007","","3","0.2","0","","1","3","pkb_idle_guts"
"29","","1290008","","1290005","","","","","91",""
"29","pkb_idle_normal","1290009","","3","0.2","1","","","3",""
"29","pkb_talk_joy1","1290010","","113411","0.2","1","","","3",""
"29","vo_minigame_1006_top_talk_8_202","1290011","","vo_minigame_1006","","0","","","21","0"
"29","包在我身上！\n我會比平常還要\n更努力加油打氣的～！","1290012","0","113411","0","8","-0.5","0","11","0"
"29","","1290013","","2.2","","","","","93",""
"29","pkb_talk_fun","1290014","0.4","113411","0.2","0","","0","3","pkb_smile"
"29","","1290015","","2.2","","","","","93",""
"29","pkb_idle_normal","1290016","","113411","0.2","1","","","3",""
"29","","1290017","","1290012","","","","","91",""
"29","pkb_idle_normal","1290018","","113411","0.2","1","","","3",""
"30","113411","1300001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"30","1","1300002","0","1","55","100","pkb_idle_normal","-130","5","-20"
"30","pkb_talk_joy1","1300003","","113411","0.2","1","","","3",""
"30","vo_minigame_1006_top_talk_9_201","1300004","","vo_minigame_1006","","0","","","21","0"
"30","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！","1300005","0","113411","0","8","1","0","11","0"
"30","","1300006","","5","","","","","93",""
"30","pkb_talk_handsup","1300007","","113411","0.2","0","","1","3","pkb_idle_normal"
"30","","1300008","","1300005","","","","","91",""
"30","pkb_idle_normal","1300009","","113411","0.2","1","","","3",""
"30","pkb_talk_normal","1300010","","1","0.2","1","","","3",""
"30","vo_minigame_1006_top_talk_9_702","1300011","","vo_minigame_1006","","0","","","21","0"
"30","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！","1300012","0","1","0","8","-1","0","11","0"
"30","","1300013","","3.3","","","","","93",""
"30","pkb_talk_guts","1300014","","1","0.2","0","","1","3","pkb_idle_guts"
"30","","1300015","","1300012","","","","","91",""
"30","pkb_idle_normal","1300016","","1","0.2","1","","","3",""
"31","1","1310001","0","1","55","100","pkb_idle_normal","-130","5","-20"
"31","113411","1310002","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"31","pkb_talk_arm_crossed","1310003","0.2","1","0.2","0","","1","3","pkb_idle_arm_crossed"
"31","vo_minigame_1006_top_talk_10_701","1310004","","vo_minigame_1006","","0","","","21","0"
"31","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！","1310005","0","1","0","8","-1.5","0","11","0"
"31","","1310006","","3.6","","","","","93",""
"31","pkb_talk_doya","1310007","","1","0.2","0","","1","3","pkb_idle_doya"
"31","","1310008","","1310005","","","","","91",""
"31","pkb_idle_normal","1310009","","1","0.2","1","","","3",""
"31","pkb_talk_joy1","1310010","","113411","0.2","1","","","3",""
"31","vo_minigame_1006_top_talk_10_202","1310011","","vo_minigame_1006","","0","","","21","0"
"31","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆","1310012","0","113411","0","8","-0.5","0","11","0"
"31","","1310013","","3.6","","","","","93",""
"31","pkb_talk_fun","1310014","","113411","0.2","0","","0","3","pkb_talk_fun"
"31","","1310015","","3","","","","","93",""
"31","pkb_idle_normal","1310016","","113411","0.2","1","","","3",""
"31","","1310017","","1310012","","","","","91",""
"32","2","1320001","0","2","55","100","pkb_idle_normal","-130","5","-20"
"32","113411","1320002","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"32","pkb_talk_guts","1320003","","2","0.2","0","","1","3","pkb_idle_guts"
"32","vo_minigame_1006_top_talk_11_801","1320004","","vo_minigame_1006","","0","","","21","0"
"32","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。","1320005","0","2","0","8","0","0","11","0"
"32","","1320006","","5","","","","","93",""
"32","pkb_talk_doya","1320007","","2","0.2","0","","1","3","pkb_idle_doya"
"32","","1320008","","1320005","","","","","91",""
"32","pkb_idle_normal","1320009","","2","0.2","1","","","3",""
"32","pkb_talk_joy2","1320010","","113411","0.2","1","","","3",""
"32","vo_minigame_1006_top_talk_11_202","1320011","","vo_minigame_1006","","0","","","21","0"
"32","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！","1320012","0","113411","0","8","0","0","11","0"
"32","","1320013","","4.6","","","","","93",""
"32","pkb_hatsune_kiran","1320014","0.2","113411","0.2","0","","1","3","pkb_idle_normal"
"32","","1320015","","1320012","","","","","91",""
"32","pkb_idle_normal","1320016","","113411","0.2","1","","","3",""
"33","102311","1330001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"33","2","1330002","0","2","55","100","pkb_idle_normal","-130","5","-20"
"33","pkb_talk_normal","1330003","","102311","0.2","1","","","3",""
"33","vo_minigame_1006_top_talk_12_401","1330004","","vo_minigame_1006","","0","","","21","0"
"33","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！","1330005","0","102311","0","8","-0.5","0","11","0"
"33","","1330006","","1.6","","","","","93",""
"33","pkb_talk_yell","1330007","0.2","102311","0.2","0","","1","3","pkb_talk_joy1"
"33","","1330008","","1330005","","","","","91",""
"33","pkb_idle_normal","1330009","","102311","0.2","1","","","3",""
"33","vo_minigame_1006_top_talk_12_802","1330010","","vo_minigame_1006","","0","","","21","0"
"33","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。","1330011","0","2","0","8","0","0","11","0"
"33","","1330012","","0.5","","","","","93",""
"33","pkb_talk_yell","1330013","","2","0.2","0","","","3",""
"33","","1330014","","3","","","","","93",""
