59500fd7fc48b7563b00982d23de7827f86d51a4cd63c3fe99764e4d50b75d66,d7c77182a78ca40707cb8998f8cdaceed156a281f4ba8d2e5d45a661f999cbd5,268cb2e8061cf24cddda637427329acd89611849c8ca63f6c9a97459582fbb19,84aa7669448c4b2833f2c5614d198a58b6d53eb28f0ffac431ad1a7368415bcc,68ed6772fcc833c1f4b344770ad9971a89398f241afbe638f76ac5a8754aac7d,7a5eca1c1d83f3fbfb5e5ab80e12c46b97c0bc056c7e649436fdf9ecf8aed984,dc9d758b45e99021c23f42c7789396c2a61da061bdbb70187123876afa3e91b1,6fb7e08d8cf137c198b2d00cd4a8777a052c2ec0363af275fb09a3066dce90fe,69df05f5865eb1c723fd2317f05a12dae08a55157744c8e9d261aeff13368b21,84e2c35960105bb23c3cd58230a822dd78c74a65177cccb6373d9c4e8f22fd3c,c7975dfdd6447a05c1a884792cc34dd669b59397da565b7053afd867703d8beb,d330f6c7a290b3b1c44fd39eefe3aaee43feaefb85d1c12ac0ff60f5d69da14a,0753dd195e98ab64486c781c8fa3c7278158e2ea33a5b61accdad48a48622cce
"古樸的","熟悉的","3120011","0","1","0","大量的","0","0","0","1","0","古怪的"
"見獵心喜","七上八下","3120012","1","0","0","三心二意","0","0","0","1","0","見異思遷"
"滴水穿石","精衛填海","3120013","1","1","0","百折不撓","0","0","0","0","1","滄海桑田"
"眉頭不伸","豆重榆瞑","3120014","1","1","0","愁山悶海","0","0","0","0","0","灰身滅智"
"樂嗟苦咄","幸災樂禍","3120015","1","0","0","大喜若狂","0","0","0","1","0","心花怒放"
"席不暇暖","夙興夜寐","3120016","1","0","0","宵衣旰食","0","0","0","1","1","孜孜不倦"
"垃圾貓","該死眼鏡女","3121001","1","1","0","羅莉老太婆","0","0","0","0","0","混帳精靈族"
"創造","阿瓦隆","3121002","1","1","0","物件","0","0","0","0","0","鏡子"
"仙姿玉色","龐眉皓髮","3130001","1","1","0","秀色可餐","0","0","0","0","0","沈腰潘鬢"
"視如敝屣","視如草芥","3130002","1","0","0","視若無睹","0","0","0","1","0","袖手旁觀"
"四面受敵","嫌妻良母","3130004","1","1","0","前所未聞","0","0","0","0","0","五里夢中"
"光明正大","一期一繪","3130005","1","1","0","專心一意","0","0","0","0","0","自炊自擂"
"山明水秀","單刀直人","3130006","1","1","0","眉開眼笑","0","0","0","1","0","千鈞一髮"
"三位一體","惺味盎然","3130007","1","1","0","三人成虎","0","0","0","1","0","垂頭喪氣"
"間不容髮","當風秉燭","3130010","1","1","0","一髮千鈞","0","0","0","0","1","如箭在弦"
"如魚得水","洪爐燎髮","3130011","0","1","0","順水推舟","0","0","0","1","1","下坂走丸"
"山盟海誓","伉儷情深","3130013","1","0","0","連枝比翼","0","0","0","0","1","漏泄春光"
"見多識廣","身經百戰","3130014","0","1","0","事不師古","0","0","0","1","1","老馬識途"
"白眉赤眼","龍爭虎鬥","3130016","1","0","0","針鋒相對","0","0","0","1","1","水火不容"
"血盟","真空","3131001","1","1","0","煉獄","0","0","0","0","0","戰記"
"銷魂","妄想","3131002","1","1","0","絕頂","0","0","0","0","0","旅行"
"茄子","白蘿蔔","3210001","1","1","0","番茄","0","0","0","1","0","黃瓜"
"腎臟","心臟","3210002","1","1","0","肺","0","0","0","0","0","肝臟"
"消化系統","排泄系統","3210003","1","1","0","呼吸系統","0","0","0","1","0","循環系統"
"章魚","海葵","3210005","1","1","0","烏賊","0","0","0","0","0","海參"
"無尾熊","樹懶","3210006","1","1","0","袋鼠","0","0","0","0","0","山豬"
"丹鳥","月娘","3210008","1","1","0","火金姑","0","0","0","0","0","臭蟲"
"白粉蝶","斑緣點赤蝶","3210009","1","1","0","斑緣點粉蝶","0","0","0","0","0","斑緣點藍蝶"
"中指","拇指","3210010","1","1","0","小指","0","0","0","0","0","食指"
"B型","D型","3210011","1","1","0","A型","0","0","0","0","0","C型"
"蛤蜊","蝦子","3210013","1","1","0","蜆","0","0","0","0","0","寄居蟹"
"馬","狼","3210014","1","1","0","兔子","0","0","0","0","0","獅子"
"鹿","無尾熊","3210015","1","1","0","犀牛","0","0","0","0","0","熊"
"初音","咲戀","3211001","1","1","0","鈴奈","0","0","0","0","0","禊"
"嘉夜","美冬","3211002","1","1","0","帆稀","0","0","0","1","0","祈梨"
"蜘蛛","水黽","3220001","1","1","0","蜈蚣","0","0","0","0","0","螞蟻"
"蚯蚓","人類","3220002","1","1","0","蝗蟲","0","0","0","0","0","青蛙"
"岩魚","鮟鱇魚","3220003","1","1","0","鹿角魚","0","0","0","0","0","飛魚"
"鬥魚","青鱂魚","3220006","1","1","0","孔雀魚","0","0","0","0","0","金魚"
"風信子","蒲公英","3220007","1","1","0","鬱金香","0","0","0","0","0","向日葵"
"抹香鯨","鯨鯊","3220009","1","1","0","露脊鯨","0","0","0","1","0","藍鯨"
"穿山甲","亞洲錦蛙","3220011","1","1","0","台灣黑熊","0","0","0","1","0","日本松雀鷹"
"哈密瓜","香蕉","3220012","1","1","0","西瓜","0","0","0","1","0","草莓"
"光照","氧氣","3220013","1","1","0","水","0","0","0","1","0","二氧化碳"
"蚤狀溞","寬翅紡織娘","3220014","1","1","0","水綿","0","0","0","1","0","團藻"
"巴哥","索馬利","3220015","1","1","0","吉娃娃","0","0","0","1","0","西施"
"毛毛蟲","眼蟲","3220016","1","1","0","綠介殼蟲","0","0","0","0","0","海蟑螂"
"美美","鏡華","3221001","1","1","0","莫妮卡","0","0","0","0","0","優花梨"
"栞","初音","3221002","1","1","0","智","0","0","0","1","0","莫妮卡"
"羊","獅子","3230001","1","1","0","牛","0","0","0","0","0","老鼠"
"山貓","老虎","3230004","0","1","0","海鷗","0","0","0","1","1","獅子"
"琺瑯質","牙齦","3230005","1","1","0","象牙質","0","0","0","1","0","牙骨質"
"藍腹鷴","黑面琵鷺","3230006","1","1","0","帝雉","0","0","0","1","0","台灣藍鵲"
"仙人掌型","羅塞塔型","3230007","1","1","0","白頭翁開","0","0","0","1","0","單瓣型"
"山椒魚","日本獼猴","3230008","1","1","0","鱷魚","0","0","0","0","0","海豚"
"蝙蝠","雕鴞","3230010","1","1","0","飛鼠","0","0","0","0","0","兀鷲"
"海豚","鴕鳥","3230011","1","1","0","鼯鼠","0","0","0","0","0","企鵝"
"蠑螈","蝸牛","3230012","0","1","0","壁虎","0","0","0","1","1","蝙蝠"
"胸","屁股","3230013","1","1","0","頭","0","0","0","1","0","腹"
"大天鵝","麻雀","3230014","1","1","0","燕子","0","0","0","1","0","白枕鶴"
"烏龜","人類","3230016","1","1","0","蛇","0","0","0","0","0","蝙蝠"
"雪菲","凱留","3231001","1","1","0","可可蘿","0","0","0","0","0","貪吃佩可"
"怜","拉比林斯達","3231002","1","1","0","可可蘿","0","0","0","1","0","帆稀"
"4","3","3310001","1","1","0","2","0","0","0","0","0","1"
"鋁","金","3310003","1","1","0","銀","0","0","0","0","0","銅"
"尺","法拉","3310005","1","1","0","公尺","0","0","0","1","0","英吋"
"餘弦","多切","3310006","1","1","0","正弦","0","0","0","1","0","正切"
"菱形","扇形","3310007","1","1","0","正方形","0","0","0","1","0","長方形"
"215","112","3310008","1","1","0","405","0","0","0","0","0","827"
"E","A","3310009","1","1","0","L","0","0","0","1","0","D"
"鋁","銀","3310010","0","1","0","鐵","0","0","0","1","1","金"
"氫氧化鈉水溶液","硝酸","3310012","1","1","0","肥皂水","0","0","0","0","0","蒸餾水"
"深藍色","桃色","3310013","1","1","0","紅色","0","0","0","1","0","綠色"
"5","3","3310014","1","1","0","6","0","0","0","0","0","4"
"4:1","12:8","3310015","1","0","0","10:6","0","0","0","1","0","15:9"
"大間","芭菲之城城鎮","3311001","1","1","0","索爾之塔","0","0","0","1","0","蘭德索爾"
"芭菲之城城鎮","大間","3311002","1","1","0","FUN FUN農場","0","0","0","0","0","索爾之塔"
"積雨雲","蜘蛛雲","3320001","1","1","0","魚鱗雲","0","0","0","1","0","捲積雲"
"牛郎星","心宿二","3320002","1","1","0","天津四","0","0","0","1","0","織女星"
"施力點","交點","3320003","1","1","0","支點","0","0","0","1","0","抗力點"
"對流","反射","3320004","1","1","0","傳導","0","0","0","1","0","輻射"
"11111","1111","3320005","1","0","0","111","0","0","0","1","0","111111"
"藍色","黃色","3320007","1","1","0","紅色","0","0","0","1","0","綠色"
"天王星","冥王星","3320008","1","1","0","地球","0","0","0","1","0","海王星"
"天鷹座","大犬座","3320010","1","1","0","天鵝座","0","0","0","0","0","小犬座"
"鹽酸","氨水溶液","3320011","1","1","0","檸檬果汁","0","0","0","0","0","鹽水"
"溴","二氧化碳","3320014","1","1","0","氯","0","0","0","0","0","氧氣"
"為最輕的氣體","會發出刺鼻味道","3320015","1","1","0","與氧混合燃燒會發出聲響","0","0","0","0","0","顏色為水藍色"
"2","0","3320016","1","1","0","3","0","0","0","0","0","1"
"月光學院","王宮騎士團","3321001","1","1","0","小小甜心","0","0","0","0","0","墨丘利財團"
"鼻喉保濕效果","保溫效果","3321002","1","1","0","清涼效果","0","0","0","0","0","美膚效果"
"豺狼座","綿羊座","3330001","1","1","0","大犬座","0","0","0","1","0","大熊座"
"參宿七","天狼星","3330002","1","1","0","參宿四","0","0","0","0","0","牛郎星"
"玄武岩","閃長岩","3330003","1","1","0","流紋岩","0","0","0","1","0","安山岩"
"鎂","鉀","3330004","1","1","0","鈣","0","0","0","0","0","鋁"
"碳","氫","3330007","1","1","0","氧","0","0","0","0","0","氮"
"2×2×5×5","6!","3330010","1","1","0","10的二次方","0","0","0","0","0","根號1000"
"根號225","112÷7","3330011","1","1","0","4+5+6","0","0","0","0","0","2×3×4"
"氫","氮","3330012","1","1","0","碳","0","0","0","1","0","氧"
"硝酸","氫氧化鈉","3330013","1","1","0","鹽酸","0","0","0","0","0","硫酸"
"弱核力","電磁力","3330014","1","1","0","強核力","0","0","0","0","1","熱力"
"氯","氮","3330015","1","1","0","氟","0","0","0","0","0","矽"
"鑽石","臭氧","3330016","1","1","0","石墨","0","0","0","1","0","富勒烯"
"佩特羅大森林","伊麗絲樹海","3331001","1","1","0","卡斯塔利亞樹林","0","0","0","0","0","刻瑞斯森林"
"赫里克巨木","阿爾巴岸堤","3331002","1","1","0","席歐涅樹林","0","0","0","1","0","柔卡絲塔岩山"
"廁所","玄關","3410001","1","1","0","浴室","0","0","0","1","0","廚房"
"教育部","警政署","3410002","1","1","0","國防部","0","0","0","0","0","移民署"
"瓦楞紙","螢光燈","3410003","1","1","0","雜誌","0","0","0","1","0","報紙"
"綠色","銀色","3410004","1","1","0","金色","0","0","0","1","0","藍色"
"塞馬運河","基爾運河","3410005","1","0","0","巴拿馬運河","0","0","0","1","1","蘇伊士運河"
"藍色","紫色","3410006","1","1","0","紅色","0","0","0","1","0","黃色"
"廢物利用","重新開始","3410007","1","1","0","減少使用","0","0","0","1","0","回收"
"祖父","摯友","3410008","1","1","0","妻","0","0","0","1","0","孫"
"切絲","切手","3410010","1","1","0","切末","0","0","0","1","0","切片"
"豆腐","豆瓣醬","3410011","1","1","0","納豆","0","0","0","1","0","豆漿"
"白胡椒","紅胡椒","3410013","1","1","0","黑胡椒","0","0","0","1","0","粉紅胡椒"
"普洱","藍山","3410015","1","1","0","烏龍","0","0","0","1","0","茉莉"
"怜","香織","3411001","1","1","0","優衣","0","0","0","1","0","日和"
"禊","優妮","3411002","1","1","0","美美","0","0","0","1","0","鏡華"
"煤","木柴","3420001","1","1","0","石油","0","0","0","1","0","天然氣"
"立法","憲法","3420002","1","1","0","司法","0","0","0","1","0","行政"
"水費","報紙費","3420003","1","1","0","電費","0","0","0","0","0","電車車費"
"財源廣進","黃道吉日","3420004","1","1","0","闔家平安","0","0","0","1","0","富貴有餘"
"多雲時陰","多霧時陰","3420005","1","1","0","陰時多雲","0","0","0","1","0","晴時多雲"
"３號電池","７號電池","3420007","1","1","0","１號電池","0","0","0","1","0","４號電池"
"鐘錶起子","心型起子","3420009","1","1","0","組合型螺絲起子","0","0","0","1","0","電動螺絲起子"
"老豆腐","吞豆腐","3420010","1","1","0","嫩豆腐","0","0","0","1","0","凍豆腐"
"奶油","美乃滋","3420011","1","1","0","起司","0","0","0","1","0","優格"
"炒蛋","薄切生肉","3420012","1","1","0","歐姆蛋","0","0","0","1","0","火腿蛋鬆餅"
"糯米","酢米","3420014","1","1","0","粳米","0","0","0","0","0","口米"
"義大利直麵","蕎麥麵","3420015","1","1","0","烏龍麵","0","0","0","1","0","冷麥麵"
"禊","碧","3421001","1","1","0","美美","0","0","0","1","0","鏡華"
"稀有轉蛋","飯糰轉蛋","3421002","1","1","0","珍稀轉蛋","0","0","0","0","0","巡遊轉蛋"
"Z","P","3430001","1","1","0","E","0","0","0","0","0","G"
"法國","土耳其","3430002","1","1","0","希臘","0","0","0","0","1","加拿大"
"高血糖","高血栓","3430004","1","1","0","高血壓","0","0","0","1","0","高血脂"
"大黑天","達摩","3430005","1","1","0","惠比壽","0","0","0","1","0","布袋"
"噪音","流感","3430007","1","1","0","地層下陷","0","0","0","1","0","震動"
"助行器","電扶梯","3430008","1","1","0","輪椅","0","0","0","1","0","輪椅坡道"
"幼稚園兒童","國中三年級生","3430009","1","1","0","剛出生半年","0","0","0","0","0","小學三年級生"
"油","牛奶","3430010","1","1","0","醋","0","0","0","1","0","蛋"
"威士忌","紅酒","3430011","1","1","0","燒酎","0","0","0","1","0","啤酒"
"F","D","3430012","1","0","0","C","0","0","0","1","1","V"
"鼠田草","香菜","3430013","1","1","0","芹菜","0","0","0","1","0","白蘿蔔"
"穀麥","莎樂美腸","3430015","1","1","0","玉米片","0","0","0","1","0","燕麥片"
"夏日遊戲的霸者","沙灘的公主殿下","3431001","1","1","0","絕不退讓的夏日遊戲","0","0","0","0","0","旗子不能讓出"
"海岸的強棒","噗吉好球","3431002","1","1","0","海岸的4號見習隊員","0","0","0","1","0","海岸屹立不搖的4號"
"圍棋","將棋","3510001","1","1","0","黑白棋","0","0","0","1","0","西洋棋"
"長笛","小提琴","3510002","1","1","0","尺八","0","0","0","1","0","直笛"
"單簧管","網路","3510003","1","1","0","太鼓","0","0","0","1","0","尺八"
"皇后","大將","3510004","1","1","0","兵","0","0","0","1","0","主教"
"車","槍","3510005","1","1","0","將","0","0","0","1","0","砲"
"扭扭遊戲","撲克牌","3510006","1","1","0","大富翁","0","0","0","1","0","飛鏢"
"４","２","3510007","1","1","0","３","0","0","0","1","0","１"
"吃","自摸","3510008","1","1","0","碰","0","0","0","1","0","槓"
"La","Mi","3510009","1","1","0","Fa","0","0","0","0","0","Ti"
"低音提琴","長笛","3510013","1","1","0","小提琴","0","0","0","0","0","管風琴"
"定音鼓","貝斯","3510014","1","1","0","鈴鼓","0","0","0","1","0","三角鐵"
"低音管","低音號","3510015","1","1","0","長笛","0","0","0","0","0","小號"
"","","3511001","1","1","1","","2","4","3","0","0",""
"純淨記憶碎片","公主之心","3511002","1","1","0","公主寶珠","0","0","0","1","0","記憶碎片"
"將軍","順子","3520001","1","1","0","欠行","0","0","0","0","0","演員"
"雙六","花牌","3520002","1","1","0","骰寶","0","0","0","1","0","麻將"
"紅眼啤酒","琴通寧","3520003","1","1","0","血腥瑪麗","0","0","0","0","0","螺絲起子"
"小提琴","吉他","3520004","1","1","0","中提琴","0","0","0","1","0","大提琴"
"吃到一半把筷子平放在碗上","蓋筷","3520005","1","1","0","舉筷不定","0","0","0","1","0","用筷子刺食物"
"落語","歌舞伎","3520006","0","1","0","相聲","0","0","0","1","1","漫才"
"玉米","燕麥","3520009","1","1","0","馬鈴薯","0","0","0","1","0","小麥"
"Grand","Great","3520010","1","1","0","Upright","0","0","0","1","0","Electric"
"梅","椿","3520011","1","1","0","櫻","0","0","0","0","0","桃"
"D","Q","3520012","1","1","0","C","0","0","0","0","0","K"
"白色","紅色","3520015","1","1","0","黑色","0","0","0","1","0","灰色"
"U","E","3520016","1","1","0","S","0","0","0","1","0","V"
"薄荷","草莓","3521001","1","1","0","香草","0","0","0","0","0","巧克力"
"葡萄","哈密瓜","3521002","1","1","0","草莓","0","0","0","1","0","奇異果"
"紅色","40","3530001","1","1","0","奇數","0","0","0","1","0","1～12"
"蜂蜜","堅果","3530002","0","1","0","果泥","0","0","0","0","1","母乳"
"巴拉萊卡琴","貝斯","3530003","1","1","0","三味線","0","0","0","0","0","吉他"
"A","２","3530005","1","1","0","J","0","0","0","0","0","９"
"Copy","Call","3530006","1","1","0","Carbon","0","0","0","0","0","Creative"
"旦","妞","3530007","1","1","0","生","0","0","0","0","0","靜"
"Color","Cabon","3530008","1","1","0","Cut","0","0","0","1","0","Carat"
"5000","2500","3530010","1","1","0","10000","0","0","0","1","0","1000"
"短笛","單簧管","3530011","1","1","0","長笛","0","0","0","0","0","雙簧管"
"同花","三對","3530012","1","1","0","順子","0","0","0","1","0","葫蘆"
"吹牛","遊艇","3530013","1","1","0","21點","0","0","0","1","0","大富豪"
"蝶","銀杏","3530016","1","1","0","豬","0","0","0","0","0","鯉"
"七七香","栞","3531001","0","1","0","智","0","0","0","1","1","鏡華"
"奢侈鯛魚燒","白金鯛魚燒","3531002","1","1","0","包果凍紅豆鯛魚燒","0","0","0","0","0","彩虹鯛魚燒"
"單槓","吊環","3610003","0","1","0","舞蹈","0","0","0","1","1","平衡木"
"球拍","棒球手套","3610004","1","1","0","連指手套","0","0","0","0","0","球棒"
"棒球","籃球","3610005","1","1","0","網球","0","0","0","0","0","足球"
"弓道","袋棍球","3610006","1","1","0","射箭","0","0","0","0","0","劍道"
"滑雪","柔道","3610007","1","1","0","游泳","0","0","0","0","0","摔角"
"羽球","籃球","3610008","1","1","0","排球","0","0","0","1","0","網球"
"溜冰","衝浪","3610010","1","1","0","滑雪","0","0","0","0","0","網球"
"前鋒","後衛","3610011","0","1","0","守門員","0","0","0","1","1","中場"
"足球","棒球","3610012","1","1","0","冰上曲棍球","0","0","0","0","0","網球"
"擊劍","跳傘","3610013","1","1","0","劍道","0","0","0","0","0","摔角"
"柔道","劍道","3610014","1","1","0","摔角","0","0","0","1","0","拳擊"
"浮潛","拳擊","3610015","1","1","0","衝浪","0","0","0","0","0","跳傘"
"黑月守護像","賈巴沃克","3611001","1","1","0","狂怒綠龍","0","0","0","1","0","波賽頓‧嵐擊之槍"
"空花","宮子","3611002","1","1","0","望","0","0","0","0","0","莉瑪"
"50m","15m","3620001","1","1","0","25m","0","0","0","0","0","100m"
"刺","出到場外","3620002","1","1","0","雙刀流","0","0","0","0","0","掃堂腿"
"胴","小腿","3620003","1","1","0","面","0","0","0","1","0","小手"
"腹滾式","三段式","3620006","1","1","0","背越式","0","0","0","1","0","剪式"
"Count-up","倒數","3620007","1","1","0","板球","0","0","0","1","0","Zero One"
"正四角形","正六角形","3620008","0","0","0","正三角形","0","0","0","1","1","正五角形"
"白色","藍色","3620009","1","1","0","紅色","0","0","0","0","0","黑色"
"腳踏車","鉛球","3620010","1","1","0","游泳","0","0","0","1","0","長跑"
"７號球","11號球","3620013","1","1","0","９號球","0","0","0","0","0","５號球"
"硬舉","臥推","3620014","0","1","0","引體向上","0","0","0","1","1","深蹲"
"Second Baseman","Right Fielder","3620015","1","1","0","First Baseman","0","0","0","0","0","Left Fielder"
"自由式","全方位","3620016","1","1","0","希羅式角力","0","0","0","0","0","組隊"
"法師石像鬼","石像鬼","3621001","1","1","0","石像鬼‧魔幻","0","0","0","0","0","石像鬼‧炸裂"
"咲戀（夏日）","愛梅斯","3621002","1","1","0","莫妮卡","0","0","0","1","0","花凜"
"５號","10號","3630001","0","0","0","１號","0","0","0","1","1","７號"
"極限運動","火箭","3630003","1","1","0","板球","0","0","0","0","0","釣魚"
"羽毛球","網球","3630004","0","1","0","排球","0","0","0","1","1","回力球"
"下旋式發球","側旋式發球","3630005","1","0","0","平擊式發球","0","0","0","0","1","吊臂式發球"
"副將","將軍","3630006","1","1","0","大將","0","0","0","0","0","准將"
"打者","游擊手","3630007","1","1","0","捕手","0","0","0","0","0","投手"
"關脇","橫綱","3630008","1","1","0","大關","0","0","0","1","0","小結"
"跳馬","雙槓","3630010","1","1","0","地板","0","0","0","0","0","單槓"
"橫拍","斜拍","3630012","1","1","0","直拍","0","0","0","0","0","側拍"
"大前鋒","中場","3630013","1","1","0","得分後衛","0","0","0","0","0","進攻後衛"
"中衛","得分後衛","3630014","1","1","0","跑衛","0","0","0","1","0","線衛"
"舉球員","中央阻擋","3630016","1","1","0","自由球員","0","0","0","0","0","扣球員"
"水靈破壞者","蓋亞戰斧","3631001","1","1","0","蒼海之斧‧諾亞","0","0","0","0","0","湛藍之血"
"颶風‧愛與夢","霸海姬‧龍征冥風裂波斬","3631002","1","1","0","延展愛意","0","0","0","1","0","利維坦之槍"
