69aec0c591b78dfacc136d5475fc06ce2cca2e7fcdd5c0402b6606be89e403ab,7db8b19c3e49f6a34138584a588b867579135ed14360bd9abcc1752a3a54b492,8df1fd54929d1a47f03b859d5561e9e023463997942afb8abe82c04d2c89c8a2,f5be549b4755ccdaedf33772bee660864762ca20b06ebed6c2165357bb18c5c2,f51465341dbf02b59b4f21553ea5bf9a0b451ec45eadc2538d16f66ca182fcf5,6023ab2ba89b8d4c47456401a52d9a14bc45c82831eaf5f815e887b412f2e027,5f3fcd71532ae4fee012072ca95b7e124fbc2e74ca86b63d1a36c19ef5fe027d,fa0a2feec9fad3afbde371dd853fe9c7a7a3929a75c3b1b3891b6236902b03ab,79a79405817cdbd31a2f04c13b8c9b8ed2a1072cf23342f62c405b83164acd5b,f9f2509ca184ea8a7fba0da140a9d1ac09151e5bb38ab4d53202d7fd44732a66,8215dc52e11f1c352c17f0aa136fc3a8c7ad5c1782fdcd688cf372de9342acdf,95c13a72ec45884b36324f0199ec901b3217e99e49a4513967dcad978b818981,58dc2fe0fe01c4becbb4a2492af1646c4b20961a640ebab8f6644289e8a57073,ead0f6999a64663d27eea81ec5b43cee6b177daad9795c2f2815d5a421a64bbe,80fbb56a28d0cb854076f0a1d148ad88a1ec0c6fd2f9dd80c70af7577a4de3d5,d9f1fa505426349883d71ec4c3c9787aada6a54afec0b1a7c883b8a05742d993,2a15a94924b769e629b2888d0f1106d05d4c18f2c1a82f97bba24633208843e9,efef0dbd150bc7e3203f81287e37a51555a2907d8602e0ecabb4d18160831ab4,4d39914288e0a1a2e63efa51b2a2835717f8bd45caff23e1632a2460a3b6a3c4
"4880","1343","20","0","0","100101","0","0","15","23","2045","287","199","9","20","11352","62","37","255"
"4970","1416","20","0","0","100101","0","0","15","24","2045","308","221","9","20","12783","62","37","255"
"5230","1471","20","0","0","100101","0","0","15","25","2045","331","247","9","20","14334","62","37","255"
"6835","1495","20","0","0","100101","0","0","15","26","2045","359","280","9","20","15835","62","37","255"
"8440","1513","20","0","0","100101","0","0","15","27","2045","387","313","9","20","17449","62","37","255"
"9225","1538","20","0","0","100101","0","0","15","28","2045","400","326","9","20","19454","62","37","255"
"10010","1571","20","0","0","100101","0","0","15","29","2045","415","341","9","20","21599","62","37","255"
"10270","1614","20","0","0","100101","0","0","15","30","2045","440","366","9","20","23844","62","37","255"
"10795","1657","20","0","0","100101","0","0","15","31","2045","450","376","9","20","26318","62","37","255"
"11845","1690","20","0","0","100101","0","0","15","32","2045","450","376","9","20","28948","62","37","255"
"12370","1729","20","0","0","100101","0","0","15","33","2045","461","387","9","20","31669","62","37","255"
"12370","1775","20","0","0","100101","0","0","15","34","2045","483","409","9","20","34498","62","37","255"
"12370","1821","20","0","0","100101","0","0","15","35","2045","505","431","9","20","37455","62","37","255"
"12370","1867","20","0","0","100101","0","0","15","36","2045","528","454","9","20","40512","62","37","255"
"55","0","0","23","0","100201","0","0","0","2","75","1","2","0","0","0","0","0","0"
"150","0","0","81","0","100201","0","0","0","3","125","1","8","0","0","0","0","0","0"
"325","0","10","172","0","100201","0","0","0","4","175","4","17","0","0","0","0","0","5"
"505","0","10","349","0","100201","0","0","0","5","175","4","33","0","0","0","0","0","15"
"1035","0","25","522","0","100201","0","0","0","6","175","12","52","0","0","0","0","0","15"
"1395","0","30","790","0","100201","0","0","0","7","175","14","66","0","0","0","0","0","85"
"1675","0","75","1089","0","100201","0","0","0","8","175","19","88","0","0","0","0","4","85"
"2130","0","110","1389","6","100201","0","0","5","9","175","25","109","0","0","0","0","9","100"
"2490","0","115","1758","30","100201","0","0","10","10","395","28","126","0","0","0","0","14","135"
"2910","0","129","2159","53","100201","0","0","10","11","735","35","145","0","0","0","0","14","151"
"3430","0","138","2471","63","100201","0","0","12","12","955","56","171","0","0","0","0","17","177"
"3810","0","140","2705","63","100201","0","0","14","13","1175","94","209","0","0","0","0","20","199"
"3990","0","146","2982","71","100201","0","0","16","14","1295","133","251","0","0","0","0","20","199"
"4130","0","151","3310","81","100201","0","0","18","15","1395","168","293","0","0","0","0","20","199"
"4330","0","157","3658","81","100201","0","0","18","16","1495","208","336","0","0","0","0","20","199"
"4510","0","158","4008","81","100201","0","0","18","17","1495","250","384","0","3","0","0","20","214"
"4915","0","158","4353","81","100201","0","0","18","18","1495","295","441","0","6","0","0","20","229"
"5560","0","158","4719","81","100201","0","0","18","19","1590","349","506","0","6","0","0","20","229"
"6145","0","158","5176","93","100201","0","0","18","20","1685","406","568","0","6","0","0","20","229"
"6765","0","158","5618","93","100201","0","0","18","21","1685","472","646","0","6","0","0","20","229"
"8080","0","158","6142","93","100201","0","0","18","22","1685","541","725","0","6","0","0","20","229"
"9855","0","158","6707","93","100201","0","0","18","23","1685","619","810","0","6","0","0","20","229"
"11380","0","158","7347","93","100201","0","0","18","24","1685","704","901","0","6","0","0","20","229"
"12675","0","158","8212","103","100201","0","0","18","25","1685","784","987","0","6","0","0","20","229"
"13965","0","158","9328","118","100201","0","0","18","26","1685","853","1062","0","6","0","0","20","229"
"15535","0","158","10563","128","100201","0","0","18","27","1685","920","1132","0","6","0","0","20","229"
"17300","0","158","11885","138","100201","0","0","18","28","1685","990","1203","0","6","0","0","20","229"
"19295","0","158","13290","148","100201","0","0","18","29","1685","1066","1279","0","6","0","0","20","229"
"21525","0","158","14765","158","100201","0","0","18","30","1685","1147","1360","0","6","0","0","20","229"
"23915","0","158","16312","168","100201","0","0","18","31","1685","1230","1443","0","6","0","0","20","229"
"26460","0","158","17930","178","100201","0","0","18","32","1685","1315","1528","0","6","0","0","20","229"
"29250","0","158","19645","188","100201","0","0","18","33","1685","1402","1615","0","6","0","0","20","229"
"32450","0","158","21457","198","100201","0","0","18","34","1685","1491","1704","0","6","0","0","20","229"
"36060","0","158","23342","208","100201","0","0","18","35","1685","1581","1794","0","6","0","0","20","229"
"40010","0","158","25290","218","100201","0","0","18","36","1685","1672","1885","0","6","0","0","20","229"
"95","0","0","0","0","100301","0","0","0","2","75","2","0","0","0","22","0","0","0"
"310","0","0","0","0","100301","0","0","0","3","125","6","2","0","0","71","0","0","0"
"685","0","0","0","0","100301","0","0","0","4","155","11","4","0","0","176","0","0","10"
"1435","0","5","0","0","100301","0","0","0","5","155","20","11","0","0","289","0","0","20"
"2300","0","5","0","0","100301","0","0","0","6","245","31","13","0","0","499","0","0","35"
"3270","0","5","0","0","100301","0","0","0","7","715","43","15","0","0","746","0","0","35"
"4025","0","5","0","0","100301","0","0","0","8","715","57","23","3","0","1040","0","0","50"
"4630","20","5","0","0","100301","0","0","0","9","1115","71","31","7","0","1353","0","9","65"
"4990","50","30","0","0","100301","0","0","0","10","1115","80","40","12","5","1729","0","18","65"
"5410","88","40","0","0","100301","0","0","0","11","1115","88","49","17","7","2147","13","18","65"
"6180","130","40","0","0","100301","0","0","0","12","1115","98","56","17","7","2581","29","21","65"
"6670","163","40","0","0","100301","0","0","0","13","1115","112","66","17","7","3026","42","24","98"
"7050","214","40","0","0","100301","0","0","0","14","1115","123","76","17","7","3571","42","24","131"
"7420","280","40","0","0","100301","0","0","0","15","1115","142","91","17","7","4098","42","24","131"
"7560","370","40","0","0","100301","0","0","0","16","1115","156","99","17","7","4716","45","24","143"
"7750","467","40","0","0","100301","0","0","0","17","1115","170","105","17","7","5390","48","24","143"
"8015","591","40","0","0","100301","0","0","0","18","1115","179","114","17","7","6136","48","24","143"
"8340","730","40","0","0","100301","0","0","0","19","1115","191","126","17","7","6947","48","24","143"
"8665","849","40","0","0","100301","0","0","0","20","1115","213","138","17","7","7816","48","24","143"
"8950","980","40","0","0","100301","0","0","0","21","1115","233","149","17","7","8795","48","24","143"
"9165","1098","40","0","0","100301","0","0","0","22","1115","249","162","17","7","9978","48","24","143"
"9510","1169","40","0","0","100301","0","0","0","23","1115","273","181","17","7","11268","48","24","143"
"10190","1230","40","0","0","100301","0","0","0","24","1115","296","203","17","7","12629","48","24","143"
"10710","1293","40","0","0","100301","0","0","0","25","1115","310","222","17","7","14227","48","24","143"
"11535","1332","40","0","0","100301","0","0","0","26","1115","316","231","17","7","16038","48","24","143"
"12780","1356","40","0","0","100301","0","0","0","27","1115","321","238","17","7","17934","48","24","143"
"14025","1380","40","0","0","100301","0","0","0","28","1115","326","245","17","7","19958","48","24","143"
"15210","1405","40","0","0","100301","0","0","0","29","1115","341","260","17","7","22063","48","24","143"
"16130","1431","40","0","0","100301","0","0","0","30","1115","371","290","17","7","24192","48","24","143"
"17315","1457","40","0","0","100301","0","0","0","31","1115","386","305","17","7","26550","48","24","143"
"18865","1483","40","0","0","100301","0","0","0","32","1115","386","305","17","7","29128","48","24","143"
"20515","1508","40","0","0","100301","0","0","0","33","1115","386","305","17","7","31789","48","24","143"
"22000","1532","40","0","0","100301","0","0","0","34","1115","401","320","17","7","34482","48","24","143"
"23485","1556","40","0","0","100301","0","0","0","35","1115","416","335","17","7","37354","48","24","143"
"24970","1580","40","0","0","100301","0","0","0","36","1115","432","351","17","7","40325","48","24","143"
"65","0","0","0","0","100401","0","0","0","2","100","2","0","0","1","10","0","0","10"
"185","0","0","0","0","100401","0","0","0","3","200","5","0","0","2","58","0","0","25"
"475","0","0","0","0","100401","0","0","0","4","360","10","4","0","4","135","0","0","50"
"985","0","0","0","0","100401","0","0","0","5","520","17","10","0","7","243","0","0","80"
"1515","0","0","0","0","100401","0","0","0","6","820","25","14","3","11","429","0","0","95"
"1835","0","0","0","0","100401","0","0","0","7","1425","34","20","6","15","674","0","0","120"
"2735","10","0","0","0","100401","0","0","0","8","1985","48","32","6","15","912","0","9","145"
"3480","30","0","10","0","100401","0","0","5","9","1985","67","48","6","22","1157","0","23","145"
"4330","60","15","20","0","100401","0","0","10","10","1985","87","68","6","27","1392","0","28","145"
"5030","86","35","20","0","100401","0","0","10","11","1985","105","88","6","32","1695","3","28","145"
"5430","108","55","20","0","100401","0","0","10","12","2085","126","106","6","39","2037","6","28","145"
"5630","151","55","20","0","100401","0","0","10","13","2285","155","125","6","41","2425","6","28","170"
"5830","215","57","20","0","100401","0","0","10","14","2285","189","144","6","41","2845","6","28","170"
"5830","289","57","20","0","100401","0","0","12","15","2285","212","167","6","43","3314","9","28","170"
"5830","378","57","20","0","100401","0","0","12","16","2385","232","190","6","45","3815","17","28","170"
"5930","465","57","20","0","100401","0","0","12","17","2535","263","209","6","45","4337","22","28","170"
"5990","573","57","20","0","100401","0","0","12","18","2685","291","237","6","50","4884","22","28","170"
"6085","655","57","20","0","100401","0","0","12","19","2685","323","266","6","52","5553","22","28","170"
"6185","696","57","20","0","100401","0","0","12","20","2780","368","293","6","52","6292","22","28","170"
"6430","740","57","20","0","100401","0","0","12","21","2780","419","333","6","52","7020","22","28","170"
"6660","788","57","20","0","100401","0","0","12","22","2780","468","383","6","52","7888","22","28","170"
"7065","817","57","20","0","100401","0","0","12","23","2780","519","428","6","52","8928","22","28","170"
"7385","835","57","20","0","100401","0","0","12","24","2780","566","474","6","52","10110","22","28","170"
"7705","867","57","20","0","100401","0","0","12","25","2780","611","523","6","52","11440","22","28","170"
"8000","902","57","20","0","100401","0","0","12","26","2780","656","576","6","52","12898","22","28","170"
"8455","929","57","20","0","100401","0","0","12","27","2780","697","624","6","52","14495","22","28","170"
"9000","963","57","20","0","100401","0","0","12","28","2780","740","669","6","52","16211","22","28","170"
"10655","986","57","20","0","100401","0","0","12","29","2780","822","751","6","52","17592","22","28","170"
"12805","1000","57","20","0","100401","0","0","12","30","2780","913","842","6","52","18978","22","28","170"
"15175","1014","57","20","0","100401","0","0","12","31","2780","996","925","6","52","20529","22","28","170"
"17965","1027","57","20","0","100401","0","0","12","32","2780","1066","995","6","52","22273","22","28","170"
"21205","1039","57","20","0","100401","0","0","12","33","2780","1132","1061","6","52","24101","22","28","170"
"24690","1051","57","20","0","100401","0","0","12","34","2780","1214","1143","6","52","25905","22","28","170"
"28585","1063","57","20","0","100401","0","0","12","35","2780","1297","1226","6","52","27832","22","28","170"
"32820","1075","57","20","0","100401","0","0","12","36","2780","1381","1310","6","52","29820","22","28","170"
"80","0","0","0","0","100501","0","0","0","2","125","4","0","0","0","12","0","0","0"
"350","0","0","0","0","100501","0","0","0","3","225","8","0","0","1","49","0","0","0"
"880","0","0","0","0","100501","0","0","0","4","275","17","3","0","1","110","0","0","15"
"1660","0","0","0","0","100501","0","0","0","5","275","28","11","0","7","173","0","0","15"
"2925","0","0","0","0","100501","0","0","0","6","275","48","19","3","7","265","0","0","15"
"3595","0","0","0","0","100501","0","0","0","7","275","66","29","6","7","476","0","0","40"
"4800","0","0","0","0","100501","0","0","0","8","575","87","49","10","7","615","0","0","40"
"5635","0","15","10","0","100501","0","0","0","9","1025","104","72","14","12","788","0","5","40"
"6415","0","15","20","0","100501","0","0","0","10","1325","125","94","17","12","1027","5","10","65"
"7295","30","25","20","0","100501","0","0","0","11","1625","148","112","20","12","1305","10","10","65"
"8135","80","35","20","0","100501","0","0","0","12","1875","178","136","20","12","1564","10","12","65"
"8655","126","37","20","0","100501","0","0","0","13","2095","214","160","20","12","1861","10","17","65"
"9045","162","39","20","0","100501","0","0","2","14","2215","249","189","20","12","2191","10","17","71"
"9235","202","39","20","0","100501","0","0","4","15","2315","280","219","20","14","2575","10","17","77"
"9365","236","39","20","0","100501","0","0","4","16","2415","319","260","20","14","2930","10","17","89"
"9655","280","39","20","0","100501","0","0","4","17","2415","357","312","20","17","3244","14","17","89"
"9935","352","39","20","0","100501","0","0","4","18","2415","394","371","20","20","3595","18","17","89"
"10305","409","39","20","0","100501","0","0","4","19","2510","443","428","20","20","4029","18","17","89"
"10590","436","39","20","0","100501","0","0","4","20","2605","498","489","20","25","4501","18","17","89"
"10800","488","39","20","0","100501","0","0","4","21","2605","554","559","20","30","5022","18","17","89"
"11290","587","39","20","0","100501","0","0","4","22","2605","612","622","20","30","5725","18","17","89"
"11605","681","39","20","0","100501","0","0","4","23","2605","681","685","20","30","6562","18","17","89"
"11925","746","39","20","0","100501","0","0","4","24","2605","754","756","20","30","7465","18","17","89"
"12540","813","39","20","0","100501","0","0","4","25","2605","825","831","20","30","8484","18","17","89"
"13290","864","39","20","0","100501","0","0","4","26","2605","896","910","20","30","9621","18","17","89"
"14290","892","39","20","0","100501","0","0","4","27","2605","964","985","20","30","10886","18","17","89"
"17330","911","39","20","0","100501","0","0","4","28","2605","1041","1064","20","30","11991","18","17","89"
"22690","921","39","20","0","100501","0","0","4","29","2605","1130","1153","20","30","12893","18","17","89"
"28565","931","39","20","0","100501","0","0","4","30","2605","1224","1247","20","30","13832","18","17","89"
"34730","941","39","20","0","100501","0","0","4","31","2605","1322","1345","20","30","14808","18","17","89"
"41265","951","39","20","0","100501","0","0","4","32","2605","1423","1446","20","30","15821","18","17","89"
"48415","961","39","20","0","100501","0","0","4","33","2605","1526","1549","20","30","16891","18","17","89"
"56345","971","39","20","0","100501","0","0","4","34","2605","1631","1654","20","30","18018","18","17","89"
"64985","981","39","20","0","100501","0","0","4","35","2605","1737","1760","20","30","19183","18","17","89"
"74185","991","39","20","0","100501","0","0","4","36","2605","1844","1867","20","30","20385","18","17","89"
"55","0","0","23","0","100601","0","0","0","2","75","1","2","0","0","0","0","0","0"
"150","0","0","78","0","100601","0","0","0","3","150","2","7","0","0","0","0","0","0"
"325","0","10","169","0","100601","0","0","0","4","200","5","16","0","0","0","0","0","5"
"625","0","10","322","0","100601","0","0","0","5","200","7","32","0","0","0","0","0","15"
"1155","0","25","495","0","100601","0","0","0","6","200","15","51","0","0","0","0","0","15"
"1515","0","30","724","0","100601","0","0","0","7","200","22","69","0","0","26","0","0","50"
"2115","0","60","960","0","100601","0","0","0","8","200","29","93","0","0","26","0","4","85"
"2650","0","95","1224","0","100601","0","0","5","9","200","40","120","0","0","26","0","9","85"
"3240","0","105","1549","13","100601","0","0","10","10","420","50","143","0","0","26","0","14","85"
"3840","0","119","1880","28","100601","0","0","10","11","640","66","167","0","0","26","0","14","101"
"4200","0","135","2215","43","100601","0","0","17","12","760","79","192","0","0","26","0","17","111"
"4640","0","135","2582","69","100601","0","0","19","13","980","102","217","0","0","26","0","17","121"
"4760","0","137","2954","93","100601","0","0","19","14","1220","130","250","0","0","26","0","17","133"
"4990","0","146","3356","109","100601","0","0","21","15","1220","157","282","0","0","26","0","17","133"
"5140","0","152","3805","129","100601","0","0","21","16","1320","183","316","0","0","26","0","17","133"
"5260","0","153","4258","144","100601","0","0","21","17","1320","216","353","0","0","26","0","17","158"
"5665","0","153","4708","169","100601","0","0","21","18","1320","248","397","0","3","26","0","17","173"
"6310","0","153","5206","193","100601","0","0","21","19","1320","287","447","0","3","26","0","17","173"
"6860","0","153","5797","240","100601","0","0","21","20","1415","327","493","0","3","26","0","17","173"
"7370","0","153","6452","288","100601","0","0","21","21","1515","370","543","0","3","26","0","17","173"
"8370","0","153","7171","318","100601","0","0","21","22","1515","420","603","0","3","26","0","17","173"
"10145","0","153","7937","318","100601","0","0","21","23","1515","474","672","0","3","26","0","17","173"
"11670","0","153","8818","333","100601","0","0","21","24","1515","533","738","0","3","26","0","17","173"
"12670","0","153","9964","355","100601","0","0","21","25","1515","587","798","0","3","26","0","17","173"
"13505","0","153","11385","377","100601","0","0","21","26","1515","630","847","0","3","26","0","17","173"
"14530","0","153","12944","394","100601","0","0","21","27","1515","670","890","0","3","26","0","17","173"
"15675","0","153","14609","411","100601","0","0","21","28","1515","712","933","0","3","26","0","17","173"
"16895","0","153","16394","429","100601","0","0","21","29","1515","758","979","0","3","26","0","17","173"
"18270","0","153","18267","447","100601","0","0","21","30","1515","808","1029","0","3","26","0","17","173"
"19725","0","153","20231","465","100601","0","0","21","31","1515","859","1080","0","3","26","0","17","173"
"21260","0","153","22285","483","100601","0","0","21","32","1515","911","1132","0","3","26","0","17","173"
"22870","0","153","24455","500","100601","0","0","21","33","1515","965","1186","0","3","26","0","17","173"
"24650","0","153","26760","517","100601","0","0","21","34","1515","1020","1241","0","3","26","0","17","173"
"26670","0","153","29157","534","100601","0","0","21","35","1515","1076","1297","0","3","26","0","17","173"
"28860","0","153","31636","551","100601","0","0","21","36","1515","1133","1354","0","3","26","0","17","173"
"80","0","0","0","0","100701","0","0","0","2","100","3","0","0","2","6","0","0","0"
"200","0","0","0","0","100701","0","0","0","3","200","10","0","0","3","46","0","0","0"
"550","0","0","0","0","100701","0","0","0","4","360","20","5","0","7","94","0","0","0"
"1060","0","0","0","0","100701","0","0","0","5","520","35","11","0","10","190","0","0","0"
"1740","0","0","0","0","100701","0","0","0","6","890","53","19","0","14","323","0","0","0"
"2330","0","0","0","0","100701","0","0","0","7","1260","76","34","0","18","480","0","0","0"
"3510","0","0","0","0","100701","0","0","0","8","1585","97","50","0","28","593","0","0","0"
"4255","5","0","10","0","100701","0","0","0","9","1585","124","70","0","35","790","0","5","0"
"5065","20","0","20","0","100701","0","0","0","10","1585","152","90","0","36","1035","0","13","0"
"5765","40","20","20","0","100701","0","0","0","11","1585","177","110","0","41","1296","0","16","0"
"6265","50","40","20","0","100701","0","0","0","12","1685","205","132","0","48","1558","10","16","0"
"6785","50","42","20","0","100701","0","0","0","13","1785","245","165","0","52","1786","20","16","0"
"7005","60","44","20","0","100701","0","0","2","14","1785","285","204","2","54","2066","20","16","0"
"7005","70","44","20","0","100701","0","0","4","15","1885","317","239","4","56","2455","20","16","0"
"7205","82","44","20","0","100701","0","0","4","16","1985","357","269","4","56","2857","25","16","0"
"7715","82","44","20","0","100701","0","0","4","17","2135","401","296","4","59","3253","30","16","0"
"8025","94","44","20","0","100701","0","0","4","18","2285","439","334","4","64","3721","30","16","0"
"8025","116","44","20","0","100701","0","0","4","19","2380","484","375","4","66","4301","30","16","0"
"8060","136","44","20","0","100701","0","0","4","20","2475","536","419","4","66","4938","30","16","0"
"8205","148","44","20","0","100701","0","0","4","21","2475","590","486","4","71","5511","30","16","0"
"8695","188","44","20","0","100701","0","0","4","22","2475","656","552","4","71","6189","30","16","0"
"9010","188","44","20","0","100701","0","0","4","23","2475","742","622","4","71","6953","30","16","0"
"9330","188","44","20","0","100701","0","0","4","24","2475","830","697","4","71","7793","30","16","0"
"9945","205","44","20","0","100701","0","0","4","25","2475","912","772","4","71","8782","30","16","0"
"10695","231","44","20","0","100701","0","0","4","26","2475","990","851","4","71","9897","30","16","0"
"11695","249","44","20","0","100701","0","0","4","27","2475","1062","926","4","71","11147","30","16","0"
"14735","258","44","20","0","100701","0","0","4","28","2475","1143","1007","4","71","12226","30","16","0"
"18005","267","44","20","0","100701","0","0","4","29","2475","1230","1094","4","71","13384","30","16","0"
"21790","276","44","20","0","100701","0","0","4","30","2475","1322","1186","4","71","14579","30","16","0"
"27955","276","44","20","0","100701","0","0","4","31","2475","1424","1288","4","71","15520","30","16","0"
"34490","276","44","20","0","100701","0","0","4","32","2475","1529","1393","4","71","16499","30","16","0"
"41640","276","44","20","0","100701","0","0","4","33","2475","1636","1500","4","71","17534","30","16","0"
"49570","276","44","20","0","100701","0","0","4","34","2475","1745","1609","4","71","18625","30","16","0"
"58210","276","44","20","0","100701","0","0","4","35","2475","1855","1719","4","71","19754","30","16","0"
"67410","276","44","20","0","100701","0","0","4","36","2475","1966","1830","4","71","20920","30","16","0"
"55","0","0","23","0","100801","0","0","0","2","75","1","2","0","0","0","0","0","0"
"150","0","0","78","0","100801","0","0","0","3","150","2","7","0","0","0","0","0","0"
"325","0","10","169","0","100801","0","0","0","4","200","5","16","0","0","0","0","0","5"
"625","0","10","322","0","100801","0","0","0","5","200","7","32","0","0","0","0","0","15"
"1155","0","25","495","0","100801","0","0","0","6","200","15","51","0","0","0","0","0","15"
"1515","0","30","724","0","100801","0","0","0","7","200","22","69","0","0","26","0","0","50"
"1680","0","75","1003","0","100801","0","0","0","8","200","29","91","0","0","52","0","4","50"
"2215","0","110","1267","0","100801","0","0","5","9","200","40","118","0","0","52","0","9","50"
"2755","0","115","1566","16","100801","0","0","10","10","300","52","140","0","0","52","0","14","85"
"3175","0","129","1937","34","100801","0","0","10","11","840","57","166","0","0","52","0","14","101"
"3335","0","135","2352","59","100801","0","0","17","12","960","64","185","0","0","52","0","17","127"
"3575","0","135","2797","93","100801","0","0","22","13","1080","77","204","0","0","52","0","17","137"
"3775","0","135","3253","127","100801","0","0","22","14","1320","93","229","0","0","52","0","17","149"
"4005","0","144","3747","157","100801","0","0","22","15","1440","110","251","0","0","52","0","17","149"
"4185","0","150","4294","193","100801","0","0","22","16","1440","126","273","0","0","52","0","17","149"
"4255","0","151","4848","228","100801","0","0","22","17","1440","145","301","0","0","52","0","17","174"
"4600","0","151","5401","268","100801","0","0","22","18","1440","168","334","0","0","52","0","17","199"
"5245","0","151","6004","317","100801","0","0","22","19","1440","194","371","0","0","52","0","17","199"
"5795","0","151","6727","388","100801","0","0","22","20","1440","219","402","0","0","52","0","17","199"
"6270","0","151","7443","459","100801","0","0","22","21","1540","251","447","0","0","52","0","17","199"
"7160","0","151","8302","525","100801","0","0","22","22","1640","284","490","0","0","52","0","17","199"
"8620","0","151","9263","555","100801","0","0","22","23","1640","319","540","0","0","52","0","17","199"
"10145","0","151","10345","570","100801","0","0","22","24","1640","354","590","0","0","52","0","17","199"
"11145","0","151","11732","607","100801","0","0","22","25","1640","382","625","0","0","52","0","17","199"
"11685","0","151","13434","641","100801","0","0","22","26","1640","399","648","0","0","52","0","17","199"
"12255","0","151","15298","665","100801","0","0","22","27","1640","413","665","0","0","52","0","17","199"
"12855","0","151","17287","689","100801","0","0","22","28","1640","428","681","0","0","52","0","17","199"
"13455","0","151","19415","714","100801","0","0","22","29","1640","446","699","0","0","52","0","17","199"
"14055","0","151","21668","740","100801","0","0","22","30","1640","466","719","0","0","52","0","17","199"
"14655","0","151","24030","766","100801","0","0","22","31","1640","486","739","0","0","52","0","17","199"
"15255","0","151","26501","792","100801","0","0","22","32","1640","506","759","0","0","52","0","17","199"
"15855","0","151","29107","817","100801","0","0","22","33","1640","527","780","0","0","52","0","17","199"
"16455","0","151","31867","841","100801","0","0","22","34","1640","549","802","0","0","52","0","17","199"
"17055","0","151","34757","865","100801","0","0","22","35","1640","571","824","0","0","52","0","17","199"
"17655","0","151","37748","889","100801","0","0","22","36","1640","594","847","0","0","52","0","17","199"
"55","0","0","26","0","100901","0","0","0","2","50","0","3","0","0","0","0","0","0"
