74a11355723c4efaffdecb2c05aeaea0d55b626c70b31fb65911927db92c43e2,17d361937cbcc69f5902e18fd7d4c53d55e1431888d100fcfcd7236421b12032,3180b908838b11e00377906867ed033b4c23d88db70100cd4e5c0e02a329e68e,422d3e9917c1489eb144e44f18a2f80c53a2f7c296742c08a2070d7d314a918b,3e0ef244fe104fcd5a87e9d23fea9f19a10ab2a9dcc99f2a97ee71d7ba97980c,f103f7ed57ecd7ec8462dbadd64ce1b8dd4ebb66996c4f76950abfb4b9b31dfb,db2bb7378518698931ae81ee60d19144078419f8b4f98eac6802a9b688a8b154,256a349546ebc067fbdda31f03e8b7ca48ed6f81a3495e222ff4ec2aef36cf57,c4548db76251d7570065a9c003ea85a0f8e50222e667922deeb499a517ac7bd5,306717b8ad2b9f686cf4a1a11ba8070276cc02e9d89640e6ae4d1446d23a780d,f64a0246986eb2c75d43b97de99a2b5884127a20e23ff88e47ad65a4681e1d42,08fb467b5237e9147cbfdc4acc6fb41e15f853e77c91675726a3d904f0f3d983,ae511fdb3ef7a1f56dd3ecce207b472eda4d1dfe9bd1c4adcd1a4ca6f6d1c809,ea1883725a971b2dd0fd2f6406de4dd20dd47547aeb89d58ae53b817202c6c43
"2","2030/01/01 14:59:59","134301","9.061","10202","1020201","101","2025/07/01 16:00:00","0","只屬於我的演唱……\n你願意一起尋找嗎……？\n有你在身邊……\n我就能更加努力……","5","蘭法","61","-285"
"1","2030/01/01 14:59:59","134401","7.699","10202","1020202","201","2025/07/01 16:00:00","0","作為唱喚士，作為夥伴\n我都會盡我的全力\n……這些，都是\n多虧了你在背後推了我一把哦","2","千歌","61","-285"
"1","2030/01/01 14:59:59","134601","8.595","10203","1020301","101","2025/08/01 16:00:00","0","世界和平由我跟克蘿茜肩負了對吧？\n雖然對我這種邊緣人來說有點沉重，\n但、但如果是兩個人的話，\n我會扛下來給你看的！","2","碧","61","-285"
"1","2030/01/01 14:59:59","134501","7.758","10203","1020302","201","2025/08/01 16:00:00","0","靠著這對新獲得的翅膀……\n無論騎士先生在哪裡，\n我都會馬上飛馳而去！\n克蘿茜‧航空軀體，出動！","2","克蘿茜","61","-285"
"2","2030/01/01 14:59:59","132302","7","10204","1020401","101","2025/09/01 16:00:00","0","今天是和達令的第一次約會♪\n我們要一起逛街購物、然後……\n咦、我現在是通緝犯！？\n達、達令快救救我～！！","6","露易絲瑪莉","61","-285"
"1","2030/01/01 14:59:59","132402","7.904","10204","1020402","201","2025/09/01 16:00:00","0","露易的奶奶人好溫柔、\n總是笑咪咪的，彩羽好喜歡她♪\n不過彩羽最喜歡的地方，\n還是那對超大超帥氣的角～♪","2","彩羽","61","-285"
"4","2030/01/01 14:59:59","132502","8.487","10204","1020403","301","2025/09/01 16:00:00","0","多虧望好不容易讓營收穩定下來，\n結果卻要暫停營業，損失好大。\n……不過，為了露易，\n就讓我來拚一把吧。彩羽我們走～","2","苑","61","-285"
"1","2030/01/01 14:59:59","134901","8.763","10205","1020502","101","2025/10/01 16:00:00","0","哦～呵呵♪\n能與本小姐呼吸一樣的空氣，\n你該感到十分幸運才是～♪\n哦～呵呵呵～♪","2","華音","61","-285"
"1","2030/01/01 14:59:59","134801","6.417","10205","1020503","201","2025/10/01 16:00:00","0","要上囉，騎士先生！\n與華音一起同心協力……一起……\n……那個人到底是怎麼回事？\n我現在感到前所未有地不安耶！","3","紡希","61","-285"
"3","2030/01/01 14:59:59","135001","10.335","10206","1020601","101","2025/11/01 16:00:00","0","「實現願望的海岸」嗎………\n分明可疑，阿賀斗紫布菜她們\n卻在悠閒嬉戲……真是看不下去。\n騎士先生就由我來保護。","7","厄莉絲","61","-285"
"2","2030/01/01 14:59:59","135101","6.281","10206","1020602","201","2025/11/01 16:00:00","0","難得的暑假，\n偶爾也在海灘上悠哉一下吧。\n……咦，難道說這個夏天，\n也沒辦法好好休息嗎？","4","雪菲","61","-285"
"1","2030/01/01 14:59:59","135201","12.244","10206","1020603","301","2025/11/01 16:00:00","0","吃很多。吃飽飽。\n長、大大。\n應該，就能守護、正義。\n哥，一起。來吃、西瓜吧。","2","普蕾西亞","61","-285"
"2","2030/01/01 14:59:59","135301","6.339","10207","1020701","101","2025/12/01 16:00:00","0","一個夏日的冒險開始！\n安涅默涅小姐也能好好享受就好了。\n……可以的話，\n希望我們能再變得更要好一點……","8","可璃亞","61","-285"
"7","2030/01/01 14:59:59","135401","8.184","10207","1020702","201","2025/12/01 16:00:00","0","──夢幻之花……\n是否真的存在還是個謎──不過。\n要我陪同一起去找，\n也不是不可以。","9","安涅默涅","61","-285"
"9","2030/01/01 14:59:59","129101","3.906","10208","1020801","101","2026/01/01 16:00:00","0","啊哈哈！笑口常開福氣自來！\n我相信只要保持笑容，\n即使是複製品世界也會迎來未來！\n妳說對吧，志那都！","2","埃拉","61","-285"
"1","2030/01/01 14:59:59","129201","14.465","10208","1020802","201","2026/01/01 16:00:00","0","跨越反覆重置後的未來。\n無論許願幾次都無法求得的未來。\n……但我不會放棄的，絕對不會。\n妳也是對吧……埃拉？","2","志那都","61","-285"
"4","2030/01/01 14:59:59","100101","8.662","10208","1020803","301","2026/01/01 16:00:00","0","埃拉的世界裡，\n大家也都拚命地活著……！\n……但是卻遇到了世界的危機！\n我一定、一定會幫上忙的！","3","日和","61","-285"
"1","2030/01/01 14:59:59","100301","10.915","10208","1020804","401","2026/01/01 16:00:00","0","志那都……另一個我。\n她珍視的這個世界，\n我絕對不會讓它迎來終結……！\n為了和她一同歡笑的未來！","3","怜","61","-285"
"1","2030/01/01 14:59:59","135802","6.042","10209","1020901","101","2026/02/01 16:00:00","0","啊，你、你好……\n別、別一直盯著儂看。\n那個，儂會很害羞……\n身體會變熱，好像要融化了……","7","雪野","61","-285"
"4","2030/01/01 14:59:59","135903","9.402","10209","1020902","201","2026/02/01 16:00:00","0","為什麼我會變成幽靈……莫名其妙。\n這樣可是會死不瞑目呢。\n抱歉啦，但這也是某種緣分，\n請多指教啊，騎士公。","1","剎鬼","61","-285"
"8","2030/01/01 14:59:59","136902","8.16","10209","1020903","301","2026/02/01 16:00:00","0","嗚、嗚啾嚕……\n為了救活剎鬼姐接，\n首先，要先填飽肚子……！\n章魚燒，請享用吧。","1","璐璐伊","61","-285"
"3","2030/01/01 14:59:59","137401","5","10210","1021001","101","2026/03/01 16:00:00","0","許久沒造訪吉歐‧格黑納，\n在歡迎派對上竟發生了殺人事件！\n賭上蘭德索爾名偵探之名，\n就讓我來解開真相吧！","2","霞","61","-285"
"4","2030/01/01 14:59:59","136001","8.12","10210","1021002","201","2026/03/01 16:00:00","0","……我到底是什麼人呢？\n又到底來自何方呢？\n要是能查明這起事件的真相，\n感覺就能知道些什麼。","1","阿剌克涅","61","-285"
"4","2030/01/01 14:59:59","136202","6.386","10210","1021003","301","2026/03/01 16:00:00","0","什麼是「推理」和「駁回」，\n聽起來太難了，拿娜不懂……\n但是為了朋友與甜甜圈，\n拿娜會努力加油喔！","2","拿娜","61","-285"
"3","2030/01/01 14:59:59","136402","7.438","10211","1021101","101","2026/04/01 16:00:00","0","我想把心意傳達給騎士先生……\n所以。美空，我會加油的！\n……奇怪？為什麼我\n會這麼拼命呢……？","4","優衣","61","-285"
"1","2030/01/01 14:59:59","136302","8.35","10211","1021102","201","2026/04/01 16:00:00","0","與騎士同學的約會就交給我吧★\n所以優衣妳可以\n放心地專注在計畫上……\n要盡情地臉紅心跳哦。","5","美空","61","-285"
"1","2030/01/01 14:59:59","136501","5","10212","1021201","101","2026/05/01 16:00:00","0","新年要到了呢！\n新年料理和裝飾\n全都可以交給姐姐哦♪\n大家一起迎接快樂新年吧！","2","靜流","61","-285"
"1","2030/01/01 14:59:59","137902","5.25","10212","1021202","201","2026/05/01 16:00:00","0","不管是家裡大掃除或麻煩，\n就算是動搖世界的危機也一樣！\n今年的事就要在今年之內\n快快解決乾淨！","2","璃乃","61","-285"
"1","2030/01/01 14:59:59","106801","7.5","10212","1021203","301","2026/05/01 16:00:00","0","年末是公會長也\n不得不四處奔波忙碌的時期！\n這一年雖然發生了很多事，\n你我還是要過個好年喔，少年！","2","拉比林斯達","61","-285"
