58173dcc5c517374a4829844a4d1b2792e47f954b6f6fe582bd20861b25332e0,a6df07ae70282f2f2318c7fb52511b5caa97e0fd986fd3ef08668b8664ca0c5b,a09ff326cce8785f42691f222a56f8f484adc8a2ceb4e2a8ef4fbbd242868177,053f65598cf504d6ba6fb8023b4e9bc2563421670ba34353f3b0191c15fa985e,21cd4f43a4f81f982bd34e81025eb25b3ea667d6a2559370753dbdb643f4ee8b,4530ddbf5e6c3689c47a474aedb14fea942b24c08b672b95922f5e220cf4020f,146a7c7b015ba36f82b2d1ed495f6a30e1e4cad90b5f9538fe663cbe0ef78eae,fe3fd4840a06d9d2e88c396714fda29a90f9d7534b625c3b379d71dd114c4021,12a7f1458706b6dd8a9d70c4942bb3cdc9d037c0f6bdc7cd5413215728115ad9,505cba7940ed213fbc64e16974392df20027b60dd25b5b1484f6501689cb0b3a
"涅婭","4","5","123301","0","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1026","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"珠希","10001","1","104601","0","1","","","1027","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"蘭法","2","4","118101","0","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1028","重新擲{0}次骰子"
"優花梨","7","6","103401","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1029","追加投擲骰子\n直到數字合計為{0}以上"
"克蕾琪塔","10002","2","118001","0","1","","","1030","取得最大2000里程"
"咲戀","1","12","102801","0","1","","","1031","取得{0}張抽獎券"
"優衣","1","3","100201","0","1","","","1032","取得{0}個料理"
"初音","1","13","101201","1","3","","骰子擲出{0}時，\n前進+{1}","1033","骰子擲出{0}時，\n前進+{1}"
"美空","1","4","118201","0","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1034","重新擲{0}次骰子"
"矛依未","7","6","106101","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1035","追加投擲骰子\n直到數字合計為{0}以上"
"忍","4","5","103101","0","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1036","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"真陽","10001","1","103301","0","1","","","1037","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"鏡華","10002","2","103601","0","1","","","1038","取得最大2000里程"
"格蕾斯","1","12","133001","0","1","","","1039","取得{0}張抽獎券"
"薇歐莉特","1","3","133101","0","1","","","1040","取得{0}個料理"
"拉比林斯達","0","8","106801","0","2","","可以選擇使用骰子的\n正面或背面","1041","可以選擇使用骰子的\n正面或背面"
"克莉絲提娜","1","4","107101","0","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1042","重新擲{0}次骰子"
"似似花","7","6","107001","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1043","追加投擲骰子\n直到數字合計為{0}以上"
"嘉夜","4","5","106501","0","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1044","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"優妮","10001","1","111001","0","1","","","1045","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"華音","10002","2","134901","0","1","","","1046","取得最大2000里程"
"紡希","1","12","105401","0","1","","","1047","取得{0}張抽獎券"
"鳳凰","1","3","134701","0","1","","","1048","取得{0}個料理"
"日和","0","8","100101","0","2","","可以選擇使用骰子的\n正面或背面","1049","可以選擇使用骰子的\n正面或背面"
"宮子","1","4","100701","0","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1050","重新擲{0}次骰子"
"妮諾","7","6","103001","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1051","追加投擲骰子\n直到數字合計為{0}以上"
"霞","2","13","101401","1","3","","骰子擲出{0}時，\n前進+{1}","1052","骰子擲出{0}時，\n前進+{1}"
"剎鬼","10001","1","135901","0","1","","","1053","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"鈴","10002","2","102601","0","1","","","1054","取得最大2000里程"
"彩羽","1","12","132401","0","1","","","1055","取得{0}張抽獎券"
"雪野","1","3","135801","0","1","","","1056","取得{0}個料理"
"怜","0","8","100301","0","2","","可以選擇使用骰子的\n正面或背面","1057","可以選擇使用骰子的\n正面或背面"
"帆稀","1","4","106701","0","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1058","重新擲{0}次骰子"
"露易絲瑪莉","7","6","132301","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1059","追加投擲骰子\n直到數字合計為{0}以上"
"莉瑪","1","13","105201","1","3","","骰子擲出{0}時，\n前進+{1}","1060","骰子擲出{0}時，\n前進+{1}"
"依里","10001","1","102201","0","1","","","1061","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"茜里","10002","2","100601","0","1","","","1062","取得最大2000里程"
"拿娜","1","12","136201","0","1","","","1063","取得{0}張抽獎券"
"琪愛兒","1","3","110901","0","1","","","1064","取得{0}個料理"
"栞","4","5","103801","0","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1065","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"美里","1","4","101501","0","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1066","重新擲{0}次骰子"
"望","7","6","102901","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1067","追加投擲骰子\n直到數字合計為{0}以上"
"香織","2","13","101701","1","3","","骰子擲出{0}時，\n前進+{1}","1068","骰子擲出{0}時，\n前進+{1}"
"苑","10001","1","132501","0","1","","","1069","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"千歌","10002","2","104201","0","1","","","1070","取得最大2000里程"
"璃乃","1","12","101101","0","1","","","1071","取得{0}張抽獎券"
"靜流","1","3","104901","0","1","","","1072","取得{0}個料理"
