4582d7da6034650c63737a1266920b380ba22d950fc03bd85210dad9cb563e90,80f3cb2ad79f1e7b058ae484364dd5aab9e72bfdb2f141ee0b391c7e03fca030,6c13dfdb115298b271e6adabbf88c2a904bfce7b7148003bc4e672f7b73ad20f,208b8a7513db22c20804b4a5846b00f09b1415475883b9bf5bc026981761c438,6526ed1a679b441ee5b7ac7b2f05e15b494499e8b4e30726c9a8d425b05ca03b,71b93a509448a94b66361fd6811a4ced8ab755b95a1fdb6bc9bc2855a469e5e3,7eb389a3776b5240ed35f3935dcbcf57be5f76f721f03a0dc74d897691ca4503,cc9bfbf10e472910cd56dd3ba75b6b77e7d0ade781abdd8817a294373002b916
"ㄧ","ㄩㄢ","10007","1000702","指可以飛得很遠的攻擊型武器。","2","遠距離武器","1"
"ㄜ","ㄧㄡ","10007","1000703","羅馬神話中的小愛神。","2","邱比特","1"
"ㄧㄝ","ㄚ","10007","1000704","獵殺動物的行為。","2","打獵","1"
"ㄧㄝ","ㄡ","10007","1000705","人類獵殺動物以取得資源的行為。","2","狩獵","1"
"ㄨ","ㄧㄣ","10008","1000800","在音樂上用來表示音高的記號。","1","音符","1"
"ㄩ","ㄩㄢ","10008","1000801","音樂中音符的流動。","1","旋律","1"
"ㄧ","ㄡ","10008","1000802","將音階由低到高排列 3個。","2","ㄉㄡㄖㄨㄟㄇㄧ","1"
"ㄧㄢ","ㄜ","10008","1000803","數個音符根據樂理結成的組合。","2","和弦","1"
"ㄧㄠ","ㄧㄢ","10009","1000900","為了在畫上著色的材料。","1","顏料","1"
"ㄞ","ㄨㄟ","10009","1000901","水性的顏料。","1","水彩","1"
"ㄨㄢ","ㄨㄢ","10009","1000902","盛裝膏狀物的容器。","2","軟管","1"
"ㄜ","ㄢ","10009","1000903","藍色。或是憂鬱的顏色。","2","藍色","1"
"ㄧㄢ","ㄧㄢ","10010","1001000","以刀刃進行攻擊的武器總稱。","1","劍","1"
"ㄧ","ㄨ","10010","1001001","用於戰鬥的工具。","2","武器","1"
"ㄧㄢ","ㄨㄢ","10010","1001002","長度較短的劍。","2","短劍","1"
"ㄧ","ㄧㄣ","10010","1001003","近身格鬥用的武器。","2","近戰武器","1"
"ㄧㄢ","ㄨㄥ","10010","1001004","「貪吃佩可」的專用裝備。能帶給貪吃佩可更加強大的力量，「皇家裝備」真正的模樣。","3","公主之劍","1"
"ㄧㄥ","ㄧㄢ","10011","1001100","為了補正視力，在眼睛周邊戴在身上的道具。","1","眼鏡","1"
"ㄧㄢ","ㄧㄥ","10011","1001101","用在眼鏡或各式東西上，折射光線用的透明物體。","2","鏡片","1"
"ㄗ","ㄨ","10011","1001102","只知道念書並對其餘事情一竅不通的人。","2","書呆子","1"
"ㄩ","ㄢ","10011","1001103","用來變裝，拿下後原來是美女的眼鏡。","2","扮裝道具","1"
"ㄧㄥ","ㄨㄚ","10011","1001104","公會小屋的管理員「花凜」戴著的眼鏡。","3","花凜的眼鏡","1"
"ㄧㄥ","ㄤ","10012","1001200","為了把小東西放大觀看用的道具。","1","放大鏡","1"
"ㄧㄢ","ㄧㄥ","10012","1001201","用在放大鏡或各式物品上，讓光線曲折用的透明物體。","1","鏡片","1"
"ㄧㄥ","ㄨ","10012","1001202","具有放大效果的透鏡。","2","凸透鏡","1"
"ㄧㄣ","ㄣ","10012","1001203","名偵探「霞」愛用的偵探道具之一。","3","偵探必備的物品","1"
"ㄡ","ㄡ","10013","1001300","拿去烤就會噗滋地流出肉汁，是很棒的食材。","1","肉","1"
"ㄧ","ㄧㄠ","10013","1001301","食材經過巧手烹飪後的完美傑作，讓人忍不住要品嚐美味。","2","料理","1"
"ㄡ","ㄞ","10013","1001302","帶骨的肉。或是以該狀態料理的食物。光是帶骨就看起來莫名的美味。","2","帶骨肉","1"
"ㄡ","ㄨㄥ","10013","1001303","這麼棒的帶骨肉，該不會是傳說中存在於艾爾皮斯島上的「龍」吧。","3","龍肉","1"
"ㄧㄤ","ㄩㄝ","10014","1001400","在夜空中閃耀著金黃色的美麗星球。","1","月亮","1"
"ㄩㄝ","ㄢ","10014","1001401","渾圓的閃耀著的月亮。","1","滿月","1"
"ㄚ","ㄨ","10014","1001402","「月亮」的拉丁文讀音。","2","露娜","1"
"ㄧㄝ","ㄨㄥ","10014","1001403","農曆八月十五號。","2","中秋節","1"
"ㄧㄥ","ㄨㄟ","10014","1001404","繞著行星公轉的天體。","2","衛星","1"
"ㄨ","ㄧㄢ","10015","1001500","少數會飛行的哺乳類。雖然給人會吸血的印象，但是會吸血的品種非常少。","1","蝙蝠","1"
"ㄚ","ㄜ","10015","1001501","著名的吸血鬼。","2","德古拉","1"
"ㄨ","ㄧ","10015","1001502","一份簡單的工作，只要摸摸女孩的頭，或抱抱她就好。","3","伊莉亞的眷屬","1"
"ㄟ","ㄧㄠ","10016","1001600","全身覆滿著羽毛，用翅膀飛翔的物種的統稱。","1","鳥類","1"
"ㄨ","ㄛ","10016","1001601","在蘭德索爾全境裡出現的怪物總稱。","2","魔物","1"
"ㄧㄠ","ㄕ","10016","1001602","現代鳥類的始祖。","2","始祖鳥","1"
"ㄧㄣ","ㄥ","10016","1001603","具有攻擊性的鳥類。","2","猛禽","1"
"ㄗ","ㄧ","10016","1001604","被封印在書中的鳥型魔物。是初音、栞所擊退的。","3","席茲","1"
"ㄗ","ㄧㄝ","10017","1001700","穿在腳上之物。能保護腳底免於碰到小石頭或口香糖之類的文明頂端之物。","1","鞋子","1"
"ㄩㄝ","ㄨㄢ","10017","1001701","能夠保護到腳踝的鞋子。","1","短靴","1"
"ㄧㄝ","ㄧ","10017","1001702","從大叔到女高中生的廣泛客層都愛用的流行物品。不過很可惜，煮了也不能吃。","2","皮鞋","1"
"ㄗ","ㄩㄝ","10017","1001703","包住腳的長靴。尤其編織款的時尚度無人可及。","2","靴子","1"
"ㄩ","ㄤ","10017","1001704","提供防護效果的衣物。","2","防具","1"
"ㄧ","ㄠ","10018","1001800","貓科的哺乳類。因為是人類很熟悉的動物，在可愛的牠面前，人類實在無法抵抗。","1","貓咪","1"
"ㄠ","ㄨㄚ","10018","1001801","帶有花紋的貓。","1","花貓","1"
"ㄧㄡ","ㄨ","10018","1001802","是指貓咪們。珠希會餵牠們吃飯，不過花費可不能小覷。","3","珠希的朋友","1"
"ㄩ","ㄧㄣ","10019","1001900","觀賞用的紅色小型魚類。在廟會時讓人不能不去撈的邪惡東西。","1","金魚","1"
"ㄩ","ㄧㄠ","10019","1001901","魚類一般的稱呼方式。傳說吃了會變聰明。","1","小魚","1"
"ㄩ","ㄩ","10019","1001902","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。","1","魚","1"
"ㄩ","ㄨㄢ","10019","1001903","用於觀賞而非食用所飼養的魚。","2","觀賞魚","1"
"ㄨ","ㄠ","10020","1002000","囓齒類的一種。","1","老鼠","1"
"ㄓ","ㄓ","10020","1002001","老鼠的叫聲，或是暱稱。","1","吱吱","1"
"ㄨ","ㄧㄝ","10020","1002002","咬食性哺乳動物的總稱。","2","齧齒生物","1"
"ㄢ","ㄢ","10021","1002100","由鳥類或爬蟲類等的雌性所產下，以殼包覆著的球狀物體。","1","蛋","1"
"ㄨㄢ","ㄨㄢ","10021","1002101","雌性生物的生殖細胞。","2","卵","1"
"ㄠ","ㄧㄠ","10021","1002102","鳥類用樹枝築成的家，會在這裡産卵。","2","鳥巢","1"
"ㄨㄛ","ㄧㄢ","10021","1002103","燕子所築的巢，中醫認為其有高度營養價值。","2","燕窩","1"
"ㄨㄢ","ㄨㄢ","10022","1002200","載著人或物在水上前進的交通工具。","1","船","1"
"ㄧㄢ","ㄩㄣ","10022","1002201","海軍使用的軍用船隻。","1","軍艦","1"
"ㄨㄢ","ㄢ","10022","1002202","張帆後以風力前進的船。","2","帆船","1"
"ㄞ","ㄤ","10022","1002203","以大型船隻航海。","2","航海","1"
"ㄞ","ㄚ","10022","1002204","十五世紀歐洲人開始開發遠程海上航線的時代。","2","大航海時代","1"
"ㄧ","ㄠ","10022","1002205","互通有無的大規模商業行為。","2","貿易","1"
"ㄞ","ㄧㄡ","10023","1002300","牛所流出的乳汁。除了可以直接飲用，還能加工成起司或奶油，是很棒的東西。","1","牛奶","1"
"ㄟ","ㄟ","10023","1002301","「牛奶」的別種說法。要說出口有點丟臉。","2","ㄋㄟㄋㄟ","1"
"ㄞ","ㄨㄢ","10023","1002302","某些地區是這麼稱呼優酪乳的。","2","酸奶","1"
"ㄞ","ㄧ","10023","1002303","伊麗莎白牧場裡的牛的名字，是真陽的夥伴。","3","伊麗莎白","1"
"ㄧ","ㄧㄠ","10024","1002400","將可可豆加工後的點心。在2月14日會被人大量消耗。","1","巧克力","1"
"ㄧ","ㄨ","10024","1002401","賭神愛吃的甜食。","2","朱古力","1"
"ㄕ","ㄧㄢ","10024","1002402","味道是甜的，疲倦時會想吃。","2","甜食","1"
"ㄧ","ㄨㄛ","10024","1002403","一旦試過就再也無法放手。","3","哆啦喜歡的東西","1"
"ㄨㄛ","ㄧㄤ","10025","1002500","堅硬樹木的果實。不適合人類食用，但會刺激小孩子的收集慾望，充滿魅力的樹木的果實。","1","橡果","1"
"ㄕ","ㄨㄛ","10025","1002501","會長成樹木的果實。","2","果實","1"
"ㄨㄛ","ㄧㄢ","10025","1002502","被硬殼包覆著食用的果實。可放入點心或是當成下酒菜，在各處受到重用。","2","堅果","1"
"ㄧㄣ","ㄧㄥ","10025","1002503","雖然不及紅豆麵包，但鈴好像也喜歡的樣子。對戰時丟向敵人能讓其暈眩。","3","鈴的點心","1"
"ㄟ","ㄠ","10026","1002600","小小的又酸酸甜甜的水果。一顆顆的會被以為是種子，其實是果實。","1","草莓","1"
"ㄟ","ㄧㄝ","10026","1002601","在野外自由生長的莓果。","2","野莓","1"
"ㄨㄛ","ㄟ","10026","1002602","一種小的、果肉狀的且可經常食用的水果。","2","莓果","1"
"ㄨ","ㄠ","10027","1002700","大型貓科猛獸，肉食動物。","1","老虎","1"
"ㄡ","ㄥ","10027","1002701","高攻擊性動物的俗稱，通常是肉食動物。","2","猛獸","1"
"ㄧㄥ","ㄛ","10027","1002702","虎虎！","3","茉莉的憧憬","1"
"ㄨ","ㄨ","10027","1002703","茉莉仰慕的正義英雄。不能吐嘈那名字。","3","無敵英雄虎虎","1"
"ㄗ","ㄨ","10028","1002800","有著長長耳朵和短短尾巴的可愛哺乳類。作為寵物也很受歡迎。","1","兔子","1"
"ㄡ","ㄨㄢ","10028","1002801","將布縫合後裝入棉花，做成像人或動物的形狀的東西。","1","玩偶","1"
"ㄨㄚ","ㄨㄚ","10028","1002802","仿造人或生物製作的東西。有各種材質，可當玩具或作觀賞用、祭祀用等有各種用途。","2","娃娃","1"
"ㄜ","ㄧㄚ","10028","1002803","真步的一隻玩偶。名稱的意象來自亞瑟王和圓桌騎士。","3","亞瑟","1"
"ㄢ","ㄚ","10029","1002900","爆發後會產生熱與衝擊，並破壞、殺傷對方的一種兵器。超危險。","1","炸彈","1"
"ㄧㄣ","ㄨㄟ","10029","1002901","可能會危及生物或環境的物質。操作時可能需要有證照。","2","危險物品","1"
"ㄧ","ㄩㄢ","10029","1002902","指可以飛得很遠的攻擊型武器，會爆炸的東西還是丟的遠遠的比較好吧？","2","遠距離武器","1"
"ㄩ","ㄧ","10029","1002903","還是好好地被罵一次比較好。","3","禊的惡作劇道具","1"
"ㄨㄚ","ㄧ","10030","1003000","瓜科的大型果實。綠色條紋的外皮，紅色果肉與黑色種子令人印象深刻。","1","西瓜","1"
"ㄧㄥ","ㄧㄚ","10030","1003001","用來表示夏天感覺的東西。除了西瓜，其他還有大海或煙火等。","2","夏天風情","1"
"ㄨㄛ","ㄧㄥ","10030","1003002","某些食物吃了會有消暑的感覺。","2","清涼退火","1"
"ㄚ","ㄚ","10031","1003100","馬科的大型哺乳類。由於力量強大，還能快速跑步，大家很常將其作為家畜或賽馬。","1","馬","1"
"ㄗ","ㄩ","10031","1003101","馬科的哺乳類。和馬比起來雖然小，但力量強大，作為勞動力很受人重視。","1","驢子","1"
"ㄚ","ㄨㄣ","10031","1003102","用馬的種類將品種改良成競賽用的類型。","2","純種馬","1"
"ㄧㄢ","ㄥ","10031","1003103","戰隊競賽時登場的馬型魔物。","3","夢魘","1"
"ㄗ","ㄧ","10032","1003200","為了坐下用的家具。也有顯示職位、地位的意義。","1","椅子","1"
"ㄩ","ㄧㄚ","10032","1003201","放在室內，平時使用的道具總稱。","2","家具","1"
"ㄧ","ㄧㄠ","10032","1003202","小學生使用的課桌椅。","2","小學椅","1"
"ㄩ","ㄨㄥ","10032","1003203","放在公會小屋的家具或裝飾品。從豪華的設計到獨特的物品，其變化非常豐富。","3","公會小屋道具","1"
"ㄞ","ㄞ","10033","1003300","在陸地之外的凹陷處會不斷蓄滿水的地方。","1","海","1"
"ㄢ","ㄧㄢ","10033","1003301","陸地和大海相連的地方。","1","淺灘","1"
"ㄧ","ㄠ","10033","1003302","受到月球引力影響，海水往陸地推移或遠離的現象。","2","潮汐","1"
"ㄨㄚ","ㄤ","10033","1003303","海浪受岸邊地形影響被打散時所出現的四濺水花。","2","浪花","1"
"ㄢ","ㄚ","10033","1003304","雖然是可以從蘭德索爾徒步到達的受歡迎海灘，但是常出現魔物，意外的很危險。","3","瑪爾傑海岸","1"
"ㄜ","ㄟ","10034","1003400","包覆在貝類外側的殼。掉在沙灘上會讓人不自覺想收集。","1","貝殼","1"
"ㄟ","ㄧㄚ","10034","1003401","有著堅硬外骨骼的節肢動物。蝦、蟹，還有水蚤都算在內。","2","甲殼類","1"
"ㄕ","ㄧ","10034","1003402","蘭德索爾的所到之處出現的魔物。外觀像鎧甲一樣堅硬，是難對付的敵人。","3","寄居蟹騎士","1"
"ㄧ","ㄧ","10035","1003500","一般是指木管樂器。分為直笛與橫笛。","1","笛","1"
"ㄧ","ㄓ","10035","1003501","木管樂器之一。不能用來玩擊劍遊戲。","1","直笛","1"
"ㄧ","ㄨㄢ","10035","1003502","樂器分類中的一種。吹入氣息，震動管內的空氣來發出聲音。","2","管樂器","1"
"ㄧ","ㄨ","10035","1003503","以直立方式吹奏的笛子。直笛或單簧管等。","2","豎笛","1"
"ㄣ","ㄨ","10036","1003600","在一疊紙上印刷文字或圖畫後裝訂成冊的東西。","1","書本","1"
"ㄧ","ㄧ","10036","1003601","寫下文字或圖畫用的文具。","1","筆記","1"
"ㄨㄛ","ㄧㄠ","10036","1003602","創作的故事。有戀愛、歷史、推理等，種類繁多。","2","小說","1"
"ㄨ","ㄞ","10036","1003603","是書嗎？還是魔杖？","3","凱留的魔導書","1"
"ㄩ","ㄩ","10037","1003700","魚類一般的稱呼方式。傳說吃了會變聰明。","1","魚","1"
"ㄩ","ㄧㄠ","10037","1003701","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。","1","小魚","1"
"ㄩ","ㄨㄟ","10037","1003702","魚的一種。又大又美味的高級魚。說到壽司就是這個。","2","鮪魚","1"
"ㄨ","ㄞ","10037","1003703","生活在海洋中的生命體。","2","海洋生物","1"
"ㄨ","ㄨ","10038","1003800","是樹木。","1","樹","1"
"ㄨ","ㄢ","10038","1003801","用來當聖誕樹的針葉樹。大株的還會長到40公尺。","2","杉木","1"
"ㄧㄝ","ㄥ","10038","1003802","雖然不清楚是何時開始及為什麼，但是聖誕老公公送禮的日子。","2","聖誕節","1"
"ㄨ","ㄧㄝ","10038","1003803","耶誕節時的標誌裝飾物，將燈飾、彩帶等飾品掛在樹上而成。","2","耶誕樹","1"
"ㄧㄝ","ㄧㄥ","10038","1003804","聖誕節前一天的夜晚，也指聖誕節天亮前的深夜。","2","平安夜","1"
"ㄜ","ㄨㄤ","10038","1003805","和千歌一起，在聖夜於咲戀育幼院發生的奇蹟故事。","3","忘却的頌歌","1"
"ㄤ","ㄤ","10039","1003900","有棍子的糖果。","1","棒棒糖","1"
"ㄕ","ㄧㄢ","10039","1003901","甜甜的很好吃，含在口中的感覺最棒了！","2","甜食","1"
"ㄧㄣ","ㄜ","10039","1003902","光是拿著，那畫面就像一幅畫。","3","克蘿依的點心","1"
"ㄨㄟ","ㄨㄢ","10040","1004000","上面是柔軟的，用波浪管製成的玩具。被打到會發出滑稽的聲音。","1","玩具槌","1"
"ㄨㄟ","ㄧㄝ","10040","1004001","上面是由金屬製成的鈍器。被打到會很痛。","2","鐵鎚","1"
"ㄨㄟ","ㄧㄠ","10040","1004002","小槌子。搖晃它可能會出現各種東西，也可能不會出現。","2","小槌","1"
"ㄧ","ㄧ","10040","1004003","祈梨的武器。動作很可愛，但進行的攻擊很兇狠。","3","祈梨的武器","1"
"ㄧㄥ","ㄧㄥ","10041","1004100","在夜空發光的天體。","1","星星","1"
"ㄧㄥ","ㄞ","10041","1004101","星形的海洋生物。不適合食用。","2","海星","1"
"ㄧㄥ","ㄧㄤ","10041","1004102","發光模樣的一種表現。","2","亮晶晶","1"
"ㄧㄥ","ㄧㄡ","10041","1004103","初音的必殺技","2","流星","1"
"ㄨㄤ","ㄢ","10041","1004104","不從空中看的話不會知道。","3","蘭德索爾的形狀","1"
"ㄗ","ㄠ","10042","1004200","戴在頭上的飾品。","1","帽子","1"
"ㄕ","ㄣ","10042","1004201","謹守禮儀的男士，也可以指社經地位高的人士。","1","紳士","1"
"ㄠ","ㄧ","10042","1004202","「帽子」的種類之一。","2","禮帽","1"
"ㄗ","ㄟ","10043","1004300","裝飲料等的容器。","1","杯子","1"
"ㄜ","ㄜ","10043","1004301","以可可樹的果實製成的飲品。","1","可可","1"
"ㄟ","ㄚ","10043","1004302","「杯子」的種類之一。","2","馬克杯","1"
"ㄚ","ㄛ","10043","1004303","混合巧克力的咖啡。","2","摩卡","1"
"ㄡ","ㄡ","10044","1004400","會汪汪叫的動物。","1","狗","1"
"ㄩㄢ","ㄩㄢ","10044","1004401","「狗」的別種說法。","1","犬","1"
"ㄤ","ㄤ","10044","1004402","「狗」的同類。野生之力。","2","狼","1"
"ㄩㄝ","ㄩㄝ","10044","1004403","哈士奇的暱稱。","2","月月","1"
"ㄧ","ㄚ","10044","1004404","非常像狼的大型犬種，可以當作寵物，如果你可以接受牠許多讓人哭笑不得的行為。","2","哈士奇","1"
"ㄗ","ㄧ","10045","1004500","輕飄飄的布。","1","旗子","1"
"ㄧ","ㄢ","10045","1004501","軍隊在戰鬥時使用的旗子，用以分辨敵我，也可以當作下達指令的工具。","2","戰旗","1"
"ㄧ","ㄧㄣ","10045","1004502","用來傳遞訊息的旗子，通常是透過暗號或旗語來運作。","2","信號旗","1"
"ㄠ","ㄢ","10046","1004600","很棒的點心。甜甜的很好吃。","1","蛋糕","1"
"ㄧㄣ","ㄧㄢ","10046","1004601","很棒的食物。","2","點心","1"
"ㄜ","ㄥ","10046","1004602","準備好要唱生日快樂歌了嗎？","2","生日快樂","1"
"ㄨ","ㄧ","10046","1004603","羈絆的深遠不只是共同渡過的時間。卡路里也是羈絆的證明……","3","羈絆點數","1"
"ㄠ","ㄨㄥ","10046","1004604","大家的最愛，就不說是什麼了，直接加上30羈絆值。","3","綜合莓果蛋糕","1"
"ㄥ","ㄞ","10047","1004700","將聲音轉換成信號的裝置。","1","麥克風","1"
"ㄜ","ㄤ","10047","1004701","麥克風是唱歌的必需品！","2","唱歌","1"
"ㄨㄟ","ㄧㄢ","10047","1004702","在舞台上現場演奏。","2","演唱會","1"
"ㄧㄣ","ㄡ","10047","1004703","要是沒有這個就無法開始。","2","偶像的必備物品","1"
"ㄥ","ㄢ","10047","1004704","望的專用裝備。有慈樂之音的標誌！","3","閃耀麥克風","1"
"ㄨㄥ","ㄡ","10048","1004800","能襯出嘴唇的化妝品。","1","口紅","1"
"ㄠ","ㄨㄣ","10048","1004801","抹在嘴唇上，用來保護嘴唇的保養品。","1","唇膏","1"
"ㄧㄣ","ㄨㄚ","10048","1004802","為了美觀而塗抹在臉上的物品。","2","化妝品","1"
"ㄠ","ㄧㄢ","10049","1004900","將穀物蒸煮後的東西。也是吉祥物。","1","年糕","1"
"ㄨ","ㄚ","10049","1004901","「年糕」的別種說法。","1","麻糬","1"
"ㄧㄥ","ㄧㄥ","10049","1004902","新年時可以供奉神佛，一大一小相疊的糯米糕。","2","鏡餅","1"
"ㄨ","ㄢ","10049","1004903","年糕的主要營養素。小心不要吃太多。","2","碳水化合物","1"
"ㄠ","ㄨㄛ","10049","1004904","以糯米製成的點心。","2","糯米糕","1"
"ㄧㄥ","ㄧㄠ","10050","1005000","嬌小又長著翅膀的種族。","1","妖精","1"
"ㄧㄚ","ㄧㄝ","10050","1005001","住在公會小屋的惡作劇妖精。","3","涅比亞","1"
"ㄢ","ㄩ","10051","1005100","主要是避雨用的傘。","1","雨傘","1"
"ㄢ","ㄜ","10051","1005101","主要是遮陽用的傘。","2","遮陽傘","1"
"ㄢ","ㄧㄤ","10051","1005102","主要是遮陽用的傘。","2","陽傘","1"
"ㄖ","ㄢ","10051","1005103","盛夏時海灘公主的必需品！","3","貪吃佩可夏日","1"
"ㄗ","ㄞ","10052","1005200","為了產生亂數用的道具。","1","骰子","1"
"ㄛ","ㄨ","10052","1005201","賭博。骰子上的數字讓人一喜一憂。","2","賭博","1"
"ㄧ","ㄧㄡ","10052","1005202","一般的骰子形狀。","2","六面體","1"
"ㄨㄥ","ㄚ","10052","1005203","使用骰子的桌遊。","2","大富翁","1"
"ㄚ","ㄧ","10052","1005204","一種以骰子進行的賭博遊戲，許多香腸攤老闆都對這個遊戲有自己的見解。","2","洗八啦","1"
"ㄧㄣ","ㄧㄣ","10053","1005300","將無法言喻的心意化為文字。","1","信","1"
"ㄧㄢ","ㄧㄡ","10053","1005301","透過郵遞系統移動的書信或包裹。","2","郵件","1"
"ㄨ","ㄧㄥ","10053","1005302","用來傳達愛意的信。","2","情書","1"
"ㄧㄣ","ㄨ","10053","1005303","用來傳遞訊息的文件。","2","書信","1"
"ㄨ","ㄟ","10053","1005304","古代利用鴿子傳遞訊息的方法。","2","飛鴿傳書","1"
"ㄠ","ㄨ","10054","1005400","是一串的。旁邊的好像很酸。","1","葡萄","1"
"ㄠ","ㄗ","10054","1005401","紫色的葡萄，說到葡萄，還是紫色的最常見。","1","紫葡萄","1"
"ㄥ","ㄩ","10054","1005402","「葡萄」的種類之一。","2","巨峰","1"
"ㄧㄤ","ㄧㄢ","10055","1005500","有著鬆軟的毛。","1","綿羊","1"
"ㄧㄝ","ㄧㄤ","10055","1005501","對小孩子說羊的時候，有時候會這麼說。","1","羊咩咩","1"
"ㄧㄤ","ㄞ","10055","1005502","白色的羊。","2","白羊","1"
"ㄧㄤ","ㄚ","10055","1005503","真可愛呀～♪","2","瑪莉有隻小綿羊","1"
"ㄨ","ㄡ","10056","1005600","用豆子製成的東國料理。","1","豆腐","1"
"ㄨ","ㄨ","10056","1005601","「豆腐」的種類之一。野性的口感。","2","木綿豆腐","1"
"ㄨ","ㄧㄤ","10056","1005602","代表性的豆腐料理。","2","涼拌豆腐","1"
"ㄨ","ㄧㄥ","10056","1005603","杏仁做成的形狀像豆腐的甜品。","2","杏仁豆腐","1"
"ㄗ","ㄧㄚ","10057","1005700","不會飛的鳥。會嗄嗄的叫。","1","鴨子","1"
"ㄟ","ㄧㄠ","10057","1005701","也有會飛的鳥。也有不會飛的鳥。","2","鳥類","1"
"ㄧㄠ","ㄨㄟ","10057","1005702","依水而生的鳥類。","2","水鳥","1"
"ㄧㄥ","ㄧㄥ","10058","1005800","在空中飛的昆蟲。","1","蜻蜓","1"
"ㄧㄥ","ㄧㄢ","10058","1005801","「蜻蜓」的種類之一。","2","晏蜓","1"
"ㄨㄥ","ㄨㄣ","10058","1005802","六支腳的動物。","2","昆蟲","1"
"ㄨㄥ","ㄟ","10058","1005803","「蜻蜓」的英文稱呼，直譯後的意思，很厲害吧。","2","飛龍","1"
"ㄗ","ㄧㄝ","10059","1005900","高等植物的營養器官。","1","葉子","1"
"ㄧㄝ","ㄨ","10059","1005901","樹木的葉子。","1","樹葉","1"
"ㄧㄝ","ㄩ","10059","1005902","綠色的葉子。","2","綠葉","1"
"ㄧㄡ","ㄧ","10059","1005903","碧可以毫無顧慮聊天的少數的朋友。是朋友。","3","碧的朋友","1"
"ㄓ","ㄧㄝ","10060","1006000","戴在手指上的飾品。","1","戒指","1"
"ㄧㄝ","ㄨㄢ","10060","1006001","鑲有鑽石的戒指。","1","鑽戒","1"
