c456190f9c96a6178fffff274d45fe7b307e07ff62516a3fdce14d9902f00f34,d2c6813df1a0f85c6e1b660a5c319d6f199d928024213ec80cf745e5e5155134,4bf30dade31563ae14271b66d4678adf239aaa6a85758709a04f80206bb308ac,96e5a974bbec676bab7ba62684df35e6f419227aaf6ec665717076aef93b5a17,37df537868b6f0a83911b67363107ece59328b66cba0d88dcd9b025d43a63c72,8ddfcde41747c0eebdbde0eb08c175d185613bec2fb401431b8a7673c0965361
"250","44240","1","680","257","19"
"250","44490","1","680","258","19"
"250","44740","1","680","259","19"
"250","44990","1","680","260","19"
"250","45240","1","680","261","20"
"250","45490","1","680","262","20"
"250","45740","1","680","263","20"
"250","45990","1","680","264","20"
"250","46240","1","680","265","20"
"250","46490","1","680","266","20"
"250","46740","1","680","267","20"
"250","46990","1","680","268","20"
"250","47240","1","680","269","20"
"250","47490","1","680","270","20"
"250","47740","1","680","271","21"
"250","47990","1","680","272","21"
"250","48240","1","680","273","21"
"250","48490","1","680","274","21"
"250","48740","1","680","275","21"
"250","48990","1","680","276","21"
"250","49240","1","680","277","21"
"250","49490","1","680","278","21"
"250","49740","1","680","279","21"
"250","49990","1","680","280","21"
"250","50240","1","680","281","22"
"250","50490","1","680","282","22"
"250","50740","1","680","283","22"
"250","50990","1","680","284","22"
"250","51240","1","680","285","22"
"250","51490","1","680","286","22"
"250","51740","1","680","287","22"
"250","51990","1","680","288","22"
"250","52240","1","680","289","22"
"250","52490","1","680","290","22"
"250","52740","1","680","291","23"
"250","52990","1","680","292","23"
"250","53240","1","680","293","23"
"250","53490","1","680","294","23"
"250","53740","1","680","295","23"
"250","53990","1","680","296","23"
"250","54240","1","680","297","23"
"250","54490","1","680","298","23"
"250","54740","1","680","299","23"
"250","54990","1","680","300","23"
"250","55240","1","680","301","24"
"250","55490","1","680","302","24"
"250","55740","1","680","303","24"
"250","55990","1","680","304","24"
"250","56240","1","680","305","24"
"250","56490","1","680","306","24"
"250","56740","1","680","307","24"
"250","56990","1","680","308","24"
"250","57240","1","680","309","24"
"250","57490","1","680","310","24"
"250","57740","1","680","311","25"
"250","57990","1","680","312","25"
"250","58240","1","680","313","25"
"250","58490","1","680","314","25"
"250","58740","1","680","315","25"
"250","58990","1","680","316","25"
"250","59240","1","680","317","25"
"250","59490","1","680","318","25"
"250","59740","1","680","319","25"
"250","59990","1","680","320","25"
"250","60240","1","680","321","26"
"250","60490","1","680","322","26"
"250","60740","1","680","323","26"
"250","60990","1","680","324","26"
"250","61240","1","680","325","26"
"250","61490","1","680","326","26"
"250","61740","1","680","327","26"
"250","61990","1","680","328","26"
"250","62240","1","680","329","26"
"250","62490","1","680","330","26"
"250","62740","1","680","331","27"
"250","62990","1","680","332","27"
"250","63240","1","680","333","27"
"250","63490","1","680","334","27"
"250","63740","1","680","335","27"
"250","63990","1","680","336","27"
"250","64240","1","680","337","27"
"250","64490","1","680","338","27"
"250","64740","1","680","339","27"
"250","64990","1","680","340","27"
"250","65240","1","680","341","28"
"250","65490","1","680","342","28"
"250","65740","1","680","343","28"
"250","65990","1","680","344","28"
"250","66240","1","680","345","28"
"250","66490","1","680","346","28"
"250","66740","1","680","347","28"
"250","66990","1","680","348","28"
"250","67240","1","680","349","28"
"250","67490","1","680","350","28"
"250","67740","1","680","351","29"
"250","67990","1","680","352","29"
"250","68240","1","680","353","29"
"250","68490","1","680","354","29"
"250","68740","1","680","355","29"
"250","68990","1","680","356","29"
"250","69240","1","680","357","29"
"250","69490","1","680","358","29"
"250","69740","1","680","359","29"
"250","69990","1","680","360","29"
"50","50","2","200000","0","1"
"10","60","2","500000","1","1"
"15","75","2","500000","2","1"
"20","95","2","500000","3","1"
"25","120","2","500000","4","1"
"30","150","2","500000","5","1"
