d941f9066c4e19be98cda6b20787a89e72d049bbb19859fb1b49349d02391f5f,967ebdc6d4711c2387c069e2aaf79b563ea580ac10f614d3dc5c0592bf5d04e5,01c8e5d20f3a88130c33c10c89a90937f7551f87f2731e69ea2aefb17f2b1393,0ae5ef8f6b29cf253e32ff626b0289214b49e9e4c752c9b0f235d1583d52472c,b025f7ab3d5b64ee4ad829229335d084cd6c00cf41eb88440e193d534710a6fa,53249b5910597e7c9b214d8ca21e2251e4f4542f836454a5e22c5d60806a2ed9,99691f0bd8877411eadf501d6b7fac985e5900d5c3beef387dc71b31328b6b9f,081f5f3ef4c45a4527f8863ff438e11c07c2118d9ba0688b36277f66b28661fd,3905fa48983c144427877ad03a96429b06fc11c42bb959e4fc2c085742af8039,306a24d412fe8390d4af4647456b7c0407d7cf18434c467657ceddf0fa8df4f4,504e4aa5bee2fa14473972a064b34e93d7d888620b57512eb996cfc41da771f9,fece88e4f96ec5c942acf8496a88e7a1730b42c038e752d0bed9dc6dfdf03b04,ad55e4d0b2ea3ad06003acc4911604b6f321454f027b4a10aeb740ea25e164a8,144b80c8a5a4c529c8b89c96c4cc61302455eef17f88ef9542ed204e45b6a02a
"113601","0","350","111","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","1","103","2.5","2","105","0","0.071","11","11"
"107901","0","130","112","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","0","103","1.5","3","120","1","0.014","12","12"
"108001","1","200","113","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","0","105","1.5","2","110","0","0.022","13","13"
"110301","1","160","114","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","0","108","2.5","1","110","0","0.031","14","14"
"107701","0","130","115","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","0","105","0.5","1","110","1","0.036","15","15"
"113101","0","350","116","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","1","95","3.5","2","110","0","0.048","16","16"
"113301","0","130","117","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","0","105","1.5","3","105","1","0.043","17","17"
"113201","0","130","118","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","0","95","1.5","2","105","1","0.018","18","18"
"117001","1","160","119","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","0","108","2.5","2","110","0","0.021","19","19"
"113501","0","255","120","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","1","105","2.5","1","110","0","0.036","20","20"
"113401","0","350","121","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","1","105","2.5","3","105","0","0.02","21","21"
"110101","0","130","122","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","0","105","2.5","1","110","1","0.018","22","22"
"110001","1","160","123","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","0","111","3.5","3","105","0","0.03","23","23"
"117201","0","130","124","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","0","103","1.5","1","110","1","0.027","24","24"
"117301","1","160","125","美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。","0","108","3.5","2","105","0","0.02","25","25"
"117401","0","350","126","在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。","1","105","2.5","3","110","0","0.04","26","26"
"117101","0","350","127","非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。","1","105","3.5","1","110","0","0.009","27","27"
"122901","0","255","128","在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。","1","105","3.5","1","120","0","0.022","28","28"
"122801","0","130","129","天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？","0","105","2.5","3","110","1","0.028","29","29"
"122701","1","130","130","即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。","0","108","3.5","2","105","0","0.023","30","30"
