aedb238d629f64baa0112271ae6789debf1af8bea530f16e56b17fd1290efc4d,9d249e19dcc8bc88fa0ec750fcaee4f60123affabf3e903903ba4ae3fa5fd92e,c45814c0d523fc8b6bb01785cc5379dda1f7ce15f8f579b38d544f7283c79da4,91b9b3130cef46bca4c57149c2962e180bc4d853bf9c1555c6031aba6c31bdfe,a2795a150435a54f5b49030a21d9c7b93556a79826a7d13f59db253be487a6dd
"9100803","31008","10","2","182"
"9104903","31049","10","2","183"
"9104703","31047","10","2","184"
"9103803","31038","10","2","185"
"9101403","31014","10","2","186"
"9109403","31094","10","2","187"
"9104803","31048","10","2","188"
"9104503","31045","10","2","189"
"9100603","31022","10","2","190"
"9100603","31006","10","2","191"
"9100503","31005","10","2","192"
"9109203","31092","10","2","193"
"9102503","31025","10","2","194"
"9106403","31064","10","2","195"
"9103103","31031","10","2","196"
"9101203","31012","10","2","197"
"9118103","31181","10","2","198"
"9102603","31026","10","2","199"
"9105003","31050","10","2","200"
"9100303","31003","10","2","201"
"9100703","31007","10","2","202"
"9102903","31029","10","2","203"
"9103603","31036","10","2","204"
"9109303","31093","10","2","205"
"9107103","31071","10","2","206"
"9123003","31230","10","2","207"
"9111003","31110","10","2","208"
"9104603","31046","10","2","209"
"9103303","31033","10","2","210"
"9105103","31051","10","2","211"
"9105703","31057","10","2","212"
"9103203","31032","10","2","213"
"9105203","31052","10","2","214"
"9103403","31034","10","2","215"
"9107003","31070","10","2","216"
