ed45b4c0a0ca7f5721125b5952a3407f797e982a74b65f03b9987f6c53c44bfd,2729e1ad75de6b4fde52cc4a1b67f3db1ff639ac30311cfd0c90eb77121dbe57,7e63cc77d99f1d9f088e35514710b7b95eb93524694fdca4bb710e1ee7cac35f,3990d9eafaa85c82ef26efb5542d1e22eed6524f61ab1a7fa8c5bf638e1958e6,b0c9d87a23cb89acb79011335489447d4e600949d5badfe2d45f671b50ce8b4e,9cbe09ac429342df7bd6a6db4f9021163e100ae8096f3e9f838a60bb337dda61,2f7cb60832c0f1add8b644ada24f4368410a59a72601eb2c4bc866892e8e4196,5d45ebab4e2bb4b72100ba806b84392fe241f3546121f61b000e3fc07d130249,4329d48c4d920d5f6026c160df86cd2d24671d8b7b974a8d3930bba197c2bb61,e98ca55c3fc4beacf1fbbcae3b6d7e113f2764f9167434f9b457b2fd5b5f81e2,1f676c7751e8c9edba4ede215af2720dfa337f1b859c491de3cca646c493eae4,975cc20404dd9a0ac4d904f595c4c50e1094b82fcb587bef4900dc3da282020f,1f05a8c90076dd3091fcf85484cbf148de8f11d625f4e2ff7f205c2e42e37d63,8deae55a3649eb602845c37fd36284edf327cefb947640c30c14b1304bc974fc,1b4b6606cd2674f17bfa70ab3c5615fbcaad487844f879fdc4973f343cbafe14,2e508459dbdc678c0bdf1c4b67cefe5879aed127db81a66abd38e4598d64a843
"小小甜心","10","5","117","102001","獸人族","4","O","21","蒐集可愛的東西","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","美美","0","日高里菜","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","3"
"咲戀育幼院","12","9","150","102101","人族","6","B","40","看戲、扮家家酒","愛哭又膽小，令人想去保護的女孩","胡桃","0","植田佳奈","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","9"
"惡魔偽王國軍","13","7","150","102201","魔族","11","O","40","所有遊戲","怕生的任性女孩","依里","0","原紗友里","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","22"
"咲戀育幼院","14","9","148","102301","人族","5","B","38","能在房間裡玩的遊戲","永遠跟噗吉在一起！","綾音","0","芹澤優","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","10"
"咲戀育幼院","15","9","154","102501","人族","12","O","43","服侍","為了大小姐而努力的冒失女僕","鈴莓","0","悠木碧","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","12"
"伊麗莎白牧場","17","11","144","102601","獸人族","1","B","42","紅豆麵包","視玩樂與睡眠為第一的懶惰少女","鈴","0","小岩井ことり","test","1"
"暮光流星群","16","13","154","102701","魔族","7","B","43","實驗、裁縫、料理","專情於命中注定對象的少女","惠理子","0","橋本ちなみ","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","30"
"咲戀育幼院","17","9","156","102801","精靈族","10","A","43","經營、茶會","經營育幼院的庶民派溫柔大小姐","咲戀","0","堀江由衣","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","4"
"慈樂之音","17","4","157","102901","人族","1","B","40","看舞台劇，跳舞","能歌善舞的超人氣偶像","望","0","日笠陽子","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","24"
"純白之翼 蘭德索爾分部","16","15","163","103001","人族","8","O","51","忍法開發","東國的神祕，請告訴我！","妮諾","0","佐藤聡美","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","31"
"惡魔偽王國軍","18","7","157","103101","魔族","12","AB","42","占卜","擅長占卜的靈能少女","忍","0","大坪由佳","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","22"
"墨丘利財團","18","12","157","103201","人族","3","AB","45","慈善事業","目標成為頂尖商人的元氣大小姐","秋乃","0","松嵜麗","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","12"
"伊麗莎白牧場","20","11","142","103301","人族","3","B","35","相聲","令大家歡笑的歡樂牧場主人","真陽","0","新田恵海","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","3"
"墨丘利財團","22","12","164","103401","精靈族","3","A","55","隨意逛街","既純情又放心不下的成熟女性","優花梨","0","今井麻美","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","16"
"小小甜心","8","5","118","103601","精靈族","2","A","21","讀書","端莊正直的嬌小優等生","鏡華","0","小倉唯","test","2"
"王宮騎士團","13","8","149","103701","人族","8","A","43","劍術、戲弄長輩","重情義愛捉弄人的劍術少女","智","0","茅原実里","test","11"
"伊麗莎白牧場","14","11","153","103801","獸人族","11","A","40","讀書、散步","喜愛讀書的體弱少女","栞","0","小清水亜美","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","3"
"森林守衛","13","6","158","104001","精靈族","6","AB","44","交朋友的想像訓練","嚮往「朋友」的精靈之森女孩","碧","0","花澤香菜","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","6"
"慈樂之音","17","4","163","104201","人族","6","O","46","各種樂器","守護人們而歌唱的唱喚士少女","千歌","0","福原綾香","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","3"
"哞哞自衛隊","17","10","168","104301","獸人族","8","O","54","做點心","不輸男人的狂野義氣少女","真琴","0","小松未可子","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","9"
"惡魔偽王國軍","??","7","172","104401","魔族","5","A","50","征服世界","曾經支配黑夜的最強吸血鬼","伊莉亞","0","丹下桜","test","5"
"純白之翼 蘭德索爾分部","18","15","157","104501","人族","11","AB","49","閱讀小說","最愛妄想！其實是個害羞少女","空花","0","長妻樹里","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","19"
"墨丘利財團","19","12","158","104601","獸人族","3","AB","48","與貓咪玩耍","鋤強扶弱的貓娘","珠希","0","沼倉愛美","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","1"
"王宮騎士團","25","8","171","104701","人族","10","A","50","格鬥技、入浴","看不見面容的沉著女騎士","純","0","川澄綾子","？？？","25"
"墨丘利財團","20","12","163","104801","人族","11","O","49","傭兵等等的打工","公事私事都效率至上的傭兵少女","美冬","0","田所あずさ","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","11"
"拉比林斯","18","3","168","104901","人族","10","O","54","所有家事","姐姐會照顧你的呦！","靜流","0","生天目仁美","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","24"
"月光學院","11","14","120","105001","魔族","1","A","22","閱讀流行雜誌、蒐集化妝品","稍微有點差距的少女戀情","美咲","0","久野美咲","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","3"
"暮光流星群","27","13","166","105101","人族","3","A","53","研究、實驗","興趣是實驗的危險科學家","深月","0","三石琴乃","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","7"
"伊麗莎白牧場","17","11","150","105201","獸人族","3","A","100","理毛、聊天","少女心的毛茸茸生物","莉瑪","0","徳井青空","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","14"
"純白之翼 蘭德索爾分部","17","15","140","105301","人族","7","A","33","逛點心店","外表與內心都是孩子的異國軍人","莫妮卡","0","辻あゆみ","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","28"
"慈樂之音","14","4","153","105401","人族","9","AB","45","裁縫","最愛時尚的可愛女孩","紡希","0","木戸衣吹","test","7"
"純白之翼 蘭德索爾分部","16","15","155","105501","精靈族","4","O","43","觀察","何時都會一見鍾情，純情少女","步未","0","大関英里","test","7"
"暮光流星群","25","13","167","105601","人族","7","B","54","釣魚","散發人情味的帥氣「大姐頭」","流夏","0","佐藤利奈","test","11"
"？？？","17","","156","105701","人族","3","O","45","冒險、聊天","夢想前往天空冒險的騎空士少女","吉塔","0","金元寿子","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","10"
"美食殿堂","17","1","156","105801","人族","3","O","46","邊走邊吃、料理","元氣滿點的空腹少女","貪吃佩可","0","M・A・O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","31"
"美食殿堂","11","1","140","105901","精靈族","5","B","35","冥想、養育動植物","仰慕主人，小小嚮導","可可蘿","0","伊藤美来","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"美食殿堂","14","1","152","106001","獸人族","9","A","39","和貓咪玩耍","倒在路旁的謎之貓耳魔法師","凱留","0","立花理香","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","2"
"？？？","16","","148","106101","人族","8","O","40","冒險、回憶故事","徬徨的謎樣少女","矛依未","0","潘めぐみ","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","11"
"？？？","15","","155","106301","精靈族","6","O","42","蒐集漂亮的葉子","目標成為森林守護者的精靈族少女","亞里莎","0","優木かな","","17"
"美食殿堂","14","1","147","106401","龍人族","12","B","???","讀書、伸展運動","失去記憶的龍人族少女","雪菲","0","近藤玲奈","","14"
"龍族巢穴","16","17","156","106501","龍人族","6","B","???","格鬥技","專門用拳頭來交朋友的打手龍少女","嘉夜","0","小市眞琴","","25"
"龍族巢穴","13","17","145","106601","龍人族","9","AB","???","遊戲","嘴上功夫一流的廢材龍娘","祈梨","0","藤田茜","","29"
"龍族巢穴","25","17","168","106701","龍人族","4","O","???","繪畫、讀書","面帶詭譎的笑容看透一切的臥龍首領。","帆稀","0","大西沙織","","17"
"拉比林斯","25","3","160","106801","人族","7","AB","??","觀察人類","祕密結社拉比林斯的「迷宮女王」","拉比林斯達","0","沢城みゆき","","25"
"？？？","29","","166","106901","獸人族","7","AB","??","占卜、支配","謎團重重的蘭德索爾之主","霸瞳皇帝","0","蒼井翔太","","1"
"？？？","24","","149","107001","精靈族","3","O","??","模仿、藝術欣賞","隱居在研究所，相當文靜的大姊姊","似似花","0","井口裕香","","24"
"王宮騎士團","27","8","165","107101","人族","2","O","??","和強敵之間的競爭","自視甚高的王宮騎士團副團長","克莉絲提娜","0","たかはし智秋","","7"
"美食殿堂","17","1","156","107501","人族","3","O","46","邊走邊吃、料理","元氣滿點的空腹少女","貪吃佩可（夏日）","0","M・A・O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","31"
"美食殿堂","11","1","140","107601","精靈族","5","B","35","冥想、養育動植物","仰慕主人，小小嚮導","可可蘿（夏日）","0","伊藤美来","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"咲戀育幼院","15","9","154","107701","人族","12","O","43","服侍","為了大小姐而努力的冒失女僕","鈴莓（夏日）","0","悠木碧","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","12"
"美食殿堂","14","1","152","107801","獸人族","9","A","39","和貓咪玩耍","倒在路旁的謎之貓耳魔法師","凱留（夏日）","0","立花理香","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","2"
"墨丘利財團","19","12","158","107901","獸人族","3","AB","48","與貓咪玩耍","鋤強扶弱的貓娘","珠希（夏日）","0","沼倉愛美","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","1"
"墨丘利財團","20","12","163","108001","人族","11","O","49","傭兵等等的打工","公事私事都效率至上的傭兵少女","美冬（夏日）","0","田所あずさ","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","11"
"惡魔偽王國軍","18","7","157","108101","魔族","12","AB","42","占卜","擅長占卜的靈能少女","忍（萬聖節）","0","大坪由佳","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","22"
"惡魔偽王國軍","14","7","130","108201","魔族","1","B","32","吃布丁","最愛布丁的幽靈少女","宮子（萬聖節）","0","雨宮天","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","23"
"月光學院","11","14","120","108301","魔族","1","A","22","閱讀流行雜誌、蒐集化妝品","稍微有點差距的少女戀情","美咲（萬聖節）","0","久野美咲","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","3"
"慈樂之音","17","4","163","108401","人族","6","O","46","各種樂器","守護人們而歌唱的唱喚士少女","千歌（聖誕節）","0","福原綾香","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","3"
"咲戀育幼院","12","9","150","108501","人族","6","B","40","看戲、扮家家酒","愛哭又膽小，令人想去保護的女孩","胡桃（聖誕節）","0","植田佳奈","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","9"
"咲戀育幼院","14","9","148","108601","人族","5","B","38","能在房間裡玩的遊戲","永遠跟噗吉在一起！","綾音（聖誕節）","0","芹澤優","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","10"
"破曉之星","16","2","155","108701","獸人族","8","A","44","助人、打氣加油","最愛幫助別人！　正向思考的格鬥少女","日和（新年）","0","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","27"
"破曉之星","17","2","158","108801","人族","4","O","47","料理、觀察人類","擅長支援戰鬥，心地善良的少女","優衣（新年）","0","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","5"
"破曉之星","18","2","163","108901","魔族","1","B","46","讀書、騎馬、茶","冷酷又率直的劍士","怜（新年）","0","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","12"
"暮光流星群","16","13","154","109001","魔族","7","B","43","實驗、裁縫、料理","專情於命中注定對象的少女","惠理子（情人節）","0","橋本ちなみ","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","30"
"拉比林斯","18","3","168","109101","人族","10","O","54","所有家事","姐姐會照顧你的呦！","靜流（情人節）","0","生天目仁美","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","24"
"？？？","17","","156","109201","人族","12","AB","55","讀書","和英靈締結契約的馬納歷亞天才公主","安","0","日笠陽子","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","1"
"？？？","16","","144","109301","人族","2","O","45","吃飯，睡覺","馬納歷亞魔法學院新生","露","0","こやまきみこ","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","4"
"？？？","17","","167","109401","半人半龍","11","B","67","鋼琴","擁有超越人類力量的善良龍人公主","古蕾婭","0","福原綾香","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","3"
"純白之翼 蘭德索爾分部","18","15","157","109501","人族","11","AB","49","閱讀小說","最愛妄想！其實是個害羞少女","空花（大江戶）","0","長妻樹里","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","19"
"純白之翼 蘭德索爾分部","16","15","163","109601","人族","8","O","51","忍法開發","東國的神祕，請告訴我！","妮諾（大江戶）","0","佐藤聡美","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","31"
"？？？","17","","154","109701","鬼族","2","?","??","戲劇欣賞、詩和散文","有如鬼助的萬能妹妹女僕","雷姆","0","水瀬いのり","","2"
"？？？","17","","154","109801","鬼族","2","?","??","讀書","毒舌系魔鬼姐姐女僕","拉姆","0","村川梨衣","","2"
"？？？","??","","164","109901","半妖精族","9","?","??","幫帕克梳理毛髮、念書","穩重成熟的銀髮半妖精","愛蜜莉雅","0","高橋李依","","23"
"月光學院","17","14","167","110001","魔族","4","O","48","時尚","天真浪漫的人氣超級名模","鈴奈（夏日）","0","上坂すみれ","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","10"
"月光學院","23","14","162","110101","魔族","8","B","52","看戀愛小說、戀愛劇、戀愛漫畫","魅惑眾多男性的純潔女老師","伊緒（夏日）","0","伊藤静","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","14"
"月光學院","11","14","120","110201","魔族","1","A","22","閱讀流行雜誌、蒐集化妝品","稍微有點差距的少女戀情","美咲（夏日）","0","久野美咲","","3"
"咲戀育幼院","17","9","156","110301","精靈族","10","A","43","經營、茶會","經營育幼院的庶民派溫柔大小姐","咲戀（夏日）","0","堀江由衣","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","4"
"哞哞自衛隊","17","10","168","110401","獸人族","8","O","54","做點心","不輸男人的狂野義氣少女","真琴（夏日）","0","小松未可子","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","9"
"哞哞自衛隊","17","10","158","110501","獸人族","7","A","53","跳舞、空手道","隨時都「船到橋頭自然直」的天真少女","香織（夏日）","0","高森奈津美","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","7"
"哞哞自衛隊","16","10","155","110601","獸人族","9","O","42","幻想、蒐集玩偶","真步真步王國的公主","真步（夏日）","0","内田真礼","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","22"
"森林守衛","13","6","158","110701","精靈族","6","AB","44","交朋友的想像訓練","嚮往「朋友」的精靈之森女孩","碧（插班生）","0","花澤香菜","","6"
"聖德蕾莎女子學院（好朋友社）","17","16","154","110801","精靈族","8","O","42","飛鏢","生長在市區的陰暗系精靈族","克蘿依","0","種﨑敦美","","7"
"聖德蕾莎女子學院（好朋友社）","16","16","156","110901","人族","9","O","46","跳舞、卡拉OK","天生自由奔放的失禮現代小孩","琪愛兒","0","佐倉綾音","","15"
"聖德蕾莎女子學院（好朋友社）","18","16","142","111001","人族","2","O","36","讀書","沉睡於書庫的小小賢人","優妮","0","小原好美","","28"
"小小甜心","8","5","118","111101","精靈族","2","A","21","讀書","端莊正直的嬌小優等生","鏡華（萬聖節）","0","小倉唯","","2"
"小小甜心","9","5","128","111201","人族","8","O","27","惡作劇、探險","愛好冒險的搗蛋鬼","禊（萬聖節）","0","諸星すみれ","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","10"
"小小甜心","10","5","117","111301","獸人族","4","O","21","蒐集可愛的東西","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","美美（萬聖節）","0","日高里菜","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","3"
"？？？","??","","142","111401","人族","1","?","28","找「朋友」之事","到處找人做朋友的死靈術師少女","露娜","0","小倉唯","","8"
"王宮騎士團","27","8","165","111501","人族","2","O","??","和強敵之間的競爭","自視甚高的王宮騎士團副團長","克莉絲提娜（聖誕節）","0","たかはし智秋","","7"
"慈樂之音","17","4","157","111601","人族","1","B","40","看舞台劇，跳舞","能歌善舞的超人氣偶像","望（聖誕節）","0","日笠陽子","","24"
"惡魔偽王國軍","??","7","172","111701","魔族","5","A","50","征服世界","曾經支配黑夜的最強吸血鬼","伊莉亞（聖誕節）","0","丹下桜","","5"
"美食殿堂","17","1","156","111801","人族","3","O","46","邊走邊吃、料理","元氣滿點的空腹少女","貪吃佩可（新年）","0","M・A・O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","31"
"美食殿堂","11","1","140","111901","精靈族","5","B","35","冥想、養育動植物","仰慕主人，小小嚮導","可可蘿（新年）","0","伊藤美来","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"美食殿堂","14","1","152","112001","獸人族","9","A","39","和貓咪玩耍","倒在路旁的謎之貓耳魔法師","凱留（新年）","0","立花理香","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","2"
"咲戀育幼院","15","9","154","112101","人族","12","O","43","服侍","為了大小姐而努力的冒失女僕","鈴莓（新年）","0","悠木碧","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","12"
"哞哞自衛隊","15","10","152","112201","獸人族","11","AB","41","讀書、推理","頭腦聰明的美少女名偵探","霞（魔法少女）","0","水瀬いのり","","3"
"伊麗莎白牧場","14","11","153","112301","獸人族","11","A","40","讀書、散步","喜愛讀書的體弱少女","栞（魔法少女）","0","小清水亜美","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","3"
"new generations","17","100","159","112401","人族","4","O","45","與好友長談","燦爛的笑容！　夢想成為偶像的女孩","卯月（NGs）","0","大橋彩香","","24"
"new generations","15","100","165","112501","人族","8","B","44","遛狗","冷酷又美麗的「蒼藍劍士」","凜（NGs）","0","福原綾香","","10"
"new generations","15","100","161","112601","人族","12","B","46","購物","目標成為超級巨星的活力女孩☆☆★","未央（NGs）","0","原紗友里","","1"
"伊麗莎白牧場","17","11","144","112701","獸人族","1","B","42","紅豆麵包","視玩樂與睡眠為第一的懶惰少女","鈴（遊俠）","0","小岩井ことり","","1"
"伊麗莎白牧場","20","11","142","112801","人族","3","B","35","相聲","令大家歡笑的歡樂牧場主人","真陽（遊俠）","0","新田恵海","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","3"
