e2979ebf149c02a036606fa45846d7c2bf8144fef9cf2fa82e3f211fb62f213a,62f96e2359e805822581348f5b440182873aca524c15602b1dd79bb97087ac7f,9c6713fc64851ae89d5f714a8cea1810974df5b46a1f25b55c80962aefa1988d,6d8fd67503d7bf651eb784e9ffbfab828a94ab7495e3109d88b79e9e259ac7c6,dd0eb49ff2d7e3e9739a5c41ddf84cfa00f2bb9acf1f069ae627c87c0ec44828,7ce6a7a3a5e072d40a7716ac7e526608e516b531c2b25bbe8f416f6007395e96,434f57e143e733f362795b21abd087af256c5ac7d57b8a674faee73a8b2f0508,667fa7817edf0ded6cb115c95298d08cdca04dcd91a407a9494ee0be7e5e58fa,1bfe6acf253a40938e90a3ded182bd58f3b99d9aa886ff4cdccd0f0b19cf853f,ca86eeaba21092a074f7fd12ab8559ecbdfd9d92b3d7df6c3e8ffd7754e6c087,e2225218181efb17a8ca0db422f2a87ea30b8a5c98ca54d3b73db13673387e0f,8cf188f512c86646e361b3a910b4adef12e85f41ab33dac5e046420ff17217cc,16539af4651aae772c8116968e903e4c9947fc8378ed54587fcb603d7386a8bf,4ebe5cdbe9936c553fe62a3ff261b778240e4458a31c4248d5f0a3513f11f50c,3568280534a975e72389166ec3ff349d5616b88b07cc8bb7ee597c7b5415034c,af27196b6d0e156b73f1cb2310ddee05ade48f49e21157cf4f974da1030ca791,3726f86addb327cf1896970268d4c56bd5dcd142aefb8b110beed12e25077bfd
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001004","1","1","2019/02/14 04:59:59","180000","0","8001","1","45959","18001004","0","2019/01/30 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001005","1","1","2019/07/01 04:59:59","120000","0","8001","1","45959","18001001","0","2019/02/14 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001006","1","1","2019/07/01 04:59:59","180000","0","8001","1","45959","18001002","0","2019/02/14 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001007","1","1","2019/07/15 04:59:59","120000","0","8001","1","45959","18001003","0","2019/07/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001008","1","1","2019/07/15 04:59:59","180000","0","8001","1","45959","18001004","0","2019/07/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001009","1","1","2019/08/01 04:59:59","120000","0","8001","1","45959","18001001","0","2019/07/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001010","1","1","2019/08/01 04:59:59","180000","0","8001","1","45959","18001002","0","2019/07/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001011","1","1","2019/08/15 04:59:59","120000","0","8001","1","45959","18001003","0","2019/08/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001012","1","1","2019/08/15 04:59:59","180000","0","8001","1","45959","18001004","0","2019/08/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001013","1","1","2020/01/21 04:59:59","120000","0","8001","1","45959","18001001","0","2019/08/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001014","1","1","2020/01/21 04:59:59","180000","0","8001","1","45959","18001002","0","2019/08/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001015","1","1","2020/02/10 04:59:59","120000","0","8001","1","45959","18001003","0","2020/01/21 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001016","1","1","2020/02/10 04:59:59","180000","0","8001","1","45959","18001004","0","2020/01/21 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001017","1","1","2020/06/22 04:59:59","120000","0","8001","1","45959","18001001","0","2020/02/10 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001018","1","1","2020/06/22 04:59:59","180000","0","8001","1","45959","18001002","0","2020/02/10 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001019","1","1","2020/07/08 04:59:59","120000","0","8001","1","45959","18001003","0","2020/06/22 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001020","1","1","2020/07/08 04:59:59","180000","0","8001","1","45959","18001004","0","2020/06/22 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001021","1","1","2020/08/03 04:59:59","120000","0","8001","1","45959","18001001","0","2020/07/08 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001022","1","1","2020/08/03 04:59:59","180000","0","8001","1","45959","18001002","0","2020/07/08 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001023","1","1","2020/08/18 04:59:59","120000","0","8001","1","45959","18001003","0","2020/08/03 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001024","1","1","2020/08/18 04:59:59","180000","0","8001","1","45959","18001004","0","2020/08/03 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001025","1","1","2020/10/22 04:59:59","120000","0","8001","1","45959","18001001","0","2020/08/18 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001026","1","1","2020/10/22 04:59:59","180000","0","8001","1","45959","18001002","0","2020/08/18 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001027","1","1","2020/11/01 04:59:59","120000","0","8001","1","45959","18001003","0","2020/10/22 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001028","1","1","2020/11/01 04:59:59","180000","0","8001","1","45959","18001004","0","2020/10/22 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001029","1","1","2021/02/09 04:59:59","120000","0","8001","1","45959","18001001","0","2020/11/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001030","1","1","2021/02/09 04:59:59","180000","0","8001","1","45959","18001002","0","2020/11/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001031","1","1","2021/02/26 04:59:59","120000","0","8001","1","45959","18001003","0","2021/02/09 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001032","1","1","2021/02/26 04:59:59","180000","0","8001","1","45959","18001004","0","2021/02/09 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001033","1","1","2021/04/16 04:59:59","120000","0","8001","1","45959","18001001","0","2021/02/26 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001034","1","1","2021/04/16 04:59:59","180000","0","8001","1","45959","18001002","0","2021/02/26 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001035","1","1","2021/04/28 04:59:59","120000","0","8001","1","45959","18001003","0","2021/04/16 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001036","1","1","2021/04/28 04:59:59","180000","0","8001","1","45959","18001004","0","2021/04/16 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001037","1","1","2021/08/01 04:59:59","120000","0","8001","1","45959","18001001","0","2021/04/28 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001038","1","1","2021/08/01 04:59:59","180000","0","8001","1","45959","18001002","0","2021/04/28 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001039","1","1","2021/08/24 04:59:59","120000","0","8001","1","45959","18001003","0","2021/08/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001040","1","1","2021/08/24 04:59:59","180000","0","8001","1","45959","18001004","0","2021/08/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001041","1","1","2021/09/01 04:59:59","120000","0","8001","1","45959","18001001","0","2021/08/24 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001042","1","1","2021/09/01 04:59:59","180000","0","8001","1","45959","18001002","0","2021/08/24 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001043","1","1","2021/09/10 04:59:59","120000","0","8001","1","45959","18001003","0","2021/09/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001044","1","1","2021/09/10 04:59:59","180000","0","8001","1","45959","18001004","0","2021/09/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001045","1","1","2022/02/01 04:59:59","120000","0","8001","1","45959","18001001","0","2021/09/10 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001046","1","1","2022/02/01 04:59:59","180000","0","8001","1","45959","18001002","0","2021/09/10 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001047","1","1","2022/02/18 04:59:59","120000","0","8001","1","45959","18001003","0","2022/02/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001048","1","1","2022/02/18 04:59:59","180000","0","8001","1","45959","18001004","0","2022/02/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001049","1","1","2022/08/01 04:59:59","120000","0","8001","1","45959","18001001","0","2022/02/18 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001050","1","1","2022/08/01 04:59:59","180000","0","8001","1","45959","18001002","0","2022/02/18 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001055","1","1","2022/08/15 04:59:59","120000","0","8001","1","45959","18001003","0","2022/08/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001056","1","1","2022/08/15 04:59:59","180000","0","8001","1","45959","18001004","0","2022/08/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001057","1","1","2022/09/09 04:59:59","120000","0","8001","1","45959","18001001","0","2022/08/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001058","1","1","2022/09/09 04:59:59","180000","0","8001","1","45959","18001002","0","2022/08/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001059","1","1","2022/09/20 04:59:59","120000","0","8001","1","45959","18001003","0","2022/09/09 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001060","1","1","2022/09/20 04:59:59","180000","0","8001","1","45959","18001004","0","2022/09/09 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001061","1","1","2023/01/16 04:59:59","120000","0","8001","1","45959","18001001","0","2022/09/20 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001062","1","1","2023/01/16 04:59:59","180000","0","8001","1","45959","18001002","0","2022/09/20 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001063","1","1","2023/02/02 04:59:59","120000","0","8001","1","45959","18001003","0","2023/01/16 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001064","1","1","2023/02/02 04:59:59","180000","0","8001","1","45959","18001004","0","2023/01/16 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001065","1","1","2023/04/17 04:59:59","120000","0","8001","1","45959","18001001","0","2023/02/02 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001066","1","1","2023/04/17 04:59:59","180000","0","8001","1","45959","18001002","0","2023/02/02 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001071","1","1","2023/04/25 04:59:59","120000","0","8001","1","45959","18001003","0","2023/04/17 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001072","1","1","2023/04/25 04:59:59","180000","0","8001","1","45959","18001004","0","2023/04/17 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001073","1","1","2023/08/01 04:59:59","120000","0","8001","1","45959","18001001","0","2023/04/25 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001074","1","1","2023/08/01 04:59:59","180000","0","8001","1","45959","18001002","0","2023/04/25 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001075","1","1","2023/08/15 04:59:59","120000","0","8001","1","45959","18001005","0","2023/08/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001076","1","1","2023/08/15 04:59:59","180000","0","8001","1","45959","18001006","0","2023/08/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001077","1","1","2023/08/26 04:59:59","120000","0","8001","1","45959","18001003","0","2023/08/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001078","1","1","2023/08/26 04:59:59","180000","0","8001","1","45959","18001004","0","2023/08/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001079","1","1","2023/09/16 04:59:59","120000","0","8001","1","45959","18001001","0","2023/08/26 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001080","1","1","2023/09/16 04:59:59","180000","0","8001","1","45959","18001002","0","2023/08/26 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001081","1","1","2023/10/01 04:59:59","120000","0","8001","1","45959","18001003","0","2023/09/16 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001082","1","1","2023/10/01 04:59:59","180000","0","8001","1","45959","18001004","0","2023/09/16 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001083","1","1","2024/02/07 04:59:59","120000","0","8001","1","45959","18001001","0","2023/10/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001084","1","1","2024/02/07 04:59:59","180000","0","8001","1","45959","18001002","0","2023/10/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001085","1","1","2024/02/24 04:59:59","120000","0","8001","1","45959","18001003","0","2024/02/07 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001086","1","1","2024/02/24 04:59:59","180000","0","8001","1","45959","18001004","0","2024/02/07 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001087","1","1","2024/05/15 04:59:59","120000","0","8001","1","45959","18001001","0","2024/02/24 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001088","1","1","2024/05/15 04:59:59","180000","0","8001","1","45959","18001002","0","2024/02/24 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001089","1","1","2024/05/26 04:59:59","120000","0","8001","1","45959","18001003","0","2024/05/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001090","1","1","2024/05/26 04:59:59","180000","0","8001","1","45959","18001004","0","2024/05/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001091","1","1","2024/08/15 04:59:59","120000","0","8001","1","45959","18001001","0","2024/05/26 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001092","1","1","2024/08/15 04:59:59","180000","0","8001","1","45959","18001002","0","2024/05/26 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001093","1","1","2024/08/30 04:59:59","120000","0","8001","1","45959","18001003","0","2024/08/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001094","1","1","2024/08/30 04:59:59","180000","0","8001","1","45959","18001004","0","2024/08/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001095","1","1","2024/10/15 04:59:59","120000","0","8001","1","45959","18001001","0","2024/08/30 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001096","1","1","2024/10/15 04:59:59","180000","0","8001","1","45959","18001002","0","2024/08/30 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001097","1","1","2024/10/30 04:59:59","120000","0","8001","1","45959","18001003","0","2024/10/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001098","1","1","2024/10/30 04:59:59","180000","0","8001","1","45959","18001004","0","2024/10/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001099","1","1","2025/02/12 04:59:59","120000","0","8001","1","45959","18001001","0","2024/10/30 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001100","1","1","2025/02/12 04:59:59","180000","0","8001","1","45959","18001002","0","2024/10/30 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001101","1","1","2025/03/01 04:59:59","120000","0","8001","1","45959","18001003","0","2025/02/12 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001102","1","1","2025/03/01 04:59:59","180000","0","8001","1","45959","18001004","0","2025/02/12 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001103","1","1","2025/05/15 04:59:59","120000","0","8001","1","45959","18001001","0","2025/03/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001104","1","1","2025/05/15 04:59:59","180000","0","8001","1","45959","18001002","0","2025/03/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001105","1","1","2025/05/26 04:59:59","120000","0","8001","1","45959","18001003","0","2025/05/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001106","1","1","2025/05/26 04:59:59","180000","0","8001","1","45959","18001004","0","2025/05/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001107","1","1","2025/08/15 04:59:59","120000","0","8001","1","45959","18001001","0","2025/05/26 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001108","1","1","2025/08/15 04:59:59","180000","0","8001","1","45959","18001002","0","2025/05/26 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001109","1","1","2025/08/29 04:59:59","120000","0","8001","1","45959","18001003","0","2025/08/15 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001110","1","1","2025/08/29 04:59:59","180000","0","8001","1","45959","18001004","0","2025/08/15 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001111","1","1","2025/10/01 04:59:59","120000","0","8001","1","45959","18001001","0","2025/08/29 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001112","1","1","2025/10/01 04:59:59","180000","0","8001","1","45959","18001002","0","2025/08/29 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001113","1","1","2025/10/24 04:59:59","120000","0","8001","1","45959","18001003","0","2025/10/01 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001114","1","1","2025/10/24 04:59:59","180000","0","8001","1","45959","18001004","0","2025/10/01 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001115","1","1","2026/01/08 09:59:59","120000","0","8001","1","45959","18001001","0","2025/10/24 05:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001116","1","1","2026/01/08 09:59:59","180000","0","8001","1","45959","18001002","0","2025/10/24 05:00:00","0"
"登入遊戲","0","0","106","18001119","1","1","2026/02/01 04:59:59","50000","0","8001","1","45959","18001007","0","2026/01/08 10:00:00","0"
"登入遊戲","0","0","106","18001120","1","1","2026/02/18 04:59:59","50000","0","8001","1","45959","18001008","0","2026/02/01 05:00:00","0"
"登入遊戲","0","0","106","18001121","1","1","2026/03/15 04:59:59","50000","0","8001","1","45959","18001007","0","2026/02/18 05:00:00","0"
"登入遊戲","0","0","106","18001122","1","1","2026/03/25 04:59:59","50000","0","8001","1","45959","18001008","0","2026/03/15 05:00:00","0"
"登入遊戲","0","0","106","18001123","1","1","2026/04/11 04:59:59","50000","0","8001","1","45959","18001007","0","2026/03/25 05:00:00","0"
"登入遊戲","0","0","106","18001124","1","1","2026/04/22 04:59:59","50000","0","8001","1","45959","18001008","0","2026/04/11 05:00:00","0"
"登入遊戲","0","0","106","18001125","1","1","2030/02/15 04:59:59","50000","0","8001","1","45959","18001007","0","2026/04/22 05:00:00","0"
"在 05:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18002001","1","1","2026/03/13 04:59:59","50000","0","8001","1","45959","18002001","0","2025/06/16 05:00:00","0"
"購買 1 次瑪那","0","208","404","18004001","4","1","2026/03/13 04:59:59","0","0","8004","1","0","18004001","0","2015/04/01 15:00:00","0"
"購買 1 次瑪那","0","208","404","18004002","5","1","2030/04/01 14:59:59","0","0","8004","1","0","18004001","0","2026/03/13 05:00:00","0"
