0028f722b21f2e155da9ad2c841772bab510234910d447a4d87ccf559ca6400c,4130c91bb38c72ffe1398c8560e7f5b8841c90eedef8dfd09a54bacd3332aea5,9500e0bd07591ce77b587295cd19d2a646d419dc840208d01e9ae93f8720ae17,61e19f4f20d3be4810ff13d1b3b930814bcaebd025ea40b45d2dbfa6a934b067,0d281660aab232f0099775c589badc644f061cef7c116cdfe840c04b093ba686,efd40645007ee8f8461388080785994dff49f1a1558421d05f5aa008076e4912
"10101","501383","3","2","5074001","82"
"10101","501383","3","2","5074001","83"
"10102","501873","3","2","5102002","84"
"10103101","0","1","1","10103112","85"
"10103","505036","3","2","5076005","86"
"10108","501911","3","2","5108002","88"
"10104","500133","3","2","5104003","89"
"10105","501451","3","2","5078004","90"
"10110","501931","3","2","5110005","93"
"10111","500013","3","2","5111005","94"
"10107","501463","3","2","5080005","95"
"10109101","0","1","1","10109105","96"
"10109102","0","1","1","10109108","97"
"10109103","0","1","1","10109111","98"
"10109","501160","3","2","5082002","99"
"10109","501031","3","2","5082004","100"
"10109","501483","3","2","5082005","101"
"10112","500368","3","2","5084001","103"
"10112","510306","3","2","5084002","104"
"10112","500039","3","2","5084003","105"
"10113","500368","3","2","5085002","106"
"10113","510203","3","2","5085003","107"
"10113","500272","3","2","5085004","108"
"10113","501501","3","2","5085005","109"
"10110101","0","2","1","1011001","110"
"20037101","0","1","1","20037112","111"
"20037","501291","3","2","5066005","112"
"10115","501810","3","2","5088005","113"
"10114","500016","3","2","5114000","114"
"10114","501952","3","2","5114003","115"
"20038","501341","3","2","5068001","116"
"10117","501541","3","2","5090002","117"
"20039","501353","3","2","5070004","121"
"20039","500016","3","2","5070005","122"
"10116","500837","3","2","5116004","123"
"10119","501031","3","2","5092001","124"
"10119","501551","3","2","5092004","125"
"10118","500133","3","2","5118002","126"
"10118","500810","3","2","5118003","127"
"10118","500133","3","2","5118007","128"
"20040","501364","3","2","5072004","129"
"20040","501365","3","2","5072006","130"
"10124","501614","3","2","5124003","132"
"20041","501383","3","2","5074001","133"
"10121","501593","3","2","5094001","135"
"10122","502003","3","2","5122000","136"
"10122","502015","3","2","5122002","137"
"10123","501613","3","2","5096002","138"
"20042","505036","3","2","5076005","139"
"20043","501451","3","2","5078004","140"
"10125","501031","3","2","5098000","141"
"10127","500837","3","2","5100003","143"
"20044","501463","3","2","5080005","144"
"10128","502063","3","2","5128001","145"
"10129","501873","3","2","5102002","146"
"20045101","0","1","1","20045105","147"
"20045102","0","1","1","20045108","148"
"20045103","0","1","1","20045111","149"
"20045","501160","3","2","5082002","150"
"20045","501031","3","2","5082004","151"
"20045","501483","3","2","5082005","152"
"20046","500368","3","2","5084001","153"
"20046","510306","3","2","5084002","154"
"20046","500039","3","2","5084003","155"
"20047","500368","3","2","5085002","156"
"20047","510203","3","2","5085003","157"
"20047","500272","3","2","5085004","158"
"20047","501501","3","2","5085005","159"
"10130","500016","3","2","5130001","160"
"10130","500133","3","2","5130007","161"
"10131","500133","3","2","5104003","162"
"10136","500143","3","2","5136002","163"
"10136","500175","3","2","5136004","164"
"10137","501622","3","2","5137002","165"
"10137","500133","3","2","5137005","166"
"20048","501810","3","2","5088005","167"
"10134","500553","3","2","5134007","168"
"10135","501911","3","2","5108002","169"
"10138","501931","3","2","5110005","170"
"10139","500013","3","2","5111005","171"
"20049","501541","3","2","5090002","172"
"10138101","0","2","1","1013801","173"
"10141","500016","3","2","5114000","174"
"10141","501952","3","2","5114003","175"
"10140","502224","3","2","5140002","180"
"20050","501031","3","2","5092001","181"
"20050","501551","3","2","5092004","182"
"10142","501683","3","2","5142001","183"
"10143","500837","3","2","5116004","184"
"10145","500133","3","2","5118002","185"
"10145","500810","3","2","5118003","186"
"10145","500133","3","2","5118007","187"
"20051","501593","3","2","5094001","188"
"20052","501613","3","2","5096002","189"
"10146","502283","3","2","5146001","1014601"
"10149","502003","3","2","5122000","1014901"
"10149","502015","3","2","5122002","1014902"
"10151","501614","3","2","5124003","1015101"
"10154","502373","3","2","5154007","1015401"
"20053","501031","3","2","5098000","2005301"
"20054","500837","3","2","5100003","2005401"
"20055","501873","3","2","5102002","2005501"
"20056","500133","3","2","5104003","2005601"
