b8981616eb3588c119415bb80bfe0de649de9a24f963cd73cad4ae685f81dd65,e4a1ae8caf39f2997f9434a0213858e6ba5cc98fe937606822d41b01e6544081,54f5929f71f546fa9f2abce533b48065260105f27f40b1dd2d7fbb4117705602,2f4a1b47ada0179c299d1f7f03137b3267d5c508639a0174f4890e2beb6b8b4c,c55974a314c9634f8efd77596c1d9770abd03b5de3d58d1daeaf4b276819846d,575fe110fcebd94024312bcbef775147109b75b071833cc3a3be348f30a692ea,1cc723c849efe6897503914d91687b53b052618d91c8e26270cb3b15a71bba52,16252f5c44235d16b9d58756c8611dadef30b3c92b1e01c8544cab35b82fd482,d0e9ee09ecf13ccc631e2b452f2d93bf41d54bd4433624b2567e1f4e2b523f9a,f8ee17ecf11a09630be9fc7c46c5a63d1110146a6d39e242ed73cf0051f15024,ddad54fd1d98d0ab2ea1a21542dd4a25e70e11876c4bbdba3fbb9ff5ee3a3f59,85eb6eac11694df05eb24aa129b3c49932465e684a8e58cb6a1f77c42ecc306c,13c113ad8347c966257435a86d85ee386b1d2624be5d50c5c80cd84caf9b26cb,f76544af9c720a9a5283c41569b231cedeb81d1d9c0c7229320fe22ba4d7e0cc,cbb325c5fc0e01bed0cb47a641499c0a5a2a9d8e545601b7a4cc7379a1e2079d
"打倒 1 隻山神大人（HARD限定）","660021201","9001","1","1","601","99001047","1005711","20021","2020/05/05 16:00:00","99001047","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻山神大人（VERY HARD限定）","660021301","9001","1","1","601","99001048","1005712","20021","2020/05/05 16:00:00","99001048","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻山神大人（SPECIAL限定）","610057401","9001","1","1","601","99001049","1005713","10057","2020/05/05 16:00:00","99001049","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻反逆獸（NORMAL限定）","660022101","9001","1","1","601","99001051","1006010","20022","2020/06/03 16:00:00","99001051","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻反逆獸（HARD限定）","660022201","9001","1","1","601","99001052","1006011","20022","2020/06/03 16:00:00","99001052","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻反逆獸（VERY HARD限定）","660022301","9001","1","1","601","99001053","1006012","20022","2020/06/03 16:00:00","99001053","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻反逆獸（SPECIAL限定）","610060401","9001","1","1","601","99001054","1006013","10060","2020/06/03 16:00:00","99001054","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻喧囂獨角兔（NORMAL限定）","610062101","9001","1","1","601","99001055","1006210","10062","2020/09/30 16:00:00","99001055","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻喧囂獨角兔（HARD限定）","610062201","9001","1","1","601","99001056","1006211","10062","2020/09/30 16:00:00","99001056","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻喧囂獨角兔（VERY HARD限定）","610062301","9001","1","1","601","99001057","1006212","10062","2020/09/30 16:00:00","99001057","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻喧囂獨角兔（SPECIAL限定）","610062401","9001","1","1","601","99001058","1006213","10062","2020/09/30 16:00:00","99001058","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻糾結的盆栽小花（NORMAL限定）","610063101","9001","1","1","601","99001059","1006310","10063","2020/10/12 16:00:00","99001059","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻糾結的盆栽小花（HARD限定）","610063201","9001","1","1","601","99001060","1006311","10063","2020/10/12 16:00:00","99001060","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻糾結的盆栽小花（VERY HARD限定）","610063301","9001","1","1","601","99001061","1006312","10063","2020/10/12 16:00:00","99001061","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻糾結的盆栽小花（SPECIAL限定）","610063401","9001","1","1","601","99001062","1006313","10063","2020/10/12 16:00:00","99001062","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻好朋友X（NORMAL限定）","660023101","9001","1","1","601","99001063","1006510","20023","2020/07/02 16:00:00","99001063","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻好朋友X（HARD限定）","660023201","9001","1","1","601","99001064","1006511","20023","2020/07/02 16:00:00","99001064","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻好朋友X（VERY HARD限定）","660023301","9001","1","1","601","99001065","1006512","20023","2020/07/02 16:00:00","99001065","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻好朋友X（SPECIAL限定）","610065401","9001","1","1","601","99001066","1006513","10065","2020/07/02 16:00:00","99001066","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻忍者首領半藏（NORMAL限定）","660024101","9001","1","1","601","99001067","1006710","20024","2020/08/03 16:00:00","99001067","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻忍者首領半藏（HARD限定）","660024201","9001","1","1","601","99001068","1006711","20024","2020/08/03 16:00:00","99001068","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻忍者首領半藏（VERY HARD限定）","660024301","9001","1","1","601","99001069","1006712","20024","2020/08/03 16:00:00","99001069","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻忍者首領半藏（SPECIAL限定）","610067401","9001","1","1","601","99001070","1006713","10067","2020/08/03 16:00:00","99001070","0","2030/04/01 14:59:59","6011","0"
"啾啾大恐慌！　保衛起司大作戰！累計分數超過192000分","0","0","1","1","601","99001071","14","10040","2029/04/01 15:00:00","99001071","0","2030/04/01 14:59:59","6001","0"
"啾啾大恐慌！　保衛起司大作戰！累計分數超過480000分","0","0","1","1","601","99001072","14","10040","2029/04/01 15:00:00","99001072","0","2030/04/01 14:59:59","6001","0"
"啾啾大恐慌！　保衛起司大作戰！累計獲得超過5000個硬幣","0","0","1","1","601","99001073","15","10040","2029/04/01 15:00:00","99001073","0","2030/04/01 14:59:59","6001","0"
"打倒 1 隻賈巴沃克（NORMAL限定）","660025101","9001","1","1","601","99001074","1006910","20025","2020/09/04 16:00:00","99001074","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻賈巴沃克（HARD限定）","660025201","9001","1","1","601","99001075","1006911","20025","2020/09/04 16:00:00","99001075","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻賈巴沃克（VERY HARD限定）","660025301","9001","1","1","601","99001076","1006912","20025","2020/09/04 16:00:00","99001076","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻賈巴沃克（SPECIAL限定）","610069401","9001","1","1","601","99001077","1006913","10069","2020/09/04 16:00:00","99001077","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻覺醒‧花心星（NORMAL限定）","660026101","9001","1","1","601","99001078","1007110","20026","2020/11/02 16:00:00","99001078","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻覺醒‧花心星（HARD限定）","660026201","9001","1","1","601","99001079","1007111","20026","2020/11/02 16:00:00","99001079","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻覺醒‧花心星（VERY HARD限定）","660026301","9001","1","1","601","99001080","1007112","20026","2020/11/02 16:00:00","99001080","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻覺醒‧花心星（SPECIAL限定）","610071401","9001","1","1","601","99001081","1007113","10071","2020/11/02 16:00:00","99001081","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻海岸暴君‧鮫吉（NORMAL限定）","660027101","9001","1","1","601","99001082","1007310","20027","2020/12/04 16:00:00","99001082","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻海岸暴君‧鮫吉（HARD限定）","660027201","9001","1","1","601","99001083","1007311","20027","2020/12/04 16:00:00","99001083","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻海岸暴君‧鮫吉（VERY HARD限定）","660027301","9001","1","1","601","99001084","1007312","20027","2020/12/04 16:00:00","99001084","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻海岸暴君‧鮫吉（SPECIAL限定）","610073401","9001","1","1","601","99001085","1007313","10073","2020/12/04 16:00:00","99001085","0","2030/04/01 14:59:59","6011","0"
"猛訓打擊道！ 美里的全壘打訓練場中累計分數超過50000分","0","0","1","1","601","99001086","14","10021","2020/12/04 16:00:00","99001086","0","2030/04/01 14:59:59","6001","0"
"猛訓打擊道！ 美里的全壘打訓練場中達成NORMAL的條件","0","0","1","1","601","99001087","14","10021","2020/12/04 16:00:00","99001087","0","2030/04/01 14:59:59","6001","0"
"猛訓打擊道！ 美里的全壘打訓練場中達成HARD的條件","0","0","1","1","601","99001088","14","10021","2020/12/04 16:00:00","99001088","0","2030/04/01 14:59:59","6001","0"
"猛訓打擊道！ 美里的全壘打訓練場中達成VERY HARD的條件","0","0","1","1","601","99001089","14","10021","2020/12/04 16:00:00","99001089","0","2030/04/01 14:59:59","6001","0"
"猛訓打擊道！ 美里的全壘打訓練場中達成EXTRA的條件","0","0","1","1","601","99001090","14","10021","2020/12/04 16:00:00","99001090","0","2030/04/01 14:59:59","6001","0"
"打倒 1 隻失控的純潔之弓（NORMAL限定）","660028101","9001","1","1","601","99001091","1007510","20028","2020/12/31 16:00:00","99001091","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻失控的純潔之弓（HARD限定）","660028201","9001","1","1","601","99001092","1007511","20028","2020/12/31 16:00:00","99001092","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻失控的純潔之弓（VERY HARD限定）","660028301","9001","1","1","601","99001093","1007512","20028","2020/12/31 16:00:00","99001093","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻失控的純潔之弓（SPECIAL限定）","610075401","9001","1","1","601","99001094","1007513","10075","2020/12/31 16:00:00","99001094","0","2030/04/01 14:59:59","6011","0"
"打倒1隻驚叫鬼魂教父（NORMAL限定）","660029101","9001","1","1","601","99001095","1007710","20029","2021/02/01 16:00:00","99001095","0","2030/04/01 14:59:59","6006","0"
"打倒1隻驚叫鬼魂教父（HARD限定）","660029201","9001","1","1","601","99001096","1007711","20029","2021/02/01 16:00:00","99001096","0","2030/04/01 14:59:59","6007","0"
"打倒1隻驚叫鬼魂教父（VERY HARD限定）","660029301","9001","1","1","601","99001097","1007712","20029","2021/02/01 16:00:00","99001097","0","2030/04/01 14:59:59","6010","0"
"打倒1隻驚叫鬼魂教父（SPECIAL限定）","610077401","9001","1","1","601","99001098","1007713","10077","2021/02/01 16:00:00","99001098","0","2030/04/01 14:59:59","6011","0"
"打倒1隻反逆獸 de M（NORMAL限定）","660030101","9001","1","1","601","99001099","1007910","20030","2021/03/02 16:00:00","99001099","0","2030/04/01 14:59:59","6006","0"
"打倒1隻反逆獸 de M（HARD限定）","660030201","9001","1","1","601","99001100","1007911","20030","2021/03/02 16:00:00","99001100","0","2030/04/01 14:59:59","6007","0"
"打倒1隻反逆獸 de M（VERY HARD限定）","660030301","9001","1","1","601","99001101","1007912","20030","2021/03/02 16:00:00","99001101","0","2030/04/01 14:59:59","6010","0"
"打倒1隻反逆獸 de M（SPECIAL限定）","610079401","9001","1","1","601","99001102","1007913","10079","2021/03/02 16:00:00","99001102","0","2030/04/01 14:59:59","6011","0"
"打倒1隻被操控的雪人（NORMAL限定）","660031101","9001","1","1","601","99001103","1008110","20031","2021/04/01 16:00:00","99001103","0","2030/04/01 14:59:59","6006","0"
"打倒1隻被操控的雪人（HARD限定）","660031201","9001","1","1","601","99001104","1008111","20031","2021/04/01 16:00:00","99001104","0","2030/04/01 14:59:59","6007","0"
"打倒1隻被操控的雪人（VERY HARD限定）","660031301","9001","1","1","601","99001105","1008112","20031","2021/04/01 16:00:00","99001105","0","2030/04/01 14:59:59","6010","0"
"打倒1隻被操控的雪人（SPECIAL限定）","610081401","9001","1","1","601","99001106","1008113","10081","2021/04/01 16:00:00","99001106","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻究極金槍鮪（NORMAL限定）","660032101","9001","1","1","601","99001107","1008310","20032","2021/05/04 16:00:00","99001107","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻究極金槍鮪（HARD限定）","660032201","9001","1","1","601","99001108","1008311","20032","2021/05/04 16:00:00","99001108","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻究極金槍鮪（VERY HARD限定）","660032301","9001","1","1","601","99001109","1008312","20032","2021/05/04 16:00:00","99001109","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻究極金槍鮪（SPECIAL限定）","610083401","9001","1","1","601","99001110","1008313","10083","2021/05/04 16:00:00","99001110","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻角鹿將軍（NORMAL限定）","660033101","9001","1","1","601","99001111","1008610","20033","2021/06/02 16:00:00","99001111","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻角鹿將軍（HARD限定）","660033201","9001","1","1","601","99001112","1008611","20033","2021/06/02 16:00:00","99001112","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻角鹿將軍（VERY HARD限定）","660033301","9001","1","1","601","99001113","1008612","20033","2021/06/02 16:00:00","99001113","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻角鹿將軍（SPECIAL限定）","610086401","9001","1","1","601","99001114","1008613","10086","2021/06/02 16:00:00","99001114","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻黑風之精靈（NORMAL限定）","660034101","9001","1","1","601","99001115","1008710","20034","2021/06/12 16:00:00","99001115","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻黑風之精靈（HARD限定）","660034201","9001","1","1","601","99001116","1008711","20034","2021/06/12 16:00:00","99001116","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻黑風之精靈（VERY HARD限定）","660034301","9001","1","1","601","99001117","1008712","20034","2021/06/12 16:00:00","99001117","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻黑風之精靈（SPECIAL限定）","610087401","9001","1","1","601","99001118","1008713","10087","2021/06/12 16:00:00","99001118","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻魔物的公主（NORMAL限定）","660035101","9001","1","1","601","99001119","1008910","20035","2021/07/05 16:00:00","99001119","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻魔物的公主（HARD限定）","660035201","9001","1","1","601","99001120","1008911","20035","2021/07/05 16:00:00","99001120","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻魔物的公主（VERY HARD限定）","660035301","9001","1","1","601","99001121","1008912","20035","2021/07/05 16:00:00","99001121","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻魔物的公主（SPECIAL限定）","610089401","9001","1","1","601","99001122","1008913","10089","2021/07/05 16:00:00","99001122","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻無名的藝術（NORMAL限定）","660036101","9001","1","1","601","99001123","1009110","20036","2021/08/02 16:00:00","99001123","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻無名的藝術（HARD限定）","660036201","9001","1","1","601","99001124","1009111","20036","2021/08/02 16:00:00","99001124","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻無名的藝術（VERY HARD限定）","660036301","9001","1","1","601","99001125","1009112","20036","2021/08/02 16:00:00","99001125","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻無名的藝術（SPECIAL限定）","610091401","9001","1","1","601","99001126","1009113","10091","2021/08/02 16:00:00","99001126","0","2030/04/01 14:59:59","6011","0"
"打倒1隻爆裂‧時間儀（NORMAL限定）","660037101","9001","1","1","601","99001127","1009310","20037","2021/09/01 16:00:00","99001127","0","2030/04/01 14:59:59","6006","0"
"打倒1隻爆裂‧時間儀（HARD限定）","660037201","9001","1","1","601","99001128","1009311","20037","2021/09/01 16:00:00","99001128","0","2030/04/01 14:59:59","6007","0"
"打倒1隻爆裂‧時間儀（VERY HARD限定）","660037301","9001","1","1","601","99001129","1009312","20037","2021/09/01 16:00:00","99001129","0","2030/04/01 14:59:59","6010","0"
"打倒1隻爆裂‧時間儀（SPECIAL限定）","610093401","9001","1","1","601","99001130","1009313","10093","2021/09/01 16:00:00","99001130","0","2030/04/01 14:59:59","6011","0"
"龍人們的接龍競賽的字彙圖鑑收集728個字彙","0","0","1","1","601","99001131","15","10066","2029/09/01 16:00:00","99001131","0","2030/04/01 14:59:59","6001","0"
"打倒 1 隻究極機械玩具王（NORMAL限定）","660038101","9001","1","1","601","99001132","1009510","20038","2021/10/01 16:00:00","99001132","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻究極機械玩具王（HARD限定）","660038201","9001","1","1","601","99001133","1009511","20038","2021/10/01 16:00:00","99001133","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻究極機械玩具王（VERY HARD限定）","660038301","9001","1","1","601","99001134","1009512","20038","2021/10/01 16:00:00","99001134","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻究極機械玩具王（SPECIAL限定）","610095401","9001","1","1","601","99001135","1009513","10095","2021/10/01 16:00:00","99001135","0","2030/04/01 14:59:59","6011","0"
"完成1次擅長的作業","660039101","9001","1","1","601","99001136","1009710","20039","2021/11/01 16:00:00","99001136","0","2030/04/01 14:59:59","6006","0"
"完成1次有些棘手的作業","660039201","9001","1","1","601","99001137","1009711","20039","2021/11/01 16:00:00","99001137","0","2030/04/01 14:59:59","6007","0"
"完成1次非常棘手的作業","660039301","9001","1","1","601","99001138","1009712","20039","2021/11/01 16:00:00","99001138","0","2030/04/01 14:59:59","6010","0"
"完成1次留到暑假最後一天的作業","610097401","9001","1","1","601","99001139","1009713","10097","2021/11/01 16:00:00","99001139","0","2030/04/01 14:59:59","6011","0"
"閱覽所有暑假圖畫日記","0","0","1","1","601","99001140","15","10097","2029/04/01 16:00:00","99001140","0","2030/04/01 14:59:59","6001","0"
"打倒1隻女王歌唱水母（NORMAL限定）","660040101","9001","1","1","601","99001142","1009910","20040","2021/12/02 16:00:00","99001142","0","2030/04/01 14:59:59","6006","0"
"打倒1隻女王歌唱水母（HARD限定）","660040201","9001","1","1","601","99001143","1009911","20040","2021/12/02 16:00:00","99001143","0","2030/04/01 14:59:59","6007","0"
"打倒1隻女王歌唱水母（VERY HARD限定）","660040301","9001","1","1","601","99001144","1009912","20040","2021/12/02 16:00:00","99001144","0","2030/04/01 14:59:59","6010","0"
"打倒1隻女王歌唱水母（SPECIAL限定）","610099401","9001","1","1","601","99001145","1009913","10099","2021/12/02 16:00:00","99001145","0","2030/04/01 14:59:59","6011","0"
"在周邊區獲得所有周邊的50%","0","0","1","1","601","99001146","14","10072","2029/04/01 15:00:00","99001146","0","2030/04/01 14:59:59","6001","0"
"在周邊區獲得所有種類的周邊","0","0","1","1","601","99001147","14","10072","2029/04/01 15:00:00","99001147","0","2030/04/01 14:59:59","6001","0"
"打倒1隻基古魯博士（NORMAL限定）","660041101","9001","1","1","601","99001148","1010110","20041","2022/01/03 16:00:00","99001148","0","2030/04/01 14:59:59","6006","0"
"打倒1隻基古魯博士（HARD限定）","660041201","9001","1","1","601","99001149","1010111","20041","2022/01/03 16:00:00","99001149","0","2030/04/01 14:59:59","6007","0"
"打倒1隻基古魯博士（VERY HARD限定）","660041301","9001","1","1","601","99001150","1010112","20041","2022/01/03 16:00:00","99001150","0","2030/04/01 14:59:59","6010","0"
"打倒1隻基古魯博士（SPECIAL限定）","610101401","9001","1","1","601","99001151","1010113","10101","2022/01/03 16:00:00","99001151","0","2030/04/01 14:59:59","6011","0"
"打倒1隻哀暴小棉花糖（NORMAL限定）","660042101","9001","1","1","601","99001152","1010310","20042","2022/02/01 16:00:00","99001152","0","2030/04/01 14:59:59","6006","0"
"打倒1隻哀暴小棉花糖（HARD限定）","660042201","9001","1","1","601","99001153","1010311","20042","2022/02/01 16:00:00","99001153","0","2030/04/01 14:59:59","6007","0"
"打倒1隻哀暴小棉花糖（VERY HARD限定）","660042301","9001","1","1","601","99001154","1010312","20042","2022/02/01 16:00:00","99001154","0","2030/04/01 14:59:59","6010","0"
"打倒1隻哀暴小棉花糖（SPECIAL限定）","610103401","9001","1","1","601","99001155","1010313","10103","2022/02/01 16:00:00","99001155","0","2030/04/01 14:59:59","6011","0"
