a7f50810d0d5174ca17324597e11dfadf87b7a16968d4218eeaa634cf86435f8,eb10dd2b90eeebc75032f765a2e200c37827d0dadec9feff11ae99848ad1bf62,31c169219bb5c4f1ce129517cb9f2270d51bd9cc949316cb5b70c6b5937a0720,3d3143fd30be2b08f91f5717a337fc5fea5df9d92e97a86759c09874f9aad111,2e24c6faa8198af0931e431a43ccc3d739edeb7912477d78e8c9964692ef4d1a,06dc69754340129d9909ae83351346edd3efff24fcef885b99dcfc84f351c9b6,afe9f2976e83013af6833e6c7cc65fd2a15d6b5d2e48c1be5bc91c6da1cd492e,32718fd860f2b46de45473d4ce5dd6d082f8aadd3c9df14bca0b26a766e8ff02,51b7ba63d6129246d0c77b905e2546b1ea5e7fbec422be154ef94a8e621ce617,55b38e8bc638c95a2265a953b8a15a9ba22d662b39c15c4d8bdac48eda7aaa07,365959ffffa009d1d943e9f0149dd19ff2123a5d7d9355217d9d454220646ec3
"vo_omp_7004","","","1040049","4","0","","0","","21","vo_omp_7004_007"
"106031","","1","1040050","4","10","","1","","11","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪"
"7","","","1040051","4","","","","","93","1"
"106031","","","1040052","4","0","0.1","","","3","omp_psn_12"
"1.5","","","1040053","4","","","","","93",""
"1040050","","","1040054","4","","","","","91",""
"106031","","","1040055","4","1","0.2","","","3","omp_idle_normal"
"105831","","","1040056","4","1","0","","","3","omp_idle_surprise1"
"vo_omp_7004","","","1040057","4","0","","0","","21","vo_omp_7004_008"
"105831","","1","1040058","4","10","","1","","11","小、小凱留……"
"0","","","1040059","4","","","","","91",""
"105831","","","1040060","4","1","0","","","3","omp_idle_surprise1"
"105931","","","1040061","4","1","0","","","3","omp_talk_sad"
"vo_omp_7004","","","1040062","4","0","","0","","21","vo_omp_7004_009"
"105931","","1","1040063","4","10","","1","","11","您做得非常專業呢。"
"0","","","1040064","4","","","","","91",""
"105931","","","1040065","4","1","0","","","3","omp_idle_sad"
"106031","","1","1040066","4","0","0","omp_talk_surprise2","0.1","3","omp_surprise"
"vo_omp_7004","","","1040067","4","0","","0","","21","vo_omp_7004_010"
"106031","","1","1040068","4","10","","1","","11","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！"
"6.5","","","1040069","4","","","","","93","1"
"106031","","","1040070","4","1","0.2","","","3","omp_talk_tsun"
"1040068","","","1040071","4","","","","","91",""
"0.4","","","1040072","4","","","","","93",""
"1","omp_talk_joy1","-190","1050001","5","1500","1.8","-140","0","1","112611"
"1","omp_idle_normal","-190","1050002","5","1500","1.8","140","1","1","112511"
"1","","1","1050003","5","0","1","0","","31","1"
"1","","","1050004","5","","","","","93",""
"vo_omp_7005","","","1050005","5","0","","0","","21","vo_omp_7005_000"
"112611","","1","1050006","5","10","","1","","11","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！"
"0","","","1050007","5","","","","","91",""
"112611","","","1050008","5","1","0","","","3","omp_idle_joy1"
"112511","","","1050009","5","1","0","","","3","omp_talk_normal"
"vo_omp_7005","","","1050010","5","0","","0","","21","vo_omp_7005_001"
"112511","","1","1050011","5","10","","1","","11","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。"
"0","","","1050012","5","","","","","91",""
"112511","","","1050013","5","1","0","","","3","omp_idle_normal"
"112611","","","1050014","5","1","0","","","3","omp_talk_joy1"
"vo_omp_7005","","","1050015","5","0","","0","","21","vo_omp_7005_002"
"112611","","1","1050016","5","10","","1","","11","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……"
"6.2","","","1050017","5","","","","","93","1"
"112611","","","1050018","5","1","0.2","","","3","omp_talk_thinking"
"1050016","","","1050019","5","","","","","91",""
"112611","","","1050020","5","1","0","","","3","omp_idle_thinking"
"112511","","","1050021","5","1","0","","","3","omp_talk_normal2"
"vo_omp_7005","","","1050022","5","0","","0","","21","vo_omp_7005_003"
"112511","","1","1050023","5","10","","1","","11","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！"
"0","","","1050024","5","","","","","91",""
"112511","","","1050025","5","1","0","","","3","omp_idle_calm"
"112611","","","1050026","5","1","0.1","","","3","omp_talk_sad"
"vo_omp_7005","","","1050027","5","0","","0","","21","vo_omp_7005_004"
"112611","","1","1050028","5","10","","1","","11","澀…澀…"
"0","","","1050029","5","","","","","91",""
"112611","","","1050030","5","1","0","","","3","omp_idle_sad"
"112511","","","1050031","5","1","0","","","3","omp_psn_19"
"vo_omp_7005","","","1050032","5","0","","0","","21","vo_omp_7005_005"
"112511","","1","1050033","5","10","","1","","11","澀…？"
"0","","","1050034","5","","","","","91",""
"112511","","","1050035","5","1","0","","","3","omp_psn_18"
"112611","","","1050036","5","1","0","","","3","omp_talk_sad"
"vo_omp_7005","","","1050037","5","0","","0","","21","vo_omp_7005_006"
"112611","","1","1050038","5","10","","1","","11","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？"
"4.5","","","1050039","5","","","","","93","1"
"112611","","","1050040","5","1","0.2","","","3","omp_talk_surprise2"
"1050038","","","1050041","5","","","","","91",""
"112611","","","1050042","5","1","0","","","3","omp_idle_surprise2"
"112511","","","1050043","5","1","0","","","3","omp_talk_normal"
"vo_omp_7005","","","1050044","5","0","","0","","21","vo_omp_7005_007"
"112511","","1","1050045","5","10","","1","","11","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……"
"3.5","","","1050046","5","","","","","93","1"
"112511","","","1050047","5","1","0.2","","","3","omp_talk_anger"
"1050045","","","1050048","5","","","","","91",""
"112511","","","1050049","5","1","0","","","3","omp_idle_anger"
"112611","","","1050050","5","1","0","","","3","omp_talk_joy1"
"vo_omp_7005","","","1050051","5","0","","0","","21","vo_omp_7005_008"
"112611","","1","1050052","5","10","","1","","11","欸嘿嘿，抱歉抱歉☆"
"0","","","1050053","5","","","","","91",""
"112611","","","1050054","5","1","0","","","3","omp_idle_joy1"
"112511","","","1050055","5","1","0","","","3","omp_talk_sad"
"vo_omp_7005","","","1050056","5","0","","0","","21","vo_omp_7005_009"
"112511","","1","1050057","5","10","","1","","11","真是的。\n……不過，我剛才說的\n都是真心話哦。"
"2","","","1050058","5","","","","","93","1"
"112511","","","1050059","5","1","0.2","","","3","omp_talk_normal"
"1050057","","","1050060","5","","","","","91",""
"112511","","","1050061","5","1","0","","","3","omp_idle_normal"
"112611","","","1050062","5","1","0","","","3","omp_talk_joy2"
"vo_omp_7005","","","1050063","5","0","","0","","21","vo_omp_7005_010"
"112611","","1","1050064","5","10","","1","","11","嗯！\n謝謝妳，澀凜凜！！"
"0","","","1050065","5","","","","","91",""
"0.4","","","1050066","5","","","","","93",""
"1","omp_talk_normal","-195","1060001","6","1600","1.8","-180","0","1","112511"
"1","omp_idle_normal","-190","1060002","6","1500","1.8","20","1","1","112411"
"1","omp_idle_normal","-205","1060003","6","1600","1.8","220","1","1","112611"
"1","","1","1060004","6","0","1","0","","31","1"
"1","","","1060005","6","","","","","93",""
"vo_omp_7006","","","1060006","6","0","","0","","21","vo_omp_7006_000"
"112511","","1","1060007","6","10","","1","","11","卯月……\n今天的練習，\n妳很有幹勁呢。"
"0","","","1060008","6","","","","","91",""
"112511","","","1060009","6","1","0","","","3","omp_idle_normal"
"112611","","","1060010","6","1","0","","","3","omp_talk_joy1"
"vo_omp_7006","","","1060011","6","0","","0","","21","vo_omp_7006_001"
"112611","","1","1060012","6","10","","1","","11","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？"
"0","","","1060013","6","","","","","91",""
"112411","","","1060014","6","","","","","4","0"
"112611","","","1060015","6","1","0","","","3","omp_idle_joy1"
"112411","","","1060016","6","1","0","","","3","omp_talk_joy1"
"vo_omp_7006","","","1060017","6","0","","0","","21","vo_omp_7006_002"
"112411","","1","1060018","6","10","","1","","11","欸嘿嘿，謝謝妳們！\n嗯……"
"0","","","1060019","6","","","","","91",""
"112411","","","1060020","6","1","0","","","3","omp_talk_normal"
"vo_omp_7006","","","1060021","6","0","","0","","21","vo_omp_7006_003"
"112411","","1","1060022","6","10","","1","","11","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。"
"0","","","1060023","6","","","","","91",""
"112411","","","1060024","6","1","0","","","3","omp_talk_thinking"
"vo_omp_7006","","","1060025","6","0","","0","","21","vo_omp_7006_004"
"112411","","1","1060026","6","10","","1","","11","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。"
"0","","","1060027","6","","","","","91",""
"112411","","","1060028","6","1","0","","","3","omp_talk_normal2"
"vo_omp_7006","","","1060029","6","0","","0","","21","vo_omp_7006_005"
"112411","","1","1060030","6","10","","1","","11","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……"
"0","","","1060031","6","","","","","91",""
"112411","","","1060032","6","1","0","","","3","omp_idle_calm"
"112611","","","1060033","6","1","0","","","3","omp_talk_sad"
"vo_omp_7006","","","1060034","6","0","","0","","21","vo_omp_7006_006"
"112611","","1","1060035","6","10","","1","","11","島村村……！"
"0","","","1060036","6","","","","","91",""
"112411","","","1060037","6","","","","","4","1"
"112611","","","1060038","6","1","0","","","3","omp_idle_sad"
"112511","","","1060039","6","1","0","","","3","omp_talk_thinking"
"vo_omp_7006","","","1060040","6","0","","0","","21","vo_omp_7006_007"
"112511","","1","1060041","6","10","","1","","11","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？"
"0","","","1060042","6","","","","","91",""
"112411","","","1060043","6","","","","","4","0"
"112511","","","1060044","6","1","0","","","3","omp_idle_thinking"
"112611","","","1060045","6","1","0","","","3","omp_talk_joy1"
"vo_omp_7006","","","1060046","6","0","","0","","21","vo_omp_7006_008"
"112611","","1","1060047","6","10","","1","","11","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！"
"0","","","1060048","6","","","","","91",""
"112411","","","1060049","6","","","","","4","1"
"112611","","","1060050","6","1","0","","","3","omp_idle_joy1"
"112411","","","1060051","6","1","0","","","3","omp_talk_joy2"
"vo_omp_7006","","","1060052","6","0","","0","","21","vo_omp_7006_009"
"112411","","1","1060053","6","10","","1","","11","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！"
"1.2","","","1060054","6","","","","","93","1"
"112411","","","1060055","6","","","","","4","0"
"1060053","","","1060056","6","","","","","91",""
"112511","","1","1060057","6","-195","","0","","2","-180"
"112411","","1","1060058","6","-190","","0","","2","0"
"112611","","1","1060059","6","-195","","0","","2","180"
"112511","","","1060060","6","0","0.1","","","3","omp_psn_dicision_rin"
"112411","","","1060061","6","0","0.1","","","3","omp_psn_dicision_uduki"
"112611","","","1060062","6","0","0.1","","","3","omp_psn_dicision_mio"
"2","","1","1060063","6","0","1","0","","31","2"
"1060062","","","1060064","6","","","","","91",""
"0.6","","","1060065","6","","","","","93",""
"1","omp_idle_normal","-205","1070001","7","1600","1.8","-100","0","1","105831"
"1","omp_idle_normal","-225","1070002","7","1600","1.8","-390","0","1","105931"
"1","omp_idle_normal","-190","1070003","7","1500","1.8","-260","0","1","106031"
"1","omp_idle_normal","-185","1070004","7","1500","1.8","250","1","1","112511"
"1","omp_idle_normal","-220","1070005","7","1600","1.8","385","1","1","112411"
"1","omp_idle_normal","-195","1070006","7","1600","1.8","100","1","1","112611"
"1","","1","1070007","7","0","1","0","","31","1"
"0.2","","","1070008","7","","","","","93",""
"112611","","","1070009","7","1","0.1","","","3","omp_idle_normal"
"112411","","","1070010","7","1","0","","","3","omp_talk_normal"
"112511","","","1070011","7","1","0.1","","","3","omp_idle_normal"
"105831","","","1070012","7","1","0.1","","","3","omp_idle_normal"
"0.1","","","1070013","7","","","","","93",""
"1","","","1070014","7","","","","","93",""
"vo_omp_7007","","","1070015","7","0","","0","","21","vo_omp_7007_000"
"112411","","1","1070016","7","10","","1","","11","現在想想……一開始的\n快閃演唱會實在是很緊張呢。"
"0","","","1070017","7","","","","","91",""
"112411","","","1070018","7","1","0.1","","","3","omp_idle_normal"
"105831","","","1070019","7","1","0.1","","","3","omp_talk_normal"
"vo_omp_7007","","","1070020","7","0","","0","","21","vo_omp_7007_001"
"105831","","1","1070021","7","10","","1","","11","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～"
"0","","","1070022","7","","","","","91",""
"105831","","","1070023","7","1","0","","","3","omp_idle_normal"
"105931","","","1070024","7","1","0","","","3","omp_talk_worry"
"vo_omp_7007","","","1070025","7","0","","0","","21","vo_omp_7007_002"
"105931","","1","1070026","7","10","","1","","11","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……"
"0","","","1070027","7","","","","","91",""
"105931","","","1070028","7","1","0","","","3","omp_idle_worry"
"106031","","","1070029","7","1","0","","","3","omp_talk_normal"
"vo_omp_7007","","","1070030","7","0","","0","","21","vo_omp_7007_003"
"106031","","1","1070031","7","10","","1","","11","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！"
"0","","","1070032","7","","","","","91",""
"106031","","","1070033","7","1","0","","","3","omp_idle_normal"
"112611","","","1070034","7","1","0","","","3","omp_talk_worry"
"vo_omp_7007","","","1070035","7","0","","0","","21","vo_omp_7007_004"
"112611","","1","1070036","7","10","","1","","11","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～"
"0","","","1070037","7","","","","","91",""
"112611","","","1070038","7","1","0","","","3","omp_idle_worry"
"105931","","","1070039","7","1","0","","","3","omp_talk_normal2"
"vo_omp_7007","","","1070040","7","0","","0","","21","vo_omp_7007_005"
"105931","","1","1070041","7","10","","1","","11","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。"
"0","","","1070042","7","","","","","91",""
"105931","","","1070043","7","1","0","","","3","omp_idle_calm"
"112511","","","1070044","7","1","0","","","3","omp_talk_normal2"
"vo_omp_7007","","","1070045","7","0","","0","","21","vo_omp_7007_006"
"112511","","1","1070046","7","10","","1","","11","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。"
"0","","","1070047","7","","","","","91",""
"112511","","","1070048","7","1","0","","","3","omp_idle_calm"
"112411","","","1070049","7","1","0","","","3","omp_talk_joy1"
