d0526832ce12bf33c897c65ad14e180c6c5b0cd350ba7f30f45971e8122f759e,2ea7fc6afe8aeb28482a27d56087bb4add7e3cb64761a82c5c75e92148f7545a,33e53c59d364c1f40c520d0545748aafff69b8b28ed582d4477c48965321f482,c6c9c4db0b24eb3262beca8902440996261b771282537bd876fe1dc5af0ce85e,688f78339799d47fefd742c2ebd12a4eab3ac67f6ec068eeeb109b1d6cc269f7,ca5d8e1f7a6f2fe6408e407ba8c52a9c140edc66f2de07877255831594e93e42,3d7058c135cc3e964c0396d854ad5eef90b89c04b745174c26e7dc104bd32379,00ddac583f0585e11b3177db33a503f2acf0557e1013e6b8c9e01e09ec710f94,63679609f053aeefd2d89b8b88fc1a32bdb63df0a8eb5ae1f0d461497a3ae581
"2","8","","20002","12","1","3","4800",""
"2","9","","20002","16","1","3","3600",""
"2","10","","20002","20","1","3","2700",""
"2","11","","20003","6","1","3","10800",""
"2","12","","20003","8","1","3","9000",""
"2","13","","20003","12","1","3","7200",""
"2","14","","20003","16","1","3","5400",""
"2","15","","20003","20","1","3","3600",""
"2","16","","20003","30","1","3","2880",""
"2","17","","20004","7","1","3","12600",""
"2","18","","20004","8","1","3","11400",""
"2","19","","20004","9","1","3","10200",""
"2","20","","20004","10","1","3","9300",""
"2","21","","20004","10","1","3","8700",""
"2","22","","20004","13","1","3","6600",""
"2","23","","20004","14","1","3","6300",""
"2","24","","20004","15","1","3","6000",""
"2","25","","20004","15","1","3","5700",""
"2","26","","20004","16","1","3","5400",""
"2","27","","20004","17","1","3","5100",""
"2","28","","20004","18","1","3","4860",""
"2","29","","20004","19","1","3","4620",""
"2","30","","20004","20","1","3","4440",""
"2","31","","20004","21","1","3","4260",""
"2","32","","20004","22","1","3","4080",""
"2","33","","20004","22","1","3","3960",""
"2","34","","20004","23","1","3","3840",""
"2","35","","20004","24","1","3","3720",""
"2","36","","20004","24","1","3","3600",""
"12","1","","94002","12000","3000","4","21600",""
"12","2","","94002","18000","4500","4","21600",""
"12","3","","94002","24000","6000","4","21600",""
"12","4","","94002","30000","7500","4","21600",""
"12","5","","94002","42000","10500","4","21600",""
"12","6","","94002","54000","13500","4","21600",""
"12","7","","94002","66000","16500","4","21600",""
"12","8","","94002","84000","21000","4","21600",""
"12","9","","94002","102000","25500","4","21600",""
"12","10","","94002","120000","30000","4","21600",""
"12","11","","94002","144000","36000","4","21600",""
"12","12","","94002","168000","42000","4","21600",""
"12","13","","94002","192000","48000","4","21600",""
"12","14","","94002","222000","55500","4","21600",""
"12","15","","94002","252000","63000","4","21600",""
"12","16","","94002","282000","70500","4","21600",""
"12","17","","94002","318000","79500","4","21600",""
"12","18","","94002","354000","88500","4","21600",""
"12","19","","94002","390000","97500","4","21600",""
"12","20","","94002","432000","108000","4","21600",""
"12","21","","94002","474000","118500","4","21600",""
"12","22","","94002","516000","129000","4","21600",""
"12","23","","94002","562000","140500","4","21600",""
"12","24","","94002","600000","150000","4","21600",""
"12","25","","94002","642000","160500","4","21600",""
"12","26","","94002","684000","171000","4","21600",""
"12","27","","94002","726000","181500","4","21600",""
"12","28","","94002","768000","192000","4","21600",""
"12","29","","94002","810000","202500","4","21600",""
"12","30","","94002","852000","213000","4","21600",""
"12","31","","94002","894000","223500","4","21600",""
"12","32","","94002","920000","230000","4","21600",""
"12","33","","94002","940000","235000","4","21600",""
"12","34","","94002","960000","240000","4","21600",""
"12","35","","94002","980000","245000","4","21600",""
"12","36","","94002","1000000","250000","4","21600",""
"6","1","","93001","48","12","5","21600",""
"6","1","","93001","48","12","6","21600",""
"6","1","","93001","48","12","7","21600",""
"6","1","","93001","48","12","8","21600",""
"6","1","","93001","48","12","11","21600",""
"6","1","","93001","48","12","12","21600",""
"6","1","","93001","48","12","19","21600",""
"0","0","14999999999","0","0","1","23","0","4999999999"
"6","1","","93001","48","12","25","21600",""
"6","1","","93001","48","12","28","21600",""
"6","1","","93001","48","12","30","21600",""
