60b08602c535e6a6ab6e0b0a88cc53032964942dec1cbdcbffb45ea68f7f6db1,e2fecad82fa4bbe14ba61befe8a52e4d530c2d32bf63a28b7344840dfd35e253,0f186ababdea32e156a82f85455b00f3a8fb33919cdb575fddeb0623ecea233f,6d25e45151bab227c43dff0627ac5cfdf0d1de0ed97869db05cd68244433ff5c,d8d261bd7ef6caf545084f888172a2aacd563f327e73d6f3dc8023f8a49880f5,e4fe48f9a01631f0a7c34dc9433bc138cdcd8aeff287967d65d562fe077fc581,2fb2865fc74c6dc9ff32e0515893af3667f02dda12cba78fbf216a5fa2190efb,2c411f522d1ebb2e9589529e693827fd6bbf052944182ad1a57a8e9ab268ba21,b997b60e353487e965b79e871fa2dced282e88263bca7fe39af3cc88b759245d,51889032933f9e993ee1a43bf6862a93ac68e7fb226723d80c215021f01bf1c6,0d9d96dae81914a43d72feddca6e8feb77ae9f72f358a4693557cda2432136f5,ddba239e7af5378b2b30175bf92bb00851dad2bae74d8effdb24a00212e642fb,cd8ce25ad2a6499c4f9f4f73cc239df4d9445ed75c16b80a9fb2f38b8244913d,73a4a23452ae9b6cb76173184cf17b120cc326bf0137f7737c4cde6a2c520a40
"1","1","31","2","1","-1","1108","240","5","211","1","1","1","240"
"1","1","31","2","1","-1","1109","270","5","241","1","1","1","270"
"1","1","31","2","1","-1","1110","300","5","271","1","1","1","300"
"1","1","31","2","1","-1","1111","-1","5","301","1","1","1","310"
"1","1","7","3","1","-1","1201","30","5","4","1","1","1","-1"
"1","1","11","3","1","-1","1202","60","5","31","1","1","1","-1"
"1","1","15","3","1","-1","1203","90","5","61","1","1","1","-1"
"1","1","19","3","1","-1","1204","120","5","91","1","1","1","-1"
"1","1","23","3","1","-1","1205","150","5","121","1","1","1","-1"
"1","1","27","3","1","-1","1206","180","5","151","1","1","1","-1"
"1","1","29","3","1","-1","1207","210","5","181","1","1","1","-1"
"1","1","31","3","1","-1","1208","240","5","211","1","1","1","-1"
"1","1","31","3","1","-1","1209","270","5","241","1","1","1","-1"
"1","1","31","3","1","-1","1210","300","5","271","1","1","1","-1"
"1","1","31","3","1","-1","1211","-1","5","301","1","1","1","-1"
"1","1","7","4","1","-1","1301","30","5","4","1","1","1","30"
"1","1","10","4","1","-1","1302","60","5","31","1","1","1","60"
"1","1","13","4","1","-1","1303","90","5","61","1","1","1","90"
"1","1","16","4","1","-1","1304","120","5","91","1","1","1","120"
"1","1","19","4","1","-1","1305","150","5","121","1","1","1","150"
"1","1","22","4","1","-1","1306","180","5","151","1","1","1","180"
"1","1","25","4","1","-1","1307","210","5","181","1","1","1","210"
"1","1","28","4","1","-1","1308","240","5","211","1","1","1","240"
"1","1","28","4","1","-1","1309","270","5","241","1","1","1","270"
"1","1","28","4","1","-1","1310","300","5","271","1","1","1","300"
"1","1","28","4","1","-1","1311","-1","5","301","1","1","1","310"
"1","1","7","5","1","-1","1401","30","5","4","1","1","1","-1"
"1","1","10","5","1","-1","1402","60","5","31","1","1","1","-1"
"1","1","13","5","1","-1","1403","90","5","61","1","1","1","-1"
"1","1","16","5","1","-1","1404","120","5","91","1","1","1","-1"
"1","1","19","5","1","-1","1405","150","5","121","1","1","1","-1"
"1","1","22","5","1","-1","1406","180","5","151","1","1","1","-1"
"1","1","25","5","1","-1","1407","210","5","181","1","1","1","-1"
"1","1","28","5","1","-1","1408","240","5","211","1","1","1","-1"
"1","1","28","5","1","-1","1409","270","5","241","1","1","1","-1"
"1","1","28","5","1","-1","1410","300","5","271","1","1","1","-1"
"1","1","28","5","1","-1","1411","-1","5","301","1","1","1","-1"
"1","1","7","6","1","-1","1501","30","3","4","1","1","1","-1"
"1","1","10","6","1","-1","1502","60","3","31","1","1","1","-1"
"1","1","13","6","1","-1","1503","90","3","61","1","1","1","-1"
"1","1","16","6","1","-1","1504","120","3","91","1","1","1","-1"
"1","1","19","6","1","-1","1505","150","3","121","1","1","1","-1"
"1","1","22","6","1","-1","1506","180","3","151","1","1","1","-1"
"1","1","22","6","1","-1","1507","210","3","181","1","1","1","-1"
"1","1","22","6","1","-1","1508","240","3","211","1","1","1","-1"
"1","1","22","6","1","-1","1509","270","3","241","1","1","1","-1"
"1","1","22","6","1","-1","1510","-1","3","271","1","1","1","-1"
"1","1","7","7","1","5","1601","30","6","4","1","1","1","30"
"1","1","11","7","1","5","1602","60","6","31","1","1","1","60"
"1","1","15","7","1","5","1603","90","6","61","1","1","1","90"
"1","1","19","7","1","5","1604","120","6","91","1","1","1","120"
"1","1","23","7","1","5","1605","150","6","121","1","1","1","150"
"1","1","27","7","1","5","1606","180","6","151","1","1","1","180"
"1","1","29","7","1","5","1607","210","6","181","1","1","1","210"
"1","1","31","7","1","5","1608","240","6","211","1","1","1","240"
"1","1","31","7","1","5","1609","270","6","241","1","1","1","270"
"1","1","31","7","1","5","1610","300","6","271","1","1","1","300"
"1","1","31","7","1","5","1611","-1","6","301","1","1","1","310"
"1","1","7","8","1","5","1701","30","5","4","1","1","1","30"
"1","1","11","8","1","5","1702","60","5","31","1","1","1","60"
"1","1","15","8","1","5","1703","90","5","61","1","1","1","90"
"1","1","19","8","1","5","1704","120","5","91","1","1","1","120"
"1","1","23","8","1","5","1705","150","5","121","1","1","1","150"
"1","1","27","8","1","5","1706","180","5","151","1","1","1","180"
"1","1","29","8","1","5","1707","210","5","181","1","1","1","210"
"1","1","31","8","1","5","1708","240","5","211","1","1","1","240"
"1","1","31","8","1","5","1709","270","5","241","1","1","1","270"
"1","1","31","8","1","5","1710","300","5","271","1","1","1","300"
"1","1","31","8","1","5","1711","-1","5","301","1","1","1","310"
