a177721149de62c103d21d35043936ba71d5ba6791d6381e6d2d239d746c6928,f523330c614d942683db0391736ddc7d8906391b6cddb02e4025f9bc89e1b5d6,ff433f2dd2358813eb236d6f3844f7064d35e3322fec6f8501b05e29eaac537a,d7c61bdc07d7b28e99b8d682138f63ce0b59b73e57853be902558e1c36db3d75,426bd661a39d0c6551645c3ea0ee1b9ebc6467ef5bafb6b79cfedcedf2075800,1736cd728cb63f821e803621069375abc1daf771bb6e6b288d22bc3cb1f62fd0,2a75f0d2265f58e68024702ca9fe9f14c839725a416e6c040b43edbfe94e4870,f016410917a598aac65f7dee2064eb05e707de037085493b732af66afedf9207,c6f6bfdb8e1bba2d7997b27d33a433b4fece74ca0c5464097f0baf38112673e8,5b7184949e88cbe5beb2b80e319b420f86b2b0511ea718771a16f2637a3bb1a4,46966e6e52d760cfd0a607d389f3fbdf4993d0b24e546f246fbedbb632b43888,7b5e9f4e847a49abd92855e5c667f95af6470760ad1b0d5d64ee0ac3e941b57d,5e789598731bd00526151c3808786ede99b2665d7f9ac0ccec2458f5472aa674,e6febd97eb38f36b83a606c7ce5f757c23968377c67b6dae0de3e0771401c22b
"1","129701","0","2002","1","0","1","歡迎光臨\n用巡遊幣在這裡進行交換吧","10011","3","-470","2024/07/23 15:59:59","2024/04/16 16:00:00","涅妃‧涅羅"
"2","129701","6.2","2002","1","0","2","話說回來，\n要花多少錢才能買到你呢？\n──呵呵，開玩笑的","10012","3","-470","2024/07/23 15:59:59","2024/04/16 16:00:00","涅妃‧涅羅"
"1","130301","3.1","2002","5","0","3","歡、歡迎光臨！\n……唔……本小姐\n竟然要顧店……真是屈辱。","10013","4","-470","2024/10/23 15:59:59","2024/07/16 16:00:00","華音"
"2","130301","6.15","2002","2","0","3","哎呀，你需要我嗎？\n真遺憾，用那點錢\n……就可以買了嗎！？","10014","4","-470","2024/10/23 15:59:59","2024/07/16 16:00:00","華音"
"1","130401","0","2002","2","0","2","歡迎光臨～♪\n聽說可以交換\n巡遊幣──？","10015","4","-470","2024/10/23 15:59:59","2024/07/16 16:00:00","拿娜"
"2","130401","3.35","2002","1","0","2","要是給我甜食，\n就給你拿娜撿到的\n松果作為謝禮喔！","10016","4","-470","2024/10/23 15:59:59","2024/07/16 16:00:00","拿娜"
"1","130502","0","2002","1","0","1","歡迎光臨本店。\n就由本鳳凰\n為大家獻上祝福吧。","10017","5","-470","2025/01/23 15:59:59","2024/10/16 16:00:00","鳳凰"
"2","130502","3.18","2002","1","0","2","我可沒有對外販售\n喊小鳳的權利哦？\n這是騎士先生的特別待遇！","10018","5","-470","2025/01/23 15:59:59","2024/10/16 16:00:00","鳳凰"
"3","130503","0","2002","4","0","4","唔啊啊啊！\n又變成這副模樣了！\n拜託捐贈點什麼吧～！","10019","5","-470","2025/01/23 15:59:59","2024/10/16 16:00:00","鳳凰"
"1","123301","4.9","2002","2","0","1","你好～♪\n什麼都可以交換～\n小卡里莎除外。","10020","5","-470","2025/01/23 15:59:59","2024/10/16 16:00:00","涅婭"
"2","123301","4.8","2002","2","0","1","順便問一下，\n小騎士要多少盧幣呀？\n說‧真‧的♡","10021","5","-470","2025/01/23 15:59:59","2024/10/16 16:00:00","涅婭"
"1","133301","4.922","2002","1","0","3","哼，為什麼我得當\n店員……別過來，黃的，\n我可不是商品啊！","10022","6","-470","2025/04/24 15:59:59","2025/01/16 16:00:00","卡里莎"
"2","133301","9.638","2002","5","0","3","一、一定要說不可嗎？\n「……歡迎光臨……」\n可惡，不准笑！","10023","6","-470","2025/04/24 15:59:59","2025/01/16 16:00:00","卡里莎"
"1","133401","2.88","2002","2","0","1","歡迎光臨商店～\n就由有如涅羅殿下之心腹的\n我來擔任店員～","10024","6","-470","2025/04/24 15:59:59","2025/01/16 16:00:00","米亞"
"2","133401","4.818","2002","1","0","5","我蛻下的空殼\n會有人想要嗎～\n我是在說笑的啦！","10025","6","-470","2025/04/24 15:59:59","2025/01/16 16:00:00","米亞"
