38e08e6020adbf2be118be0c508c92515c0814dad5a41a3ac21eefd0fe784921,6f35cd019edba889c1bf4ae4d05ad3afbc245ae868df08d273d3312d39f2c7fc,1b66efbcca3f408d7a47430a5cbd4fed209993652e761973b7c00b04a7f9758e,d4a4139bce5dcd2b99b094c8fd771564ce1699a4166391485b95f48593722fce,3e4c50b06b45b1a5b90598fdd00e3931185df1e218280118147934ef41bde863
"100305","30","25001","2","57"
"100306","300","91002","8","58"
"100307","1","41000","2","59"
"100308","5000000","94002","12","60"
"100309","1000000","94002","12","61"
"100310","1000000","94002","12","62"
"100311","1000000","94002","12","63"
"100312","400","20004","2","64"
"100313","300","20004","2","65"
"100314","200","20004","2","66"
"100315","1000000","94002","12","67"
"100316","1000000","94002","12","68"
"100317","1000000","94002","12","69"
"100318","400","20004","2","70"
"100319","300","20004","2","71"
"100320","200","20004","2","72"
"100321","1000000","94002","12","73"
"100322","1000000","94002","12","74"
"100323","1000000","94002","12","75"
"100324","400","20004","2","76"
"100325","300","20004","2","77"
"100326","200","20004","2","78"
"100401","5000000","94002","12","79"
"100402","2000","90008","2","80"
"100403","20","25001","2","81"
"100404","2500","90008","2","82"
"100405","30","25001","2","83"
"100406","300","91002","8","84"
"100407","1","41000","2","85"
"100408","5000000","94002","12","86"
"100409","1000000","94002","12","87"
"100410","1000000","94002","12","88"
"100411","1000000","94002","12","89"
"100412","400","20004","2","90"
"100413","300","20004","2","91"
"100414","200","20004","2","92"
"100415","1000000","94002","12","93"
"100416","1000000","94002","12","94"
"100417","1000000","94002","12","95"
"100418","400","20004","2","96"
"100419","300","20004","2","97"
"100420","200","20004","2","98"
"100421","1000000","94002","12","99"
"100422","1000000","94002","12","100"
"100423","1000000","94002","12","101"
"100424","400","20004","2","102"
"100425","300","20004","2","103"
"100426","200","20004","2","104"
"100501","5000000","94002","12","105"
"100502","2000","90008","2","106"
"100503","20","25001","2","107"
"100504","2500","90008","2","108"
"100505","30","25001","2","109"
"100506","300","91002","8","110"
"100507","1","41000","2","111"
"100508","5000000","94002","12","112"
"100509","1000000","94002","12","113"
"100510","1000000","94002","12","114"
"100511","1000000","94002","12","115"
"100512","400","20004","2","116"
"100513","300","20004","2","117"
"100514","200","20004","2","118"
"100515","1000000","94002","12","119"
"100516","1000000","94002","12","120"
"100517","1000000","94002","12","121"
"100518","400","20004","2","122"
"100519","300","20004","2","123"
"100520","200","20004","2","124"
"100521","1000000","94002","12","125"
"100522","1000000","94002","12","126"
"100523","1000000","94002","12","127"
"100524","400","20004","2","128"
"100525","300","20004","2","129"
"100526","200","20004","2","130"
"100601","5000000","94002","12","131"
"100602","2000","90008","2","132"
"100603","20","25001","2","133"
"100604","2500","90008","2","134"
"100605","30","25001","2","135"
"100606","300","91002","8","136"
"100607","1","41000","2","137"
"100608","5000000","94002","12","138"
"100609","1000000","94002","12","139"
"100610","1000000","94002","12","140"
"100611","1000000","94002","12","141"
"100612","400","20004","2","142"
"100613","300","20004","2","143"
"100614","200","20004","2","144"
"100615","1000000","94002","12","145"
"100616","1000000","94002","12","146"
"100617","1000000","94002","12","147"
"100618","400","20004","2","148"
"100619","300","20004","2","149"
"100620","200","20004","2","150"
"100621","1000000","94002","12","151"
"100622","1000000","94002","12","152"
"100623","1000000","94002","12","153"
"100624","400","20004","2","154"
"100625","300","20004","2","155"
"100626","200","20004","2","156"
"100701","5000000","94002","12","157"
"100702","2000","90008","2","158"
"100703","20","25001","2","159"
"100704","2500","90008","2","160"
"100705","30","25001","2","161"
"100706","300","91002","8","162"
"100707","1","41000","2","163"
"100708","5000000","94002","12","164"
"100709","1000000","94002","12","165"
"100710","1000000","94002","12","166"
"100711","1000000","94002","12","167"
"100712","400","20004","2","168"
"100713","300","20004","2","169"
"100714","200","20004","2","170"
"100715","1000000","94002","12","171"
"100716","1000000","94002","12","172"
"100717","1000000","94002","12","173"
"100718","400","20004","2","174"
"100719","300","20004","2","175"
"100720","200","20004","2","176"
"100721","1000000","94002","12","177"
"100722","1000000","94002","12","178"
"100723","1000000","94002","12","179"
"100724","400","20004","2","180"
"100725","300","20004","2","181"
"100726","200","20004","2","182"
"100801","5000000","94002","12","183"
"100802","2000","90008","2","184"
"100803","20","25001","2","185"
"100804","2500","90008","2","186"
"100805","30","25001","2","187"
"100806","300","91002","8","188"
"100807","1","41000","2","189"
"100808","5000000","94002","12","190"
"100809","1000000","94002","12","191"
"100810","1000000","94002","12","192"
"100811","1000000","94002","12","193"
"100812","400","20004","2","194"
"100813","300","20004","2","195"
"100814","200","20004","2","196"
"100815","1000000","94002","12","197"
"100816","1000000","94002","12","198"
"100817","1000000","94002","12","199"
"100818","400","20004","2","200"
"100819","300","20004","2","201"
"100820","200","20004","2","202"
"100821","1000000","94002","12","203"
"100822","1000000","94002","12","204"
"100823","1000000","94002","12","205"
"100824","400","20004","2","206"
"100825","300","20004","2","207"
"100826","200","20004","2","208"
"100901","5000000","94002","12","209"
"100902","2000","90008","2","210"
"100903","20","25001","2","211"
"100904","2500","90008","2","212"
"100905","30","25001","2","213"
"100906","300","91002","8","214"
"100907","1","41000","2","215"
"100908","5000000","94002","12","216"
"100909","1000000","94002","12","217"
"100910","1000000","94002","12","218"
"100911","1000000","94002","12","219"
"100912","400","20004","2","220"
"100913","300","20004","2","221"
"100914","200","20004","2","222"
"100915","1000000","94002","12","223"
"100916","1000000","94002","12","224"
"100917","1000000","94002","12","225"
"100918","400","20004","2","226"
"100919","300","20004","2","227"
"100920","200","20004","2","228"
"100921","1000000","94002","12","229"
"100922","1000000","94002","12","230"
"100923","1000000","94002","12","231"
"100924","400","20004","2","232"
"100925","300","20004","2","233"
"100926","200","20004","2","234"
