c4f2913d57b5ed85e4854abf968853a100a8d94e71bc82f0d96ab6e7b7ce64ac,7bc769456858871954565ea17ced46d1fb301b57b531f28c576ee9d89429de52,a27d9722877c253664f8e3d40b3c58e3a3a665359b47a54d1fdc2d5d7ea9bc6a,6c681565196112dc911c5bf7fefa9bc8ff00d69faa5735531386502daceb2753,a89de4f4d96866a79c3360249a59e48901eab8c7ebfb442901e51a5c0b21ac2b,ca222f57a8e7c3e3b3a7eb6ef685bd3316958fa215f58c567548971094a7fe3b,215ace5445ceaf228ae956ec05e4421fb3218281db3559777108066b4e084dde,5eeda554c3985c22ee5a38f6f25a4cc8939400de98b857dd8d4ab1e21bdb968f,aae4042359f77f1798d4458121ae5ff4d96f990ee6f8ce388189b58828381936,a15428ad6dd2998d387778e25139d47d9c77a353b38e5760dd1671d7a9abc957,011f2ce513e72fbf5d3e68127ec75f4b66ad3ddac28dd7d556306e8442325e93,8da1046870b7959bd9341f6577762c73d90adbe9a878cb7536f1d619f4d2dd90,f132aae2abe7b0848ab835b338d230c8662cbb1abd1e0476611b5917341601e1,df54b183c4bbf41bf5c9045af01a8f9d787a0a7c62c7ccd5146dfe5e47b1a2bd,d324397c9c864be9742bef8d097367c5809760443f8069849bede1594c4c69be,df5e1bda64576538fd3a9aa2b0d4971e01e12901e220075e96e804fe92236df4,21c6b1927e54f6a85bcb6a608a62f0b020d94682eb8c1bd0b9aca574f2e59433
"3","0","500","莉瑪的不可思議\n甜蘋果","52011","0","獲得1張抽獎券。","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。","莉瑪的不可思議甜蘋果","10","2","1","3","1","7","下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","51011"
"2","0","500","妮諾的原創\n一二三壽司","52012","0","獲得1個未鑑定的平凡寶物。","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。","妮諾的原創一二三壽司","10","1","30002","1","1","3","下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","51012"
"3","0","500","克蕾琪塔的開運\n點心拼盤","52013","0","獲得800里程。","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","克蕾琪塔的開運點心拼盤","10","0","2","4","3","8","打開RANK2的里程商店。","51013"
"2","0","500","璃乃的\n「時乃金時」刨冰","52014","0","下次擲骰的時候，多前進1格。","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","璃乃的「時乃金時」刨冰","11","2","1","1","1","9","跳過里程格進行移動。效果持續2回合。","51014"
"1","0","500","靜流的愛情\n滿滿漢堡排","52015","0","下次擲骰的時候，多前進1格。","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","靜流的愛情滿滿漢堡排","11","1","2","1","1","1","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","51015"
"3","0","500","碧的衝刺\n三明治","52016","0","無","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）","碧的衝刺三明治","0","1","20005","0","1","2","下次投擲的骰子一定會丟出「6」。","51016"
"3","0","500","空花的活切\n緊綁觸手","52017","1","無","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。","空花的活切緊綁觸手","10","2","1","5","1","2","[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","51017"
"1","0","500","蘭法的熱心馬鈴薯燉肉","52018","0","獲得1000里程。","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。","蘭法的熱心馬鈴薯燉肉","10","1","20006","6","1","2","下次投擲的骰子一定會丟出「3」。","51018"
"1","0","500","若菜的節儉八分飽咖哩","52019","0","無","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。","若菜的節儉八分飽咖哩","0","1","20007","0","1","2","下次投擲的骰子一定會丟出「8」。","0"
"2","0","500","璃乃的\n「時乃金時」刨冰","52020","0","下次擲骰的時候，多前進1格。","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","璃乃的「時乃金時」刨冰","11","2","1","1","2","9","跳過里程格進行移動。效果持續2回合。","51014"
"3","0","500","霞的看透真相的\n糖果巧克力","52021","0","	獲得2個未鑑定的平凡寶物。","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。","霞的看透真相的糖果巧克力","10","3","2","7","2","9","跳過寶物格進行移動。效果持續3回合。","51021"
"1","0","500","秋乃的煉獄\n烤雞拼盤","52022","0","無","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。","秋乃的煉獄烤雞拼盤","0","3","20008","0","1","2","在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","51022"
"1","0","500","美美的丟沙包\n圓滾滾飯糰","52023","1","獲得1個未鑑定的平凡寶物。","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。","美美的丟沙包圓滾滾飯糰","10","2","1","1","1","7","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","51023"
"3","0","500","步未的祕密\n隱形蛋糕","52024","0","下次擲骰的時候，多前進3格。","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。","步未的祕密隱形蛋糕","11","0","2","3","3","8","打開RANK2的里程商店。","51024"
"3","0","500","安涅默涅的\n爛漫花朵牛排沙拉","52025","0","無","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。","安涅默涅的爛漫花朵牛排沙拉","0","1","3","0","2","9","跳過「里程格」及「寶物格」進行移動。效果持續1回合。","51025"
"1","0","500","杏奈的\n煉獄番茄燉煮渾沌蛋","52026","0","獲得2張抽獎券。","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。","杏奈的煉獄番茄燉煮渾沌蛋","10","0","1","8","3","4","讓隨機活動出現。","51026"
"3","0","500","優衣的\n營養滿分心意滿分便當","52027","0","無","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。","優衣的營養滿分心意滿分便當","0","2","20004","0","1","2","在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","51027"
"3","0","500","鈴的\n堅果懶人紅豆麵包","52028","0","無","鈴給了防災糧食的紅豆麵包。\n添加了堅果的脆脆口感讓人百吃不膩。\n似乎是窩在房間裡玩遊戲之際的好夥伴，\n也是能補充必要營養素的完全營養食物。","鈴的堅果懶人紅豆麵包","10","1","30003","9","1","2","下次投擲的骰子只會丟出「1、2」。\n同時會當場獲得3張抽獎券。","51028"
"2","0","500","雪菲的\n冰晶輝煌手工冰","52029","0","無","雪菲利用自身的魔力冰製作的冰品。\n雖然是在貪吃佩可央求之下製作的，\n不過也備受凱留等人的好評。據可可蘿的表示，\n這雖然吃起來冰冰涼涼的，卻能溫暖內心。","雪菲的冰晶輝煌手工冰","0","1","30004","0","1","3","下次投擲的骰子一定會丟出「2」。並且跳過下次的回合數計算。","51029"
"1","0","500","美空的\n隨興味噌拉麵★","52030","0","無","美空做的拉麵。因為蘭法記得她隨口說的喜歡的食物，\n所以在對方準備好材料之後，\n不得已而做出來的，但是味道是好事級的。\n她似乎不討厭別人津津有味地吃著它的樣子。","美空的隨興味噌拉麵★","0","3","1","0","3","12","3回合之內，所有的「里程格」變成Rank 3的「寶物格」。","51030"
"3","0","500","彩羽的\n最強鍬形蟲果凍（人類用）","52031","0","無","彩羽總是隨身攜帶的色彩斑斕的果凍……\n但是它是阿爾克絲鍊金堂製作的，\n有著跟鍬形蟲果凍一樣的外觀。雖然很甜很好吃，\n但是問她那是給人吃的嗎時，她會別開視線。","彩羽的最強鍬形蟲果凍（人類用）","0","1","20009","0","1","2","下次投擲的骰子會丟出「1、6、6、6、8、8」。","51031"
"3","0","500","格蕾斯的\n目瞪口呆杯子蛋糕","52032","0","下次擲骰的時候，多前進3格。","格蕾斯親手做的杯子蛋糕。把全力都用在\n刺激的外觀上了……雖然讓人那麼覺得，\n但是連眼球都能吃又很美味……才讓人那麼覺得，但是一部分\n又甜到讓人覺得靈魂要消散了。她堅持不說出原料是什麼。","格蕾斯的目瞪口呆杯子蛋糕","11","2","4","3","2","9","跳過料理格進行移動。效果持續2回合。","51032"
"1","0","500","苑的今天是特別獎勵蛋包飯","52033","0","無","苑做的蛋包飯。是彩羽非常喜歡吃的料理，\n有家庭的味道。雖然平常因為嫌麻煩所以不會去做，\n但是在彩羽當乖孩子時會用番茄醬\n幫她畫鍬形蟲。那個時候似乎會比平常還好吃。","苑的今天是特別獎勵蛋包飯","0","0","3","0","3","8","打開RANK3的里程商店。","51033"
"1","0","500","吉塔的\n炙燒‧怨念肉片","52034","0","獲得1個未鑑定的平凡寶物。","由於實在太過美味又含有爆表熱量，\n這道肉料理獲得了像惡意集合體般的嚇人名字。\n由於收集這些肉能夠展現作為騎空士的力量，\n所以吉塔想要大量收集。","吉塔的炙燒‧怨念肉片","10","2","1","1","2","9","跳過里程格進行移動。效果持續2回合。","51034"
"1","0","500","露易絲瑪莉\n過於成功的炸物","52035","0","獲得1個未鑑定的貴重寶物。","露易絲瑪莉完整重現祖母食譜的最佳傑作。\n精細的調配與溫度控管下生產出的麵衣\n以及酥脆鬆軟的食材被譽為鍊金技術的最終目標，\n但也有不少意見認為只是單純的烹飪。","露易絲瑪莉過於成功的炸物","10","0","1","10","3","4","讓隨機活動出現。","51035"
"3","0","500","給你\n吃鳳凰的權利！饅頭","52036","1","無","身為吉歐‧格黑納天空霸主的煉花鳳凰\n為集結對自身的信仰而訂製的甜點。\n內餡香甜綿密，風味高雅。任意封其為\n吉歐‧格黑納知名點心的日子或許也不遠了。","鳳凰的賜予你享用的權利！饅頭","0","3","1","0","1","7","[FF7C4E,D62146]【不可被覆蓋】[-]這回合投擲的骰子一定會丟出「12」，下一回合與下下一回合投擲的骰子一定會丟出「1」。","51036"
"3","1","500","魔法少女\n七七香威化餅","52037","0","獲得3個未鑑定的平凡寶物。","由七七香構思＆監製的威化餅。由於提高了\n附贈貼紙的收藏性，而在整個蘭德索爾\n蔚為風潮……然而最重要的餅乾卻遭到捨棄。\n為了解決這個問題，公主便親自張口吃下。","魔法少女七七香威化餅","10","0","1","11","2","6","地圖上的「里程格」、「寶物格」、「商店格」的RANK提升1。效果將持續到停在對象格上1次之後為止。","51037"
"1","0","500","亞里莎為你送上♪\n破魔蟲紙包料理","52038","0","獲得1張抽獎券。","亞里莎特製的紙包料理。據說由於使用了與傳說\n怪物極為相似的魔物作為材料，\n不知何時便被以與該怪物相同的名字相稱。\n請小心那銳利的鐮刃與火傷，趁熱享用吧。","亞里莎為你送上♪破魔蟲紙包料理","10","1","2","3","1","1","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","51038"
"2","0","500","伊莉亞的†嗜血†\n番茄汁","52039","0","無","伊莉亞愛喝的鮮紅番茄汁。\n為了追求與傳說的吸血鬼相符的品質，\n所製作出來的終極逸品。所以價格\n也相對昂貴，似乎只有在特別的時候才能飲用。","伊莉亞的†嗜血†番茄汁","0","2","2","0","3","12","2回合之內，所有的「里程格」變成Rank 3的「商店格子」。","51039"
"1","0","500","茉莉的活力源\n～騎士團遠征拼盤～","52040","0","下次擲骰的時候，多前進2格。","【王宮騎士團】遠征時的固定菜單，\n茉莉加以改良的拼盤。原本打算把不喜歡的蔬菜\n拿掉，並把肉量加倍，但在出菜前就被識破。\n只好在純的指導下，乖乖加入蔬菜。","茉莉的活力源～騎士團遠征拼盤～","11","3","2","2","2","9","跳過寶物格進行移動。效果持續3回合。","51040"
"1","0","500","班比的\n無敵濃湯","52041","1","獲得1個未鑑定的平凡寶物。","班比用心製成的特製湯品。\n像是家庭料理一般的樸素味道\n會引發人們的鄉愁。以前好像曾經和別人\n站在一起弄過肉丸……班比是這樣說的。","班比的最～強濃湯","10","2","1","1","1","7","[FF7C4E,D62146]【不可被覆蓋】[-]這回合投擲的骰子一定會丟出「7」，下一回合投擲的骰子一定會丟出「2」。","51041"
