066d365a27488a51b6d14358497acd9aef38dce17606875811c61e43d2470d69,3dc4721a6d4b4e4c2c2d69099f3a51f30f09a4cac1da8151f0e9709dc1354c28,c50d7e2f68a80a1761d8391fc1207be267ec937213dd9bb57a16beec2ac6e62d,ff35ec30a7e50a4668a43e435e6582d52f9673e84a287e67eec98305ac54b98a,f2fe0e1658dc0bd0b9326800335188f158d14097149ddd03ecd9407e522a2aa0,95f9df115b9771c1dabe4a396198f0e9d40944ba04eccc49d30c89ad3a98d6e3,f7f87db83d72f6879788afab50d888c879201a47c59d172d3ade6ba3b695e98e,139cf14f0e4b56deff38adaa7307ea224fc6d1425cf55aa8952b941d7aabda09,0dac6e201ec63f855406227ac610fd63639b477c1100d6bc9281bd95299ec845,ea782b42c5af91c95ecbb00f39401fd7e36c0dde26a521a1ec0f2fa1c5af1d27,bd6320ec92bb05871b8f745c6e9322b80b0736223b277857da38acb338c4ae64
"","10","","33","852","","-250","2","","18520018","1500"
"","10","","33","852","","-125","3","","18520019","1250"
"","","","23","853","","","se_10053800","","18530001","se_fpc_water_random"
"-125","-850","1.75","1","853","0","12","1","cmn_swm_breastStroke","18530002","117211"
"-250","-1100","1.75","1","853","0","32","1","cmn_swm_breastStroke","18530003","117311"
"-125","-1350","1.75","1","853","0","12","1","cmn_swm_breastStroke","18530004","117411"
"1","-125","1","31","853","","-850","2","","18530005","1"
"1","-250","1","31","853","","-1100","2","","18530006","2"
"1","-125","1","31","853","","-1350","2","","18530007","3"
"","10","","2","853","","-125","117211","","18530008","1750"
"","10","","2","853","","-250","117311","","18530009","1500"
"","10","","2","853","","-125","117411","","18530010","1250"
"","10","","33","853","","-125","1","","18530011","1750"
"","10","","33","853","","-250","2","","18530012","1500"
"","10","","33","853","","-125","3","","18530013","1250"
"","","","23","854","","","se_10053800","","18540001","se_fpc_water_random"
"-125","-850","1.75","1","854","0","13","1","cmn_swm_flutterKick_floatRing","18540002","122711"
"-250","-1100","1.75","1","854","0","33","1","cmn_swm_flutterKick_floatRing","18540003","122811"
"-125","-1350","1.75","1","854","0","13","1","cmn_swm_flutterKick_floatRing","18540004","122911"
"-125","-850","1.75","5","854","0","12","1","cmn_swm_flutterKick_floatBoad","18540005","1"
"-250","-1100","1.75","5","854","0","32","1","cmn_swm_flutterKick_floatBoad_blue","18540006","2"
"-125","-1350","1.75","5","854","0","12","1","cmn_swm_flutterKick_floatBoad","18540007","3"
"1","-125","1","31","854","","-850","7","","18540008","1"
"1","-250","1","31","854","","-1100","1","","18540009","2"
"1","-125","1","31","854","","-1350","7","","18540010","3"
"","10","","2","854","","-125","122711","","18540011","1750"
"","10","","2","854","","-250","122811","","18540012","1500"
"","10","","2","854","","-125","122911","","18540013","1250"
"","10","","2","854","","-125","1","","18540014","1750"
"","10","","2","854","","-250","2","","18540015","1500"
"","10","","2","854","","-125","3","","18540016","1250"
"","10","","33","854","","-125","1","","18540017","1750"
"","10","","33","854","","-250","2","","18540018","1500"
"","10","","33","854","","-125","3","","18540019","1250"
"","","","23","855","","","se_10053800","","18550001","se_fpc_water_random"
"-125","-850","1.75","1","855","0","13","1","cmn_swm_flutterKick_floatRing","18550002","113411"
"-250","-1100","1.75","1","855","0","33","1","cmn_swm_flutterKick_floatRing","18550003","113511"
"-125","-850","1.75","5","855","0","12","1","cmn_swm_flutterKick_floatBoad","18550004","1"
"-250","-1100","1.75","5","855","0","32","1","cmn_swm_flutterKick_floatBoad_blue","18550005","2"
"1","-125","1","31","855","","-850","7","","18550006","1"
"1","-250","1","31","855","","-1100","1","","18550007","2"
"","10","","2","855","","-125","113411","","18550008","1750"
"","10","","2","855","","-250","113511","","18550009","1500"
"","10","","2","855","","-125","1","","18550010","1750"
"","10","","2","855","","-250","2","","18550011","1500"
"","10","","33","855","","-125","1","","18550012","1750"
"","10","","33","855","","-250","2","","18550013","1500"
"","","","23","856","","","se_10053800","","18560001","se_fpc_water_random"
"-125","-850","1.75","1","856","0","13","1","cmn_swm_tread","18560002","110311"
"-250","-1100","1.75","1","856","0","33","1","cmn_swm_tread","18560003","107711"
"-125","-850","1.75","5","856","0","12","1","cmn_swm_tread_pink","18560004","1"
"-250","-1100","1.75","5","856","0","32","1","cmn_swm_tread","18560005","2"
"1","-125","1","31","856","","-850","13","","18560006","1"
"1","-250","1","31","856","","-1100","3","","18560007","2"
"","13.5","","2","856","","-125","110311","","18560008","1750"
"","13.5","","2","856","","-250","107711","","18560009","1500"
"","13.5","","2","856","","-125","1","","18560010","1750"
"","13.5","","2","856","","-250","2","","18560011","1500"
"","13.5","","33","856","","-125","1","","18560012","1750"
"","13.5","","33","856","","-250","2","","18560013","1500"
"","","","23","857","","","se_10053800","","18570001","se_fpc_water_random"
"-125","-850","1.75","1","857","0","13","1","cmn_swm_tread","18570002","110411"
"-250","-1100","1.75","1","857","0","33","1","cmn_swm_tread","18570003","110511"
"-125","-1350","1.75","1","857","0","13","1","cmn_swm_tread","18570004","115711"
"-250","-1600","1.75","1","857","0","33","1","cmn_boat_relax","18570005","110611"
"-125","-850","1.75","5","857","0","12","1","cmn_swm_tread_blue","18570006","1"
"-250","-1100","1.75","5","857","0","32","1","cmn_swm_tread","18570007","2"
"-125","-1350","1.75","5","857","0","12","1","cmn_swm_tread_pink","18570008","3"
"-250","-1600","1.75","5","857","0","32","2","cmn_boat_idle_l","18570009","4"
"1","-125","1","31","857","","-850","13","","18570010","1"
"1","-250","1","31","857","","-1100","3","","18570011","2"
"1","-125","1","31","857","","-1350","13","","18570012","3"
"1","-250","1","31","857","","-1600","116","","18570013","4"
"","13.5","","2","857","","-125","110411","","18570014","1750"
"","13.5","","2","857","","-250","110511","","18570015","1500"
"","13.5","","2","857","","-125","115711","","18570016","1250"
"","13.5","","2","857","","-250","110611","","18570017","1000"
"","13.5","","2","857","","-125","1","","18570018","1750"
"","13.5","","2","857","","-250","2","","18570019","1500"
"","13.5","","2","857","","-125","3","","18570020","1250"
"","13.5","","2","857","","-250","4","","18570021","1000"
"","13.5","","33","857","","-125","1","","18570022","1750"
"","13.5","","33","857","","-250","2","","18570023","1500"
"","13.5","","33","857","","-125","3","","18570024","1250"
"","13.5","","33","857","","-250","4","","18570025","1000"
"","","","23","858","","","se_10053800","","18580001","se_fpc_water_random"
"-125","-850","1.75","1","858","0","13","1","cmn_swm_tread","18580002","126711"
"-125","-850","1.75","1","858","0","13","1","cmn_swm_tread","18580003","126711"
"-250","-1100","1.75","1","858","0","33","1","cmn_swm_tread","18580004","126811"
"-125","-1350","1.75","1","858","0","13","1","cmn_swm_tread","18580005","108011"
"-250","-1600","1.75","1","858","0","33","1","cmn_boat_cat","18580006","107911"
"-125","-850","1.75","5","858","0","12","1","cmn_swm_tread_pink","18580007","1"
"-250","-1100","1.75","5","858","0","32","1","cmn_swm_tread","18580008","2"
"-125","-1350","1.75","5","858","0","12","1","cmn_swm_tread_blue","18580009","3"
"-250","-1600","1.75","5","858","0","32","2","cmn_boat_idle_l","18580010","4"
"1","-125","1","31","858","","-850","13","","18580011","1"
"1","-250","1","31","858","","-1100","3","","18580012","2"
"1","-125","1","31","858","","-1350","13","","18580013","3"
"1","-250","1","31","858","","-1600","116","","18580014","4"
"","13.5","","2","858","","-125","126711","","18580015","1750"
"","13.5","","2","858","","-250","126811","","18580016","1500"
"","13.5","","2","858","","-125","108011","","18580017","1250"
"","13.5","","2","858","","-250","107911","","18580018","1000"
"","13.5","","2","858","","-125","1","","18580019","1750"
"","13.5","","2","858","","-250","2","","18580020","1500"
"","13.5","","2","858","","-125","3","","18580021","1250"
"","13.5","","2","858","","-250","4","","18580022","1000"
"","13.5","","33","858","","-125","1","","18580023","1750"
"","13.5","","33","858","","-250","2","","18580024","1500"
"","13.5","","33","858","","-125","3","","18580025","1250"
"","13.5","","33","858","","-250","4","","18580026","1000"
"","","","23","859","","","se_10053800","","18590001","se_fpc_water_random"
"-125","-850","1.75","1","859","0","45","1","cmn_surfing","18590002","113111"
"-250","-1100","1.75","1","859","0","45","1","cmn_surfing","18590003","113211"
"-125","-1350","1.75","1","859","0","45","1","cmn_surfing","18590004","113311"
"-250","-1600","1.75","1","859","0","45","1","cmn_surfing","18590005","117011"
"-125","-850","1.75","5","859","0","44","6","cmn_surfing","18590006","1"
"-250","-1100","1.75","5","859","0","44","6","cmn_surfing","18590007","2"
"-125","-1350","1.75","5","859","0","44","6","cmn_surfing","18590008","3"
"-250","-1600","1.75","5","859","0","44","6","cmn_surfing","18590009","4"
"1","-125","1","31","859","","-850","11","","18590010","1"
"1","-250","1","31","859","","-1100","11","","18590011","2"
"1","-125","1","31","859","","-1350","11","","18590012","3"
"1","-250","1","31","859","","-1600","11","","18590013","4"
"","6","","2","859","","-125","113111","","18590014","2350"
"","6","","2","859","","-250","113211","","18590015","2100"
"","6","","2","859","","-125","113311","","18590016","1850"
"","6","","2","859","","-250","117011","","18590017","1600"
"","6","","2","859","","-125","1","","18590018","2350"
"","6","","2","859","","-250","2","","18590019","2100"
"","6","","2","859","","-125","3","","18590020","1850"
"","6","","2","859","","-250","4","","18590021","1600"
"","6","","33","859","","-125","1","","18590022","2350"
"","6","","33","859","","-250","2","","18590023","2100"
"","6","","33","859","","-125","3","","18590024","1850"
"","6","","33","859","","-250","4","","18590025","1600"
"","","","23","859","","","se_10053800","","18590026","se_10053800_surfing_wave"
"","","","93","859","","","0.3","","18590027",""
"","0","","21","859","","","vo_fpc","","18590028","vo_fpc_85901"
"","","","23","860","","","se_10053800","","18600001","se_fpc_water_random"
"-180","-850","1.75","1","860","0","23","1","cmn_boat_relax_l","18600002","110011"
"-180","-1200","1.75","1","860","0","23","1","cmn_boat_relax","18600003","110111"
"-180","-850","1.75","5","860","0","22","2","cmn_boat_idle_blue","18600004","1"
"-180","-1200","1.75","5","860","0","22","2","cmn_boat_idle_l","18600005","2"
"1","-180","1","31","860","","-850","116","","18600006","1"
"1","-180","1","31","860","","-1200","116","","18600007","2"
"","13.5","","2","860","","-180","110011","","18600008","1750"
"","13.5","","2","860","","-180","110111","","18600009","1400"
"","13.5","","2","860","","-180","1","","18600010","1750"
"","13.5","","2","860","","-180","2","","18600011","1400"
"","13.5","","33","860","","-180","1","","18600012","1750"
"","13.5","","33","860","","-180","2","","18600013","1400"
"","","","93","860","","","2.7","","18600014",""
"","0","","21","860","","","vo_fpc","","18600015","vo_fpc_86001"
"","","","23","861","","","se_10053800","","18610001","se_fpc_water_random"
"-125","-850","1.75","1","861","0","13","1","cmn_swm_tread","18610002","129511"
"-250","-1100","1.75","1","861","0","33","1","cmn_swm_tread","18610003","129411"
"-125","-1350","1.75","1","861","0","13","1","cmn_swm_tread","18610004","129311"
"-125","-850","1.75","5","861","0","12","1","cmn_swm_tread_pink","18610005","1"
"-250","-1100","1.75","5","861","0","32","1","cmn_swm_tread_blue","18610006","2"
"-125","-1350","1.75","5","861","0","12","1","cmn_swm_tread","18610007","3"
"1","-125","1","31","861","","-850","13","","18610008","1"
"1","-250","1","31","861","","-1100","3","","18610009","2"
"1","-125","1","31","861","","-1350","13","","18610010","3"
"","13.5","","2","861","","-125","129511","","18610011","1750"
"","13.5","","2","861","","-250","129411","","18610012","1500"
"","13.5","","2","861","","-125","129311","","18610013","1250"
"","13.5","","2","861","","-125","1","","18610014","1750"
"","13.5","","2","861","","-250","2","","18610015","1500"
"","13.5","","2","861","","-125","3","","18610016","1250"
"","13.5","","33","861","","-125","1","","18610017","1750"
"","13.5","","33","861","","-250","2","","18610018","1500"
"","13.5","","33","861","","-125","3","","18610019","1250"
"","","","23","862","","","se_10053800","","18620001","se_fpc_water_random"
"-125","-850","1.75","1","862","0","13","1","cmn_swm_tread","18620002","126711"
"-250","-1100","1.75","1","862","0","33","1","cmn_swm_tread","18620003","126811"
"-180","-1350","1.66","5","862","0","22","21","02_neneka_floatRing","18620004","21"
"-125","-850","1.75","5","862","0","12","1","cmn_swm_tread","18620005","1"
"-250","-1100","1.75","5","862","0","32","1","cmn_swm_tread_blue","18620006","2"
"1","-125","1","31","862","","-850","13","","18620007","1"
"1","-250","1","31","862","","-1100","3","","18620008","2"
"1","-180","1","31","862","","-1350","102","","18620009","3"
"","13.5","","2","862","","-125","126711","","18620010","1750"
"","13.5","","2","862","","-250","126811","","18620011","1500"
"","13.5","","2","862","","-180","21","","18620012","1250"
"","13.5","","2","862","","-125","1","","18620013","1750"
"","13.5","","2","862","","-250","2","","18620014","1500"
"","13.5","","33","862","","-125","1","","18620015","1750"
"","13.5","","33","862","","-250","2","","18620016","1500"
"","13.5","","33","862","","-180","3","","18620017","1250"
"","","","23","863","","","se_10053800","","18630001","se_fpc_water_random"
"-180","-1100","1.75","1","863","1","22","1","cmn_float","18630002","126911"
"-125","-1350","1.75","1","863","0","12","1","cmn_float","18630003","127011"
"-180","-1600","1.75","1","863","0","22","1","cmn_float","18630004","127111"
"1","-180","1","31","863","","-1070","6","","18630005","2"
"1","-125","1","31","863","","-1350","6","","18630006","3"
"1","-180","1","31","863","","-1600","6","","18630007","4"
"","13.5","","2","863","","-180","126911","","18630008","1500"
"","13.5","","2","863","","-125","127011","","18630009","1250"
"","13.5","","2","863","","-180","127111","","18630010","1000"
"","13.5","","33","863","","-180","2","","18630011","1530"
"","13.5","","33","863","","-125","3","","18630012","1250"
"","13.5","","33","863","","-180","4","","18630013","1000"
"","","","93","863","","","2.3","","18630014",""
"","0","","21","863","","","vo_fpc","","18630015","vo_fpc_86301"
"","","","23","864","","","se_10053800","","18640001","se_fpc_water_random"
"-125","-850","1.75","1","864","0","45","1","cmn_surfing","18640002","107811"
"-250","-1100","1.75","1","864","0","45","1","cmn_surfing","18640003","110011"
"-125","-850","1.75","5","864","0","44","6","cmn_surfing","18640004","1"
"-250","-1100","1.75","5","864","0","44","6","cmn_surfing","18640005","2"
"1","-125","1","31","864","","-850","11","","18640006","1"
"1","-250","1","31","864","","-1100","11","","18640007","2"
"","6","","2","864","","-125","107811","","18640008","2350"
"","6","","2","864","","-250","110011","","18640009","2100"
"","6","","2","864","","-125","1","","18640010","2350"
"","6","","2","864","","-250","2","","18640011","2100"
"","6","","33","864","","-125","1","","18640012","2350"
"","6","","33","864","","-250","2","","18640013","2100"
"","","","23","864","","","se_10053800","","18640014","se_10053800_surfing_wave"
"","","","93","864","","","0.2","","18640015",""
"","0","","21","864","","","vo_fpc","","18640016","vo_fpc_86401"
"","","","23","865","","","se_10053800","","18650001","se_fpc_water_random"
"-125","-850","1.75","1","865","0","13","1","cmn_swm_flutterKick_floatRing","18650002","110311"
"-250","-1100","1.75","1","865","0","33","1","cmn_swm_flutterKick_floatRing","18650003","113111"
"-125","-850","1.75","5","865","0","12","1","cmn_swm_flutterKick_floatRing_pink","18650004","1"
"-250","-1100","1.75","5","865","0","32","1","cmn_swm_flutterKick_floatRing_blue","18650005","2"
"1","-125","1","31","865","","-850","7","","18650006","1"
"1","-250","1","31","865","","-1100","1","","18650007","2"
"","10","","2","865","","-125","110311","","18650008","1750"
"","10","","2","865","","-250","113111","","18650009","1500"
"","10","","2","865","","-125","1","","18650010","1750"
"","10","","2","865","","-250","2","","18650011","1500"
"","10","","33","865","","-125","1","","18650012","1750"
"","10","","33","865","","-250","2","","18650013","1500"
"","","","23","866","","","se_10053800","","18660001","se_fpc_water_random"
"-125","-850","1.75","1","866","0","13","1","cmn_swm_flutterKick_floatRing","18660002","113411"
"-250","-1100","1.75","1","866","0","33","1","cmn_swm_flutterKick_floatRing","18660003","115711"
"-125","-850","1.75","5","866","0","12","1","cmn_swm_flutterKick_floatRing_pink","18660004","1"
"-250","-1100","1.75","5","866","0","32","1","cmn_swm_flutterKick_floatRing_blue","18660005","2"
"1","-125","1","31","866","","-850","7","","18660006","1"
"1","-250","1","31","866","","-1100","1","","18660007","2"
"","10","","2","866","","-125","113411","","18660008","1750"
"","10","","2","866","","-250","115711","","18660009","1500"
"","10","","2","866","","-125","1","","18660010","1750"
"","10","","2","866","","-250","2","","18660011","1500"
"","10","","33","866","","-125","1","","18660012","1750"
"","10","","33","866","","-250","2","","18660013","1500"
"","","","23","867","","","se_10053800","","18670001","se_fpc_water_random"
"-125","-850","1.75","1","867","0","13","1","cmn_swm_tread","18670002","113211"
"-250","-1100","1.75","1","867","0","33","1","cmn_swm_tread","18670003","127111"
"-125","-850","1.75","5","867","0","12","1","cmn_swm_tread_pink","18670004","1"
"-250","-1100","1.75","5","867","0","32","1","cmn_swm_tread_blue","18670005","2"
"1","-125","1","31","867","","-850","13","","18670006","1"
"1","-250","1","31","867","","-1100","3","","18670007","2"
"","13.5","","2","867","","-125","113211","","18670008","1750"
"","13.5","","2","867","","-250","127111","","18670009","1500"
"","13.5","","2","867","","-125","1","","18670010","1750"
"","13.5","","2","867","","-250","2","","18670011","1500"
"","13.5","","33","867","","-125","1","","18670012","1750"
"","13.5","","33","867","","-250","2","","18670013","1500"
"","","","23","868","","","se_10053800","","18680001","se_fpc_water_random"
"-125","-850","1.75","1","868","0","12","1","cmn_swm_diving","18680002","117011"
"-180","-1100","1.75","1","868","0","22","1","cmn_swm_diving","18680003","117111"
"1","-125","1","31","868","","-850","9","","18680004","1"
"1","-180","1","31","868","","-1100","9","","18680005","2"
"","13.5","","2","868","","-125","117011","","18680006","1750"
"","13.5","","2","868","","-180","117111","","18680007","1500"
"","13.5","","33","868","","-125","1","","18680008","1750"
"","13.5","","33","868","","-180","2","","18680009","1500"
"","","","23","869","","","se_10053800","","18690001","se_fpc_water_random"
"-125","-850","1.75","1","869","0","13","1","cmn_swm_flutterKick_floatRing","18690002","110511"
"-250","-1100","1.75","1","869","0","33","1","cmn_swm_flutterKick_floatRing","18690003","110011"
"-125","-850","1.75","5","869","0","12","1","cmn_swm_flutterKick_floatBoad","18690004","1"
"-250","-1100","1.75","5","869","0","32","1","cmn_swm_flutterKick_floatBoad_blue","18690005","2"
"1","-125","1","31","869","","-850","7","","18690006","1"
