0f49fb8eb3d45db31dd9083bc3e3c1029a11309261f84c722cccede1dce03092,846e357aad60e7abc4403272daf9d554d554eb21cbb8715a64c6f825d5ba8fb9,caacbae056741be6b226124bdb5370fb50c1f79c178095cd529a8910610784f6,16965c970c406738e02752e28d6bd73acc5750ec18a10aaa383244e2ccb97724,e93d13ab81bfd0c94f87ad3b99b814515801c0f411aff42a30972ce601a69576
"200","10","3000","11005","142"
"150","60","7000","11006","143"
"200","15","3000","11006","144"
"150","60","7000","11007","145"
"200","15","3000","11007","146"
"160","50","7000","11008","147"
"200","15","3000","11008","148"
"140","70","7000","11009","149"
"200","30","3000","11009","150"
"180","35","7000","11010","151"
"200","120","3000","11010","152"
"140","65","7000","11011","153"
"200","30","3000","11011","154"
"200","35","7000","11012","155"
"5","5","3000","11012","156"
"150","70","7000","11013","157"
"200","15","3000","11013","158"
"150","60","7000","11014","159"
"200","15","3000","11014","160"
"150","60","7000","11015","161"
"200","15","3000","11015","162"
"150","60","7000","11016","163"
"200","15","3000","11016","164"
"150","60","7000","11017","165"
"200","15","3000","11017","166"
"120","50","7000","11018","167"
"200","60","3000","11018","168"
"102","67","7000","11019","169"
"200","60","3000","11019","170"
"120","35","7000","11020","171"
"250","60","3000","11020","172"
"200","30","5000","20001","173"
"5","30","5000","20001","174"
"220","60","5000","20002","175"
"5","60","5000","20002","176"
"200","60","5000","20003","177"
"200","15","5000","20003","178"
"200","60","5000","20004","179"
"200","10","5000","20004","180"
"150","40","5000","20005","181"
"5","40","5000","20005","182"
"150","60","5000","20006","183"
"200","10","5000","20006","184"
"150","40","5000","20007","185"
"5","40","5000","20007","186"
"150","50","5000","20008","187"
"200","15","5000","20008","188"
"150","45","5000","20009","189"
"200","10","5000","20009","190"
"145","40","5000","20010","191"
"5","10","5000","20010","192"
"300","40","5000","20011","193"
"5","10","5000","20011","194"
"200","65","5000","20012","195"
"200","10","5000","20012","196"
"150","40","5000","20013","197"
"5","10","5000","20013","198"
"100","40","5000","20014","199"
"5","10","5000","20014","200"
"200","50","5000","20015","201"
"5","10","5000","20015","202"
"250","60","5000","20016","203"
"200","30","5000","20016","204"
"120","45","5000","20017","205"
"300","90","5000","20017","206"
"120","90","5000","20018","207"
"200","30","5000","20018","208"
"190","50","5000","20019","209"
"350","60","5000","20019","210"
"95","90","5000","20020","211"
"95","90","5000","20020","212"
"200","60","5000","20021","213"
"200","60","5000","20021","214"
"200","60","5000","20022","215"
"200","60","5000","20022","216"
"200","60","5000","20023","217"
"200","60","5000","20023","218"
"130","30","5000","21001","219"
"5","5","5000","21001","220"
"140","30","5000","21002","221"
"5","5","5000","21002","222"
"150","40","5000","21003","223"
"5","5","5000","21003","224"
"155","45","5000","21004","225"
"200","5","5000","21004","226"
"155","60","5000","21005","227"
"200","10","5000","21005","228"
"150","60","5000","21006","229"
"200","15","5000","21006","230"
"150","60","5000","21007","231"
"200","15","5000","21007","232"
"160","50","5000","21008","233"
"200","15","5000","21008","234"
"140","70","5000","21009","235"
"200","30","5000","21009","236"
"180","35","5000","21010","237"
"200","120","5000","21010","238"
"140","65","5000","21011","239"
"200","30","5000","21011","240"
"200","35","5000","21012","241"
"5","5","5000","21012","242"
"150","70","5000","21013","243"
"200","15","5000","21013","244"
"150","60","5000","21014","245"
"200","15","5000","21014","246"
"150","60","5000","21015","247"
"200","15","5000","21015","248"
"150","60","5000","21016","249"
"200","15","5000","21016","250"
"150","60","5000","21017","251"
"200","15","5000","21017","252"
"120","50","5000","21018","253"
"200","60","5000","21018","254"
"102","67","5000","21019","255"
"200","60","5000","21019","256"
"120","35","5000","21020","257"
"250","60","5000","21020","258"
