fe1702cf947caba63afdc7ed47fda009412293a933de22cdf15b8102bc7044ea,42e4ab4369fcf3172eef7416b1bddfb1c05d81eebd65e00e7fe6fcf99dbc5786,4555b9785ef492999688d848dd26b045fb341fb8c2280498929e180384a0e67c,863ea5b836414c9aa7549aa4cbec8897fd18a5b8aa54361a55ce58ac346c8133,72218073089c4fe88e0880cb925507d25225760bc85b618573e3d841d4935f80
"113","113","91","50","3"
"114","114","78","88","3"
"115","115","35","43","3"
"116","116","35","86","3"
"117","117","85","43","3"
"118","118","66","53","3"
"119","119","47","28","3"
"120","120","47","101","3"
"121","121","66","46","3"
"122","122","85","79","3"
"123","123","37","39","3"
"124","124","37","91","3"
"125","125","78","57","3"
"126","126","60","71","3"
"127","127","37","36","3"
"128","128","37","93","3"
"129","129","62","39","3"
"130","130","88","50","3"
"131","131","106","65","3"
"132","132","35","39","3"
"133","133","35","91","3"
"134","134","86","65","3"
"135","135","57","41","3"
"136","136","70","93","3"
"137","137","106","65","3"
"138","138","41","30","3"
"139","139","41","99","3"
"140","140","91","78","3"
"141","141","60","57","3"
"142","142","72","37","3"
"143","143","106","65","3"
"144","144","41","36","3"
"145","145","41","93","3"
"146","146","57","57","3"
"147","147","75","39","3"
"148","148","85","86","3"
"149","149","106","65","3"
"150","150","38","39","3"
"151","151","38","91","3"
"152","152","88","48","3"
"153","153","63","67","3"
"154","154","81","83","3"
"155","155","106","65","3"
"156","156","35","39","3"
"157","157","35","91","3"
"158","158","72","92","3"
"159","159","57","43","3"
"160","160","88","46","3"
"161","161","35","39","3"
"162","162","35","90","3"
"163","163","60","46","3"
"164","164","91","79","3"
"165","165","33","41","3"
"166","166","33","88","3"
"167","167","85","43","3"
"168","168","60","83","3"
"169","169","36","36","3"
"170","170","36","93","3"
"171","171","86","83","3"
"172","172","60","50","3"
"173","173","42","28","3"
"174","174","42","101","3"
"175","175","88","50","3"
"176","176","66","75","3"
"177","177","38","32","3"
"178","178","38","97","3"
"179","179","63","93","3"
"180","180","86","43","3"
"181","181","40","24","4"
"182","182","40","107","4"
"183","183","61","87","4"
"184","184","86","54","4"
"185","185","40","35","4"
"186","186","40","94","4"
"187","187","65","42","4"
"188","188","86","71","4"
"189","189","41","28","4"
"190","190","41","101","4"
"191","191","65","55","4"
"192","192","86","61","4"
"193","193","43","26","4"
"194","194","43","107","4"
"195","195","86","61","4"
"196","196","68","71","4"
"197","197","46","35","4"
"198","198","46","94","4"
"199","199","71","82","4"
"200","200","91","59","4"
"201","201","102","58","4"
"202","202","41","26","4"
"203","203","41","104","4"
"204","204","60","48","4"
"205","205","80","71","4"
"206","206","102","58","4"
"207","207","40","35","4"
"208","208","40","94","4"
"209","209","80","78","4"
"210","210","65","45","4"
"211","211","102","58","4"
"212","212","46","29","4"
"213","213","46","100","4"
"214","214","65","80","4"
"215","215","75","45","4"
"216","216","102","58","4"
"217","217","41","29","4"
"218","218","41","105","4"
"219","219","83","57","4"
"220","220","65","45","4"
"221","221","102","58","4"
"222","222","46","32","4"
"223","223","46","97","4"
"224","224","62","68","4"
"225","225","86","74","4"
"226","226","41","32","4"
"227","227","41","104","4"
"228","228","65","42","4"
"229","229","86","57","4"
"230","230","73","78","4"
"231","231","40","24","4"
"232","232","40","110","4"
"233","233","58","44","4"
"234","234","71","81","4"
"235","235","93","57","4"
"236","236","40","42","4"
"237","237","40","97","4"
"238","238","61","65","4"
"239","239","83","75","4"
"240","240","77","46","4"
"241","241","41","41","4"
"242","242","41","105","4"
"243","243","71","48","4"
"244","244","91","58","4"
"245","245","61","88","4"
"246","246","41","31","4"
"247","247","41","97","4"
"248","248","74","45","4"
"249","249","65","81","4"
"250","250","86","72","4"
"251","251","30","47","5"
"252","252","30","88","5"
"253","253","52","85","5"
"254","254","70","79","5"
"255","255","32","39","5"
"256","256","32","99","5"
"257","257","90","50","5"
"258","258","60","85","5"
"259","259","35","38","5"
"260","260","35","100","5"
"261","261","64","52","5"
"262","262","52","81","5"
"263","263","31","44","5"
"264","264","31","91","5"
"265","265","50","58","5"
"266","266","62","79","5"
"267","267","30","47","5"
"268","268","30","88","5"
"269","269","71","50","5"
"270","270","54","82","5"
"271","271","35","38","5"
"272","272","35","97","5"
"273","273","70","50","5"
"274","274","55","70","5"
"275","275","95","50","5"
"276","276","30","46","5"
"277","277","30","89","5"
"278","278","50","49","5"
"279","279","70","66","5"
"280","280","60","86","5"
"281","281","31","44","5"
"282","282","31","91","5"
"283","283","75","73","5"
"284","284","65","85","5"
"285","285","48","50","5"
"286","286","31","41","5"
"287","287","31","94","5"
"288","288","90","50","5"
"289","289","65","86","5"
"290","290","50","68","5"
"291","291","31","46","5"
"292","292","31","89","5"
"293","293","60","59","5"
"294","294","47","70","5"
"295","295","75","69","5"
"296","296","32","44","5"
"297","297","32","88","5"
"298","298","90","52","5"
"299","299","52","58","5"
"300","300","72","83","5"
"301","301","33","41","5"
"302","302","33","96","5"
"303","303","65","50","5"
"304","304","80","63","5"
"305","305","52","81","5"
"306","306","30","44","5"
"307","307","30","91","5"
"308","308","45","54","5"
"309","309","67","62","5"
"310","310","55","83","5"
"311","311","30","50","5"
"312","312","30","85","5"
"313","313","56","50","5"
"314","314","90","63","5"
"315","315","67","82","5"
"316","316","30","46","5"
"317","317","30","91","5"
"318","318","60","68","5"
"319","319","48","82","5"
"320","320","75","83","5"
"321","321","59","98","2"
"322","322","58","26","2"
"323","323","72","107","2"
"324","324","61","83","2"
"325","325","63","65","2"
"326","326","58","33","2"
"327","327","57","57","2"
"328","328","72","107","2"
"329","329","57","39","2"
"330","330","55","92","2"
