10f28aac2cf884c1553f2287b1195ed63494c70588d7d89e1f0d8b193e185995,fc475327134b605741616aa289fbe1ab138cd0fc02f1548f6544a98026b95e53,a9f66c8619d5df483e68574b7062ba3020ecd515730e26060a8d9cdf48e5b483,e6e72111dce420bbd097f131b9c16ce90dd9cccb4b3e692b526a488fdd95078a,af7c9dc93334bf1a30727df0e4a96a75db41a94c36387d2e8e56efc31d1d9bc8,bbb1fec810c063829bfab9b5d0d379be272feb29fae71185aa7ddd094c9c9549,d446435c9356c61bdc4ece806d4255953943f2ed504997e6beeaaa20d3ac1d8d,25b53862fa6cabadcb81c2e92eb5d5273bddd60df8fbfbf291b69988c0493954,3be68fbd7a5b057958fb05e472774391ccf7fb637c1e7c2169a11defd6d6bc3c,9a83001a0fcde4c7d5a795a559d4ed731250d725d1229574708e4a331348544f,b4aa905035b327ee736d1f8edf89faef13491eec2840e8deb992987537eef49e,b6de204641f8be44d2af43efad2d6bfba978c5bc6f1f87538cf870f45f323dc7,99f31f3e7ed7c6e5d1708fe69c262b2d5970310f27594cf0300984b172515ccd,ae63b33a915eae53d487b13b01c832bb6ffaa5b2b8a27cfac360f2a3cca992f4,407160c9a46f94546459d042a88a1d276e6375408452e9108c88b59b771de09b,dd5718b5557c30e2d6f2e053d447f457a4c8aae77421a6a08e5ac53c6093a035,0ad3286952910de14b9489819e2fd7385207bbc0e2284423c6092331463a715e,a600c471378db333d645cb5936217ef140d618db6bedf636349518e125191c56,81ac90cd49976afed47cc29b0625cfca4610cdf89eb9d73f9547813bd6f76076,a3f459f6eccc9ad79be5ae5f86407193115a8602c4524fc9cbeff853eb112f2a,bf2f27166e54b99bfd7416b48895f88eb03386cd37bd3a5a2ce3c98f11575a75
"0","2160","7","0","0","0","0","2","0","","100400101","0","1","1","1","0","3","1","0","","1"
"1.62","300","1","20.4","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100400102","0","1","0","1","0","1","99","20.4","物理傷害+{0}","1"
"0.6","2160","1","8","0","0","0","3","0","對敵方單體造成{0}的物理傷害","100400201","0","1","1","1","0","3","1","8","物理傷害+{0}","1"
"100","2160","12","8","0","0","0","3","0","使一名敵人陷入黑暗狀態","100400202","0","1","1","70","0","3","1","0","造成黑暗的成功Lv+1","1"
"0.8","2160","1","10","0","0","0","2","0","對敵方單體造成{0}的物理傷害","100400301","0","1","0","1","0","14","1","10","物理傷害+{0}","1"
"3.75","2160","10","1","0","1","0","2","1","降低敵方單體{0}的物理攻擊力","100400302","0","1","0","11","99","1","1","3.75","物理攻擊力降低+{0}","1"
"5.5","0","10","1","0","1","0","1","1","提升自身{0}的物理攻擊力","100400303","0","2","0","10","99","7","1","5.5","物理攻擊力提升+{0}","1"
"2.16","2160","1","27","0","0","0","3","0","對敵方全體造成{0}的物理傷害","100401101","0","1","0","1","0","3","99","27","物理傷害+{0}","1"
"30","2160","10","1","0","1","0","3","0","降低全體敵人{0}物理攻擊力","100401102","0","1","0","11","18","3","99","30","物理攻擊力降低+{0}","1"
"1.25","2160","10","1","0","0","0","3","0","降低敵方全體的物理暴擊{0}","100401103","0","1","0","61","18","3","99","100","降低物理暴擊+{0}","1"
"0","2160","10","2","0","0","0","3","0","降低敵方全體物理攻擊暴擊時的傷害{0}%","100401104","0","1","0","111","18","3","99","25","","1"
"1.6","2160","1","20","0","0","0","3","0","對敵方單體造成{0}的物理傷害","100401201","0","1","1","1","0","3","1","20","物理傷害+{0}","1"
"100","2160","12","10","0","0","0","3","0","使一名敵人陷入黑暗狀態","100401202","0","1","1","80","0","3","1","0","造成黑暗的成功Lv+1","1"
"0","2160","7","0","0","0","0","3","0","","100401203","0","1","1","1","0","3","1","0","","1"
"5","200","10","1","0","1","0","2","0","使範圍內敵人的物理攻擊力降低{0}","100401204","0","1","0","11","180","1","99","5","物理攻擊力降低+{0}","1"
"2","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","100450101","0","0","0","3","1","0","0","2","物理防禦力提升+{0}","1"
"2","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","100451101","0","0","0","3","1","0","0","2","物理防禦力提升+{0}","1"
"0","0","90","1","0","0","0","0","0","提升自身{0}的物理攻擊力","100451102","0","0","0","2","1","0","0","225","","1"
"0","2160","2","100","0","0","0","1","0","","100500101","0","1","2","3","0","3","1","0","","1"
"0","2160","7","100","0","0","0","1","0","","100500102","0","1","2","1","0","3","1","0","","1"
"2.4","300","1","30","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100500103","0","1","0","1","0","3","99","30","物理傷害+{0}","1"
"0.27","300","1","3.4","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100500201","0","1","0","1","0","3","99","3.4","物理傷害+{0}","1"
"2","300","8","0","0","0","0","2","0","使範圍內的敵人一段時間內無法行動","100500202","0","1","0","7","0","3","99","0","造成暈眩的成功Lv+1","1"
"0.8","300","1","10","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100500301","0","1","0","1","0","3","99","10","物理傷害+{0}","1"
"0","2160","2","100","0","0","0","1","0","","100501101","0","1","2","3","0","3","1","0","","1"
"0","2160","7","100","0","0","0","1","0","","100501102","0","1","2","1","0","3","1","0","","1"
"2.4","450","1","30","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100501103","0","1","0","1","0","3","99","30","物理傷害+{0}","1"
"0","0","26","1","0","3","0","1","0","","100501104","0","2","0","100501103","0","7","1","0.00005","","1"
"0","0","26","1","0","1","0","1","0","","100501105","0","2","0","100501106","0","7","1","1","","1"
"18","0","6","45","0","0","0","1","0","展開{0}傷害比例的物理魔法無效屏障","100501106","0","2","0","5","0","7","1","45","無效傷害量+{0}","1"
"0.54","300","1","3.4","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100501201","0","1","0","1","0","3","99","3.4","物理傷害+{0}","1"
"2","300","8","0","0","0","0","2","0","使範圍內的敵人一段時間內無法行動","100501202","0","1","0","7","0","3","99","0","造成暈眩的成功Lv+1","1"
"2.24","0","10","1","0","1","0","1","0","提升自身{0}的物理防禦力","100501203","0","2","0","20","12","7","1","2.24","物理防禦力提升+{0}","1"
"2.24","0","10","1","0","1","0","1","0","提升自身{0}的魔法防禦力","100501204","0","2","0","40","12","7","1","2.24","魔法防禦力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的物理攻擊力","100550101","0","0","0","2","1","0","0","15","物理攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的物理攻擊力","100551101","0","0","0","2","1","0","0","15","物理攻擊力提升+{0}","1"
"0","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","100551102","0","0","0","3","1","0","0","30","","1"
"1","2160","32","4","0","0","0","3","0","","100600101","0","2","0","0","0","3","99","4","","1"
"4.5","2160","10","1","0","1","0","3","0","提升我方全體{0}的魔法攻擊力","100600102","0","2","0","30","18","3","99","4.5","魔法攻擊力提升+{0}","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100600201","0","1","0","2","0","3","1","20","魔法傷害+{0}","1"
"1","-1","10","1","0","1","0","1","1","降低敵方單體{0}的魔法防禦力","100600301","0","1","0","41","12","3","1","1","魔法防禦力降低+{0}","1"
"1","2160","32","4","0","0","0","3","0","","100601101","0","2","0","0","0","3","99","4","","1"
"24","2160","10","1","0","1","0","3","0","提升我方全體{0}的魔法攻擊力","100601102","0","2","0","30","18","3","99","24","魔法攻擊力提升+{0}","1"
"0","2160","10","1","0","1","0","3","0","使全體夥伴的魔法暴擊提升{0}","100601103","0","2","0","70","18","3","99","100","","1"
"0.66","2160","10","1","0","1","0","3","0","使全體敵人的魔法防禦力下降{0}","100601104","0","1","0","41","18","3","99","0.66","魔法防禦力降低+{0}","1"
"2","-1","1","25","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100601201","0","1","0","2","0","3","1","25","魔法傷害+{0}","1"
"0.2","-1","10","1","0","1","0","1","1","降低敵方單體{0}的魔法防禦力","100601202","0","1","0","41","12","3","1","0.2","魔法防禦力降低+{0}","1"
"2","-1","1","25","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100610101","0","1","0","2","0","3","1","25","魔法傷害+{0}","1"
"1.25","550","1","15","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100610201","0","1","0","2","0","3","99","15","魔法傷害+{0}","1"
"1","2160","32","1204","0","0","0","3","0","","100620101","0","2","0","0","0","3","99","0","","1"
"8.5","2160","10","1","0","1","0","3","0","提升我方全體{0}的魔法攻擊力","100620102","0","2","0","30","18","3","99","-1195.5","魔法攻擊力提升+{0}","1"
"1","2160","32","1204","0","0","0","3","0","","100621101","0","2","0","0","0","3","99","0","","1"
"28","2160","10","1","0","1","0","3","0","提升我方全體{0}的魔法攻擊力","100621102","0","2","0","30","18","3","99","-1172","魔法攻擊力提升+{0}","1"
"0","2160","10","1","0","1","0","3","0","使全體夥伴的魔法暴擊提升{0}","100621103","0","2","0","70","18","3","99","100","","1"
"0.66","2160","10","1","0","1","0","3","0","使全體敵人的魔法防禦力下降{0}","100621104","0","1","0","41","18","3","99","0.66","魔法防禦力降低+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100650101","0","0","0","4","1","0","0","15","魔法攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100651101","0","0","0","4","1","0","0","240","魔法攻擊力提升+{0}","1"
"3.6","-1","1","45","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100700101","0","1","0","1","0","3","1","45","物理傷害+{0}","1"
"12","0","4","1","0","0","0","3","0","回復自身{0}的HP","100700102","0","2","0","1","1","7","1","12","HP回復量+{0}","1"
"0","0","21","3","0","0","0","1","0","一段時間內成為無敵狀態","100700201","0","2","0","1","0","7","1","0.01","無敵時間+0.01秒","1"
"2.4","0","18","0","0","100700203","0","0","0","","100700202","0","0","0","1","0","7","1","0","","1"
"0","0","21","0","0","0","0","1","0","","100700203","0","2","0","1","0","7","1","0","","1"
"7.5","0","4","1","0","0","0","1","0","回復自身{0}的HP","100700301","0","2","0","1","1","7","1","7.5","HP回復量+{0}","1"
"4.8","-1","1","60","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100701101","0","1","0","1","0","3","1","60","物理傷害+{0}","1"
"12","0","4","1","0","0","0","3","0","回復自身{0}的HP","100701102","0","2","0","1","1","7","1","12","HP回復量+{0}","1"
"0.1","0","10","1","0","1","0","2","1","使自己的迴避提高{0}  ","100701103","0","2","0","50","180","7","1","0.1","迴避上升+{0}","1"
"0","0","21","3","0","0","0","1","0","一段時間內成為無敵狀態","100701201","0","2","0","1","0","7","1","0.01","無敵時間+0.01秒","1"
"2.4","0","18","0","0","100701203","0","0","0","","100701202","0","0","0","1","0","7","1","0","","1"
"0","0","21","0","0","0","0","1","0","","100701203","0","2","0","1","0","7","1","0","","1"
"0.1","0","10","1","0","1","0","2","1","使自己的迴避提高{0}  ","100701204","0","2","0","50","12","7","1","0.1","迴避上升+{0}","1"
"1.2","0","10","1","0","1","0","2","1","提升自身{0}的物理防禦力","100701205","0","2","0","20","12","7","1","1.2","物理防禦力提升+{0}","1"
"0","0","21","6","0","0","0","1","0","一段時間內成為無敵狀態","100720201","0","2","0","1","0","7","1","0","","1"
"2.4","0","18","0","0","100720203","0","0","0","","100720202","0","0","0","1","0","7","1","0","","1"
"0","0","21","0","0","0","0","1","0","","100720203","0","2","0","1","0","7","1","0","","1"
"0.2","0","10","1","0","1","0","2","1","提升自身{0}的物理防禦力","100720204","0","2","0","20","12","7","1","-60","物理防禦力提升+{0}","1"
"5.2","-1","1","60","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100721101","0","1","0","1","0","3","1","60","物理傷害+{0}","1"
"12","0","4","1","0","0","0","3","0","回復自身{0}的HP","100721102","0","2","0","1","1","7","1","12","HP回復量+{0}","1"
"0","0","10","1","0","1","0","2","1","使自己的迴避提高{0}  ","100721103","0","2","0","50","180","7","1","30.1","","1"
"0","0","21","6","0","0","0","1","0","一段時間內成為無敵狀態","100721201","0","2","0","1","0","7","1","0","","1"
"2.4","0","18","0","0","100721203","0","0","0","","100721202","0","0","0","1","0","7","1","0","","1"
"0","0","21","0","0","0","0","1","0","","100721203","0","2","0","1","0","7","1","0","","1"
"0","0","10","1","0","1","0","2","1","使自己的迴避提高{0}  ","100721204","0","2","0","50","12","7","1","30.1","","1"
"1.4","0","10","1","0","1","0","2","1","提升自身{0}的物理防禦力","100721205","0","2","0","20","12","7","1","-58.8","物理防禦力提升+{0}","1"
"2","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","100750101","0","0","0","3","1","0","0","2","物理防禦力提升+{0}","1"
"2","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","100751101","0","0","0","3","1","0","0","32","物理防禦力提升+{0}","1"
"0.405","2160","1","4.5","0","0","0","3","0","對敵方全體造成{0}的魔法傷害","100800101","0","1","0","2","0","3","99","4.5","魔法傷害+{0}","1"
"0.345","2160","10","1","0","1","0","3","1","降低敵方全體{0}的物理防禦力","100800102","0","1","0","21","18","3","99","0.345","物理防禦力降低+{0}","1"
"1.2","2160","1","15","0","0","0","3","0","對敵方單體造成{0}的魔法傷害","100800201","0","1","1","2","0","3","1","15","魔法傷害+{0}","1"
"100","2160","12","8","0","0","0","3","0","使一名敵人陷入黑暗狀態","100800202","0","1","0","40","0","1","1","0","造成黑暗的成功Lv+1","1"
"0","2160","16","75","0","0","0","3","0","回復我方單體{0}的TP","100800301","0","2","0","1","0","12","1","2.5","TP回復量+{0}","1"
"1.62","2160","1","20.25","0","1","0","3","0","對敵方全體造成{0}防禦力較低者可防禦的魔法傷害","100801101","0","1","0","2","0","3","99","20.25","魔法傷害+{0}","1"
"0.7","2160","10","1","0","1","0","3","1","降低敵方全體{0}的物理防禦力","100801102","0","1","0","21","18","3","99","0.7","物理防禦力降低+{0}","1"
"100","2160","11","4","0","0","0","3","0","魅惑全體敵人","100801103","0","1","0","0","0","3","99","0","造成魅惑的成功Lv+1","1"
"1.2","2160","1","15","0","0","0","3","0","對敵方單體造成{0}的魔法傷害","100801201","0","1","1","2","0","3","1","15","魔法傷害+{0}","1"
"100","2160","12","8","0","0","0","3","0","使一名敵人陷入黑暗狀態","100801202","0","1","1","40","0","3","1","0","造成黑暗的成功Lv+1","1"
"100","2160","11","8","0","0","0","3","0","誘惑敵單體","100801203","0","1","1","0","0","3","1","0","造成魅惑的成功Lv+1","1"
"0","2160","16","725","0","0","0","3","0","回復我方單體{0}的TP","100820301","0","2","0","1","0","12","1","0","","1"
"8","2160","10","1","0","1","0","3","0","讓一名同伴的物理攻擊力提升{0}","100820302","0","2","0","10","12","1","0","-2080","物理攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100850101","0","0","0","4","1","0","0","15","魔法攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100851101","0","0","0","4","1","0","0","15","魔法攻擊力提升+{0}","1"
"0","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","100851102","0","0","0","3","1","0","0","30","","1"
"1.44","2160","1","18","0","0","0","3","0","對敵方全體造成{0}的魔法傷害","100900101","0","1","0","2","0","3","99","18","魔法傷害+{0}","1"
"0","0","10","2","0","1","0","1","2","將自身的物理防禦力降為0","100900102","0","2","0","21","99","7","1","100","","1"
"0","0","10","2","0","1","0","1","2","將自身的魔法防禦力降為0","100900103","0","2","0","41","99","7","1","100","","1"
"1.2","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100900201","0","1","0","2","0","3","1","20","魔法傷害+{0}","1"
"10","0","17","100","0","0","1","3","0","","100900301","0","2","0","3","0","7","1","0","","1"
"2","600","1","25","0","0","0","2","0","對範圍內的敵人造成{0}的魔法傷害","100900302","0","1","0","2","0","3","99","25","魔法傷害+{0}","1"
"0","0","30","0","0","0","0","3","0","","100900303","0","2","0","0","0","7","1","0","","1"
"0","0","21","1.9","0","0","0","3","0","","100900304","0","2","0","1","0","7","1","0","","1"
"50","0","10","1","0","1","0","1","1","提升自身{0}的魔法攻擊力","100901101","0","2","0","30","8","7","1","50","魔法攻擊力提升+{0}","1"
"6.5","2160","1","81.25","0","0","0","3","0","對敵方全體造成{0}的魔法傷害","100901102","0","1","0","2","0","3","99","81.25","魔法傷害+{0}","1"
"0","0","10","2","0","1","0","1","2","降低自身初期數值100％的物理防禦力","100901103","0","2","0","21","99","7","1","100","","1"
"0","0","10","2","0","1","0","1","2","降低自身初期數值100％的魔法防禦力","100901104","0","2","0","41","99","7","1","100","","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100901201","0","1","0","2","0","3","1","20","魔法傷害+{0}","1"
"0.6","2160","10","1","0","1","0","3","1","降低敵方單體{0}的魔法防禦力","100901202","0","2","0","41","12","3","99","0.6","魔法防禦力降低+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100950101","0","0","0","4","1","0","1","15","魔法攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100951101","0","0","0","4","1","0","0","240","魔法攻擊力提升+{0}","1"
"15","2160","10","1","0","1","0","3","0","提升我方全體{0}的魔法攻擊力","101000101","0","2","0","30","18","3","99","15","魔法攻擊力提升+{0}","1"
"0.6","2160","10","1","0","1","0","3","0","提升我方全體{0}的物理防禦力","101000102","0","2","0","20","18","3","99","0.6","物理防禦力提升+{0}","1"
"0","2160","16","50","0","1","0","3","0","使我方全體固定恢復{0}TP","101000103","0","2","0","4","18","3","99","0","","1"
"7.5","2160","4","1","0","0","0","2","0","回復我方單體{0}的HP","101000201","0","2","0","2","1","5","1","7.5","HP回復量+{0}","1"
"100","2160","12","8","0","0","0","1","0","使一名敵人陷入黑暗狀態","101000301","0","1","1","40","0","3","1","0","造成黑暗的成功Lv+1","1"
"30","2160","10","1","0","1","0","3","0","提升我方全體{0}的魔法攻擊力","101001101","0","2","0","30","18","3","99","30","魔法攻擊力提升+{0}","1"
"0","2160","10","1","0","1","0","3","0","使全體夥伴的魔法暴擊提升{0}","101001102","0","2","0","70","18","3","99","100","","1"
"0","2160","10","1","0","1","0","3","0","提升我方全體魔法攻擊暴擊時5％的傷害","101001103","0","2","0","120","18","3","99","5","","1"
"1.1","2160","10","1","0","1","0","3","0","提升我方全體{0}的物理防禦力","101001104","0","2","0","20","18","3","99","1.1","物理防禦力提升+{0}","1"
"0","2160","16","120","0","1","0","3","0","使我方全體固定恢復{0}TP","101001105","0","2","0","4","0","3","99","0","","1"
"0","2160","48","10","0","2","10","3","0","每秒恢復 10 TP","101001106","0","2","0","1","0","3","99","0","","1"
"8.5","2160","4","1","0","0","0","3","0","回復我方單體{0}的HP","101001201","0","2","0","2","1.2","5","1","8.5","HP回復量+{0}","1"
"1","2160","10","1","0","1","0","3","1","讓一名夥伴的物理防禦力提升{0}","101001202","0","2","0","20","12","5","1","1","物理防禦力提升+{0}","1"
"0.08","2160","48","0.5","0","1","8.5","2","0","每秒回復{0}的HP","101001203","0","2","0","2","0","5","1","0.5","回復量+{0}","1"
"2","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","101050101","0","0","0","3","1","0","0","2","物理防禦力提升+{0}","1"
"2","0","90","1","0","0","0","0","0","提升自身{0}的物理防禦力","101051101","0","0","0","3","1","0","0","2","物理防禦力提升+{0}","1"
"0","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","101051102","0","0","0","4","1","0","0","225","","1"
"1.62","1150","1","20.4","0","0","0","1","0","對範圍內的敵人造成{0}的物理傷害","101100101","0","1","0","1","0","3","99","20.4","物理傷害+{0}","1"
"0","0","10","1","0","1","0","1","1","自身物理暴擊提升{0}","101100201","0","2","0","60","99","7","1","45","","1"
"15","0","10","1","0","1","0","1","1","提升自身{0}的物理攻擊力","101100202","0","2","0","10","12","7","1","15","物理攻擊力提升+{0}","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的物理傷害","101100301","0","1","0","1","0","3","1","20","物理傷害+{0}","1"
"2.16","1300","1","28","1.75","0","0","1","0","對範圍內的敵人造成{0}的物理傷害","101101101","0","1","0","1","0","3","99","28","物理傷害+{0}","1"
