1faaee02670937315aa9f50a73f025ce8c26225dcd8bcdac69334a65b30e9d35,7e3354dbc7375761b573b440ec96e580897ef98c6526bd6f2227cee6003f8fc0,59f50ef87fb75fbdeaf37a5340f7a5ec62d5df5f6777cc1afafbab2c70349b4a,a95fd8d888a52aa0fed208ccdacab1da8292814f5826d8ab049fd7a2bca77bfc,2289b3429cf27d57466768288649eaca543dd475e8421703e1f1b75611221454
"1","2","10012032","22002","71012015"
"60","8","10012033","91002","71012016"
"2","2","10012034","22002","71012016"
"60","8","10012035","91002","71012017"
"2","2","10012036","22002","71012017"
"60","8","10012037","91002","71012018"
"2","2","10012038","22002","71012018"
"60","8","10012039","91002","71012019"
"2","2","10012040","22002","71012019"
"60","8","10012041","91002","71012020"
"2","2","10012042","22002","71012020"
"50000","12","10012043","94002","71012021"
"100000","12","10012044","94002","71012022"
"150000","12","10012045","94002","71012023"
"200000","12","10012046","94002","71012024"
"50","8","10012047","91002","71012025"
"1","2","10012048","31043","71012026"
"1","2","10012049","31043","71012027"
"2","2","10012050","31043","71012028"
"2","2","10012051","31043","71012029"
"4","2","10012052","31043","71012030"
"10","2","10012053","31043","71012031"
"2","2","10012054","31043","81012001"
"30","8","10012055","91002","81012001"
"100","2","10012056","60112","81012002"
"30000","12","10012057","94002","81012002"
"100","2","10012058","60112","81012003"
"30000","12","10012059","94002","81012003"
"2","2","10012060","31043","81012004"
"30","8","10012061","91002","81012004"
"100","2","10012062","60112","81012005"
"30000","12","10012063","94002","81012005"
"100","2","10012064","60112","81012006"
"30000","12","10012065","94002","81012006"
"2","2","10012066","31043","81012007"
"30","8","10012067","91002","81012007"
"5","2","10012068","60122","61013001"
"5","2","10012069","60122","61013002"
"30","8","10013001","91002","71013001"
"1","2","10013002","22002","71013001"
"30","8","10013003","91002","71013002"
"1","2","10013004","22002","71013002"
"30","8","10013005","91002","71013003"
"1","2","10013006","22002","71013003"
"30","8","10013007","91002","71013004"
"1","2","10013008","22002","71013004"
"30","8","10013009","91002","71013005"
"1","2","10013010","22002","71013005"
"30","8","10013011","91002","71013006"
"1","2","10013012","22002","71013006"
"30","8","10013013","91002","71013007"
"1","2","10013014","22002","71013007"
"30","8","10013015","91002","71013008"
"1","2","10013016","22002","71013008"
"30","8","10013017","91002","71013009"
"1","2","10013018","22002","71013009"
"30","8","10013019","91002","71013010"
"1","2","10013020","22002","71013010"
"30","8","10013021","91002","71013011"
"1","2","10013022","22002","71013011"
"30","8","10013023","91002","71013012"
"1","2","10013024","22002","71013012"
"30","8","10013025","91002","71013013"
"1","2","10013026","22002","71013013"
"30","8","10013027","91002","71013014"
"1","2","10013028","22002","71013014"
"30","8","10013029","91002","71013015"
"1","2","10013030","22002","71013015"
"60","8","10013031","91002","71013016"
"2","2","10013032","22002","71013016"
"60","8","10013033","91002","71013017"
"2","2","10013034","22002","71013017"
"60","8","10013035","91002","71013018"
"2","2","10013036","22002","71013018"
"60","8","10013037","91002","71013019"
"2","2","10013038","22002","71013019"
"60","8","10013039","91002","71013020"
"2","2","10013040","22002","71013020"
"50000","12","10013041","94002","71013021"
"100000","12","10013042","94002","71013022"
"150000","12","10013043","94002","71013023"
"200000","12","10013044","94002","71013024"
"50","8","10013045","91002","71013025"
"1","2","10013046","31093","71013026"
"1","2","10013047","31093","71013027"
"2","2","10013048","31093","71013028"
"2","2","10013049","31093","71013029"
"4","2","10013050","31093","71013030"
"1","1","10013051","109301","71013031"
"10","2","10013052","31093","71013032"
"2","2","10013053","31093","81013001"
"30","8","10013054","91002","81013001"
"100","2","10013055","60122","81013002"
"30000","12","10013056","94002","81013002"
"100","2","10013057","60122","81013003"
"30000","12","10013058","94002","81013003"
"2","2","10013059","31093","81013004"
"30","8","10013060","91002","81013004"
"100","2","10013061","60122","81013005"
"30000","12","10013062","94002","81013005"
"100","2","10013063","60122","81013006"
"30000","12","10013064","94002","81013006"
"2","2","10013065","31093","81013007"
"30","8","10013066","91002","81013007"
"5","2","10014001","60132","61014001"
"5","2","10014002","60132","61014002"
"30","8","10014003","91002","71014001"
"1","2","10014004","22002","71014001"
"30","8","10014005","91002","71014002"
"1","2","10014006","22002","71014002"
"30","8","10014007","91002","71014003"
"1","2","10014008","22002","71014003"
"30","8","10014009","91002","71014004"
"1","2","10014010","22002","71014004"
"30","8","10014011","91002","71014005"
"1","2","10014012","22002","71014005"
"30","8","10014013","91002","71014006"
"1","2","10014014","22002","71014006"
"30","8","10014015","91002","71014007"
"1","2","10014016","22002","71014007"
"30","8","10014017","91002","71014008"
"1","2","10014018","22002","71014008"
"30","8","10014019","91002","71014009"
"1","2","10014020","22002","71014009"
"30","8","10014021","91002","71014010"
"1","2","10014022","22002","71014010"
"30","8","10014023","91002","71014011"
"1","2","10014024","22002","71014011"
"30","8","10014025","91002","71014012"
"1","2","10014026","22002","71014012"
"30","8","10014027","91002","71014013"
"1","2","10014028","22002","71014013"
"30","8","10014029","91002","71014014"
"1","2","10014030","22002","71014014"
"30","8","10014031","91002","71014015"
"1","2","10014032","22002","71014015"
"60","8","10014033","91002","71014016"
"2","2","10014034","22002","71014016"
"60","8","10014035","91002","71014017"
"2","2","10014036","22002","71014017"
"60","8","10014037","91002","71014018"
"2","2","10014038","22002","71014018"
"60","8","10014039","91002","71014019"
"2","2","10014040","22002","71014019"
"60","8","10014041","91002","71014020"
"2","2","10014042","22002","71014020"
"50000","12","10014043","94002","71014021"
"100000","12","10014044","94002","71014022"
"150000","12","10014045","94002","71014023"
