a6f640a8915ba715d8fccafa4f2caee7f2819a87c67329d9d83c63e19d982b95,251b2b9658a37d497c90c0dc4a1223fbc1b19296fafcf0befb4ce5519d63101d,1b4e20b1e992f926b65a6cb2dbf74127c3652be59c114861ac773615441dbe72,aa061e44e771cd793f2fd08f043be76646e2abf256ce84d926fa8086b8390e89,3ba5c70a99cd106cea42368e557e77f3a1a8926ed00a49e9fdd604ab89fd3cca,e3341b77ea2a138e28d1ec7e5b4f4c450a496bc7cf654a90d62806b22537bfdd
"4","妮諾‧珠貝爾","500140","103001","0","普拉諾平原"
"4","上喜 忍","500260","103101","0","古城"
"4","藤堂 秋乃","500070","103201","0","墨丘利財團 據點"
"9","野戶 真陽","500150","103301","0","伊麗莎白牧場 據點"
"4","綾瀬 優花梨","500070","103401","0","墨丘利財團 據點"
"1","冰川 鏡華","500140","103601","0","普拉諾平原"
"2","御久間 智","500090","103701","0","蘭德索爾 王城入口"
"2","柏崎 栞","500150","103801","0","伊麗莎白牧場 據點"
"2","雙葉 碧","500180","104001","0","精靈之森"
"4","三角 千歌","500010","104201","0","蘭德索爾 市中心"
"2","安藝 真琴","500060","104301","0","哞哞自衛隊 據點"
"4","伊莉亞‧奧恩斯坦","500260","104401","0","古城"
"4","遠見 空花","500140","104501","0","普拉諾平原"
"3","宮坂 珠希","500070","104601","0","墨丘利財團 據點"
"1","白銀 純","500090","104701","0","蘭德索爾 王城入口"
"2","大神 美冬","500070","104801","0","墨丘利財團 據點"
"4","星野 靜流","500030","104901","0","蘭德索爾 鬧區"
"2","玉泉 美咲","500080","105001","0","月光學院"
"6","宵濱 深月","500050","105101","0","蘭德索爾 餐廳內"
"9","莉瑪","500150","105201","0","伊麗莎白牧場 據點"
"2","莫妮卡‧拜斯溫特","500140","105301","0","普拉諾平原"
"9","繭宮 紡希","500010","105401","0","蘭德索爾 市中心"
"15","石橋 步未","500140","105501","0","普拉諾平原"
"3","太刀洗 流夏","500050","105601","0","蘭德索爾 餐廳內"
"4","吉塔","500200","105701","0","布里薩溪谷"
"3","貪吃佩可","500130","105801","0","埃斯特雷拉街道"
"2","可可蘿","500130","105901","0","埃斯特雷拉街道"
"3","凱留","500130","106001","0","埃斯特雷拉街道"
"20","矛依未","500341","106101","0","拉比林斯的公會據點"
"3","亞里莎","500170","106301","0","神秘森林"
"2","雪菲","500361","106401","0","美食殿堂 公會小屋"
"4","嘉夜","500833","106501","0","叢林_帳篷"
"4","祈梨","500833","106601","0","叢林_帳篷"
"2","帆稀","501320","106701","0","帆稀的房間"
"18","模索路晶","500030","106801","0","蘭德索爾 鬧區"
"2","霸瞳皇帝","500100","106901","0","蘭德索爾王城_王座之廳"
"2","似似花","500341","107001","0","拉比林斯的公會據點"
"2","克莉絲提娜‧摩根","500090","107101","0","蘭德索爾 王城入口"
"4","貪吃佩可（夏日）","500164","107501","0","瑪爾傑海岸"
"4","可可蘿（夏日）","500164","107601","0","瑪爾傑海岸"
"4","鈴莓（夏日）","500164","107701","0","瑪爾傑海岸"
"6","凱留（夏日）","500164","107801","0","瑪爾傑海岸"
"2","珠希（夏日）","500284","107901","0","無人島"
"2","美冬（夏日）","500284","108001","0","無人島"
"4","忍（萬聖節）","500264","108101","0","古城 萬聖節"
"4","宮子（萬聖節）","500264","108201","0","古城 萬聖節"
"2","美咲（萬聖節）","505030","108301","0","蘭德索爾 鬧區 萬聖節"
"2","千歌（聖誕節）","500114","108401","0","咲戀育幼院 大廳 聖誕節"
"4","胡桃（聖誕節）","500114","108501","0","咲戀育幼院 大廳 聖誕節"
"4","綾音（聖誕節）","500114","108601","0","咲戀育幼院 大廳 聖誕節"
"4","日和（新年）","500553","108701","0","新年 神殿"
"4","優衣（新年）","500553","108801","0","新年 神殿"
"2","怜（新年）","500553","108901","0","新年 神殿"
"4","惠理子（情人節）","500600","109001","0","廚房競技場"
"4","靜流（情人節）","500600","109101","0","廚房競技場"
"2","安","500133","109201","0","埃斯特雷拉街道"
"4","露","500133","109301","0","埃斯特雷拉街道"
"4","古蕾婭","500133","109401","0","埃斯特雷拉街道"
"4","空花（大江戶）","500650","109501","0","大江戶大街"
"2","妮諾（大江戶）","500650","109601","0","大江戶大街"
"2","雷姆","500175","109701","0","神秘森林"
"12","拉姆","500175","109801","0","神秘森林"
"2","愛蜜莉雅","500175","109901","0","神秘森林"
"4","鈴奈（夏日）","500683","110001","0","海_舞臺"
"2","伊緒（夏日）","500683","110101","0","海_舞臺"
"2","咲戀（夏日）","500164","110301","0","瑪爾傑海岸"
"6","真琴（夏日）","500710","110401","0","琉球風的海岸"
"4","香織（夏日）","500710","110501","0","琉球風的海岸"
"4","真步（夏日）","500710","110601","0","琉球風的海岸"
"2","碧（插班生）","500730","110701","0","聖德蕾莎女子學院 _正門"
"2","克蘿依","500730","110801","0","聖德蕾莎女子學院 _正門"
"2","琪愛兒","500730","110901","0","聖德蕾莎女子學院 _正門"
"4","優妮","500730","111001","0","聖德蕾莎女子學院 _正門"
"2","鏡華（萬聖節）","500811","111101","0","宅邸_主樓"
"4","禊（萬聖節）","500811","111201","0","宅邸_主樓"
"4","美美（萬聖節）","500811","111301","0","宅邸_主樓"
"4","露娜","500175","111401","0","神秘森林"
"4","克莉絲提娜（聖誕節）","500038","111501","0","蘭德索爾_鬧區_聖誕節"
"4","望（聖誕節）","500038","111601","0","蘭德索爾_鬧區_聖誕節"
"4","伊莉亞（聖誕節）","500038","111701","0","蘭德索爾_鬧區_聖誕節"
"2","貪吃佩可（新年）","500910","111801","0","蘭德索爾_鬧區_接力賽"
"2","可可蘿（新年）","500910","111901","0","蘭德索爾_鬧區_接力賽"
"6","凱留（新年）","500910","112001","0","蘭德索爾_鬧區_接力賽"
"2","鈴莓（新年）","500910","112101","0","蘭德索爾_鬧區_接力賽"
"2","霞（魔法少女）","500010","112201","0","蘭德索爾 市中心_白天"
"2","栞（魔法少女）","500010","112301","0","蘭德索爾 市中心_白天"
"4","卯月（NGs）","500920","112401","0","繆思小鎮_白天"
"2","凜（NGs）","500920","112501","0","繆思小鎮_白天"
"4","未央（NGs）","500920","112601","0","繆思小鎮_白天"
"2","鈴（遊俠）","500995","112701","0","牧場 白天"
"2","真陽（遊俠）","500995","112801","0","牧場 白天"
"4","璃乃（奇幻）","501000","112901","0","書中的世界_平原"
"2","步未（奇幻）","501000","113001","0","書中的世界_平原"
"6","流夏（夏日）","501030","113101","0","祈願海岸"
"4","杏奈（夏日）","501030","113201","0","祈願海岸"
"4","七七香（夏日）","501030","113301","0","祈願海岸"
"4","初音（夏日）","501100","113401","0","海岸沙灘"
"4","美里（夏日）","501100","113501","0","海岸沙灘"
"2","純（夏日）","500164","113601","0","瑪爾傑海岸"
"4","茜里（天使）","500010","113701","0","蘭德索爾 市中心_白天"
"2","依里（天使）","500010","113801","0","蘭德索爾 市中心_白天"
"4","紡希（萬聖節）","501130","113901","0","萬聖節樂園_白天"
"3","怜（萬聖節）","501130","114001","0","萬聖節樂園_白天"
"4","茉莉（萬聖節）","501130","114101","0","萬聖節樂園_白天"
"4","莫妮卡（魔法少女）","500010","114201","0","蘭德索爾 市中心_白天"
"2","智（魔法少女）","500010","114301","0","蘭德索爾 市中心_白天"
"4","秋乃（聖誕節）","500874","114401","0","舞台_聖誕節_白天"
"2","咲戀（聖誕節）","500874","114501","0","舞台_聖誕節_白天"
"2","優花梨（聖誕節）","500874","114601","0","舞台_聖誕節_白天"
"4","矛依未（新年）","501162","114701","0","大間小鎮_白天"
"2","似似花（新年）","501162","115001","0","大間小鎮_白天"
"4","可可蘿（祭服）","500140","115501","0","普拉諾平原"
"17","優衣（祭服）","500140","115601","0","普拉諾平原"
"4","霞（夏日）","500160","115701","0","瑪爾傑海岸"
"4","莉瑪（灰姑娘）","500130","115801","0","埃斯特雷拉街道"
"4","真琴（灰姑娘）","500130","115901","0","埃斯特雷拉街道"
"4","真步（灰姑娘）","500060","116001","0","埃斯特雷拉街道"
"2","克蘿依（聖學祭）","500732","116201","0","聖德蕾莎女子學院 _正門_聖學祭"
"2","琪愛兒（聖學祭）","500732","116301","0","聖德蕾莎女子學院 _正門_聖學祭"
"4","優妮（聖學祭）","500732","116401","0","聖德蕾莎女子學院 _正門_聖學祭"
"18","祈梨（時空旅行）","500010","116501","0","蘭德索爾 市中心_白天"
"4","嘉夜（時空旅行）","500010","116601","0","蘭德索爾 市中心_白天"
"4","碧（工作服）","501340","116701","0","玩具工廠"
"4","珠希（工作服）","501340","116801","0","玩具工廠"
"2","美冬（工作服）","501340","116901","0","玩具工廠"
"4","惠理子（夏日）","500160","117001","0","瑪爾傑海岸"
"4","靜流（夏日）","500160","117101","0","瑪爾傑海岸"
"4","望（夏日）","501363","117201","0","夏日音樂節會場"
"2","千歌（夏日）","501363","117301","0","夏日音樂節會場"
"4","紡希（夏日）","501363","117401","0","夏日音樂節會場"
"6","深月（大江戶）","501380","117501","0","大江戶_診療室_正午"
"4","雪（大江戶）","501380","117601","0","大江戶_診療室_正午"
"4","香織（萬聖節）","505035","117701","0","蘭德索爾_鬧區_萬聖節_夜晚"
"4","妮諾（萬聖節）","505035","117801","0","蘭德索爾_鬧區_萬聖節_夜晚"
"4","鈴奈（萬聖節）","505035","117901","0","蘭德索爾_鬧區_萬聖節_夜晚"
"4","克蕾琪塔","501070","118001","0","蘭德索爾_王城附近_勤務室"
"4","蘭法","501040","118101","0","憤怒‧軍團據點"
"4","美空","501040","118201","0","憤怒‧軍團據點"
"4","花凜","500371","118501","0","蘭德索爾_公務機關"
"4","涅比亞","500360","118601","0","美食殿堂_公會小屋"
"4","伊緒（黑暗）","501450","119001","0","黑暗的據點"
"4","空花（黑暗）","501450","119101","0","黑暗的據點"
"4","真陽（聖誕節）","500863","119201","0","牧場_雪_白天"
"4","璃乃（聖誕節）","500036","119301","0","蘭德索爾_鬧區_聖誕節"
"4","宮子（聖誕節）","500038","119901","0","蘭德索爾_鬧區_聖誕節"
"2","靜流（黑暗）","501450","120001","0","黑暗的據點"
"2","雪菲（新年）","501480","120701","0","美食殿堂_公會小屋_外觀_新年"
"3","流夏（新年）","500560","120801","0","參道_白天"
"4","伊莉亞（新年）","500260","120901","0","古城"
"3","貪吃佩可（超載）","500361","121001","0","美食殿堂 公會小屋"
"2","凱留（超載）","500361","121101","0","美食殿堂 公會小屋"
"3","拉比林斯達（超載）","500341","121201","0","拉比林斯的公會據點"
"2","胡桃（舞台）","501510","121301","0","牧場_溫泉設施_舞台"
"2","美咲（舞台）","500354","121401","0","咲戀育幼院_物產展"
"18","步未（怪盜）","500012","121501","0","蘭德索爾_市中心_夜晚"
"20","祈梨（怪盜）","500892","121601","0","小巷子_夜晚"
"2","杏奈（海盜）","500843","121901","0","船上甲板"
"20","忍（海盜）","500843","122001","0","船上甲板"
"20","碧（露營）","501590","122101","0","露營場_中午"
"2","優花梨（露營）","501590","122201","0","露營場_中午"
"4","班比","500140","122301","0","普拉諾平原"
"4","日和（夏日）","501610","122401","0","度假海灘_中午"
"2","怜（夏日）","501610","122501","0","度假海灘_中午"
"6","優衣（夏日）","501610","122601","0","度假海灘_中午"
"2","鏡華（夏日）","500285","122701","0","無人島"
"4","禊（夏日）","500160","122801","0","瑪爾傑海岸"
"4","美美（夏日）","500160","122901","0","瑪爾傑海岸"
"4","愛梅斯","500270","123001","0","索爾之塔_庭園"
"4","真步（探險家）","500833","123101","0","叢林_帳篷"
"4","綾音（探險家）","501850","123201","0","密林"
"4","涅婭","501040","123301","0","憤怒‧軍團據點"
"2","鈴（萬聖節）","501870","123501","0","舞台_文化祭_白天"
"2","智（萬聖節）","501860","123601","0","蘭德索爾_鬧區_萬聖節_文化祭"
"4","七七香（萬聖節）","501870","123701","0","舞台_文化祭_白天"
"2","克莉絲提娜（狂野）","500170","123801","0","神秘森林"
"2","茉莉（狂野）","500090","123901","0","蘭德索爾 王城入口"
"2","茜里（聖誕節）","500036","124001","0","蘭德索爾_鬧區_聖誕節_白天"
"2","依里（聖誕節）","500036","124101","0","蘭德索爾_鬧區_聖誕節_白天"
"2","純（聖誕節）","500036","124201","0","蘭德索爾_鬧區_聖誕節_白天"
"2","帆稀（新年）","501890","124501","0","大江戶_溫泉旅館_客房_正午"
"4","美里（新年）","500553","124601","0","新年 神殿"
"2","深月（新年）","501890","124701","0","大江戶_溫泉旅館_客房_正午"
"2","望（解放者）","500033","124801","0","蘭德索爾_鬧區_祭典_白天"
"4","嘉夜（解放者）","500033","124901","0","蘭德索爾_鬧區_祭典_白天"
"2","矛依未（解放者）","500033","125001","0","蘭德索爾_鬧區_祭典_白天"
"4","珠希（咖啡廳）","501950","125101","0","蘭德索爾_餐廳內_貓咪咖啡廳_白天"
"2","莫妮卡（咖啡廳）","501950","125201","0","蘭德索爾_餐廳內_貓咪咖啡廳_白天"
"2","可可蘿（遊俠）","501690","125301","0","平原_競技場_白天"
"20","栞（遊俠）","501690","125401","0","平原_競技場_白天"
"4","吉塔（術士）","500033","125501","0","蘭德索爾_鬧區_祭典_白天"
"4","碧卡拉","500033","125601","0","蘭德索爾_鬧區_祭典_白天"
"2","花凜（鍊金術師）","500371","125701","0","蘭德索爾_公務機關"
"2","莉莉（墮落）","501670","125801","0","吉歐‧提格尼亞_街道_白天"
"2","可璃亞（墮落）","501670","126001","0","吉歐‧提格尼亞_街道_白天"
"2","普蕾西亞（墮落）","501670","126101","0","吉歐‧提格尼亞_街道_白天"
"20","伊莉亞（祭服）","501372","126201","0","瀑布潭_晚上"
"4","雪（祭服）","500040","126301","0","蘭德索爾 公會小屋"
"4","克蘿茜","501660","126401","0","吉歐‧提格尼亞_平原_白天"
"4","萊拉耶爾","501720","126501","0","吉歐‧提格尼亞_芭菲之城_王座之廳_白天"
"2","似似花（夏日）","500692","126601","0","海邊的店_夜晚"
"4","秋乃（夏日）","501030","126701","0","祈願海岸"
"4","優花梨（夏日）","500280","126801","0","無人島"
"2","蘭法（夏日）","501030","126901","0","祈願海岸"
"4","空花（夏日）","500160","127001","0","瑪爾傑海岸_白天"
"4","忍（夏日）","500162","127101","0","瑪爾傑海岸_夜晚"
"2","凱留（插班生）","502030","127201","0","安布羅斯魔法學園_屋頂_白天"
"4","鈴奈（插班生）","502030","127301","0","安布羅斯魔法學園_屋頂_白天"
"2","咲戀（薩拉薩利亞）","502060","127501","0","沙漠之國的大馬路_白天"
"3","流夏（薩拉薩利亞）","501370","127601","0","瀑布潭_白天"
"20","琳德","501730","127701","0","吉歐‧提格尼亞_芭菲之城_大廳"
"4","烏爾姆","501730","127801","0","吉歐‧提格尼亞_芭菲之城_大廳"
"2","貪吃佩可（聖誕節）","500036","127901","0","蘭德索爾_鬧區_聖誕節_白天"
"2","克蕾琪塔（聖誕節）","500036","128001","0","蘭德索爾_鬧區_聖誕節_白天"
"4","祈梨（新年）","500893","128301","0","暗巷_雪_白天"
"4","初音（新年）","501470","128401","0","蘭德索爾_鬧區_新年_白天"
"18","霞（新年）","501470","128501","0","蘭德索爾_鬧區_新年_白天"
"2","日和（星素）","500140","128701","0","普拉諾平原"
"3","怜（星素）","500140","128801","0","普拉諾平原"
"2","優衣（星素）","500140","128901","0","普拉諾平原"
"2","厄莉絲","500510","129001","0","花田"
"2","優妮（冬日）","502220","129301","0","墨丘利度假村_泳池區域_白天"
"2","克蘿依（冬日）","502220","129401","0","墨丘利度假村_泳池區域_白天"
"2","琪愛兒（冬日）","502220","129501","0","墨丘利度假村_泳池區域_白天"
"2","安涅默涅","502071","129601","0","吉歐‧格黑納_叢林_夜晚"
"2","涅妃‧涅羅","502170","129701","0","吉歐‧格黑納_鬼岩城塞_王座之廳_白天"
"2","真琴（指揮官）","501680","129801","0","平原_白天"
"4","惠理子（指揮官）","500030","129901","0","蘭德索爾 鬧區"
"3","倭","501760","130001","0","蠻賊貪鯊號_室內_居住區"
"4","若菜","501760","130101","0","蠻賊貪鯊號_室內_居住區"
"4","布武機","501760","130201","0","蠻賊貪鯊號_室內_居住區"
"20","鏡華（春日）","500020","130701","0","蘭德索爾_郊外"
"2","鈴莓（春日）","500351","130801","0","咲戀育幼院_庭院"
"4","庫露露","502270","130901","0","大夢想樂園_入口_白天"
"2","真步（夢想樂園）","502280","131001","0","大夢想樂園_園內_白天"
"3","涅婭（夏日）","501030","131101","0","祈願海岸"
"4","美空（夏日）","500690","131201","0","海邊的店_白天"
"2","莉莉（夏日）","500163","131601","0","海邊_遮陽傘_白天"
"4","愛梅斯（夏日）","500160","131701","0","瑪爾傑海岸_白天"
"2","帆稀（夏日）","500285","131801","0","無人島"
"2","愛蜜莉雅（夏日）","501030","131901","0","祈願海岸"
"2","艾姬多娜（夏日）","500160","132001","0","瑪爾傑海岸_白天"
"2","雷姆（夏日）","500160","132101","0","瑪爾傑海岸_白天"
"4","望（鍊金術師）","502360","132201","0","阿爾克絲鍊金堂_工作室_中午"
"4","萊拉耶爾（聖誕節）","500038","132801","0","蘭德索爾_鬧區_聖誕節_夜晚"
"2","伊緒（聖誕節）","500038","132901","0","蘭德索爾_鬧區_聖誕節_夜晚"
"4","格蕾斯","502290","133001","0","吉歐‧尼布爾黑爾_遺灰沙漠"
"4","莫妮卡（新年）","501470","133201","0","蘭德索爾_鬧區_新年_白天"
"2","咲戀（新年）","501470","133501","0","蘭德索爾_鬧區_新年_白天"
"2","梅杜莎","500110","133601","0","咲戀育幼院_大廳_白天"
"2","拉比林斯達（始源）","500341","133701","0","拉比林斯的公會據點"
"2","似似花（始源）","500260","133801","0","古城"
"4","克莉絲提娜（始源）","500780","133901","0","蘭德索爾_鬧區_祭典_損壞_白天"
"2","菲歐","500130","134001","0","埃斯特雷拉街道"
"2","日和（公主）","500130","180101","0","埃斯特雷拉街道"
"4","優衣（公主）","500130","180201","0","埃斯特雷拉街道"
"3","怜（公主）","500130","180301","0","埃斯特雷拉街道"
"4","貪吃佩可（公主）","500130","180401","0","埃斯特雷拉街道"
"2","可可蘿（公主）","500130","180501","0","埃斯特雷拉街道"
"18","凱留（公主）","500130","180601","0","埃斯特雷拉街道"
"2","初音＆栞","501370","180701","0","瀑布潭_白天"
"2","禊＆美美＆鏡華","500194","180801","0","精靈之森_祕密基地"
"2","秋乃＆咲戀","500140","180901","0","普拉諾平原"
"2","安＆古蕾婭","500213","181001","0","山腰_白天"
"2","靜流＆璃乃","500010","181101","0","蘭德索爾 市中心_白天"
"2","雪菲（公主）","500130","181201","0","埃斯特雷拉街道"
