989c2786acf26a11df7c9f0edf4f1d0737afcedec4b0e708dadcf2fbeea3f1fb,d75e10ee94189f6e3ef000b31688377c864f67c0ece52d2e67e1b6ee6b2298a4,af275684cb5f78bcab5116e7a960c3f81a3f9d2f024cab160d51a95b05af92e3,65ab60c8c106f56772dada9c1c1af257bb1e6402b5c4583e4bd5ff5829af993f,a876d9db188b549cd8289ce74d166cc5d0ee7054bcd83f440ce9dc5d2f096aba
"267","3000000","94002","12","101001"
"268","300","20004","2","101001"
"269","1000","90008","2","101002"
"270","150","23003","2","101002"
"271","12","25001","2","101003"
"272","1000000","94002","12","101004"
"273","300","20004","2","101004"
"274","1000","90008","2","101005"
"275","150","23003","2","101005"
"276","10","25001","2","101006"
"277","40","91002","8","101007"
"278","1000000","94002","12","101007"
"279","300","20004","2","101007"
"280","1000","90008","2","101008"
"281","200","23003","2","101008"
"282","1","41000","2","101009"
"283","10","25001","2","101009"
"284","1000000","94002","12","101010"
"285","400","20004","2","101010"
"286","1500","90008","2","101011"
"287","40","91002","8","101012"
"288","9","25001","2","101012"
"289","1000000","94002","12","101013"
"290","400","20004","2","101013"
"291","1500","90008","2","101014"
"292","1","41000","2","101015"
"293","1000000","94002","12","101016"
"294","500","20004","2","101016"
"295","40","91002","8","101017"
"296","1500","90008","2","101017"
"297","2000000","94002","12","101018"
"298","2000","90008","2","101018"
"299","3000000","94002","12","101101"
"300","300","20004","2","101101"
"301","1000","90008","2","101102"
"302","150","23003","2","101102"
"303","12","25001","2","101103"
"304","1000000","94002","12","101104"
"305","300","20004","2","101104"
"306","1000","90008","2","101105"
"307","150","23003","2","101105"
"308","10","25001","2","101106"
"309","40","91002","8","101107"
"310","1000000","94002","12","101107"
"311","300","20004","2","101107"
"312","1000","90008","2","101108"
"313","200","23003","2","101108"
"314","1","41000","2","101109"
"315","10","25001","2","101109"
"316","1000000","94002","12","101110"
"317","400","20004","2","101110"
"318","1500","90008","2","101111"
"319","40","91002","8","101112"
"320","9","25001","2","101112"
"321","1000000","94002","12","101113"
"322","400","20004","2","101113"
"323","1500","90008","2","101114"
"324","1","41000","2","101115"
"325","1000000","94002","12","101116"
"326","500","20004","2","101116"
"327","40","91002","8","101117"
"328","1500","90008","2","101117"
"329","2000000","94002","12","101118"
"330","2000","90008","2","101118"
"331","3000000","94002","12","101201"
"332","300","20004","2","101201"
"333","1000","90008","2","101202"
"334","150","23003","2","101202"
"335","12","25001","2","101203"
"336","1000000","94002","12","101204"
"337","300","20004","2","101204"
"338","1000","90008","2","101205"
"339","150","23003","2","101205"
"340","10","25001","2","101206"
"341","40","91002","8","101207"
"342","1000000","94002","12","101207"
"343","300","20004","2","101207"
"344","1000","90008","2","101208"
"345","200","23003","2","101208"
"346","1","41000","2","101209"
"347","10","25001","2","101209"
"348","1000000","94002","12","101210"
"349","400","20004","2","101210"
"350","1500","90008","2","101211"
"351","40","91002","8","101212"
"352","9","25001","2","101212"
"353","1000000","94002","12","101213"
"354","400","20004","2","101213"
"355","1500","90008","2","101214"
"356","1","41000","2","101215"
"357","1000000","94002","12","101216"
"358","500","20004","2","101216"
"359","40","91002","8","101217"
"360","1500","90008","2","101217"
"361","2000000","94002","12","101218"
"362","2000","90008","2","101218"
"363","3000000","94002","12","101301"
"364","300","20004","2","101301"
"365","1000","90008","2","101302"
"366","150","23003","2","101302"
"367","12","25001","2","101303"
"368","1000000","94002","12","101304"
"369","300","20004","2","101304"
"370","1000","90008","2","101305"
"371","150","23003","2","101305"
"372","10","25001","2","101306"
"373","40","91002","8","101307"
"374","1000000","94002","12","101307"
"375","300","20004","2","101307"
"376","1000","90008","2","101308"
"377","200","23003","2","101308"
"378","1","41000","2","101309"
"379","10","25001","2","101309"
"380","1000000","94002","12","101310"
"381","400","20004","2","101310"
"382","1500","90008","2","101311"
"383","40","91002","8","101312"
"384","9","25001","2","101312"
"385","1000000","94002","12","101313"
"386","400","20004","2","101313"
"387","1500","90008","2","101314"
"388","1","41000","2","101315"
"389","1000000","94002","12","101316"
"390","500","20004","2","101316"
"391","40","91002","8","101317"
"392","1500","90008","2","101317"
"393","2000000","94002","12","101318"
"394","2000","90008","2","101318"
"395","3000000","94002","12","101401"
"396","300","20004","2","101401"
"397","1000","90008","2","101402"
"398","150","23003","2","101402"
"399","12","25001","2","101403"
"400","1000000","94002","12","101404"
"401","300","20004","2","101404"
"402","1000","90008","2","101405"
"403","150","23003","2","101405"
"404","10","25001","2","101406"
"405","40","91002","8","101407"
"406","1000000","94002","12","101407"
"407","300","20004","2","101407"
"408","1000","90008","2","101408"
"409","200","23003","2","101408"
"410","1","41000","2","101409"
"411","10","25001","2","101409"
"412","1000000","94002","12","101410"
"413","400","20004","2","101410"
"414","1500","90008","2","101411"
"415","40","91002","8","101412"
"416","9","25001","2","101412"
"417","1000000","94002","12","101413"
"418","400","20004","2","101413"
"419","1500","90008","2","101414"
"420","1","41000","2","101415"
"421","1000000","94002","12","101416"
"422","500","20004","2","101416"
"423","40","91002","8","101417"
"424","1500","90008","2","101417"
"425","2000000","94002","12","101418"
"426","2000","90008","2","101418"
"427","3000000","94002","12","101501"
"428","300","20004","2","101501"
"429","1000","90008","2","101502"
"430","150","23003","2","101502"
"431","12","25001","2","101503"
"432","1000000","94002","12","101504"
"433","300","20004","2","101504"
"434","1000","90008","2","101505"
"435","150","23003","2","101505"
"436","10","25001","2","101506"
"437","40","91002","8","101507"
"438","1000000","94002","12","101507"
"439","300","20004","2","101507"
"440","1000","90008","2","101508"
"441","200","23003","2","101508"
"442","1","41000","2","101509"
"443","10","25001","2","101509"
"444","1000000","94002","12","101510"
"445","400","20004","2","101510"
"446","1500","90008","2","101511"
"447","40","91002","8","101512"
"448","9","25001","2","101512"
"449","1000000","94002","12","101513"
"450","400","20004","2","101513"
"451","1500","90008","2","101514"
"452","1","41000","2","101515"
"453","1000000","94002","12","101516"
"454","500","20004","2","101516"
"455","40","91002","8","101517"
"456","1500","90008","2","101517"
"457","2000000","94002","12","101518"
"458","2000","90008","2","101518"
"459","3000000","94002","12","101601"
"460","300","20004","2","101601"
"461","1000","90008","2","101602"
"462","150","23003","2","101602"
"463","12","25001","2","101603"
"464","1000000","94002","12","101604"
"465","300","20004","2","101604"
"466","1000","90008","2","101605"
"467","150","23003","2","101605"
"468","10","25001","2","101606"
"469","40","91002","8","101607"
"470","1000000","94002","12","101607"
"471","300","20004","2","101607"
"472","1000","90008","2","101608"
"473","200","23003","2","101608"
"474","1","41000","2","101609"
"475","10","25001","2","101609"
"476","1000000","94002","12","101610"
"477","400","20004","2","101610"
"478","1500","90008","2","101611"
"479","40","91002","8","101612"
"480","9","25001","2","101612"
"481","1000000","94002","12","101613"
"482","400","20004","2","101613"
"483","1500","90008","2","101614"
"484","1","41000","2","101615"
"485","1000000","94002","12","101616"
"486","500","20004","2","101616"
"487","40","91002","8","101617"
"488","1500","90008","2","101617"
"489","2000000","94002","12","101618"
"490","2000","90008","2","101618"
"491","3000000","94002","12","101701"
"492","300","20004","2","101701"
"493","1000","90008","2","101702"
"494","150","23003","2","101702"
"495","12","25001","2","101703"
"496","1000000","94002","12","101704"
"497","300","20004","2","101704"
"498","1000","90008","2","101705"
"499","150","23003","2","101705"
"500","10","25001","2","101706"
"501","40","91002","8","101707"
"502","1000000","94002","12","101707"
"503","300","20004","2","101707"
"504","1000","90008","2","101708"
"505","200","23003","2","101708"
"506","1","41000","2","101709"
"507","10","25001","2","101709"
"508","1000000","94002","12","101710"
"509","400","20004","2","101710"
"510","1500","90008","2","101711"
"511","40","91002","8","101712"
"512","9","25001","2","101712"
"513","1000000","94002","12","101713"
"514","400","20004","2","101713"
"515","1500","90008","2","101714"
"516","1","41000","2","101715"
"517","1000000","94002","12","101716"
"518","500","20004","2","101716"
"519","40","91002","8","101717"
"520","1500","90008","2","101717"
"521","2000000","94002","12","101718"
"522","2000","90008","2","101718"
"523","3000000","94002","12","101801"
"524","300","20004","2","101801"
"525","1000","90008","2","101802"
"526","150","23003","2","101802"
"527","12","25001","2","101803"
"528","1000000","94002","12","101804"
"529","300","20004","2","101804"
"530","1000","90008","2","101805"
"531","150","23003","2","101805"
"532","10","25001","2","101806"
"533","40","91002","8","101807"
"534","1000000","94002","12","101807"
"535","300","20004","2","101807"
"536","1000","90008","2","101808"
"537","200","23003","2","101808"
"538","1","41000","2","101809"
"539","10","25001","2","101809"
"540","1000000","94002","12","101810"
"541","400","20004","2","101810"
"542","1500","90008","2","101811"
"543","40","91002","8","101812"
"544","9","25001","2","101812"
"545","1000000","94002","12","101813"
"546","400","20004","2","101813"
"547","1500","90008","2","101814"
"548","1","41000","2","101815"
"549","1000000","94002","12","101816"
"550","500","20004","2","101816"
"551","40","91002","8","101817"
"552","1500","90008","2","101817"
"553","2000000","94002","12","101818"
"554","2000","90008","2","101818"
