b8e9815d5686b5b44ded741c5c5965aa72f120f771dbe9dcf84b45f03f58ca46,984afafc988fb9fcb86b31df731431763fa46b7addd1c688f8a34c6fa2174a9c,aa1c7a43abd653026882652167a36165eccba82b6a7351840fb80743b16b0e0f,98da5b840041b4919b4abcd8bb88af0fff69952d38ab30bb42b7f6b00cd88654,3fa3158b589155fb08c52642d88cf3b2edcec74a60b8c4168dacaf9310a8abdf,b777e04f7385d4e330feb662b9d63129b4f1bb9bfbcf359d5f37ab04b5f8d3a4,207b4b2e18f6ad4a0fe8d7e45aa3e866515c74da0990454fbf87ef44427c67fc,8402293ef73fa0f461a363fedd890d2dfa179d9f9780577e49b496b6e520584e,18dba9366d2b5bf6de8fcd0a79747a0ffb993cd1619e2e7ef6be5f8d166eecc2,d20c5809719cff4311bb073ce0bc51c336d2837c665fda8fe2ebb6533dc850ab,57c4d56b4bb86f444e5ab6bef8f8068ebf7ed5a954fef01187c8a0daba4ea673,44d6ef9e4d607ef7090d3df015057e90817f1e1ef667bf5344cbad415f85f640
"100700416","16","0","0","0","4","1","329","1.249","0","0","1007004"
"100700417","17","0","0","1.252","0","4","0","0","1","0","1007004"
"100700418","18","0","0","0","5","1","268","0.987","0","0","1007004"
"100700419","19","0","0","2.864","0","4","0","0","1","0","1007004"
"100700420","20","vo_svd_0403","0","0","0","2","0","0","0","vo_svd","1007004"
"100700421","21","0","0","0","6","1","336","2.056","0","0","1007004"
"100700422","22","0","0","1.844","0","4","0","0","1","0","1007004"
"100700423","23","0","0","0","7","1","364","1.963","0","0","1007004"
"100700424","24","0","0","2.5","0","4","0","0","1","0","1007004"
"100700501","1","0","0","0.8","0","4","0","0","1","0","1007005"
"100700502","2","vo_svd_0501","0","0","0","2","0","0","0","vo_svd","1007005"
"100700503","3","0","0","0","1","1","329","1.741","0","0","1007005"
"100700504","4","0","0","2.972","0","4","0","0","1","0","1007005"
"100700505","5","vo_svd_0502","0","0","0","2","0","0","0","vo_svd","1007005"
"100700506","6","0","0","0","2","1","320","1.539","0","0","1007005"
"100700507","7","0","0","1.258","0","4","0","0","1","0","1007005"
"100700508","8","0","320","0","2","1","320","0.762","0","0","1007005"
"100700509","9","0","0","2.583","0","4","0","0","1","0","1007005"
"100700510","10","vo_svd_0503","0","0","0","2","0","0","0","vo_svd","1007005"
"100700511","11","0","0","0","3","1","336","1.131","0","0","1007005"
"100700512","12","0","0","1.924","0","4","0","0","1","0","1007005"
"100700513","13","0","0","0","4","1","336","1.131","0","0","1007005"
"100700514","14","0","0","1.924","0","4","0","0","1","0","1007005"
"100700515","15","0","0","0","5","1","329","1.868","0","0","1007005"
"100700516","16","0","0","3.266","0","4","0","0","1","0","1007005"
"100700517","17","vo_svd_0504","0","0","0","2","0","0","0","vo_svd","1007005"
"100700518","18","0","0","0","6","1","275","1.269","0","0","1007005"
"100700519","19","0","0","2.653","0","4","0","0","1","0","1007005"
"100700520","20","vo_svd_0505","0","0","0","2","0","0","0","vo_svd","1007005"
"100700521","21","0","0","0","7","1","336","2.056","0","0","1007005"
"100700522","22","0","0","1.844","0","4","0","0","1","0","1007005"
"100700523","23","0","0","0","8","1","364","1.965","0","0","1007005"
"100700524","24","0","0","2.5","0","4","0","0","1","0","1007005"
"100700601","1","0","0","0.8","0","4","0","0","1","0","1007006"
"100700602","2","vo_svd_0601","0","0","0","2","0","0","0","vo_svd","1007006"
"100700603","3","0","0","0","1","1","336","1.875","0","0","1007006"
"100700604","4","0","0","3.353","0","4","0","0","1","0","1007006"
"100700605","5","vo_svd_0602","0","0","0","2","0","0","0","vo_svd","1007006"
"100700606","6","0","0","0","2","1","336","1.734","0","0","1007006"
"100700607","7","0","0","1.665","0","4","0","0","1","0","1007006"
"100700608","8","0","0","0","3","1","201","1.035","0","0","1007006"
"100700609","9","0","0","1.893","0","4","0","0","1","0","1007006"
"100700610","10","0","201","0","3","1","354","0.821","0","0","1007006"
"100700611","11","0","0","0.664","0","4","0","0","1","0","1007006"
"100700612","12","0","0","0","4","1","367","1.361","0","0","1007006"
"100700613","13","0","0","1.108","0","4","0","0","1","0","1007006"
"100700614","14","0","0","0","5","1","259","1.269","0","0","1007006"
"100700615","15","0","0","3.112","0","4","0","0","1","0","1007006"
"100700616","16","vo_svd_0603","0","0","0","2","0","0","0","vo_svd","1007006"
"100700617","17","0","0","0","6","1","336","2.056","0","0","1007006"
"100700618","18","0","0","1.844","0","4","0","0","1","0","1007006"
"100700619","19","0","0","0","7","1","364","1.965","0","0","1007006"
"100700620","20","0","0","2.5","0","4","0","0","1","0","1007006"
"100700701","1","0","0","0.8","0","4","0","0","1","0","1007007"
"100700702","2","vo_svd_0701","0","0","0","2","0","0","0","vo_svd","1007007"
"100700703","3","0","0","0","1","1","147","0.926","0","0","1007007"
"100700704","4","0","0","1.549","0","4","0","0","1","0","1007007"
"100700705","5","0","147","0","1","1","345","1.457","0","0","1007007"
"100700706","6","0","0","1.228","0","4","0","0","1","0","1007007"
"100700707","7","0","0","0","2","1","0","0.762","0","0","1007007"
"100700708","8","0","0","2.221","0","4","0","0","1","0","1007007"
"100700709","9","vo_svd_0702","0","0","0","2","0","0","0","vo_svd","1007007"
"100700710","10","0","0","0","2","1","120","0.969","0","0","1007007"
"100700711","11","0","0","0.747","0","4","0","0","1","0","1007007"
"100700712","12","0","120","0","2","1","336","1.785","0","0","1007007"
"100700713","13","0","0","1.932","0","4","0","0","1","0","1007007"
"100700714","14","0","0","0","3","1","35","0.385","0","0","1007007"
"100700715","15","0","0","0.5","0","4","0","0","1","0","1007007"
"100700716","16","0","35","0","3","1","336","1.436","0","0","1007007"
"100700717","17","0","0","2.164","0","4","0","0","1","0","1007007"
"100700718","18","0","0","0","4","1","356","1.928","0","0","1007007"
"100700719","19","0","0","1.673","0","4","0","0","1","0","1007007"
"100700720","20","0","0","0","5","1","259","1.269","0","0","1007007"
"100700721","21","0","0","3.156","0","4","0","0","1","0","1007007"
"100700722","22","vo_svd_0703","0","0","0","2","0","0","0","vo_svd","1007007"
"100700723","23","0","0","0","6","1","336","2.077","0","0","1007007"
"100700724","24","0","0","1.841","0","4","0","0","1","0","1007007"
"100700725","25","0","0","0","7","1","364","1.965","0","0","1007007"
"100700726","26","0","0","2.5","0","4","0","0","0","0","1007007"
"100700801","1","0","0","0.8","0","4","0","0","1","0","1007008"
"100700802","2","vo_svd_0801","0","0","0","2","0","0","0","vo_svd","1007008"
"100700803","3","0","0","0","1","1","356","2.027","0","0","1007008"
"100700804","4","0","0","3.309","0","4","0","0","1","0","1007008"
"100700805","5","vo_svd_0802","0","0","0","2","0","0","0","vo_svd","1007008"
"100700806","6","0","0","0","2","1","336","1.879","0","0","1007008"
"100700807","7","0","0","3.041","0","4","0","0","1","0","1007008"
"100700808","8","vo_svd_0803","0","0","0","2","0","0","0","vo_svd","1007008"
"100700809","9","0","0","0","3","1","336","1.848","0","0","1007008"
"100700810","10","0","0","1.437","0","4","0","0","1","0","1007008"
"100700811","11","0","0","0","4","1","168","0.796","0","0","1007008"
"100700812","12","","0","2.532","0","4","0","0","1","","1007008"
"100700813","13","vo_svd_0804","0","0","0","2","0","0","0","vo_svd","1007008"
"100700814","14","0","0","0","5","1","299","1.002","0","0","1007008"
"100700815","15","0","0","2.164","0","4","0","0","1","0","1007008"
"100700816","16","0","0","0","6","1","115","1.574","0","0","1007008"
"100700817","17","0","0","2.164","0","4","0","0","1","0","1007008"
"100700818","18","0","115","0","6","1","280","1.269","0","0","1007008"
"100700819","19","0","0","2.5","0","4","0","0","1","0","1007008"
"100700901","1","0","0","0.8","0","4","0","0","1","0","1007009"
"100700902","2","vo_svd_0901","0","0","0","2","0","0","0","vo_svd","1007009"
"100700903","3","0","0","0","1","1","356","2.285","0","0","1007009"
"100700904","4","0","0","2.031","0","4","0","0","1","0","1007009"
"100700905","5","0","0","0","2","1","215","1.362","0","0","1007009"
"100700906","6","0","0","2.479","0","4","0","0","1","0","1007009"
"100700907","7","vo_svd_0902","0","0","0","2","0","0","0","vo_svd","1007009"
"100700908","8","0","0","0","3","1","356","2.004","0","0","1007009"
"100700909","9","0","0","1.804","0","4","0","0","1","0","1007009"
"100700910","10","0","0","0","4","1","185","2.026","0","0","1007009"
"100700911","11","0","0","2.473","0","4","0","0","1","0","1007009"
"100700912","12","0","185","0","4","1","338","0.518","0","0","1007009"
"100700913","13","0","0","0.556","0","4","0","0","1","0","1007009"
"100700914","14","0","0","0","5","1","336","2.021","0","0","1007009"
"100700915","15","0","0","1.713","0","4","0","0","1","0","1007009"
"100700916","16","0","0","0","6","1","250","1.513","0","0","1007009"
"100700917","17","0","0","1.981","0","4","0","0","1","0","1007009"
"100700918","18","vo_svd_0903","0","0","0","2","0","0","0","vo_svd","1007009"
"100700919","19","0","0","0","7","1","220","1.672","0","0","1007009"
"100700920","20","0","0","1.924","0","4","0","0","1","0","1007009"
"100700921","21","0","220","0","7","1","338","0.796","0","0","1007009"
"100700922","22","","0","1.832","0","4","0","0","1","","1007009"
"100700923","23","vo_svd_0904","0","0","0","2","0","0","0","vo_svd","1007009"
"100700924","24","0","0","0","8","1","77","0.703","0","0","1007009"
"100700925","25","0","0","1.523","0","4","0","0","1","0","1007009"
"100700926","26","vo_svd_0905","0","0","0","2","0","0","0","vo_svd","1007009"
"100700927","27","0","77","0","8","1","218","1.198","0","0","1007009"
"100700928","28","0","0","1.764","0","4","0","0","1","0","1007009"
"100700929","29","vo_svd_0906","0","0","0","2","0","0","0","vo_svd","1007009"
"100700930","30","0","0","0","9","1","336","2.335","0","0","1007009"
"100700931","31","0","0","3.423","0","4","0","0","1","0","1007009"
"100700932","32","vo_svd_0907","0","0","0","2","0","0","0","vo_svd","1007009"
"100700933","33","0","0","0","10","1","61","0.682","0","0","1007009"
"100700934","34","0","0","1.357","0","4","0","0","1","0","1007009"
"100700935","35","0","61","0","10","1","336","2.106","0","0","1007009"
"100700936","36","0","0","1.43","0","4","0","0","1","0","1007009"
"100700937","37","0","0","0","11","1","336","2.283","0","0","1007009"
"100700938","38","0","0","2.989","0","4","0","0","1","0","1007009"
"100700939","39","vo_svd_0908","0","0","0","2","0","0","0","vo_svd","1007009"
"100700940","40","0","0","0","12","1","322","1.978","0","0","1007009"
"100700941","41","0","0","1","0","4","0","0","1","0","1007009"
"100701001","1","0","0","0.8","0","4","0","0","1","0","1007010"
"100701002","2","vo_svd_1001","0","0","0","2","0","0","0","vo_svd","1007010"
"100701003","3","0","0","0","1","1","356","2.705","0","0","1007010"
"100701004","4","0","0","3.154","0","4","0","0","1","0","1007010"
"100701005","5","0","0","0","2","1","49","0.918","0","0","1007010"
"100701006","6","0","0","1.231","0","4","0","0","1","0","1007010"
"100701007","7","0","49","0","2","1","356","1.672","0","0","1007010"
"100701008","8","0","0","3.307","0","4","0","0","1","0","1007010"
"100701009","9","vo_svd_1002","0","0","0","2","0","0","0","vo_svd","1007010"
"100701010","10","0","0","0","3","1","336","0.835","0","0","1007010"
"100701011","11","0","0","1.164","0","4","0","0","1","0","1007010"
"100701012","12","0","336","0","3","1","336","1.623","0","0","1007010"
"100701013","13","0","0","1.712","0","4","0","0","1","0","1007010"
"100701014","14","0","0","0","4","1","356","2.294","0","0","1007010"
"100701015","15","0","0","2.186","0","4","0","0","1","0","1007010"
"100701016","16","0","0","0","5","1","0","2.184","0","0","1007010"
"100701017","17","0","0","3.034","0","4","0","0","1","0","1007010"
"100701018","18","vo_svd_1003","0","0","0","2","0","0","0","vo_svd","1007010"
"100701019","19","0","0","0","5","1","356","2.704","0","0","1007010"
"100701020","20","0","0","2.522","0","4","0","0","1","0","1007010"
"100701021","21","0","0","0","6","1","162","1.005","0","0","1007010"
"100701022","22","0","0","2.617","0","4","0","0","1","0","1007010"
"100701023","23","vo_svd_1004","0","0","0","2","0","0","0","vo_svd","1007010"
"100701024","24","0","0","0","7","1","223","0.975","0","0","1007010"
"100701025","25","0","0","1.202","0","4","0","0","1","0","1007010"
"100701026","26","0","223","0","7","1","340","1.214","0","0","1007010"
"100701027","27","0","0","1.187","0","4","0","0","1","0","1007010"
"100701028","28","0","0","0","8","1","345","2.043","0","0","1007010"
"100701029","29","0","0","3.356","0","4","0","0","1","0","1007010"
"100701030","30","vo_svd_1005","0","0","0","2","0","0","0","vo_svd","1007010"
"100701031","31","0","0","0","9","1","155","1.862","0","0","1007010"
"100701032","32","0","0","2.285","0","4","0","0","1","0","1007010"
"100701033","33","vo_svd_1006","0","0","0","2","0","0","0","vo_svd","1007010"
"100701034","34","0","0","0","10","1","128","0.682","0","0","1007010"
"100701035","35","0","0","1.529","0","4","0","0","1","0","1007010"
"100701036","36","0","128","0","10","1","240","1.042","0","0","1007010"
"100701037","37","0","0","2.384","0","4","0","0","1","0","1007010"
"100701038","38","vo_svd_1007","0","0","0","2","0","0","0","vo_svd","1007010"
"100701039","39","0","0","0","11","1","181","1.106","0","0","1007010"
"100701040","40","0","0","1.891","0","4","0","0","1","0","1007010"
"100701041","41","0","181","0","11","1","290","1.322","0","0","1007010"
"100701042","42","0","0","1","0","4","0","0","1","0","1007010"
