f8722b44ae5af3a3b0de4ff5da296cff33ac6372c200f28e40247333b35d87ad,a91f49a28247c55368c42434f88ccb898ecd00d272c33c58a7c458b96c815293,816b61d909833ab68c9d419bc36dd4ba138bef664d72790cda786cfc086f6069,5626fd9d773c451fb9089ffcb718df15f0ddbcd60d7b5416dbf26b61c4b1ba1f,27405a1e2baeaf0a8a87151f79ba9daa351a8f7705405edaf1206cc19ddacf0f,7a21cd08c562fc8381e912c45ef6c0b3769f3d1e8c1ffb6cac73106b57fc7a21,ae10f96310fe3439bf902a91af8e2f865acad2a9f1f62b8414cb02b91e6d0dd8,48c4c57f740709d6fe9afe7ee8e60fc5b95f1f177b4820856d99c9eae7c37422,c22797d01139224fe5b7d0539260fbea1f86babd3f888a1844321237b29d0ebd,e9bb1cc02d8fcaddb1cc8ea4afd708fcade5cf6044bf3e32daaf4c6f384fb06d,455dde3005eeec2f258f57febdf90a550ca8fe519d5ecae89b007c2eddd5383f,7e296f6d593e66f765def78a2dcf4da4e5d0eef745744fe017ce701adb347837,9f0beb47e5361c0f8fa738452ffbb9b285e03694190229be825d0a7ab70d880e,b27810ed856b9d8e655bea176734e339ea23223a8efe6ec8cd40307bf176e606
"270","3","6","1","241","-1","1509","1","1","1","1","1","-1","22"
"-1","3","6","1","271","-1","1510","1","1","1","1","1","-1","22"
"30","6","7","1","4","5","1601","1","1","1","1","1","30","7"
"60","6","7","1","31","5","1602","1","1","1","1","1","60","11"
"90","6","7","1","61","5","1603","1","1","1","1","1","90","15"
"120","6","7","1","91","5","1604","1","1","1","1","1","120","19"
"150","6","7","1","121","5","1605","1","1","1","1","1","150","23"
"180","6","7","1","151","5","1606","1","1","1","1","1","180","27"
"210","6","7","1","181","5","1607","1","1","1","1","1","210","29"
"240","6","7","1","211","5","1608","1","1","1","1","1","240","31"
"270","6","7","1","241","5","1609","1","1","1","1","1","270","31"
"300","6","7","1","271","5","1610","1","1","1","1","1","300","31"
"-1","6","7","1","301","5","1611","1","1","1","1","1","310","31"
"30","5","8","1","4","5","1701","1","1","1","1","1","30","7"
"60","5","8","1","31","5","1702","1","1","1","1","1","60","11"
"90","5","8","1","61","5","1703","1","1","1","1","1","90","15"
"120","5","8","1","91","5","1704","1","1","1","1","1","120","19"
"150","5","8","1","121","5","1705","1","1","1","1","1","150","23"
"180","5","8","1","151","5","1706","1","1","1","1","1","180","27"
"210","5","8","1","181","5","1707","1","1","1","1","1","210","29"
"240","5","8","1","211","5","1708","1","1","1","1","1","240","31"
"270","5","8","1","241","5","1709","1","1","1","1","1","270","31"
"300","5","8","1","271","5","1710","1","1","1","1","1","300","31"
"-1","5","8","1","301","5","1711","1","1","1","1","1","310","31"
