e9351c0b83597ff806f264202c255faf815ebaefb6ed9312b562033acc0106f1,de0cfe2c3c8262c4d8f09902b4a7fa949edd74ffb49db0bafb062593b17842ca,b055911d675896813c89c5ae5e5e31b990e8869c17355d3bec281d931b1c1eec,576ef22ea6cc2514a344dcde4bd54558dab5fbabde1a2c4d7045a4148c78edab,63e040afb638c8515740cb287ac2e66c9db03b8a8aa379bee32a982257b23347,c03b808afc21889f5320c49d80b5109d216f95307af9756485f1e1cac2d4588a,1d935db76a653cba31adfa83bb0fb5abeab43e7e9b2ad4d8d40e5ecf59fc0914,214af5b353670e5026b54f2b12cf3d911dd58f2885643ae50bd474b0d98a865c,adba08c9c6dbe35f80a3e5ab798c613a4b570c1670dd716f8253c569ed8dce77,a14824a14581c5ffb0f81ee8d6214fa3a5324b14b328f16fd87f15db56526863,355be321c33944b55ea4e7729ba69497fde83f640020ee5c359ad0d763a0bef7
"輪胎（特大）","2010100","60","160","1","2","1","20101","0","0","0"
"輪胎（特大）","2010200","60","256","2","2","1","20102","0","0","0"
"輪胎（特大）","2010300","60","410","3","2","1","20103","0","0","0"
"輪胎（大）","2020100","45","145","1","2","2","20201","0","0","0"
"輪胎（大）","2020200","45","232","2","2","2","20202","0","0","0"
"輪胎（大）","2020300","45","371","3","2","2","20203","0","0","0"
"輪胎（中）","2030100","30","120","1","2","3","20301","0","0","0"
"輪胎（中）","2030200","30","192","2","2","3","20302","0","0","0"
"輪胎（中）","2030300","30","307","3","2","3","20303","0","0","0"
"輪胎（小）","2040100","15","100","1","2","4","20401","0","0","0"
"輪胎（小）","2040200","15","160","2","2","4","20402","0","0","0"
"輪胎（小）","2040300","15","256","3","2","4","20403","0","0","0"
"加農砲","3010100","1","0","1","3","1","30101","4","125","0"
"加農砲","3010101","1","0","1","3","1","30101","5","195","0"
"加農砲","3010102","1","0","1","3","1","30101","6","234","0"
"加農砲","3010200","1","0","2","3","1","30102","4","200","0"
"加農砲","3010201","1","0","2","3","1","30102","5","313","0"
"加農砲","3010202","1","0","2","3","1","30102","6","375","0"
"加農砲","3010300","1","0","3","3","1","30103","4","320","0"
"加農砲","3010301","1","0","3","3","1","30103","5","500","0"
"加農砲","3010302","1","0","3","3","1","30103","6","600","0"
"刨刀","3020100","1","0","1","3","2","30201","6","75","0"
"刨刀","3020101","1","0","1","3","2","30201","7","112","0"
"刨刀","3020102","1","0","1","3","2","30201","8","135","0"
"刨刀","3020200","1","0","2","3","2","30202","6","120","0"
"刨刀","3020201","1","0","2","3","2","30202","7","180","0"
"刨刀","3020202","1","0","2","3","2","30202","8","216","0"
"刨刀","3020300","1","0","3","3","2","30203","6","192","0"
"刨刀","3020301","1","0","3","3","2","30203","7","288","0"
"刨刀","3020302","1","0","3","3","2","30203","8","345","0"
"鑽頭","3030100","1","0","1","3","3","30301","5","72","0"
"鑽頭","3030101","1","0","1","3","3","30301","6","108","0"
"鑽頭","3030102","1","0","1","3","3","30301","7","129","0"
"鑽頭","3030200","1","0","2","3","3","30302","5","115","0"
"鑽頭","3030201","1","0","2","3","3","30302","6","172","0"
"鑽頭","3030202","1","0","2","3","3","30302","7","207","0"
"鑽頭","3030300","1","0","3","3","3","30303","5","184","0"
"鑽頭","3030301","1","0","3","3","3","30303","6","276","0"
"鑽頭","3030302","1","0","3","3","3","30303","7","331","0"
"槌子","3040100","1","0","1","3","4","30401","6","101","0"
"槌子","3040101","1","0","1","3","4","30401","7","139","0"
"槌子","3040102","1","0","1","3","4","30401","8","177","0"
"槌子","3040200","1","0","2","3","4","30402","6","162","0"
"槌子","3040201","1","0","2","3","4","30402","7","222","0"
"槌子","3040202","1","0","2","3","4","30402","8","283","0"
"槌子","3040300","1","0","3","3","4","30403","6","259","0"
"槌子","3040301","1","0","3","3","4","30403","7","356","0"
"槌子","3040302","1","0","3","3","4","30403","8","453","0"
"霰彈槍","3050100","1","0","1","3","5","30501","5","157","0"
"霰彈槍","3050101","1","0","1","3","5","30501","6","216","0"
"霰彈槍","3050102","1","0","1","3","5","30501","7","275","0"
"霰彈槍","3050200","1","0","2","3","5","30502","5","252","0"
"霰彈槍","3050201","1","0","2","3","5","30502","6","346","0"
"霰彈槍","3050202","1","0","2","3","5","30502","7","441","0"
"霰彈槍","3050300","1","0","3","3","5","30503","5","403","0"
"霰彈槍","3050301","1","0","3","3","5","30503","6","554","0"
"霰彈槍","3050302","1","0","3","3","5","30503","7","705","0"
"升降機","4010100","1","100","1","4","1","40101","3","0","0"
"升降機","4010101","1","125","1","4","1","40101","4","0","0"
"升降機","4010102","1","150","1","4","1","40101","5","0","0"
"升降機","4010200","1","160","2","4","1","40102","3","0","0"
"升降機","4010201","1","200","2","4","1","40102","4","0","0"
"升降機","4010202","1","240","2","4","1","40102","5","0","0"
"升降機","4010300","1","256","3","4","1","40103","3","0","0"
"升降機","4010301","1","320","3","4","1","40103","4","0","0"
"升降機","4010302","1","384","3","4","1","40103","5","0","0"
"鉤子","4020100","1","125","1","4","2","40201","2","0","0"
"鉤子","4020101","1","156","1","4","2","40201","3","0","0"
"鉤子","4020102","1","188","1","4","2","40201","4","0","0"
"鉤子","4020200","1","200","2","4","2","40202","2","0","0"
"鉤子","4020201","1","250","2","4","2","40202","3","0","0"
"鉤子","4020202","1","300","2","4","2","40202","4","0","0"
"鉤子","4020300","1","320","3","4","2","40203","2","0","0"
"鉤子","4020301","1","400","3","4","2","40203","3","0","0"
"鉤子","4020302","1","480","3","4","2","40203","4","0","0"
"推進器","4030100","1","150","1","4","3","40301","1","0","0"
"推進器","4030101","1","188","1","4","3","40301","2","0","0"
"推進器","4030102","1","225","1","4","3","40301","3","0","0"
"推進器","4030200","1","240","2","4","3","40302","1","0","0"
"推進器","4030201","1","300","2","4","3","40302","2","0","0"
"推進器","4030202","1","360","2","4","3","40302","3","0","0"
"推進器","4030300","1","384","3","4","3","40303","1","0","0"
"推進器","4030301","1","480","3","4","3","40303","2","0","0"
"推進器","4030302","1","576","3","4","3","40303","3","0","0"
