ef863faa5fe9537ac3a5dcd787d48179737297f2f3981d0be10288afadee5bda,2ea3ea034dcc00c795ca47c2eef0eca65a7ca4a0a50a1398ef404f2c01f7d081,6fc35597fd8c63d8752efd948cd13884b15f8302458facde92609be3a91e02be,f1eeb6825d472c22099e71dd863a146322eed717682d08360d36de64f9cada0e,d46f7e907f7c40e02f253b1522d142f332a8606afd96550d478797a0a468297a,3ff0b2a6d8c703dc83351f5d47109dee2f6f57feedc1ff511f35ca65890d1daa,624fd43ae959fa0f5550e558c3333519b68309d8e018cb102cc9a0409ac49684,e353687e5fbdef450971a072d83926482aca446c9ef85bc5a77ca3d372d6590b,cca25d5dbb687096d1af04b6d0d6ce58e021144ce14f1122602053ba05fc302a,35be01983903995b48ff4aa073e2cae90f2fed1d0b7643a51e012dc101850c8f,a26d1c2948c3c11d10f8d8ea79e260780ec54093659373810aa6bf8b2a4a8dd1
"3006","","sjr_talk_idle","","1","","3","122611","3","0.2",""
"4001","40","122611","-194","100","1","4","1","1","1.65","sjr_talk_idle"
"4002","","sjr_talk_thinking_surprise","","1","","4","122611","3","0.2",""
"4003","0","vo_minigame_1010_top_talk_1_004","","0","","4","vo_minigame_1010","21","",""
"4004","1","有很多奇特的\n路線呢。\n要選哪個呢……？","0","5","0","4","122611","11","0","1"
"4005","","","","","","4","0","91","",""
"4006","","sjr_talk_idle","","1","","4","122611","3","0.2",""
"5001","40","122611","-194","100","1","5","1","1","1.65","sjr_talk_idle"
"5002","sjr_talk_guts2_anger_loop","sjr_talk_guts2_anger","1","0","0","5","122611","3","0.2",""
"5003","0","vo_minigame_1010_top_talk_1_005","","0","","5","vo_minigame_1010","21","",""
"5004","1","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","0","6","0","5","122611","11","0","1"
"5005","","","","","","5","0","91","",""
"5006","","sjr_talk_idle","","1","","5","122611","3","0.2",""
"6001","40","122511","-194","100","1","6","1","1","1.65","sjr_talk_idle"
"6002","sjr_talk_arm_crossed_look_loop","sjr_talk_arm_crossed_joy_look","1","0","0","6","122511","3","0.2",""
"6003","0","vo_minigame_1010_top_talk_1_006","","0","","6","vo_minigame_1010","21","",""
"6004","1","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","0","5","0","6","122511","11","0","1"
"6005","","","","","","6","0","91","",""
"6006","","sjr_talk_idle","","1","","6","122511","3","0.2",""
"7001","40","122511","-194","100","1","7","1","1","1.65","sjr_talk_idle"
"7002","","sjr_talk_mouth_hidden2_shy","","1","","7","122511","3","0.2",""
"7003","0","vo_minigame_1010_top_talk_1_007","","0","","7","vo_minigame_1010","21","",""
"7004","1","穿這樣跑\n好羞恥啊……\n別盯著我看……","0","4","0","7","122511","11","0","1"
"7005","","","","","","7","0","91","",""
"7006","","sjr_talk_idle","","1","","7","122511","3","0.2",""
"8001","40","122511","-194","100","1","8","1","1","1.65","sjr_talk_idle"
"8002","","sjr_talk_mouth_hidden","","1","","8","122511","3","0.2",""
"8003","0","vo_minigame_1010_top_talk_1_008","","0","","8","vo_minigame_1010","21","",""
"8004","1","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","0","5","0","8","122511","11","0","1"
"8005","","","","","","8","0","91","",""
"8006","","sjr_talk_idle","","1","","8","122511","3","0.2",""
"9001","40","122511","-194","100","1","9","1","1","1.65","sjr_talk_idle"
"9002","","sjr_talk_stepback_surprise","","1","","9","122511","3","0.2",""
"9003","0","vo_minigame_1010_top_talk_1_009","","0","","9","vo_minigame_1010","21","",""
"9004","1","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","0","5","0","9","122511","11","0","1"
"9005","","","","","","9","0","91","",""
"9006","","sjr_talk_idle","","1","","9","122511","3","0.2",""
"10001","40","122511","-194","100","1","10","1","1","1.65","sjr_talk_idle"
"10002","","sjr_talk_thinking_blink","","1","","10","122511","3","0.2",""
"10003","0","vo_minigame_1010_top_talk_1_010","","0","","10","vo_minigame_1010","21","",""
"10004","1","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","0","4","0","10","122511","11","0","1"
"10005","","","","","","10","0","91","",""
"10006","","sjr_talk_idle","","1","","10","122511","3","0.2",""
"11001","40","122411","-194","100","1","11","1","1","1.65","sjr_talk_idle"
"11002","sjr_talk_eieio_loop","sjr_talk_eieio","1","0","0","11","122411","3","0.2",""
"11003","0","vo_minigame_1010_top_talk_1_011","","0","","11","vo_minigame_1010","21","",""
"11004","1","暖身運動也很完美！\n我會第一個\n搶到的──！","0","5","0","11","122411","11","0","1"
"11005","","","","","","11","0","91","",""
"11006","","sjr_talk_idle","","1","","11","122411","3","0.2",""
"12001","40","122411","-194","100","1","12","1","1","1.65","sjr_talk_idle"
"12002","","sjr_talk_arm_opened_wink","","1","","12","122411","3","0.2",""
"12003","0","vo_minigame_1010_top_talk_1_012","","0","","12","vo_minigame_1010","21","",""
"12004","1","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","0","6","0","12","122411","11","0","1"
"12005","","","","","","12","0","91","",""
"12006","","sjr_talk_idle","","1","","12","122411","3","0.2",""
"13001","40","122411","-194","100","1","13","1","1","1.65","sjr_talk_idle"
"13002","sjr_talk_doya_loop","sjr_talk_doya","1","0","0","13","122411","3","0.2",""
"13003","0","vo_minigame_1010_top_talk_1_013","","0","","13","vo_minigame_1010","21","",""
"13004","1","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","0","8","0","13","122411","11","0","1"
"13005","","","","","","13","0","91","",""
"13006","","sjr_talk_idle","","1","","13","122411","3","0.2",""
"14001","40","122411","-194","100","1","14","1","1","1.65","sjr_talk_idle"
"14002","sjr_talk_swing_joy","sjr_talk_watch_arm_opened","1","0","0","14","122411","3","0.2",""
"14003","0","vo_minigame_1010_top_talk_1_014","","0","","14","vo_minigame_1010","21","",""
"14004","1","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","0","6","0","14","122411","11","0","1"
"14005","","","","","","14","0","91","",""
"14006","","sjr_talk_idle","","1","","14","122411","3","0.2",""
"15001","40","122411","-194","100","1","15","1","1","1.65","sjr_talk_idle"
"15002","","sjr_talk_wish_doya","","1","","15","122411","3","0.2",""
"15003","0","vo_minigame_1010_top_talk_1_015","","0","","15","vo_minigame_1010","21","",""
"15004","1","好想和優衣與怜\n她們兩人一起\n競爭呢！","0","5","0","15","122411","11","0","1"
"15005","","","","","","15","0","91","",""
"15006","","sjr_talk_idle","","1","","15","122411","3","0.2",""
"16001","72","122611","-194","100","1","16","1","1","1.65","sjr_talk_idle"
"16002","-72","122511","-194","100","0","16","1","1","1.65","sjr_talk_idle"
"16003","","sjr_talk_wish_doya","","1","","16","122611","3","0.2",""
"16004","0","vo_minigame_1010_top_talk_2_001","","0","","16","vo_minigame_1010","21","",""
"16005","1","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","0","4","0","16","122611","11","0","1"
"16006","","","","","","16","0","91","",""
"16007","","sjr_talk_idle","","1","","16","122611","3","0.2",""
"16008","sjr_talk_arm_crossed_joy_loop","sjr_talk_arm_crossed_normal_joy","1","0","0","16","122511","3","0.2",""
"16009","0","vo_minigame_1010_top_talk_2_002","","0","","16","vo_minigame_1010","21","",""
"16010","1","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","0","5","0","16","122511","11","0","0.5"
"16011","","","","","","16","0","91","",""
"16012","","sjr_talk_idle","","1","","16","122511","3","0.2",""
"17001","72","122611","-194","100","1","17","1","1","1.65","sjr_talk_idle"
"17002","-72","122511","-194","100","0","17","1","1","1.65","sjr_talk_idle"
"17003","","sjr_talk_worry_shy","","1","","17","122511","3","0.2",""
"17004","0","vo_minigame_1010_top_talk_2_003","","0","","17","vo_minigame_1010","21","",""
"17005","1","我說優衣，\n要穿著泳裝跑步\n是不是有點……","0","7","0","17","122511","11","0","0.5"
"17006","","","","","","17","0","91","",""
"17007","","sjr_talk_idle","","1","","17","122511","3","0.2",""
"17008","","sjr_talk_wish_shy","","1","","17","122611","3","0.2",""
"17009","0","vo_minigame_1010_top_talk_2_004","","0","","17","vo_minigame_1010","21","",""
"17010","1","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","0","5","0","17","122611","11","0","0.5"
"17011","","","","","","17","0","91","",""
"17012","","sjr_talk_idle","","1","","17","122611","3","0.2",""
"17013","sjr_talk_thinking_light","sjr_talk_thinking_blink_light","1","0","0","17","122511","3","0.2",""
"17014","0","vo_minigame_1010_top_talk_2_005","","0","","17","vo_minigame_1010","21","",""
"17015","1","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","0","6","0","17","122511","11","0","0.5"
"17016","","","","","","17","0","91","",""
"17017","","sjr_talk_idle","","1","","17","122511","3","0.2",""
"18001","72","122611","-194","100","1","18","1","1","1.65","sjr_talk_idle"
"18002","-72","122511","-194","100","0","18","1","1","1.65","sjr_talk_idle"
"18003","","sjr_talk_wish_surprise","","1","","18","122611","3","0.2",""
"18004","0","vo_minigame_1010_top_talk_2_006","","0","","18","vo_minigame_1010","21","",""
"18005","1","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","0","6","0","18","122611","11","0","0.5"
"18006","","","","","","18","0","91","",""
"18007","","sjr_talk_idle","","1","","18","122611","3","0.2",""
"18008","sjr_talk_arm_crossed_normal2_loop","sjr_talk_arm_crossed_normal2","1","0","0","18","122511","3","0.2",""
"18009","0","vo_minigame_1010_top_talk_2_007","","0","","18","vo_minigame_1010","21","",""
"18010","1","不能在意喔！\n這種時候坦率地\n享受是最好的！","0","6","0","18","122511","11","0","0.5"
"18011","","","","","","18","0","91","",""
"18012","","sjr_talk_idle","","1","","18","122511","3","0.2",""
"19001","72","122611","-194","100","1","19","1","1","1.65","sjr_talk_idle"
"19002","-72","122411","-194","100","0","19","1","1","1.65","sjr_talk_idle"
"19003","sjr_talk_idle_joy","sjr_talk_wave_hand","1","0","0","19","122611","3","0.2",""
"19004","0","vo_minigame_1010_top_talk_2_008","","0","","19","vo_minigame_1010","21","",""
"19005","1","日和\n覺得享受嗎？","0","8","0","19","122611","11","0","0.5"
"19006","","","","","","19","0","91","",""
"19007","","sjr_talk_idle","","1","","19","122611","3","0.2",""
"19008","sjr_talk_swing_joy2","sjr_talk_fun","1","0","0","19","122411","3","0.2",""
"19009","0","vo_minigame_1010_top_talk_2_009","","0","","19","vo_minigame_1010","21","",""
"19010","1","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","0","7","0","19","122411","11","0","0.5"
"19011","","","","","","19","0","91","",""
"19012","","sjr_talk_idle","","1","","19","122411","3","0.2",""
"19013","","sjr_talk_laugh","","1","","19","122611","3","0.2",""
"19014","0","vo_minigame_1010_top_talk_2_010","","0","","19","vo_minigame_1010","21","",""
"19015","1","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","0","7","0","19","122611","11","0","0.5"
"19016","","","","","","19","0","91","",""
"19017","","sjr_talk_idle","","1","","19","122611","3","0.2",""
"20001","72","122611","-194","100","1","20","1","1","1.65","sjr_talk_idle"
"20002","-72","122411","-194","100","0","20","1","1","1.65","sjr_talk_idle"
"20003","sjr_talk_guts2_loop","sjr_talk_guts2","1","0","0","20","122411","3","0.2",""
"20004","0","vo_minigame_1010_top_talk_2_011","","0","","20","vo_minigame_1010","21","",""
"20005","1","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","0","6","0","20","122411","11","0","0.5"
"20006","","","","","","20","0","91","",""
"20007","","sjr_talk_idle","","1","","20","122411","3","0.2",""
"20008","sjr_talk_mouth_hidden_guru","sjr_talk_mouth_hidden_dere_guru","1","0","0","20","122611","3","0.2",""
"20009","0","vo_minigame_1010_top_talk_2_012","","0","","20","vo_minigame_1010","21","",""
"20010","1","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","0","5","0","20","122611","11","0","0.5"
"20011","","","","","","20","0","91","",""
"20012","sjr_talk_shock_loop","sjr_talk_shock","1","0","0","20","122411","3","0.2",""
"20013","0","vo_minigame_1010_top_talk_2_013","","0","","20","vo_minigame_1010","21","",""
"20014","1","哇──！？\n優衣！？\n妳眼睛在轉喔──！？","0","15","0","20","122411","11","0","0.5"
"20015","","","","","","20","0","91","",""
"20016","","sjr_talk_idle","","1","","20","122611","3","0.2",""
"20017","","sjr_talk_idle","","1","","20","122411","3","0.2",""
"21001","72","122611","-194","100","1","21","1","1","1.65","sjr_talk_idle"
"21002","-72","122411","-194","100","0","21","1","1","1.65","sjr_talk_idle"
"21003","","sjr_talk_worry_sad","","1","","21","122611","3","0.2",""
"21004","0","vo_minigame_1010_top_talk_2_014","","0","","21","vo_minigame_1010","21","",""
"21005","1","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","0","6","0","21","122611","11","0","0.5"
"21006","","","","","","21","0","91","",""
"21007","","sjr_talk_idle","","1","","21","122611","3","0.2",""
"21008","sjr_talk_guts2_joy_loop","sjr_talk_laugh_guts","0","0","0","21","122411","3","0.2",""
"21009","0","vo_minigame_1010_top_talk_2_015","","0","","21","vo_minigame_1010","21","",""
"21010","1","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","0","5","0","21","122411","11","0","0.5"
"21011","","","","","","21","0","91","",""
"21012","","sjr_talk_idle","","1","","21","122411","3","0.2",""
"22001","72","122511","-194","100","1","22","1","1","1.65","sjr_talk_idle"
"22002","-72","122411","-194","100","0","22","1","1","1.65","sjr_talk_idle"
"22003","sjr_talk_arm_crossed_normal_loop","sjr_talk_arm_crossed_normal","1","0","0","22","122511","3","0.2",""
"22004","0","vo_minigame_1010_top_talk_2_016","","0","","22","vo_minigame_1010","21","",""
"22005","1","就算對手是日和，\n我也沒打算輸喔。","0","5","0","22","122511","11","0","0.5"
"22006","","","","","","22","0","91","",""
"22007","","sjr_talk_idle","","1","","22","122511","3","0.2",""
"22008","sjr_talk_guts_loop","sjr_talk_guts","1","0","0","22","122411","3","0.2",""
"22009","0","vo_minigame_1010_top_talk_2_017","","0","","22","vo_minigame_1010","21","",""
"22010","1","對手是怜的話，\n我也會\n火力全開喔！","0","6","0","22","122411","11","0","0.5"
"22011","","","","","","22","0","91","",""
"22012","","sjr_talk_idle","","1","","22","122411","3","0.2",""
"23001","72","122511","-194","100","1","23","1","1","1.65","sjr_talk_idle"
"23002","-72","122411","-194","100","0","23","1","1","1.65","sjr_talk_idle"
"23003","sjr_talk_eieio_loop","sjr_talk_fun_eieio","1","0","0","23","122411","3","0.2",""
"23004","0","vo_minigame_1010_top_talk_2_018","","0","","23","vo_minigame_1010","21","",""
"23005","1","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","0","5","0","23","122411","11","0","0.5"
"23006","","","","","","23","0","91","",""
"23007","","sjr_talk_idle","","1","","23","122411","3","0.2",""
"23008","","sjr_talk_mouth_hidden_sad","","1","","23","122511","3","0.2",""
"23009","0","vo_minigame_1010_top_talk_2_019","","0","","23","vo_minigame_1010","21","",""
"23010","1","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","0","6","0","23","122511","11","0","0.5"
"23011","","","","","","23","0","91","",""
"23012","","sjr_talk_idle","","1","","23","122511","3","0.2",""
"23013","sjr_talk_arm_opened_guru","sjr_talk_arm_opened_joy_guru","1","0","0","23","122411","3","0.2",""
"23014","0","vo_minigame_1010_top_talk_2_020","","0","","23","vo_minigame_1010","21","",""
"23015","1","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","0","4","0","23","122411","11","0","0.5"
"23016","","","","","","23","0","91","",""
"23017","","sjr_talk_idle","","1","","23","122411","3","0.2",""
"24001","72","122511","-194","100","1","24","1","1","1.65","sjr_talk_idle"
"24002","-72","122411","-194","100","0","24","1","1","1.65","sjr_talk_idle"
"24003","","sjr_talk_mouth_hidden_sad","","1","","24","122411","3","0.2",""
"24004","0","vo_minigame_1010_top_talk_2_021","","0","","24","vo_minigame_1010","21","",""
"24005","1","優衣不要緊吧～？\n希望她別跌倒\n就好了……","0","5","0","24","122411","11","0","1"
"24006","","","","","","24","0","91","",""
"24007","","sjr_talk_idle","","1","","24","122411","3","0.2",""
"24008","sjr_talk_arm_crossed_joy_loop","sjr_talk_arm_crossed_normal_joy","0","0","0","24","122511","3","0.2",""
"24009","0","vo_minigame_1010_top_talk_2_022","","0","","24","vo_minigame_1010","21","",""
"24010","1","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","0","4","0","24","122511","11","0","0.5"
"24011","","","","","","24","0","91","",""
"24012","","sjr_talk_idle","","1","","24","122511","3","0.2",""
"24013","","sjr_talk_laugh","","1","","24","122411","3","0.2",""
"24014","0","vo_minigame_1010_top_talk_2_023","","0","","24","vo_minigame_1010","21","",""
"24015","1","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","0","6","0","24","122411","11","0","0.5"
"24016","","","","","","24","0","91","",""
"24017","","sjr_talk_idle","","1","","24","122411","3","0.2",""
