42d0b0020d05e0b63b536f0fad0269525912830645df28c52e327df5ce6854dc,a30c68f552229e392dc26df2dc33d0f618ebe10966fb2258e4e5beeecf44ab5a,9c2599832e810147f3dcc2c6e19ff4b60f9c772fd5ac36ba219cecc8de2d1a72,216342d81c4069ad39c59eed4ee88d481174007bfbef4c0a1c23e0d5915ebd8c,31720c7d84ce773814183def87460d2342a6523d4e725db6e7f971d6432cb05b,b8b24aa56bc8d5bf2d642a3cc01348eeaf1cf0a56038749bfdb0116ca994b930,2fd1e13742ad7eff7c86bee836cbbf35fef24b5c7e11ed30e880e2acb6a2dd50,1dddb08dd8b80f2700ec2960a33b24fa187913b54f89280f3bd79605dfcf93ae,8d56ce5f4426e9547a745a039a6f43c853d4548285790a46bd9ee01a0d49cc00
"320010507","46","50","59","0.65","3","2","0","0"
"320010508","47","-10","0","1.05","1","1","0","0"
"320010509","48","-10","-15","1.05","1","1","0","0"
"320010510","49","-45","-85","0.43","1","1","0","0"
"320010510","50","-45","85","0.43","2","2","0","0"
"320020106","51","11","43.5","0.7","1","1","0","502002102"
"320020106","52","67","13","0.65","2","3","0","502002103"
"320020106","53","49","-74","0.65","3","2","0","0"
"320020107","54","13","-49","0.7","1","1","0","502002108"
"320020107","55","62","-4","0.85","2","3","0","502002109"
"320020107","56","50","59","0.65","3","2","0","0"
"320020108","57","-10","0","1.05","1","1","0","0"
"320020109","58","-10","-15","1.05","1","1","0","0"
"320020110","59","-45","-85","0.43","1","1","0","0"
"320020110","60","-45","85","0.43","2","2","0","0"
"320020206","61","11","43.5","0.7","1","1","0","502002202"
"320020206","62","67","13","0.65","2","3","0","502002203"
"320020206","63","49","-74","0.65","3","2","0","0"
"320020207","64","13","-49","0.7","1","1","0","502002208"
"320020207","65","62","-4","0.85","2","3","0","502002209"
"320020207","66","50","59","0.65","3","2","0","0"
"320020208","67","-10","0","1.05","1","1","0","0"
"320020209","68","-10","-15","1.05","1","1","0","0"
"320020210","69","-45","-85","0.43","1","1","0","0"
"320020210","70","-45","85","0.43","2","2","0","0"
"320020306","71","11","43.5","0.7","1","1","0","502002302"
"320020306","72","67","13","0.65","2","3","0","502002303"
"320020306","73","49","-74","0.65","3","2","0","0"
"320020307","74","13","-49","0.7","1","1","0","502002308"
"320020307","75","62","-4","0.85","2","3","0","502002309"
"320020307","76","50","59","0.65","3","2","0","0"
"320020308","77","-10","0","1.05","1","1","0","0"
"320020309","78","-10","-15","1.05","1","1","0","0"
"320020310","79","-45","-85","0.43","1","1","0","0"
"320020310","80","-45","85","0.43","2","2","0","0"
"320020406","81","11","43.5","0.7","1","1","0","502002402"
"320020406","82","67","13","0.65","2","3","0","502002403"
"320020406","83","49","-74","0.65","3","2","0","0"
"320020407","84","13","-49","0.7","1","1","0","502002408"
"320020407","85","62","-4","0.85","2","3","0","502002409"
"320020407","86","50","59","0.65","3","2","0","0"
"320020408","87","-10","0","1.05","1","1","0","0"
"320020409","88","-10","-15","1.05","1","1","0","0"
"320020410","89","-45","-85","0.43","1","1","0","0"
"320020410","90","-45","85","0.43","2","2","0","0"
"320020506","91","11","43.5","0.7","1","1","0","502002502"
"320020506","92","67","13","0.65","2","3","0","502002503"
"320020506","93","49","-74","0.65","3","2","0","0"
"320020507","94","13","-49","0.7","1","1","0","502002508"
"320020507","95","62","-4","0.85","2","3","0","502002509"
"320020507","96","50","59","0.65","3","2","0","0"
"320020508","97","-10","0","1.05","1","1","0","0"
"320020509","98","-10","-15","1.05","1","1","0","0"
"320020510","99","-45","-85","0.43","1","1","0","0"
"320020510","100","-45","85","0.43","2","2","0","0"
"320030106","101","11","43.5","0.7","1","1","0","502003102"
"320030106","102","67","13","0.65","2","2","0","502003103"
"320030106","103","49","-74","0.65","3","3","0","0"
"320030107","104","13","-49","0.7","1","1","0","502003108"
"320030107","105","62","-4","0.85","2","3","0","502003109"
"320030107","106","50","59","0.65","3","2","0","0"
"320030108","107","-10","0","1.05","1","1","0","0"
"320030109","108","-10","-15","1.05","1","1","0","0"
"320030110","109","-45","-85","0.43","1","1","0","0"
"320030110","110","-45","85","0.43","2","2","0","0"
"320030206","111","11","43.5","0.7","1","1","0","502003202"
"320030206","112","67","13","0.65","2","2","0","502003203"
"320030206","113","49","-74","0.65","3","3","0","0"
"320030207","114","13","-49","0.7","1","1","0","502003208"
"320030207","115","62","-4","0.85","2","3","0","502003209"
"320030207","116","50","59","0.65","3","2","0","0"
"320030208","117","-10","0","1.05","1","1","0","0"
"320030209","118","-10","-15","1.05","1","1","0","0"
"320030210","119","-45","-85","0.43","1","1","0","0"
"320030210","120","-45","85","0.43","2","2","0","0"
"320030306","121","11","43.5","0.7","1","1","0","502003302"
"320030306","122","67","13","0.65","2","2","0","502003303"
"320030306","123","49","-74","0.65","3","3","0","0"
"320030307","124","13","-49","0.7","1","1","0","502003308"
"320030307","125","62","-4","0.85","2","3","0","502003309"
"320030307","126","50","59","0.65","3","2","0","0"
"320030308","127","-10","0","1.05","1","1","0","0"
"320030309","128","-10","-15","1.05","1","1","0","0"
"320030310","129","-45","-85","0.43","1","1","0","0"
"320030310","130","-45","85","0.43","2","2","0","0"
"320030406","131","11","43.5","0.7","1","1","0","502003402"
"320030406","132","67","13","0.65","2","2","0","502003403"
"320030406","133","49","-74","0.65","3","3","0","0"
"320030407","134","13","-49","0.7","1","1","0","502003408"
"320030407","135","62","-4","0.85","2","3","0","502003409"
"320030407","136","50","59","0.65","3","2","0","0"
"320030408","137","-10","0","1.05","1","1","0","0"
"320030409","138","-10","-15","1.05","1","1","0","0"
"320030410","139","-45","-85","0.43","1","1","0","0"
"320030410","140","-45","85","0.43","2","2","0","0"
"320030506","141","11","43.5","0.7","1","1","0","502003502"
"320030506","142","67","13","0.65","2","2","0","502003503"
"320030506","143","49","-74","0.65","3","3","0","0"
"320030507","144","13","-49","0.7","1","1","0","502003508"
"320030507","145","62","-4","0.85","2","3","0","502003509"
"320030507","146","50","59","0.65","3","2","0","0"
"320030508","147","-10","0","1.05","1","1","0","0"
"320030509","148","-10","-15","1.05","1","1","0","0"
"320030510","149","-45","-85","0.43","1","1","0","0"
"320030510","150","-45","85","0.43","2","2","0","0"
"320040106","151","49","-74","0.7","1","1","0","502004103"
"320040106","152","67","13","0.85","2","3","0","502004104"
"320040106","153","11","43.5","0.65","3","2","0","0"
"320040107","154","50","59","0.7","1","1","0","502004107"
"320040107","155","62","-4","0.85","2","3","0","502004109"
"320040107","156","13","-49","0.65","3","2","0","0"
"320040108","157","-10","0","0.8","1","1","0","0"
"320040109","158","20","30","0.9","1","1","0","0"
"320040110","159","-25","20","1","1","1","0","0"
"320040206","160","49","-74","0.7","1","1","0","502004203"
"320040206","161","67","13","0.85","2","3","0","502004204"
"320040206","162","11","43.5","0.65","3","2","0","0"
"320040207","163","50","59","0.7","1","1","0","502004207"
"320040207","164","62","-4","0.85","2","3","0","502004209"
"320040207","165","13","-49","0.65","3","2","0","0"
"320040208","166","-10","0","0.8","1","1","0","0"
"320040209","167","20","30","0.9","1","1","0","0"
"320040210","168","-25","20","1","1","1","0","0"
"320040306","169","49","-74","0.7","1","1","0","502004303"
"320040306","170","67","13","0.85","2","3","0","502004304"
"320040306","171","11","43.5","0.65","3","2","0","0"
"320040307","172","50","59","0.7","1","1","0","502004307"
"320040307","173","62","-4","0.85","2","3","0","502004309"
"320040307","174","13","-49","0.65","3","2","0","0"
"320040308","175","-10","0","0.8","1","1","0","0"
"320040309","176","20","30","0.9","1","1","0","0"
"320040310","177","-25","20","1","1","1","0","0"
"320040406","178","49","-74","0.7","1","1","0","502004403"
"320040406","179","67","13","0.85","2","3","0","502004404"
"320040406","180","11","43.5","0.65","3","2","0","0"
"320040407","181","50","59","0.7","1","1","0","502004407"
"320040407","182","62","-4","0.85","2","3","0","502004409"
"320040407","183","13","-49","0.65","3","2","0","0"
"320040408","184","-10","0","0.8","1","1","0","0"
"320040409","185","20","30","0.9","1","1","0","0"
"320040410","186","-25","20","1","1","1","0","0"
"320040506","187","49","-74","0.7","1","1","0","502004503"
"320040506","188","67","13","0.85","2","3","0","502004504"
"320040506","189","11","43.5","0.65","3","2","0","0"
"320040507","190","50","59","0.7","1","1","0","502004507"
"320040507","191","62","-4","0.85","2","3","0","502004509"
"320040507","192","13","-49","0.65","3","2","0","0"
"320040508","193","-10","0","0.8","1","1","0","0"
"320040509","194","20","30","0.9","1","1","0","0"
"320040510","195","-25","20","1","1","1","0","0"
"320050106","196","40","-74","0.7","1","2","0","502005101"
"320050106","197","67","13","1","2","3","0","502005103"
"320050106","198","11","43.5","0.65","3","1","0","0"
"320050107","199","50","59","0.7","1","2","0","502005106"
"320050107","200","62","30","0.9","2","3","0","502005108"
"320050107","201","13","-49","0.65","3","1","0","0"
"320050108","202","10","5","0.75","1","1","0","0"
"320050109","203","10","-10","0.75","1","1","0","0"
"320050110","204","-25","20","1","1","1","0","0"
"320050206","205","40","-74","0.7","1","2","0","502005201"
"320050206","206","67","13","1","2","3","0","502005203"
"320050206","207","11","43.5","0.65","3","1","0","0"
"320050207","208","50","59","0.7","1","2","0","502005206"
"320050207","209","62","30","0.9","2","3","0","502005208"
"320050207","210","13","-49","0.65","3","1","0","0"
"320050208","211","10","5","0.75","1","1","0","0"
"320050209","212","10","-10","0.75","1","1","0","0"
"320050210","213","-25","20","1","1","1","0","0"
"320050306","214","40","-74","0.7","1","2","0","502005301"
"320050306","215","67","13","1","2","3","0","502005303"
"320050306","216","11","43.5","0.65","3","1","0","0"
"320050307","217","50","59","0.7","1","2","0","502005306"
"320050307","218","62","30","0.9","2","3","0","502005308"
"320050307","219","13","-49","0.65","3","1","0","0"
"320050308","220","10","5","0.75","1","1","0","0"
"320050309","221","10","-10","0.75","1","1","0","0"
"320050310","222","-25","20","1","1","1","0","0"
"320050406","223","40","-74","0.7","1","2","0","502005401"
"320050406","224","67","13","1","2","3","0","502005403"
"320050406","225","11","43.5","0.65","3","1","0","0"
"320050407","226","50","59","0.7","1","2","0","502005406"
"320050407","227","62","30","0.9","2","3","0","502005408"
"320050407","228","13","-49","0.65","3","1","0","0"
"320050408","229","10","5","0.75","1","1","0","0"
"320050409","230","10","-10","0.75","1","1","0","0"
"320050410","231","-25","20","1","1","1","0","0"
"320050506","232","40","-74","0.7","1","2","0","502005501"
"320050506","233","67","13","1","2","3","0","502005503"
"320050506","234","11","43.5","0.65","3","1","0","0"
"320050507","235","50","59","0.7","1","2","0","502005506"
"320050507","236","62","30","0.9","2","3","0","502005508"
"320050507","237","13","-49","0.65","3","1","0","0"
"320050508","238","10","5","0.75","1","1","0","0"
"320050509","239","10","-10","0.75","1","1","0","0"
"320050510","240","-25","20","1","1","1","0","0"
"320060106","241","40","-74","0.7","1","2","0","502006101"
"320060106","242","67","13","0.7","2","3","0","502006103"
"320060106","243","11","43.5","0.65","3","1","0","0"
"320060107","244","50","59","0.7","1","2","0","502006106"
"320060107","245","62","30","0.9","2","3","0","502006108"
"320060107","246","13","-49","0.65","3","1","0","0"
"320060108","247","10","5","1","1","1","0","0"
"320060109","248","10","-10","1.2","1","1","0","0"
"320060110","249","-25","20","1","1","1","0","0"
"320060206","250","40","-74","0.7","1","2","0","502006201"
"320060206","251","67","13","0.7","2","3","0","502006203"
"320060206","252","11","43.5","0.65","3","1","0","0"
"320060207","253","50","59","0.7","1","2","0","502006206"
"320060207","254","62","30","0.9","2","3","0","502006208"
"320060207","255","13","-49","0.65","3","1","0","0"
"320060208","256","10","5","1","1","1","0","0"
"320060209","257","10","-10","1.2","1","1","0","0"
"320060210","258","-25","20","1","1","1","0","0"
"320060306","259","40","-74","0.7","1","2","0","502006301"
"320060306","260","67","13","0.7","2","3","0","502006303"
"320060306","261","11","43.5","0.65","3","1","0","0"
"320060307","262","50","59","0.7","1","2","0","502006306"
"320060307","263","62","30","0.9","2","3","0","502006308"
"320060307","264","13","-49","0.65","3","1","0","0"
"320060308","265","10","5","1","1","1","0","0"
"320060309","266","10","-10","1.2","1","1","0","0"
"320060310","267","-25","20","1","1","1","0","0"
"320060406","268","40","-74","0.7","1","2","0","502006401"
"320060406","269","67","13","0.7","2","3","0","502006403"
"320060406","270","11","43.5","0.65","3","1","0","0"
"320060407","271","50","59","0.7","1","2","0","502006406"
"320060407","272","62","30","0.9","2","3","0","502006408"
"320060407","273","13","-49","0.65","3","1","0","0"
"320060408","274","10","5","1","1","1","0","0"
"320060409","275","10","-10","1.2","1","1","0","0"
"320060410","276","-25","20","1","1","1","0","0"
"320060506","277","40","-74","0.7","1","2","0","502006501"
"320060506","278","67","13","0.7","2","3","0","502006503"
"320060506","279","11","43.5","0.65","3","1","0","0"
"320060507","280","50","59","0.7","1","2","0","502006506"
"320060507","281","62","30","0.9","2","3","0","502006508"
"320060507","282","13","-49","0.65","3","1","0","0"
"320060508","283","10","5","1","1","1","0","0"
"320060509","284","10","-10","1.2","1","1","0","0"
"320060510","285","-25","20","1","1","1","0","0"
"320070106","286","40","-74","0.7","1","2","0","502007101"
"320070106","287","67","43","0.7","2","3","0","502007103"
"320070106","288","11","43.5","0.65","3","1","0","0"
"320070107","289","50","59","0.7","1","2","0","502007106"
"320070107","290","62","30","0.9","2","3","0","502007108"
"320070107","291","13","-49","0.65","3","1","0","0"
"320070108","292","20","5","0.9","1","1","0","0"
"320070109","293","20","0","0.9","1","1","0","0"
"320070110","294","-20","-20","1","1","1","0","0"
"320070206","295","40","-74","0.7","1","2","0","502007201"
"320070206","296","67","43","0.7","2","3","0","502007203"
"320070206","297","11","43.5","0.65","3","1","0","0"
"320070207","298","50","59","0.7","1","2","0","502007206"
"320070207","299","62","30","0.9","2","3","0","502007208"
"320070207","300","13","-49","0.65","3","1","0","0"
"320070208","301","20","5","0.9","1","1","0","0"
"320070209","302","20","0","0.9","1","1","0","0"
"320070210","303","-20","-20","1","1","1","0","0"
"320070306","304","40","-74","0.7","1","2","0","502007301"
"320070306","305","67","43","0.7","2","3","0","502007303"
"320070306","306","11","43.5","0.65","3","1","0","0"
"320070307","307","50","59","0.7","1","2","0","502007306"
"320070307","308","62","30","0.9","2","3","0","502007308"
"320070307","309","13","-49","0.65","3","1","0","0"
"320070308","310","20","5","0.9","1","1","0","0"
"320070309","311","20","0","0.9","1","1","0","0"
"320070310","312","-20","-20","1","1","1","0","0"
"320070406","313","40","-74","0.7","1","2","0","502007401"
"320070406","314","67","43","0.7","2","3","0","502007403"
"320070406","315","11","43.5","0.65","3","1","0","0"
"320070407","316","50","59","0.7","1","2","0","502007406"
"320070407","317","62","30","0.9","2","3","0","502007408"
"320070407","318","13","-49","0.65","3","1","0","0"
"320070408","319","20","5","0.9","1","1","0","0"
"320070409","320","20","0","0.9","1","1","0","0"
"320070410","321","-20","-20","1","1","1","0","0"
"320070506","322","40","-74","0.7","1","2","0","502007501"
"320070506","323","67","43","0.7","2","3","0","502007503"
"320070506","324","11","43.5","0.65","3","1","0","0"
"320070507","325","50","59","0.7","1","2","0","502007506"
"320070507","326","62","30","0.9","2","3","0","502007508"
"320070507","327","13","-49","0.65","3","1","0","0"
"320070508","328","20","5","0.9","1","1","0","0"
"320070509","329","20","0","0.9","1","1","0","0"
"320070510","330","-20","-20","1","1","1","0","0"
"320080106","331","40","-74","0.7","1","2","0","502008101"
"320080106","332","67","43","0.9","2","3","0","502008103"
"320080106","333","11","43.5","0.65","3","1","0","0"
"320080107","334","50","59","0.7","1","2","0","502008106"
"320080107","335","62","30","0.9","2","3","0","502008108"
"320080107","336","13","-49","0.65","3","1","0","0"
"320080108","337","20","5","0.8","1","1","0","0"
"320080109","338","20","0","1.1","1","1","0","0"
"320080110","339","-20","-20","1","1","1","0","0"
"320080206","340","40","-74","0.7","1","2","0","502008201"
"320080206","341","67","43","0.9","2","3","0","502008203"
"320080206","342","11","43.5","0.65","3","1","0","0"
"320080207","343","50","59","0.7","1","2","0","502008206"
"320080207","344","62","30","0.9","2","3","0","502008208"
"320080207","345","13","-49","0.65","3","1","0","0"
"320080208","346","20","5","0.8","1","1","0","0"
"320080209","347","20","0","1.1","1","1","0","0"
"320080210","348","-20","-20","1","1","1","0","0"
"320080306","349","40","-74","0.7","1","2","0","502008301"
"320080306","350","67","43","0.9","2","3","0","502008303"
"320080306","351","11","43.5","0.65","3","1","0","0"
"320080307","352","50","59","0.7","1","2","0","502008306"
"320080307","353","62","30","0.9","2","3","0","502008308"
"320080307","354","13","-49","0.65","3","1","0","0"
"320080308","355","20","5","0.8","1","1","0","0"
"320080309","356","20","0","1.1","1","1","0","0"
"320080310","357","-20","-20","1","1","1","0","0"
"320080406","358","40","-74","0.7","1","2","0","502008401"
"320080406","359","67","43","0.9","2","3","0","502008403"
"320080406","360","11","43.5","0.65","3","1","0","0"
"320080407","361","50","59","0.7","1","2","0","502008406"
"320080407","362","62","30","0.9","2","3","0","502008408"
"320080407","363","13","-49","0.65","3","1","0","0"
"320080408","364","20","5","0.8","1","1","0","0"
"320080409","365","20","0","1.1","1","1","0","0"
"320080410","366","-20","-20","1","1","1","0","0"
"320080506","367","40","-74","0.7","1","2","0","502008501"
"320080506","368","67","43","0.9","2","3","0","502008503"
"320080506","369","11","43.5","0.65","3","1","0","0"
"320080507","370","50","59","0.7","1","2","0","502008506"
"320080507","371","62","30","0.9","2","3","0","502008508"
"320080507","372","13","-49","0.65","3","1","0","0"
"320080508","373","20","5","0.8","1","1","0","0"
"320080509","374","20","0","1.1","1","1","0","0"
"320080510","375","-20","-20","1","1","1","0","0"
"320090106","376","40","-74","0.7","1","2","0","502009101"
"320090106","377","67","13","1","2","3","0","502009103"
"320090106","378","11","43.5","0.65","3","1","0","0"
"320090107","379","50","-68","0.7","1","2","0","502009106"
"320090107","380","62","30","0.9","2","3","0","502009108"
"320090107","381","13","29","0.65","3","1","0","0"
"320090108","382","10","5","0.75","1","1","0","0"
"320090109","383","10","0","1","1","1","0","0"
"320090110","384","-20","-20","1","1","1","0","0"
"320090206","385","40","-74","0.7","1","2","0","502009201"
"320090206","386","67","13","1","2","3","0","502009203"
"320090206","387","11","43.5","0.65","3","1","0","0"
"320090207","388","50","-68","0.7","1","2","0","502009206"
"320090207","389","62","30","0.9","2","3","0","502009208"
"320090207","390","13","29","0.65","3","1","0","0"
"320090208","391","10","5","0.75","1","1","0","0"
"320090209","392","10","0","1","1","1","0","0"
"320090210","393","-20","-20","1","1","1","0","0"
"320090306","394","40","-74","0.7","1","2","0","502009301"
"320090306","395","67","13","1","2","3","0","502009303"
"320090306","396","11","43.5","0.65","3","1","0","0"
"320090307","397","50","-68","0.7","1","2","0","502009306"
"320090307","398","62","30","0.9","2","3","0","502009308"
"320090307","399","13","29","0.65","3","1","0","0"
"320090308","400","10","5","0.75","1","1","0","0"
"320090309","401","10","0","1","1","1","0","0"
"320090310","402","-20","-20","1","1","1","0","0"
"320090406","403","40","-74","0.7","1","2","0","502009401"
"320090406","404","67","13","1","2","3","0","502009403"
"320090406","405","11","43.5","0.65","3","1","0","0"
"320090407","406","50","-68","0.7","1","2","0","502009406"
"320090407","407","62","30","0.9","2","3","0","502009408"
"320090407","408","13","29","0.65","3","1","0","0"
"320090408","409","10","5","0.75","1","1","0","0"
"320090409","410","10","0","1","1","1","0","0"
"320090410","411","-20","-20","1","1","1","0","0"
"320090506","412","40","-74","0.7","1","2","0","502009501"
"320090506","413","67","13","1","2","3","0","502009503"
"320090506","414","11","43.5","0.65","3","1","0","0"
"320090507","415","50","-68","0.7","1","2","0","502009506"
"320090507","416","62","30","0.9","2","3","0","502009508"
"320090507","417","13","29","0.65","3","1","0","0"
"320090508","418","10","5","0.75","1","1","0","0"
"320090509","419","10","0","1","1","1","0","0"
"320090510","420","-20","-20","1","1","1","0","0"
"320100106","421","40","-74","0.7","1","2","0","502010101"
"320100106","422","67","13","1","2","3","0","502010103"
"320100106","423","11","43.5","0.65","3","1","0","0"
"320100107","424","50","-68","0.7","1","2","0","502010106"
"320100107","425","62","30","0.9","2","3","0","502010108"
"320100107","426","13","29","0.65","3","1","0","0"
"320100108","427","60","40","0.9","1","1","0","0"
"320100109","428","10","0","1","1","1","0","0"
"320100110","429","-35","-20","1","1","1","0","0"
"320100206","430","40","-74","0.7","1","2","0","502010201"
"320100206","431","67","13","1","2","3","0","502010203"
"320100206","432","11","43.5","0.65","3","1","0","0"
"320100207","433","50","-68","0.7","1","2","0","502010206"
"320100207","434","62","30","0.9","2","3","0","502010208"
"320100207","435","13","29","0.65","3","1","0","0"
"320100208","436","60","40","0.9","1","1","0","0"
"320100209","437","10","0","1","1","1","0","0"
"320100210","438","-35","-20","1","1","1","0","0"
"320100306","439","40","-74","0.7","1","2","0","502010301"
"320100306","440","67","13","1","2","3","0","502010303"
"320100306","441","11","43.5","0.65","3","1","0","0"
"320100307","442","50","-68","0.7","1","2","0","502010306"
"320100307","443","62","30","0.9","2","3","0","502010308"
"320100307","444","13","29","0.65","3","1","0","0"
"320100308","445","60","40","0.9","1","1","0","0"
"320100309","446","10","0","1","1","1","0","0"
"320100310","447","-35","-20","1","1","1","0","0"
"320100406","448","40","-74","0.7","1","2","0","502010401"
"320100406","449","67","13","1","2","3","0","502010403"
"320100406","450","11","43.5","0.65","3","1","0","0"
"320100407","451","50","-68","0.7","1","2","0","502010406"
"320100407","452","62","30","0.9","2","3","0","502010408"
"320100407","453","13","29","0.65","3","1","0","0"
"320100408","454","60","40","0.9","1","1","0","0"
"320100409","455","10","0","1","1","1","0","0"
"320100410","456","-35","-20","1","1","1","0","0"
"320100506","457","40","-74","0.7","1","2","0","502010501"
"320100506","458","67","13","1","2","3","0","502010503"
"320100506","459","11","43.5","0.65","3","1","0","0"
"320100507","460","50","-68","0.7","1","2","0","502010506"
"320100507","461","62","30","0.9","2","3","0","502010508"
"320100507","462","13","29","0.65","3","1","0","0"
"320100508","463","60","40","0.9","1","1","0","0"
"320100509","464","10","0","1","1","1","0","0"
"320100510","465","-35","-20","1","1","1","0","0"
"320110106","466","40","-74","0.7","1","2","0","502011101"
"320110106","467","67","13","1","2","3","0","502011103"
"320110106","468","11","43.5","0.65","3","1","0","0"
"320110107","469","50","-98","0.7","1","2","0","502011106"
"320110107","470","72","0","1.1","2","3","0","502011108"
"320110107","471","13","49","0.65","3","1","0","0"
"320110108","472","30","-40","0.75","1","1","0","0"
"320110109","473","50","20","1.2","1","1","0","0"
"320110110","474","-35","-20","1.1","1","1","0","0"
"320110206","475","40","-74","0.7","1","2","0","502011201"
"320110206","476","67","13","1","2","3","0","502011203"
"320110206","477","11","43.5","0.65","3","1","0","0"
"320110207","478","50","-98","0.7","1","2","0","502011206"
"320110207","479","72","0","1.1","2","3","0","502011208"
"320110207","480","13","49","0.65","3","1","0","0"
"320110208","481","30","-40","0.75","1","1","0","0"
"320110209","482","50","20","1.2","1","1","0","0"
"320110210","483","-35","-20","1.1","1","1","0","0"
"320110306","484","40","-74","0.7","1","2","0","502011301"
"320110306","485","67","13","1","2","3","0","502011303"
"320110306","486","11","43.5","0.65","3","1","0","0"
"320110307","487","50","-98","0.7","1","2","0","502011306"
"320110307","488","72","0","1.1","2","3","0","502011308"
"320110307","489","13","49","0.65","3","1","0","0"
"320110308","490","30","-40","0.75","1","1","0","0"
"320110309","491","50","20","1.2","1","1","0","0"
"320110310","492","-35","-20","1.1","1","1","0","0"
"320110406","493","40","-74","0.7","1","2","0","502011401"
"320110406","494","67","13","1","2","3","0","502011403"
"320110406","495","11","43.5","0.65","3","1","0","0"
"320110407","496","50","-98","0.7","1","2","0","502011406"
"320110407","497","72","0","1.1","2","3","0","502011408"
"320110407","498","13","49","0.65","3","1","0","0"
"320110408","499","30","-40","0.75","1","1","0","0"
"320110409","500","50","20","1.2","1","1","0","0"
"320110410","501","-35","-20","1.1","1","1","0","0"
"320110506","502","40","-74","0.7","1","2","0","502011501"
"320110506","503","67","13","1","2","3","0","502011503"
"320110506","504","11","43.5","0.65","3","1","0","0"
"320110507","505","50","-98","0.7","1","2","0","502011506"
"320110507","506","72","0","1.1","2","3","0","502011508"
"320110507","507","13","49","0.65","3","1","0","0"
"320110508","508","30","-40","0.75","1","1","0","0"
"320110509","509","50","20","1.2","1","1","0","0"
"320110510","510","-35","-20","1.1","1","1","0","0"
"320120106","511","40","-74","0.7","1","2","0","502012101"
"320120106","512","67","10","1","2","3","0","502012103"
"320120106","513","11","43.5","0.65","3","1","0","0"
"320120107","514","50","-98","0.7","1","2","0","502012106"
"320120107","515","72","0","1","2","3","0","502012108"
"320120107","516","13","49","0.65","3","1","0","0"
"320120108","517","30","10","1.2","1","1","0","0"
"320120109","518","40","40","0.9","1","1","0","0"
"320120110","519","-35","-20","1.1","1","1","0","0"
"320120206","520","40","-74","0.7","1","2","0","502012201"
