d1845182db0c71aabb4067775c9c077ec388031c1a6d9c6be297f88657c1d047,a6ed0c595c7729c7a28f33d31cec99f705775b5b37d6ab8b5450f20cf0d86252,de120ff5f46cc3f30c46e47e5ebb37629ac9472789f7baeb82bb954afb0f84d0,051280ad1160a83d2c619de713a83fc6f3a9b6cafb54508a31ac4112980037b1,d4eba279a5e82d733e0bcc2d6c3cdddbfe2e5a9923873d43156823ee834aadf7,210b80bb5fb5efb9295689face7e13c0b4d96fc332f6660ec9f4a7d7abff5376,c1af3385bfe1ad94c16bb59a70e784ccfb988ae058bdf566352981a312825348,edefb385fa0c9ad9b46ed1a798ed84345895a0208c0db5eb3fc9b87a66621fef,668356c675841afdef82d20241a22f122a741a7e299eb0d3c6d31723f5d1c5b6,4a8f2c7bd77807e33ed7085a27312c2722e965d5945312c9bfe3980a65f1b475,0b0be1d340f2112411b033300858a21dca44b34d5ac98c2a8609ab867a7a3e6d
"120010002","","1","0","0","0","1","2001","1","31","0"
"120010003","","0","","","","","2001","1","35",""
"120010004","","1","","","","","2001","1","32",""
"120010005","","2","0","345.4","0","1","2001","2","31","1"
"120010006","","0","","","","","2001","2","35",""
"120010007","","3","0","345.4","0","1","2001","3","31","0"
"120010008","","0","","","","","2001","3","35",""
"120010009","","1","","","","","2001","3","32",""
"120010010","","31000001","0","-345.4","","1","2001","31000001","31","1"
"120010011","","31000002","0","345.4","","1","2001","31000002","31","1"
"120010012","","100","0","0","","1","2001","100","31","1"
"120010013","","101","0","0","","1","2001","101","31","0"
"120010014","","","","","","","2001","0","91",""
"120010015","","1","","","","","2001","100","35",""
"120010016","","look_in","look_loop","0","0","1","2001","1000001","3","0"
"120010017","","0","","","","","2001","1.3","93",""
"121010001","","998","0","0","","1","2101","12","31","0"
"121010002","","997","0","0","","1","2101","14","31","0"
"121010003","","996","0","0","","1","2101","16","31","0"
"121010004","","0","","","","","2101","31000001","32",""
"121010005","","0","","","","","2101","31000002","32",""
"121010006","","0","1","-1","","0","2101","0","121","0"
"121010007","","1","","","","","2101","1","35",""
"121010008","","1","","","","","2101","3","35",""
"121010009","","pointing","","0","","","2101","1000001","3","0"
"121010010","","0","","","","","2101","1","93",""
"121010011","","100","1.47","-1.47","","2","2101","505","121","0"
"121010012","","run_talk1","","1","","","2101","1000001","3","0.2"
"121010013","","100","1","-240","","0","2101","1000001","2",""
"121010014","","se_travel_treasure_cha_run","","0","","","2101","se_travel","23",""
"121010015","","0","","","","","2101","1","93",""
"122010001","","998","0","0","","1","2201","11","31","0"
"122010002","","997","0","0","","1","2201","13","31","0"
"122010003","","996","0","0","","1","2201","15","31","0"
"122010004","","0","","","","","2201","31000001","32",""
"122010005","","0","","","","","2201","31000002","32",""
"122010006","","1","","","","","2201","1","35",""
"122010007","","1","","","","","2201","3","35",""
"122010008","","pointing","","0","","","2201","1000001","3","0"
"122010009","","0","","","","","2201","1","93",""
"122010010","","100","1.47","1.47","","2","2201","-505","121","0"
"122010011","","run_talk1","","1","","","2201","1000001","3","0.2"
"122010012","","100","1","-240","","0","2201","1000001","2",""
"122010013","","se_travel_treasure_cha_run","","0","","","2201","se_travel","23",""
"122010014","","0","","","","","2201","1","93",""
"130000001","","300000","0","345.4","","1","3000","300000","31","0"
"130000002","","","","","","","3000","0","91",""
"130000003","","1.05","1.05","1.05","","7.4","3000","1.05","123","0"
"130000004","","wait","","0","","","3000","1000001","3","0.2"
"130000005","","1","","","","","3000","2","35",""
"130000006","","0","","","","","3000","4.9","93",""
"130000007","","0.95","0.95","0.95","","0.4","3000","0.95","123","0"
"130000008","","1","","","","","3000","300000","32",""
"130000009","","0","","","","","3000","0.1","93",""
"130000010","","0","","","","","3000","2","32",""
"130000011","","0","","","","","3000","0.1","93",""
"130000012","","1","","","","","3000","996","32",""
"130000013","","joy_from_wait","","0","","","3000","1000001","3","0"
"130000014","","0","","","","","3000","1.9","93",""
"130000015","","glad_from_joy","","0","","","3000","1000001","3","0"
"130000016","","0","","","","","3000","1.5","93",""
"130000017","","run_gatein","","1","","","3000","1000001","3","0.2"
"130000018","","se_travel_treasure_cha_run","","","","","3000","se_travel","23",""
"130000019","","450","1","-195","","0","3000","1000001","2",""
"130000020","","1","","","","","3000","0.5","93",""
"130000021","","1","1","1","0","0","3000","1000001","6","0.4"
"130000022","","0","","","","","3000","0.4","93",""
"130000023","","","","","","","3000","1","113",""
"130010001","","300100","0","345.4","","1","3001","300100","31","0"
"130010002","","990001","0","345.4","","1","3001","990001","31","1"
"130010003","","","","","","","3001","0","91",""
"130010004","","1.05","1.05","1.05","","7.4","3001","1.05","123","0"
"130010005","","wait","","0","","","3001","1000001","3","0.2"
"130010006","","1","","","","","3001","2","35",""
"130010007","","0","","","","","3001","5.4","93",""
"130010008","","0.95","0.95","0.95","","0.4","3001","0.95","123","0"
"130010009","","glad","","0","","","3001","1000001","3","0.2"
"130010010","","1","","","","","3001","300100","32",""
"130010011","","1","","","","","3001","996","32",""
"130010012","","0","","","","","3001","0.1","93",""
"130010013","","0","","","","","3001","2","32",""
"130010014","","0","","","","","3001","3","32",""
"130010015","","0","","","","","3001","1.5","93",""
"130010016","","joy","","0","","","3001","1000001","3","0.2"
"130010017","","0","","","","","3001","1.7","93",""
"130010018","","run_gatein","","1","","","3001","1000001","3","0"
"130010019","","450","1","-195","","0","3001","1000001","2",""
"130010020","","1","","","","","3001","0.5","93",""
"130010021","","1","1","1","0","0","3001","1000001","6","0.4"
"130010022","","0","","","","","3001","0.4","93",""
"130010023","","","","","","","3001","1","113",""
"130020001","","300100","0","345.4","","1","3002","300100","31","0"
"130020002","","990002","0","345.4","","1","3002","990002","31","1"
"130020003","","","","","","","3002","0","91",""
"130020004","","1.05","1.05","1.05","","7.4","3002","1.05","123","0"
"130020005","","wait","","0","","","3002","1000001","3","0.2"
"130020006","","1","","","","","3002","2","35",""
"130020007","","0","","","","","3002","5.4","93",""
"130020008","","0.95","0.95","0.95","","0.4","3002","0.95","123","0"
"130020009","","glad","","0","","","3002","1000001","3","0.2"
"130020010","","1","","","","","3002","300100","32",""
"130020011","","1","","","","","3002","996","32",""
"130020012","","0","","","","","3002","0.1","93",""
"130020013","","0","","","","","3002","2","32",""
"130020014","","0","","","","","3002","3","32",""
"130020015","","0","","","","","3002","1.5","93",""
"130020016","","joy","","0","","","3002","1000001","3","0.2"
"130020017","","0","","","","","3002","1.7","93",""
"130020018","","run_gatein","","1","","","3002","1000001","3","0"
"130020019","","450","1","-195","","0","3002","1000001","2",""
"130020020","","1","","","","","3002","0.5","93",""
"130020021","","1","1","1","0","0","3002","1000001","6","0.4"
"130020022","","0","","","","","3002","0.4","93",""
"130020023","","","","","","","3002","1","113",""
"130110001","","6","0","345.4","","1","3011","6","31","0"
"130110002","","8","0","345.4","","1","3011","8","31","0"
"130110003","","301100","0","345.4","","1","3011","301100","31","0"
"130110004","","","","","","","3011","0","91",""
"130110005","","1.05","1.05","1.05","","7.4","3011","1.05","123","0"
"130110006","","wait","","0","","","3011","1000001","3","0.2"
"130110007","","1","","","","","3011","2","35",""
"130110008","","0","","","","","3011","4.9","93",""
"130110009","","0.95","0.95","0.95","","0.3","3011","0.95","123","0"
"130110010","","se_travel_treasure_ghost_success","","0","","","3011","se_travel","23",""
"130110011","","1","","","","","3011","8","32",""
"130110012","","0","","","","","3011","8","35",""
"130110013","","1","","","","","3011","6","32",""
"130110014","","0","","","","","3011","0.1","93",""
"130110015","","0","","","","","3011","2","32",""
"130110016","","0","","","","","3011","3","32",""
"130110017","","dotEyes","","0","","","3011","1000001","3",""
"130110018","","0","","","","","3011","0.87","93",""
"130110019","","glad","","0","","","3011","1000001","3","0.2"
"130110020","","1","","","","","3011","301100","32",""
"130110021","","1","","","","","3011","8","35",""
"130110022","","0","","","","","3011","0.6","93",""
"130110023","","1","","","","","3011","996","32",""
"130110024","","0","","","","","3011","0.5","93",""
"130110025","","joy","","0","","","3011","1000001","3",""
"130110026","","0","","","","","3011","1.67","93",""
"130110027","","run_gatein","","1","","","3011","1000001","3","0"
"130110028","","450","1","-195","","0","3011","1000001","2",""
"130110029","","1","","","","","3011","0.5","93",""
"130110030","","1","1","1","0","0","3011","1000001","6","0.4"
"130110031","","0","","","","","3011","0.4","93",""
"130110032","","","","","","","3011","1","113",""
"130120001","","idle","","1","","","3012","1000001","3","0.2"
"130120002","","13","0","0","","1","3012","301200","31","0"
"130120003","","14","0","0","","1","3012","101","31","0"
"130120004","","16","-150","260","","1","3012","301204","31","0"
"130120005","","17","0","0","","1","3012","301205","31","0"
"130120006","","18","0","345.4","","1","3012","6","31","0"
"130120007","","20","0","345.4","","1","3012","301201","31","0"
"130120008","","21","0","345.4","","1","3012","301202","31","0"
"130120009","round_monster_walk","3","9340","55","0","-234","3012","1","5","1"
"130120010","","","","","","","3012","0","91",""
"130120011","","1","1","1","0","0","3012","3","6","0"
"130120012","","345","0","-234","0","0","3012","3","2","0"
"130120013","","1.05","1.05","1.05","0","7.4","3012","1.05","123","0"
"130120014","","wait","","0","","","3012","1000001","3","0.2"
"130120015","","1","","","","","3012","2","35",""
"130120016","","15","0","0","","1","3012","301203","31","0"
"130120017","<weapon>_run","1000002","9340","57","0","-250","3012","2","1","0.89"
"130120018","","0","","","","","3012","4.3","93",""
"130120019","","0.95","0.95","0.95","","0.4","3012","0.95","123","0"
"130120020","","1","","","","","3012","21","32",""
"130120021","","0","","","","","3012","21","35",""
"130120022","","se_travel_treasure_success_monster_helper_1","","","","","3012","se_travel","23",""
"130120023","","1","","","","","3012","18","32",""
"130120024","","0","","","","","3012","0.1","93",""
"130120025","","0","","","","","3012","2","32",""
"130120026","","1","1","1","0","1","3012","3","6","0.3"
"130120027","","1","","","","","3012","13","32",""
"130120028","","round_monster_appear","","0","","","3012","3","3",""
"130120029","","back","","0","","","3012","1000001","3",""
"130120030","","0","","","","","3012","0.67","93",""
"130120031","","round_monster_walk","","0","","","3012","3","3","0.2"
"130120032","","220","1.4","-234","","0","3012","3","2",""
"130120033","","1","","","","","3012","20","32",""
"130120034","","0","","","","","3012","0.1","93",""
"130120035","","0","","","","","3012","18","32",""
"130120036","","0","","","","","3012","0.5","93",""
"130120037","","1","","","","","3012","1000002","4",""
"130120038","","1445","0","-240","","0","3012","1000002","2",""
"130120039","","0","","","","","3012","0.5","93",""
"130120040","","round_monster_attack","","0","","","3012","3","3","0.3"
"130120041","","0","","","","","3012","0.5","93",""
"130120042","","1","","","","","3012","17","32",""
"130120043","","back_loop","","0","","","3012","1000001","3","0.1"
"130120044","","0","","","","","3012","0.5","93",""
"130120045","","950","0","-240","","0","3012","1000002","2",""
"130120046","","650","0.16","-240","","0","3012","1000002","2",""
"130120047","","<weapon>_run","","0","","","3012","1000002","3","0.2"
"130120048","","0","","","","","3012","0.16","93",""
"130120049","","<weapon>_attack_skipQuest","","0","","","3012","1000002","3","0.2"
"130120050","","0","","","","","3012","0.1","93",""
"130120051","","280","0","-234","","0","3012","3","2",""
"130120052","","1","","","","","3012","3","4",""
"130120053","","round_monster_die","","0","","","3012","3","3","0.2"
"130120054","","1","","","","","3012","16","32",""
"130120055","","0","","","","","3012","0.5","93",""
"130120056","","20","0","-240","","0","3012","1000001","2",""
"130120057","","back_origin","","0","","","3012","1000001","3","0"
"130120058","","surprise","","0","","","3012","1000001","3","0.2"
"130120059","","<weapon>_idle","","1","","","3012","1000002","3","0.2"
"130120060","","0","","","","","3012","0.66","93",""
"130120061","","1","","","","","3012","15","32",""
"130120062","","1","","","","","3012","996","32",""
"130120063","","1","1","1","","0","3012","3","6","0.6"
"130120064","","joy_short","","0","","","3012","1000001","3","0.2"
"130120065","","1","","","","","3012","18","32",""
"130120066","","0","","","","","3012","0.02","93",""
"130120067","","0","","","","","3012","20","32",""
"130120068","","0","","","","","3012","21","32",""
"130120069","","0","","","","","3012","1.5","93",""
"130120070","","smile","","0","","","3012","1000001","3","0.2"
"130120071","","<weapon>_run","","1","","","3012","1000002","3","0"
"130120072","","0","","","","","3012","1000002","4",""
"130120073","","1500","2","-250","","0","3012","1000002","2",""
"130120074","","0","","","","","3012","1","93",""
"130120075","","1","1","1","","0","3012","1000002","6","0.2"
"130120076","","run_gatein","","1","","","3012","1000001","3","0.2"
"130120077","","360","1","-200","","0","3012","1000001","2",""
"130120078","","0","","","","","3012","0.5","93",""
"130120079","","1","1","1","","0","3012","1000001","6","0.4"
"130120080","","0","","","","","3012","0.4","93",""
"130120081","","0","","","","","3012","1","113",""
"130130001","","301300","0","345.4","","1","3013","301300","31","0"
"130130002","","","","","","","3013","0","91",""
"130130003","","wait_gradeUp","","0","","","3013","1000001","3","0.2"
"130130004","","1","","","","","3013","301300","32",""
"130130005","","0","","","","","3013","0.1","93",""
"130130006","","0","","","","","3013","2","32",""
"130130007","","0","","","","","3013","0.8","93",""
"130130008","","1.05","1.05","1.05","","0","3013","1.05","123","0"
"130130009","","5","","0.5","","","3013","5","122",""
"130130010","","0","","","","","3013","1.1","93",""
"130130011","","1.05","1.05","1.05","","0","3013","1.05","123","0"
"130130012","","10","","0.5","","","3013","10","122",""
"130130013","","0","","","","","3013","0.8","93",""
"130130014","","glad","","0","","","3013","1000001","3","0.2"
"130130015","","0","","","","","3013","0.1","93",""
"130130016","","0.907","0.907","0.907","","2","3013","0.907","123","2"
"130130017","","0","","","","","3013","0.3","93",""
"130130018","","1","","","","","3013","996","32",""
"130130019","","0","","","","","3013","0.5","93",""
"130130020","","joy","","0","","","3013","1000001","3","0.2"
"130130021","","0","","","","","3013","1.7","93",""
"130130022","","run_gatein","","1","","","3013","1000001","3","0"
"130130023","","450","1","-195","","0","3013","1000001","2",""
"130130024","","1","","","","","3013","0.5","93",""
"130130025","","1","1","1","0","0","3013","1000001","6","0.4"
"130130026","","0","","","","","3013","0.4","93",""
"130130027","","","","","","","3013","1","113",""
"130140001","","301400","0","345.4","","1","3014","301400","31","0"
"130140002","","","","","","","3014","0","91",""
"130140003","","1.05","1.05","1.05","","7.4","3014","1.05","123","0"
"130140004","","wait","","0","","","3014","1000001","3","0.2"
"130140005","","1","","","","","3014","301400","32",""
"130140006","","0","","","","","3014","0.1","93",""
"130140007","","0","","","","","3014","2","32",""
"130140008","","0","","","","","3014","3.4","93",""
"130140009","","0.95","0.95","0.95","","3.2","3014","0.95","123","5"
"130140010","","0","","","","","3014","1.6","93",""
"130140011","","relief","","0","","","3014","1000001","3","0.2"
"130140012","","1","","","","","3014","996","32",""
"130140013","","0","","","","","3014","1.7","93",""
"130140014","","run_gatein","","1","","","3014","1000001","3","0"
"130140015","","450","1","-195","","0","3014","1000001","2",""
"130140016","","1","","","","","3014","0.5","93",""
"130140017","","1","1","1","0","0","3014","1000001","6","0.4"
"130140018","","0","","","","","3014","0.4","93",""
"130140019","","","","","","","3014","1","113",""
"130150001","","301501","0","345.4","","1","3015","301501","31","0"
"130150002","","301500","0","345.4","","1","3015","301500","31","1"
"130150003","","","","","","","3015","0","91",""
"130150004","","1.05","1.05","1.05","","7.4","3015","1.05","123","0"
"130150005","","wait_wakuwaku","","0","","","3015","1000001","3","0.2"
"130150006","","1","","","","","3015","2","35",""
"130150007","","0","","","","","3015","5.4","93",""
"130150008","","0.95","0.95","0.95","","0.4","3015","0.95","123","0"
"130150009","","glad","","0","","","3015","1000001","3","0.2"
"130150010","","1","","","","","3015","301501","32",""
"130150011","","1","","","","","3015","996","32",""
"130150012","","0","","","","","3015","0.1","93",""
"130150013","","0","","","","","3015","2","32",""
"130150014","","0","","","","","3015","3","32",""
"130150015","","0","","","","","3015","1.5","93",""
"130150016","","joy","","0","","","3015","1000001","3","0.2"
"130150017","","0","","","","","3015","1.7","93",""
"130150018","","run_gatein","","1","","","3015","1000001","3","0"
"130150019","","450","1","-195","","0","3015","1000001","2",""
"130150020","","1","","","","","3015","0.5","93",""
"130150021","","1","1","1","0","0","3015","1000001","6","0.4"
"130150022","","0","","","","","3015","0.4","93",""
"130150023","","","","","","","3015","1","113",""
"130160001","","6","0","345.4","","1","3016","6","31","0"
"130160002","","8","0","345.4","","1","3016","8","31","0"
"130160003","","301600","-80","345.4","","1","3016","301600","31","0"
"130160004","","301601","0","345.4","","1","3016","301601","31","0"
"130160005","","990002","0","345.4","","1","3016","990002","31","1"
"130160006","","","","","","","3016","0","91",""
"130160007","","1.05","1.05","1.05","","7.4","3016","1.05","123","0"
"130160008","","wait","","0","","","3016","1000001","3","0.2"
"130160009","","1","","","","","3016","2","35",""
"130160010","","0","","","","","3016","5.4","93",""
"130160011","","0.95","0.95","0.95","","0.4","3016","0.95","123","0"
"130160012","","1","","","","","3016","8","32",""
"130160013","","0","","","","","3016","8","35",""
"130160014","","1","","","","","3016","301600","32",""
"130160015","","1","","","","","3016","6","32",""
"130160016","","0","","","","","3016","0.1","93",""
"130160017","","0","","","","","3016","2","32",""
"130160018","","0","","","","","3016","3","32",""
"130160019","","glad","","0","","","3016","1000001","3","0.1"
"130160020","","se_travel_treasure_success_butterfly","","0","","","3016","se_travel","23",""
"130160021","","0","","","","","3016","0.5","93",""
"130160022","","1","","","","","3016","8","35",""
"130160023","","0","","","","","3016","1.1","93",""
"130160024","","1","","","","","3016","301601","32",""
"130160025","","1","","","","","3016","996","32",""
"130160026","","joy","","0","","","3016","1000001","3","0.2"
"130160027","","0","","","","","3016","1.67","93",""
"130160028","","run_gatein","","1","","","3016","1000001","3","0"
"130160029","","se_travel_treasure_cha_run","","0","","","3016","se_travel","23",""
"130160030","","450","1","-195","","0","3016","1000001","2",""
"130160031","","1","","","","","3016","0.5","93",""
"130160032","","1","1","1","0","0","3016","1000001","6","0.4"
"130160033","","0","","","","","3016","0.4","93",""
"130160034","","","","","","","3016","1","113",""
"130170001","","310000","0","345.4","","1","3017","310000","31","0"
"130170002","","310001","0","0","","1","3017","310001","31","0"
"130170003","","301700","0","345.4","","1","3017","301700","31","0"
"130170004","","301701","-115","740","","1","3017","301701","31","0"
"130170005","","301702","0","345.4","","1","3017","301702","31","0"
"130170006","","301703","0","345.4","","1","3017","301703","31","0"
"130170007","empty","15","610","100","0","-235","3017","5","5","0.44"
"130170008","empty","16","610","55","0","-235","3017","5","5","0.44"
"130170009","","","","","","","3017","0","91",""
"130170010","","1.05","1.05","1.05","","7.4","3017","1.05","123","0"
"130170011","","wait","","0","","","3017","1000001","3","0.2"
"130170012","","1","","","","","3017","2","35",""
"130170013","","0","","","","","3017","5.4","93",""
"130170014","","0.95","0.95","0.95","","0.3","3017","0.95","123","0"
"130170015","","1","","","","","3017","310000","32",""
"130170016","","1","","","","","3017","310001","32",""
"130170017","","0","","","","","3017","0.2","93",""
"130170018","","50","","0.6","","","3017","50","122",""
"130170019","","shock","","0","","","3017","1000001","3","0.2"
"130170020","","0","","","","","3017","1.6","93",""
"130170021","","1","","","","","3017","301700","32",""
"130170022","","0","","","","","3017","1.2","93",""
"130170023","","se_travel_treasure_croce_ui","","0","","","3017","se_travel","23",""
"130170024","","punch","","0","","","3017","15","3",""
"130170025","","punch_B","","0","","","3017","16","3",""
"130170026","","0","","","","","3017","0.2","93",""
"130170027","","1.05","1.05","1.05","","0.1","3017","1.05","123","11"
"130170028","","0","","","","","3017","0.1","93",""
"130170029","","0.95","0.95","0.95","","0.3","3017","0.95","123","0"
"130170030","","0","","","","","3017","1","93",""
"130170031","","se_travel_treasure_croce_door","","0","","","3017","se_travel","23",""
"130170032","","0","","","","","3017","0.4","93",""
"130170033","","1","","","","","3017","301701","32",""
"130170034","","0","","","","","3017","0.9","93",""
"130170035","","1.05","1.05","1.05","","0","3017","1.05","123","0"
"130170036","","75","","0.6","","","3017","75","122",""
"130170037","","1","","","","","3017","301702","32",""
"130170038","","0","","","","","3017","0.4","93",""
"130170039","","0","","","","","3017","2","32",""
"130170040","","0","","","","","3017","310000","32",""
"130170041","","0","","","","","3017","0.4","93",""
"130170042","","0.95","0.95","0.95","","2","3017","0.95","123","11"
"130170043","","0","","","","","3017","0.2","93",""
"130170044","","glad","","0","","","3017","1000001","3","0.2"
"130170045","","1","","","","","3017","301703","32",""
"130170046","","0","","","","","3017","0.1","93",""
"130170047","","1","","","","","3017","996","32",""
"130170048","","0","","","","","3017","0.9","93",""
"130170049","","joy","","0","","","3017","1000001","3","0.2"
"130170050","","0","","","","","3017","1.7","93",""
"130170051","","run_gatein","","1","","","3017","1000001","3","0"
"130170052","","se_travel_treasure_cha_run","","","","","3017","se_travel","23",""
"130170053","","450","1","-195","","0","3017","1000001","2",""
"130170054","","1","","","","","3017","0.5","93",""
"130170055","","1","1","1","0","0","3017","1000001","6","0.4"
"130170056","","0","","","","","3017","0.4","93",""
"130170057","","","","","","","3017","1","113",""
"131000001","","310000","0","345.4","","1","3100","310000","31","0"
"131000002","","310001","0","0","","1","3100","310001","31","0"
"131000003","","","","","","","3100","0","91",""
"131000004","","1.05","1.05","1.05","","7.4","3100","1.05","123","0"
"131000005","","wait","","0","","","3100","1000001","3","0.2"
"131000006","","1","","","","","3100","2","35",""
"131000007","","0","","","","","3100","5.4","93",""
"131000008","","0.95","0.95","0.95","","0.3","3100","0.95","123","0"
"131000009","","1","","","","","3100","310000","32",""
"131000010","","1","","","","","3100","310001","32",""
"131000011","","0","","","","","3100","0.2","93",""
"131000012","","50","","0.6","","","3100","50","122",""
"131000013","","shock","","0","","","3100","1000001","3","0.2"
"131000014","","0","","","","","3100","1.6","93",""
"131000015","","","","","","","3100","2","113",""
"131110001","","6","0","345.4","","1","3111","6","31","0"
"131110002","","7","0","345.4","","1","3111","7","31","0"
"131110003","","8","0","345.4","","1","3111","8","31","0"
"131110004","appear","13","8000","55","0","0","3111","3","5","1.3"
"131110005","","","","","","","3111","0","91",""
"131110006","","1","1","1","0","0","3111","13","6","0"
"131110007","","95","0","-250","","0","3111","13","2",""
"131110008","","1.05","1.05","1.05","","7.4","3111","1.05","123","0"
"131110009","","wait","","0","","","3111","1000001","3","0.2"
"131110010","","1","","","","","3111","2","35",""
"131110011","","0","","","","","3111","4.9","93",""
"131110012","","0.95","0.95","0.95","","0.3","3111","0.95","123","0"
"131110013","","se_travel_treasure_ghost_fail","","0","","","3111","se_travel","23",""
"131110014","","1","","","","","3111","8","32",""
"131110015","","0","","","","","3111","8","35",""
"131110016","","1","","","","","3111","6","32",""
"131110017","","0","","","","","3111","0.1","93",""
"131110018","","0","","","","","3111","2","32",""
"131110019","","0","","","","","3111","3","32",""
"131110020","","dotEyes","","0","","","3111","1000001","3",""
"131110021","","0","","","","","3111","0.3","93",""
"131110022","","appear","","0","","","3111","13","3",""
"131110023","","1","1","1","0","1","3111","13","6","0"
"131110024","","0","","","","","3111","0.67","93",""
"131110025","","shock_jump","","0","","","3111","1000001","3",""
"131110026","","70","1","-250","","0","3111","1000001","2",""
"131110027","","0","","","","","3111","1.1","93",""
"131110028","","escape","","1","","","3111","1000001","3",""
"131110029","","-350","1.2","-250","","0","3111","1000001","2",""
"131110030","","march","","0","","","3111","13","3",""
"131110031","","0","","","","","3111","0.2","93",""
"131110032","","1","","","","","3111","7","32",""
"131110033","","0","","","","","3111","0.1","93",""
"131110034","","0","","","","","3111","6","32",""
"131110035","","0","","","","","3111","1.6","93",""
"131110036","","","","","","","3111","2","113",""
"131120001","","idle","","1","","","3112","1000001","3","0.2"
"131120002","","13","0","0","","1","3112","301200","31","0"
"131120003","","14","0","0","","1","3112","101","31","0"
"131120004","","15","0","0","","1","3112","301205","31","0"
"131120005","","16","-170","130","","1","3112","301206","31","0"
"131120006","","18","0","345.4","","1","3112","6","31","0"
"131120007","","20","0","345.4","","1","3112","301201","31","0"
"131120008","","21","0","345.4","","1","3112","301202","31","0"
"131120009","round_monster_walk","3","9340","55","0","-234","3112","1","5","1"
"131120010","","","","","","","3112","0","91",""
"131120011","","1","1","1","0","0","3112","3","6","0"
"131120012","","345","0","-234","0","0","3112","3","2","0"
"131120013","","1.05","1.05","1.05","0","7.4","3112","1.05","123","0"
"131120014","","wait","","0","","","3112","1000001","3","0.2"
"131120015","","1","","","","","3112","2","35",""
"131120016","","0","","","","","3112","4.3","93",""
"131120017","","0.95","0.95","0.95","","0.4","3112","0.95","123","0"
"131120018","","1","","","","","3112","21","32",""
"131120019","","0","","","","","3112","21","35",""
"131120020","","se_travel_treasure_monster_failure","","","","","3112","se_travel","23",""
"131120021","","1","","","","","3112","18","32",""
"131120022","","0","","","","","3112","0.1","93",""
"131120023","","0","","","","","3112","2","32",""
"131120024","","1","1","1","0","1","3112","3","6","0.3"
"131120025","","1","","","","","3112","13","32",""
"131120026","","round_monster_appear","","0","","","3112","3","3",""
"131120027","","back","","0","","","3112","1000001","3",""
"131120028","","0","","","","","3112","0.67","93",""
"131120029","","round_monster_walk","","0","","","3112","3","3","0.2"
"131120030","","220","1.4","-234","0","0","3112","3","2","0"
"131120031","","1","","","","","3112","20","32",""
"131120032","","0","","","","","3112","0.1","93",""
"131120033","","0","","","","","3112","18","32",""
"131120034","","0","","","","","3112","1","93",""
"131120035","","round_monster_attack","","0","","","3112","3","3","0.3"
"131120036","","0","","","","","3112","0.5","93",""
"131120037","","1","","","","","3112","15","32",""
"131120038","","back_loop","","1","","","3112","1000001","3","0.2"
"131120039","","0","","","","","3112","1","93",""
"131120040","","1","","","","","3112","16","32",""
"131120041","","50","","0.5","","","3112","0","122",""
"131120042","","40","0","-250","","0","3112","1000001","2",""
"131120043","","shock_jump","","0","","","3112","1000001","3","0"
