dc7c1244160846155355fdb023966b93e81159f7633f7cdaf4e863952176915a,59d548b6d01c88a8d7160a65dbbf3108938f5e7df55eadbe7c37a924e85525d4,53bb55c2c7ea5b0076c22bc418ab0555072d64ce273212c465dcadf8b87981c0,54b9fb32813c18f19d65a6ecc56b1feaa248808565107e1bf3c84bfcc415110e,100a043271a695014da4d0490a42d5c3d6b22aa3a9bda114e7ba366fc7200141,cca05c5ba29c126bc1bbb3928efccf79e0ff57ca2c6b41ee670f331022cacb93,a70e82bd11615487085e529f7837df314ecaaffc3c836fbd58aab903b451109e,38605ffdb76a3240df8dba3722ca59772e1b3a4d0286de101befbe6a7ca41d41,1cdecc9f0d0b7776ec5853bb1fbcda1c3f62d09e76a78bb31f754caa20ed66a4,6cb87fe143098a4dc6c16b7394cc6f63d1ea2b0d38968bfec4e446a1c2881d42,c5e90fc17d1eaed85fd89a21557523a1f59736f4d730d50f60c195a16d862c56,9a4136e8b8108a0f7ee837ca4e300ce5e79396c6e72a678a4c68abc4bae699c1,7733ca8d1b41f62b69c22f006653b2ebe65cfbf2c3f880f2c8e6f9395c9bbfa4,40439b0fe6b05a5a8421a89119de90ff35d3435fc485f968846d32704ee211ea,fee2989e6c4f9aedf2fc7c879fc10e575eeaa7700f79108bc6033c27ce1fd24a,38f1d0db167005d4baa437a5c3562544f0109208805c8fa5b4a6e751428e2141,5aa8997f636545f18d5d06ee2f3949c0776363ea26d1eb7b3f82f580b51a4524,c0b9371386ccb251e6608715eef6dfb07aed0f5dc2a6d00a47b46c2978db7931,8ee90f64769b8b042d0d5063b753cc156c968a899a058c3290072fee1c12f89e
"2","5","90","105501","123001","105301","0","4","-100","100003","2","123001","4","102901","100622","4","1006","105401","4"
"2","5","90","112201","123001","101401","0","4","-100","100003","3","117301","4","100701","100623","4","1006","117301","4"
"3","8","90","106001","108301","105501","0","1","-100","100003","1","128301","3","128301","100631","7","1006","103401","1"
"3","8","90","123001","108301","123301","0","1","-100","100003","2","106501","1","106501","100632","3","1006","106601","2"
"3","8","90","123001","107701","110301","0","1","-100","100003","3","109001","8","109001","100633","3","1006","102601","2"
"1","6","90","123001","125101","103401","1001","6","-100","100003","1","125101","6","102901","100711","6","1007","122801","6"
"1","6","90","110301","111001","180301","1001","6","-100","100003","2","111001","6","105401","100712","6","1007","106601","6"
"1","6","90","118001","118501","123001","1001","6","-100","100003","3","118001","6","101401","100713","6","1007","121401","6"
"2","4","90","123001","100201","117301","1001","4","-100","100003","1","100201","4","102901","100721","5","1007","103401","4"
"2","4","90","110301","104001","105101","1001","4","-100","100003","2","105101","4","104801","100722","4","1007","117301","4"
"2","4","90","100801","111001","118501","1001","4","-100","100003","3","100801","4","101401","100723","4","1007","118001","4"
"3","3","90","123001","118501","102601","1001","2","-100","100003","1","128801","3","128801","100731","3","1007","123301","1"
"3","8","90","128901","108301","105501","1001","1","-100","100003","2","128901","1","104501","100732","3","1007","103401","1"
"3","8","90","123001","108301","117301","1001","3","-100","100003","3","128701","3","128301","100733","3","1007","128701","2"
"1","6","90","112201","123001","105501","1002","6","-100","100003","1","100701","6","100701","100811","6","1008","103401","6"
"1","6","90","105001","111401","117301","1002","6","-100","100003","2","111401","6","106601","100812","6","1008","103401","6"
"1","6","90","123001","125101","103401","1002","6","-100","100003","3","102901","6","102901","100813","6","1008","122801","6"
"2","4","90","101201","111401","110301","1002","4","-100","100003","1","110301","4","104601","100821","4","1008","103401","4"
"2","5","90","106901","123001","113401","1002","4","-100","100003","2","106601","4","105201","100822","5","1008","106601","4"
"2","4","90","123001","100801","101401","1002","4","-100","100003","3","123001","4","103401","100823","5","1008","105501","4"
"3","8","90","108801","108301","112201","1002","1","-100","100003","1","108801","1","108901","100831","1","1008","103401","2"
"3","3","90","107701","129001","126101","1002","1","-100","100003","2","129001","1","100701","100832","8","1008","108901","3"
"3","1","90","123001","100201","101401","1002","3","-100","100003","3","100201","1","103401","100833","3","1008","126101","1"
"1","6","90","100901","110301","103401","1003","6","-100","100003","1","100901","6","114701","100911","6","1009","106601","6"
"1","6","90","103401","106901","105401","1003","6","-100","100003","2","106901","6","180401","100912","6","1009","100501","6"
"1","6","90","123001","100801","101401","1003","6","-100","100003","3","101401","6","103401","100913","6","1009","105501","6"
"2","4","90","100901","119001","124101","1003","4","-100","100003","1","122801","4","122801","100921","4","1009","103401","4"
"2","5","90","121101","123001","103401","1003","4","-100","100003","2","100501","4","105201","100922","4","1009","100501","4"
"2","5","90","123001","118501","105501","1003","4","-100","100003","3","103401","4","100701","100923","5","1009","103401","4"
"3","8","90","101601","108301","103401","1003","7","-100","100003","1","120001","2","120001","100931","7","1009","104901","1"
"3","3","90","112201","129001","101801","1003","1","-100","100003","2","112201","1","108901","100932","2","1009","100501","1"
"3","3","90","123001","129001","126101","1003","3","-100","100003","3","123001","1","100701","100933","3","1009","128801","3"
