4b178e92e3fdfa2fa1c6876b0e1db842baac86b3b9555a949fa02d375a3d8e19,c6c95365551f6dc6b3489d1a31530afea6770b1bca165b32519d7c2ff55994f8,e7fa01e7b47e2366de549080bd4722338385be821c703acad100c488b4791f3b,640a2298a99d7e734db3179bd930ba0d40324fe299b15a4ef15a1e867f4baa4b,ee44c7a97665fb615cb4d2697231261cb278e2aa686bd0f6a6acea5db3aa1728,1a91b93d09708c9e77b54177ba0b93ed8f99116fe7c1740cb2d463c2882830cd,34b530f413d92db7a448c2fa6ab21a3c8045dbb7b3c6852179e90e6fd6df7e55,20fcc87d4fc0b881018a39984308d2f7e78d803cf75862d8c5bb297de23d3093
"10013","1","1001302","ㄡ","2","帶骨肉","ㄞ","帶骨的肉。或是以該狀態料理的食物。光是帶骨就看起來莫名的美味。"
"10013","1","1001303","ㄡ","3","龍肉","ㄨㄥ","這麼棒的帶骨肉，該不會是傳說中存在於艾爾皮斯島上的「龍」吧。"
"10014","1","1001400","ㄧㄤ","1","月亮","ㄩㄝ","在夜空中閃耀著金黃色的美麗星球。"
"10014","1","1001401","ㄩㄝ","1","滿月","ㄢ","渾圓的閃耀著的月亮。"
"10014","1","1001402","ㄚ","2","露娜","ㄨ","「月亮」的拉丁文讀音。"
"10014","1","1001403","ㄧㄝ","2","中秋節","ㄨㄥ","農曆八月十五號。"
"10014","1","1001404","ㄧㄥ","2","衛星","ㄨㄟ","繞著行星公轉的天體。"
"10015","1","1001500","ㄨ","1","蝙蝠","ㄧㄢ","少數會飛行的哺乳類。雖然給人會吸血的印象，但是會吸血的品種非常少。"
"10015","1","1001501","ㄚ","2","德古拉","ㄜ","著名的吸血鬼。"
"10015","1","1001502","ㄨ","3","伊莉亞的眷屬","ㄧ","一份簡單的工作，只要摸摸女孩的頭，或抱抱她就好。"
"10016","1","1001600","ㄟ","1","鳥類","ㄧㄠ","全身覆滿著羽毛，用翅膀飛翔的物種的統稱。"
"10016","1","1001601","ㄨ","2","魔物","ㄛ","在蘭德索爾全境裡出現的怪物總稱。"
"10016","1","1001602","ㄧㄠ","2","始祖鳥","ㄕ","現代鳥類的始祖。"
"10016","1","1001603","ㄧㄣ","2","猛禽","ㄥ","具有攻擊性的鳥類。"
"10016","1","1001604","ㄗ","3","席茲","ㄧ","被封印在書中的鳥型魔物。是初音、栞所擊退的。"
"10017","1","1001700","ㄗ","1","鞋子","ㄧㄝ","穿在腳上之物。能保護腳底免於碰到小石頭或口香糖之類的文明頂端之物。"
"10017","1","1001701","ㄩㄝ","1","短靴","ㄨㄢ","能夠保護到腳踝的鞋子。"
"10017","1","1001702","ㄧㄝ","2","皮鞋","ㄧ","從大叔到女高中生的廣泛客層都愛用的流行物品。不過很可惜，煮了也不能吃。"
"10017","1","1001703","ㄗ","2","靴子","ㄩㄝ","包住腳的長靴。尤其編織款的時尚度無人可及。"
"10017","1","1001704","ㄩ","2","防具","ㄤ","提供防護效果的衣物。"
"10018","1","1001800","ㄧ","1","貓咪","ㄠ","貓科的哺乳類。因為是人類很熟悉的動物，在可愛的牠面前，人類實在無法抵抗。"
"10018","1","1001801","ㄠ","1","花貓","ㄨㄚ","帶有花紋的貓。"
"10018","1","1001802","ㄧㄡ","3","珠希的朋友","ㄨ","是指貓咪們。珠希會餵牠們吃飯，不過花費可不能小覷。"
"10019","1","1001900","ㄩ","1","金魚","ㄧㄣ","觀賞用的紅色小型魚類。在廟會時讓人不能不去撈的邪惡東西。"
"10019","1","1001901","ㄩ","1","小魚","ㄧㄠ","魚類一般的稱呼方式。傳說吃了會變聰明。"
"10019","1","1001902","ㄩ","1","魚","ㄩ","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。"
"10019","1","1001903","ㄩ","2","觀賞魚","ㄨㄢ","用於觀賞而非食用所飼養的魚。"
"10020","1","1002000","ㄨ","1","老鼠","ㄠ","囓齒類的一種。"
"10020","1","1002001","ㄓ","1","吱吱","ㄓ","老鼠的叫聲，或是暱稱。"
"10020","1","1002002","ㄨ","2","齧齒生物","ㄧㄝ","咬食性哺乳動物的總稱。"
"10021","1","1002100","ㄢ","1","蛋","ㄢ","由鳥類或爬蟲類等的雌性所產下，以殼包覆著的球狀物體。"
"10021","1","1002101","ㄨㄢ","2","卵","ㄨㄢ","雌性生物的生殖細胞。"
"10021","1","1002102","ㄠ","2","鳥巢","ㄧㄠ","鳥類用樹枝築成的家，會在這裡産卵。"
"10021","1","1002103","ㄨㄛ","2","燕窩","ㄧㄢ","燕子所築的巢，中醫認為其有高度營養價值。"
"10022","1","1002200","ㄨㄢ","1","船","ㄨㄢ","載著人或物在水上前進的交通工具。"
"10022","1","1002201","ㄧㄢ","1","軍艦","ㄩㄣ","海軍使用的軍用船隻。"
"10022","1","1002202","ㄨㄢ","2","帆船","ㄢ","張帆後以風力前進的船。"
"10022","1","1002203","ㄞ","2","航海","ㄤ","以大型船隻航海。"
"10022","1","1002204","ㄞ","2","大航海時代","ㄚ","十五世紀歐洲人開始開發遠程海上航線的時代。"
"10022","1","1002205","ㄧ","2","貿易","ㄠ","互通有無的大規模商業行為。"
"10023","1","1002300","ㄞ","1","牛奶","ㄧㄡ","牛所流出的乳汁。除了可以直接飲用，還能加工成起司或奶油，是很棒的東西。"
"10023","1","1002301","ㄟ","2","ㄋㄟㄋㄟ","ㄟ","「牛奶」的別種說法。要說出口有點丟臉。"
"10023","1","1002302","ㄞ","2","酸奶","ㄨㄢ","某些地區是這麼稱呼優酪乳的。"
"10023","1","1002303","ㄞ","3","伊麗莎白","ㄧ","伊麗莎白牧場裡的牛的名字，是真陽的夥伴。"
"10024","1","1002400","ㄧ","1","巧克力","ㄧㄠ","將可可豆加工後的點心。在2月14日會被人大量消耗。"
"10024","1","1002401","ㄧ","2","朱古力","ㄨ","賭神愛吃的甜食。"
"10024","1","1002402","ㄕ","2","甜食","ㄧㄢ","味道是甜的，疲倦時會想吃。"
"10024","1","1002403","ㄧ","3","哆啦喜歡的東西","ㄨㄛ","一旦試過就再也無法放手。"
"10025","1","1002500","ㄨㄛ","1","橡果","ㄧㄤ","堅硬樹木的果實。不適合人類食用，但會刺激小孩子的收集慾望，充滿魅力的樹木的果實。"
"10025","1","1002501","ㄕ","2","果實","ㄨㄛ","會長成樹木的果實。"
"10025","1","1002502","ㄨㄛ","2","堅果","ㄧㄢ","被硬殼包覆著食用的果實。可放入點心或是當成下酒菜，在各處受到重用。"
"10025","1","1002503","ㄧㄣ","3","鈴的點心","ㄧㄥ","雖然不及紅豆麵包，但鈴好像也喜歡的樣子。對戰時丟向敵人能讓其暈眩。"
"10026","1","1002600","ㄟ","1","草莓","ㄠ","小小的又酸酸甜甜的水果。一顆顆的會被以為是種子，其實是果實。"
"10026","1","1002601","ㄟ","2","野莓","ㄧㄝ","在野外自由生長的莓果。"
"10026","1","1002602","ㄨㄛ","2","莓果","ㄟ","一種小的、果肉狀的且可經常食用的水果。"
"10027","1","1002700","ㄨ","1","老虎","ㄠ","大型貓科猛獸，肉食動物。"
"10027","1","1002701","ㄡ","2","猛獸","ㄥ","高攻擊性動物的俗稱，通常是肉食動物。"
"10027","1","1002702","ㄧㄥ","3","茉莉的憧憬","ㄛ","虎虎！"
"10027","1","1002703","ㄨ","3","無敵英雄虎虎","ㄨ","茉莉仰慕的正義英雄。不能吐嘈那名字。"
"10028","1","1002800","ㄗ","1","兔子","ㄨ","有著長長耳朵和短短尾巴的可愛哺乳類。作為寵物也很受歡迎。"
"10028","1","1002801","ㄡ","1","玩偶","ㄨㄢ","將布縫合後裝入棉花，做成像人或動物的形狀的東西。"
"10028","1","1002802","ㄨㄚ","2","娃娃","ㄨㄚ","仿造人或生物製作的東西。有各種材質，可當玩具或作觀賞用、祭祀用等有各種用途。"
"10028","1","1002803","ㄜ","3","亞瑟","ㄧㄚ","真步的一隻玩偶。名稱的意象來自亞瑟王和圓桌騎士。"
"10029","1","1002900","ㄢ","1","炸彈","ㄚ","爆發後會產生熱與衝擊，並破壞、殺傷對方的一種兵器。超危險。"
"10029","1","1002901","ㄧㄣ","2","危險物品","ㄨㄟ","可能會危及生物或環境的物質。操作時可能需要有證照。"
"10029","1","1002902","ㄧ","2","遠距離武器","ㄩㄢ","指可以飛得很遠的攻擊型武器，會爆炸的東西還是丟的遠遠的比較好吧？"
"10029","1","1002903","ㄩ","3","禊的惡作劇道具","ㄧ","還是好好地被罵一次比較好。"
"10030","1","1003000","ㄨㄚ","1","西瓜","ㄧ","瓜科的大型果實。綠色條紋的外皮，紅色果肉與黑色種子令人印象深刻。"
"10030","1","1003001","ㄧㄥ","2","夏天風情","ㄧㄚ","用來表示夏天感覺的東西。除了西瓜，其他還有大海或煙火等。"
"10030","1","1003002","ㄨㄛ","2","清涼退火","ㄧㄥ","某些食物吃了會有消暑的感覺。"
"10031","1","1003100","ㄚ","1","馬","ㄚ","馬科的大型哺乳類。由於力量強大，還能快速跑步，大家很常將其作為家畜或賽馬。"
"10031","1","1003101","ㄗ","1","驢子","ㄩ","馬科的哺乳類。和馬比起來雖然小，但力量強大，作為勞動力很受人重視。"
"10031","1","1003102","ㄚ","2","純種馬","ㄨㄣ","用馬的種類將品種改良成競賽用的類型。"
"10031","1","1003103","ㄧㄢ","3","夢魘","ㄥ","戰隊競賽時登場的馬型魔物。"
"10032","1","1003200","ㄗ","1","椅子","ㄧ","為了坐下用的家具。也有顯示職位、地位的意義。"
"10032","1","1003201","ㄩ","2","家具","ㄧㄚ","放在室內，平時使用的道具總稱。"
"10032","1","1003202","ㄧ","2","小學椅","ㄧㄠ","小學生使用的課桌椅。"
"10032","1","1003203","ㄩ","3","公會小屋道具","ㄨㄥ","放在公會小屋的家具或裝飾品。從豪華的設計到獨特的物品，其變化非常豐富。"
"10033","1","1003300","ㄞ","1","海","ㄞ","在陸地之外的凹陷處會不斷蓄滿水的地方。"
"10033","1","1003301","ㄢ","1","淺灘","ㄧㄢ","陸地和大海相連的地方。"
"10033","1","1003302","ㄧ","2","潮汐","ㄠ","受到月球引力影響，海水往陸地推移或遠離的現象。"
"10033","1","1003303","ㄨㄚ","2","浪花","ㄤ","海浪受岸邊地形影響被打散時所出現的四濺水花。"
"10033","1","1003304","ㄢ","3","瑪爾傑海岸","ㄚ","雖然是可以從蘭德索爾徒步到達的受歡迎海灘，但是常出現魔物，意外的很危險。"
"10034","1","1003400","ㄜ","1","貝殼","ㄟ","包覆在貝類外側的殼。掉在沙灘上會讓人不自覺想收集。"
"10034","1","1003401","ㄟ","2","甲殼類","ㄧㄚ","有著堅硬外骨骼的節肢動物。蝦、蟹，還有水蚤都算在內。"
"10034","1","1003402","ㄕ","3","寄居蟹騎士","ㄧ","蘭德索爾的所到之處出現的魔物。外觀像鎧甲一樣堅硬，是難對付的敵人。"
"10035","1","1003500","ㄧ","1","笛","ㄧ","一般是指木管樂器。分為直笛與橫笛。"
"10035","1","1003501","ㄧ","1","直笛","ㄓ","木管樂器之一。不能用來玩擊劍遊戲。"
"10035","1","1003502","ㄧ","2","管樂器","ㄨㄢ","樂器分類中的一種。吹入氣息，震動管內的空氣來發出聲音。"
"10035","1","1003503","ㄧ","2","豎笛","ㄨ","以直立方式吹奏的笛子。直笛或單簧管等。"
"10036","1","1003600","ㄣ","1","書本","ㄨ","在一疊紙上印刷文字或圖畫後裝訂成冊的東西。"
"10036","1","1003601","ㄧ","1","筆記","ㄧ","寫下文字或圖畫用的文具。"
"10036","1","1003602","ㄨㄛ","2","小說","ㄧㄠ","創作的故事。有戀愛、歷史、推理等，種類繁多。"
"10036","1","1003603","ㄨ","3","凱留的魔導書","ㄞ","是書嗎？還是魔杖？"
"10037","1","1003700","ㄩ","1","魚","ㄩ","魚類一般的稱呼方式。傳說吃了會變聰明。"
"10037","1","1003701","ㄩ","1","小魚","ㄧㄠ","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。"
"10037","1","1003702","ㄩ","2","鮪魚","ㄨㄟ","魚的一種。又大又美味的高級魚。說到壽司就是這個。"
"10037","1","1003703","ㄨ","2","海洋生物","ㄞ","生活在海洋中的生命體。"
"10038","1","1003800","ㄨ","1","樹","ㄨ","是樹木。"
"10038","1","1003801","ㄨ","2","杉木","ㄢ","用來當聖誕樹的針葉樹。大株的還會長到40公尺。"
"10038","1","1003802","ㄧㄝ","2","聖誕節","ㄥ","雖然不清楚是何時開始及為什麼，但是聖誕老公公送禮的日子。"
"10038","1","1003803","ㄨ","2","耶誕樹","ㄧㄝ","耶誕節時的標誌裝飾物，將燈飾、彩帶等飾品掛在樹上而成。"
"10038","1","1003804","ㄧㄝ","2","平安夜","ㄧㄥ","聖誕節前一天的夜晚，也指聖誕節天亮前的深夜。"
"10038","1","1003805","ㄜ","3","忘却的頌歌","ㄨㄤ","和千歌一起，在聖夜於咲戀育幼院發生的奇蹟故事。"
"10039","1","1003900","ㄤ","1","棒棒糖","ㄤ","有棍子的糖果。"
"10039","1","1003901","ㄕ","2","甜食","ㄧㄢ","甜甜的很好吃，含在口中的感覺最棒了！"
"10039","1","1003902","ㄧㄣ","3","克蘿依的點心","ㄜ","光是拿著，那畫面就像一幅畫。"
"10040","1","1004000","ㄨㄟ","1","玩具槌","ㄨㄢ","上面是柔軟的，用波浪管製成的玩具。被打到會發出滑稽的聲音。"
"10040","1","1004001","ㄨㄟ","2","鐵鎚","ㄧㄝ","上面是由金屬製成的鈍器。被打到會很痛。"
"10040","1","1004002","ㄨㄟ","2","小槌","ㄧㄠ","小槌子。搖晃它可能會出現各種東西，也可能不會出現。"
"10040","1","1004003","ㄧ","3","祈梨的武器","ㄧ","祈梨的武器。動作很可愛，但進行的攻擊很兇狠。"
"10041","1","1004100","ㄧㄥ","1","星星","ㄧㄥ","在夜空發光的天體。"
"10041","1","1004101","ㄧㄥ","2","海星","ㄞ","星形的海洋生物。不適合食用。"
"10041","1","1004102","ㄧㄥ","2","亮晶晶","ㄧㄤ","發光模樣的一種表現。"
"10041","1","1004103","ㄧㄥ","2","流星","ㄧㄡ","初音的必殺技"
"10041","1","1004104","ㄨㄤ","3","蘭德索爾的形狀","ㄢ","不從空中看的話不會知道。"
"10042","1","1004200","ㄗ","1","帽子","ㄠ","戴在頭上的飾品。"
"10042","1","1004201","ㄕ","1","紳士","ㄣ","謹守禮儀的男士，也可以指社經地位高的人士。"
"10042","1","1004202","ㄠ","2","禮帽","ㄧ","「帽子」的種類之一。"
"10043","1","1004300","ㄗ","1","杯子","ㄟ","裝飲料等的容器。"
"10043","1","1004301","ㄜ","1","可可","ㄜ","以可可樹的果實製成的飲品。"
"10043","1","1004302","ㄟ","2","馬克杯","ㄚ","「杯子」的種類之一。"
"10043","1","1004303","ㄚ","2","摩卡","ㄛ","混合巧克力的咖啡。"
"10044","1","1004400","ㄡ","1","狗","ㄡ","會汪汪叫的動物。"
"10044","1","1004401","ㄩㄢ","1","犬","ㄩㄢ","「狗」的別種說法。"
"10044","1","1004402","ㄤ","2","狼","ㄤ","「狗」的同類。野生之力。"
"10044","1","1004403","ㄩㄝ","2","月月","ㄩㄝ","哈士奇的暱稱。"
"10044","1","1004404","ㄧ","2","哈士奇","ㄚ","非常像狼的大型犬種，可以當作寵物，如果你可以接受牠許多讓人哭笑不得的行為。"
"10045","1","1004500","ㄗ","1","旗子","ㄧ","輕飄飄的布。"
"10045","1","1004501","ㄧ","2","戰旗","ㄢ","軍隊在戰鬥時使用的旗子，用以分辨敵我，也可以當作下達指令的工具。"
"10045","1","1004502","ㄧ","2","信號旗","ㄧㄣ","用來傳遞訊息的旗子，通常是透過暗號或旗語來運作。"
"10046","1","1004600","ㄠ","1","蛋糕","ㄢ","很棒的點心。甜甜的很好吃。"
"10046","1","1004601","ㄧㄣ","2","點心","ㄧㄢ","很棒的食物。"
"10046","1","1004602","ㄜ","2","生日快樂","ㄥ","準備好要唱生日快樂歌了嗎？"
"10046","1","1004603","ㄨ","3","羈絆點數","ㄧ","羈絆的深遠不只是共同渡過的時間。卡路里也是羈絆的證明……"
"10046","1","1004604","ㄠ","3","綜合莓果蛋糕","ㄨㄥ","大家的最愛，就不說是什麼了，直接加上30羈絆值。"
"10047","1","1004700","ㄥ","1","麥克風","ㄞ","將聲音轉換成信號的裝置。"
"10047","1","1004701","ㄜ","2","唱歌","ㄤ","麥克風是唱歌的必需品！"
"10047","1","1004702","ㄨㄟ","2","演唱會","ㄧㄢ","在舞台上現場演奏。"
"10047","1","1004703","ㄧㄣ","2","偶像的必備物品","ㄡ","要是沒有這個就無法開始。"
"10047","1","1004704","ㄥ","3","閃耀麥克風","ㄢ","望的專用裝備。有慈樂之音的標誌！"
"10048","1","1004800","ㄨㄥ","1","口紅","ㄡ","能襯出嘴唇的化妝品。"
"10048","1","1004801","ㄠ","1","唇膏","ㄨㄣ","抹在嘴唇上，用來保護嘴唇的保養品。"
"10048","1","1004802","ㄧㄣ","2","化妝品","ㄨㄚ","為了美觀而塗抹在臉上的物品。"
"10049","1","1004900","ㄠ","1","年糕","ㄧㄢ","將穀物蒸煮後的東西。也是吉祥物。"
"10049","1","1004901","ㄨ","1","麻糬","ㄚ","「年糕」的別種說法。"
"10049","1","1004902","ㄧㄥ","2","鏡餅","ㄧㄥ","新年時可以供奉神佛，一大一小相疊的糯米糕。"
"10049","1","1004903","ㄨ","2","碳水化合物","ㄢ","年糕的主要營養素。小心不要吃太多。"
"10049","1","1004904","ㄠ","2","糯米糕","ㄨㄛ","以糯米製成的點心。"
"10050","1","1005000","ㄧㄥ","1","妖精","ㄧㄠ","嬌小又長著翅膀的種族。"
"10050","1","1005001","ㄧㄚ","3","涅比亞","ㄧㄝ","住在公會小屋的惡作劇妖精。"
"10051","1","1005100","ㄢ","1","雨傘","ㄩ","主要是避雨用的傘。"
"10051","1","1005101","ㄢ","2","遮陽傘","ㄜ","主要是遮陽用的傘。"
"10051","1","1005102","ㄢ","2","陽傘","ㄧㄤ","主要是遮陽用的傘。"
"10051","1","1005103","ㄖ","3","貪吃佩可夏日","ㄢ","盛夏時海灘公主的必需品！"
"10052","1","1005200","ㄗ","1","骰子","ㄞ","為了產生亂數用的道具。"
"10052","1","1005201","ㄛ","2","賭博","ㄨ","賭博。骰子上的數字讓人一喜一憂。"
"10052","1","1005202","ㄧ","2","六面體","ㄧㄡ","一般的骰子形狀。"
"10052","1","1005203","ㄨㄥ","2","大富翁","ㄚ","使用骰子的桌遊。"
"10052","1","1005204","ㄚ","2","洗八啦","ㄧ","一種以骰子進行的賭博遊戲，許多香腸攤老闆都對這個遊戲有自己的見解。"
"10053","1","1005300","ㄧㄣ","1","信","ㄧㄣ","將無法言喻的心意化為文字。"
"10053","1","1005301","ㄧㄢ","2","郵件","ㄧㄡ","透過郵遞系統移動的書信或包裹。"
"10053","1","1005302","ㄨ","2","情書","ㄧㄥ","用來傳達愛意的信。"
"10053","1","1005303","ㄧㄣ","2","書信","ㄨ","用來傳遞訊息的文件。"
"10053","1","1005304","ㄨ","2","飛鴿傳書","ㄟ","古代利用鴿子傳遞訊息的方法。"
"10054","1","1005400","ㄠ","1","葡萄","ㄨ","是一串的。旁邊的好像很酸。"
"10054","1","1005401","ㄠ","1","紫葡萄","ㄗ","紫色的葡萄，說到葡萄，還是紫色的最常見。"
"10054","1","1005402","ㄥ","2","巨峰","ㄩ","「葡萄」的種類之一。"
"10055","1","1005500","ㄧㄤ","1","綿羊","ㄧㄢ","有著鬆軟的毛。"
"10055","1","1005501","ㄧㄝ","1","羊咩咩","ㄧㄤ","對小孩子說羊的時候，有時候會這麼說。"
"10055","1","1005502","ㄧㄤ","2","白羊","ㄞ","白色的羊。"
"10055","1","1005503","ㄧㄤ","2","瑪莉有隻小綿羊","ㄚ","真可愛呀～♪"
"10056","1","1005600","ㄨ","1","豆腐","ㄡ","用豆子製成的東國料理。"
"10056","1","1005601","ㄨ","2","木綿豆腐","ㄨ","「豆腐」的種類之一。野性的口感。"
"10056","1","1005602","ㄨ","2","涼拌豆腐","ㄧㄤ","代表性的豆腐料理。"
"10056","1","1005603","ㄨ","2","杏仁豆腐","ㄧㄥ","杏仁做成的形狀像豆腐的甜品。"
"10057","1","1005700","ㄗ","1","鴨子","ㄧㄚ","不會飛的鳥。會嗄嗄的叫。"
"10057","1","1005701","ㄟ","2","鳥類","ㄧㄠ","也有會飛的鳥。也有不會飛的鳥。"
"10057","1","1005702","ㄧㄠ","2","水鳥","ㄨㄟ","依水而生的鳥類。"
"10058","1","1005800","ㄧㄥ","1","蜻蜓","ㄧㄥ","在空中飛的昆蟲。"
"10058","1","1005801","ㄧㄥ","2","晏蜓","ㄧㄢ","「蜻蜓」的種類之一。"
"10058","1","1005802","ㄨㄥ","2","昆蟲","ㄨㄣ","六支腳的動物。"
"10058","1","1005803","ㄨㄥ","2","飛龍","ㄟ","「蜻蜓」的英文稱呼，直譯後的意思，很厲害吧。"
"10059","1","1005900","ㄗ","1","葉子","ㄧㄝ","高等植物的營養器官。"
"10059","1","1005901","ㄧㄝ","1","樹葉","ㄨ","樹木的葉子。"
"10059","1","1005902","ㄧㄝ","2","綠葉","ㄩ","綠色的葉子。"
"10059","1","1005903","ㄧㄡ","3","碧的朋友","ㄧ","碧可以毫無顧慮聊天的少數的朋友。是朋友。"
"10060","1","1006000","ㄓ","1","戒指","ㄧㄝ","戴在手指上的飾品。"
"10060","1","1006001","ㄧㄝ","1","鑽戒","ㄨㄢ","鑲有鑽石的戒指。"
