dc0296e69164910d4c2506d34b889f81075041aad227d9ea1bdf36661f305315,aad65f4be78821b9460a461e6dbd0d1b86c73a0bb1a85972e095db97de1f1205,67586ee569db52e3b090003cc50977ad82c07d4b8d97a53822bd1070a02f3700,88fbb16998c55268848c682963b21b1d18e152599ed347464835d2631f76b127,56c4139de7a97759a3477f5be2782cfc3a3a1e1e4bdbb8ea2de4f5fa21ae4642,bbef607e90692a46bad35371177c5926baf50e158199a037ebf30a995d6c0d25,12324282fbd18d3a240d2f1b6de801156b3de707db12b49ac3860c3dce51e8a3,e3ccef517f773cbf4bc637f3f60caf25e43d4b25e4725c9be94837976ea5ef42,68be5281c6d22311a115dff1c298292bb71ab00e8426a24960142279ad7f0139,23ac6864bfb2fe8e0d698063543d235db43693ee969cc361d80ed57a6216be99,0760e21eb72c68df1b7f8a5dc75078da942563e4189ec50d9a586db893ec0104
"1","1","","0.4","0","3","sad_talk_riri_in","12026","sad_idle_red_riri","0","12"
"vo_asb","","","","","21","vo_asb_0125","12027","0","0","12"
"1","1","0","0","0","11","……一起……挑伴手禮……\n……臉紅。","12028","1","10","12"
"0","","","","","91","","12029","0","0","12"
"12031","","","","","101","","12030","","","12"
"1","0","","0.3","0","6","1","12031","1","1","12"
"0","0","","0.3","0","6","1","12032","1","1","12"
"1","1","","","","2","-120","12033","0.3","-250","12"
"0","1","","","","2","-100","12034","0.3","0","12"
"0","","","","","22","0","12035","","","12"
"0.4","","","","","93","0","12036","","","12"
"1","-230","riri_idle_look_shy","2.2","0","5","1","13001","20","17","13"
"2","-255","clear_idle_look_shy","2.2","0","5","2","13002","-140","19","13"
"3","-245","idle_look_precia","2.2","1","5","3","13003","270","18","13"
"1","0","","0","0","6","1","13004","1","1","13"
"2","0","","0","0","6","1","13005","1","1","13"
"3","0","","0","0","6","1","13006","1","1","13"
"1","1","","0","","31","100","13007","0","0","13"
"100","","","","","35","0","13008","","","13"
"0","0","black","1","0","5","0","13009","50","16","13"
"0","0","","0","0","6","1","13010","1","1","13"
"0","","","","","91","","13011","","","13"
"0.1","","","","","93","0","13012","","","13"
"1","1","","0.2","0","6","1","13013","1","1","13"
"2","1","","0.2","0","6","1","13014","1","1","13"
"3","1","","0.2","0","6","1","13015","1","1","13"
"0","1","","0.2","0","6","1","13016","1","1","13"
"1","2","","","","2","-30","13017","0.3","-230","13"
"2","2","","","","2","-190","13018","0.3","-255","13"
"3","2","","","","2","220","13019","0.3","-245","13"
"0","2","","","","2","0","13020","0.3","0","13"
"100","","","","","32","1","13021","","","13"
"0.6","","","","","93","0","13022","","","13"
"1","","","0.2","","3","sad_talk_look_shy_riri","13023","","1","13"
"vo_asb","","","","","21","vo_asb_1521","13024","0","0","13"
"1","1","0","0","0","11","其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","13025","1","10","13"
"0","","","","","91","","13026","0","0","13"
"1","","","0.2","","3","sad_idle_normal_look_shy_riri","13027","","1","13"
"2","","","0.2","","3","clear_talk_look_shy","13028","","1","13"
"vo_asb","","","","","21","vo_asb_1522","13029","0","0","13"
"2","1","0","0","0","11","因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","13030","1","10","13"
"0","","","","","91","","13031","0","0","13"
"2","","","0.3","","3","clear_idle_look_shy","13032","","1","13"
"3","","","0.2","","3","sad_talk_look_precia","13033","","1","13"
"vo_asb","","","","","21","vo_asb_1523","13034","0","0","13"
"3","1","0","0","0","11","赤裸裸的，\n冒險記。","13035","1","10","13"
"0","","","","","91","","13036","0","0","13"
"3","","","0.2","","3","idle_look_precia","13037","","1","13"
"1","","","0.3","","3","talk_look_shy_riri","13038","","1","13"
"vo_asb","","","","","21","vo_asb_1524","13039","0","0","13"
"1","1","0","0","0","11","但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","13040","1","10","13"
"0","","","","","91","","13041","0","0","13"
"1","","","0.2","","3","wish_talk_look_shy_riri","13042","","1","13"
"vo_asb","","","","","21","vo_asb_1525","13043","0","0","13"
"1","1","0","0","0","11","無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","13044","1","10","13"
"0","","","","","91","","13045","0","0","13"
"2","","","0.2","","3","idle_look_shy","13046","","1","13"
"3","","","0.3","","3","joy_idle_look_shy_precia","13047","","1","13"
"1","","","0.2","","3","wish_talk_Ex4","13048","","1","13"
"vo_asb","","","","","21","vo_asb_1526","13049","0","0","13"
"1","1","0","0","0","11","…………\n沒、沒想到……\n竟然能像這樣被稱讚……","13050","1","10","13"
"0","","","","","91","","13051","0","0","13"
"1","","","0.2","","3","idle_look_shy_riri","13052","","1","13"
"3","","","0.4","","3","surprise_idle_lookR_precia","13053","","1","13"
"vo_asb","","","","","21","vo_asb_1527","13054","0","0","13"
"3","1","0","0","0","11","哥……","13055","1","10","13"
"0","","","","","91","","13056","0","0","13"
"3","","","0.4","","3","joy_idle_look_shy_precia2","13057","","1","13"
"2","","","0.2","","3","clear_talk2_look","13058","","1","13"
"vo_asb","","","","","21","vo_asb_1528","13059","0","0","13"
"2","1","0","0","0","11","哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","13060","1","10","13"
"0","","","","","91","","13061","0","0","13"
"1","","","0.2","","3","wish_talk_Ex3","13062","","1","13"
"3","","","0.3","","3","joy_idle_look_shy_precia","13063","","1","13"
"2","1","","0.2","0","3","talk2ToWish_look","13064","clear_wish_talk_joy_look","0","13"
"vo_asb","","","","","21","vo_asb_1529","13065","0","0","13"
"1","1","0","0","0","11","……謝謝！","13066","1","10","13"
"0","","","","","91","","13067","0","0","13"
"1","","","0.2","","3","idle_look_shy_riri","13068","","1","13"
"2","","","0.2","","3","idle_look_shy","13069","","1","13"
"3","1","","0.2","0","3","doya_in_precia","13070","doya_talk_precia","0","13"
"vo_asb","","","","","21","vo_asb_1530","13071","0","0","13"
"3","1","0","0","0","11","自信滿滿的，\n冒險記。","13072","1","10","13"
"0","","","","","91","","13073","0","0","13"
"3","","","0.4","","3","idle_look_normal_precia","13074","","1","13"
"1","","","0.2","","3","riri_talk_look_shy","13075","","1","13"
"vo_asb","","","","","21","vo_asb_1531","13076","0","0","13"
"1","1","0","0","0","11","誠如您看到的，\n我們還是如此的笨拙不成熟……","13077","1","10","13"
"0","","","","","91","","13078","0","0","13"
"1","","","0.2","","3","riri_idle_look_normal_shy","13079","","1","13"
"2","","","0.2","","3","clear_talk3_look","13080","","1","13"
"vo_asb","","","","","21","vo_asb_1532","13081","0","0","13"
"2","1","0","0","0","11","但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","13082","1","10","13"
"0","","","","","91","","13083","0","0","13"
"2","","","0.2","","3","clear_wish_talk_joy_look","13084","","1","13"
"vo_asb","","","","","21","vo_asb_1533","13085","0","0","13"
"2","1","0","0","0","11","哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","13086","1","10","13"
"0","","","","","91","","13087","0","0","13"
"2","","","0.2","","3","clear_wish_idle_look","13088","","1","13"
"3","1","","0.1","0.2","3","agree","13089","joy_idle_look_shy_precia2","0","13"
"vo_asb","","","","","21","vo_asb_1534","13090","0","0","13"
"3","1","0","0","0","11","請多指教。","13091","1","10","13"
"0","","","","","91","","13092","0","0","13"
"1","1","","0.2","0.2","3","bow_riri","13093","idle_look_shy_riri","0","13"
"vo_asb","","","","","21","vo_asb_1535","13094","0","0","13"
"1","1","0","0","0","11","請多多指教……！","13095","1","10","13"
"0","","","","","91","","13096","0","0","13"
"13098","","","","","101","","13097","","","13"
"1","0","","0.3","0","6","1","13098","1","1","13"
"2","0","","0.3","0","6","1","13099","1","1","13"
"3","0","","0.3","0","6","1","13100","1","1","13"
"0","0","","0.3","0","6","1","13101","1","1","13"
"1","1","","","","2","-130","13102","0.3","-230","13"
"2","1","","","","2","-290","13103","0.3","-255","13"
"3","1","","","","2","120","13104","0.3","-245","13"
"0","1","","","","2","-100","13105","0.3","0","13"
"0","","","","","22","0","13106","","","13"
"100","","","","","35","1","13107","","","13"
"100","1","","","","33","-100","13108","0.3","0","13"
"0.4","","","","","93","0","13109","","","13"
"100","","","","","32","0","13110","","","13"
"3","-250","surprise_idle_normal2_precia","2.2","0","5","1","22001","30","52","22"
"1","0","","0","0","6","1","22002","1","1","22"
"0","0","black","1","0","5","0","22003","50","29","22"
"0","0","","0","0","6","1","22004","1","1","22"
"0","","","","","91","","22005","","","22"
"1","1","","0.2","0","6","1","22006","1","1","22"
"0","1","","0.2","0","6","1","22007","1","1","22"
"1","2","","","","2","-20","22008","0.3","-250","22"
"0","2","","","","2","0","22009","0.3","0","22"
"0.6","","","","","93","0","22010","","","22"
"vo_asb","","","","","21","vo_asb_0221","22011","0","0","22"
"1","1","0","0","0","11","坐墊。\n餅乾。\n吃了好多。","22012","1","10","22"
"0","","","","","91","","22013","0","0","22"
"1","","","0.3","","3","talk_surprise_precia","22014","","1","22"
"vo_asb","","","","","21","vo_asb_0222","22015","0","0","22"
"1","1","0","0","0","11","鈴莓。\n好像，\n會做各式各樣。","22016","1","10","22"
"0","","","","","91","","22017","0","0","22"
"1","","","0.3","","3","think_idle_precia","22018","","1","22"
"vo_asb","","","","","21","vo_asb_0223","22019","0","0","22"
"1","1","0","0","0","11","像是，坐墊鬆餅。\n之類的？","22020","1","10","22"
"0","","","","","91","","22021","0","0","22"
"1","","","0.3","","3","think_idle_dere_precia","22022","","1","22"
"vo_asb","","","","","21","vo_asb_0224","22023","0","0","22"
"1","1","0","0","0","11","像是，坐墊馬芬蛋糕。\n之類的？","22024","1","10","22"
"0","","","","","91","","22025","0","0","22"
"1","","","0.3","","3","think_idle_angerR","22026","","1","22"
"vo_asb","","","","","21","vo_asb_0225","22027","0","0","22"
"1","1","0","0","0","11","像是，坐墊肉包子……\n之類的……（吞口水)","22028","1","10","22"
"0","","","","","91","","22029","0","0","22"
"1","1","","0.1","0","3","thinkToSpeak_precia","22030","speak1_light_precia","0","22"
"vo_asb","","","","","21","vo_asb_0226","22031","0","0","22"
"1","1","0","0","0","11","鈴莓。\n我要挖角她。\n來幻變少女。","22032","1","10","22"
"0","","","","","91","","22033","0","0","22"
"22035","","","","","101","","22034","","","22"
"1","0","","0.3","0","6","1","22035","1","1","22"
"0","0","","0.3","0","6","1","22036","1","1","22"
"1","1","","","","2","-120","22037","0.3","-250","22"
"0","1","","","","2","-100","22038","0.3","0","22"
"0","","","","","22","0","22039","","","22"
"0.4","","","","","93","0","22040","","","22"
"1","-230","riri_idle_look","2.2","0","5","1","32001","20","52","32"
"2","-255","clear_book_read","2.2","0","5","2","32002","-140","58","32"
"3","-245","joy_idle_precia","2.2","1","5","3","32003","270","55","32"
"1","0","","0","0","6","1","32004","1","1","32"
"2","0","","0","0","6","1","32005","1","1","32"
"3","0","","0","0","6","1","32006","1","1","32"
"0","0","black","1","0","5","0","32007","50","29","32"
"0","0","","0","0","6","1","32008","1","1","32"
"0","","","","","91","","32009","","","32"
"1","1","","0.2","0","6","1","32010","1","1","32"
"2","1","","0.2","0","6","1","32011","1","1","32"
"3","1","","0.2","0","6","1","32012","1","1","32"
"0","1","","0.2","0","6","1","32013","1","1","32"
"1","2","","","","2","-30","32014","0.3","-230","32"
"2","2","","","","2","-190","32015","0.3","-255","32"
"3","2","","","","2","220","32016","0.3","-245","32"
"0","2","","","","2","0","32017","0.3","0","32"
"0.6","","","","","93","0","32018","","","32"
"2","","","0.2","","3","clear_book_talk","32019","","1","32"
"vo_asb","","","","","21","vo_asb_0321","32020","0","0","32"
"2","1","0","0","0","11","這幅牛的畫，\n未免畫得太好了吧！？","32021","1","10","32"
"0","","","","","91","","32022","0","0","32"
"2","","","0.4","","3","clear_book_idle","32023","","1","32"
"1","","","0.2","","3","riri_talk_look","32024","","1","32"
"vo_asb","","","","","21","vo_asb_0322","32025","0","0","32"
"1","1","0","0","0","11","這是普蕾西亞畫的。\n因為她是天才呢。","32026","1","10","32"
"0","","","","","91","","32027","0","0","32"
"1","","","0.2","","3","riri_idle_look","32028","","1","32"
"2","1","","0.1","0","3","clear_bookToTalk2","32029","clear_talk2_noShy","0","32"
"vo_asb","","","","","21","vo_asb_0323","32030","0","0","32"
"2","1","0","0","0","11","話說回來，我和莉莉兩人，\n一直做不好「手插腰」，\n真陽小姐為了教我們，\n苦戰一番的時候也……","32031","1","10","32"
"0","","","","","91","","32032","0","0","32"
"2","1","","0.1","0","3","talk2ToIdle_talkjoy2","32033","idle_talkjoy2","0","32"
"1","","","0.2","","3","sad_talk_joy2R","32034","","1","32"
"vo_asb","","","","","21","vo_asb_0324","32035","0","0","32"
"1","1","0","0","0","11","是，只有普蕾西亞\n一次就合格了吧。\n從我們這些外行人的眼中看來，\n也是非常完美的「手插腰」。","32036","1","10","32"
"0","","","","","91","","32037","0","0","32"
"1","","","0.2","","3","sad_idle_normal_riri","32038","","1","32"
"2","","","0.2","","3","idle","32039","","1","32"
"3","","","0.3","","3","talk_precia","32040","","1","32"
"vo_asb","","","","","21","vo_asb_0325","32041","0","0","32"
"3","1","0","0","0","11","想看嗎？","32042","1","10","32"
"0","","","","","91","","32043","0","0","32"
"3","","","0.3","","3","joy_idle_precia","32044","","1","32"
"1","","","0.2","","3","guts2_talk_riri","32045","","1","32"
"2","","","0.2","","3","clear_hope_talk","32046","","1","32"
"vo_asb","","","","","21","vo_asb_0326","32047","0","0","32"
"1","1","0","0","0","11","當然的。","32048","1","10","32"
"0","","","","","91","","32049","0","0","32"
"1","","","0.2","","3","guts2_idle_riri","32050","","1","32"
"2","","","0.2","","3","clear_hope_idle","32051","","1","32"
"3","1","","0.2","0","3","cool_in","32052","cool_idle","0","32"
"vo_asb","","","","","21","vo_asb_0327","32053","0","0","32"
"3","1","0","0","0","11","插腰。","32054","1","10","32"
"0","","","","","91","","32055","0","0","32"
"3","1","","0.2","0.1","3","cool_idle_doya_in","32056","cool_idle_doya","0","32"
"1","","","0.2","","3","guts2_idle_joy_riri","32057","","1","32"
"2","","","0.2","","3","clear_hope_joy","32058","","1","32"
"vo_asb","","","","","21","vo_asb_0328","32059","0","0","32"
"1","1","0","-85","-22","11","哇～♪","32060","1","10","32"
"0","","","","","91","","32061","0","0","32"
"32063","","","","","101","","32062","","","32"
"1","0","","0.3","0","6","1","32063","1","1","32"
"2","0","","0.3","0","6","1","32064","1","1","32"
"3","0","","0.3","0","6","1","32065","1","1","32"
"0","0","","0.3","0","6","1","32066","1","1","32"
"1","1","","","","2","-130","32067","0.3","-230","32"
"2","1","","","","2","-290","32068","0.3","-255","32"
"3","1","","","","2","120","32069","0.3","-245","32"
"0","1","","","","2","-100","32070","0.3","0","32"
"0","","","","","22","0","32071","","","32"
"0.4","","","","","93","0","32072","","","32"
"2","-250","clear_wish_talk_joy_noShy","2.2","0","5","1","42001","30","52","42"
"1","0","","0","0","6","1","42002","1","1","42"
"0","0","black","1","0","5","0","42003","50","29","42"
"0","0","","0","0","6","1","42004","1","1","42"
"0","","","","","91","","42005","","","42"
"1","1","","0.2","0","6","1","42006","1","1","42"
"0","1","","0.2","0","6","1","42007","1","1","42"
"1","2","","","","2","-20","42008","0.3","-250","42"
"0","2","","","","2","0","42009","0.3","0","42"
"0.6","","","","","93","0","42010","","","42"
"vo_asb","","","","","21","vo_asb_0421","42011","0","0","42"
"1","1","0","0","0","11","鈴小姐模仿真陽小姐，\n模仿得非常到位。","42012","1","10","42"
"0","","","","","91","","42013","0","0","42"
"1","","","0.1","","3","clear_talk_normal","42014","","1","42"
"vo_asb","","","","","21","vo_asb_0422","42015","0","0","42"
"1","1","0","0","0","11","在公會久待，\n關係深厚的成員之間，\n要像那樣子互相模仿，\n似乎也會變得容易呢……","42016","1","10","42"
"0","","","","","91","","42017","0","0","42"
"1","1","","0.2","0","3","clear_kohon_in","42018","clear_kohon_loop","0","42"
"vo_asb","","","","","21","vo_asb_0423","42019","0","0","42"
"1","1","0","0","0","11","…………\n……咳咳。","42020","1","10","42"
"0","","","","","91","","42021","0","0","42"
"1","1","","0.2","0","3","clear_imitation_in","42022","clear_speak2_talk","0","42"
"vo_asb","","","","","21","vo_asb_0424","42023","0","0","42"
"1","1","0","0","0","11","兄、兄長大人。兄長大人……？\n哥、哥，哥……哥。\n…………","42024","1","10","42"
"0","","","","","91","","42025","0","0","42"
"1","1","","0.3","0","3","clear_surprise_in_red","42026","clear_surprise_talk_red","0","42"
"vo_asb","","","","","21","vo_asb_0425","42027","0","0","42"
"1","1","0","0","0","11","……啊！\n只是要模仿公會成員而已，\n我真是的，為什麼會臉紅……！","42028","1","10","42"
"0","","","","","91","","42029","0","0","42"
"1","","","0.2","","3","clear_wish_talk_pain_red","42030","","1","42"
"vo_asb","","","","","21","vo_asb_0426","42031","0","0","42"
"1","1","0","0","0","11","從各方面來說，我都還差得遠呢……！","42032","1","10","42"
"0","","","","","91","","42033","0","0","42"
"42035","","","","","101","","42034","","","42"
"1","0","","0.3","0","6","1","42035","1","1","42"
"0","0","","0.3","0","6","1","42036","1","1","42"
"1","1","","","","2","-120","42037","0.3","-250","42"
"0","1","","","","2","-100","42038","0.3","0","42"
"0","","","","","22","0","42039","","","42"
"0.4","","","","","93","0","42040","","","42"
"1","-243","dance_riri","2.2","0","5","1","52001","70","55","52"
"2","-245","dance_clear","2.2","1","5","2","52002","320","52","52"
"3","-255","dance_precia","2.2","0","5","3","52003","-90","58","52"
"1","0","","0","0","6","1","52004","1","1","52"
"2","0","","0","0","6","1","52005","1","1","52"
"3","0","","0","0","6","1","52006","1","1","52"
"0","0","black","1","0","5","0","52007","50","29","52"
"0","0","","0","0","6","1","52008","1","1","52"
"0","","","","","91","","52009","","","52"
"1","","","0.1","","3","dance_riri","52010","","0","52"
"2","1","","0.1","0","3","dance_clear","52011","idle","0","52"
"3","1","","0.1","0","3","dance_precia","52012","idle_precia","0","52"
"1","1","","0.2","0","6","1","52013","1","1","52"
"2","1","","0.2","0","6","1","52014","1","1","52"
"3","1","","0.2","0","6","1","52015","1","1","52"
"0","1","","0.2","0","6","1","52016","1","1","52"
"1","2","","","","2","-30","52017","0.3","-243","52"
"2","2","","","","2","220","52018","0.3","-245","52"
"3","2","","","","2","-190","52019","0.3","-255","52"
"0","2","","","","2","0","52020","0.3","0","52"
"0.6","","","","","93","0","52021","","","52"
"vo_asb","","","","","21","vo_asb_0521","52022","0","0","52"
"3","0","0.15","0","0","11","快、快、慢。","52023","0","11","52"
"0","","","","","91","","52024","0","0","52"
"vo_asb","","","","","21","vo_asb_0522","52025","0","0","52"
"1","0","0.75","0","0","11","旋轉、停，旋轉、停，\n快、快、慢！","52026","0","10","52"
"52010","","","","","91","","52027","","","52"
"1","","","0.1","","3","idle","52028","","1","52"
"0.2","","","","","93","0","52029","","","52"
"1","1","","0.1","0.2","3","smile_riri","52030","talk_joy","0","52"
"vo_asb","","","","","21","vo_asb_0523","52031","0","0","52"
"1","1","0","0","0","11","……呵呵呵，有了這個口號，\n我們三人的步調，\n就很不可思議地同步了呢。","52032","1","10","52"
"0","","","","","91","","52033","","","52"
"1","","","0.2","","3","riri_idle","52034","","1","52"
"2","","","0.2","","3","clear_talk2_noShy","52035","","1","52"
"vo_asb","","","","","21","vo_asb_0524","52036","0","0","52"
"2","1","0","0","0","11","是啊。所以在那之後，\n我們也很常用這個口號呢。\n像是要合力搬起重物時，\n或是三人要一起做體操時。","52037","1","10","52"
"0","","","","","91","","52038","0","0","52"
"2","1","","0.2","0","3","talk2ToIdle","52039","idle","0","52"
"1","","","0.2","","3","riri_talk","52040","","1","52"
"vo_asb","","","","","21","vo_asb_0525","52041","0","0","52"
"1","1","0","0","0","11","其他還有，戰鬥訓練中要配合步調時，\n還有走夜路要避開魔物的時候！","52042","1","10","52"
"0","","","","","91","","52043","0","0","52"
"1","","","0.2","","3","riri_idle_look","52044","","1","52"
"2","","","0.2","","3","idle_talkjoy2","52045","","1","52"
"3","","","0.3","","3","talk_precia","52046","","1","52"
"vo_asb","","","","","21","vo_asb_0526","52047","0","0","52"
"3","1","0","0","0","11","實用性，\n太高了。","52048","1","10","52"
"0","","","","","91","","52049","0","0","52"
"52051","","","","","101","","52050","","","52"
"1","0","","0.3","0","6","1","52051","1","1","52"
"2","0","","0.3","0","6","1","52052","1","1","52"
"3","0","","0.3","0","6","1","52053","1","1","52"
"0","0","","0.3","0","6","1","52054","1","1","52"
"1","1","","","","2","-130","52055","0.3","-230","52"
"2","1","","","","2","120","52056","0.3","-245","52"
"3","1","","","","2","-290","52057","0.3","-255","52"
"0","1","","","","2","-100","52058","0.3","0","52"
"0","","","","","22","0","52059","","","52"
"0.4","","","","","93","0","52060","","","52"
"1","-250","talk_joy","2.2","0","5","1","62001","30","52","62"
"1","0","","0","0","6","1","62002","1","1","62"
"0","0","black","1","0","5","0","62003","50","29","62"
"0","0","","0","0","6","1","62004","1","1","62"
"0","","","","","91","","62005","","","62"
"1","1","","0.2","0","6","1","62006","1","1","62"
"0","1","","0.2","0","6","1","62007","1","1","62"
"1","2","","","","2","-20","62008","0.3","-250","62"
"0","2","","","","2","0","62009","0.3","0","62"
"0.6","","","","","93","0","62010","","","62"
"vo_asb","","","","","21","vo_asb_0621","62011","0","0","62"
"1","1","0","0","0","11","演唱會結束後，\n慈樂之音的成員們來拜訪了。","62012","1","10","62"
"0","","","","","91","","62013","0","0","62"
"1","","","0.2","","3","wish_talk_joyR_riri","62014","","1","62"
"vo_asb","","","","","21","vo_asb_0622","62015","0","0","62"
"1","1","0","0","0","11","她們說「絕對要再一起跳舞」，\n還把手疊在我們的手上……","62016","1","10","62"
"0","","","","","91","","62017","0","0","62"
"1","","","0.3","","3","memoly_talk_joy","62018","","1","62"
"vo_asb","","","","","21","vo_asb_0623","62019","0","0","62"
"1","1","0","0","0","11","她們三位實在是又可愛又耀眼，\n我已經是，\n頭暈目眩了……","62020","1","10","62"
"0","","","","","91","","62021","0","0","62"
"1","","","0.2","","3","sad_talk2_dere","62022","","1","62"
"vo_asb","","","","","21","vo_asb_0624","62023","0","0","62"
"1","1","0","0","0","11","其實，與她們相疊的這隻手，\n我從那天以來一次都沒有洗過。","62024","1","10","62"
"0","","","","","91","","62025","0","0","62"
"1","","","0.3","","3","wish_talk_nervous_riri","62026","","1","62"
"vo_asb","","","","","21","vo_asb_0625","62027","0","0","62"
"1","1","0","0","0","11","雖然也不是沒感覺到\n璃亞用有點傻眼的視線\n看著我……\n但至少讓我再等半天……！","62028","1","10","62"
"0","","","","","91","","62029","0","0","62"
"62031","","","","","101","","62030","","","62"
"1","0","","0.3","0","6","1","62031","1","1","62"
"0","0","","0.3","0","6","1","62032","1","1","62"
"1","1","","","","2","-120","62033","0.3","-250","62"
"0","1","","","","2","-100","62034","0.3","0","62"
"0","","","","","22","0","62035","","","62"
"0.4","","","","","93","0","62036","","","62"
"2","-250","idle","2.2","0","5","1","72001","30","52","72"
"1","0","","0","0","6","1","72002","1","1","72"
"0","0","black","1","0","5","0","72003","50","29","72"
"0","0","","0","0","6","1","72004","1","1","72"
"0","","","","","91","","72005","","","72"
"1","1","","0.2","0","6","1","72006","1","1","72"
"0","1","","0.2","0","6","1","72007","1","1","72"
"1","2","","","","2","-20","72008","0.3","-250","72"
"0","2","","","","2","0","72009","0.3","0","72"
"0.6","","","","","93","0","72010","","","72"
"1","","","0.2","","3","clear_talk_normal","72011","","1","72"
"vo_asb","","","","","21","vo_asb_0721","72012","0","0","72"
"1","1","0","0","0","11","碧小姐好像很害羞。\n但不是有這樣的說法嗎？\n有共同話題的人，\n彼此更容易敞開心扉。","72013","1","10","72"
"0","","","","","91","","72014","0","0","72"
"1","","","0.2","","3","clear_kohon_talk_surprise","72015","","1","72"
"vo_asb","","","","","21","vo_asb_0722","72016","0","0","72"
"1","1","0","0","0","11","我的直覺是對的呢。\n雖然不像碧小姐那麼了解，\n但我也喜歡花草。\n我有種感覺，能跟這個人變得很要好。","72017","1","10","72"
"0","","","","","91","","72018","0","0","72"
"1","","","0.2","","3","clear_talk2_noShy","72019","","1","72"
"vo_asb","","","","","21","vo_asb_0723","72020","0","0","72"
"1","1","0","0","0","11","所以我啊，\n鼓起勇氣說出口了！\n「能跟妳當朋友嗎？」這句話。","72021","1","10","72"
"0","","","","","91","","72022","0","0","72"
"1","1","","0.2","0","3","talk2ToWish","72023","clear_wish_talk_joy","0","72"
"vo_asb","","","","","21","vo_asb_0724","72024","0","0","72"
"1","1","0","0","0","11","然後碧小姐她，\n臉就變得紅通通的，\n「嗯嗯！」地點頭如搗蒜。\n我當時心想，成功了！","72025","1","10","72"
"0","","","","","91","","72026","0","0","72"
"1","","","0.2","","3","clear_talk2_nervous","72027","","1","72"
"vo_asb","","","","","21","vo_asb_0725","72028","0","0","72"
"1","1","0","0","0","11","……但接下來，\n她說需要一點時間心理準備。\n而她的心理準備，\n可能會花上300年左右……","72029","1","10","72"
"0","","","","","91","","72030","0","0","72"
"1","1","","0.2","0","3","talk2ToKohon","72031","clear_kohon_loop_shy","0","72"
"vo_asb","","","","","21","vo_asb_0726","72032","0","0","72"
"1","1","0","0","0","11","也是啦……\n因為我突然間太太太心急了嘛……","72033","1","10","72"
"0","","","","","91","","72034","0","0","72"
